duration,genres,movie_title,actor_3_name,budget,title_year,movie_facebook_likes
75,Animation|Comedy|Family|Fantasy|Musical,Cats Don't Dance ,Hal Holbrook,32000000,1997,643
132,Drama,Cradle Will Rock ,Emily Watson,32000000,1999,625
105,Drama|Mystery|Thriller,The Good German ,Leland Orser,32000000,2006,559
93,Action|Adventure|Comedy|Fantasy|Romance,George and the Dragon ,Simon Callow,32000000,2004,290
289,Drama|War,Apocalypse Now ,Robert Duvall,31500000,1979,19000
102,Comedy|Romance,Going the Distance ,Jim Gaffigan,32000000,2010,0
143,Drama|Music,Mr. Holland's Opus ,Jean Louisa Kelly,6500000,1995,0
113,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Criminal ,Doug Cockle,31500000,2016,0
161,Biography|Drama|Romance,Out of Africa ,Michael Kitchen,31000000,1985,0
138,Drama|Thriller,Flight ,Nadine Velazquez,31000000,2012,64000
126,Action|Adventure|Sci-Fi|Thriller,Moonraker ,Lois Maxwell,34000000,1979,0
99,Adventure|Comedy|Crime|Drama,The Grand Budapest Hotel ,F. Murray Abraham,25000000,2014,149000
101,Drama|Mystery,Hearts in Atlantis ,Hope Davis,31000000,2001,0
103,Comedy|Fantasy|Horror|Thriller,Arachnophobia ,Brian McNamara,31000000,1990,0
118,Crime|Drama|Mystery|Sci-Fi|Thriller,Frequency ,Noah Emmerich,31000000,2000,0
116,Action|Comedy|Fantasy|Sci-Fi,Ghostbusters ,Zach Woods,144000000,2016,62000
99,Adventure|Comedy,Vacation ,Beverly D'Angelo,31000000,2015,28000
105,Comedy|Crime|Thriller,Get Shorty ,Jon Gries,30250000,1995,0
113,Comedy|Crime|Musical,Chicago ,Jayne Eastwood,45000000,2002,0
93,Comedy|Drama,Big Daddy ,Joey Lauren Adams,34200000,1999,0
108,Comedy,American Pie 2 ,Natasha Lyonne,30000000,2001,0
74,Adventure|Animation|Comedy|Family|Fantasy,Toy Story ,Jim Varney,30000000,1995,0
116,Action|Adventure|Crime|Thriller,Speed ,Joe Morton,25000000,1994,0
104,Drama|Romance,The Vow ,Dillon Casey,30000000,2012,32000
106,Drama,Extraordinary Measures ,Alan Ruck,31000000,2010,0
120,Biography|Drama|Sport,Remember the Titans ,Ethan Suplee,30000000,2000,0
135,Action|Adventure|Thriller,The Hunt for Red October ,Courtney B. Vance,30000000,1990,0
132,Biography|Drama,Lee Daniels' The Butler ,Vanessa Redgrave,30000000,2013,41000
92,Comedy|Sport,Dodgeball: A True Underdog Story ,Joel David Moore,20000000,2004,0
99,Comedy|Fantasy,The Addams Family ,Carel Struycken,38000000,1991,5000
90,Adventure|Comedy,Ace Ventura: When Nature Calls ,Sophie Okonedo,30000000,1995,0
111,Comedy|Family|Romance,The Princess Diaries ,Heather Matarazzo,37000000,2001,0
103,Comedy,The First Wives Club ,Stephen Collins,26000000,1996,0
127,Crime|Drama|Mystery|Thriller,Se7en ,Reg E. Cathey,33000000,1995,39000
112,Action|Sci-Fi|Thriller,District 9 ,Jason Cope,30000000,2009,22000
87,Adventure|Animation|Comedy|Family|Fantasy,The SpongeBob SquarePants Movie ,Rodger Bumpass,30000000,2004,0
138,Crime|Drama|Mystery|Thriller,Mystic River ,Tom Guiry,25000000,2003,12000
132,Drama|Sport,Million Dollar Baby ,Mike Colter,30000000,2004,14000
103,Comedy|Crime,Analyze This ,Molly Shannon,30000000,1999,0
123,Drama|Romance,The Notebook ,Gena Rowlands,29000000,2004,57000
111,Comedy|Romance,27 Dresses ,Yetta Gottesman,30000000,2008,0
102,Comedy|Drama|Family|Music|Romance,Hannah Montana: The Movie ,Moises Arias,30000000,2009,0
78,Adventure|Animation|Comedy|Family|Romance,Rugrats in Paris: The Movie ,Debbie Reynolds,30000000,2000,181
132,Drama|Romance,The Prince of Tides ,Melinda Dillon,30000000,1991,883
133,Drama|Romance|War|Western,Legends of the Fall ,Julia Ormond,30000000,1994,11000
108,Drama|Romance,Up in the Air ,Chris Lowell,25000000,2009,19000
125,Comedy|Drama,About Schmidt ,Howard Hesseman,30000000,2002,0
98,Comedy|Horror|Romance,Warm Bodies ,Daniel Rindress-Kay,35000000,2013,81000
119,Action|Crime|Drama|Sci-Fi|Thriller,Looper ,Tracie Thoms,30000000,2012,75000
87,Comedy|Fantasy,Down to Earth ,Wanda Sykes,30000000,2001,602
91,Comedy|Drama|Family,Babe ,Roscoe Lee Browne,30000000,1995,5000
100,Comedy|Drama|Romance,Hope Springs ,Jean Smart,30000000,2012,0
118,Comedy|Drama|Romance,Forgetting Sarah Marshall ,Maria Thayer,30000000,2008,0
44,Drama|Sport,Friday Night Lights             ,Scott Porter,,,0
109,Action|Crime|Drama|Mystery|Thriller,Four Brothers ,Fionnula Flanagan,45000000,2005,0
99,Comedy|Romance,Baby Mama ,Romany Malco,30000000,2008,0
114,Drama|Romance,Hope Floats ,Gena Rowlands,30000000,1998,0
89,Comedy|Romance,Bride Wars ,Candice Bergen,30000000,2009,0
95,Adventure|Comedy|Mystery,Without a Paddle ,Bonnie Somerville,19000000,2004,0
98,Comedy|Fantasy|Romance,13 Going on 30 ,Christa B. Allen,37000000,2004,0
94,Comedy|Fantasy|Romance,Midnight in Paris ,Nina Arianda,17000000,2011,78000
85,Adventure|Animation|Comedy|Family,The Nut Job ,Sarah Gadon,42000000,2014,0
124,Biography|Crime|Drama,Blow ,Jordi Mollà,30000000,2001,13000
131,Drama|Romance,Message in a Bottle ,Raphael Sbarge,55000000,1999,0
107,Action|Adventure|Sci-Fi|Thriller,Star Trek V: The Final Frontier ,Walter Koenig,27800000,1989,0
99,Comedy|Family|Fantasy|Sport,Like Mike ,Anne Meara,30000000,2002,1000
83,Comedy|Crime,Naked Gun 33 1/3: The Final Insult ,Priscilla Presley,30000000,1994,1000
131,Action|Adventure|Thriller,A View to a Kill ,Tanya Roberts,30000000,1985,0
85,Animation|Comedy|Family|Mystery|Sci-Fi,The Curse of the Were-Rabbit ,Peter Sallis,30000000,2005,0
126,Drama|Romance,P.S. I Love You ,Nellie McKay,30000000,2007,20000
102,Adventure|Comedy|Drama|Family|Sport,Racing Stripes ,M. Emmet Walsh,,2005,771
123,Drama|Mystery|Romance|War,Atonement ,Brenda Blethyn,30000000,2007,12000
105,Comedy|Drama|Romance,Letters to Juliet ,Luisa Ranieri,30000000,2010,13000
125,Action|Crime|Thriller,Black Rain ,Kate Capshaw,30000000,1989,0
92,Comedy,The Three Stooges ,Sean Hayes,,2012,13000
77,Animation|Drama|Family|Fantasy|Musical|Romance,Corpse Bride ,Joanna Lumley,40000000,2005,0
118,Biography|Drama|Sport,Glory Road ,Derek Luke,,2006,0
121,Action|Crime|Drama|Mystery|Thriller,Sicario ,Daniel Kaluuya,30000000,2015,59000
124,Drama|Sport,Southpaw ,Oona Laurence,30000000,2015,44000
99,Horror|Thriller,Drag Me to Hell ,Reggie Lee,30000000,2009,11000
112,Drama|Fantasy|Romance,The Age of Adaline ,Ellen Burstyn,25000000,2015,34000
111,Comedy|Drama|Family,Secondhand Lions ,Emmanuelle Vaugier,30000000,2003,0
107,Drama|Music|Romance,Step Up 3D ,Facundo Lombard,30000000,2010,16000
104,Drama|Romance|Sport,Blue Crush ,Sanoe Lake,30000000,2002,0
113,Comedy|Drama|Fantasy|Romance,Stranger Than Fiction ,Danny Rhodes,38000000,2006,13000
113,Horror,30 Days of Night ,Megan Franich,32000000,2007,0
95,Fantasy|Horror|Mystery|Thriller,The Cabin in the Woods ,Kristen Connolly,30000000,2012,66000
86,Comedy,Meet the Spartans ,Method Man,30000000,2008,0
126,Action|Comedy|Crime|Thriller,Midnight Run ,Philip Baker Hall,30000000,1988,0
101,Action|Crime|Sci-Fi|Thriller,The Running Man ,Richard Dawson,27000000,1987,0
102,Comedy|Horror|Musical|Sci-Fi,Little Shop of Horrors ,Tisha Campbell-Martin,25000000,1986,0
111,Action|Drama|Thriller,Hanna ,John Macmillan,30000000,2011,38000
60,Drama|Mystery,The Family             ,Liam James,,,0
95,Action|Adventure|Fantasy|Sci-Fi|Thriller,Mortal Kombat: Annihilation ,Robin Shou,30000000,1997,1000
98,Comedy|Drama|Romance,Larry Crowne ,Randall Park,30000000,2011,0
100,Drama|Fantasy|Horror,Carrie ,Portia Doubleday,30000000,2013,39000
118,Drama|Music,Take the Lead ,Jasika Nicole,30000000,2006,0
28,Comedy|Drama,Entourage             ,Kevin Dillon,,,0
125,Crime|Drama|Sport,Gridiron Gang ,Kevin Dunn,30000000,2006,0
94,Comedy|Crime,What's the Worst That Could Happen? ,Richard Schiff,45000000,2001,304
79,Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller,9 ,Tom Kane,30000000,2009,13000
106,Crime|Drama|Thriller,Side Effects ,Katie Lowes,30000000,2013,29000
111,Comedy|Family|Romance,The Prince and Me ,Luke Mably,,2004,0
63,Adventure|Animation|Comedy|Family|Musical,Winnie the Pooh ,Huell Howser,30000000,2011,0
85,Comedy,Dumb and Dumberer: When Harry Met Lloyd ,Cheri Oteri,19000000,2003,1000
108,Comedy|Drama|Romance,Bulworth ,Graham Beckel,30000000,1998,0
139,Biography|Drama|Music,Get on Up ,Aunjanue Ellis,30000000,2014,11000
127,Drama,One True Thing ,Tom Everett Scott,30000000,1998,592
106,Action|Crime|Sci-Fi|Thriller,Virtuosity ,Traci Lords,30000000,1995,0
95,Comedy|Romance|Sci-Fi,My Super Ex-Girlfriend ,Wanda Sykes,30000000,2006,1000
118,Horror|Mystery|Thriller,Deliver Us from Evil ,Edgar Ramírez,30000000,2014,18000
108,Adventure|Drama|Thriller,Sanctum ,Richard Roxburgh,30000000,2011,11000
105,Comedy|Drama|Romance,Little Black Book ,Dave Annable,35000000,2004,484
131,Comedy|Romance,The Five-Year Engagement ,David Paymer,30000000,2012,11000
104,Comedy|Drama|Romance|Sport,Mr 3000 ,Paul Sorvino,30000000,2004,491
133,Crime|Drama|Romance|Thriller,The Next Three Days ,Aisha Hinds,35000000,2010,27000
94,Action|Horror|Sci-Fi|Thriller,Ultraviolet ,Nick Chinlund,30000000,2006,0
109,Action|Crime|Drama|Thriller,Assault on Precinct 13 ,Hugh Dillon,20000000,2005,999
96,Action|Crime|Thriller,The Replacement Killers ,Patrick Kilpatrick,30000000,1998,629
105,Action|Adventure|Crime|Drama|Romance,Fled ,Will Patton,25000000,1996,204
99,Action|Comedy|Horror,Eight Legged Freaks ,Riley Smith,30000000,2002,0
112,Comedy|Drama|Romance,Love & Other Drugs ,Judy Greer,30000000,2010,24000
108,Crime|Drama|Mystery|Thriller,88 Minutes ,Deborah Kara Unger,30000000,2007,0
126,Drama,North Country ,Sissy Spacek,35000000,2005,0
98,Comedy|Crime|Thriller,The Whole Ten Yards ,Natasha Henstridge,40000000,2004,462
104,Drama|Horror|Sci-Fi,Splice ,Delphine Chanéac,26000000,2009,12000
110,Action|Adventure|Comedy|Romance|Sci-Fi,Howard the Duck ,Jordan Prentice,35000000,1986,0
130,Crime|Drama|Thriller,Pride and Glory ,Frank Grillo,30000000,2008,0
93,Adventure|Horror|Thriller,The Cave ,Marcel Iures,30000000,2005,0
96,Comedy|Romance,Alex & Emma ,Robert Costanzo,30000000,2003,625
114,Drama|Mystery|Romance|Thriller,Wicker Park ,Mark Camacho,30000000,2004,0
106,Comedy|Horror,Fright Night ,Sandra Vergara,30000000,2011,23000
150,Biography|Drama|History|Romance,The New World ,Wes Studi,30000000,2005,0
100,Action|Adventure|Sci-Fi,Wing Commander ,Jürgen Prochnow,30000000,1999,858
100,Drama|Fantasy|Thriller,In Dreams ,Paul Guilfoyle,30000000,1999,654
100,Action|Adventure|Fantasy|Sci-Fi|Thriller,Dragonball: Evolution ,Randall Duk Kim,45000000,2009,0
107,Action|Crime|Thriller,The Last Stand ,Christiana Leucas,45000000,2013,24000
102,Drama|Horror|Sci-Fi|Thriller,Godsend ,Munro Chambers,25000000,2004,387
101,Comedy|Romance,Chasing Liberty ,Terence Maynard,23000000,2004,0
86,Animation|Comedy|Family,Hoodwinked Too! Hood vs. Evil ,Cheech Marin,30000000,2011,0
108,Drama,An Unfinished Life ,Lynda Boyd,30000000,2005,0
123,Adventure|Fantasy|Mystery,The Imaginarium of Doctor Parnassus ,Verne Troyer,40000000,2009,19000
134,Comedy|Drama,Barney's Version ,Paul Gross,,2010,0
511,Crime|Drama|Thriller,Trapped             ,Björn Hlynur Haraldsson,,,0
88,Crime|Thriller,Runner Runner ,David Costabile,30000000,2013,0
109,Action|Crime|Drama|Thriller,Antitrust ,Ned Bellamy,30000000,2001,0
122,Drama|History|War,Glory ,Matthew Broderick,18000000,1989,0
251,Crime|Drama,Once Upon a Time in America ,Treat Williams,30000000,1984,12000
118,Action|Crime|Drama|Thriller,Dead Man Down ,James Biberi,30000000,2013,0
131,Drama|Romance,The Merchant of Venice ,Kris Marshall,18000000,2004,0
109,Action|Crime|Drama|Romance|Thriller,The Good Thief ,Tchéky Karyo,25000000,2002,287
80,Action|Drama|Romance|Sport,Supercross ,Steve Howey,,2005,353
88,Biography|Drama|Romance,Miss Potter ,Lucy Boynton,30000000,2006,0
103,Action|Drama|Fantasy,The Promise ,Nicholas Tse,60000000,2005,445
87,Action|Adventure,DOA: Dead or Alive ,Sarah Carter,21000000,2006,0
160,Biography|Crime|Drama|History|Western,The Assassination of Jesse James by the Coward Robert Ford ,Sam Shepard,30000000,2007,0
121,Action|Adventure|Drama|History|War,1911 ,Jaycee Chan,18000000,2011,0
91,Comedy|Family,Little Nicholas ,Kad Merad,,2009,0
92,Action|Crime|Drama|Thriller,Wild Card ,Jason Alexander,30000000,2015,0
129,Action|Biography|Crime|Drama,Machine Gun Preacher ,Kathy Baker,30000000,2011,21000
93,Animation|Comedy|Family,Animals United ,James Corden,,2010,885
118,Biography|Drama|History,The Color of Freedom ,Tyrone Keogh,30000000,2007,0
110,Drama|History|Sport,United Passions ,Jemima West,24000000,2014,0
103,Biography|Drama|Romance,Grace of Monaco ,Derek Jacobi,30000000,2014,6000
85,Adventure|Animation|Fantasy,A Warrior's Tail ,Sergey Garmash,30000000,2015,161
110,Crime|Drama|Mystery|Thriller,Ripley's Game ,Chiara Caselli,30000000,2002,447
89,Adventure|Animation|Comedy|Fantasy,Sausage Party ,Anders Holm,19000000,2016,13000
115,Comedy|Music,Pitch Perfect 2 ,Hana Mae Lee,29000000,2015,40000
153,Biography|Drama|Music|Romance,Walk the Line ,Tyler Hilton,28000000,2005,11000
42,Adventure|Drama|Mystery|Sci-Fi|Thriller,12 Monkeys             ,Tom Noonan,,,12000
128,Comedy|Drama|Romance,Keeping the Faith ,Anne Bancroft,30000000,2000,0
89,Adventure|Comedy|Family|Fantasy,The Borrowers ,Mark Williams,29000000,1997,0
122,Drama,Frost/Nixon ,Oliver Platt,35000000,2008,0
113,Biography|Comedy|Crime|Drama|Romance|Thriller,Confessions of a Dangerous Mind ,Jennifer Hall,29000000,2002,3000
99,Comedy|Romance,Serving Sara ,Vincent Pastore,29000000,2002,201
99,Comedy,The Boss ,Ben Falcone,29000000,2016,0
147,Biography|Drama|History,Cry Freedom ,Penelope Wilton,29000000,1987,0
112,Comedy|Drama,Mumford ,Mary McDonnell,28000000,1999,209
88,Comedy|Fantasy|Horror|Thriller,Seed of Chucky ,Hannah Spearritt,12000000,2004,0
94,Drama|Mystery|Sci-Fi|Thriller,The Jacket ,Angel Coulby,29000000,2005,0
90,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Aladdin ,Scott Weinger,28000000,1992,0
167,Biography|Crime|Drama|History|Music,Straight Outta Compton ,R. Marcos Taylor,28000000,2015,76000
118,Action|Adventure,Indiana Jones and the Temple of Doom ,Kate Capshaw,28000000,1984,0
83,Adventure|Animation|Comedy|Drama|Family|Musical,The Rugrats Movie ,Christine Cavanaugh,24000000,1998,418
104,Crime|Drama|Thriller,Along Came a Spider ,Monica Potter,60000000,2001,0
110,Biography|Comedy|Drama|Music|Romance,Florence Foster Jenkins ,John Sessions,29000000,2016,0
102,Action|Crime|Thriller,Once Upon a Time in Mexico ,Enrique Iglesias,29000000,2003,0
131,Action|Thriller,Die Hard ,Reginald VelJohnson,28000000,1988,25000
101,Comedy,Role Models ,Bobb'e J. Thompson,28000000,2008,0
130,Biography|Comedy|Drama|History,The Big Short ,Charlie Talbert,28000000,2015,99000
120,Comedy|Drama|Music,Taking Woodstock ,Demetri Martin,30000000,2009,0
135,Biography|Drama|History|Sport,Miracle ,Kenneth Mitchell,28000000,2004,0
110,Action|Horror|Thriller,Dawn of the Dead ,Mekhi Phifer,26000000,2004,7000
103,Comedy|Romance,The Wedding Planner ,Alex Rocco,35000000,2001,0
115,Adventure|Animation|Sci-Fi,Harlock: Space Pirate ,Haruma Miura,30000000,2013,0
110,Comedy|Drama,The Royal Tenenbaums ,Seymour Cassel,21000000,2001,0
91,Mystery|Thriller,Identity ,Jake Busey,30000000,2003,11000
105,Comedy|Romance,Last Vegas ,Romany Malco,28000000,2013,27000
127,Action|Adventure|Thriller,For Your Eyes Only ,Desmond Llewelyn,28000000,1981,2000
82,Comedy|Romance,Serendipity ,Ann Talman,28000000,2001,12000
99,Action|Crime|Sci-Fi|Thriller,Timecop ,Gloria Reuben,27000000,1994,0
90,Comedy,Zoolander ,Will Ferrell,28000000,2001,0
115,Drama|Romance|Thriller,Safe Haven ,Mimi Kirkland,28000000,2013,23000
96,Comedy|Family|Fantasy,Hocus Pocus ,Larry Bagby,28000000,1993,16000
104,Comedy|Drama|Romance,No Reservations ,Bob Balaban,28000000,2007,0
117,Action|Comedy,Kick-Ass ,Michael Rispoli,30000000,2010,36000
83,Action|Comedy|Crime,30 Minutes or Less ,Fred Ward,28000000,2011,0
99,Action|Fantasy|Horror|Thriller,Dracula 2000 ,Jeri Ryan,28000000,2000,0
81,Comedy|Family,Alexander and the Terrible, Horrible, No Good, Very Bad Day ,Jennifer Garner,28000000,2014,12000
135,Drama|Romance,Pride & Prejudice ,Simon Woods,28000000,2005,17000
117,Sci-Fi|Thriller,Blade Runner ,M. Emmet Walsh,28000000,1982,34000
139,Adventure|Biography,Rob Roy ,Eric Stoltz,28000000,1995,0
123,Action|Drama|Thriller,3 Days to Kill ,Tómas Lemarquis,28000000,2014,10000
117,Crime|Drama|Thriller,We Own the Night ,Antoni Corone,21000000,2007,0
97,Drama|Horror|Thriller,Lost Souls ,Ben Chaplin,28000000,2000,209
81,Documentary,Winged Migration ,,160000000,2001,1000
103,Comedy|Fantasy|Romance,Just My Luck ,Faizon Love,28000000,2006,0
119,Comedy|Drama|Sport,Mystery, Alaska ,Ron Eldard,28000000,1999,913
94,Action|Comedy|Family,The Spy Next Door ,George Lopez,28000000,2010,0
89,Comedy|Family|Fantasy,A Simple Wish ,Kathleen Turner,28000000,1997,517
98,Action|Horror|Sci-Fi,Ghosts of Mars ,Natasha Henstridge,28000000,2001,0
107,Comedy|Drama,Our Brand Is Crisis ,Scoot McNairy,28000000,2015,0
108,Action|Horror|Romance,Pride and Prejudice and Zombies ,Sam Riley,28000000,2016,73000
134,Biography|Drama|History|War,Kundun ,Tencho Gyalpo,28000000,1997,0
110,Comedy|Drama|Romance,How to Lose Friends & Alienate People ,Fenella Woolgar,27000000,2008,0
103,Action|Comedy|Crime,Kick-Ass 2 ,Augustus Prew,28000000,2013,36000
145,Adventure|Drama|History|Romance|Thriller|War,Captain Alatriste: The Spanish Musketeer ,Eduardo Noriega,24000000,2006,0
100,Action|Crime|Drama|Thriller,Brick Mansions ,RZA,28000000,2014,0
131,Action|Adventure|Thriller,Octopussy ,Steven Berkoff,27500000,1983,0
133,Comedy|Romance,Knocked Up ,Charlyne Yi,30000000,2007,0
109,Drama,My Sister's Keeper ,Jeffrey Markle,30000000,2009,15000
114,Comedy|Drama|Romance,Welcome Home, Roscoe Jenkins ,Cedric the Entertainer,35000000,2008,464
164,Adventure|Drama|History,A Passage to India ,Art Malik,16000000,1984,845
92,Crime|Drama|Romance|Thriller,Notes on a Scandal ,Shaun Parkes,15000000,2006,0
122,Drama|Thriller,Rendition ,Meryl Streep,27500000,2007,0
42,Crime|Drama|Sci-Fi|Thriller,Limitless             ,Jake McDorman,,,11000
110,Action|Adventure|Sci-Fi|Thriller,Star Trek VI: The Undiscovered Country ,Nichelle Nichols,30000000,1991,0
116,Drama,Divine Secrets of the Ya-Ya Sisterhood ,Matthew Settle,27000000,2002,0
106,Adventure|Drama|Family|Fantasy,The Jungle Book ,Garry Shandling,175000000,2016,65000
115,Crime|Drama|Mystery|Thriller,Kiss the Girls ,Tatyana Ali,27000000,1997,0
148,Action|Comedy|Crime|Music,The Blues Brothers ,Ray Charles,27000000,1980,14000
119,Comedy|Drama|Family|Romance,The Sisterhood of the Traveling Pants 2 ,Michael Rady,,2008,894
118,Comedy|Music,Joyful Noise ,Jesse L. Martin,25000000,2012,0
101,Comedy|Drama|Romance,About a Boy ,Peter McNicholl,30000000,2002,0
82,Action|Comedy|Horror,Lake Placid ,Ty Olsson,27000000,1999,2000
110,Crime|Drama|Mystery|Thriller,Lucky Number Slevin ,Dorian Missick,27000000,2006,10000
193,Adventure|Drama|History,The Right Stuff ,Sam Shepard,27000000,1983,0
130,Drama|History|Thriller,Anonymous ,Rafe Spall,30000000,2011,15000
94,Adventure|Drama|Family|Fantasy,The NeverEnding Story ,Alan Oppenheimer,27000000,1984,21000
