num_critic_for_reviews,actor_1_facebook_likes,gross,cast_total_facebook_likes,actor_3_name,plot_keywords,content_rating,budget,title_year,actor_2_facebook_likes
273,918,82163317,4692,Zack Ward,elm street|freddy krueger|jason voorhees|serial killer|slasher,R,30000000,2003,782
78,554,,1041,Sara Stewart,,Not Rated,,2014,213
66,770,80920948,2251,Andrea Martin,alien|boy genius|children|genius|rescue,G,30000000,2001,677
459,2000,80034302,3958,Liza Lapira,brooklyn new york city|found footage|night vision|statue of liberty new york city|subway tunnel,PG-13,25000000,2008,1000
68,642,78656813,2501,Ernie Reyes Jr.,chop socky|mutant|ninja|shredder|turtle,PG,25000000,1991,533
123,22000,76270454,22767,Charles Martin Smith,corrupt judge|tax evasion|tough cop|white suit|year 1930,R,25000000,1987,371
488,2000,74273505,4738,Barry Corbin,coin toss|desert|sheriff|texas|tracking device,R,25000000,2007,939
146,655,134141530,2394,Bryan Callen,gunfight|outrunning explosion|police|security guard|street shootout,PG-13,25000000,2014,521
168,14000,71500556,16999,Shirley Henderson,american actress playing british character|book publishing|calorie counting|employer employee relationship|rabbit costume,R,26000000,2001,1000
152,541,71309760,1323,Hugh O'Conor,chocolate|chocolate shop|food|france|village,PG-13,25000000,2000,399
133,934,89808372,3500,Bob Newhart,animal rights|congresswoman|doorman|transvestism|washington d.c.,PG-13,45000000,2003,655
139,3000,77264926,5740,Tom Everett Scott,chores|father figure|helicopter parents|in laws|punishment,PG,25000000,2012,448
245,20000,70625986,22739,Mindy Kaling,ex girlfriend|funeral|hospital|male objectification|summer camp,R,25000000,2011,962
84,2000,56505065,4453,Powers Boothe,cigar smoking|cowboy|duel|outlaw|tombstone arizona,R,25000000,1993,722
70,5000,55973336,9082,Aaliyah,death|hong kong|kung fu|prison|waterfront,R,25000000,2000,848
154,264,,673,Billie Whitelaw,ambassador|death|hospital|priest|stillborn child,R,2800000,1976,139
216,440,54098051,2420,Crystal Lowe,amusement park|death|fate|premonition|roller coaster,R,25000000,2006,346
170,713,60443237,1852,Jay R. Ferguson,arrogance|child in peril|disarming someone|kennel|post traumatic stress disorder,PG-13,25000000,2012,220
181,14000,82234139,28071,Bailee Madison,bully|friend|imagination|reality|troll,PG,17000000,2007,11000
226,40000,51676606,58823,Kelly Macdonald,boy|inspiration|reference to peter pan|stage play|widow,PG,25000000,2004,14000
24,975,52528330,3202,Larry the Cable Guy,christmas|holiday|madea series|rural setting|stubbornness,PG-13,25000000,2013,521
408,14000,51533608,16606,James Badge Dale,alaska|leadership|snow|survival|wilderness,R,25000000,2011,798
180,22000,51097664,23328,Robert John Burke,bathtub|psychologist|pushed out a window|smothered with a pillow|telescope,R,30000000,2005,812
181,640000,84136909,656730,Steve Carell,1970s|anchorman|news anchor|newsroom|tv station,PG-13,26000000,2004,8000
192,22000,46836394,24783,Paul Sorvino,betrayal|gangster|mafia|organized crime|robbery,R,25000000,1990,854
79,1000,47285499,3037,Chris Gauthier,cia|nanobot|prep school|scientist|teenager,PG,26000000,2003,934
128,14000,47124400,17278,Imelda Staunton,father|governess|magic|nanny|widower,PG,25000000,2005,2000
147,14000,44700000,16464,Mary Elizabeth Mastrantonio,assassination attempt|capitalism|cocaine|cuban american|cuban refugee,R,25000000,1983,670
49,742,44455658,2457,Rebecca Gayheart,boss|ghetto|money|robber|robbery,R,25000000,1997,658
75,1000,43984230,2451,Victor Wong,abdication|china|emperor|forbidden city|republic,PG-13,23000000,1987,643
270,24000,66489425,26625,Lukas Haas,cocaine|contraband|drug lord|prison|smuggling,R,25000000,2012,736
29,695,41067398,2530,Faizon Love,blood splatter|fistfight|murder|police|prison bus,R,25000000,1997,635
398,272,40218903,533,Kevin Breznahan,alcoholic|alcoholism|money|oil|turn of the century,R,25000000,2007,111
38,1000,39880476,2908,Cree Summer,africa|chimpanzee|elephant|safari|shaman,PG,25000000,2002,535
45,971,39399750,3017,Nancy Cartwright,kid|oxygen|rugrats|trapped underwater|underwater,PG,25000000,2003,503
81,744,38230435,3001,Chi McBride,african american|cadillac|disguise|secret agent|undercover,PG-13,25000000,2002,489
88,2000,39008741,6862,Kyle Schmid,friendship|jeans|pants|summer|vacation,PG,25000000,2005,953
116,5000,36833473,7945,Max Ryan,action hero|chinese|forced prostitution|one man army|title spoken by character,R,25000000,2001,888
129,15000,48237389,18789,Beverly D'Angelo,makeover|party|playboy|playboy mansion|sorority,PG-13,25000000,2008,852
72,1000,36310118,3535,LisaRaye McCoy,client|dentures|false teeth|reference to peter pan|single parent,PG-13,,2005,619
151,4000,36447959,6393,Gregory Alan Williams,baseball|based on true story|india|sports agent|training,PG,25000000,2014,774
198,12000,45089048,36064,Alexander Skarsgård,black and white segues into color|color|community|dystopia|infanticide,PG-13,25000000,2014,11000
66,14000,35990505,16400,Kelly Preston,american|daughter|england|father|politician,PG,20000000,2003,1000
167,296,35143332,1340,Billy Aaron Brown,cheerleader|farmer|fear|high school basketball|nightmare,R,17000000,2003,270
127,1000,35000629,2822,Chelan Simmons,breasts|leg spreading|mini skirt|sex|sex in bed,R,25000000,2007,562
109,5000,34604054,6867,DMX,camera shot from inside human body|diamond|evil man|heist|terrorism,R,30000000,2003,618
174,11000,41597830,12624,Miranda Richardson,housewife|lesbian|novel|party|reading,PG-13,25000000,2002,577
91,17000,33687630,20109,Laura Ramsey,disguise|roommate|school|soccer|twin,PG-13,20000000,2006,1000
151,328,32553210,794,Steve Pemberton,camcorder|cannes|director|lost passport|train,PG,25000000,2007,132
94,601,31526393,2730,Johnny Messner,anaconda|blood|borneo|flower|orchid,PG-13,25000000,2004,543
91,15000,41229,18442,Billy Crudup,1970s|flashback|love|money|murder,R,25500000,2013,960
148,49000,31655091,50927,Marian Seldes,baby|cellist|genius|prodigy|rhapsody,PG,30000000,2007,702
141,288,30012990,1006,Eric Cantona,16th century|british royal family|catholic|queen|queen elizabeth i,R,25000000,1998,249
114,285,32368960,667,Vince Corazza,blood|doll|gore|murder|serial killer,R,25000000,1998,81
79,469,14500000,1548,James Whitmore,attack|hawaii|navy|pearl harbor|u.s. navy,G,25000000,1970,377
33,1000,29247405,2176,Victoria Beckham,bus|concert|live concert|pop group|spice girl,PG,25000000,1997,401
146,904,30538669,3850,Kylie Bunbury,babysitting|car crash|child in peril|kicked in the face|reference to craigslist,R,,2011,555
83,756,25615792,4378,Chris Elliott,african american|dance|overalls|parody|rap,PG-13,25000000,2009,713
199,11000,28341469,13495,Bob Gunton,escape from prison|first person narration|prison|prison cell search|wrongful imprisonment,R,25000000,1994,745
71,460,25590119,1315,Linda Kozlowski,boat|crocodile|garbage can|knife|paramount pictures,PG,21150000,2001,442
62,13000,24944213,16937,Richard Tyson,amish|bowling|on the road|rubber hand|tournament,PG-13,27000000,1996,852
175,3000,33631221,3784,Griffin Cleveland,dog|gambler|gambling|gangster|professor,R,25000000,2014,571
322,19000,37738400,39690,Julia Roberts,based on play|incestuous relationship|pedophilia|secret|teenage daughter,R,25000000,2013,11000
67,90,24381334,235,Amy Stewart,championship|coach|harvard|physics|zamboni,G,,2005,89
112,618,21835784,1095,James Read,flight|hasselblad camera|los angeles california|love|medium format camera,PG-13,30000000,2005,172
216,20000,15785632,21195,Tim McInnerny,1988 winter olympics|coach|ski jumper|winter|winter olympics,PG-13,23000000,2016,732
48,18000,21554585,37315,Rosario Dawson,basketball|basketball player|female nudity|porn actor in mainstream movie|prison,R,25000000,1998,14000
44,40000,22200000,52122,Faye Dunaway,don juan|mental institution|patient|psychiatrist|retirement,PG-13,25000000,1994,10000
12,45,,55,Kate Harbour,farmer|mischief|no dialog|sheep|sheepdog,TV-G,,,7
162,17000,80014842,19945,Scott Porter,army|coin collector|love|surfboard|u.s. army,PG-13,25000000,2010,861
213,11000,23527955,12841,Óscar Jaenada,hacking|hijacking|martial arts|revenge|special forces,PG-13,25000000,2010,673
298,3000,24042490,3744,Jack Thompson,basement|creature|disappearance|interior designer|mansion,R,25000000,2010,441
119,26000,22466994,33565,Nadine Velazquez,assassin|betrayal|fbi|fbi agent|yakuza,R,25000000,2007,5000
251,11000,17791031,11994,Don McManus,harmonium|love|phone sex|pudding|sister,R,25000000,2002,876
92,13000,17718223,14180,Jacob Pitts,female frontal nudity|male frontal nudity|nudist|nudity|public nudity,R,25000000,2004,634
58,462,15361537,1855,Tony Plana,alcatraz|fbi|gold|prison|undercover,PG-13,13000000,2002,444
73,931,16647384,4431,B.J. Novak,airport|black comedy|blizzard|christmas|pennsylvania,PG,26000000,2006,839
28,967,16118077,3067,Swoosie Kurtz,estranged wife|fashion show|magazine|new york city|writer,R,25000000,1988,767
19,940,15091542,2465,Bebe Neuwirth,based on novel|human becoming an animal|slow motion|transformation|young boy,G,25000000,1996,595
86,577,15331289,1217,Amanda Tilson,champion|golf tournament|golfer|nostalgia|orchestral music score,PG,,2005,464
287,902,15045676,2466,Celia Weston,alien|library|moral dilemma|nosebleed|supernatural power,PG-13,16000000,2009,837
233,960,17427926,1749,Sergio Calderón,bow and arrow|group of friends|horse|rifle|ruins,R,8000000,2008,664
86,774,14983572,2498,Illeana Douglas,best friend|cartoon on tv|custody battle|gay|gay friend,PG-13,25000000,2000,692
160,798,14637490,2537,Zena Grey,evil|killer|murder|psychopath|serial killer,R,25000000,2010,374
126,355,14589444,911,Jacob Young,forced to strip|male rear nudity|porn actress|scantily clad female|teenager,R,25000000,2004,155
50,900,14095303,1634,Paul Ben-Victor,fbi|fbi agent|mafia|russian mafia|twin,R,25000000,1996,246
52,985,13973532,3065,Chris Penn,black humor|crying during sex|harvard|humor|man with glasses,PG-13,25000000,2002,637
260,27000,1865774,27659,Tara Fitzgerald,1960s|based on a true story|gangster|identical twins|murder,R,30000000,2015,154
111,874,13920741,2062,Chris Parnell,humiliation|man child|moped|neighbor|slacker,PG-13,,2007,434
231,963,18860403,4952,Katharine McPhee,lake|louisiana|redneck|shark|vacation,PG-13,25000000,2011,936
99,876,13038660,1282,Pauline McLynn,drink|ira|irish|limerick|prejudice,R,25000000,1999,219
159,3000,28831145,3757,Patrick St. Esprit,cleveland browns|head coach|linebacker|nfl|team owner,R,25000000,2014,466
159,338,,1008,Peter Firth,alien|halleys comet|life force|space vampire|vampire,R,25000000,1985,246
7,971,,2346,Tom Kane,campy|castle thunder|female hero|female protagonist|monster,TV-Y7,,,918
199,18000,11538204,21163,Stephen Root,john wilkes booth|lawyer|lincoln assassination|trial|truth,PG-13,25000000,2010,1000
119,13000,11008432,16651,Rebecca De Mornay,1970s|skateboarder|skateboarding|surf|swimming pool,PG-13,25000000,2005,947
120,562,12188642,2230,Jacob Vargas,disaster movie|mine|minister|president|trapped in a mine,PG-13,26000000,2015,499
180,400,11100000,896,Peter Kwong,1980s|airport|cb radio|truck|truck driver,PG-13,25000000,1986,223
58,172,,210,Alice Pol,curse|divorce|marriage|tourism|travel,,17000000,2012,20
317,27000,13651662,29692,Kevin Dunn,alcoholic|mixed martial arts|return home|tournament|underdog,PG-13,25000000,2011,798
44,25000,11030963,48482,Julia Roberts,ireland|irish|irish civil war|irish free state|sinn fein,R,28000000,1996,14000
22,854,10769960,2107,James Patrick Stuart,american civil war|battle|blood splatter|civil war|irish american,PG,25000000,1993,702
143,23000,10911750,43560,Abbie Cornish,friendship|honor|iraq war|soldier|texas,R,25000000,2008,17000
72,16000,10719367,28987,Tony Goldwyn,college|detective|disappearance|police detective|thesis,PG-13,25000000,2002,11000
70,181,10114315,582,Daniel Lapaine,bangkok|friend|lawyer|smuggling|thailand,PG-13,25000000,1999,151
264,941,49122319,2348,Natasha Calis,basketball coach|box|jewish|rabbi|yard sale,PG-13,14000000,2012,459
20,3000,10070000,5023,Cathryn de Prume,love|train|train wreck|twin brother|two word title,PG-13,25000000,1996,624
190,10000,10324441,11431,Rhys Coiro,gang rape|panties pulled down|rape|rape victim|sexual humiliation,R,25000000,2011,826
142,442,7156933,1134,James Biberi,book|fabrication|fake|hoax|manuscript,R,25000000,2006,252
27,174,9286314,583,Richard Gant,biker|biker gang|fbi|mississippi|undercover,R,17000000,1991,132
355,10000,56692,23566,Robert Duvall,apocalypse|boy|food|pistol|survival,R,25000000,2009,9000
21,433,,611,Ted Wass,chimpanzee|elephant|jungle|mercenary|shaman,PG,25000000,1984,54
31,843,5654777,2165,Kaylee DeFer,police|private school|shootout|undercover|wigger,PG-13,25000000,2005,593
87,849,5516708,2413,Jack Plotnick,bestiality|brother sister incest|fisting|hit on the head with a pipe|wedding,R,25000000,2001,841
126,12000,5128124,12574,Craig Hall,mortgage|motorcycle|speed|trailer|utah,PG-13,25000000,2005,506
285,852,34014398,2603,Rachel Blanchard,baby rattle|famous line|murder|passenger|snake,R,33000000,2006,521
60,6000,4064333,9662,Jeff Kober,2030s|21st century|desert|jet|tank,R,25000000,1995,923
23,927,4006906,4990,Regina Hall,hit in the crotch|kidnapping|nail gun|police|release from prison,PG-13,15000000,2005,912
229,45,3073392,142,Yûsuke Iseya,blindness|epidemic|hospital|pubic hair|quarantine,R,25000000,2008,30
143,783,1550000,2930,Michael Paré,escape|half human|king|vampire|vampire hunter,R,25000000,2005,595
376,14000,,25143,Julie Adams,based on play|meeting|salesman|single set production|whiskey,R,25000000,2011,11000
97,14000,871527,16090,Rachel Blanchard,breasts|death|female rear nudity|lesbian cunnilingus|rear entry sex,R,25000000,2005,1000
73,473,12495865,539,Igor Zaripov,aerialist|circus|cirque du soleil|clown|surrealism,PG,,2012,31
28,2000,777423,4351,Billy Crudup,car crash|coach|death|oregon|university of oregon,PG-13,25000000,1998,878
160,962,1186957,1591,James Tupper,high school|mercury theatre|opening night|school|theatre,PG-13,25000000,2008,266
124,5000,85433,5954,Liya Kebede,antique|art|heiress|older man younger woman relationship|plot twist,R,13500000,2013,234
280,12000,1697956,13809,Shawn Hatosy,drugs|flood|hallucination|lieutenant|murder investigation,R,20000000,2009,463
56,783,,3874,Stacy Keach,apostrophe in title|character name in title|punctuation in title|sea turtle,PG,,2010,749
118,541,183662,890,Gilles Lellouche,friend|restaurant|secret|unrequited love|vacation,Not Rated,25000000,2010,173
49,908,134904,3204,Gil Birmingham,argentine|brothel|cancer|female full frontal nudity|fight,R,25000000,2010,581
4,44,,53,Jérôme Deschamps,cartoon cat|cat|character name in title|puss in boots|surrealism,G,25000000,2009,9
16,21,,48,Aleksandr Bashirov,dog|flea|meteor|space|space dog,G,25000000,2010,15
336,13000,16969390,27797,Goran Visnjic,cunnilingus|drug trafficking|lawyer|no panties|shootout,R,25000000,2013,11000
91,1000,,3287,Derek Jacobi,castle|england|king|knight|templar,R,25000000,2011,870
16,279,,705,Jack Hawkins,battle|costume drama|final battle|napoleon|napoleon bonaparte,G,25000000,1970,128
65,79,129115,285,Wai-Keung Lau,fight|kung fu|martial arts|police|wire fu,,25000000,2014,68
7,668,,2204,Jacob Vargas,exploding airplane|fighter pilot|hands tied|held at gunpoint|military,PG-13,25000000,2014,535
51,18000,34700000,35501,Swoosie Kurtz,catholic|corruption|emotional abuse|france|seduction,R,14000000,1988,17000
252,17000,717753,33747,Kirsten Dunst,benzedrine|cactus|drugs|poem|year 1949,R,25000000,2012,10000
106,12000,109713132,15449,Walter Koenig,alien probe|humpback whales|probe|time travel|whale,PG,25000000,1986,664
285,13000,70269171,15111,Mike Tyson,boxing|fight|heavyweight champion|restaurant|retired boxer,PG,24000000,2006,683
163,1000,28772222,3962,Delroy Lindo,athlete|extreme sports|fbi|fbi agent|heist,PG-13,105000000,2015,897
195,865,101334374,2321,Kevin Williamson,college|ghostface|killer|killing spree|murder,R,24000000,1997,851
123,20000,1512815,21414,Boyd Holbrook,brothel|death of husband|ex lover|haunted by the past|redemption,R,25000000,2016,617
52,966,65182182,4830,David Walton,african american|imperative in title|las vegas nevada|nevada|wedding,PG-13,24000000,2014,807
129,13000,57262492,17582,Natasha Henstridge,adultery|black humor|dentist|hitman|sex in bed,R,24000000,2000,2000
60,967,80000000,1962,Lori Singer,church|cowboy boots|dancing|high school dance|teenager,PG,8200000,1984,455
123,8000,74608545,10325,Patrick Fischler,college|fraternity|friend|house|party,R,24000000,2003,909
84,12000,41895491,12947,Harry Shearer,friendship|holy grail|massacre|redemption|video store,R,24000000,1991,443
125,45000,39989008,49847,Bill Cobbs,bahamas|fisherman|hook|island|roommate,R,24000000,1998,1000
106,893,32662299,3946,Bonnie Hunt,heart|italian restaurant|restaurant|transplant|waitress,PG,24000000,2000,854
247,218,31452765,638,Jennifer Schwalbach Smith,actor|friend|male frontal nudity|male full frontal nudity|penis,R,24000000,2008,216
156,11000,25167270,12254,Kathleen Wilhoite,hospital|kansas city|obsession|salesman|soap opera,R,24000000,2000,592
271,18000,32416109,32474,Stephen Root,first person narration|general|hampster|reference to loch ness monster|reporter,R,25000000,2009,12000
45,1000,20218,2557,Garcelle Beauvais,cia|cia agent|fbi|mexico|train,PG-13,24000000,2001,489
133,11000,28871190,13433,Vanessa Redgrave,1960s|father daughter incest|mental hospital|suicide|suicide attempt,R,24000000,1999,1000
84,2000,16964743,4681,Nathan Lane,best friend|contest|date|small town|west virginia,PG-13,24000000,2004,989
70,1000,16290976,3243,David Arquette,alien|breakfast|escape|rat|ufo,G,24000000,1999,670
32,738,13000000,1458,Theresa Merritt,melancholy|new york city|sadness|teacher|wizard,G,24000000,1978,295
51,1000,12372410,4971,Martin Landau,gay subtext|homoerotic fight|homoeroticism|homosexual subtext|wcw wrestling,PG-13,24000000,2000,957
73,512,8427204,1523,Lolita Davidovich,boxing movie|friendship|highway travel|male rear nudity|road movie,R,24000000,1999,481
169,2000,9639242,5470,Jessica Szohr,black comedy|delivery boy|dinner|gym|punishment,PG-13,24000000,2011,1000
365,3000,25003072,5737,Jessica Szohr,bloody water|boat|party|piranha|spring break,R,24000000,2010,859
113,18000,6144806,23689,Brenda Blethyn,bobby darin|career|love|marriage|sandra dee,PG-13,23000000,2004,5000
18,23000,4308981,24436,A.J. Langer,accidental kiss|eating a worm|park|worm|yellowstone national park,PG,24000000,1998,284
10,742,669276,1088,Clive Revill,cobbler|desert|gold|princess|thief,G,28000000,1993,83
16,22000,42880,23769,Geraldine Chaplin,bridge|friar|inquisition|peru|rope bridge,PG,24000000,2004,670
196,12000,23225911,14699,Mike Epps,gun|prison|reference to god|reference to jesus christ|vengeance,R,24000000,2010,854
212,23000,4710455,24263,Jean Simmons,anime|castle|demon|steampunk|witch,PG,24000000,2004,713
445,15000,75590286,28011,Derek Graf,amusement park|on the road|zombie|zombie apocalypse|zombie spoof,R,23600000,2009,13000
446,6000,218051260,7122,Evan Parke,animal name in title|ape abducts a woman|gorilla|island|king kong,PG-13,207000000,2005,918
108,11000,161487252,13823,Peter Dante,coach|college|college football|domineering mother|football,PG-13,20000000,1998,1000
223,11000,290158751,12643,Anthony Daniels,duel|famous twist|rebel|rescue|snowy landscape,PG,18000000,1980,504
63,10000,65807024,11013,Theresa Randle,drugs|heroin|murder|police|witness,R,19000000,1995,345
43,3000,86930411,3847,O.J. Simpson,american president|evil industrialist|ex girlfriend|political leader|president,PG-13,23000000,1991,348
211,1000,53302314,3345,Kerr Smith,dead teenager|death|explosion|premonition|teenager,R,23000000,2000,847
