director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,actor_1_name,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,content_rating,budget,imdb_score
Edward Dmytryk,10,74,387,Woody Strode,,Brigitte Bardot,Shalako ,2140,Honor Blackman,2,bare chested male bondage|european|female frontal nudity|topless woman|war paint,41,UK,PG,1455000,5.5
Zak Penn,60,87,37,Gabriel Beristain,36830,Zak Penn,Incident at Loch Ness ,256,John Bailey,0,boat|director|loch ness|loch ness monster|monster,63,UK,PG-13,1400000,6.6
Alex Ranarivelo,9,20,256,Christina Moore,,Lea Thompson,The Dog Lover ,2419,Cullen Douglas,,,8,USA,PG,2000000,4.8
Jon Knautz,63,10,295,Adam DiMarco,,Camren Bicondova,Girl House ,2072,Chasty Ballesteros,0,college student|disfigured face|house|suicide|website,33,Canada,,3150000,5.5
Mathieu Amalric,92,412,3,Léa Drucker,231186,Mathieu Amalric,The Blue Room ,421,Laurent Poitrenaux,0,male pubic hair|manipulative personality|murder of wife|neglected wife|pubic hair,16,France,R,,6.3
David Worth,4,58,69,Jonathan Mangum,,Jessica Szohr,House at the End of the Drive ,1159,Angela Jones,0,ghost story|manson family|paranormal|real life event|reference to sharon tate,6,USA,R,1400000,6.9
Leslie H. Martinson,53,7,356,Cesar Romero,,Burgess Meredith,Batman: The Movie ,2658,Burt Ward,1,black cat|catwoman|dc comics|penguin|riddler,155,USA,Approved,1377800,6.5
Guy Ritchie,116,0,452,Jason Flemyng,3650677,Jason Statham,"Lock, Stock and Two Smoking Barrels ",28294,Dexter Fletcher,1,antique|cockney accent|hatchet|money|shotgun,523,UK,R,960000,8.2
Robert M. Young,,0,467,Bruce McGill,,Barry Corbin,The Ballad of Gregorio Cortez ,3164,Ned Beatty,0,,2,USA,,1250000,7.1
,13,,,Michael Douglas,,Karl Malden,The Streets of San Francisco             ,416,,0,city name in series title|homicide|older man younger man relationship|place in series title|police partner,13,USA,,,7.3
Thomas Vinterberg,98,346,141,Paprika Steen,1647780,Ulrich Thomsen,The Celebration ,821,Trine Dyrholm,1,dogme 95|family secret|haunted by the past|secret|speech,258,Denmark,R,1300000,8.1
Steve Buscemi,43,12000,636,Debi Mazar,695229,Steve Buscemi,Trees Lounge ,14420,Carol Kane,1,alcoholic drink|bar|drink|drinking|drunk,65,USA,R,1300000,7.2
Ham Tran,15,5,5,Kieu Chinh,638951,Long Nguyen,Journey from the Fall ,83,Cat Ly,2,1970s|1980s|nonlinear timeline|rescue|vietnam war,19,USA,R,1592000,7.4
Rich Cowan,14,7,548,Karen Allen,609042,Eric Dane,The Basket ,3475,Peter Coyote,2,basketball|german immigrant|opera|two word title|war orphan,38,USA,PG,1300000,6.5
Boris Rodriguez,56,5,98,Thure Lindhardt,1521,Stephen McHattie,Eddie: The Sleepwalking Cannibal ,843,Georgina Reilly,0,art teacher|cannibal|inspiration|painter|sleepwalking,10,Canada,Not Rated,1500000,5.7
Harold Becker,79,17,652,Miko Hughes,32940507,Bruce Willis,Mercury Rising ,16537,Carrie Preston,1,autistic child|boy|child in danger|fbi|nsa,127,USA,R,60000000,6.1
,8,,109,Tucker Smallwood,,James Morrison,Space: Above and Beyond             ,611,Kristen Cloke,0,alien|born in vitro|in vitro fertilization|marine|outer space,79,USA,,5000000,7.7
Sadyk Sher-Niyaz,16,135,0,Aziz Muradillayev,,Elina Abai Kyzy,Queen of the Mountains ,0,Mirlan Abdulayev,1,19th century|central asia|mother son relationship|ruler|russian empire,24,Kyrgyzstan,PG-13,1400000,8.7
Paul Donovan,18,4,13,Lenore Zann,,Maury Chaykin,Def-Con 4 ,289,Tim Choate,0,canuxploitation|independent film|post apocalypse|remake|survival,46,Canada,R,1750000,4.3
Jonathan Kesselman,35,4,624,Adam Goldberg,19539,Judy Greer,The Hebrew Hammer ,6227,Tony Cox,1,blaxploitation|hanukkah|jewish|kwanzaa|santa claus,53,USA,R,1000000,6.2
Arjun Sablok,5,0,40,Uday Chopra,100358,Abhishek Bachchan,Neal 'N' Nikki ,602,Samantha McLeod,2,interrupted sex|kiss|love|mistaken sex scene|sex in car,24,India,,1500000,3.3
Craig Moss,16,19,134,Bryan Callen,,Noureen DeWulf,The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It ,1499,Matt Crabtree,3,masturbation|porn actor in mainstream movie|sex|spoof|virginity,42,USA,R,1300000,2.7
Tyler Oliver,24,0,511,Chloe Bridges,,Bella Thorne,Forget Me Not ,38121,Christopher Atkins,1,,38,USA,R,1300000,5.2
Alfred Hitchcock,144,13000,333,Joan Fontaine,,Laurence Olivier,Rebecca ,2888,George Sanders,2,death|estate|housekeeper|love|monte carlo,276,USA,Not Rated,1288000,8.2
Steve Miner,242,49,59,Adrienne King,19100000,Betsy Palmer,Friday the 13th Part 2 ,707,Amy Steel,0,ice pick|jason voorhees|lake|pitchfork|shack,394,USA,R,1250000,6.1
Billy Wilder,97,0,66,Jane Wyman,,Ray Milland,The Lost Weekend ,581,Frank Faylen,4,addiction|alcoholic|alcoholism|paranoia|suicidal thoughts,136,USA,Not Rated,1250000,8.0
Douglas Cheek,77,4,132,John Heard,,Daniel Stern,C.H.U.D. ,1866,Sam McMurray,0,bum|city|mutant|new york city|street,88,USA,R,1250000,5.5
Youssef Delara,16,8,183,Jenni Rivera,2833383,Noel Gugliemi,Filly Brown ,2459,Jorge Diaz,1,,11,USA,R,427000,5.7
Deryck Broom,7,11,397,Omar Benson Miller,,Vic Mignogna,The Lion of Judah ,1730,Anupam Kher,0,animal|donkey|lamb|pig|rooster,3,USA,PG,15000000,3.7
Henry Hathaway,74,83,48,Jean Peters,,Joseph Cotten,Niagara ,683,Will Wright,0,hitchcockian|husband murders wife|murder|niagara falls|overhead shot,116,USA,Approved,1250000,7.1
John Ford,74,673,137,Walter Pidgeon,,Roddy McDowall,How Green Was My Valley ,1129,Barry Fitzgerald,5,coal mine|girl|school|village|wales,124,USA,Approved,1250000,7.8
,19,,201,Riley Keough,,Mary Lynn Rajskub,The Girlfriend Experience             ,1961,Paul Sparks,0,escort|female nudity|friendship|money|sex scene,17,USA,TV-MA,,7.3
Spike Lee,46,0,161,Elvis Nolasco,,Rami Malek,Da Sweet Blood of Jesus ,4040,Felicia Pearson,0,horror movie remake|remake|undead|undead sex|undead sexuality,9,USA,,1420000,4.1
Steven Soderbergh,58,0,65,Laura San Giacomo,24741700,Peter Gallagher,"Sex, Lies, and Videotape ",1431,Steven Brill,2,affair|interview|marriage|sex|videotape,95,USA,R,1200000,7.2
James Wan,287,0,651,Monica Potter,55153403,Michael Emerson,Saw ,5161,Shawnee Smith,0,chained|flashback|killer|serial killer|surprise ending,1509,USA,R,1200000,7.7
Jay Chandrasekhar,100,422,422,Daniel von Bargen,18488314,Geoffrey Arend,Super Troopers ,2893,Jay Chandrasekhar,0,drugs|highway|police|state trooper|vermont,333,USA,R,1200000,7.1
Giovanni Zelko,5,4,434,Harry Lennix,,Zuhair Haddad,The Algerian ,20218,Ben Youcef,6,algeria|algerian|los angeles california|muslim,1,USA,,1300000,7.6
Claudia Sainte-Luce,50,0,3,Vera Wilson,11278,Ximena Ayala,The Amazing Catfish ,58,José Manuel Orozco Angulo,0,actress shares first name with character|appendicitis|hospital|loss of mother|supermarket,2,Mexico,,1300000,7.0
Scott Derrickson,276,301,71,Jon Hamm,79363785,Keanu Reeves,The Day the Earth Stood Still ,22194,Juan Riedinger,0,alien|earth|giant robot|military|scientist,698,USA,PG-13,80000000,5.5
Mira Nair,137,300,73,Randeep Hooda,13876974,Naseeruddin Shah,Monsoon Wedding ,809,Lillete Dubey,0,arranged marriage|bride|celebration|marriage|wedding,214,India,R,7000000,7.4
Kenneth Lonergan,122,50,612,Rory Culkin,9180275,Matthew Broderick,You Can Count on Me ,4288,Gaby Hoffmann,0,bank|car accident|cheating husband|new york|single mother,231,USA,R,1200000,7.7
Alfred Hitchcock,73,13000,232,John Forsythe,,Jerry Mathers,The Trouble with Harry ,1041,Royal Dano,0,artist|death|hunting|sheriff|vermont,150,USA,Approved,1200000,7.2
Paul McGuigan,202,118,1000,Morgan Freeman,22494487,Bruce Willis,Lucky Number Slevin ,26451,Dorian Missick,3,coroner|death|gay son|love|mistaken identity,507,Germany,R,27000000,7.8
Jamie Babbit,99,91,849,Clea DuVall,2199853,Natasha Lyonne,But I'm a Cheerleader ,4289,Eddie Cibrian,1,cheerleader|gay|homosexual|lesbian|lesbian relationship,186,USA,R,1200000,6.6
David Boyd,10,29,449,Drew Waters,2859955,Vivica A. Fox,Home Run ,2681,Scott Elrod,2,addiction|alcoholic|baseball|car accident|reference to god,32,USA,PG-13,1200000,6.0
Quentin Tarantino,173,16000,455,Steve Buscemi,2812029,Quentin Tarantino,Reservoir Dogs ,28994,Chris Penn,0,gang|heist|heist gone wrong|nonlinear timeline|robbery,931,USA,R,1200000,8.4
Walter Lang,7,9,51,Nigel Bruce,,Spring Byington,The Blue Bird ,293,Gale Sondergaard,1,1800s|bird|blue bird of happiness|foreign language adaptation|past,25,USA,Approved,,6.5
Sergio Leone,181,0,24,Luigi Pistilli,6100000,Clint Eastwood,"The Good, the Bad and the Ugly ",16089,Enzo Petito,3,civil war|hitman|outlaw|shootout|spaghetti western,780,Italy,Approved,1200000,8.9
Anna Muylaert,111,9,4,Regina Casé,375723,Alex Huszar,The Second Mother ,76,Luis Miranda,1,brazil|exam|housekeeper|northeast region of brazil|portuguese language,26,Brazil,R,4000000,7.9
Steve Taylor,38,14,274,Marshall Allman,594904,Jason Marsden,Blue Like Jazz ,1805,Eric Lange,0,church|college|color in title|philosophy|texas,89,USA,PG-13,1200000,6.0
Kurt Voss,12,0,3,Coyote Shivers,58936,Lemmy,Down and Out with the Dolls ,318,Zoë Poledouris,0,female bassist|female drummer|female guitarist|female singer|portland oregon,4,USA,R,1200000,6.1
Léa Pool,23,4,,,24784,,"Pink Ribbons, Inc. ",0,,0,breast cancer|comma in title|period in title|punctuation in title|three word title,10,Canada,Not Rated,1200000,7.4
James David Pasternak,17,0,924,Sarah Silverman,7826,Robin Williams,Certifiably Jonathan ,54484,Jonathan Winters,10,las vegas nevada|museum|reference to mr. rogers|reference to vincent van gogh|talking about suicide,2,USA,,1200000,6.2
Laurent Bouhnik,9,0,24,Johnny Amaro,,Déborah Révy,Q ,114,Yassine Azzouz,1,female explicit nudity|hand job|oral sex|penetration|unsimulated sex,16,France,,1500000,5.6
Tom Sanchez,1,0,0,Antonio Arrué,3830,Nataniel Sánchez,The Knife of Don Juan ,5,Juan Carlos Montoya,3,,1,USA,,1200000,7.2
David Caffrey,51,4,95,Scott Adsit,,Marley Shelton,Grand Theft Parsons ,1438,Jim Cody Williams,1,guitar|hearse|manager|musician|singer,38,USA,PG-13,,6.1
Adam Jay Epstein,14,0,227,Denise Boutte,,Rich Ceraulo,Extreme Movie ,1190,Vanessa Lee Chester,6,box office flop|female frontal nudity|pink bra and panties|red bra and panties|sex,35,USA,R,,3.8
Michael Curtiz,24,345,94,David Niven,,Errol Flynn,The Charge of the Light Brigade ,1621,Spring Byington,3,attack|fort|india|lancer|massacre,52,USA,Approved,1200000,7.1
Justin Thomas Ostensen,18,0,5,Kristin Booth,,Michael Berryman,Below Zero ,862,Michael Eisner,2,,11,Canada,R,1200000,4.5
Brenton Spencer,22,0,63,Victor Zinck Jr.,,Christie Burke,Crowsnest ,630,Chelsey Reist,0,forest|found footage|lost|murder|road trip,51,Canada,R,1200000,3.8
Rob Bowman,9,38,117,Jacob Vargas,2850263,Alanna Ubach,Airborne ,1218,Brittney Powell,0,cincinnati ohio|high school|hockey|jock strap|zoologist,70,USA,PG,2600000,6.2
Ossie Davis,30,282,148,Cleavon Little,,Redd Foxx,Cotton Comes to Harlem ,1581,Calvin Lockhart,1,black cop|chase|cotton|four word title|new york city,27,USA,R,1200000,6.6
Jay Alaimo,9,2,475,Sabrina Carmichael,,William McNamara,The Wicked Within ,11257,Patrick Muldoon,0,after dark horrorfest,7,USA,R,1200000,4.6
Dylan Bank,7,0,312,Deirdre Lorenz,,Seregon O'Dassey,Bleeding Hearts ,1810,Dustin Diamond,1,bare breasts|bra and panties|nudity|syringe,2,USA,,1200000,4.2
Rob McKittrick,91,6,804,Dane Cook,16101109,Ryan Reynolds,Waiting... ,19957,Vanessa Lengies,3,cook|dishwasher|flashing|male frontal nudity|waiter,236,USA,R,3000000,6.8
Shane Meadows,99,222,68,Gary Stretch,6013,Paddy Considine,Dead Man's Shoes ,1311,George Newton,0,anger|army veteran|independent film|revenge|sex scene,207,UK,,695393,7.7
,2,,206,John Jarratt,,Richard Cawthorne,Wolf Creek             ,1617,Lucy Fry,0,based on true story|blood|serial killer|slasher|tv mini series,6,Australia,,,7.1
Jeff Burr,57,155,147,Clu Gulager,1400000,Terry Kiser,From a Whisper to a Scream ,1329,Susan Tyrrell,0,bathtub|cult film|neck breaking|tennessee|wraparound story,37,USA,R,1100000,5.9
Harry Gantz,12,0,,,247740,,Sex with Strangers ,0,,0,bisexual|explicit sex|sex|stranger|swing,8,USA,,,4.7
Guy Maddin,58,126,3,CindyMarie Small,39659,Sarah Murphy-Dyson,Dracula: Pages from a Virgin's Diary ,21,Brent Neale,1,ballet|cult film|dance|dracula|gothic,32,Canada,,1600000,7.0
Regardt van den Bergh,5,12,25,Frank Rautenbach,,Sean Cameron Michael,Faith Like Potatoes ,521,Jeanne Neilson,2,food|food in title|potato,36,South Africa,PG,10000000,6.9
Panos Cosmatos,97,22,48,Marilyn Norry,56129,Chris Gauthier,Beyond the Black Rainbow ,645,Eva Bourne,1,exploitation|four word title|hallucinogen|lynchian|telepathy,82,Canada,R,1100000,6.1
Gareth Evans,481,338,60,Yayan Ruhian,4105123,Iko Uwais,The Raid: Redemption ,1445,Donny Alamsyah,0,apartment|drug lord|gangster|police|swat team,316,Indonesia,R,1100000,7.6
Matthew R. Anderson,17,252,252,Vernon Wells,,Johnny Pacar,The Dead Undead ,2510,Matthew R. Anderson,1,flashback|immortality|rural setting|vampire|zombie,15,USA,R,1100000,3.0
Joe Marino,9,0,0,Anella Vastola,,Piero Maggiò,The Vatican Exorcisms ,12,Joe Marino,0,,10,Italy,R,1100000,2.6
Michael Curtiz,242,345,269,Claude Rains,,Humphrey Bogart,Casablanca ,3442,Conrad Veidt,4,american expatriate|casablanca morocco|gestapo|police|visa,1123,USA,PG,950000,8.6
Joel Anderson,95,0,5,Rosie Traynor,,Talia Zucker,Lake Mungo ,29,Martin Sharpe,0,ghost|lake|parapsychologist|psychic|secret,85,Australia,R,1400000,6.1
Shimit Amin,14,6,20,Shazahn Padamsee,,Ranbir Kapoor,Rocket Singh: Salesman of the Year ,1052,Gauhar Khan,1,boss|computer|honesty|sales|salesman,35,India,,,7.5
Douglas Trumbull,87,136,42,Ron Rifkin,,Bruce Dern,Silent Running ,1080,Jesse Vint,1,forest|greenhouse|plant|robot|space,199,USA,GP,1000000,6.7
John G. Avildsen,141,80,794,Burgess Meredith,117235247,Sylvester Stallone,Rocky ,16094,Carl Weathers,0,boxer|hometown hero|philadelphia pennsylvania|protective male|training,542,USA,PG,960000,8.1
Mona Fastvold,16,2,9,Brady Corbet,,Christopher Abbott,The Sleepwalker ,622,Gitte Witt,1,female nudity|male nudity|male rear nudity|nudity,2,Norway,Not Rated,1100000,4.9
John Carpenter,212,0,606,Hal Holbrook,21378000,Jamie Lee Curtis,The Fog ,4878,Janet Leigh,0,california|fog|leper|lighthouse|ship,335,USA,R,1000000,6.8
Tony Richardson,30,62,69,Susannah York,,Albert Finney,Tom Jones ,1371,Hugh Griffith,1,18th century|rags to riches|secret letter|squire|tutor,56,UK,Unrated,1000000,6.8
Levan Gabriadze,270,6,142,Renee Olstead,31537320,Shelley Hennig,Unfriended ,1565,Heather Sossaman,0,blender|computer screen|secret|skype|webcam,309,USA,R,1000000,5.7
Martin Scorsese,211,17000,595,Albert Brooks,,Robert De Niro,Taxi Driver ,23525,Peter Boyle,1,loner|neo noir|night shift|taxi driver|vigilante,881,USA,R,1300000,8.3
Joe Dante,161,287,725,Robert Picardo,17986000,Patrick Macnee,The Howling ,4438,Dee Wallace,0,1980s|forest|lycanthrope|shapeshifting|werewolf transformation,195,USA,R,1000000,6.6
Terence Young,184,92,177,Jack Lord,16067035,Ursula Andress,Dr. No ,1421,Lois Maxwell,4,british secret service|hand to hand combat|murder|official james bond series|terrorist plot,389,UK,Approved,1100000,7.3
Bradley Parker,270,18,300,Ingrid Bolsø Berdal,18112929,Jesse McCartney,Chernobyl Diaries ,2665,Jonathan Sadowski,0,abandoned building|chernobyl disaster|exploration|tour guide|van,271,USA,R,1000000,5.0
Clive Barker,203,385,100,Ashley Laurence,14564027,Andrew Robinson,Hellraiser ,673,Clare Higgins,0,blood|cenobites|creature|demon|male full frontal nudity,335,UK,R,1000000,7.0
Harold Cronk,29,18,295,Robin Givens,20773070,Benjamin A. Onyango,God's Not Dead 2 ,1810,Maria Canals-Barrera,11,alternate universe|christian|christian film|christianity|manipulation,102,USA,PG,5000000,3.4
Jeff Wadlow,137,65,683,Gary Cole,10042266,Julian Morris,Cry_Wolf ,3155,Lindy Booth,0,e mail|game|school|serial killer|student,220,USA,PG-13,1000000,5.9
Takao Okawara,107,2,3,Naomi Nishida,10037390,Hiroshi Abe,Godzilla 2000 ,53,Sakae Kimura,0,godzilla|kaiju|monster|orga|ufo,140,Japan,PG,1000000000,6.0
Derek Cianfrance,377,310,616,Mike Vogel,9701559,Ryan Gosling,Blue Valentine ,35941,John Doman,0,dog hit by a car|dysfunctional family|falling in love|female in shower|unhappily married woman,283,USA,R,3500000,7.4
Duncan Tucker,169,2,226,Felicity Huffman,9013113,Kevin Zegers,Transamerica ,3192,Paul Borghese,2,bail|male full frontal nudity|sex change|stepfather|transsexual,230,USA,R,1000000,7.4
William Brent Bell,225,19,128,Claudiu Trandafir,53245055,Fernanda Andrade,The Devil Inside ,988,Brian Johnson,0,critically bashed|demonic possession|exorcism|exorcist|found footage,290,USA,R,1000000,4.2
Russ Meyer,101,199,44,Cynthia Myers,9000000,Charles Napier,Beyond the Valley of the Dolls ,731,Harrison Page,8,band|drugs|friendship|hollywood|satire,137,USA,X,900000,6.2
Robert D. Webb,39,0,102,Neville Brand,,James Drury,Love Me Tender ,831,Debra Paget,1,army|civil war|robbery|soldier|train,36,USA,,1000000,6.2
Davis Guggenheim,372,49,,Al Gore,23808111,Billy West,An Inconvenient Truth ,929,,0,climate|earth|global warming|science|truth,504,USA,PG,,7.5
