director_name,duration,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Steven Spielberg,154,Rae Dawn Chong,852,94175854,Drama,Oprah Winfrey,The Color Purple ,2592,0,book strap|girl|racial discrimination|racial tension|stereotype,581,7.8,1.85,6000
JK Youn,103,Ji-won Ha,94,,Action|Comedy|Drama|Thriller,Nicole Dionne,Tidal Wave ,213,2,korea|lifeguard|single father|tears|tsunami,80,5.7,2.35,558
Timur Bekmambetov,141,Ayelet Zurer,11000,,Adventure|Drama|History,Morgan Freeman,Ben-Hur ,13390,2,chariot race|epic|false accusation|jerusalem|slave,744,6.1,2.35,0
Morten Tyldum,114,Rory Kinnear,19000,91121452,Biography|Drama|Thriller|War,Benedict Cumberbatch,The Imitation Game ,20295,1,crossword puzzle|cryptography|enigma code|gay lead character|world war two,393,8.1,2.35,165000
Howard Zieff,109,Albert Brooks,1000,69800000,Comedy|War,Eileen Brennan,Private Benjamin ,2419,1,camera shot of feet|female stockinged feet|loss of husband|pantyhose|suntan pantyhose,745,6.1,1.85,855
Michael Apted,124,Beverly D'Angelo,874,79900000,Biography|Drama|Music|Musical,Sissy Spacek,Coal Miner's Daughter ,2667,0,country music|kissing while having sex|poverty|singer|title based on song,816,7.5,1.85,0
Thor Freudenthal,94,Zachary Gordon,17000,64001297,Comedy|Family,Chloë Grace Moretz,Diary of a Wimpy Kid ,20154,1,cheese|diary|friend|middle school|school,975,6.2,1.85,0
Andrés Muschietti,100,Megan Charpentier,1000,71588220,Fantasy|Horror,Javier Botet,Mama ,1949,1,aunt|children|death of sister|forest|hiding in a closet,340,6.2,1.85,57000
John Carpenter,101,Donald Pleasence,2000,47000000,Horror|Thriller,Jamie Lee Curtis,Halloween ,4400,0,halloween|masked killer|michael myers|slasher|trick or treat,742,7.9,2.35,12000
Harold Ramis,98,Randy Quaid,816,61400000,Adventure|Comedy,Beverly D'Angelo,National Lampoon's Vacation ,3617,1,amusement park|dog|family vacation|national lampoon series|vacation,695,7.4,1.85,0
Jeff Tremaine,102,Georgina Cates,925,101978840,Comedy,Jackson Nicoll,Bad Grandpa ,1018,0,child beauty pageant|grandson|hidden camera|jackass|road trip,38,6.6,1.85,26000
Stephen Frears,94,Sylvia Syms,326,56437947,Biography|Drama,Roger Allam,The Queen ,486,0,monarchy|prime minister|princess diana|queen|speech,48,7.3,1.85,0
Tim Burton,92,Jeffrey Jones,925,73326666,Comedy|Fantasy,Catherine O'Hara,Beetlejuice ,1953,3,attic|ghost|surrealism|teenage girl|yuppie,692,7.5,1.85,15000
Tyler Perry,113,Tasha Smith,2000,55184721,Comedy|Drama,Michael Jai White,Why Did I Get Married? ,6510,8,marriage|overweight|psychologist|secret|work,721,5.6,1.85,1000
Gillian Armstrong,115,Kirsten Dunst,23000,50003300,Drama|Family|Romance,Christian Bale,Little Women ,29370,4,civil war|female protagonist|post civil war|reference to friedrich schiller|u.s. civil war,4000,7.3,1.85,0
James Watkins,95,Roger Allam,11000,54322273,Drama|Fantasy|Horror|Thriller,Daniel Radcliffe,The Woman in Black ,11946,0,afterlife|baby boy|bird in a cage|ghost|reunited family,326,6.4,2.35,29000
Simon West,87,Tessa Thompson,1000,47860214,Horror|Thriller,Madeline Carroll,When a Stranger Calls ,2452,0,babysitting|cell phone|high school|nightmare|teenager,431,5.0,2.35,0
Shawn Levy,88,Donald Faison,934,47811275,Adventure|Comedy|Family,Frankie Muniz,Big Fat Liar ,3707,1,brunette|film producer|liar|prank|stunt,927,5.4,1.85,896
Michael Cimino,183,Meryl Streep,22000,,Drama|War,Robert De Niro,The Deer Hunter ,34025,2,escape|friend|party|pittsburgh steelers|vietnam,11000,8.2,2.35,11000
Barry Levinson,97,Kirsten Dunst,22000,43022524,Comedy|Drama,Robert De Niro,Wag the Dog ,29252,0,death|election|hollywood|president|scandal,4000,7.1,1.85,12000
Jim Fall,94,Adam Lamberg,925,42672630,Adventure|Comedy|Family|Music|Romance,Clayton Snyder,The Lizzie McGuire Movie ,3423,1,best friend|roma|singer|spaghetti|teenager,738,5.3,2.35,0
Ric Roman Waugh,112,Harold Perrineau,12000,42919096,Action|Drama|Thriller,Dwayne Johnson,Snitch ,15800,1,cigarette smoking|dea|drugs|inspired by true events|undercover,1000,6.5,2.35,12000
Michael Dougherty,98,Conchata Ferrell,3000,42592530,Comedy|Fantasy|Horror,Adam Scott,Krampus ,4567,0,christmas|german|holiday|krampus|santa claus,658,6.2,2.35,27000
Robert Rodriguez,104,Salma Hayek,4000,40064955,Horror|Mystery|Sci-Fi,Jordana Brewster,The Faculty ,12170,1,alien|high school|ohio|photographer|water,4000,6.4,1.85,0
Brian Gibson,118,Virginia Capers,90,39100956,Biography|Drama|Music,Rae'Ven Kelly,What's Love Got to Do with It ,114,0,abusive husband|love|singer|tina turner|violence,22,7.2,1.85,0
James Mangold,120,Sylvester Stallone,22000,44886089,Crime|Drama|Thriller,Robert De Niro,Cop Land ,40117,3,corruption|faked death|falling off a roof|internal affairs|nypd,13000,6.9,1.85,2000
Joel Gallen,99,JoAnna Garcia Swisher,11000,37882551,Comedy,Chris Evans,Not Another Teen Movie ,15369,0,cheerleader|foreign exchange student|incestuous desire|incestuous kiss|prom,983,5.7,1.85,0
David Ayer,109,Anna Kendrick,15000,40983001,Crime|Drama|Thriller,Jake Gyllenhaal,End of Watch ,27788,2,lapd|police|police officer|south central los angeles|street gang,10000,7.7,1.85,38000
Cameron Crowe,105,Bradley Cooper,15000,20991497,Comedy|Drama|Romance,Emma Stone,Aloha ,44037,1,box office flop|critically bashed|hawaii|one word title|written by director,14000,5.4,1.85,11000
Rob Cohen,106,Leslie Bibb,23000,35007180,Action|Crime|Drama|Thriller,Paul Walker,The Skulls ,26652,0,college|friend|ivy league|secret society|suicide,1000,5.6,1.85,0
James Marsh,123,Emily Watson,13000,35887263,Biography|Drama|Romance,Eddie Redmayne,The Theory of Everything ,14100,0,based on memoir|cambridge university|husband wife relationship|lou gehrig's disease|physicist,876,7.7,2.35,90000
John Whitesell,86,Regina Hall,833,34308901,Comedy|Crime,Greg Grunberg,Malibu's Most Wanted ,4435,3,los angeles california|person in car trunk|racial impersonation|south asian|street gang,807,5.1,2.35,0
Matt Williams,120,James Frain,20000,33771174,Comedy|Drama|Romance,Natalie Portman,Where the Heart Is ,22383,2,birth|oklahoma|photographer|tennessee|wal mart,1000,6.8,1.85,0
David Lean,227,José Ferrer,607,6000000,Adventure|Biography|Drama|History|War,Claude Rains,Lawrence of Arabia ,1076,8,arab|british military|desert|ottoman empire|t.e. lawrence,202,8.4,2.2,11000
Rob Zombie,119,Tyler Mane,908,33386128,Horror,Scout Taylor-Compton,Halloween II ,3226,0,halloween|hospital|michael myers|rampage|vomiting,764,4.9,1.85,3000
Jean-Marc Vallée,115,Kevin Rankin,2000,37877959,Adventure|Biography|Drama,Michiel Huisman,Wild ,4896,1,female protagonist|grief|hiking|loss of mother|mother daughter relationship,820,7.1,2.35,38000
Dennis Iliadis,114,Monica Potter,956,32721635,Crime|Horror|Thriller,Tony Goldwyn,The Last House on the Left ,3861,0,kidnapping|lake|microwave oven|psychopath|woods,878,6.6,1.85,0
Clare Kilner,90,Debra Messing,1000,31585300,Comedy|Romance,Jack Davenport,The Wedding Date ,2666,0,chick flick|escort|male escort|wedding|wedding date,650,6.1,1.85,0
Rick Rosenthal,94,Thomas Ian Nicholas,2000,30259652,Comedy|Horror|Thriller,Jamie Lee Curtis,Halloween: Resurrection ,5440,5,cult film|halloween|killer|michael myers|serial killer,864,4.1,2.35,0
Louis Leterrier,106,Jason Flemyng,14000,163192114,Action|Adventure|Fantasy,Liam Neeson,Clash of the Titans ,18003,0,famous line|hand to hand combat|kraken|rape|zeus,1000,5.8,2.35,15000
Rob Reiner,98,Carol Kane,18000,30857814,Adventure|Family|Fantasy|Romance,Robin Wright,The Princess Bride ,20060,0,fairy tale|giant|pirate|princess|true love,636,8.1,1.85,33000
Denzel Washington,126,Jurnee Smollett-Bell,18000,30226144,Biography|Drama,Denzel Washington,The Great Debaters ,22745,1,college|debate|student|texas|wiley college,2000,7.6,2.35,0
Nicolas Winding Refn,100,Albert Brooks,33000,35054909,Crime|Drama,Ryan Gosling,Drive ,34337,0,kissing in an elevator|mythical hero|neo noir|protective male|silent protagonist,745,7.8,2.35,81000
Sara Sugarman,89,Carol Kane,811,29302097,Comedy|Family|Music|Romance,Adam Garcia,Confessions of a Teenage Drama Queen ,2167,8,band|friend|new york city|suburb|teenager,636,4.6,1.85,810
Nicholas Hytner,111,Tim Daly,818,29106737,Comedy|Drama|Romance,Liam Aiken,The Object of My Affection ,1450,0,baby|dancing|gay|name calling|penis slur,511,6.0,1.85,849
Juan Carlos Fresnadillo,100,Harold Perrineau,10000,28637507,Drama|Horror|Sci-Fi,Jeremy Renner,28 Weeks Later ,11471,1,paris france|rage|sniper|u.s. army|zombie apocalypse,1000,7.0,1.85,0
Thomas Carter,115,Matthew Daddario,116,30127963,Drama|Family|Sport,Jessie T. Usher,When the Game Stands Tall ,525,0,coach|high school football,110,6.7,1.85,0
Wayne Wang,106,Luke Benward,907,32645546,Comedy|Drama|Family,Cicely Tyson,Because of Winn-Dixie ,3462,5,10 year old|dog|florida|girl|supermarket,807,6.4,1.85,1000
Gina Prince-Bythewood,124,Sanaa Lathan,1000,27441122,Drama|Romance|Sport,Alfre Woodard,Love & Basketball ,5135,0,basketball movie|female basketball player|high school|nba|title directed by female,886,7.2,1.85,0
George Armitage,107,Michael Cudlitz,893,28014536,Action|Comedy|Crime|Romance|Thriller,Minnie Driver,Grosse Pointe Blank ,2044,1,assassin|high school|high school reunion|reunion|suburb,822,7.4,1.85,0
Phil Traill,99,Katy Mixon,14000,33860010,Comedy|Romance,Bradley Cooper,All About Steve ,16461,3,blind date|crossword puzzle|eccentric|fall|mine shaft,982,4.8,1.85,0
Joe Berlinger,90,Erica Leerhsen,193,26421314,Adventure|Fantasy|Horror|Mystery|Thriller,Kim Director,Book of Shadows: Blair Witch 2 ,608,0,convenience store|digit in title|punctuation in title|violence|witch,184,4.0,1.85,949
Andrew Fleming,101,Rachel True,838,24881000,Drama|Fantasy|Horror|Thriller,Christine Taylor,The Craft ,1812,0,coven|occult|outcast|spell|witch,328,6.2,1.85,6000
Woody Allen,119,Mark Gatiss,19000,23089926,Drama|Romance|Thriller,Scarlett Johansson,Match Point ,20391,3,extramarital affair|infidelity|irony of fate|surprise ending|tennis,567,7.7,1.85,0
Elizabeth Allen Rosenbaum,103,Hutch Dano,512,26161406,Adventure|Comedy|Family|Fantasy,Sierra McCormick,Ramona and Beezus ,1002,2,aunt|cat|death of pet|girl|no opening credits,316,6.7,2.35,0
James Ivory,134,Peter Vaughan,12000,22954968,Drama|Romance,Anthony Hopkins,The Remains of the Day ,12749,1,butler|housekeeper|manor|servant|service,310,7.9,2.35,0
Paul Thomas Anderson,155,Nicole Ari Parker,3000,26384919,Drama,Don Cheadle,Boogie Nights ,3677,15,1970s|adult entertainment industry|nightclub|porn industry|san fernando valley california,360,7.9,2.35,0
Robert Harmon,94,Rosanna Arquette,1000,22189039,Action|Crime|Drama|Romance|Thriller,Kieran Culkin,Nowhere to Run ,2210,0,business|escaped convict|farm|motorcycle|widow,605,5.5,1.85,466
Michael Mayer,95,Danny Pino,1000,20998709,Adventure|Drama|Family,Alison Lohman,Flicka ,3845,0,father son relationship|horse|horse ranch|ranch|wild mustang,786,6.2,2.35,1000
Martin Weisz,89,Daniella Alonso,919,20801344,Horror,Jeff Kober,The Hills Have Eyes II ,2559,0,desert|fight|hill|murder|mutant,557,5.1,2.35,0
John Ottman,97,Joey Lawrence,912,21468807,Horror|Mystery|Thriller,Loretta Devine,Urban Legends: Final Cut ,2682,2,film set|movie set|sequel|slow motion|urban legend,786,4.1,2.35,243
Jay Russell,90,Sissy Spacek,882,19158074,Drama|Family|Fantasy|Romance,William Hurt,Tuck Everlasting ,2661,2,fountain of youth|immortality|secret|woods|young man,874,6.7,2.35,0
John Bonito,92,Firass Dirani,472,18843314,Action|Drama|Thriller,Kelly Carlson,The Marine ,1045,1,beating|marine|muscleman|tied up|tough guy,239,4.7,1.85,0
Peter Atencio,100,Will Forte,826,20566327,Action|Comedy,Nia Long,Keanu ,2958,2,car chase|gangsta|gun fight|hitman|kitten,622,6.4,2.35,0
Shana Feste,117,Cinda McCain,3000,20218921,Drama|Music,Leighton Meester,Country Strong ,4204,4,country music|panties|pink panties|relapse|songwriter,646,6.3,2.35,0
David Nutter,84,Ethan Embry,989,17411331,Horror|Mystery|Sci-Fi|Thriller,Bruce Greenwood,Disturbing Behavior ,4660,3,blue ribbon|high school|jacket|jock|yogurt,982,5.5,1.85,673
Derek Cianfrance,140,Ben Mendelsohn,33000,21383298,Crime|Drama|Thriller,Ryan Gosling,The Place Beyond the Pines ,34413,3,bank|carnival|motorcycle|police|rookie cop,748,7.3,2.35,47000
Roger Donaldson,108,Akie Kotabe,775,24984868,Action|Crime|Thriller,Luke Bracey,The November Man ,3033,2,critically bashed|premarital sex|sex scene|sex standing up|stripper,614,6.3,2.35,0
Stephan Elliott,109,Patrick Bergin,471,16459004,Drama|Mystery|Thriller,Jason Priestley,Eye of the Beholder ,1069,1,chicago illinois|false identity|femme fatale|new york city|spying,308,4.9,2.35,327
Kathryn Bigelow,131,Christian Camargo,10000,15700000,Drama|History|Thriller|War,Jeremy Renner,The Hurt Locker ,11114,0,army|bomb|dangerous job|death|iraq,602,7.6,1.85,16000
Mark L. Lester,114,George C. Scott,695,15100000,Action|Horror|Sci-Fi|Thriller,Heather Locklear,Firestarter ,3444,1,captain|experiment|fire|psychic|secret government agency,654,6.0,2.35,0
Andrew Dominik,97,Sam Shepard,11000,14938570,Crime|Thriller,Brad Pitt,Killing Them Softly ,14025,1,exploding car|hit by a car|poker game|punched in the face|shot to death,820,6.2,2.35,20000
Anton Corbijn,122,Nina Hoss,22000,17237244,Crime|Drama|Thriller,Philip Seymour Hoffman,A Most Wanted Man ,22574,3,intelligence|intelligence agency|secret service|surveillance camera|war on terror,164,6.8,2.35,13000
Tom Green,87,Harland Williams,826,14249005,Comedy,Rip Torn,Freddy Got Fingered ,2689,1,animator|bamboo cane|cartoonist|sausage|slacker,503,4.5,1.85,0
Mike Nawrocki,85,Cam Clarke,354,12701880,Adventure|Animation|Comedy|Family,Yuri Lowenthal,The Pirates Who Don't Do Anything: A VeggieTales Movie ,568,0,17th century|king|pirate|vegetable|waiter,173,5.7,1.85,175
Catherine Owens,85,The Edge,468,10353690,Documentary|Music,Bono,U2 3D ,646,0,3d in title|digit in title|rock band|rocker|u2,67,8.4,1.78,116
Douglas Aarniokoski,101,Adrian Paul,1000,12801190,Action|Adventure|Fantasy|Sci-Fi,Christopher Lambert,Highlander: Endgame ,2764,1,battle|explosion|immortal|revenge|sequel to cult film,786,4.6,2.35,356
Bryan Barber,121,Faizon Love,907,12549485,Crime|Drama|Musical|Romance,Cicely Tyson,Idlewild ,3633,4,gangster|playing piano|song and dance|speakeasy|written and directed by cast member,585,6.2,2.35,489
Lone Scherfig,107,Jim Sturgess,11000,13766014,Drama|Romance,Anne Hathaway,One Day ,17627,0,23 year time span|accidental death|best friend|loss of loved one|male female friendship,5000,7.0,2.35,49000
Drew Barrymore,111,Jimmy Fallon,796,13034417,Drama|Sport,Daniel Stern,Whip It ,2633,1,beauty pageant|friend|pageant|roller derby|texas,787,6.9,2.35,10000
Brian Koppelman,92,Tom Noonan,14000,11632420,Crime|Drama|Thriller,Vin Diesel,Knockaround Guys ,15644,1,mob|mobster|money|montana|sheriff,442,6.1,2.35,566
James Foley,97,Brian Van Holt,436,12212417,Crime|Thriller,Louis Lombardi,Confidence ,1172,3,con|grifter|lap dance|organized crime|shot in the forehead,324,6.7,2.35,622
Albert Brooks,97,Bradley Whitford,12000,11614236,Comedy,Jeff Bridges,The Muse ,15209,2,directed by star|muse|satire|screenwriter|tiffany's,821,5.6,1.37,251
Irwin Winkler,125,Keith Allen,427,13337299,Biography|Drama|Music|Musical,Kevin McNally,De-Lovely ,729,7,cole porter|composer|love|party|tears,66,6.6,2.35,1000
Woody Allen,124,Larry David,11000,10763469,Comedy|Drama|Romance,Woody Allen,New York Stories ,12685,0,12 year old|artist|hotel|three word title|written and directed by cast member,860,6.4,1.85,877
Steve Gomer,76,Kyla Pratt,595,11144518,Adventure|Family,Trevor Morgan,Barney's Great Adventure ,1139,0,apostrophe in title|critically bashed|hit on the head with a ball|punctuation in title|tyrannosaurus rex,417,2.8,1.85,436
RZA,107,RZA,746,15608545,Action,Rick Yune,The Man with the Iron Fists ,2377,3,blacksmith|box office flop|chop socky|critically bashed|village,561,5.4,2.35,29000
Dean Parisot,91,Jake Busey,925,10443316,Comedy|Drama|Romance,Catherine O'Hara,Home Fries ,2913,2,baby|infidelity|pilot|pregnant|waitress,660,5.0,1.85,247
Mark Piznarski,96,Chris Klein,989,10494147,Drama|Romance,Bruce Greenwood,Here on Earth ,3142,1,diner|love|private school|school|small town,841,5.1,1.85,648
Terry Gilliam,142,Bob Hoskins,22000,9929000,Drama|Sci-Fi,Robert De Niro,Brazil ,29475,0,black comedy|bureaucracy|dream|terrorist|wrongful arrest,5000,8.0,1.85,16000
Sean McNamara,103,Rebecca De Mornay,1000,10411980,Family|Music|Romance,Oliver James,Raise Your Voice ,4676,0,music school|scholarship|small town|stage fright|three word title,872,5.9,2.35,1000
,60,Nicole de Boer,443,,Drama|Fantasy|Mystery|Sci-Fi,David Ogden Stiers,The Dead Zone             ,981,1,psychic|psychic power|psychometry|spin off|supernatural power,319,7.5,,576
Joel Coen,117,Jeff Bridges,22000,17439163,Comedy|Crime,Philip Seymour Hoffman,The Big Lebowski ,47728,1,death|drug|nihilism|rug|white russian,12000,8.2,1.85,35000
Craig Brewer,116,Michael Raymond-James,3000,9396487,Drama|Music,Justin Timberlake,Black Snake Moan ,5012,0,breasts|nipples visible through clothing|nudity|rear entry sex|white panties,788,7.0,2.35,0
Ron Shelton,118,Dash Mihok,556,9059588,Crime|Drama|Romance|Thriller,Khandi Alexander,Dark Blue ,1873,1,corrupt|criminal|investigation|lapd|police,463,6.6,2.35,455
Michael Winterbottom,108,Archie Panjabi,11000,9172810,Biography|Drama|History|Thriller|War,Angelina Jolie Pitt,A Mighty Heart ,12178,0,fbi|journalist|missing|pakistan|reporter,883,6.7,2.35,923
David Raynr,94,Jodi Lyn O'Keefe,11000,8735529,Comedy|Drama|Romance,James Franco,Whatever It Takes ,13524,4,male objectification|manipulative behavior|modern day adaptation|narcissistic woman|promiscuous woman,897,5.5,1.85,816
Mort Nathan,97,Lin Shaye,890,8586376,Comedy,Vivica A. Fox,Boat Trip ,3161,4,gay|hot air balloon|rejecting a marriage proposal|talking to a dog|vomiting on someone,852,4.9,1.85,1000
Oliver Parker,97,Tom Wilkinson,14000,8378141,Comedy|Drama|Romance,Colin Firth,The Importance of Being Earnest ,16502,5,comedy of manners|false identity|farce|love|period drama,1000,6.9,2.35,0
Dan Curtis,99,Campbell Scott,1000,,Fantasy|Romance,Jennifer Jason Leigh,The Love Letter ,2166,1,antique|desk|letter|love|time travel,393,7.4,1.33,515
Wil Shriner,91,Neil Flynn,8000,8080116,Adventure|Comedy|Family,Logan Lerman,Hoot ,10732,0,fight|florida|montana|owl|school,625,5.6,1.85,647
Martin McDonagh,107,Anna Madeley,65,7757130,Comedy|Crime|Drama,Elizabeth Berrington,In Bruges ,173,1,bruges|bullet|hope|irish|tourist,49,8.0,2.35,32000
Tina Gordon Chism,95,S. Epatha Merkerson,931,9123834,Comedy|Romance,Tyler James Williams,Peeples ,3322,6,african american,539,5.3,2.35,0
Peter Cattaneo,102,Bradley Cooper,15000,6409206,Comedy|Music,Emma Stone,The Rocker ,33153,4,20 years later|drummer|hdtv|rock band|rock star,14000,6.2,1.85,0
Vicky Jenson,88,Zach Gilford,24000,6373693,Comedy|Romance,J.K. Simmons,Post Grad ,25637,1,graduation|graduation speech|title directed by female|tv studio|unemployment,971,5.3,1.85,0
Gus Van Sant,106,Hal Holbrook,13000,7556708,Drama,Matt Damon,Promised Land ,14544,1,corporate greed|corporation|natural gas|salesman|small town,826,6.6,1.85,10000
Woody Allen,92,Michael McKean,860,5306447,Comedy|Romance,Larry David,Whatever Works ,2717,1,atheist|limp|quantum mechanics|religion|runaway,658,7.2,1.85,10000
Mary Lambert,105,Susan Ward,477,5217498,Drama|Mystery|Thriller,Matthew Settle,The In Crowd ,2312,4,clique|country club|female protagonist|lip gloss|title directed by female,397,4.6,1.85,157
Tommy Lee Jones,107,Dwight Yoakam,572,5023275,Adventure|Crime|Drama|Mystery|Western,Levon Helm,Three Burials ,1627,2,cemetery|friend|journey|mexico|promise,324,7.5,2.35,0
Peter Kassovitz,120,Mark Margolis,49000,4956401,Drama|War,Robin Williams,Jakob the Liar ,51657,2,german|ghetto|hope|nazi|radio,1000,6.5,1.85,0
