num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,facenumber_in_poster,movie_imdb_link,language,country,content_rating,budget,movie_facebook_likes
152,419,7,Woo-sung Jung,Action|Adventure|Comedy|Western,Kang-ho Song,The Good, the Bad, the Weird ,Dal-su Oh,0,http://www.imdb.com/title/tt0901487/?ref_=fn_tt_tt_1,Korean,South Korea,R,10000000,0
129,36,899,Katrina Bowden,Horror|Thriller,Boris Kodjoe,Nurse 3D ,Kathleen Turner,0,http://www.imdb.com/title/tt1913166/?ref_=fn_tt_tt_1,English,USA,R,10000000,0
15,3,499,Callum Rennie,Action|Comedy|Drama|Western,Tyler Mane,Gunless ,Dustin Milligan,1,http://www.imdb.com/title/tt1376195/?ref_=fn_tt_tt_1,English,Canada,,10000000,850
248,99,452,Martin Starr,Comedy|Drama|Romance,Kristen Stewart,Adventureland ,Wendie Malick,6,http://www.imdb.com/title/tt1091722/?ref_=fn_tt_tt_1,English,USA,R,,0
52,0,195,Victor Rivers,Drama|Romance,Danny Pino,The Lost City ,Enrique Murciano,0,http://www.imdb.com/title/tt0343996/?ref_=fn_tt_tt_1,English,USA,R,9600000,957
55,41,525,Mike Epps,Comedy,John Witherspoon,Next Friday ,Rolando Molina,1,http://www.imdb.com/title/tt0195945/?ref_=fn_tt_tt_1,English,USA,R,9500000,0
30,9,262,Jordana Brewster,Action|Crime|Drama|Thriller,Hayden Christensen,American Heist ,Akon,1,http://www.imdb.com/title/tt2923316/?ref_=fn_tt_tt_1,English,Canada,R,10000000,0
130,43,244,Burt Kwouk,Action|Adventure|Thriller,Donald Pleasence,You Only Live Twice ,Desmond Llewelyn,0,http://www.imdb.com/title/tt0062512/?ref_=fn_tt_tt_1,English,UK,Approved,9500000,0
29,7,1000,Alfie Allen,Action|Comedy|Crime|Drama,Mem Ferda,Plastic ,Malese Jow,7,http://www.imdb.com/title/tt2556874/?ref_=fn_tt_tt_1,English,UK,R,10000000,1000
447,0,319,Emmanuelle Riva,Drama|Romance,Isabelle Huppert,Amour ,Jean-Louis Trintignant,1,http://www.imdb.com/title/tt1602620/?ref_=fn_tt_tt_1,French,France,PG-13,8900000,33000
66,17,770,Heather O'Rourke,Horror|Thriller,Tom Skerritt,Poltergeist III ,Zelda Rubinstein,0,http://www.imdb.com/title/tt0095889/?ref_=fn_tt_tt_1,English,USA,PG-13,10500000,616
18,6,200,Roger Cross,Action|Horror,Daniella Alonso,Re-Kill ,Jesse Garcia,0,http://www.imdb.com/title/tt1612319/?ref_=fn_tt_tt_1,English,USA,R,9500000,898
61,176,760,Sid Caesar,Action|Adventure|Comedy|Crime,Jonathan Winters,It's a Mad, Mad, Mad, Mad World ,Spencer Tracy,0,http://www.imdb.com/title/tt0057193/?ref_=fn_tt_tt_1,English,USA,Approved,9400000,0
232,0,82,Lola Dueñas,Comedy|Crime|Drama|Mystery,Carmen Maura,Volver ,Antonio de la Torre,1,http://www.imdb.com/title/tt0441909/?ref_=fn_tt_tt_1,Spanish,Spain,R,,0
62,0,123,Joe Flaherty,Adventure|Animation|Fantasy|Horror|Sci-Fi,John Vernon,Heavy Metal ,Don Francks,0,http://www.imdb.com/title/tt0082509/?ref_=fn_tt_tt_1,English,Canada,R,9300000,0
106,100,327,Michael Angarano,Adventure|Comedy|Sci-Fi,Jizelle Jade,Gentlemen Broncos ,Héctor Jiménez,7,http://www.imdb.com/title/tt1161418/?ref_=fn_tt_tt_1,English,USA,PG-13,,0
56,12,1000,Jim Broadbent,Drama|War,Robert Downey Jr.,Richard III ,Kristin Scott Thomas,3,http://www.imdb.com/title/tt0114279/?ref_=fn_tt_tt_1,English,UK,R,6000000,0
48,43,129,Michaela McManus,Action|Horror|Thriller,Scott Glenn,Into the Grizzly Maze ,Luisa D'Oliveira,4,http://www.imdb.com/title/tt1694021/?ref_=fn_tt_tt_1,English,USA,R,10000000,0
41,116,303,Steven Michael Quezada,Action|Drama|Romance|Thriller,Bárbara Mori,Kites ,Kabir Bedi,0,http://www.imdb.com/title/tt1198101/?ref_=fn_tt_tt_1,English,India,,600000000,0
439,3000,844,Kirsten Dunst,Drama|Sci-Fi,Alexander Skarsgård,Melancholia ,Charlotte Rampling,1,http://www.imdb.com/title/tt1527186/?ref_=fn_tt_tt_1,English,Denmark,R,7400000,50000
54,25,110,Keisha Castle-Hughes,Biography|Comedy|Drama|Family|Romance,Noah Taylor,Red Dog ,Luke Ford,0,http://www.imdb.com/title/tt0803061/?ref_=fn_tt_tt_1,English,Australia,PG,8500000,10000
50,147,1000,Katrina Kaif,Drama|Romance,Shah Rukh Khan,Jab Tak Hai Jaan ,Vic Waghorn,4,http://www.imdb.com/title/tt2176013/?ref_=fn_tt_tt_1,Hindi,India,Not Rated,7217600,12000
392,0,513,Yaphet Kotto,Horror|Sci-Fi,Tom Skerritt,Alien ,Bolaji Badejo,0,http://www.imdb.com/title/tt0078748/?ref_=fn_tt_tt_1,English,UK,R,11000000,23000
277,365,177,Edwin Neal,Horror|Thriller,Gunnar Hansen,The Texas Chain Saw Massacre ,Marilyn Burns,0,http://www.imdb.com/title/tt0072271/?ref_=fn_tt_tt_1,English,USA,R,83532,0
259,50,741,Scout Taylor-Compton,Biography|Drama|Music,Kristen Stewart,The Runaways ,Johnny Lewis,2,http://www.imdb.com/title/tt1017451/?ref_=fn_tt_tt_1,English,USA,R,10000000,0
66,278,51,Paul Michael Glaser,Drama|Family|Musical|Romance,Topol,Fiddler on the Roof ,Rosalind Harris,0,http://www.imdb.com/title/tt0067093/?ref_=fn_tt_tt_1,English,USA,G,9000000,0
129,92,177,Earl Cameron,Action|Adventure|Thriller,Desmond Llewelyn,Thunderball ,Lois Maxwell,1,http://www.imdb.com/title/tt0059800/?ref_=fn_tt_tt_1,English,UK,Approved,9000000,0
115,33,123,Shanley Caswell,Comedy|Horror|Sci-Fi,Josh Hutcherson,Detention ,Parker Bagley,2,http://www.imdb.com/title/tt1701990/?ref_=fn_tt_tt_1,English,USA,R,10000000,0
81,798,16,Alessandro Preziosi,Comedy|Drama|Romance,Riccardo Scamarcio,Loose Cannons ,Lunetta Savino,9,http://www.imdb.com/title/tt1405810/?ref_=fn_tt_tt_1,Italian,Italy,,,0
29,473,685,Jada Pinkett Smith,Action|Crime|Drama|Romance|Thriller,Vivica A. Fox,Set It Off ,Blair Underwood,4,http://www.imdb.com/title/tt0117603/?ref_=fn_tt_tt_1,English,USA,R,9000000,0
32,92,862,Sanaa Lathan,Comedy|Drama,Harold Perrineau,The Best Man ,Jarrod Bunch,6,http://www.imdb.com/title/tt0168501/?ref_=fn_tt_tt_1,English,USA,R,9000000,0
142,85,118,Alex Vincent,Fantasy|Horror,Catherine Hicks,Child's Play ,Dinah Manoff,0,http://www.imdb.com/title/tt0094862/?ref_=fn_tt_tt_1,English,USA,R,9000000,0
263,909,184,Tucker Albrizzi,Documentary|Drama,Michael Moore,Sicko ,Bill Clinton,1,http://www.imdb.com/title/tt0386032/?ref_=fn_tt_tt_1,English,USA,PG-13,9000000,0
285,65,908,Zach Gilford,Action|Horror|Sci-Fi|Thriller,Noel Gugliemi,The Purge: Anarchy ,Roberta Valderrama,0,http://www.imdb.com/title/tt2975578/?ref_=fn_tt_tt_1,English,USA,R,9000000,15000
64,0,407,Lauren German,Comedy|Drama|Romance,Rosario Dawson,Down to You ,Shawn Hatosy,1,http://www.imdb.com/title/tt0186975/?ref_=fn_tt_tt_1,English,USA,PG-13,9000000,580
150,8,587,Fred Willard,Adventure|Comedy,Ethan Embry,Harold & Kumar Go to White Castle ,Paula Garcés,2,http://www.imdb.com/title/tt0366551/?ref_=fn_tt_tt_1,English,USA,R,9000000,0
136,37,883,Gary Oldman,Drama|Thriller,Jeff Bridges,The Contender ,William Petersen,0,http://www.imdb.com/title/tt0208874/?ref_=fn_tt_tt_1,English,USA,R,20000000,1000
132,46,701,Nia Long,Crime|Drama|Thriller,Vin Diesel,Boiler Room ,Herbert Russell,3,http://www.imdb.com/title/tt0181984/?ref_=fn_tt_tt_1,English,USA,R,8000000,0
71,644,199,Denholm Elliott,Comedy,Don Ameche,Trading Places ,Ralph Bellamy,2,http://www.imdb.com/title/tt0086465/?ref_=fn_tt_tt_1,English,USA,R,,0
186,17,179,Crystal Lowe,Horror,Oliver Hudson,Black Christmas ,Andrea Martin,0,http://www.imdb.com/title/tt0454082/?ref_=fn_tt_tt_1,English,USA,R,9000000,0
39,2,127,Tate Taylor,Comedy|Romance,Jennifer Esposito,Breakin' All the Rules ,Patrick Cranshaw,1,http://www.imdb.com/title/tt0349169/?ref_=fn_tt_tt_1,English,USA,PG-13,,266
46,0,130,Derek Jacobi,Action|Biography|Drama|History|Romance|War,Brian Blessed,Henry V ,Danny Webb,1,http://www.imdb.com/title/tt0097499/?ref_=fn_tt_tt_1,English,UK,PG-13,9000000,0
201,84,338,David Zayas,Comedy|Drama,Philip Seymour Hoffman,The Savages ,Gbenga Akinnagbe,0,http://www.imdb.com/title/tt0775529/?ref_=fn_tt_tt_1,English,USA,R,,0
32,17,571,Freddy Rodríguez,Comedy|Romance,Carlos Ponce,Chasing Papi ,Maria Conchita Alonso,3,http://www.imdb.com/title/tt0323572/?ref_=fn_tt_tt_1,English,USA,PG,,419
117,188,35,Nicky Katt,Action|Crime|Drama|Thriller,Kristin Lehman,The Way of the Gun ,Dylan Kussman,4,http://www.imdb.com/title/tt0202677/?ref_=fn_tt_tt_1,English,USA,R,8500000,1000
136,23,471,Rory Culkin,Comedy|Drama,Kieran Culkin,Igby Goes Down ,Bill Irwin,1,http://www.imdb.com/title/tt0280760/?ref_=fn_tt_tt_1,English,USA,R,9000000,838
15,157,219,Matt Ross,Comedy,Jon Favreau,PCU ,Chris Young,3,http://www.imdb.com/title/tt0110759/?ref_=fn_tt_tt_1,English,USA,PG-13,8000000,0
46,6,633,Drew Fuller,Drama|Family|Romance,Bill Cobbs,The Ultimate Gift ,Mircea Monroe,2,http://www.imdb.com/title/tt0482629/?ref_=fn_tt_tt_1,English,USA,PG,,0
1,,140,Katherine Kelly Lang,Drama|Romance,Ronn Moss,The Bold and the Beautiful             ,Hunter Tylo,0,http://www.imdb.com/title/tt0092325/?ref_=fn_tt_tt_1,English,USA,TV-14,,748
41,12,297,John Carradine,Action|Adventure|Comedy|Romance|Sci-Fi,Anjelica Huston,The Ice Pirates ,Robert Urich,4,http://www.imdb.com/title/tt0087451/?ref_=fn_tt_tt_1,English,USA,PG,9000000,0
65,49,261,John Doman,Biography|Drama|Sport,Emma Bell,Gracie ,Carly Schroeder,1,http://www.imdb.com/title/tt0441007/?ref_=fn_tt_tt_1,English,USA,PG-13,9000000,313
100,38,316,Garry Shandling,Comedy|Drama|Romance,Billy Crudup,Trust the Man ,Dagmara Dominczyk,3,http://www.imdb.com/title/tt0427968/?ref_=fn_tt_tt_1,English,USA,R,9000000,215
129,26,611,Amy Poehler,Comedy|Music,Steve Coogan,Hamlet 2 ,David Arquette,1,http://www.imdb.com/title/tt1104733/?ref_=fn_tt_tt_1,English,USA,R,9000000,1000
103,162,277,Eddie Izzard,Drama|Music,Christian Bale,Velvet Goldmine ,Janet McTeer,3,http://www.imdb.com/title/tt0120879/?ref_=fn_tt_tt_1,English,UK,R,,0
77,43,0,Jun Kunimura,Fantasy|Horror|Mystery|Thriller,Jung-min Hwang,The Wailing ,Woo-hee Chun,0,http://www.imdb.com/title/tt5215952/?ref_=fn_tt_tt_1,Korean,South Korea,Not Rated,,0
67,64,748,Heather Morris,Documentary|Music,Lea Michele,Glee: The 3D Concert Movie ,Kevin McHale,0,http://www.imdb.com/title/tt1922612/?ref_=fn_tt_tt_1,English,USA,PG,9000000,0
31,6,6,Chatchai Plengpanich,Action|Adventure|Drama|History|War,Sarunyu Wongkrachang,The Legend of Suriyothai ,Mai Charoenpura,3,http://www.imdb.com/title/tt0290879/?ref_=fn_tt_tt_1,Thai,Thailand,R,400000000,124
76,930,433,Adrienne Barbeau,Horror,John Amos,Two Evil Eyes ,Sally Kirkland,1,http://www.imdb.com/title/tt0100827/?ref_=fn_tt_tt_1,English,Italy,R,9000000,375
17,0,5,Julie Engelbrecht,Comedy,Lambert Wilson,Barbecue ,Lionel Abelanski,1,http://www.imdb.com/title/tt3202120/?ref_=fn_tt_tt_1,French,France,,,348
81,608,25,Ruth Sheen,Drama,Lesley Manville,All or Nothing ,Gary McDonald,0,http://www.imdb.com/title/tt0286261/?ref_=fn_tt_tt_1,English,UK,R,9000000,484
26,3,204,Will Patton,Drama,Q'orianka Kilcher,Princess Kaiulani ,Shaun Evans,3,http://www.imdb.com/title/tt1185344/?ref_=fn_tt_tt_1,English,USA,PG,9000000,0
24,11,18,Vince Colosimo,Drama|Family,Jacqueline McKenzie,Opal Dream ,Peter Callan,0,http://www.imdb.com/title/tt0420835/?ref_=fn_tt_tt_1,English,Australia,PG,11400000,135
44,8,558,Joshua Mikel,Action|Crime|Thriller,Robert De Niro,Heist ,D.B. Sweeney,1,http://www.imdb.com/title/tt3276924/?ref_=fn_tt_tt_1,English,USA,R,19000000,0
80,28,104,Thure Lindhardt,Drama|History|Thriller|War,Lars Mikkelsen,Flame and Citron ,Christian Berkel,1,http://www.imdb.com/title/tt0920458/?ref_=fn_tt_tt_1,Danish,Denmark,Not Rated,45000000,0
41,0,230,Kip Pardue,Comedy|Music|Romance,Fisher Stevens,Undiscovered ,Perrey Reeves,4,http://www.imdb.com/title/tt0434424/?ref_=fn_tt_tt_1,English,Germany,PG-13,9000000,128
91,11,35,Warren Clarke,Crime|Drama|Mystery|Thriller,Andrew Garfield,Red Riding: In the Year of Our Lord 1974 ,John Henshaw,0,http://www.imdb.com/title/tt1259574/?ref_=fn_tt_tt_1,English,UK,Not Rated,,0
66,25,98,Ronit Elkabetz,Drama,Catherine Deneuve,The Girl on the Train ,Émilie Dequenne,1,http://www.imdb.com/title/tt1183672/?ref_=fn_tt_tt_1,French,France,Unrated,,120
19,6,664,Erika Christensen,Drama|Romance,Sarah Michelle Gellar,Veronika Decides to Die ,Jonathan Tucker,1,http://www.imdb.com/title/tt1068678/?ref_=fn_tt_tt_1,English,USA,R,9000000,3000
35,4,93,Linda Kozlowski,Adventure|Comedy,Paul Hogan,Crocodile Dundee ,David Gulpilil,1,http://www.imdb.com/title/tt0090555/?ref_=fn_tt_tt_1,English,Australia,PG-13,8800000,0
19,4,151,Steven Waddington,Action|Animation|Fantasy|Horror|Mystery|Sci-Fi|Thriller,Sean Pertwee,Ultramarines: A Warhammer 40,000 Movie ,Donald Sumpter,0,http://www.imdb.com/title/tt1679332/?ref_=fn_tt_tt_1,English,UK,R,,0
33,3,327,Sarah Polley,Mystery|Sci-Fi|Thriller,Stephen Graham,The I Inside ,Stephen Rea,2,http://www.imdb.com/title/tt0325596/?ref_=fn_tt_tt_1,English,UK,R,8800000,458
17,8,59,Gyton Grantley,Drama|History|War,Harrison Gilbertson,Beneath Hill 60 ,Steve Le Marquand,12,http://www.imdb.com/title/tt1418646/?ref_=fn_tt_tt_1,English,Australia,R,9000000,0
163,236,68,Maïwenn,Crime|Drama,Riccardo Scamarcio,Polisse ,Karin Viard,1,http://www.imdb.com/title/tt1661420/?ref_=fn_tt_tt_1,French,France,Not Rated,,0
133,8,896,Fisher Stevens,Crime|Mystery|Thriller,Hayden Christensen,Awake ,Denis O'Hare,0,http://www.imdb.com/title/tt0211933/?ref_=fn_tt_tt_1,English,USA,R,8600000,0
47,,265,James Arnold Taylor,Action|Adventure|Animation|Drama|Fantasy|Sci-Fi,Dee Bradley Baker,Star Wars: The Clone Wars             ,Tom Kane,0,http://www.imdb.com/title/tt0458290/?ref_=fn_tt_tt_1,English,USA,TV-PG,,2000
66,3,305,Mike Dopud,Action|Crime|Thriller,Michael Jai White,Skin Trade ,Celina Jade,5,http://www.imdb.com/title/tt1641841/?ref_=fn_tt_tt_1,English,Thailand,R,9000000,0
147,541,673,Jami Gertz,Comedy|Fantasy|Horror,Dianne Wiest,The Lost Boys ,Jason Patric,3,http://www.imdb.com/title/tt0093437/?ref_=fn_tt_tt_1,English,USA,R,,19000
273,108,175,Beth Grant,Drama|Music|Romance,Jeff Bridges,Crazy Heart ,Debrianna Mansini,0,http://www.imdb.com/title/tt1263670/?ref_=fn_tt_tt_1,English,USA,R,7000000,0
32,43,122,Frederic Forrest,Drama|Music|Romance,David Keith,The Rose ,Alan Bates,0,http://www.imdb.com/title/tt0079826/?ref_=fn_tt_tt_1,English,USA,R,8500000,1000
52,68,1000,Christina Milian,Comedy,Djimon Hounsou,Baggage Claim ,Boris Kodjoe,9,http://www.imdb.com/title/tt1171222/?ref_=fn_tt_tt_1,English,USA,PG-13,8500000,0
107,35,170,David Hemmings,Adventure|Comedy|Fantasy|Sci-Fi,Jane Fonda,Barbarella ,Milo O'Shea,2,http://www.imdb.com/title/tt0062711/?ref_=fn_tt_tt_1,English,France,PG,9000000,0
6,8,3,Louisa Milwood-Haigh,Adventure|Family,Bjørn Sundquist,Shipwrecked ,Stian Smestad,2,http://www.imdb.com/title/tt0099816/?ref_=fn_tt_tt_1,English,Norway,PG,60000000,278
175,729,133,Chris Klein,Comedy|Drama,Matthew Broderick,Election ,Molly Hagan,0,http://www.imdb.com/title/tt0126886/?ref_=fn_tt_tt_1,English,USA,R,8000000,0
167,300,341,Brooke Smith,Drama,Jacinda Barrett,The Namesake ,Tabu,1,http://www.imdb.com/title/tt0433416/?ref_=fn_tt_tt_1,English,USA,PG-13,,0
132,17,429,Romany Malco,Comedy,Bella Thorne,The DUFF ,Skyler Samuels,4,http://www.imdb.com/title/tt1666801/?ref_=fn_tt_tt_1,English,USA,PG-13,8500000,8000
66,170,202,Max Beesley,Drama|Music|Romance,Mariah Carey,Glitter ,Valarie Pettiford,1,http://www.imdb.com/title/tt0118589/?ref_=fn_tt_tt_1,English,USA,PG-13,22000000,0
79,14,559,Cicely Tyson,Drama|Horror|Mystery|Thriller,Abigail Spencer,The Haunting in Connecticut 2: Ghosts of Georgia ,Brad James,0,http://www.imdb.com/title/tt1457765/?ref_=fn_tt_tt_1,English,USA,R,9000000,0
15,0,13,Sung-kee Ahn,Action|Drama,Yu-mi Jeong,Silmido ,Kyung-gu Sol,0,http://www.imdb.com/title/tt0387596/?ref_=fn_tt_tt_1,Korean,South Korea,,8000000,387
222,319,179,Paul Schneider,Biography|Drama|Romance,Abbie Cornish,Bright Star ,Samuel Roukin,0,http://www.imdb.com/title/tt0810784/?ref_=fn_tt_tt_1,English,UK,PG,8500000,0
210,160,81,Jimmy Shergill,Adventure|Drama|Thriller,Shah Rukh Khan,My Name Is Khan ,Christopher B. Duncan,2,http://www.imdb.com/title/tt1188996/?ref_=fn_tt_tt_1,Hindi,India,PG-13,12000000,27000
60,71,304,Chris Penn,Drama|Music|Romance,Dianne Wiest,Footloose ,Lori Singer,0,http://www.imdb.com/title/tt0087277/?ref_=fn_tt_tt_1,English,USA,PG,8200000,0
346,78,,,Action|Adventure|Drama,Robert Redford,All Is Lost ,,0,http://www.imdb.com/title/tt2017038/?ref_=fn_tt_tt_1,English,USA,PG-13,9000000,18000
46,407,39,Casey Siemaszko,Adventure|Drama|Thriller,Mary Elizabeth Mastrantonio,Limbo ,Vanessa Martinez,0,http://www.imdb.com/title/tt0164085/?ref_=fn_tt_tt_1,English,USA,R,8000000,196
15,11,119,Clive Standen,Comedy|Drama|Romance,Katrina Kaif,Namastey London ,Riteish Deshmukh,2,http://www.imdb.com/title/tt0795434/?ref_=fn_tt_tt_1,Hindi,India,,,341
169,644,6,Orla Fitzgerald,Drama|War,Padraic Delaney,The Wind That Shakes the Barley ,Martin Lucey,1,http://www.imdb.com/title/tt0460989/?ref_=fn_tt_tt_1,English,Ireland,Not Rated,,0
25,0,417,Madhuri Dixit,Comedy|Drama|Musical|Romance,Ranbir Kapoor,Yeh Jawaani Hai Deewani ,Aditya Roy Kapoor,2,http://www.imdb.com/title/tt2178470/?ref_=fn_tt_tt_1,Hindi,India,Not Rated,,0
81,80,225,William Zabka,Action|Drama|Family|Sport,Martin Kove,The Karate Kid ,William Bassett,0,http://www.imdb.com/title/tt0087538/?ref_=fn_tt_tt_1,English,USA,PG,8000000,0
54,54,346,Deborah Kerr,Biography|Drama|History|Romance,Peter Ustinov,Quo Vadis ,Robert Taylor,0,http://www.imdb.com/title/tt0043949/?ref_=fn_tt_tt_1,English,USA,Passed,7623000,1000
147,163,636,Paris Hilton,Horror|Musical|Sci-Fi,Alexa PenaVega,Repo! The Genetic Opera ,Paul Sorvino,1,http://www.imdb.com/title/tt0963194/?ref_=fn_tt_tt_1,English,USA,R,8500000,8000
16,11,173,Bergüzar Korel,Action|Adventure,Necati Sasmaz,Valley of the Wolves: Iraq ,Ghassan Massoud,3,http://www.imdb.com/title/tt0493264/?ref_=fn_tt_tt_1,Arabic,Turkey,,8300000,467
215,16000,857,Eric Stoltz,Crime|Drama,Bruce Willis,Pulp Fiction ,Phil LaMarr,1,http://www.imdb.com/title/tt0110912/?ref_=fn_tt_tt_1,English,USA,R,8000000,45000
63,21,842,Jim Henson,Adventure|Comedy|Family|Musical,Madeline Kahn,The Muppet Movie ,Dom DeLuise,0,http://www.imdb.com/title/tt0079588/?ref_=fn_tt_tt_1,English,UK,G,,0
534,66,85,Michael Papajohn,Crime|Drama|Thriller,Jake Gyllenhaal,Nightcrawler ,James Huang,1,http://www.imdb.com/title/tt2872718/?ref_=fn_tt_tt_1,English,USA,R,8500000,65000
66,422,422,Lindsay Price,Comedy|Horror|Thriller,Brittany Daniel,Club Dread ,Jay Chandrasekhar,2,http://www.imdb.com/title/tt0331953/?ref_=fn_tt_tt_1,English,USA,R,8550000,713
119,338,195,Angela Cartwright,Biography|Drama|Family|Musical|Romance,Eleanor Parker,The Sound of Music ,Nicholas Hammond,3,http://www.imdb.com/title/tt0059742/?ref_=fn_tt_tt_1,English,USA,G,8200000,15000
43,2000,51,Howard Morris,Comedy|Fantasy|Romance,Tom Hanks,Splash ,Patrick Cronin,2,http://www.imdb.com/title/tt0088161/?ref_=fn_tt_tt_1,English,USA,PG,8000000,0
270,36,27,Steven Christopher Parker,Comedy|Drama,Steve Carell,Little Miss Sunshine ,Jill Talley,1,http://www.imdb.com/title/tt0449059/?ref_=fn_tt_tt_1,English,USA,R,8000000,15000
