duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,gross,genres,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,content_rating,title_year,movie_facebook_likes
96,83,926,Clifton Collins Jr.,13630226,Action|Crime|Sci-Fi|Thriller,David Carradine,0,artificial heart|heart|horse penis|prostitute|stripper,http://www.imdb.com/title/tt1121931/?ref_=fn_tt_tt_1,R,2009,0
98,11000,967,Chazz Palminteri,13383737,Comedy|Crime,Dianne Wiest,4,actress|bodyguard|new york city|play|playwright,http://www.imdb.com/title/tt0109348/?ref_=fn_tt_tt_1,R,1994,979
123,6,85,Tiffany Dupont,13391174,Biography|Drama|History,Nimrat Kaur,0,biblical|book of esther|esther|persia|treachery,http://www.imdb.com/title/tt0430431/?ref_=fn_tt_tt_1,PG,2006,0
101,176,83,Tzi Ma,12987647,Drama|Mystery|Romance|Thriller|War,Holmes Osborne,2,american|french|saigon|vietnam|vietnamese,http://www.imdb.com/title/tt0258068/?ref_=fn_tt_tt_1,R,2002,983
102,563,385,Hope Davis,12469811,Comedy|Drama,Michael Rispoli,1,corndog|failure|funeral in the rain|new york city|weatherman,http://www.imdb.com/title/tt0384680/?ref_=fn_tt_tt_1,R,2005,0
94,394,565,Wes Studi,12398628,Action|Crime|Drama|Sport,Jon Seda,2,boxing|fight|heavyweight champion|iceman|prison,http://www.imdb.com/title/tt0281322/?ref_=fn_tt_tt_1,R,2002,977
102,192,31,Dequina Moore,13214030,Comedy|Drama|Fantasy|Romance,Jordan Carlos,3,bouquet of roses|bright light|cardiopulmonary resuscitation|ghost|white rose,http://www.imdb.com/title/tt0995039/?ref_=fn_tt_tt_1,PG-13,2008,0
108,212,347,Ashley Scott,12232937,Action|Crime|Thriller,Nick Gomez,1,2000s|detective|sadist|terrorism|terrorist,http://www.imdb.com/title/tt1160368/?ref_=fn_tt_tt_1,PG-13,2009,0
116,198,884,Dylan Minnette,12134420,Drama|Fantasy|Horror|Mystery,Kodi Smit-McPhee,0,blood|boy|night|school|vampire,http://www.imdb.com/title/tt1228987/?ref_=fn_tt_tt_1,R,2010,25000
93,18,181,Dustin Nguyen,11784000,Action|Comedy|Family,Don Stark,0,1990s|dagger|japan|mousetrap|stick fight,http://www.imdb.com/title/tt0109015/?ref_=fn_tt_tt_1,PG,1994,444
102,1000,270,Mia Farrow,11169531,Comedy,Melonie Diaz,2,friend|power plant|sabotage|store clerk|video store,http://www.imdb.com/title/tt0799934/?ref_=fn_tt_tt_1,PG-13,2008,0
103,350,99,Christopher Guest,11034436,Comedy|Drama|Music|War,Sarah Solemani,1,anti semitism|breasts|chamberlain|friend|theatre,http://www.imdb.com/title/tt0413015/?ref_=fn_tt_tt_1,R,2005,0
115,214,968,Norman Reedus,12626905,Action|Crime|Drama|Thriller,Clifton Collins Jr.,3,betrayal|corrupt cop|heist|murder of a police officer|police detective,http://www.imdb.com/title/tt1712261/?ref_=fn_tt_tt_1,R,2016,0
96,11000,223,Lynn Cohen,10569071,Comedy,Judy Davis,2,marriage|novelist|panties pulled down|writer's block|writing,http://www.imdb.com/title/tt0118954/?ref_=fn_tt_tt_1,R,1997,0
98,4,677,Oliver Platt,10544143,Comedy|Romance,David Ramsey,2,architect|award|farce|love|misunderstanding,http://www.imdb.com/title/tt0144640/?ref_=fn_tt_tt_1,PG-13,1999,311
101,53,580,Omar Sy,13650738,Comedy|Drama,Riccardo Scamarcio,1,chef|gay kiss|michelin star|restaurant|violent behavior,http://www.imdb.com/title/tt2503944/?ref_=fn_tt_tt_1,R,2015,25000
106,277,383,Demi Moore,10555348,Comedy|Crime,James Russo,0,con|convict|escape|police|priest,http://www.imdb.com/title/tt0098625/?ref_=fn_tt_tt_1,PG-13,1989,855
101,11000,2,Gaby Hoffmann,9714482,Comedy|Musical|Romance,Jeff DeRocker,0,engagement|grandfather|liberal|maid|song,http://www.imdb.com/title/tt0116242/?ref_=fn_tt_tt_1,R,1996,0
87,0,548,Ewen Bremner,8579684,Comedy,Kris Marshall,0,end credits roll call|four word title|funeral|secret|uncle,http://www.imdb.com/title/tt0795368/?ref_=fn_tt_tt_1,R,2007,0
111,0,725,Kelly Preston,9525276,Action|Crime|Thriller,Edi Gathegi,0,blood|death|gang|murder|revenge,http://www.imdb.com/title/tt0804461/?ref_=fn_tt_tt_1,R,2007,0
99,52,148,James Frain,8855646,Adventure|Drama,Brendan Sexton III,1,bus trip|parental love|retirement|surprise visit|train ride,http://www.imdb.com/title/tt0780511/?ref_=fn_tt_tt_1,PG-13,2009,10000
88,84,177,Vanessa Angel,9109322,Comedy|Family|Sci-Fi,Peter Wingfield,3,computer|good versus evil|mind control|science experiment|sequel,http://www.imdb.com/title/tt0270846/?ref_=fn_tt_tt_1,PG,2004,0
83,10,69,Susie Essman,8326035,Action|Comedy|Crime,Gigi Rice,2,buddy comedy|criminal|gun smuggling|mistaken identity|salesman,http://www.imdb.com/title/tt0399327/?ref_=fn_tt_tt_1,PG-13,2005,676
91,10,436,Will Patton,8104069,Action|Comedy|Crime,Cedric the Entertainer,3,comic violence|hand to hand combat|kung fu|talking to self in mirror|violence,http://www.imdb.com/title/tt0462229/?ref_=fn_tt_tt_1,PG-13,2007,233
108,54,463,Nia Vardalos,8054280,Comedy|Crime|Music,Dash Mihok,3,box office flop|drag queen|gender disguise|mafia|witness,http://www.imdb.com/title/tt0345074/?ref_=fn_tt_tt_1,PG-13,2004,924
154,189,388,Ricardo Montalban,,Comedy|Drama|Music|Musical|Romance,Ben Vereen,0,charity|dancer|foreign language adaptation|hope|taxi dancer,http://www.imdb.com/title/tt0065054/?ref_=fn_tt_tt_1,G,1969,548
148,0,175,Katherine Waterston,8093318,Comedy|Crime|Drama|Mystery|Romance,Serena Scott Thomas,0,1960s|based on novel|ex boyfriend ex girlfriend relationship|southern california|voice over narration,http://www.imdb.com/title/tt1791528/?ref_=fn_tt_tt_1,R,2014,18000
77,3,593,Kylie Minogue,7382993,Adventure|Animation|Comedy|Family|Fantasy,Jon Stewart,0,diamond|lava|magic|mountain|sorcerer,http://www.imdb.com/title/tt0763304/?ref_=fn_tt_tt_1,G,2006,346
110,9,826,Caity Lotz,8888355,Drama|Music,Laz Alonso,19,3 dimensional|box office flop|critically bashed|dancing,http://www.imdb.com/title/tt1532958/?ref_=fn_tt_tt_1,PG-13,2013,0
42,,376,Eric McCormack,,Crime|Drama|Mystery|Thriller,Scott Wolf,1,,http://www.imdb.com/title/tt1714204/?ref_=fn_tt_tt_1,TV-14,,0
83,119,633,Geoffrey Arend,7001720,Comedy|Fantasy,Gary Coleman,2,arab stereotype|box office flop|documentary filmmaker|filmmaker|terrorist,http://www.imdb.com/title/tt1190617/?ref_=fn_tt_tt_1,PG-13,2008,797
107,0,99,Demián Bichir,7268659,Action|Comedy|Crime|Thriller,Marko Zaror,7,arms dealer|battle|bomb|machete|missile,http://www.imdb.com/title/tt2002718/?ref_=fn_tt_tt_1,R,2013,48000
100,17,86,Ty Olsson,6852144,Drama|Horror|Sci-Fi|Thriller,Jackie Burroughs,0,at work|rat|revenge|vermin|work,http://www.imdb.com/title/tt0310357/?ref_=fn_tt_tt_1,PG-13,2003,0
87,29,522,Ashley Scott,6563357,Adventure|Comedy,Jeff Garlin,4,bigfoot|critically bashed|ecuador|friend|tv show,http://www.imdb.com/title/tt0489282/?ref_=fn_tt_tt_1,R,2008,847
154,608,149,Dexter Fletcher,6201757,Biography|Comedy|Drama|History|Music|Musical,Lesley Manville,1,19th century|exhibition|gilbert and sullivan|gilbert and sullivan's princess ida|japanese,http://www.imdb.com/title/tt0151568/?ref_=fn_tt_tt_1,R,1999,608
106,38,975,Cary-Hiroyuki Tagawa,6420319,Drama|War,Michael Rapaport,0,,http://www.imdb.com/title/tt1810683/?ref_=fn_tt_tt_1,PG-13,2015,15000
99,0,691,Viggo Mortensen,5702083,Biography|Drama|Thriller,Sarah Gadon,3,carl jung|patient|psychoanalysis|russian|sigmund freud,http://www.imdb.com/title/tt1571222/?ref_=fn_tt_tt_1,R,2011,36000
100,0,407,Keanu Reeves,5480996,Animation|Drama|Mystery|Sci-Fi|Thriller,Rory Cochrane,0,detective|drugs|substance d|undercover|undercover cop,http://www.imdb.com/title/tt0405296/?ref_=fn_tt_tt_1,R,2006,0
116,150,956,Abigail Spencer,6002756,Biography|Drama|Sport,Leven Rambin,2,box office flop|no opening credits|surfing|two word title|year 1987,http://www.imdb.com/title/tt1629757/?ref_=fn_tt_tt_1,PG,2012,13000
94,892,81,Darren Shahlavi,5132655,Horror|Sci-Fi,Karin Konoval,0,artifact|creature|darkness|demon|museum,http://www.imdb.com/title/tt0369226/?ref_=fn_tt_tt_1,R,2005,1000
111,650,181,Charlie Saxton,5205343,Comedy|Drama|Family|Music|Romance,Ryan Donowho,3,battle of the bands|high school|rock 'n' roll|school|teenager,http://www.imdb.com/title/tt0976222/?ref_=fn_tt_tt_1,PG,2009,1000
100,143,430,Anne Heche,5005883,Drama|Mystery|Romance|Thriller,Danny Huston,1,birthday|boy|dead husband|death|widow,http://www.imdb.com/title/tt0337876/?ref_=fn_tt_tt_1,R,2004,0
125,78,745,Ashley Williams,5749134,Action|Crime|Drama|Thriller,Albert Brooks,0,american dream|immigrant|new york city|oil|violence,http://www.imdb.com/title/tt2937898/?ref_=fn_tt_tt_1,R,2014,0
114,329,544,Michael Greyeyes,,Drama|History|Romance|War,Caroline Dhavernas,0,battle|canadian armed forces|canadian soldier|directed by star|veteran,http://www.imdb.com/title/tt1092082/?ref_=fn_tt_tt_1,R,2008,971
119,18,9,Bill Lake,4234040,Biography|Drama,Victoria Learn,0,flash of genius|genius|intellectual property|professor|university,http://www.imdb.com/title/tt1054588/?ref_=fn_tt_tt_1,PG-13,2008,0
135,162,228,Heath Ledger,4001121,Biography|Drama|Music,Tyrone Benskin,0,1960s|actor|horseback riding|reporter|riding the rails,http://www.imdb.com/title/tt0368794/?ref_=fn_tt_tt_1,R,2007,0
93,19,619,Bruce Willis,3749061,Action|Thriller,Óscar Jaenada,3,driving a car down stairs|duct tape gag|held captive|murder of a police officer|sailing,http://www.imdb.com/title/tt1366365/?ref_=fn_tt_tt_1,PG-13,2012,0
114,0,446,Maximilian Schell,3519627,Adventure|Comedy|Drama|Romance,Nora Zehetner,4,con man|eccentric|heiress|love|revenge,http://www.imdb.com/title/tt0844286/?ref_=fn_tt_tt_1,PG-13,2008,0
124,0,631,Jennifer Jason Leigh,3081925,Comedy|Drama|Romance,Samantha Morton,0,actress|director|play|theatre director|warehouse,http://www.imdb.com/title/tt0383028/?ref_=fn_tt_tt_1,R,2008,13000
134,6000,745,Jada Pinkett Smith,2298191,Adventure|Animation|Fantasy,Billy Crudup,0,anime|cult film|forest|princess|studio ghibli,http://www.imdb.com/title/tt0119698/?ref_=fn_tt_tt_1,PG-13,1997,11000
114,22,413,Peter Coyote,2353728,Comedy|Drama|Mystery|Romance|Thriller|War,Virginie Ledoyen,5,actress|bordeaux|german|heavy water|nazi,http://www.imdb.com/title/tt0310778/?ref_=fn_tt_tt_1,PG-13,2003,235
124,42,161,Randy Jones,2000000,Biography|Comedy|Musical,Caitlyn Jenner,0,male frontal nudity|male full frontal nudity|male nudity|male rear nudity|new york city,http://www.imdb.com/title/tt0080492/?ref_=fn_tt_tt_1,PG,1980,1000
104,214,430,Noah Taylor,1900725,Crime|Drama|Western,Danny Huston,1,aborigine|foreboding|gang|hideout|outlaw,http://www.imdb.com/title/tt0421238/?ref_=fn_tt_tt_1,R,2005,0
118,14,400,Finn Wittrock,2246000,Biography|Drama|Sport,Brent Anderson,4,coach|football|football movie|football team|high school sweethearts,http://www.imdb.com/title/tt3719896/?ref_=fn_tt_tt_1,PG,2015,0
80,121,587,Jane Krakowski,1646664,Comedy|Music,Paula Garcés,2,female protagonist|hip hop|jewish american princess|rapper|record label,http://www.imdb.com/title/tt0266747/?ref_=fn_tt_tt_1,R,2003,241
107,110,722,Emily Watson,1190018,Action|Drama|Sci-Fi|Thriller,Sean Pertwee,2,cleric|dystopia|fascist|law|neo noir,http://www.imdb.com/title/tt0238380/?ref_=fn_tt_tt_1,R,2002,20000
125,55,2,Guang Li,1027749,Drama|War,Matthew Walker,4,british|communist|journalist|nurse|orphan,http://www.imdb.com/title/tt0889588/?ref_=fn_tt_tt_1,R,2008,1000
115,115,977,Ellen Burstyn,882710,Crime|Drama|Romance|Thriller,Faye Dunaway,2,best friend|corruption|fall to death|female nudity|friend,http://www.imdb.com/title/tt0138946/?ref_=fn_tt_tt_1,R,2000,401
88,12,231,Garrett Clayton,1064277,Adventure|Family|Fantasy|Musical,Toni Braxton,0,balloon|birthday|box office flop|critically bashed,http://www.imdb.com/title/tt1520498/?ref_=fn_tt_tt_1,G,2012,831
122,11000,188,Angelina Jolie Pitt,531009,Drama|Romance,Melvil Poupaud,0,cheating wife|cigarette smoking|male in shower|male nudity|male rear nudity,http://www.imdb.com/title/tt3707106/?ref_=fn_tt_tt_1,R,2015,0
103,78,101,Robin Atkin Downes,410388,Action|Adventure|Animation|Family|Sci-Fi|Thriller,Rosalind Ayres,1,19th century|ball|boy|inventor|steam,http://www.imdb.com/title/tt0348121/?ref_=fn_tt_tt_1,PG-13,2004,973
101,25,407,Costas Mandylor,375474,Drama|History|Sport,Jimmy Jean-Louis,0,1950s|brazil|soccer|soccer movie|world cup,http://www.imdb.com/title/tt0354595/?ref_=fn_tt_tt_1,PG,2005,445
101,46,902,Kirsten Dunst,578382,Crime|Drama|Mystery|Romance|Thriller,Frank Langella,2,family business|friend|murder|new york city|trial,http://www.imdb.com/title/tt1175709/?ref_=fn_tt_tt_1,R,2010,0
107,58,324,Jason Scott Lee,305070,Action|Adventure|Drama|History|Romance,Sandrine Holt,1,easter island|location in title|statue|topless female nudity|two word title,http://www.imdb.com/title/tt0110944/?ref_=fn_tt_tt_1,R,1994,399
86,0,3,Yuqi Zhang,206678,Comedy|Family|Sci-Fi,Chi Chung Lam,1,father son relationship|miracle|school|ufo|written and directed by cast member,http://www.imdb.com/title/tt0940709/?ref_=fn_tt_tt_1,PG,2008,1000
118,8,11,Philippe Nahon,146072,Comedy|Family|Fantasy|Sci-Fi,Marie-Anne Chazel,0,jewel|knight|magical potion|sequel|time travel comedy,http://www.imdb.com/title/tt0120882/?ref_=fn_tt_tt_1,,1998,136
107,14,311,Laura Spencer,1183354,Action|Comedy|Crime|Fantasy|Horror|Mystery|Sci-Fi|Thriller,Anita Briem,1,close up of eyes|monster|quirkiness|supernatural|vomiting,http://www.imdb.com/title/tt1013860/?ref_=fn_tt_tt_1,PG-13,2010,0
100,3,442,Richard Schiff,121972,Crime|Drama|Mystery,Mark Webber,3,actor|client|new york|protection|scandal,http://www.imdb.com/title/tt0274711/?ref_=fn_tt_tt_1,R,2002,217
30,,9,George Coulouris,,Drama|Family,Ewen Solon,4,,http://www.imdb.com/title/tt0166038/?ref_=fn_tt_tt_1,,,0
110,278,181,Reeve Carney,263365,Comedy|Drama|Fantasy|Romance,Tom Conti,2,banishment|sorcery|spirit|staff|storm at sea,http://www.imdb.com/title/tt1274300/?ref_=fn_tt_tt_1,PG-13,2010,0
106,448,648,Aaron Ashmore,54734,Crime|Drama|Mystery|Thriller,Julian Richings,1,inspired by true events|memory|minnesota|police|year 1990,http://www.imdb.com/title/tt3319920/?ref_=fn_tt_tt_1,R,2015,0
7,23,51,Traci Dinwiddie,,Romance|Short,Elea Oberon,0,lesbian|paris france|period piece|poem|poetess,http://www.imdb.com/title/tt1128219/?ref_=fn_tt_tt_1,,2007,30
102,10,60,Sammo Kam-Bo Hung,,Action|Drama|History|War,Andy On,3,art of war|china|civil war|female warrior|musician,http://www.imdb.com/title/tt0882978/?ref_=fn_tt_tt_1,R,2008,314
98,5,716,Nicholas Lea,,Crime|Drama|Thriller,Callum Rennie,1,daughter|gun|nanny|sociopath|suburb,http://www.imdb.com/title/tt0489664/?ref_=fn_tt_tt_1,R,2007,0
83,0,700,Phil LaMarr,,Adventure|Animation|Comedy|Family,Noureen DeWulf,0,bird|city name in title|falcon|one word title|place name in title,http://www.imdb.com/title/tt1488181/?ref_=fn_tt_tt_1,G,2012,1000
153,0,7,Michael Lieber,,Biography|Drama|History,Kevin McGowan,0,ramanujan,http://www.imdb.com/title/tt3037162/?ref_=fn_tt_tt_1,,2014,58
98,2,53,Maggie Wheeler,,Animation,Jacqueline Lovell,4,dwegons,http://www.imdb.com/title/tt1134666/?ref_=fn_tt_tt_1,PG,2014,70
105,23,897,Jurnee Smollett-Bell,,Action|Biography|Drama|Sport,Edgar Ramírez,0,boxer|boxing|three word title,http://www.imdb.com/title/tt1781827/?ref_=fn_tt_tt_1,R,2016,0
96,160,889,Roger Rees,,Action|Crime|Thriller,Robert Forster,2,cigarette lighter|death|fire|on the run|terrorist,http://www.imdb.com/title/tt3247714/?ref_=fn_tt_tt_1,PG-13,2015,0
105,17,897,Radha Mitchell,,Crime|Drama|Mystery|Thriller,Jodi Lyn O'Keefe,3,anchorage alaska|based on true story|pole dancer|serial killer|strip club,http://www.imdb.com/title/tt2005374/?ref_=fn_tt_tt_1,R,2013,11000
125,43,7,Sally Hawkins,8047690,Drama|Romance,Alan David,0,china|cholera|epidemic|love|marriage,http://www.imdb.com/title/tt0446755/?ref_=fn_tt_tt_1,PG-13,2006,0
184,34,155,Alexandra Maria Lara,476270,Action|Biography|Crime|Drama,Martina Gedeck,2,bonn germany|failed kidnapping|handcuffs|projectile|terrorist,http://www.imdb.com/title/tt0765432/?ref_=fn_tt_tt_1,R,2008,0
236,0,232,Michael Spears,184208848,Adventure|Drama|Western,Maury Chaykin,1,friendship|frontier|honor|outpost|soldier,http://www.imdb.com/title/tt0099348/?ref_=fn_tt_tt_1,PG-13,1990,0
97,52,384,John Michael Higgins,100292856,Comedy,Phyllis Smith,0,boob job|breast enlargement|breast surgery|cheating on a test|ejaculation,http://www.imdb.com/title/tt1284575/?ref_=fn_tt_tt_1,R,2011,16000
113,17,551,Michael O'Neill,58571513,Crime|Drama|Mystery|Thriller,Ellen Barkin,1,detective|love|single|suspect|title from song,http://www.imdb.com/title/tt0098273/?ref_=fn_tt_tt_1,R,1989,0
95,15,528,Lin Shaye,51431160,Comedy|Family|Romance,Julie Gonzalo,2,cinderella story|correspondence|evil step mother|female protagonist|teenage girl,http://www.imdb.com/title/tt0356470/?ref_=fn_tt_tt_1,PG,2004,0
103,0,157,W. Earl Brown,103001286,Horror|Mystery,Roger Jackson,0,mask|mystery killer|slasher|teenage girl|telephone,http://www.imdb.com/title/tt0117571/?ref_=fn_tt_tt_1,R,1996,11000
91,17,670,Embeth Davidtz,41867960,Horror,F. Murray Abraham,0,collector|ghost|ghost hunter|glass house|machine,http://www.imdb.com/title/tt0245674/?ref_=fn_tt_tt_1,R,2001,0
146,0,413,Shelley Duvall,,Drama|Horror,Joe Turkel,0,breaking down a door|haunted hotel|identical twins|labyrinth|twin sisters,http://www.imdb.com/title/tt0081505/?ref_=fn_tt_tt_1,R,1980,37000
116,0,459,Thomas F. Wilson,210609762,Adventure|Comedy|Sci-Fi,J.J. Cohen,0,clock tower|delorean|future|time travel|time travel comedy,http://www.imdb.com/title/tt0088763/?ref_=fn_tt_tt_1,PG,1985,39000
93,37,545,Peter Gallagher,40846082,Horror|Mystery|Thriller,Bridgette Wilson-Sampras,0,billionaire|corpse|eccentric|haunted hospital|haunted house,http://www.imdb.com/title/tt0185371/?ref_=fn_tt_tt_1,R,1999,0
113,0,256,Mary J. Blige,51697449,Comedy|Drama,Hope Olaide Wilson,6,aunt|immigrant|looting|love|nightclub singer,http://www.imdb.com/title/tt1385912/?ref_=fn_tt_tt_1,PG-13,2009,1000
90,97,319,Erin O'Brien,,Action|Drama,Cabrina Collesides,4,,http://www.imdb.com/title/tt4280822/?ref_=fn_tt_tt_1,,2016,1000
101,8,110,Scott Elrod,27758465,Comedy|Drama|Romance,Kelli Barrett,2,artificial insemination|best friend|new york city|sperm|sperm donor,http://www.imdb.com/title/tt0889573/?ref_=fn_tt_tt_1,PG-13,2010,0
95,189,306,David Agranov,56127162,Comedy|Romance,David Moscow,2,fall|honeymoon|love|marriage|newlywed,http://www.imdb.com/title/tt0305711/?ref_=fn_tt_tt_1,PG-13,2003,0
109,93,521,Dominic Cooper,1357042,Biography|Drama|Thriller,Ludivine Sagnier,1,betrayal|debauchery|lust|palace|saddam hussein,http://www.imdb.com/title/tt1270262/?ref_=fn_tt_tt_1,R,2011,14000
43,,211,Jenni 'Jwoww' Farley,,Comedy|Drama|Reality-TV|Romance,Paul 'Pauly D' DelVecchio,1,lifestyle,http://www.imdb.com/title/tt1697237/?ref_=fn_tt_tt_1,TV-14,,0
85,2,402,Colm Feore,15911333,Adventure|Comedy|Drama|Family|Fantasy,Peter Fonda,1,locomotive|magic|mountain|railroad|steam locomotive,http://www.imdb.com/title/tt0205461/?ref_=fn_tt_tt_1,G,2000,663
101,42,219,Glenn Morshower,39103378,Horror|Thriller,John Aylward,0,deputy|iowa|rural setting|sheriff|survival,http://www.imdb.com/title/tt0455407/?ref_=fn_tt_tt_1,R,2010,0
125,6000,7,Ryûnosuke Kamiki,10049886,Adventure|Animation|Family|Fantasy,Miyu Irino,0,anime|bathhouse|pig|spirit|work,http://www.imdb.com/title/tt0245429/?ref_=fn_tt_tt_1,PG,2001,28000
118,0,30,Michael Wong,,Action|Crime|Thriller,Terence Yin,1,die hard scenario|gunfight|hong kong police|police escort attacked|shootout,http://www.imdb.com/title/tt3341072/?ref_=fn_tt_tt_1,,2013,332
132,79,1000,Anthony Hopkins,8600000,Action|Adventure|Drama|History|Romance,Laurence Olivier,2,lieutenant|lifeboat|mutiny|sailing ship|ship,http://www.imdb.com/title/tt0086993/?ref_=fn_tt_tt_1,PG,1984,1000
131,33,326,Sophie Nélisse,21483154,Drama|War,Roger Allam,1,basement|book|girl|library|track,http://www.imdb.com/title/tt0816442/?ref_=fn_tt_tt_1,PG-13,2013,53000
129,51,630,Michael Cudlitz,8396942,Adventure|Comedy|Romance,Alice Greczyn,1,amish|friend|friendship|high school|virgin,http://www.imdb.com/title/tt1135985/?ref_=fn_tt_tt_1,R,2008,0
100,14,356,Kaitlin Olson,12561,Comedy|Romance,Dominique McElligott,2,ireland|irish|journey|tradition|travel,http://www.imdb.com/title/tt1216492/?ref_=fn_tt_tt_1,PG,2010,13000
172,75,102,Mel Ferrer,,Drama|History|War,Stephen Boyd,0,2nd century|emperor|european history|loosely based on historical events|roman empire,http://www.imdb.com/title/tt0058085/?ref_=fn_tt_tt_1,Approved,1964,560
97,31,562,Michael Biehn,6923891,Comedy|Drama|Romance,Dan Fogler,4,friend|night|party|sex scene|sister,http://www.imdb.com/title/tt0810922/?ref_=fn_tt_tt_1,R,2011,0
121,33,505,Rosie Perez,5308553,Drama,Dante Brown,2,children|inner city|parent|school|teacher,http://www.imdb.com/title/tt1870529/?ref_=fn_tt_tt_1,PG,2012,0
92,22,0,Kyra Nichols,2119994,Family|Fantasy|Music,Margaret Tracey,0,christmas|lifting female in air|lifting male in air|lifting someone into the air|little girl,http://www.imdb.com/title/tt0107719/?ref_=fn_tt_tt_1,G,1993,238
116,500,530,Jennifer Jason Leigh,1292527,Crime|Drama|Music|Thriller,Miranda Richardson,2,1930s|election|female frontal nudity|kansas city|politician,http://www.imdb.com/title/tt0116745/?ref_=fn_tt_tt_1,R,1996,228
110,44,85,Sarah Gadon,560512,Drama,Tracy Letts,0,based on novel,http://www.imdb.com/title/tt4193394/?ref_=fn_tt_tt_1,R,2016,599
90,15,16000,Chloë Grace Moretz,64255243,Drama|Horror|Mystery|Thriller,Ryan Reynolds,0,ghost|haunted house|murder|nightmare|priest,http://www.imdb.com/title/tt0384806/?ref_=fn_tt_tt_1,R,2005,0
81,0,836,Meryl Streep,22245861,Comedy|Drama,Roger Willie,0,book|orchid|screenwriter|thief|twin,http://www.imdb.com/title/tt0268126/?ref_=fn_tt_tt_1,R,2002,0
97,0,233,Shawn Roberts,20433940,Horror,Pedro Miguel Arce,8,apocalypse|mercenary|skyscraper|urban setting|zombie apocalypse,http://www.imdb.com/title/tt0418819/?ref_=fn_tt_tt_1,R,2005,0
107,15,27,Angelica Lee,,Action,Ching Wan Lau,2,,http://www.imdb.com/title/tt2957680/?ref_=fn_tt_tt_1,PG-13,2013,124
