director_name,duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,movie_title,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,language,content_rating,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Sydney Pollack,116,481,Sydney Pollack,13000,177200000,Tootsie ,77366,14701,1,English,PG,1982,521,7.4,2.35,0
Tony Scott,110,555,Tom Skerritt,10000,176781728,Top Gun ,219171,13069,2,English,PG,1986,1000,6.9,1.33,19000
Ang Lee,120,5,Pei-Pei Cheng,103,128067808,"Crouching Tiger, Hidden Dragon ",217740,129,3,Mandarin,PG-13,2000,21,7.9,2.35,0
Sam Mendes,122,158,Peter Gallagher,18000,130058047,American Beauty ,822500,19078,0,English,R,1999,828,8.4,2.35,22000
Tom Hooper,118,520,Jennifer Ehle,14000,138795342,The King's Speech ,503631,15732,0,English,R,2010,1000,8.0,1.85,64000
Ivan Reitman,107,247,Tony Jay,742,111936400,Twins ,87538,2151,1,English,PG,1988,384,6.0,1.85,0
,45,260,Bobby Campo,460,,Scream: The TV Series             ,18058,2380,0,English,TV-14,,292,7.3,16.0,0
Udayan Prasad,102,882,Eddie Redmayne,17000,317040,The Yellow Handkerchief ,6723,30978,1,English,PG-13,2008,13000,6.8,2.35,1000
Steven Spielberg,154,271,Rae Dawn Chong,852,94175854,The Color Purple ,60988,2592,0,English,PG-13,1985,581,7.8,1.85,6000
JK Youn,103,13,Ji-won Ha,94,,Tidal Wave ,2659,213,2,Korean,R,2009,80,5.7,2.35,558
Timur Bekmambetov,141,635,Ayelet Zurer,11000,,Ben-Hur ,62,13390,2,English,PG-13,2016,744,6.1,2.35,0
Morten Tyldum,114,305,Rory Kinnear,19000,91121452,The Imitation Game ,467613,20295,1,English,PG-13,2014,393,8.1,2.35,165000
Howard Zieff,109,271,Albert Brooks,1000,69800000,Private Benjamin ,18140,2419,1,English,R,1980,745,6.1,1.85,855
Michael Apted,124,572,Beverly D'Angelo,874,79900000,Coal Miner's Daughter ,12974,2667,0,English,PG,1980,816,7.5,1.85,0
Thor Freudenthal,94,569,Zachary Gordon,17000,64001297,Diary of a Wimpy Kid ,32002,20154,1,English,PG,2010,975,6.2,1.85,0
Andrés Muschietti,100,250,Megan Charpentier,1000,71588220,Mama ,134869,1949,1,English,PG-13,2013,340,6.2,1.85,57000
John Carpenter,101,598,Donald Pleasence,2000,47000000,Halloween ,157857,4400,0,English,R,1978,742,7.9,2.35,12000
Harold Ramis,98,624,Randy Quaid,816,61400000,National Lampoon's Vacation ,71183,3617,1,English,R,1983,695,7.4,1.85,0
Jeff Tremaine,102,27,Georgina Cates,925,101978840,Bad Grandpa ,77724,1018,0,English,R,2013,38,6.6,1.85,26000
Stephen Frears,94,39,Sylvia Syms,326,56437947,The Queen ,85333,486,0,English,PG-13,2006,48,7.3,1.85,0
Tim Burton,92,217,Jeffrey Jones,925,73326666,Beetlejuice ,189413,1953,3,English,PG,1988,692,7.5,1.85,15000
Tyler Perry,113,607,Tasha Smith,2000,55184721,Why Did I Get Married? ,9811,6510,8,English,PG-13,2007,721,5.6,1.85,1000
Gillian Armstrong,115,902,Kirsten Dunst,23000,50003300,Little Women ,36624,29370,4,English,PG,1994,4000,7.3,1.85,0
James Watkins,95,259,Roger Allam,11000,54322273,The Woman in Black ,139749,11946,0,English,PG-13,2012,326,6.4,2.35,29000
Simon West,87,383,Tessa Thompson,1000,47860214,When a Stranger Calls ,34711,2452,0,English,PG-13,2006,431,5.0,2.35,0
Shawn Levy,88,799,Donald Faison,934,47811275,Big Fat Liar ,29008,3707,1,English,PG,2002,927,5.4,1.85,896
Michael Cimino,183,652,Meryl Streep,22000,,The Deer Hunter ,232577,34025,2,English,R,1978,11000,8.2,2.35,11000
Barry Levinson,97,957,Kirsten Dunst,22000,43022524,Wag the Dog ,67604,29252,0,English,R,1997,4000,7.1,1.85,12000
Jim Fall,94,566,Adam Lamberg,925,42672630,The Lizzie McGuire Movie ,27580,3423,1,English,PG,2003,738,5.3,2.35,0
Ric Roman Waugh,112,874,Harold Perrineau,12000,42919096,Snitch ,64747,15800,1,English,PG-13,2013,1000,6.5,2.35,12000
Michael Dougherty,98,562,Conchata Ferrell,3000,42592530,Krampus ,29867,4567,0,English,PG-13,2015,658,6.2,2.35,27000
Robert Rodriguez,104,1000,Salma Hayek,4000,40064955,The Faculty ,92074,12170,1,English,R,1998,4000,6.4,1.85,0
Brian Gibson,118,2,Virginia Capers,90,39100956,What's Love Got to Do with It ,13442,114,0,English,R,1993,22,7.2,1.85,0
James Mangold,120,1000,Sylvester Stallone,22000,44886089,Cop Land ,69576,40117,3,English,R,1997,13000,6.9,1.85,2000
Joel Gallen,99,971,JoAnna Garcia Swisher,11000,37882551,Not Another Teen Movie ,80305,15369,0,English,R,2001,983,5.7,1.85,0
David Ayer,109,953,Anna Kendrick,15000,40983001,End of Watch ,181025,27788,2,English,R,2012,10000,7.7,1.85,38000
Cameron Crowe,105,13000,Bradley Cooper,15000,20991497,Aloha ,39782,44037,1,English,PG-13,2015,14000,5.4,1.85,11000
Rob Cohen,106,883,Leslie Bibb,23000,35007180,The Skulls ,26846,26652,0,English,PG-13,2000,1000,5.6,1.85,0
James Marsh,123,149,Emily Watson,13000,35887263,The Theory of Everything ,265507,14100,0,English,PG-13,2014,876,7.7,2.35,90000
John Whitesell,86,685,Regina Hall,833,34308901,Malibu's Most Wanted ,15939,4435,3,English,PG-13,2003,807,5.1,2.35,0
Matt Williams,120,944,James Frain,20000,33771174,Where the Heart Is ,27044,22383,2,English,PG-13,2000,1000,6.8,1.85,0
David Lean,227,87,José Ferrer,607,6000000,Lawrence of Arabia ,192775,1076,8,English,PG,1962,202,8.4,2.2,11000
Rob Zombie,119,593,Tyler Mane,908,33386128,Halloween II ,36372,3226,0,English,R,2009,764,4.9,1.85,3000
Jean-Marc Vallée,115,612,Kevin Rankin,2000,37877959,Wild ,86664,4896,1,English,R,2014,820,7.1,2.35,38000
Dennis Iliadis,114,616,Monica Potter,956,32721635,The Last House on the Left ,67822,3861,0,English,R,2009,878,6.6,1.85,0
Clare Kilner,90,458,Debra Messing,1000,31585300,The Wedding Date ,38248,2666,0,English,PG-13,2005,650,6.1,1.85,0
Rick Rosenthal,94,731,Thomas Ian Nicholas,2000,30259652,Halloween: Resurrection ,26905,5440,5,English,R,2002,864,4.1,2.35,0
Louis Leterrier,106,850,Jason Flemyng,14000,163192114,Clash of the Titans ,229687,18003,0,English,PG-13,2010,1000,5.8,2.35,15000
Rob Reiner,98,594,Carol Kane,18000,30857814,The Princess Bride ,294163,20060,0,English,PG,1987,636,8.1,1.85,33000
Denzel Washington,126,697,Jurnee Smollett-Bell,18000,30226144,The Great Debaters ,47626,22745,1,English,PG-13,2007,2000,7.6,2.35,0
Nicolas Winding Refn,100,228,Albert Brooks,33000,35054909,Drive ,431578,34337,0,English,R,2011,745,7.8,2.35,81000
Sara Sugarman,89,231,Carol Kane,811,29302097,Confessions of a Teenage Drama Queen ,23408,2167,8,English,PG,2004,636,4.6,1.85,810
Nicholas Hytner,111,106,Tim Daly,818,29106737,The Object of My Affection ,15582,1450,0,English,R,1998,511,6.0,1.85,849
Juan Carlos Fresnadillo,100,306,Harold Perrineau,10000,28637507,28 Weeks Later ,212167,11471,1,English,R,2007,1000,7.0,1.85,0
Thomas Carter,115,100,Matthew Daddario,116,30127963,When the Game Stands Tall ,12596,525,0,English,PG,2014,110,6.7,1.85,0
Wayne Wang,106,649,Luke Benward,907,32645546,Because of Winn-Dixie ,8427,3462,5,English,PG,2005,807,6.4,1.85,1000
Gina Prince-Bythewood,124,865,Sanaa Lathan,1000,27441122,Love & Basketball ,14322,5135,0,English,PG-13,2000,886,7.2,1.85,0
George Armitage,107,141,Michael Cudlitz,893,28014536,Grosse Pointe Blank ,73347,2044,1,English,R,1997,822,7.4,1.85,0
Phil Traill,99,628,Katy Mixon,14000,33860010,All About Steve ,33088,16461,3,English,PG-13,2009,982,4.8,1.85,0
Joe Berlinger,90,162,Erica Leerhsen,193,26421314,Book of Shadows: Blair Witch 2 ,28964,608,0,English,R,2000,184,4.0,1.85,949
Andrew Fleming,101,266,Rachel True,838,24881000,The Craft ,57140,1812,0,English,R,1996,328,6.2,1.85,6000
Woody Allen,119,400,Mark Gatiss,19000,23089926,Match Point ,166269,20391,3,English,R,2005,567,7.7,1.85,0
Elizabeth Allen Rosenbaum,103,125,Hutch Dano,512,26161406,Ramona and Beezus ,13874,1002,2,English,G,2010,316,6.7,2.35,0
James Ivory,134,258,Peter Vaughan,12000,22954968,The Remains of the Day ,45703,12749,1,English,PG,1993,310,7.9,2.35,0
Paul Thomas Anderson,155,170,Nicole Ari Parker,3000,26384919,Boogie Nights ,189032,3677,15,English,R,1997,360,7.9,2.35,0
Robert Harmon,94,232,Rosanna Arquette,1000,22189039,Nowhere to Run ,17074,2210,0,English,R,1993,605,5.5,1.85,466
Michael Mayer,95,461,Danny Pino,1000,20998709,Flicka ,6095,3845,0,English,PG,2006,786,6.2,2.35,1000
Martin Weisz,89,399,Daniella Alonso,919,20801344,The Hills Have Eyes II ,49721,2559,0,English,R,2007,557,5.1,2.35,0
John Ottman,97,579,Joey Lawrence,912,21468807,Urban Legends: Final Cut ,13048,2682,2,English,R,2000,786,4.1,2.35,243
Jay Russell,90,613,Sissy Spacek,882,19158074,Tuck Everlasting ,17983,2661,2,English,PG,2002,874,6.7,2.35,0
John Bonito,92,129,Firass Dirani,472,18843314,The Marine ,27486,1045,1,English,PG-13,2006,239,4.7,1.85,0
Peter Atencio,100,415,Will Forte,826,20566327,Keanu ,15385,2958,2,English,R,2016,622,6.4,2.35,0
Shana Feste,117,461,Cinda McCain,3000,20218921,Country Strong ,14814,4204,4,English,PG-13,2010,646,6.3,2.35,0
David Nutter,84,918,Ethan Embry,989,17411331,Disturbing Behavior ,17328,4660,3,English,R,1998,982,5.5,1.85,673
Derek Cianfrance,140,619,Ben Mendelsohn,33000,21383298,The Place Beyond the Pines ,187170,34413,3,English,R,2012,748,7.3,2.35,47000
Roger Donaldson,108,537,Akie Kotabe,775,24984868,The November Man ,50056,3033,2,English,R,2014,614,6.3,2.35,0
Stephan Elliott,109,159,Patrick Bergin,471,16459004,Eye of the Beholder ,13320,1069,1,English,R,1999,308,4.9,2.35,327
Kathryn Bigelow,131,383,Christian Camargo,10000,15700000,The Hurt Locker ,332065,11114,0,English,R,2008,602,7.6,1.85,16000
Mark L. Lester,114,563,George C. Scott,695,15100000,Firestarter ,22797,3444,1,English,R,1984,654,6.0,2.35,0
Andrew Dominik,97,748,Sam Shepard,11000,14938570,Killing Them Softly ,111625,14025,1,English,R,2012,820,6.2,2.35,20000
Anton Corbijn,122,123,Nina Hoss,22000,17237244,A Most Wanted Man ,57210,22574,3,English,R,2014,164,6.8,2.35,13000
Tom Green,87,484,Harland Williams,826,14249005,Freddy Got Fingered ,39788,2689,1,English,R,2001,503,4.5,1.85,0
Mike Nawrocki,85,23,Cam Clarke,354,12701880,The Pirates Who Don't Do Anything: A VeggieTales Movie ,2037,568,0,English,G,2008,173,5.7,1.85,175
Catherine Owens,85,44,The Edge,468,10353690,U2 3D ,2673,646,0,English,G,2007,67,8.4,1.78,116
Douglas Aarniokoski,101,377,Adrian Paul,1000,12801190,Highlander: Endgame ,16340,2764,1,English,R,2000,786,4.6,2.35,356
Bryan Barber,121,526,Faizon Love,907,12549485,Idlewild ,4603,3633,4,English,R,2006,585,6.2,2.35,489
Lone Scherfig,107,358,Jim Sturgess,11000,13766014,One Day ,106111,17627,0,English,PG-13,2011,5000,7.0,2.35,49000
Drew Barrymore,111,727,Jimmy Fallon,796,13034417,Whip It ,55665,2633,1,English,PG-13,2009,787,6.9,2.35,10000
Brian Koppelman,92,366,Tom Noonan,14000,11632420,Knockaround Guys ,19768,15644,1,English,R,2001,442,6.1,2.35,566
James Foley,97,308,Brian Van Holt,436,12212417,Confidence ,30643,1172,3,English,R,2003,324,6.7,2.35,622
Albert Brooks,97,745,Bradley Whitford,12000,11614236,The Muse ,9294,15209,2,English,PG-13,1999,821,5.6,1.37,251
Irwin Winkler,125,65,Keith Allen,427,13337299,De-Lovely ,9649,729,7,English,PG-13,2004,66,6.6,2.35,1000
Woody Allen,124,563,Larry David,11000,10763469,New York Stories ,13692,12685,0,English,PG,1989,860,6.4,1.85,877
Steve Gomer,76,47,Kyla Pratt,595,11144518,Barney's Great Adventure ,2724,1139,0,English,G,1998,417,2.8,1.85,436
RZA,107,353,RZA,746,15608545,The Man with the Iron Fists ,53471,2377,3,English,R,2012,561,5.4,2.35,29000
Dean Parisot,91,629,Jake Busey,925,10443316,Home Fries ,7159,2913,2,English,PG-13,1998,660,5.0,1.85,247
Mark Piznarski,96,670,Chris Klein,989,10494147,Here on Earth ,7403,3142,1,English,PG-13,2000,841,5.1,1.85,648
Terry Gilliam,142,1000,Bob Hoskins,22000,9929000,Brazil ,152306,29475,0,English,R,1985,5000,8.0,1.85,16000
Sean McNamara,103,782,Rebecca De Mornay,1000,10411980,Raise Your Voice ,22649,4676,0,English,PG,2004,872,5.9,2.35,1000
,60,186,Nicole de Boer,443,,The Dead Zone             ,7122,981,1,English,TV-14,,319,7.5,,576
Joel Coen,117,12000,Jeff Bridges,22000,17439163,The Big Lebowski ,537419,47728,1,English,R,1998,12000,8.2,1.85,35000
Craig Brewer,116,539,Michael Raymond-James,3000,9396487,Black Snake Moan ,52421,5012,0,English,R,2006,788,7.0,2.35,0
Ron Shelton,118,274,Dash Mihok,556,9059588,Dark Blue ,17261,1873,1,English,R,2002,463,6.6,2.35,455
Michael Winterbottom,108,254,Archie Panjabi,11000,9172810,A Mighty Heart ,24150,12178,0,English,R,2007,883,6.7,2.35,923
David Raynr,94,612,Jodi Lyn O'Keefe,11000,8735529,Whatever It Takes ,8055,13524,4,English,PG-13,2000,897,5.5,1.85,816
Mort Nathan,97,461,Lin Shaye,890,8586376,Boat Trip ,26598,3161,4,English,R,2002,852,4.9,1.85,1000
Oliver Parker,97,692,Tom Wilkinson,14000,8378141,The Importance of Being Earnest ,18966,16502,5,English,PG,2002,1000,6.9,2.35,0
Dan Curtis,99,224,Campbell Scott,1000,,The Love Letter ,1465,2166,1,English,Unrated,1998,393,7.4,1.33,515
Wil Shriner,91,596,Neil Flynn,8000,8080116,Hoot ,6562,10732,0,English,PG,2006,625,5.6,1.85,647
Martin McDonagh,107,39,Anna Madeley,65,7757130,In Bruges ,307639,173,1,English,R,2008,49,8.0,2.35,32000
Tina Gordon Chism,95,426,S. Epatha Merkerson,931,9123834,Peeples ,4065,3322,6,English,PG-13,2013,539,5.3,2.35,0
Peter Cattaneo,102,1000,Bradley Cooper,15000,6409206,The Rocker ,32311,33153,4,English,PG-13,2008,14000,6.2,1.85,0
Vicky Jenson,88,360,Zach Gilford,24000,6373693,Post Grad ,11498,25637,1,English,PG-13,2009,971,5.3,1.85,0
Gus Van Sant,106,363,Hal Holbrook,13000,7556708,Promised Land ,30284,14544,1,English,R,2012,826,6.6,1.85,10000
Woody Allen,92,386,Michael McKean,860,5306447,Whatever Works ,58967,2717,1,English,PG-13,2009,658,7.2,1.85,10000
Mary Lambert,105,275,Susan Ward,477,5217498,The In Crowd ,3668,2312,4,English,PG-13,2000,397,4.6,1.85,157
Tommy Lee Jones,107,289,Dwight Yoakam,572,5023275,Three Burials ,34194,1627,2,English,R,2005,324,7.5,2.35,0
Peter Kassovitz,120,693,Mark Margolis,49000,4956401,Jakob the Liar ,12601,51657,2,English,PG-13,1999,1000,6.5,1.85,0
Shane Black,103,611,Corbin Bernsen,21000,4235837,Kiss Kiss Bang Bang ,175962,23932,2,English,R,2005,1000,7.6,2.35,0
Rodman Flender,92,577,Fred Willard,890,4002955,Idle Hands ,33745,3654,0,English,R,1999,729,6.2,1.85,0
David Lynch,147,669,Robert Forster,6000,7219578,Mulholland Drive ,235992,8484,1,English,R,2001,889,8.0,1.85,16000
Katja von Garnier,98,220,Agnes Bruckner,837,3525161,Blood and Chocolate ,15388,1675,0,English,PG-13,2007,400,5.5,2.35,0
Woody Allen,98,557,Naomi Watts,12000,3247816,You Will Meet a Tall Dark Stranger ,36145,19310,0,English,R,2010,6000,6.3,1.85,0
Mark Romanek,103,844,Charlie Rowe,10000,2412045,Never Let Me Go ,109873,12867,0,English,R,2010,882,7.2,2.35,33000
,286,527,Tom Hollander,857,,The Company             ,3828,3809,3,English,,,555,7.9,1.78,733
Brad Anderson,111,25,Eduardo Noriega,918,2203641,Transsiberian ,42792,1252,0,English,R,2008,278,6.7,2.35,0
Michael Chapman,98,90,Pamela Reed,876,1953732,The Clan of the Cave Bear ,4996,1351,0,English,R,1986,324,5.3,2.35,843
Antonio Banderas,111,617,Elizabeth Perkins,783,1954202,Crazy in Alabama ,5917,4834,0,English,PG-13,1999,664,6.3,2.35,391
Michael Haneke,111,287,Siobhan Fallon Hogan,6000,1294640,Funny Games ,69569,6748,0,English,R,2007,294,6.5,1.85,0
Khalil Sullins,100,46,Kalim Chandler,192,,Listening ,1933,527,0,English,,2014,134,5.6,2.35,708
Atom Egoyan,116,71,Elaine Cassidy,5000,819852,Felicia's Journey ,6690,5426,0,English,PG-13,1999,203,7.0,2.35,284
Fritz Lang,145,18,Gustav Fröhlich,136,26435,Metropolis ,111841,203,1,German,Not Rated,1927,23,8.3,1.33,12000
Pierre Morel,84,58,Cyril Raffaelli,510,1197786,District B13 ,55928,962,2,French,R,2004,297,7.2,2.35,0
Gary Fleder,115,642,Bill Cobbs,12000,529766,Things to Do in Denver When You're Dead ,22345,14889,2,English,R,1995,970,6.8,1.85,0
Hsiao-Hsien Hou,105,56,Chen Chang,1000,613556,The Assassin ,9427,1172,1,Mandarin,Not Rated,2015,103,6.4,1.37,0
Gregor Jordan,98,730,Scott Glenn,936,353743,Buffalo Soldiers ,20730,3578,1,English,R,2001,826,6.9,2.35,664
Andrey Zvyagintsev,99,9,Vladimir Garin,20,502028,The Return ,31589,48,0,Russian,Unrated,2003,13,8.0,1.85,0
Tony Jaa,110,7,Petchtai Wongkamlao,64,102055,Ong-bak 2 ,24570,134,0,Thai,R,2008,45,6.2,2.35,0
Neil Marshall,97,570,JJ Feild,13000,122288,Centurion ,64777,15293,0,English,R,2010,794,6.4,2.35,0
Russell Mulcahy,88,40,Gina Bellman,825,,Silent Trigger ,2699,1432,0,English,R,1996,476,5.6,2.35,154
Ryûhei Kitamura,103,1000,Brooke Shields,14000,73548,The Midnight Meat Train ,47574,18639,0,English,R,2008,1000,6.1,2.35,0
Darrell Roodt,104,2,Wendy Crewson,549,,Winnie Mandela ,609,801,2,English,R,2011,248,6.0,,705
Dito Montiel,90,642,Al Pacino,17000,28870,The Son of No One ,14280,32814,5,English,R,2011,14000,5.1,2.35,0
Stefan Ruzowitzky,105,125,Udo Kier,776,22723,All the Queen's Men ,2236,1732,1,English,PG-13,2001,595,4.5,2.35,193
Jake Paltrow,93,66,Gael Le Cornec,1000,20380,The Good Night ,7519,1245,1,English,R,2007,165,5.9,1.85,445
Juraj Jakubisko,141,576,Hans Matheson,735,,Bathory: Countess of Blood ,3425,2528,1,English,R,2008,627,6.0,2.35,0
Anthony Silverston,85,912,Steve Buscemi,14000,,Khumba ,4006,29488,0,English,Not Rated,2013,12000,5.8,,0
Gabe Ibáñez,109,537,Robert Forster,1000,,Automata ,41638,2829,0,English,R,2014,889,6.1,2.35,13000
Gerry Lively,105,51,Lucy Gaskell,179,,Dungeons & Dragons: Wrath of the Dragon God ,5018,363,0,English,Not Rated,2005,55,4.9,1.78,473
Daniele Luchetti,98,50,Rodrigo De la Serna,61,,Chiamatemi Francesco - Il Papa della gente ,80,192,0,Spanish,,2015,57,5.7,,18
Tung-Shing Yee,119,19,Daniel Wu,556,,Shinjuku Incident ,9177,996,4,Mandarin,R,2009,353,7.1,2.35,821
Julien Temple,124,303,Dexter Fletcher,631,,Pandaemonium ,695,1585,1,English,PG-13,2000,452,6.6,,277
Harold Ramis,101,512,Chris Elliott,13000,70906973,Groundhog Day ,437418,15500,1,English,PG,1993,571,8.1,1.85,38000
Gregory Jacobs,115,642,Channing Tatum,20000,66009973,Magic Mike XXL ,38202,38963,3,English,R,2015,17000,5.7,2.35,41000
Baz Luhrmann,120,954,Harold Perrineau,29000,46338728,Romeo + Juliet ,167750,33791,2,English,PG-13,1996,1000,6.8,2.35,10000
Gilles Paquet-Brenner,111,121,Aidan Quinn,1000,7691700,Sarah's Key ,12937,2140,2,French,PG-13,2010,767,7.5,2.35,0
Peter Cousens,94,124,David Rasche,467,,Freedom ,993,994,2,English,R,2014,220,6.2,,998
Clint Eastwood,131,638,Morgan Freeman,16000,101157447,Unforgiven ,277505,28544,1,English,R,1992,11000,8.3,2.35,10000
Lars von Trier,139,236,Jeremy Davies,3000,74205,Manderlay ,18646,4211,1,English,Not Rated,2005,769,7.4,2.35,1000
Danny Boyle,120,40,Saurabh Shukla,668,141319195,Slumdog Millionaire ,641997,820,0,English,R,2008,56,8.0,2.35,13000
Adrian Lyne,119,249,Lois Smith,886,156645693,Fatal Attraction ,55101,1639,0,English,R,1987,276,6.9,1.85,3000
Garry Marshall,125,700,Hector Elizondo,8000,178406268,Pretty Woman ,213476,11135,2,English,R,1990,995,6.9,1.85,11000
John Blanchard,65,176,Andrea Martin,770,,Towering Inferno             ,10,1125,2,English,,,179,9.5,1.33,0
John Cornell,108,57,Linda Kozlowski,442,109306210,Crocodile Dundee II ,44096,717,1,English,PG,1988,162,5.5,2.35,489
Vidhu Vinod Chopra,101,277,Chris Marquette,892,,Broken Horses ,1554,2055,0,English,R,2015,355,5.7,2.35,0
Oliver Stone,145,560,Tom Berenger,10000,70001698,Born on the Fourth of July ,76842,12098,0,English,R,1989,854,7.2,2.35,4000
Jon Turteltaub,98,496,Leon,953,68856263,Cool Runnings ,69733,2496,1,English,PG,1993,730,6.9,1.85,0
Patrick Lussier,101,725,Jaime King,10000,51527787,My Bloody Valentine ,45603,14159,0,English,R,2009,960,5.5,1.85,0
Ole Bornedal,92,309,Madison Davenport,941,49122319,The Possession ,47169,2348,0,English,PG-13,2012,459,5.9,2.35,17000
Ted Kotcheff,93,535,Brian Dennehy,13000,,First Blood ,172493,15192,1,English,R,1982,954,7.7,2.35,0
Sylvain White,109,748,Laz Alonso,997,61356221,Stomp the Yard ,19505,3544,0,English,PG-13,2007,826,5.2,2.35,0
Lewis Gilbert,123,238,Desmond Llewelyn,456,46800000,The Spy Who Loved Me ,76477,1326,2,English,PG,1977,244,7.1,2.35,0
,60,84,Steve Gonsalves,155,,Ghost Hunters             ,5563,552,0,English,,,130,6.6,,373
Jamie Blanks,99,648,Loretta Devine,975,38048637,Urban Legend ,47814,3500,4,English,R,1998,912,5.5,2.35,0
Stephen Frears,119,418,Peter Capaldi,18000,34700000,Dangerous Liaisons ,52846,35501,2,English,R,1988,17000,7.7,1.85,0
Tyler Perry,110,490,Phylicia Rashad,849,35010192,Good Deeds ,6352,2226,1,English,PG-13,2012,597,5.4,2.35,0
Randal Kleiser,107,25,Klaus Maria Brandauer,327,34793160,White Fang ,15730,552,1,English,PG,1991,172,6.7,1.85,0
Bruce McCulloch,81,636,Elaine Hendrix,8000,30628981,Superstar ,15047,10792,1,English,PG-13,1999,670,5.0,1.85,2000
Phyllida Lloyd,105,583,Jim Broadbent,11000,29959436,The Iron Lady ,82327,12894,1,English,PG-13,2011,1000,6.4,2.35,18000
Mike Nawrocki,82,8,Mike Nawrocki,23,25571351,Jonah: A VeggieTales Movie ,3135,49,0,English,G,2002,12,6.6,1.85,184
John Singleton,109,279,Khandi Alexander,592,27515786,Poetic Justice ,8904,1620,0,English,R,1993,556,5.9,1.85,0
Kevin Bray,95,111,Roger Guenveur Smith,706,25482931,All About the Benjamins ,9693,1421,2,English,R,2002,266,5.7,2.35,530
Wes Craven,100,364,W. Earl Brown,723,19900000,Vampire in Brooklyn ,17262,2348,1,English,R,1995,422,4.5,1.85,1000
John Boorman,118,467,Richard Burton,931,,Exorcist II: The Heretic ,16294,2704,7,English,R,1977,726,3.7,1.85,889
Courtney Solomon,91,50,James D'Arcy,874,16298046,An American Haunting ,22207,1608,0,English,PG-13,2005,613,5.0,2.35,0
David Zucker,90,636,Tyler Labine,869,15549702,My Boss's Daughter ,24038,3007,2,English,PG-13,2003,779,4.6,1.85,411
David Twohy,108,690,Milla Jovovich,26000,15483540,A Perfect Getaway ,56338,41359,4,English,R,2009,14000,6.5,2.35,4000
Rick Famuyiwa,103,625,Lance Gross,953,20246959,Our Family Wedding ,5721,3299,2,English,PG-13,2010,849,4.9,2.35,1000
Alan Cohn,96,654,Linda Cardellini,3000,15062898,Dead Man on Campus ,11729,6861,0,English,R,1998,2000,6.0,1.85,645
Franco Zeffirelli,117,55,Joan Plowright,718,14348123,Tea with Mussolini ,9323,1148,6,English,PG,1999,330,6.9,1.85,970
Tom Holland,93,514,Bethany Joy Lenz,1000,15171475,Thinner ,19805,2777,0,English,R,1996,855,5.7,1.85,0
Martin Scorsese,136,213,Liza Minnelli,22000,,"New York, New York ",13548,23378,0,English,PG,1977,740,6.7,1.66,932
Spike Lee,115,534,Delroy Lindo,1000,13640000,Crooklyn ,6011,3267,0,English,PG-13,1994,848,6.9,1.85,905
Chris Rock,94,458,Eliza Coupe,12000,12550242,I Think I Love My Wife ,13866,13446,3,English,R,2007,490,5.5,1.85,488
James Isaac,85,489,Kane Hodder,1000,12610731,Jason X ,38985,3050,1,English,R,2001,935,4.4,1.85,0
Shawn Levy,88,799,Donald Faison,934,47811275,Big Fat Liar ,29008,3707,1,English,PG,2002,927,5.4,1.85,896
