director_name,title_year
Mike Judge,2009
Larry Charles,2003
Claude Miller,2001
Michael Winterbottom,2003
Sacha Bennett,2012
Paul Haggis,2004
Rodrigo García,2011
Jeta Amata,2012
Siddharth Anand,2007
Vincent Paronnaud,2007
Joe Dante,2009
Dennis Gansel,2008
Nicolas Winding Refn,2016
Daniel Barber,2009
Sam Raimi,2007
Robert Marcarelli,1999
Jason Reitman,2007
Ernie Barbarash,2015
Guy Hamilton,1971
Francis Ford Coppola,1972
Adrian Lyne,1983
Marc Webb,2009
Jane Campion,1993
Steven Soderbergh,2012
Jonathan Liebesman,2003
Guy Hamilton,1973
Jay Russell,2000
Adam Brooks,2008
Salim Akil,2011
Baz Luhrmann,2013
George Clooney,2005
Bennett Miller,2005
Robert Rodriguez,1995
Michael Winterbottom,2000
,
Michael Anderson,1976
Guy Hamilton,1974
Craig R. Baxley,1988
Neil Marshall,2005
Don Kempf,2000
Matt Bettinelli-Olpin,2014
David O. Russell,1996
Rob Zombie,2005
,
Rick Famuyiwa,2015
Michael Rymer,1999
Sam Mendes,2012
Rob Zombie,2003
Sharron Miller,1978
Ethan Coen,2009
Aaron Schneider,2009
Steve Miner,1989
Gina Prince-Bythewood,2014
Tom Ford,2009
Martin Scorsese,1988
Michael Corrente,1999
Gurinder Chadha,2004
Phillip Noyce,2002
Don Michael Paul,2007
Tony Maylam,1992
,
Mitch Davis,2001
,
Yash Chopra,2004
David Mamet,2008
Jay Duplass,2010
Kevin Brodie,1999
Paul Schrader,2002
George Hickenlooper,2006
Lynne Ramsay,2011
John Stephenson,2013
Tim Chambers,2009
Curtis Hanson,1983
Rodrigo García,2009
Dick Richards,1977
Jean-Marie Poiré,1993
Sofia Coppola,2010
Bob Gosse,2009
Alex Zamm,1998
Spencer Susser,2010
Richard Shepard,2013
Gus Van Sant,2002
Thaddeus O'Sullivan,2002
Peter Sollett,2015
Shari Springer Berman,2010
Aleksey German,2013
Stephen Milburn Anderson,2010
Richard E. Grant,2005
Troy Duffy,1999
David Lam,2014
Francis Ford Coppola,2011
Vladlen Barbe,2012
Richard Rich,2014
Clint Eastwood,1985
Robert C. Cooper,2008
Richard Linklater,1993
Kenny Ortega,2007
Kim Nguyen,2016
Jackie Earle Haley,2015
Max Färberböck,1999
Arie Posin,2005
Damian Nieman,2003
Mark Tonderai,2012
Denis Villeneuve,2010
Gabriele Muccino,2003
Ian Fitzgibbon,2009
José Padilha,2007
John R. Leonetti,2014
Rachel Perkins,2009
John Singleton,1991
Luis Valdez,1987
Alan Alda,1981
Brian De Palma,1980
Stephen Sommers,1993
Doug Liman,1999
Nicole Holofcener,2006
Robert Wise,1971
Louis Morneau,1999
Caroline Link,2001
Steve McQueen,2011
Matthew Vaughn,2004
Sterling Van Wagenen,2005
Zal Batmanglij,2013
Michael Mayer,2004
Hans Petter Moland,2000
Oren Moverman,2009
Ian Sharp,2010
Anton Corbijn,2007
James Cameron,1984
Wolfgang Becker,2003
Tom Hooper,2009
Dan O'Bannon,1985
,
Kevin Smith,1995
Randal Kleiser,1978
