duration,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,language,content_rating,title_year,imdb_score,aspect_ratio,movie_facebook_likes
105,4,15,5400000,Drama|Romance,Hanno Pöschl,183288,36,Dominik Castell,1,http://www.imdb.com/title/tt0112471/?ref_=fn_tt_tt_1,English,R,1995,8.1,1.85,22000
99,6,50,,Action|Drama|Horror|Thriller,Patrick Huard,1003,79,Jean Pierre Bergeron,0,http://www.imdb.com/title/tt0380732/?ref_=fn_tt_tt_1,French,,2003,6.6,1.85,39
107,442,745,1282084,Drama,Billy Crudup,6221,2125,Mark Webber,1,http://www.imdb.com/title/tt0186253/?ref_=fn_tt_tt_1,English,R,1999,7.0,2.35,500
96,209,643,1186323,Comedy|Drama|Romance,Joan Chen,7776,1396,Jessica Hecht,0,http://www.imdb.com/title/tt0384504/?ref_=fn_tt_tt_1,English,R,2004,7.6,1.85,774
101,40,56,1094998,Drama,Satish Kaushik,2560,150,Tannishtha Chatterjee,1,http://www.imdb.com/title/tt0940585/?ref_=fn_tt_tt_1,English,PG-13,2007,6.7,2.35,430
89,215,902,3325638,Comedy|Crime|Drama|Sci-Fi,Frank Langella,52509,1980,Ana Gasteyer,3,http://www.imdb.com/title/tt1990314/?ref_=fn_tt_tt_1,English,PG-13,2012,7.1,2.35,13000
106,471,900,395592,Drama|Romance,Sarah Polley,21202,2972,Amanda Plummer,1,http://www.imdb.com/title/tt0314412/?ref_=fn_tt_tt_1,English,R,2003,7.6,1.85,0
95,478,8000,6851969,Comedy|Drama|Romance,Shailene Woodley,105591,10040,Dayo Okeniyi,1,http://www.imdb.com/title/tt1714206/?ref_=fn_tt_tt_1,English,R,2013,7.1,2.35,10000
34,362,882,333658,Comedy|Family|Musical|Romance|Short,William Hurt,97,1967,Michael Bower,0,http://www.imdb.com/title/tt0283465/?ref_=fn_tt_tt_1,English,,1990,7.1,,16
101,0,334,12995673,Comedy|Documentary|War,Bill Maher,52286,338,Steve Burg,1,http://www.imdb.com/title/tt0815241/?ref_=fn_tt_tt_1,English,R,2008,7.7,1.78,24000
112,125,860,173783,Documentary,Larry David,578,1252,George W. Bush,0,http://www.imdb.com/title/tt1294164/?ref_=fn_tt_tt_1,English,Not Rated,2008,7.6,1.85,588
100,107,655,118666,Drama,Bruce McGill,91,1064,Tom Bower,7,http://www.imdb.com/title/tt0472200/?ref_=fn_tt_tt_1,English,,2006,6.6,1.85,144
92,936,989,114324072,Comedy|Sport,Gary Cole,185345,4730,Joel David Moore,0,http://www.imdb.com/title/tt0364725/?ref_=fn_tt_tt_1,English,PG-13,2004,6.7,2.35,0
100,249,640,71904,Comedy|Drama|Family,Katharine Ross,806,1491,George Harris,1,http://www.imdb.com/title/tt0465407/?ref_=fn_tt_tt_1,English,PG-13,2006,5.7,1.85,140
80,5,191,99851,Documentary,Dustin Lance Black,1138,210,Gavin Newsom,0,http://www.imdb.com/title/tt1484522/?ref_=fn_tt_tt_1,English,R,2010,7.1,1.78,0
106,315,611,115504,Comedy|Drama|Romance,Larry Miller,4820,1739,Shriya Saran,2,http://www.imdb.com/title/tt1049405/?ref_=fn_tt_tt_1,English,PG-13,2008,6.2,2.35,0
103,10,127,5725,Horror|Thriller,Benno Fürmann,10220,163,Sebastian Blomberg,0,http://www.imdb.com/title/tt0187696/?ref_=fn_tt_tt_1,German,R,2000,6.1,2.35,560
90,35,426,75727,Drama|Romance|Sci-Fi|Thriller,Leonor Varela,5699,862,Tenoch Huerta,0,http://www.imdb.com/title/tt0804529/?ref_=fn_tt_tt_1,Spanish,PG-13,2008,5.9,1.85,0
96,370,2000,322157,Comedy|Crime|Drama,Linda Cardellini,61787,4590,Paul T. Taylor,0,http://www.imdb.com/title/tt1512235/?ref_=fn_tt_tt_1,English,R,2010,6.8,1.85,19000
89,555,794,,Comedy|Drama|Family|Romance,Ashley Scott,858,2579,Lochlyn Munro,2,http://www.imdb.com/title/tt1663628/?ref_=fn_tt_tt_1,English,TV-PG,2010,5.8,,190
87,577,968,,Comedy|Horror,Clifton Collins Jr.,3119,3157,David Masterson,0,http://www.imdb.com/title/tt3300572/?ref_=fn_tt_tt_1,English,Not Rated,2015,5.0,2.35,0
94,442,1000,,Horror,Natasha Lyonne,63,2406,Mark Webber,1,http://www.imdb.com/title/tt3333870/?ref_=fn_tt_tt_1,English,,2016,6.3,,89
120,702,1000,5731103,Drama|History,Bernie Mac,4100,5963,Andre Braugher,10,http://www.imdb.com/title/tt0116404/?ref_=fn_tt_tt_1,English,R,1996,6.8,1.85,352
101,201,973,978908,Drama|Horror|Mystery|Thriller,Marc Blucas,4057,2306,Justine Waddell,0,http://www.imdb.com/title/tt0486028/?ref_=fn_tt_tt_1,English,PG-13,2006,5.1,2.35,250
84,233,586,438653,Adventure|Comedy|Sci-Fi,Anthony 'Citric' Campos,108052,1490,David Herman,0,http://www.imdb.com/title/tt0387808/?ref_=fn_tt_tt_1,English,R,2006,6.6,1.85,79000
110,109,490,,Crime|Drama,Simon Merrells,1510,881,Kris Sommerville,0,http://www.imdb.com/title/tt2945796/?ref_=fn_tt_tt_1,English,R,2015,5.0,,0
101,698,1000,327919,Crime|Drama,Stephen Graham,99177,3282,Jack O'Connell,0,http://www.imdb.com/title/tt0480025/?ref_=fn_tt_tt_1,English,Unrated,2006,7.7,1.85,11000
101,663,844,,Comedy|Sci-Fi,Julian Glover,2753,3132,Bianca Brigitte VanDamme,0,http://www.imdb.com/title/tt2040578/?ref_=fn_tt_tt_1,English,R,2012,3.1,2.35,0
101,226,675,,Comedy|Musical,Esther Williams,1079,1627,Red Skelton,2,http://www.imdb.com/title/tt0036628/?ref_=fn_tt_tt_1,English,Passed,1944,6.5,1.37,144
105,76,847,178739,Drama|Musical,Jossara Jinaro,1015,1668,Rene Rosado,0,http://www.imdb.com/title/tt1307926/?ref_=fn_tt_tt_1,English,PG-13,2011,3.9,1.85,566
97,326,982,565592,Comedy|Drama|Family,Ethan Embry,2189,2580,Alexandra Holden,0,http://www.imdb.com/title/tt0118925/?ref_=fn_tt_tt_1,English,PG,1998,6.8,1.85,500
108,244,960,,Drama|Family|Musical|Romance,Agnes Moorehead,3538,2329,Howard Keel,3,http://www.imdb.com/title/tt0044030/?ref_=fn_tt_tt_1,English,Approved,1951,7.0,1.33,438
95,608,1000,27012,Drama,Tom Skerritt,440,3586,Luke Perry,4,http://www.imdb.com/title/tt1470020/?ref_=fn_tt_tt_1,English,PG-13,2010,5.9,2.35,279
108,826,2000,,Thriller,Topher Grace,6025,4385,Christopher Heyerdahl,2,http://www.imdb.com/title/tt1666335/?ref_=fn_tt_tt_1,English,R,2014,5.8,,0
90,385,11000,,Adventure|Animation|Comedy|Family|Fantasy|Musical,Jon Lovitz,19650,12359,Mindy Sterling,0,http://www.imdb.com/title/tt0092695/?ref_=fn_tt_tt_1,English,Not Rated,1987,7.3,,0
120,,16,76400000,Animation|Family|Fantasy|Music,Leopold Stokowski,71321,16,,0,http://www.imdb.com/title/tt0032455/?ref_=fn_tt_tt_1,English,G,1940,7.8,1.37,3000
104,109,813,,Action|Crime|Drama|Thriller,Roy Scheider,82476,1196,Tony Lo Bianco,0,http://www.imdb.com/title/tt0067116/?ref_=fn_tt_tt_1,English,R,1971,7.8,1.85,0
90,0,210,,Drama|Thriller,Nicole Smolen,44,210,Ivette Alvarez,1,http://www.imdb.com/title/tt3111864/?ref_=fn_tt_tt_1,English,PG-13,2014,6.9,,224
91,20,72,36200000,Horror|Thriller,Richard Brooker,31952,174,Catherine Parks,0,http://www.imdb.com/title/tt0083972/?ref_=fn_tt_tt_1,English,R,1982,5.7,2.35,0
92,17,42,21300000,Horror|Mystery|Thriller,Tiffany Helm,22521,170,Dominick Brascia,0,http://www.imdb.com/title/tt0089173/?ref_=fn_tt_tt_1,English,R,1985,4.7,1.85,1000
117,275,861,379643,Drama,Henry Thomas,1573,2161,A.J. Buckley,0,http://www.imdb.com/title/tt0810928/?ref_=fn_tt_tt_1,English,PG-13,2007,5.9,1.85,285
120,835,2000,12985267,Drama,Alexa PenaVega,4977,6752,Madison Pettis,5,http://www.imdb.com/title/tt4056738/?ref_=fn_tt_tt_1,English,PG-13,2015,5.9,,13000
90,306,676,,Thriller,Brian Austin Green,1118,1651,Linden Ashby,2,http://www.imdb.com/title/tt1086841/?ref_=fn_tt_tt_1,English,R,2008,4.3,,77
119,275,509,,Drama,Jessica Tandy,1314,1490,Lionel Barrymore,0,http://www.imdb.com/title/tt0038213/?ref_=fn_tt_tt_1,English,Passed,1945,7.5,1.37,68
90,708,1000,,Drama|Thriller,Jessica Lowndes,1351,3799,Brad Schmidt,2,http://www.imdb.com/title/tt3032282/?ref_=fn_tt_tt_1,English,R,2015,4.8,,452
90,18,114,,Comedy|Drama|Romance,Saeed Jaffrey,480,244,Shobu Kapoor,3,http://www.imdb.com/title/tt0449000/?ref_=fn_tt_tt_1,English,,2005,5.8,1.85,172
97,782,3000,,Comedy|Music|Romance,Ryan Guzman,485,6085,Jason Ritter,5,http://www.imdb.com/title/tt1995477/?ref_=fn_tt_tt_1,English,,2014,5.3,,107
90,42,371,,Action|Comedy|Horror,Rachel Skarsten,5187,558,Stefanie Drummond,2,http://www.imdb.com/title/tt0816539/?ref_=fn_tt_tt_1,English,R,2007,6.0,1.85,870
172,188,749,23650000,Drama|Romance|War,Myrna Loy,40359,1941,Dana Andrews,5,http://www.imdb.com/title/tt0036868/?ref_=fn_tt_tt_1,English,Not Rated,1946,8.1,1.37,0
115,551,730,510092,Biography|Crime|Drama,Kelli Garner,29424,3293,Brad Renfro,0,http://www.imdb.com/title/tt0242193/?ref_=fn_tt_tt_1,English,R,2001,7.0,1.85,0
89,14,117,313436,Comedy|Drama,Jørgen Langhelle,12244,155,Sven Nordin,0,http://www.imdb.com/title/tt0279064/?ref_=fn_tt_tt_1,Norwegian,R,2001,7.6,1.85,0
125,17,128,3330,Crime|Drama,Michael Derek,22,214,Brad Lee Wind,0,http://www.imdb.com/title/tt2460506/?ref_=fn_tt_tt_1,English,R,2015,7.2,2.35,305
78,7,120,,Horror,Manuela Velasco,131462,145,Carlos Lasarte,0,http://www.imdb.com/title/tt1038988/?ref_=fn_tt_tt_1,Spanish,R,2007,7.5,1.85,15000
89,650,919,,Drama,Rosie Perez,544,3873,Cheyenne Haynes,1,http://www.imdb.com/title/tt1675312/?ref_=fn_tt_tt_1,English,TV-PG,2010,6.3,1.78,162
100,338,749,,Comedy|Drama|Mystery|Romance|Thriller,Travis Myers,6,1814,Carmen Argenziano,0,http://www.imdb.com/title/tt2317796/?ref_=fn_tt_tt_1,English,,2015,6.7,2.39,14
77,260,846,,Horror|Sci-Fi|Thriller,Walter Hendrix III,1355,2044,Louise Brealey,0,http://www.imdb.com/title/tt3561236/?ref_=fn_tt_tt_1,English,,2015,4.8,,275
81,106,412,,Adventure|Drama|Western,James Ransone,1274,1020,Shaun O'Hagan,1,http://www.imdb.com/title/tt2215673/?ref_=fn_tt_tt_1,English,,2015,5.5,2.35,380
115,177,559,24800000,Action|Adventure|Thriller,Robert Shaw,89403,1456,Lois Maxwell,0,http://www.imdb.com/title/tt0057076/?ref_=fn_tt_tt_1,English,Approved,1963,7.5,1.37,0
96,14,40,792966,Action|Comedy|Horror|Sci-Fi,Phoebe Legere,4663,99,Lisa Gaye,2,http://www.imdb.com/title/tt0098503/?ref_=fn_tt_tt_1,English,R,1989,5.1,1.33,321
60,213,480,,Crime|Drama|Mystery,Carroll O'Connor,2258,1736,Crystal R. Fox,1,http://www.imdb.com/title/tt0094484/?ref_=fn_tt_tt_1,English,,,7.4,1.33,763
89,45,11000,,Comedy|Sci-Fi,Woody Allen,33335,11192,Mews Small,0,http://www.imdb.com/title/tt0070707/?ref_=fn_tt_tt_1,English,PG,1973,7.3,1.85,0
100,159,314,14673301,Horror|Mystery,Maika Monroe,112899,1062,Jake Weary,0,http://www.imdb.com/title/tt3235888/?ref_=fn_tt_tt_1,English,R,2014,6.9,2.35,45000
88,258,11000,,Comedy,Woody Allen,31077,12034,Lynn Redgrave,5,http://www.imdb.com/title/tt0068555/?ref_=fn_tt_tt_1,English,R,1972,6.8,1.85,0
129,161,3000,,Crime|Drama,Robert Duvall,215086,3833,William Windom,0,http://www.imdb.com/title/tt0056592/?ref_=fn_tt_tt_1,English,Not Rated,1962,8.4,1.85,15000
87,41,745,9003011,Action|Adventure|Sci-Fi|Thriller,Vernon Wells,133966,1396,Kjell Nilsson,0,http://www.imdb.com/title/tt0082694/?ref_=fn_tt_tt_1,English,R,1981,7.6,2.35,0
102,75,483,11546543,Action|Comedy,Andy Lau,34520,768,Ho-Sung Pak,1,http://www.imdb.com/title/tt0111512/?ref_=fn_tt_tt_1,Cantonese,R,1994,7.6,2.35,0
152,177,618,,Crime|Drama|Romance,James Mason,67825,1404,Lois Maxwell,0,http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1,English,Not Rated,1962,7.7,1.66,0
118,103,173,11533945,Biography|Crime|Drama|Romance,Alicia Goranson,77551,563,Jeannetta Arnette,0,http://www.imdb.com/title/tt0171804/?ref_=fn_tt_tt_1,English,R,1999,7.6,1.85,0
86,32,120,12555230,Drama|Horror|Mystery|Thriller,Eric Sheffer Stevens,18566,218,Adam Trese,0,http://www.imdb.com/title/tt1767382/?ref_=fn_tt_tt_1,English,R,2011,5.3,1.85,0
137,155,380,11284657,Drama|Thriller,Sebastian Koch,259379,927,Martina Gedeck,3,http://www.imdb.com/title/tt0405094/?ref_=fn_tt_tt_1,German,R,2006,8.5,2.35,39000
129,341,690,34522221,Drama,Ben Davies,15401,2300,T.C. Stallings,7,http://www.imdb.com/title/tt1630036/?ref_=fn_tt_tt_1,English,PG-13,2011,7.0,2.35,10000
134,366,654,,Drama|Sport,George C. Scott,62860,2290,Murray Hamilton,1,http://www.imdb.com/title/tt0054997/?ref_=fn_tt_tt_1,English,Unrated,1961,8.0,2.35,0
119,380,1000,,Adventure|Drama|Romance|Western,Hedy Lamarr,2269,2555,Claudette Colbert,8,http://www.imdb.com/title/tt0032273/?ref_=fn_tt_tt_1,English,Passed,1940,7.1,1.37,236
80,0,23,7002255,Animation|Comedy|Drama,Michel Robin,42462,29,Béatrice Bonifassi,0,http://www.imdb.com/title/tt0286244/?ref_=fn_tt_tt_1,French,PG-13,2003,7.8,1.66,0
89,580,912,6719300,Comedy|Drama,Michael Greyeyes,8224,3163,Gary Farmer,3,http://www.imdb.com/title/tt0120321/?ref_=fn_tt_tt_1,English,PG-13,1998,7.2,1.85,0
101,92,14000,6003587,Biography|Comedy|Drama,Josh Hutcherson,41999,14412,Daniel Tay,0,http://www.imdb.com/title/tt0305206/?ref_=fn_tt_tt_1,English,R,2003,7.5,1.85,0
80,3,50,5792822,Drama|Romance,Vernon Dobtcheff,168398,65,Marie Pillet,0,http://www.imdb.com/title/tt0381681/?ref_=fn_tt_tt_1,English,R,2004,8.0,1.85,13000
115,35,85,5383834,Drama|Thriller,Adriana Barraza,173551,318,Goya Toledo,0,http://www.imdb.com/title/tt0245712/?ref_=fn_tt_tt_1,Spanish,R,2000,8.1,1.85,11000
100,374,1000,4599680,Drama,Holly Hunter,68222,2186,Kip Pardue,2,http://www.imdb.com/title/tt0328538/?ref_=fn_tt_tt_1,English,R,2003,6.8,1.85,0
118,167,936,,Drama|Romance,Dean Stockwell,10791,1846,John Garfield,3,http://www.imdb.com/title/tt0039416/?ref_=fn_tt_tt_1,English,Approved,1947,7.4,1.37,0
100,179,34000,6531491,Drama,Jennifer Lawrence,111658,34446,Lauren Sweetser,2,http://www.imdb.com/title/tt1399683/?ref_=fn_tt_tt_1,English,R,2010,7.2,1.85,20000
106,3,21,4581222,Adventure|Documentary|Drama|Sport,Nicholas Aaron,26926,29,Joe Simpson,0,http://www.imdb.com/title/tt0379557/?ref_=fn_tt_tt_1,English,R,2003,8.1,1.85,0
106,300,480,,Drama|Musical|Romance,Tyrone Power,1381,1833,John Carradine,2,http://www.imdb.com/title/tt0029852/?ref_=fn_tt_tt_1,English,Approved,1938,7.0,1.37,60
91,244,538,3885134,Comedy|Drama,Najarra Townsend,31130,1349,Miranda July,0,http://www.imdb.com/title/tt0415978/?ref_=fn_tt_tt_1,English,R,2005,7.4,1.85,0
105,18,13000,4311834,Crime|Documentary,Matt Damon,55382,13145,Barney Frank,0,http://www.imdb.com/title/tt1645089/?ref_=fn_tt_tt_1,English,PG-13,2010,8.3,2.35,63000
96,328,804,3590010,Drama|Music|Romance,Vanessa Lengies,20885,3013,Jonny Weston,0,http://www.imdb.com/title/tt3787590/?ref_=fn_tt_tt_1,English,R,2015,6.1,1.85,0
116,116,251,3300230,Action|Crime|Drama|Thriller,Henry Silva,70084,675,Richard Portnow,1,http://www.imdb.com/title/tt0165798/?ref_=fn_tt_tt_1,English,R,1999,7.5,1.85,0
116,2000,24000,3335839,Action|Crime|Drama|Thriller,J.K. Simmons,54657,50313,Noel Gugliemi,2,http://www.imdb.com/title/tt0433387/?ref_=fn_tt_tt_1,English,R,2005,7.0,1.85,0
97,349,1000,2557668,Crime|Drama|Thriller,David Oyelowo,3911,2739,Sydelle Noel,1,http://www.imdb.com/title/tt3268668/?ref_=fn_tt_tt_1,English,PG-13,2015,5.3,1.85,0
101,685,8000,2506446,Comedy|Romance,Julia Roberts,8662,11327,Blair Underwood,0,http://www.imdb.com/title/tt0290212/?ref_=fn_tt_tt_1,English,R,2002,4.7,1.85,134
98,186,265,7369373,Horror|Mystery|Thriller,Kathleen Wilhoite,4288,901,Rose Marie,1,http://www.imdb.com/title/tt0090327/?ref_=fn_tt_tt_1,English,R,1986,5.7,1.85,0
22,344,459,,Comedy,Stephen Colbert,4181,1359,Maria Thayer,3,http://www.imdb.com/title/tt0194624/?ref_=fn_tt_tt_1,English,TV-14,,8.1,4.0,558
150,401,597,4414535,Drama,Julie Christie,30618,1645,Richard Briers,0,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1,English,PG-13,1996,7.8,2.2,0
101,37,71,1984378,Comedy|Drama|Romance,Sook-Yin Lee,27346,226,Raphael Barker,3,http://www.imdb.com/title/tt0367027/?ref_=fn_tt_tt_1,English,Unrated,2006,6.5,1.78,0
90,0,56,2283276,Animation|Biography|Documentary|Drama|History|War,Ari Folman,46107,56,Zahava Solomon,0,http://www.imdb.com/title/tt1185616/?ref_=fn_tt_tt_1,Hebrew,R,2008,8.0,1.85,0
120,40,178,1098224,Adventure,Noah Danby,397,359,Bruce Newbold,1,http://www.imdb.com/title/tt0349159/?ref_=fn_tt_tt_1,English,PG-13,2003,3.3,1.85,32
102,17,393,1430185,Documentary|War,Campbell Scott,7314,446,Donald Rumsfeld,0,http://www.imdb.com/title/tt0912593/?ref_=fn_tt_tt_1,English,,2007,8.3,1.85,0
102,80,10000,1477002,Drama|Romance,Alexander Skarsgård,16645,11184,Austin Lyon,3,http://www.imdb.com/title/tt3172532/?ref_=fn_tt_tt_1,English,R,2015,6.9,2.35,0
60,143,11000,,Comedy|Drama|Romance,Anne Hathaway,415,11618,Debrah Farentino,5,http://www.imdb.com/title/tt0212662/?ref_=fn_tt_tt_1,English,,,7.3,1.33,43
100,65,168,1134049,Documentary|History,John F. Kennedy,5475,408,Neil Armstrong,0,http://www.imdb.com/title/tt0925248/?ref_=fn_tt_tt_1,English,PG,2007,8.1,1.85,0
104,887,991,977600,Drama|Western,Bruce Greenwood,8204,3427,Shirley Henderson,1,http://www.imdb.com/title/tt1518812/?ref_=fn_tt_tt_1,English,PG,2010,6.5,1.33,0
89,218,373,653621,Biography|Documentary|History,Hugh M. Hefner,5615,1136,Linda Lovelace,0,http://www.imdb.com/title/tt0418753/?ref_=fn_tt_tt_1,English,NC-17,2005,6.8,1.85,592
99,120,388,110000,Crime|Drama|Romance,Danny Aiello,4359,1156,Ajay Naidu,1,http://www.imdb.com/title/tt0229340/?ref_=fn_tt_tt_1,English,R,2000,7.3,1.85,495
96,490,584,444354,Comedy|Drama,Alanna Ubach,4049,3011,Jamie Kennedy,4,http://www.imdb.com/title/tt0118866/?ref_=fn_tt_tt_1,English,PG-13,1997,6.4,,166
86,126,189,535249,Comedy,Matt Bennett,3467,768,Zack Pearlman,0,http://www.imdb.com/title/tt1695994/?ref_=fn_tt_tt_1,English,R,2010,4.6,1.85,974
98,164,1000,,Comedy|Drama|Thriller,Christopher Lambert,11031,1917,Jean-Hugues Anglade,1,http://www.imdb.com/title/tt0090095/?ref_=fn_tt_tt_1,French,R,1985,6.5,2.35,739
96,902,49000,371081,Comedy|Drama,Robin Williams,7479,51441,Frank Langella,2,http://www.imdb.com/title/tt0372334/?ref_=fn_tt_tt_1,English,PG-13,2004,7.0,1.85,857
94,268,386,347578,Comedy|Fantasy|Horror|Thriller,Jess Weixler,34556,1511,John Hensley,1,http://www.imdb.com/title/tt0780622/?ref_=fn_tt_tt_1,English,R,2007,5.4,1.85,17000
91,0,33,124494,Action|Adventure|Comedy|Drama|Music|Sci-Fi,Jeffrey Falcon,5613,36,Kim De Angelo,1,http://www.imdb.com/title/tt0118736/?ref_=fn_tt_tt_1,English,PG-13,1998,6.7,1.85,0
,72,353,,Action|Comedy|Romance|Thriller,Karisma Kapoor,275,613,Shakti Kapoor,2,http://www.imdb.com/title/tt0249588/?ref_=fn_tt_tt_1,Hindi,,2000,2.8,,10
90,137,326,120620,Biography|Comedy|Drama|Music,Paul Kaye,16828,865,Kate Magowan,1,http://www.imdb.com/title/tt0388139/?ref_=fn_tt_tt_1,English,R,2004,7.4,2.35,0
85,966,22000,100669,Comedy|Drama,Peter Dinklage,2522,36885,Romany Malco,1,http://www.imdb.com/title/tt1276105/?ref_=fn_tt_tt_1,English,R,2009,5.8,2.35,407
