num_critic_for_reviews,duration,actor_2_name,gross,genres,num_voted_users,actor_3_name,movie_imdb_link,country,budget,title_year,imdb_score,movie_facebook_likes
170,93,Edi Gathegi,27829874,Action|Crime|Thriller,196422,Jose Pablo Cantillo,http://www.imdb.com/title/tt0479884/?ref_=fn_tt_tt_1,USA,12000000,2006,7.0,0
11,93,Gilbert Gottfried,13960203,Comedy,2301,Lark Voorhies,http://www.imdb.com/title/tt0119326/?ref_=fn_tt_tt_1,USA,,1997,5.3,439
24,100,Eddie Cibrian,12902790,Comedy|Drama|Romance,4052,Jenette Goldstein,http://www.imdb.com/title/tt0120722/?ref_=fn_tt_tt_1,USA,12000000,1998,6.6,242
70,100,Laz Alonso,21520719,Comedy|Romance|Sport,10103,Mehcad Brooks,http://www.imdb.com/title/tt1407061/?ref_=fn_tt_tt_1,USA,,2010,5.8,0
232,113,Rosemarie DeWitt,12796277,Drama|Romance,41226,Bill Irwin,http://www.imdb.com/title/tt1084950/?ref_=fn_tt_tt_1,USA,,2008,6.7,0
34,122,Michael Lerner,,Crime|Drama|Romance|Thriller,16764,John Colicos,http://www.imdb.com/title/tt0082934/?ref_=fn_tt_tt_1,USA,12000000,1981,6.6,1000
160,100,Colin Firth,11634362,Biography|Drama|Romance,60171,Tom Wilkinson,http://www.imdb.com/title/tt0335119/?ref_=fn_tt_tt_1,UK,,2003,7.0,0
96,293,Martin Semmelrogge,11433134,Adventure|Drama|Thriller|War,168203,Herbert Grönemeyer,http://www.imdb.com/title/tt0082096/?ref_=fn_tt_tt_1,West Germany,14000000,1981,8.4,11000
106,137,Marc Blucas,22406362,Drama|History|War|Western,16832,Jordi Mollà,http://www.imdb.com/title/tt0318974/?ref_=fn_tt_tt_1,USA,107000000,2004,6.0,701
53,93,Barry Watson,10198766,Comedy,12007,Harland Williams,http://www.imdb.com/title/tt0279781/?ref_=fn_tt_tt_1,USA,12000000,2002,5.4,507
274,123,Tom Hollander,15294553,Drama|Fantasy|Romance,202341,Lindsay Duncan,http://www.imdb.com/title/tt2194499/?ref_=fn_tt_tt_1,UK,12000000,2013,7.8,105000
248,119,Andy Lau,11041228,Action|Adventure|Drama|Romance,92295,Zhengyong Zhang,http://www.imdb.com/title/tt0385004/?ref_=fn_tt_tt_1,China,100000000,2004,7.6,0
288,107,Curtiss Cook,7918283,Drama|Thriller,41574,Reg E. Cathey,http://www.imdb.com/title/tt1764183/?ref_=fn_tt_tt_1,USA,12000000,2012,6.6,0
177,106,Jonny Weston,22331028,Sci-Fi|Thriller,57349,Sofia Black-D'Elia,http://www.imdb.com/title/tt2436386/?ref_=fn_tt_tt_1,USA,12000000,2015,6.4,0
81,109,Veronika Dash,8134217,Biography|Drama|Music,15412,Tammy Blanchard,http://www.imdb.com/title/tt1042877/?ref_=fn_tt_tt_1,USA,12000000,2008,7.0,0
29,81,Dave Chappelle,6982680,Comedy|Crime,6965,Sherman Hemsley,http://www.imdb.com/title/tt0156323/?ref_=fn_tt_tt_1,USA,10000000,2000,5.7,262
58,95,Kurtwood Smith,6739141,Action|Crime|Sci-Fi|Thriller,23383,Clifton Collins Jr.,http://www.imdb.com/title/tt0106950/?ref_=fn_tt_tt_1,Australia,8000000,1992,5.9,1000
144,86,Catherine O'Hara,5542025,Comedy,12197,Ed Begley Jr.,http://www.imdb.com/title/tt0470765/?ref_=fn_tt_tt_1,USA,12000000,2006,6.3,650
114,113,Aleksa Palladino,5032496,Comedy|Drama,20576,Greg Mottola,http://www.imdb.com/title/tt0120533/?ref_=fn_tt_tt_1,USA,12000000,1998,6.3,652
132,122,Joseph Cross,6754898,Comedy|Drama,20000,Dagmara Dominczyk,http://www.imdb.com/title/tt0439289/?ref_=fn_tt_tt_1,USA,12000000,2006,6.2,0
60,90,Kelly Clarkson,4922166,Comedy|Musical|Romance,23606,Brian Dietzen,http://www.imdb.com/title/tt0339034/?ref_=fn_tt_tt_1,USA,12000000,2003,2.1,0
30,108,Debi Mazar,4903000,Comedy|Drama,4961,Gretchen Mol,http://www.imdb.com/title/tt0116414/?ref_=fn_tt_tt_1,USA,12000000,1996,5.0,251
138,113,Nick Damici,4717455,Mystery|Thriller,18632,Susan Gardner,http://www.imdb.com/title/tt0199626/?ref_=fn_tt_tt_1,Australia,12000000,2003,5.3,656
190,110,Vinessa Shaw,3148482,Drama|Romance,29613,Samantha Ivers,http://www.imdb.com/title/tt1103275/?ref_=fn_tt_tt_1,USA,12000000,2008,7.1,0
61,109,Ray Winstone,2326407,Drama,5016,JJ Feild,http://www.imdb.com/title/tt0253200/?ref_=fn_tt_tt_1,UK,12000000,2001,7.0,305
363,110,Kang-ho Song,2201412,Comedy|Drama|Horror|Sci-Fi,68883,Ah-sung Ko,http://www.imdb.com/title/tt0468492/?ref_=fn_tt_tt_1,South Korea,12215500000,2006,7.0,7000
2,100,Treat Williams,,Adventure|Crime|Thriller,763,Paul Gleason,http://www.imdb.com/title/tt0082958/?ref_=fn_tt_tt_1,USA,12000000,1981,5.7,135
131,101,Jeffrey Jones,2060953,Fantasy|Horror|Thriller,29990,David Arquette,http://www.imdb.com/title/tt0129332/?ref_=fn_tt_tt_1,Czech Republic,12000000,1999,7.1,0
146,97,Megan Park,3950294,Comedy|Drama|Romance,56654,Hope Davis,http://www.imdb.com/title/tt0423977/?ref_=fn_tt_tt_1,USA,12000000,2007,7.0,0
280,172,Sabrina Ferilli,2835886,Drama,55516,Serena Grandi,http://www.imdb.com/title/tt2358891/?ref_=fn_tt_tt_1,Italy,9200000,2013,7.7,29000
78,104,Michael Harding,1779284,Comedy|Drama,12047,Jake Richardson,http://www.imdb.com/title/tt0238924/?ref_=fn_tt_tt_1,USA,12000000,2002,7.1,677
469,99,Alden Ehrenreich,1702277,Drama|Thriller,84620,Harmony Korine,http://www.imdb.com/title/tt1682180/?ref_=fn_tt_tt_1,UK,12000000,2013,6.8,27000
194,129,Tony Chiu Wai Leung,261481,Drama|Romance|Sci-Fi,41496,Maggie Cheung,http://www.imdb.com/title/tt0212712/?ref_=fn_tt_tt_1,Hong Kong,12000000,2004,7.5,0
121,91,Erin Boyes,1506998,Crime|Drama|Romance,8014,Timothy Webber,http://www.imdb.com/title/tt0804505/?ref_=fn_tt_tt_1,USA,12000000,2007,6.3,314
38,100,Hope Davis,860002,Adventure|Drama|Family,6454,Campbell Scott,http://www.imdb.com/title/tt0361715/?ref_=fn_tt_tt_1,USA,12000000,2005,7.3,0
123,111,Stephen Rea,548934,Drama|Mystery|Romance,16863,Alicja Bachleda,http://www.imdb.com/title/tt1235796/?ref_=fn_tt_tt_1,Ireland,12000000,2009,6.8,0
81,114,Tatyana Ali,447750,Crime|Drama|Thriller,18520,James Shigeta,http://www.imdb.com/title/tt0222851/?ref_=fn_tt_tt_1,USA,10000000,2000,7.2,0
72,86,Isaiah Washington,333976,Comedy|Crime,12559,Andy Davoli,http://www.imdb.com/title/tt0271259/?ref_=fn_tt_tt_1,USA,12000000,2002,6.4,423
25,107,Anne Bancroft,141853,Comedy|Drama,1427,Albert Brooks,http://www.imdb.com/title/tt0118901/?ref_=fn_tt_tt_1,Australia,12000000,1997,6.0,88
78,90,Lynn Cohen,303439,Drama|Mystery|Thriller,12125,Brett Cullen,http://www.imdb.com/title/tt0815178/?ref_=fn_tt_tt_1,USA,8000000,2007,6.4,1000
57,103,Mark Duplass,793352,Comedy|Drama|Romance,2551,Sam Shepard,http://www.imdb.com/title/tt1730687/?ref_=fn_tt_tt_1,USA,,2012,5.1,0
69,120,Kate del Castillo,214202,Crime|Drama|Thriller,14831,Alicja Bachleda,http://www.imdb.com/title/tt0399095/?ref_=fn_tt_tt_1,Germany,12000000,2007,7.5,0
73,134,Péter Fancsikai,195888,Drama|Romance|War,5603,Bálint Péntek,http://www.imdb.com/title/tt0367082/?ref_=fn_tt_tt_1,Hungary,2500000000,2005,7.1,607
42,110,Albert Finney,175370,Comedy,6884,Omar Epps,http://www.imdb.com/title/tt0120618/?ref_=fn_tt_tt_1,USA,12000000,1999,4.6,458
101,95,Ni Yan,190666,Comedy|Drama,2410,Dahong Ni,http://www.imdb.com/title/tt1428556/?ref_=fn_tt_tt_1,China,,2009,5.7,784
82,95,Jeremy Northam,,Mystery|Romance|Sci-Fi|Thriller,27052,Kari Matchett,http://www.imdb.com/title/tt0284978/?ref_=fn_tt_tt_1,USA,7500000,2002,6.8,0
149,132,Yuanyuan Gao,119922,Drama|History|War,8429,Ryu Kohata,http://www.imdb.com/title/tt1124052/?ref_=fn_tt_tt_1,China,12000000,2009,7.7,0
165,94,Matt Jones,177343675,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,70133,April Winchell,http://www.imdb.com/title/tt2224026/?ref_=fn_tt_tt_1,USA,135000000,2015,6.7,26000
5,89,Tom Arnold,,Action|Adventure|Animation|Comedy|Family,408,Rebecca Black,http://www.imdb.com/title/tt1876517/?ref_=fn_tt_tt_1,China,,2011,3.2,211
44,138,Meisa Kuroki,,Action|Adventure|Drama|Sci-Fi,4899,Hiroyuki Ikeuchi,http://www.imdb.com/title/tt1477109/?ref_=fn_tt_tt_1,Japan,12000000,2010,6.1,0
74,113,Kenneth Cranham,17149,Action|Drama|War,12128,Ana Imnadze,http://www.imdb.com/title/tt1486193/?ref_=fn_tt_tt_1,Georgia,20000000,2011,5.6,0
156,99,Michael Dorman,,Fantasy|Mystery|Thriller,64423,Emma Lung,http://www.imdb.com/title/tt1187064/?ref_=fn_tt_tt_1,UK,12000000,2009,6.9,13000
1,111,Kelly LeBrock,14616,Drama,314,Alexandra Callas,http://www.imdb.com/title/tt3453052/?ref_=fn_tt_tt_1,USA,12000000,2015,7.5,26000
82,99,Connor Corum,91443253,Biography|Drama,21034,Rob Moran,http://www.imdb.com/title/tt1929263/?ref_=fn_tt_tt_1,USA,12000000,2014,5.8,23000
151,104,Brad Pitt,30093107,Comedy|Crime,600996,Jason Flemyng,http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,UK,6000000,2000,8.3,27000
3,89,Matt Marr,,Family|Musical,105,Ginger Jensen,http://www.imdb.com/title/tt2598580/?ref_=fn_tt_tt_1,USA,12000000,2015,2.8,634
98,103,Fred Gwynne,57469179,Fantasy|Horror,63855,Denise Crosby,http://www.imdb.com/title/tt0098084/?ref_=fn_tt_tt_1,USA,11500000,1989,6.6,0
25,134,Tetsu Watanabe,48856,Drama,3466,Akira Terao,http://www.imdb.com/title/tt0107474/?ref_=fn_tt_tt_1,Japan,11900000,1993,7.5,355
35,100,Caroline Dhavernas,,Drama|Thriller,3737,Charlotte Sullivan,http://www.imdb.com/title/tt1034302/?ref_=fn_tt_tt_1,UK,11500000,2009,6.0,443
6,130,Ching Wan Lau,,Drama,117,Hailu Qin,http://www.imdb.com/title/tt3682770/?ref_=fn_tt_tt_1,China,12000000,2015,6.2,4
183,106,Harry Carey Jr.,148170000,Comedy|Fantasy|Horror,142293,Zach Galligan,http://www.imdb.com/title/tt0087363/?ref_=fn_tt_tt_1,USA,11000000,1984,7.2,14000
282,125,Peter Cushing,460935665,Action|Adventure|Fantasy|Sci-Fi,911097,Kenny Baker,http://www.imdb.com/title/tt0076759/?ref_=fn_tt_tt_1,USA,11000000,1977,8.7,33000
158,109,Zoey Deutch,35537564,Comedy,49671,Jason Mantzoukas,http://www.imdb.com/title/tt1860213/?ref_=fn_tt_tt_1,USA,11500000,2016,6.0,11000
89,200,Klaus Kinski,111722000,Drama|Romance|War,55816,Geraldine Chaplin,http://www.imdb.com/title/tt0059113/?ref_=fn_tt_tt_1,USA,11000000,1965,8.0,7000
101,114,Selton Mello,10230,Adventure|Crime|Drama|Mystery|Thriller,14437,Daniel Zettel,http://www.imdb.com/title/tt1921149/?ref_=fn_tt_tt_1,UK,,2014,7.2,0
128,112,Matt Prokop,90556401,Comedy|Drama|Family|Music|Musical|Romance,43795,Corbin Bleu,http://www.imdb.com/title/tt0962726/?ref_=fn_tt_tt_1,USA,11000000,2008,4.5,0
410,116,Jack McGee,93571803,Biography|Drama|Sport,275869,Melissa McMeekin,http://www.imdb.com/title/tt0964517/?ref_=fn_tt_tt_1,USA,25000000,2010,7.9,36000
104,92,Steve-O,72755517,Action|Comedy|Documentary,56595,Chris Pontius,http://www.imdb.com/title/tt0493430/?ref_=fn_tt_tt_1,USA,,2006,7.1,641
54,120,Bruce McGill,52929168,Comedy|Crime,82743,Lane Smith,http://www.imdb.com/title/tt0104952/?ref_=fn_tt_tt_1,USA,11000000,1992,7.5,7000
141,107,Mireille Enos,50461335,Drama|Fantasy|Music|Romance,83893,Stacy Keach,http://www.imdb.com/title/tt1355630/?ref_=fn_tt_tt_1,USA,11000000,2014,6.8,15000
30,92,Damien Garvey,,Action|Comedy|Crime,3104,Christopher Sommers,http://www.imdb.com/title/tt2968804/?ref_=fn_tt_tt_1,Canada,12000000,2014,4.3,774
57,107,Tom Berenger,49797148,Comedy|Sport,49007,Rene Russo,http://www.imdb.com/title/tt0097815/?ref_=fn_tt_tt_1,USA,11000000,1989,7.2,0
56,100,Rupert Everett,,Comedy,18220,Tamsin Egerton,http://www.imdb.com/title/tt0964587/?ref_=fn_tt_tt_1,UK,13500000,2007,5.8,0
216,81,John Enos III,46563158,Crime|Thriller,207934,Richard T. Jones,http://www.imdb.com/title/tt0183649/?ref_=fn_tt_tt_1,USA,13000000,2002,7.1,0
80,101,Peter Coyote,41227069,Drama|Romance,162701,Paz de la Huerta,http://www.imdb.com/title/tt0281358/?ref_=fn_tt_tt_1,USA,11000000,2002,7.4,19000
77,122,Celia Weston,39025000,Crime|Drama,73193,Robert Prosky,http://www.imdb.com/title/tt0112818/?ref_=fn_tt_tt_1,UK,11000000,1995,7.6,0
101,97,Sean Patrick Thomas,38201895,Drama|Romance,149222,Eric Mabius,http://www.imdb.com/title/tt0139134/?ref_=fn_tt_tt_1,USA,10500000,1999,6.9,0
156,92,Shawnee Smith,27669413,Horror|Mystery,76207,George Newbern,http://www.imdb.com/title/tt1233227/?ref_=fn_tt_tt_1,Canada,11000000,2009,6.0,0
48,92,Sid Caesar,,Comedy,36559,Dom DeLuise,http://www.imdb.com/title/tt0082517/?ref_=fn_tt_tt_1,USA,11000000,1981,6.9,0
109,110,Alicia Keys,37766350,Drama,19440,Jennifer Hudson,http://www.imdb.com/title/tt0416212/?ref_=fn_tt_tt_1,USA,11000000,2008,7.3,0
62,86,Vinessa Shaw,23978402,Comedy|Crime,10966,Peter Berg,http://www.imdb.com/title/tt0250310/?ref_=fn_tt_tt_1,USA,11000000,2001,4.6,365
33,91,Gabrielle Carteris,21370057,Crime|Drama|Thriller,9903,Gregg Henry,http://www.imdb.com/title/tt0105217/?ref_=fn_tt_tt_1,USA,12000000,1992,6.0,541
20,145,Peter Boyle,,Drama,5561,Rod Steiger,http://www.imdb.com/title/tt0077531/?ref_=fn_tt_tt_1,USA,11000000,1978,6.4,745
52,100,Bud Cort,4884663,Horror|Sci-Fi,5187,William Bassett,http://www.imdb.com/title/tt0091276/?ref_=fn_tt_tt_1,USA,12000000,1986,5.5,902
351,111,Fiona Glascott,38317535,Drama|Romance,73249,Eva Birthistle,http://www.imdb.com/title/tt2381111/?ref_=fn_tt_tt_1,UK,11000000,2015,7.5,36000
124,184,Steven Berkoff,,Adventure|Drama|History|War,101627,Hardy Krüger,http://www.imdb.com/title/tt0072684/?ref_=fn_tt_tt_1,UK,11000000,1975,8.1,0
37,89,Jason London,13903262,Comedy|Sport,14656,Thomas Lennon,http://www.imdb.com/title/tt0253798/?ref_=fn_tt_tt_1,USA,11000000,2001,6.3,0
58,84,John Witherspoon,13592872,Comedy,10777,Tim Meadows,http://www.imdb.com/title/tt0213790/?ref_=fn_tt_tt_1,USA,11000000,2000,5.1,671
175,98,Sheridan Smith,18381787,Comedy|Drama,15684,Pauline Collins,http://www.imdb.com/title/tt1441951/?ref_=fn_tt_tt_1,UK,11000000,2012,6.8,13000
75,95,Jake Busey,13558739,Comedy,15427,David Ogden Stiers,http://www.imdb.com/title/tt0246989/?ref_=fn_tt_tt_1,USA,11000000,2001,5.3,449
161,100,Powers Boothe,13103828,Crime|Drama|Thriller,59982,Matt O'Leary,http://www.imdb.com/title/tt0264616/?ref_=fn_tt_tt_1,USA,11000000,2001,7.3,5000
203,109,Frances Fisher,33305037,Biography|Drama|History,33856,Elizabeth McGovern,http://www.imdb.com/title/tt2404425/?ref_=fn_tt_tt_1,UK,11000000,2015,7.3,34000
188,118,Oliver Platt,10214647,Biography|Drama,42689,Dylan Baker,http://www.imdb.com/title/tt0362269/?ref_=fn_tt_tt_1,USA,11000000,2004,7.1,0
221,88,Bridget Fonda,11501093,Comedy|Fantasy|Horror,128850,Embeth Davidtz,http://www.imdb.com/title/tt0106308/?ref_=fn_tt_tt_1,USA,13000000,1992,7.6,10000
66,86,Gedde Watanabe,4814244,Comedy|Romance,12437,Jim Rash,http://www.imdb.com/title/tt0240900/?ref_=fn_tt_tt_1,Canada,11000000,2002,5.3,405
80,118,Leonardo DiCaprio,9170214,Drama|Romance,171882,Kevin Tighe,http://www.imdb.com/title/tt0108550/?ref_=fn_tt_tt_1,USA,11000000,1993,7.8,14000
25,125,Alan Van Sprang,4068087,Biography|Drama|History,2164,Scott Handy,http://www.imdb.com/title/tt0377992/?ref_=fn_tt_tt_1,Canada,17000000,2003,7.7,0
169,125,Sally Hawkins,3753806,Crime|Drama,20307,Imelda Staunton,http://www.imdb.com/title/tt0383694/?ref_=fn_tt_tt_1,UK,11000000,2004,7.7,0
70,94,Dash Mihok,3034181,Comedy|Music|Romance,13622,Jimi Mistry,http://www.imdb.com/title/tt0280720/?ref_=fn_tt_tt_1,UK,11000000,2002,5.4,550
15,113,Chazz Palminteri,2832826,Comedy|Drama|Romance,1761,Vincent Gallo,http://www.imdb.com/title/tt0114113/?ref_=fn_tt_tt_1,USA,11000000,1995,6.2,174
535,104,Max Casella,13214255,Drama|Music,96233,Alex Karpovsky,http://www.imdb.com/title/tt2042568/?ref_=fn_tt_tt_1,USA,11000000,2013,7.4,26000
92,95,Andrew Keegan,16017403,Drama|Romance|Thriller,17333,John Heard,http://www.imdb.com/title/tt0184791/?ref_=fn_tt_tt_1,USA,5000000,2001,6.2,0
14,102,Wayne Pygram,2807854,Adventure|Drama|Romance,14129,Lisa Pelikan,http://www.imdb.com/title/tt0102782/?ref_=fn_tt_tt_1,USA,11000000,1991,5.1,967
13,124,Anthony Zerbe,,Drama|History,2603,Samantha Eggar,http://www.imdb.com/title/tt0066090/?ref_=fn_tt_tt_1,USA,11000000,1970,6.9,608
87,105,Steve Buscemi,540085,Comedy|Musical|Romance,10052,Eddie Izzard,http://www.imdb.com/title/tt0368222/?ref_=fn_tt_tt_1,USA,,2005,6.3,0
78,104,David Kennedy,352786,Biography|Drama|Music,11132,Angus Barnett,http://www.imdb.com/title/tt0424908/?ref_=fn_tt_tt_1,USA,11000000,2006,6.8,0
223,120,Zelda Rubinstein,76600000,Fantasy|Horror,105448,Craig T. Nelson,http://www.imdb.com/title/tt0084516/?ref_=fn_tt_tt_1,USA,10700000,1982,7.4,11000
136,111,Sean Harris,,Crime|Drama|Thriller,5013,Geoff Bell,http://www.imdb.com/title/tt1233192/?ref_=fn_tt_tt_1,UK,12000000,2010,5.7,0
160,95,Costas Mandylor,56729973,Horror|Mystery,88529,Scott Patterson,http://www.imdb.com/title/tt1132626/?ref_=fn_tt_tt_1,USA,10800000,2008,5.8,0
28,96,Gena Rowlands,,Crime|Drama|Thriller,618,Britt Ekland,http://www.imdb.com/title/tt0065895/?ref_=fn_tt_tt_1,Italy,,1969,6.2,85
54,97,Lina Esco,,Comedy|Drama|Romance,45144,Alix Freihage,http://www.imdb.com/title/tt1592873/?ref_=fn_tt_tt_1,USA,11000000,2012,4.3,18000
75,118,Deborra-Lee Furness,399879,Crime|Drama|Mystery|Thriller,5772,Max Cullen,http://www.imdb.com/title/tt0382765/?ref_=fn_tt_tt_1,Australia,15000000,2006,6.4,302
20,193,John Abraham,3275443,Drama,13998,Preity Zinta,http://www.imdb.com/title/tt0449999/?ref_=fn_tt_tt_1,India,700000000,2006,6.0,659
105,97,Rupert Everett,18535191,Comedy|Romance,12980,Jeremy Northam,http://www.imdb.com/title/tt0122541/?ref_=fn_tt_tt_1,UK,14000000,1999,6.9,646
120,98,Olivia Williams,23838,Horror|Sci-Fi|Thriller,28570,Tom Cullen,http://www.imdb.com/title/tt1709143/?ref_=fn_tt_tt_1,UK,7000000,2013,5.5,0
108,103,Giancarlo Giannini,22160085,Horror,16747,Francesc Pagès,http://www.imdb.com/title/tt0273517/?ref_=fn_tt_tt_1,USA,10600000,2002,5.4,1000
285,161,Gary Lockwood,56715371,Adventure|Mystery|Sci-Fi,427357,Glenn Beck,http://www.imdb.com/title/tt0062622/?ref_=fn_tt_tt_1,UK,12000000,1968,8.3,24000
215,120,Dee Wallace,434949459,Family|Sci-Fi,281842,Peter Coyote,http://www.imdb.com/title/tt0083866/?ref_=fn_tt_tt_1,USA,10500000,1982,7.9,34000
81,97,Elena Anaya,11043445,Comedy|Drama|Romance,27689,Dustin Milligan,http://www.imdb.com/title/tt0419843/?ref_=fn_tt_tt_1,USA,10000000,2007,6.5,1000
17,97,Marc Donato,,Adventure|Drama,1337,Raoul Max Trujillo,http://www.imdb.com/title/tt0313300/?ref_=fn_tt_tt_1,Canada,12500000,2004,6.3,392
5,99,Kelli Williams,125169,Comedy|Drama,859,Seymour Cassel,http://www.imdb.com/title/tt0108320/?ref_=fn_tt_tt_1,USA,10500000,1994,6.4,119
3,24,Johnny Flynn,,Comedy,2651,Hannah Britland,http://www.imdb.com/title/tt4051832/?ref_=fn_tt_tt_1,UK,,,7.9,0
10,144,Boman Irani,1165104,Comedy,8598,Riteish Deshmukh,http://www.imdb.com/title/tt1573072/?ref_=fn_tt_tt_1,India,,2010,5.3,250
43,111,Taylor Handley,1066555,Drama|History|Romance|Western,2618,Trent Ford,http://www.imdb.com/title/tt0473700/?ref_=fn_tt_tt_1,USA,11000000,2007,5.8,411
43,145,Eduardo Verástegui,5669081,Drama|History|War,3665,Catalina Sandino Moreno,http://www.imdb.com/title/tt1566501/?ref_=fn_tt_tt_1,Mexico,10818775,2012,6.6,0
94,106,Eric Elmosnino,,Comedy|Drama|Music,15060,François Damiens,http://www.imdb.com/title/tt3547740/?ref_=fn_tt_tt_1,France,11000000,2014,7.4,0
161,126,Matt Damon,138339411,Drama,604904,Minnie Driver,http://www.imdb.com/title/tt0119217/?ref_=fn_tt_tt_1,USA,10000000,1997,8.3,31000
38,106,Anthony Hopkins,,Drama|Thriller,6935,Glen Powell,http://www.imdb.com/title/tt3658772/?ref_=fn_tt_tt_1,USA,11000000,2016,5.3,0
210,121,Shawnee Smith,80150343,Horror|Mystery,142115,Leigh Whannell,http://www.imdb.com/title/tt0489270/?ref_=fn_tt_tt_1,USA,10000000,2006,6.2,0
52,117,Harold Ramis,85300000,Action|Comedy|War,48629,Judge Reinhold,http://www.imdb.com/title/tt0083131/?ref_=fn_tt_tt_1,USA,10000000,1981,6.9,0
139,98,Lindsay Sloane,68353550,Comedy|Sport,70141,Clare Kramer,http://www.imdb.com/title/tt0204946/?ref_=fn_tt_tt_1,USA,10000000,2000,5.9,0
165,109,Joseph Julian Soria,78845130,Action|Horror|Sci-Fi|Thriller,17596,Mykelti Williamson,http://www.imdb.com/title/tt4094724/?ref_=fn_tt_tt_1,France,10000000,2016,6.1,0
96,95,Clea DuVall,63319509,Comedy|Romance,67115,Kieran Culkin,http://www.imdb.com/title/tt0160862/?ref_=fn_tt_tt_1,USA,10000000,1999,5.8,0
323,109,Gabourey Sidibe,47536959,Drama,86956,Mariah Carey,http://www.imdb.com/title/tt0929632/?ref_=fn_tt_tt_1,USA,10000000,2009,7.3,12000
190,96,Shawnee Smith,63270259,Horror|Mystery,111087,Angus Macfadyen,http://www.imdb.com/title/tt0890870/?ref_=fn_tt_tt_1,USA,10000000,2007,5.9,0
