director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,movie_title,cast_total_facebook_likes,language,country,content_rating,budget,actor_2_facebook_likes,movie_facebook_likes
Tara Subkoff,35,101,37,56,Balthazar Getty,501,#Horror ,1044,English,USA,Not Rated,1500000,418,750
Russell Friedenberg,27,93,9,485,Glen Powell,708,Wind Walkers ,2870,English,USA,R,2000000,571,135
William Cottrell,145,83,0,31,Billy Gilbert,82,Snow White and the Seven Dwarfs ,229,English,USA,Approved,2000000,47,0
Lucrecia Martel,78,106,33,3,Mercedes Morán,341,The Holy Girl ,358,Spanish,Argentina,R,1400000,5,57
Edward Dmytryk,10,113,74,387,Woody Strode,984,Shalako ,2140,English,UK,PG,1455000,423,209
Zak Penn,60,94,87,37,Gabriel Beristain,87,Incident at Loch Ness ,256,English,UK,PG-13,1400000,70,400
Alex Ranarivelo,9,101,20,256,Christina Moore,1000,The Dog Lover ,2419,English,USA,PG,2000000,301,724
Jon Knautz,63,99,10,295,Adam DiMarco,756,Girl House ,2072,English,Canada,,3150000,382,969
Mathieu Amalric,92,76,412,3,Léa Drucker,412,The Blue Room ,421,French,France,R,,4,389
David Worth,4,91,58,69,Jonathan Mangum,847,House at the End of the Drive ,1159,English,USA,R,1400000,147,223
Leslie H. Martinson,53,105,7,356,Cesar Romero,1000,Batman: The Movie ,2658,English,USA,Approved,1377800,370,0
Guy Ritchie,116,120,0,452,Jason Flemyng,26000,Lock, Stock and Two Smoking Barrels ,28294,English,UK,R,960000,1000,21000
Robert M. Young,,105,0,467,Bruce McGill,883,The Ballad of Gregorio Cortez ,3164,English,USA,,1250000,655,32
,13,120,,,Michael Douglas,416,The Streets of San Francisco             ,416,English,USA,,,0,533
Thomas Vinterberg,98,105,346,141,Paprika Steen,280,The Celebration ,821,Danish,Denmark,R,1300000,278,5000
Steve Buscemi,43,95,12000,636,Debi Mazar,12000,Trees Lounge ,14420,English,USA,R,1300000,680,872
Ham Tran,15,135,5,5,Kieu Chinh,51,Journey from the Fall ,83,Vietnamese,USA,R,1592000,24,100
Rich Cowan,14,105,7,548,Karen Allen,2000,The Basket ,3475,English,USA,PG,1300000,783,117
Boris Rodriguez,56,83,5,98,Thure Lindhardt,413,Eddie: The Sleepwalking Cannibal ,843,English,Canada,Not Rated,1500000,197,932
Harold Becker,79,111,17,652,Miko Hughes,13000,Mercury Rising ,16537,English,USA,R,60000000,969,0
,8,60,,109,Tucker Smallwood,210,Space: Above and Beyond             ,611,English,USA,,5000000,121,963
Sadyk Sher-Niyaz,16,135,135,0,Aziz Muradillayev,0,Queen of the Mountains ,0,English,Kyrgyzstan,PG-13,1400000,0,0
Paul Donovan,18,88,4,13,Lenore Zann,232,Def-Con 4 ,289,English,Canada,R,1750000,23,220
Jonathan Kesselman,35,87,4,624,Adam Goldberg,2000,The Hebrew Hammer ,6227,English,USA,R,1000000,1000,3000
Arjun Sablok,5,97,0,40,Uday Chopra,374,Neal 'N' Nikki ,602,English,India,,1500000,145,66
Craig Moss,16,82,19,134,Bryan Callen,700,The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It ,1499,English,USA,R,1300000,460,0
Tyler Oliver,24,103,0,511,Chloe Bridges,35000,Forget Me Not ,38121,English,USA,R,1300000,516,969
Alfred Hitchcock,144,130,13000,333,Joan Fontaine,1000,Rebecca ,2888,English,USA,Not Rated,1288000,991,0
Steve Miner,242,87,49,59,Adrienne King,309,Friday the 13th Part 2 ,707,English,USA,R,1250000,121,0
Billy Wilder,97,101,0,66,Jane Wyman,287,The Lost Weekend ,581,English,USA,Not Rated,1250000,160,0
Douglas Cheek,77,96,4,132,John Heard,796,C.H.U.D. ,1866,English,USA,R,1250000,697,0
Youssef Delara,16,80,8,183,Jenni Rivera,2000,Filly Brown ,2459,English,USA,R,427000,245,0
Deryck Broom,7,87,11,397,Omar Benson Miller,578,The Lion of Judah ,1730,English,USA,PG,15000000,418,381
Henry Hathaway,74,92,83,48,Jean Peters,469,Niagara ,683,English,USA,Approved,1250000,79,1000
John Ford,74,118,673,137,Walter Pidgeon,595,How Green Was My Valley ,1129,English,USA,Approved,1250000,176,0
,19,27,,201,Riley Keough,934,The Girlfriend Experience             ,1961,English,USA,TV-MA,,691,632
Spike Lee,46,123,0,161,Elvis Nolasco,3000,Da Sweet Blood of Jesus ,4040,English,USA,,1420000,372,447
Steven Soderbergh,58,100,0,65,Laura San Giacomo,828,Sex, Lies, and Videotape ,1431,English,USA,R,1200000,531,2000
James Wan,287,103,0,651,Monica Potter,2000,Saw ,5161,English,USA,R,1200000,878,0
Jay Chandrasekhar,100,100,422,422,Daniel von Bargen,816,Super Troopers ,2893,English,USA,R,1200000,577,0
Giovanni Zelko,5,99,4,434,Harry Lennix,18000,The Algerian ,20218,English,USA,,1300000,748,221
Claudia Sainte-Luce,50,89,0,3,Vera Wilson,31,The Amazing Catfish ,58,Spanish,Mexico,,1300000,24,407
Scott Derrickson,276,104,301,71,Jon Hamm,18000,The Day the Earth Stood Still ,22194,English,USA,PG-13,80000000,4000,0
Mira Nair,137,114,300,73,Randeep Hooda,307,Monsoon Wedding ,809,Hindi,India,R,7000000,209,0
Kenneth Lonergan,122,111,50,612,Rory Culkin,2000,You Can Count on Me ,4288,English,USA,R,1200000,710,756
Alfred Hitchcock,73,99,13000,232,John Forsythe,282,The Trouble with Harry ,1041,English,USA,Approved,1200000,255,0
Paul McGuigan,202,110,118,1000,Morgan Freeman,13000,Lucky Number Slevin ,26451,English,Germany,R,27000000,11000,10000
Jamie Babbit,99,85,91,849,Clea DuVall,1000,But I'm a Cheerleader ,4289,English,USA,R,1200000,1000,0
David Boyd,10,113,29,449,Drew Waters,890,Home Run ,2681,English,USA,PG-13,1200000,848,0
Quentin Tarantino,173,99,16000,455,Steve Buscemi,16000,Reservoir Dogs ,28994,English,USA,R,1200000,12000,19000
Walter Lang,7,83,9,51,Nigel Bruce,94,The Blue Bird ,293,English,USA,Approved,,62,548
Sergio Leone,181,142,0,24,Luigi Pistilli,16000,The Good, the Bad and the Ugly ,16089,Italian,Italy,Approved,1200000,34,20000
Anna Muylaert,111,112,9,4,Regina Casé,61,The Second Mother ,76,Portuguese,Brazil,R,4000000,9,0
Steve Taylor,38,108,14,274,Marshall Allman,1000,Blue Like Jazz ,1805,English,USA,PG-13,1200000,330,0
Kurt Voss,12,88,0,3,Coyote Shivers,268,Down and Out with the Dolls ,318,English,USA,R,1200000,44,27
Léa Pool,23,97,4,,,,Pink Ribbons, Inc. ,0,English,Canada,Not Rated,1200000,,5000
James David Pasternak,17,85,0,924,Sarah Silverman,49000,Certifiably Jonathan ,54484,English,USA,,1200000,931,87
Laurent Bouhnik,9,103,0,24,Johnny Amaro,34,Q ,114,French,France,,1500000,29,754
Tom Sanchez,1,110,0,0,Antonio Arrué,3,The Knife of Don Juan ,5,Spanish,USA,,1200000,2,75
David Caffrey,51,88,4,95,Scott Adsit,690,Grand Theft Parsons ,1438,English,USA,PG-13,,316,480
Adam Jay Epstein,14,76,0,227,Denise Boutte,387,Extreme Movie ,1190,English,USA,R,,295,636
Michael Curtiz,24,100,345,94,David Niven,843,The Charge of the Light Brigade ,1621,English,USA,Approved,1200000,490,204
Justin Thomas Ostensen,18,99,0,5,Kristin Booth,721,Below Zero ,862,English,Canada,R,1200000,134,161
Brenton Spencer,22,84,0,63,Victor Zinck Jr.,380,Crowsnest ,630,English,Canada,R,1200000,91,238
Rob Bowman,9,91,38,117,Jacob Vargas,584,Airborne ,1218,English,USA,PG,2600000,399,0
Ossie Davis,30,97,282,148,Cleavon Little,586,Cotton Comes to Harlem ,1581,English,USA,R,1200000,434,477
Jay Alaimo,9,84,2,475,Sabrina Carmichael,10000,The Wicked Within ,11257,English,USA,R,1200000,500,479
Dylan Bank,7,100,0,312,Deirdre Lorenz,498,Bleeding Hearts ,1810,English,USA,,1200000,350,242
Rob McKittrick,91,94,6,804,Dane Cook,16000,Waiting... ,19957,English,USA,R,3000000,1000,0
Shane Meadows,99,90,222,68,Gary Stretch,680,Dead Man's Shoes ,1311,English,UK,,695393,404,0
,2,,,206,John Jarratt,511,Wolf Creek             ,1617,English,Australia,,,457,954
Jeff Burr,57,92,155,147,Clu Gulager,448,From a Whisper to a Scream ,1329,English,USA,R,1100000,426,241
Harry Gantz,12,105,0,,,,Sex with Strangers ,0,English,USA,,,,51
Guy Maddin,58,73,126,3,CindyMarie Small,14,Dracula: Pages from a Virgin's Diary ,21,English,Canada,,1600000,4,131
Regardt van den Bergh,5,116,12,25,Frank Rautenbach,412,Faith Like Potatoes ,521,Zulu,South Africa,PG,10000000,48,0
Panos Cosmatos,97,110,22,48,Marilyn Norry,434,Beyond the Black Rainbow ,645,English,Canada,R,1100000,95,0
Gareth Evans,481,102,338,60,Yayan Ruhian,1000,The Raid: Redemption ,1445,Indonesian,Indonesia,R,1100000,342,51000
Matthew R. Anderson,17,89,252,252,Vernon Wells,1000,The Dead Undead ,2510,English,USA,R,1100000,745,444
Joe Marino,9,76,0,0,Anella Vastola,12,The Vatican Exorcisms ,12,English,Italy,R,1100000,0,200
Michael Curtiz,242,82,345,269,Claude Rains,2000,Casablanca ,3442,English,USA,PG,950000,607,23000
Joel Anderson,95,89,0,5,Rosie Traynor,12,Lake Mungo ,29,English,Australia,R,1400000,5,0
Shimit Amin,14,150,6,20,Shazahn Padamsee,964,Rocket Singh: Salesman of the Year ,1052,Hindi,India,,,22,773
Douglas Trumbull,87,89,136,42,Ron Rifkin,844,Silent Running ,1080,English,USA,GP,1000000,184,0
John G. Avildsen,141,145,80,794,Burgess Meredith,13000,Rocky ,16094,English,USA,PG,960000,1000,0
Mona Fastvold,16,91,2,9,Brady Corbet,321,The Sleepwalker ,622,English,Norway,Not Rated,1100000,287,234
John Carpenter,212,89,0,606,Hal Holbrook,2000,The Fog ,4878,English,USA,R,1000000,826,7000
Tony Richardson,30,121,62,69,Susannah York,883,Tom Jones ,1371,English,UK,Unrated,1000000,269,328
Levan Gabriadze,270,83,6,142,Renee Olstead,707,Unfriended ,1565,English,USA,R,1000000,305,13000
Martin Scorsese,211,110,17000,595,Albert Brooks,22000,Taxi Driver ,23525,English,USA,R,1300000,745,35000
Joe Dante,161,91,287,725,Robert Picardo,1000,The Howling ,4438,English,USA,R,1000000,823,0
Terence Young,184,110,92,177,Jack Lord,650,Dr. No ,1421,English,UK,Approved,1100000,275,5000
Bradley Parker,270,86,18,300,Ingrid Bolsø Berdal,1000,Chernobyl Diaries ,2665,English,USA,R,1000000,466,24000
Clive Barker,203,86,385,100,Ashley Laurence,266,Hellraiser ,673,English,UK,R,1000000,209,0
Harold Cronk,29,120,18,295,Robin Givens,634,God's Not Dead 2 ,1810,English,USA,PG,5000000,420,0
Jeff Wadlow,137,90,65,683,Gary Cole,1000,Cry_Wolf ,3155,English,USA,PG-13,1000000,989,816
Takao Okawara,107,99,2,3,Naomi Nishida,43,Godzilla 2000 ,53,Japanese,Japan,PG,1000000000,3,339
Derek Cianfrance,377,112,310,616,Mike Vogel,33000,Blue Valentine ,35941,English,USA,R,3500000,2000,25000
Duncan Tucker,169,103,2,226,Felicity Huffman,2000,Transamerica ,3192,English,USA,R,1000000,508,0
William Brent Bell,225,83,19,128,Claudiu Trandafir,403,The Devil Inside ,988,English,USA,R,1000000,169,12000
Russ Meyer,101,109,199,44,Cynthia Myers,503,Beyond the Valley of the Dolls ,731,English,USA,X,900000,46,0
Robert D. Webb,39,89,0,102,Neville Brand,356,Love Me Tender ,831,English,USA,,1000000,110,365
Davis Guggenheim,372,96,49,,Al Gore,861,An Inconvenient Truth ,929,English,USA,PG,,68,0
Allan Dwan,40,109,23,88,Richard Jaeckel,183,Sands of Iwo Jima ,510,English,USA,Approved,1000000,102,624
Martin Scorsese,129,122,17000,184,Keith Richards,543,Shine a Light ,1218,English,USA,PG-13,,426,0
Eli Roth,285,100,0,389,Richard Burgi,640,The Green Inferno ,2082,English,USA,R,6000000,550,12000
Andrew Steggall,29,109,0,30,Alex Lawther,202,Departure ,283,English,UK,,1100000,47,75
Ben Lewin,337,95,20,365,Adam Arkin,422,The Sessions ,1899,English,USA,R,1000000,374,11000
Robert Kenner,120,94,11,2,Eric Schlosser,37,Food, Inc. ,42,English,USA,PG,,3,37000
Andrew Erwin,40,107,10,245,Robert Amaya,544,October Baby ,1147,English,USA,PG-13,,264,0
Brad Anderson,38,104,122,458,Callie Thorne,22000,Next Stop Wonderland ,23461,English,USA,R,1000000,472,392
Jason Reitman,387,96,655,973,Jennifer Garner,24000,Juno ,28817,English,USA,PG-13,7500000,3000,10000
Craig Johnson,185,93,7,180,Boyd Holbrook,3000,The Skeleton Twins ,3986,English,USA,R,,439,0
Sean Durkin,348,102,46,287,Julia Garner,321,Martha Marcy May Marlene ,1263,English,USA,R,,300,0
Gillian Robespierre,155,84,9,313,Jenny Slate,612,Obvious Child ,1587,English,USA,R,,457,0
Courtney Hunt,181,97,33,229,Michael O'Keefe,496,Frozen River ,994,English,USA,R,1000000,238,0
Morgan Neville,149,91,9,13,Lou Adler,130,20 Feet from Stardom ,198,English,USA,PG-13,1000000,19,14000
James Toback,54,84,56,13,Natasha Gregson Wagner,21000,Two Girls and a Guy ,21124,English,USA,R,1000000,104,387
Nicole Holofcener,18,86,132,584,Anne Heche,778,Walking and Talking ,2400,English,UK,R,1000000,695,227
Peter Cattaneo,122,91,11,121,Mark Addy,1000,The Full Monty ,2323,English,UK,R,3500000,891,0
Chris Paine,87,92,2,5,Phyllis Diller,783,Who Killed the Electric Car? ,1447,English,USA,PG,1000000,659,0
Greg Berlanti,51,94,112,428,Nia Long,1000,The Broken Hearts Club: A Romantic Comedy ,3085,English,USA,R,1000000,826,671
Don Coscarelli,260,92,152,124,Ossie Davis,1000,Bubba Ho-Tep ,1587,English,USA,R,1000000,282,0
Rob Letterman,218,103,11,543,Dylan Minnette,2000,Goosebumps ,5497,English,USA,PG,58000000,1000,35000
Marc Levin,16,100,12,6,Saul Williams,245,Slam ,295,English,USA,R,1000000,38,603
Richard Dutcher,12,119,13,25,Frank Gerrish,957,Brigham City ,1107,English,USA,PG-13,1000000,81,100
Khalid Mohamed,1,167,10,97,Manoj Bajpayee,353,Fiza ,773,Hindi,India,,1000000,186,92
Mel Brooks,48,92,0,842,Sid Caesar,1000,History of the World: Part I ,3931,English,USA,R,11000000,898,0
Trey Parker,59,92,406,194,Dian Bachar,406,Orgazmo ,904,English,USA,NC-17,1000000,203,0
David Gordon Green,88,108,234,463,Paul Schneider,11000,All the Real Girls ,12385,English,USA,R,2500000,552,571
Finn Taylor,28,97,4,301,Cathy Moriarty,611,Dream with the Fishes ,1692,English,USA,R,1000000,394,166
Karen Moncrieff,44,88,22,275,Agnes Bruckner,638,Blue Car ,1641,English,USA,R,1000000,400,115
José Luis Valenzuela,13,100,0,268,Lupe Ontiveros,844,Luminarias ,2289,English,USA,R,1000000,625,24
Gia Coppola,117,100,71,145,Nat Wolff,11000,Palo Alto ,12234,English,USA,R,,733,0
Scandar Copti,100,124,13,7,Scandar Copti,20,Ajami ,42,Arabic,Germany,,,13,0
Goran Dukic,117,88,21,772,Patrick Fugit,1000,Wristcutters: A Love Story ,4720,English,USA,R,1000000,835,11000
Mike Cahill,140,106,135,11,Cara Seymour,7000,I Origins ,7098,English,USA,R,,71,32000
Efram Potelle,29,79,2,551,Elden Henson,855,The Battle of Shaker Heights ,2489,English,USA,PG-13,1000000,577,150
Peter Jackson,308,135,0,310,AJ Michalka,873,The Lovely Bones ,2369,English,USA,PG-13,65000000,559,16000
Joshua Oppenheimer,248,96,50,0,Herman Koto,3,The Act of Killing ,6,Indonesian,UK,Not Rated,1000000,3,20000
Alex Gibney,84,53,141,23,George W. Bush,141,Taxi to the Dark Side ,313,English,USA,R,1000000,125,0
Paul Crowder,40,97,10,5,Marv Albert,102,Once in a Lifetime: The Extraordinary Story of the New York Cosmos ,118,English,UK,PG-13,1000000,7,587
Rohit Jagessar,,120,0,0,Rufus Graham,12,Guiana 1838 ,15,English,USA,Unrated,,3,32
Griffin Dunne,13,90,165,679,Fisher Stevens,978,Lisa Picard Is Famous ,3258,English,USA,PG-13,,922,25
Anthony Powell,31,91,9,9,Tom Hamann,53,Antarctica: A Year on Ice ,86,English,New Zealand,PG,1000000,24,0
Kief Davidson,43,93,0,0,Brian Whitaker,20,A Lego Brickumentary ,28,English,Denmark,G,1000000,8,0
Johnny Remo,2,112,74,891,Randy Wayne,260000,Hardflip ,263584,English,USA,PG-13,1000000,984,706
Vivek Agnihotri,4,160,5,219,Anil Kapoor,724,Chocolate: Deep Dark Secrets ,2024,Hindi,India,,1500000,668,31
Ti West,238,95,243,725,Greta Gerwig,969,The House of the Devil ,3833,English,USA,R,900000,962,0
Nick Tomnay,112,93,11,271,Clayne Crawford,443,The Perfect Host ,1452,English,USA,R,500000,298,0
John Hamburg,33,88,29,117,Michael Lerner,499,Safe Men ,1141,English,USA,R,1000000,230,157
Nickolas Perry,8,105,5,73,Patsy Kensit,590,Speedway Junky ,1042,English,USA,R,1000000,231,27
Dan Zukovic,95,98,8,14,Louis Mustillo,96,The Last Big Thing ,196,English,USA,R,,71,43
Craig Mazin,29,82,82,490,James Gunn,2000,The Specials ,3905,English,USA,R,1000000,571,210
Becky Smith,3,89,32,256,Emily Baldoni,386,16 to Life ,1647,English,USA,,1000000,261,143
Eric Nicholas,71,78,0,61,Ana Claudia Talancón,262,Alone with Her ,509,English,USA,Not Rated,1000000,163,244
Benjamin Dickinson,36,97,4,150,Alexia Rasmussen,446,Creative Control ,928,English,USA,R,1000000,171,793
Hal Haberman,56,81,0,394,Paul Blackthorne,975,Special ,2694,English,USA,R,1000000,645,0
Darren Stein,8,90,18,422,Jamie Kennedy,491,Sparkler ,2633,English,USA,R,,490,17
A. Raven Cruz,3,97,0,94,Vanilla Ice,639,The Helix... Loaded ,1188,English,USA,R,1000000,361,128
Brian Trenchard-Smith,8,88,53,176,Mariel Hemingway,563,In Her Line of Fire ,1284,English,Germany,R,1000000,288,42
Frank Whaley,9,96,436,4,Frank Whaley,474,The Jimmy Show ,920,English,USA,R,1500000,436,47
Amat Escalante,87,105,50,8,Andrea Vergara,327,Heli ,351,Spanish,Mexico,Not Rated,1000000,9,0
Wajahat Rauf,6,,3,4,Ayesha Omar,7,Karachi se Lahore ,19,Urdu,Pakistan,,1000000,5,259
Katherine Brooks,14,76,57,228,Kevin McCarthy,442,Loving Annabelle ,1635,English,USA,Not Rated,1000000,403,501
David Cross,20,96,0,396,Matt Walsh,782,Hits ,2607,English,USA,,1000000,490,903
Randall Rubin,23,99,0,131,A.J. Buckley,363,Jimmy and Judy ,997,English,USA,R,1000000,275,138
Robert Bennett,6,90,15,106,Lauren C. Mayhew,984,Frat Party ,1752,English,USA,R,1000000,157,297
Guy Hamilton,12,94,82,47,Eddie Albert,694,The Party's Over ,964,English,UK,,,196,32
Mary Pat Kelly,2,87,3,149,Ossie Davis,767,Proud ,1593,English,USA,PG,1000000,282,141
Lori Petty,12,93,923,904,Chloë Grace Moretz,34000,The Poker House ,52113,English,USA,R,,17000,599
Charlie Levi,,90,0,171,Barbara Hershey,1000,Childless ,1996,English,USA,R,1000000,618,3
Kevin Hamedani,64,89,23,23,Janette Armand,199,ZMD: Zombies of Mass Destruction ,292,English,USA,R,500000,37,0
David DeCoteau,7,83,142,317,Shanley Caswell,458,Snow White: A Deadly Summer ,1549,English,USA,PG-13,1000000,383,150
Mikel Rueda,9,96,0,0,Germán Alcarazu,90,Hidden Away ,90,Spanish,Spain,Unrated,,0,68
Stefan C. Schaefer,21,90,0,360,Marlene Forte,898,My Last Day Without You ,2116,English,USA,,1000000,395,370
Michael Taliferro,,138,105,110,Sticky Fingaz,592,Steppin: The Movie ,1350,English,USA,PG-13,1000000,207,41
David DeCoteau,1,84,142,402,Tom Berenger,10000,Doc Holliday's Revenge ,11466,English,USA,PG-13,1000000,854,54
Katie Aselton,95,83,224,37,Anslem Richardson,224,Black Rock ,344,English,USA,R,,59,0
Robert Heath,40,96,0,177,Alexander Vlahos,335,Truth or Die ,1226,English,UK,Not Rated,1000000,334,968
D. Stevens,6,94,6,0,Pierre Dulat,92,The Pet ,109,English,USA,,1000000,17,91
Jeffrey St. Jules,16,90,0,36,Chloe Rose,57,Bang Bang Baby ,231,English,Canada,,1000000,40,48
Robert Hall,39,95,53,253,Kevin Gage,677,Fear Clinic ,1825,English,USA,R,1000000,366,936
K. King,150,93,3,115,Shona Kay,214,Zombie Hunter ,656,English,USA,Not Rated,1000000,211,0
Jonathan Meyers,1,111,0,426,Luke Perry,657,A Fine Step ,2677,,USA,PG,1000000,608,212
Danny Boyle,393,101,0,888,Spencer Wilding,3000,Trance ,5056,English,UK,R,20000000,1000,23000
Ralph Nelson,32,103,17,113,Dick Van Patten,754,Charly ,1567,English,USA,PG,,605,785
Blair Erickson,78,87,0,302,Katia Winter,696,Banshee Chapter ,1618,English,Germany,R,950000,371,2000
,,30,,223,David DeLuise,775,Jesse             ,1713,English,USA,,,275,57
Allison Burnett,8,100,12,354,Gia Mantegna,529,Ask Me Anything ,2468,English,USA,Not Rated,950000,413,884
Richard Schenkman,6,90,29,558,Mike Colter,1000,And Then Came Love ,2504,English,USA,,989000,569,42
Sanjay Rawal,9,83,0,17,Robert Kennedy Jr.,56,Food Chains ,104,English,USA,,913000,28,489
Elia Kazan,134,108,603,279,Karl Malden,10000,On the Waterfront ,11094,English,USA,Not Rated,910000,416,0
Kat Coiro,18,100,28,501,Geoff Stults,945,L!fe Happens ,2924,English,USA,R,930000,756,995
Cristian Mungiu,233,113,163,27,Vlad Ivanov,131,4 Months, 3 Weeks and 2 Days ,264,Romanian,Romania,Not Rated,590000,60,14000
Brian Dorton,10,97,171,76,Brian Dorton,1000,The Horror Network Vol. 1 ,1343,English,USA,,3000000,171,52
David Slade,231,104,171,0,G.J. Echternkamp,109,Hard Candy ,117,English,USA,R,950000,8,12000
Jamie Babbit,65,91,91,659,David Gallagher,982,The Quiet ,3299,English,USA,R,900000,796,698
Maryam Keshavarz,76,107,32,127,Reza Sixo Safai,144,Circumstance ,509,Persian,France,R,,127,0
Ryan Coogler,327,85,0,88,Melonie Diaz,282,Fruitvale Station ,687,English,USA,R,900000,270,17000
Ramaa Mosley,62,101,6,727,Michael Angarano,975,The Brass Teapot ,4184,English,USA,R,900000,947,0
James Algar,116,70,11,8,Donnie Dunagan,16,Bambi ,63,English,USA,Approved,,12,0
Charles Herman-Wurmfeld,73,88,0,102,Rian Bishop,465,The Hammer ,897,English,USA,R,850000,140,337
Ric Roman Waugh,238,112,29,874,Harold Perrineau,12000,Snitch ,15800,English,USA,PG-13,15000000,1000,12000
C. Jay Cox,35,107,6,522,Rob McElhenney,23000,Latter Days ,26017,English,USA,R,850000,813,0
Mariette Monpierre,2,78,0,0,Christophe Cherki,0,Elza ,0,French,France,,900000,0,24
Tommy Oliver,6,90,66,734,Ruby Dee,904,1982 ,5435,English,USA,R,1000000,782,181
Jamie Travis,115,88,15,567,Ari Graynor,938,For a Good Time, Call... ,3770,English,USA,R,850000,904,0
Lee Toland Krieger,193,92,43,172,Janel Parrish,904,Celeste & Jesse Forever ,1751,English,USA,R,,517,0
Rich Christiano,16,95,14,221,D. David Morin,284,Time Changer ,1185,English,USA,PG,825000,234,409
Paul Andrew Williams,68,85,46,141,Johnny Harris,418,London to Brighton ,926,English,UK,R,500000,146,933
Nick Love,16,86,63,175,Christopher Berry,489,American Hero ,1278,English,USA,,990000,207,549
Natalie Bible',7,90,8,487,Samaire Armstrong,1000,Windsor Drive ,3336,English,USA,,100000,806,312
Asghar Farhadi,354,123,0,620,Leila Hatami,786,A Separation ,2501,Persian,Iran,PG-13,500000,712,48000
Justin Molotnikov,16,93,5,10,Stephen McCole,49,Crying with Laughter ,81,English,UK,,,11,33
Todd Solondz,74,88,377,236,Ken Leung,529,Welcome to the Dollhouse ,1502,English,USA,R,800000,502,0
Victor Nunez,11,114,9,86,Todd Field,159,Ruby in Paradise ,423,English,USA,R,800000,143,81
Peter Sollett,59,88,6,68,Melonie Diaz,302,Raising Victor Vargas ,663,English,France,R,800000,270,219
Georg Wilhelm Pabst,71,110,21,3,Francis Lederer,426,Pandora's Box ,455,German,Germany,Not Rated,,20,926
Daniel Davila,5,95,0,167,Melora Walters,940,Harrison Montgomery ,1484,English,USA,,850000,188,18
Jorge Gaggero,25,83,0,0,Hilda Bernard,24,Live-In Maid ,29,Spanish,Argentina,Unrated,800000,5,83
Rod Lurie,29,104,37,501,Kathryn Morris,574,Deterrence ,1983,English,France,R,800000,573,130
Michael Burke,17,94,3,181,Tom Guiry,262,The Mudge Boy ,991,English,USA,R,800000,262,396
Catherine Jelski,13,87,0,258,Eion Bailey,1000,The Young Unknowns ,2359,English,USA,R,,749,4
Shane Dawson,6,93,247,152,Kurt Angle,247,Not Cool ,954,English,USA,Not Rated,600000,217,0
Tommy Wirkola,224,91,75,13,Stig Frode Henriksen,35,Dead Snow ,116,Norwegian,Norway,Not Rated,800000,16,23000
Ryan Little,33,90,38,69,Larry Bagby,214,Saints and Soldiers ,587,English,USA,PG-13,780000,115,1000
Clark Baker,1,14,0,37,Alan Pietruszewski,134,Vessel ,315,English,USA,,,93,14
