actor_3_facebook_likes,gross,language,content_rating,budget
275,34667015,English,PG-13,32000000
913,37652565,English,PG-13,42000000
808,24375436,English,R,42000000
687,20915465,English,PG,42000000
16,24127895,English,R,50000000
576,84961,Mandarin,PG-13,31000000
497,26404753,English,PG-13,40000000
365,6105175,English,R,44000000
433,5664251,English,R,45000000
253,,English,TV-G,
52,1260917,French,R,27000000
196,116724075,English,R,41000000
6,,French,,
996,56083966,English,PG-13,65000000
96,22108977,English,PG-13,41000000
766,293501675,English,PG-13,40000000
54,18600911,English,PG-13,42000000
296,7204138,English,PG,41000000
225,90800000,English,PG,8000000
14000,150117807,English,R,40000000
723,163947053,English,PG-13,40000000
298,116735231,English,R,70000000
690,118500000,English,PG,40000000
903,126546825,English,R,40000000
716,166147885,English,R,40000000
2000,111760631,English,PG,38000000
1000,108706165,English,R,40000000
597,138614544,English,PG,40000000
127,125069696,English,R,40000000
251,107458785,English,PG,40000000
336,102310175,English,R,40000000
81,96917897,English,PG-13,40000000
49,93952276,English,PG-13,40000000
807,90703745,English,PG-13,45000000
71,89138076,English,R,40000000
690,87666629,English,PG,40000000
723,90353764,English,R,40000000
10000,82522790,English,R,40000000
923,94125426,English,PG-13,40000000
898,95001343,English,PG-13,40000000
1000,81292135,English,R,40000000
839,86208010,English,PG-13,35000000
249,81593527,English,PG,40000000
808,75274748,English,PG-13,35000000
655,90835030,English,PG-13,40000000
322,72455275,English,R,40000000
748,75305995,English,PG-13,40000000
175,74098862,English,R,40000000
882,72266306,English,PG-13,40000000
257,71347010,English,R,40000000
398,70836296,English,PG-13,40000000
4,70405498,English,R,40000000
633,70163652,English,PG-13,40000000
8000,66808615,English,R,34000000
465,115603980,English,PG-13,65000000
651,64149837,English,PG-13,20000000
119,83906114,English,PG-13,40000000
748,66466372,English,R,40000000
423,72306065,English,PG-13,40000000
389,59068786,English,PG-13,40000000
177,60923325,English,R,
418,57887882,English,PG-13,50000000
823,53955614,English,PG-13,40000000
968,54967359,English,R,40000000
720,54228104,English,PG-13,35000000
638,57981889,English,R,40000000
767,61094903,English,PG-13,30000000
19000,53082743,English,PG-13,40000000
465,54414716,English,R,42000000
91,57011847,English,PG,40000000
19,50859889,Maya,R,40000000
162,51185897,English,PG,30000000
520,52000688,English,R,40000000
204,49851591,English,PG,40000000
501,47781388,English,PG-13,40000000
211,52320979,English,PG,40000000
280,47806295,English,PG-13,43000000
988,51853450,English,PG,25000000
681,46012734,English,PG-13,40000000
235,47034272,English,R,40000000
913,45856732,English,PG-13,40000000
416,59588068,English,R,40000000
11000,44175394,English,R,36000000
0,45500797,English,PG-13,40000000
473,41797066,English,R,40000000
287,38087756,English,PG,40000000
586,37752931,English,PG-13,40000000
664,50562555,English,PG-13,
57,37371385,English,R,40000000
78,37101011,English,PG-13,40000000
687,38176892,English,R,40000000
173,36283504,English,R,40000000
552,35183792,English,R,38000000
214,38543473,English,R,40000000
235,36037909,English,PG-13,60000000
495,42575718,English,R,40000000
584,33864342,English,PG-13,40000000
754,33508922,English,PG-13,40000000
223,42071069,English,PG-13,30000000
12,,English,TV-Y,
490,32853640,English,PG-13,40000000
3000,42615685,English,R,40000000
510,32055248,English,PG-13,25000000
