actor_2_name,actor_2_facebook_likes
Jason Scott Lee,533
Julia Roberts,8000
Jon Favreau,4000
Anthony Hopkins,12000
Steve Reevis,437
Jesse McCartney,1000
Adam Sandler,11000
Dwayne Johnson,12000
Jon Favreau,4000
Joseph Sikora,223
Robert Duvall,3000
Drew Carey,311
CCH Pounder,1000
Carmen Electra,869
Jennifer Jason Leigh,1000
Bailee Madison,3000
Royce Johnson,4
Monica Potter,878
Ethan Embry,982
Natalie Portman,20000
Mila Kunis,15000
Jodi Benson,570
Lili Taylor,960
Wayne Knight,967
Henry Czerny,177
Jon Hamm,4000
Alex McArthur,137
Logan Lerman,8000
Anne Heche,643
Tom Cavanagh,642
Charles Napier,503
Leslie Bibb,1000
William Hurt,882
Dorian Missick,1000
Stephen Dillane,577
Adam Sandler,11000
Agnes Moorehead,960
Penn Jillette,243
Alan Young,639
Mika Boorem,496
Don Cheadle,3000
Nick Chinlund,277
Annabella Sciorra,448
Jon Lovitz,11000
Heath Ledger,13000
Martin Short,770
Roxane Duran,21
Harold Perrineau,1000
Devin Ratray,1000
Jon Foster,274
Viggo Mortensen,10000
Tiya Sircar,396
Michael Byrne,117
Jenna Elfman,739
Elio Germano,48
Gerard Butler,18000
Brian Anthony Wilson,674
Elizabeth Daily,971
Joseph Gilgun,788
Val Kilmer,0
Adam LeFevre,80
Jacques Perrin,63
Catherine McCormack,307
Currie Graham,172
David Hoffman,94
Austin Pendleton,592
Nathan Lane,886
Dwayne Johnson,12000
Khamani Griffin,161
Anthony Hopkins,12000
Viggo Mortensen,10000
Adam Sandler,11000
Cole Hauser,787
James Franco,11000
Veronica Cartwright,422
Janeane Garofalo,1000
Eric Stonestreet,904
Max Ryan,872
Miranda Cosgrove,2000
Adam Baldwin,2000
Richard Schiff,506
Cedric the Entertainer,436
Danny Huston,430
Tyler Mane,764
Morgan Freeman,11000
Michael Biehn,2000
Ray Romano,590
Peter Dante,427
Elijah Kelley,339
Alan Ford,422
Rene Auberjonois,710
Common,988
Adam Sandler,11000
Chi McBride,466
Matt Ryan,560
Kevin Dillon,576
Scott Glenn,826
Tom Hanks,15000
Martin Scorsese,17000
Jennifer Hudson,549
Brent Sexton,130
Christina Milian,1000
Moritz Bleibtreu,486
Tom Skerritt,1000
Lisa Ann Walter,1000
Elizabeth Debicki,509
Paz Vega,964
Jon Heder,970
Brían F. O'Byrne,450
Ben Cross,303
Geoffrey Palmer,103
Daniel Sharman,1000
Bruce Willis,13000
Janeane Garofalo,1000
Bruce Greenwood,982
Sean Pertwee,722
Kiernan Shipka,552
Bridget Fonda,889
Tony Curran,845
Bruce Willis,13000
Jon Hamm,4000
Abbie Cornish,2000
Mike Starr,854
James Pickens Jr.,270
Josh Gad,1000
Ray Winstone,1000
RZA,561
Frances Fisher,638
Leslie Bibb,1000
Jeffrey Jones,692
Patrick McGoohan,466
Brian Geraghty,383
Yeardley Smith,440
Hal Holbrook,826
Estella Warren,658
Jean-Claude Dreyfus,17
Judy Greer,2000
Raven-Symoné,1000
Merritt Wever,529
Jennifer Saunders,309
Cheech Marin,843
Christopher Meloni,3000
Eve,223
Billy West,861
Delroy Lindo,848
Brad Pitt,11000
Julia Roberts,8000
Rufus Sewell,3000
John Amos,982
Josh Charles,1000
Katia Winter,372
Ivana Milicevic,834
Freddy Rodríguez,579
Colin Salmon,766
Bridgit Mendler,1000
Marc Blucas,973
Morgan Freeman,11000
Jonathan Frakes,906
Jim Parrack,697
Alison Lohman,1000
Peter Gerety,277
Benedict Cumberbatch,19000
Matt Damon,13000
Todd Graff,650
Austin Pendleton,592
Sarah Gadon,692
Bruce Willis,13000
David Kelly,588
Mako,691
Clint Howard,1000
Brooke Smith,405
Ben Daniels,585
Phill Lewis,229
Stephen Rea,327
Shane Hartline,217
Cole Hauser,787
Robert De Niro,22000
Chris Klein,841
Sandrine Holt,324
Minnie Driver,893
Brandy Norwood,509
Oliver Platt,1000
Archie Kao,326
Laurence Olivier,1000
Indira Varma,729
50 Cent,1000
Luke Newberry,358
Bruce McGill,655
Kristen Stewart,17000
Marlon Brando,10000
Miranda Cosgrove,2000
Robert Blake,220
Morgan Freeman,11000
Ashraf Barhom,451
Wes Studi,855
Larry Joe Campbell,919
Rip Torn,826
Abraham Benrubi,562
Simon McBurney,149
Stephanie Szostak,1000
Dominic Cooper,3000
Kevin McNally,427
Kaitlyn Dever,363
Mitch Pileggi,826
Nonso Anozie,394
Vin Diesel,14000
Dominic Cooper,3000
Lisa Edelstein,955
Stephen Root,939
Michael O'Neill,599
Hal Holbrook,826
Marcus Chong,145
Miko Hughes,968
Rachel Ticotin,308
Aisha Tyler,857
Eddie Redmayne,13000
Jean Stapleton,793
Adam Scott,3000
Tony Amendola,174
RZA,561
Jack O'Connell,698
Courtney B. Vance,495
Leon,730
Samantha Mathis,517
Lily Tomlin,718
Jay Hernandez,1000
Kirsten Dunst,4000
Aasif Mandvi,346
Vinessa Shaw,580
Dorian Missick,1000
Adrian Martinez,806
Abigail Spencer,1000
Natasha Lyonne,1000
Jennifer Grey,1000
Adrian Lester,317
Boris Kodjoe,1000
Max Ryan,872
Craig Bierko,380
Alun Armstrong,192
Josh Hutcherson,14000
Meat Loaf,783
Kimberly Williams-Paisley,529
James Nesbitt,773
James Coburn,773
Michael Moore,909
Kevin Grevioux,593
Barney Clark,85
Cary-Hiroyuki Tagawa,1000
Bruce Willis,13000
Kristin Scott Thomas,1000
Martin Henderson,580
David Calder,27
Josh Zuckerman,522
Charlize Theron,9000
Ariana Richards,610
Catherine O'Hara,925
Dean Jones,913
Peng Lin,18
Brittany Daniel,862
Thomas Kretschmann,919
Samantha Mathis,517
Romany Malco,966
