director_name,duration,genres,facenumber_in_poster,num_user_for_reviews,country,budget,actor_2_facebook_likes,imdb_score
Spike Lee,108,Drama,0,454,USA,15000000,3000,7.7
,43,Crime|Drama,0,27,USA,,560,7.7
Lana Wachowski,109,Crime|Drama|Romance|Thriller,0,208,USA,4500000,441,7.4
Darren Aronofsky,102,Drama,0,1916,USA,4500000,1000,8.4
Walter Lang,100,Musical|Romance,2,55,USA,,135,7.1
Carlos Saura,115,Drama|Musical,3,40,Spain,700000000,26,7.2
Oliver Stone,122,Drama|History|Thriller|War,0,89,UK,4500000,652,7.5
Andrew Erwin,98,Comedy,,125,USA,5000000,416,5.4
Richard Kelly,133,Drama|Sci-Fi|Thriller,1,2110,USA,4500000,933,8.1
Beto Gómez,105,Adventure|Comedy|Western,6,14,Mexico,,154,6.0
Mike van Diem,122,Crime|Drama|Mystery,1,68,Netherlands,4500000,20,7.8
Jonas Åkerlund,106,Comedy|Crime|Drama,0,199,USA,2000000,601,6.8
Todd Solondz,98,Comedy|Drama,1,37,USA,,887,6.5
Chan-wook Park,112,Crime|Drama,0,131,South Korea,4200000000,126,7.7
René Féret,120,Biography|Drama|Music|Romance,2,17,France,,12,6.4
Barry Skolnick,99,Comedy|Drama|Sport,1,84,UK,2500000,1000,6.5
Johnnie To,110,Action|Crime|Thriller,0,26,Hong Kong,35000000,96,7.3
Mateo Gil,102,Action|Adventure|Western,0,40,Spain,,356,6.6
Lukas Moodysson,109,Crime|Drama,1,206,Sweden,,2,7.9
Agnieszka Wojtowicz-Vosloo,104,Drama|Horror|Mystery|Thriller,1,137,USA,4500000,1000,5.9
Kabir Sadanand,134,Drama|Thriller,4,7,India,,82,4.7
Milos Forman,133,Drama,0,760,USA,4400000,721,8.7
Peter DeLuise,85,Comedy,3,4,USA,4400000,570,5.9
Mel Brooks,87,Comedy|Romance,0,61,USA,4400000,842,6.7
Raja Menon,130,Action|Drama|History|Thriller|War,1,178,India,4400000,26,8.5
,199,Drama|Family,0,74,Canada,,517,8.4
Ernie Barbarash,103,Action|Adventure,1,32,USA,4500000,298,5.8
Nick Love,112,Action|Crime|Drama,4,99,UK,3000000,1000,6.1
Jonathan Glazer,89,Crime|Thriller,6,346,UK,,146,7.3
Daniel Espinosa,124,Action|Crime|Drama|Thriller,1,25,Sweden,,254,6.7
Niki Caro,101,Drama|Family,1,346,New Zealand,6000000,20,7.6
R. Balki,133,Comedy|Drama,0,49,India,150000000,374,7.2
Ivan Engler,112,Mystery|Sci-Fi|Thriller,0,62,Switzerland,4500000,9,6.2
Joe Wright,111,Adventure|Family|Fantasy,4,186,USA,150000000,559,5.8
Kenny Ortega,98,Comedy|Drama|Family|Music|Musical|Romance,0,726,USA,4200000,632,5.2
,60,Crime|Drama,0,23,USA,,557,8.1
Richard Kwietniowski,93,Comedy|Drama,1,48,UK,,232,7.1
Timur Bekmambetov,104,Fantasy|Thriller,0,310,Russia,4200000,28,6.5
Neil Jordan,112,Crime|Drama|Romance|Thriller,0,148,UK,2300000,530,7.3
Bob Clark,94,Comedy,0,152,Canada,4000000,95,6.2
George A. Romero,90,Horror,0,159,USA,4000000,529,5.0
George A. Romero,96,Drama|Horror|Mystery,5,580,USA,114000,108,8.0
Sofia Coppola,101,Drama,0,1848,USA,4000000,13000,7.8
Woody Allen,93,Comedy|Romance,0,491,USA,4000000,636,8.1
Cecil B. DeMille,152,Drama|Family|Romance,0,107,USA,4000000,178,6.7
Ridley Scott,150,Action|Adventure|Drama,0,657,UK,140000000,892,6.1
Marc Forster,112,Drama|Romance,1,522,USA,4000000,595,7.1
Henry Hobson,95,Drama|Horror,2,200,USA,8500000,430,5.6
Mike Figgis,111,Drama|Romance,0,286,USA,3600000,898,7.6
Duane Journey,86,Comedy|Horror,0,11,USA,4500000,619,4.3
Dan O'Bannon,108,Comedy|Horror|Sci-Fi,0,300,USA,4000000,426,7.3
Billy Wilder,105,Comedy|Drama|Romance,2,50,USA,4000000,222,7.3
Rob Cohen,91,Mystery|Thriller,1,131,USA,4000000,465,4.6
Carol Reed,105,Drama|Romance,0,35,USA,4000000,119,6.8
,60,Drama|Fantasy,1,47,USA,,1000,7.5
Lisa Cholodenko,106,Comedy|Drama,1,291,USA,3500000,3000,7.1
John Carpenter,93,Horror|Sci-Fi|Thriller,0,333,USA,4000000,151,7.3
John Sturges,172,Adventure|Drama|History|Thriller|War,0,301,USA,4000000,742,8.3
William Arntz,109,Comedy|Documentary|Drama|Fantasy|Mystery|Sci-Fi,0,486,USA,,670,5.4
Ed Gass-Donnelly,93,Drama|Horror|Thriller,0,68,France,5000000,541,4.0
Richard Linklater,165,Drama,0,836,USA,4000000,193,8.0
Woody Allen,96,Comedy|Crime|Mystery,0,248,UK,4000000,427,6.7
Tim Burton,119,Action|Adventure|Sci-Fi|Thriller,0,1368,USA,100000000,658,5.7
DJ Pooh,93,Comedy,2,38,USA,4000000,231,4.6
DJ Pooh,82,Comedy,1,10,USA,6000000,706,4.0
Wayne Kramer,101,Crime|Drama|Fantasy|Romance,1,215,USA,3200000,636,7.0
John Huston,120,Drama|Romance|Western,2,121,USA,4000000,403,7.4
Patrick Stettner,81,Crime|Mystery|Thriller,0,156,USA,4000000,780,5.9
James Melkonian,82,Comedy|Crime,0,37,USA,,246,4.6
Wes Craven,107,Horror|Mystery|Thriller,2,136,USA,25000000,374,4.8
J.A. Bayona,105,Drama|Mystery|Thriller,0,308,Spain,3400000,273,7.5
Michael Tiddes,86,Comedy|Fantasy,2,48,USA,4000000,713,4.7
Roger Avary,110,Comedy|Drama|Romance,2,425,USA,4000000,977,6.7
Alfred Hitchcock,127,Drama|Thriller,0,89,USA,4000000,187,6.3
Bob Odenkirk,90,Comedy|Crime,0,58,USA,,466,6.0
Allison Anders,110,Comedy|Fantasy,6,177,USA,4000000,975,6.7
Steven Shainberg,104,Comedy|Drama|Romance,1,390,USA,4000000,413,7.1
Rick de Oliveira,96,Documentary,1,62,USA,8000000,12,2.7
Oliver Stone,110,Drama,0,78,USA,4000000,246,7.3
Christopher Guest,84,Comedy,0,202,USA,4000000,729,7.6
Jeff Franklin,94,Comedy,3,85,USA,4000000,625,5.8
John Dahl,93,Comedy|Crime|Romance|Thriller,1,76,USA,4000000,113,6.5
Mike Mills,96,Comedy|Drama,0,91,USA,4000000,394,6.6
Kevin Smith,88,Action|Crime|Horror|Thriller,0,287,USA,4000000,947,6.2
Dave McKean,101,Adventure|Fantasy,0,151,UK,4000000,291,6.9
Ron Fricke,102,Documentary|Music,0,69,USA,4000000,0,8.5
Ruggero Deodato,87,Adventure|Fantasy,0,35,USA,4000000,576,4.8
Gavin Wiesen,83,Drama|Romance,1,71,USA,,685,6.6
Mora Stephens,103,Drama|Thriller,0,20,USA,4500000,1000,5.7
Mars Callahan,99,Drama|Thriller,4,113,USA,4000000,665,7.0
Mike Figgis,106,Drama,0,70,USA,4000000,811,5.4
Leos Carax,115,Drama|Fantasy,0,110,France,,227,7.1
David Gordon Green,117,Drama,2,118,USA,4000000,1000,6.9
Stefan Schwartz,99,Comedy|Crime|Romance,3,53,UK,3000000,254,6.6
Renny Harlin,102,Crime|Drama|Horror|Thriller,0,38,USA,1300000,633,5.9
Robert Lee King,85,Comedy|Horror|Mystery,1,93,Australia,1500000,774,6.3
Kevin Allen,86,Comedy,1,31,UK,4000000,638,6.3
Jorge Ramírez Suárez,120,Drama,0,7,Mexico,4000000,85,7.7
David Schwimmer,106,Crime|Drama|Thriller,0,137,USA,9500000,163,7.0
Barry Levinson,103,Comedy,4,26,USA,14000000,450,6.3
Sam Miller,93,Comedy|Romance,1,26,UK,2500000,29,5.9
Anne Fontaine,112,Drama|Romance,0,87,Australia,16000000,6000,6.2
Dan Ireland,100,Comedy|Drama|Romance,0,40,USA,4000000,575,5.0
Fernando León de Aranoa,113,Comedy|Drama,1,38,Spain,4000000,27,7.7
Jim Mickle,98,Drama|Horror|Sci-Fi,1,141,USA,650000,238,6.5
,23,Comedy|Family|Romance,1,47,USA,,248,6.1
Stephen Kay,92,Biography|Drama,1,28,USA,4000000,759,5.8
Karim Aïnouz,106,Drama,2,10,Brazil,4000000,29,6.1
Sam Levinson,119,Comedy|Drama,4,42,USA,4000000,3000,6.0
Julian Gilbey,99,Action|Adventure|Crime|Thriller,1,97,UK,4000000,706,6.3
Vincenzo Natali,90,Comedy|Fantasy,0,50,Canada,,246,6.3
Aleksandr Veledinskiy,120,Adventure|Drama,0,3,Russia,4000000,45,7.5
Peter H. Hunt,168,Drama|Family|History|Musical,0,129,USA,4000000,649,7.6
Ruba Nadda,93,Drama|Mystery|Romance|Thriller,3,20,Canada,4000000,11,5.2
Howard Hughes,96,Drama|War,1,53,USA,3950000,12,7.8
Edward Burns,103,Comedy|Drama|Romance,5,19,USA,4000000,536,6.6
Phil Joanou,93,Horror,2,29,USA,4000000,637,4.7
Sean Byrne,84,Horror|Thriller,1,104,Australia,,129,6.7
Chris Stokes,81,Horror,0,21,USA,4000000,134,4.2
Mark Griffiths,84,Comedy|Romance,2,4,USA,4000000,346,6.3
Bruce Macdonald,94,Adventure|Biography|Drama|Romance,1,15,South Africa,4000000,476,4.7
Timur Bekmambetov,141,Adventure|Drama|History,2,1,USA,100000000,744,6.0
Fred Zinnemann,120,Biography|Drama|History,0,167,UK,2000000,269,7.9
Sidney Lumet,121,Drama|Romance,0,317,USA,3800000,977,8.1
Victor Fleming,226,Drama|History|Romance|War,1,706,USA,3977000,384,8.2
Richard Raymond,104,Biography|Drama,0,10,UK,4000000,236,6.0
Sam Peckinpah,152,Adventure|War|Western,2,67,USA,3800000,575,6.8
Alan Jacobs,92,Drama,3,6,USA,,826,7.3
George Sidney,107,Biography|Comedy|Musical|Romance|Western,0,90,USA,3768785,244,7.0
Christopher Morris,97,Comedy|Crime|Drama,0,148,UK,,365,7.3
Andrucha Waddington,115,Drama,1,35,Brazil,8000000,69,7.5
