director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,content_rating,actor_2_facebook_likes,movie_facebook_likes
0,203,Nicholas Turturro,18000,16153600,Drama|Music|Romance,Mo' Better Blues ,8295,19065,Charlie Murphy,R,269,720
176,39,Simon Rhee,176,16033556,Action|Comedy,Kung Pow: Enter the Fist ,37901,361,Jennifer Tung,PG-13,67,0
31,536,Ariana Richards,651,16667084,Comedy|Horror|Sci-Fi,Tremors ,90070,3119,Michael Gross,PG-13,610,11000
36,648,Lindy Booth,2000,15417771,Horror|Thriller,Wrong Turn ,87494,3416,Julian Richings,R,683,0
394,695,David Carradine,2000,,Western,The Long Riders ,7322,6296,Randy Quaid,R,926,680
164,45,Paul Ben-Victor,258,15156200,Action|Crime|Drama|Mystery|Thriller,The Corruptor ,15358,571,Kim Chan,R,218,328
337,820,Tye Sheridan,11000,21589307,Drama,Mud ,135286,13960,Sam Shepard,PG-13,1000,27000
134,307,Thomas Lennon,655,20339754,Comedy|Crime,Reno 911!: Miami ,23928,2737,Carlos Alazraqui,R,651,441
293,547,Zayn Malik,773,28873374,Documentary|Music,One Direction: This Is Us ,22161,2787,Niall Horan,PG,734,0
23,503,Noureen DeWulf,839,15102127,Comedy,The Goods: Live Hard, Sell Hard ,17790,3973,Charles Napier,R,700,0
14,636,Vincent Schiavelli,1000,13684949,Adventure|Animation|Comedy|Family,Hey Arnold! The Movie ,4564,3752,Paul Sorvino,PG,811,227
64,918,Toby Jones,13000,14597405,Biography|Drama,My Week with Marilyn ,71679,17204,Julia Ormond,R,2000,17000
47,442,Philip Baker Hall,3000,12570442,Comedy|Crime|Drama|Thriller,The Matador ,40514,4053,Hope Davis,R,497,808
28,582,Nia Long,962,12514138,Drama|Romance,Love Jones ,2801,3871,Larenz Tate,R,826,1000
0,458,Allison Tolman,1000,43771291,Mystery|Thriller,The Gift ,79909,3215,Wendell Pierce,R,562,15000
2,30,Chad Allen,772,11703287,Adventure|Drama,End of the Spear ,4360,1058,Jack Guzman,PG-13,232,1000
13,869,Kirsten Dunst,15000,11560259,Comedy|Romance,Get Over It ,15617,22485,Carmen Electra,PG-13,4000,0
406,759,Stephen Root,989,10824921,Comedy,Office Space ,200293,3462,Diedrich Bader,R,939,16000
31,551,Kirstie Alley,4000,10561238,Comedy|Romance|Thriller,Drop Dead Gorgeous ,27265,6388,Ellen Barkin,PG-13,980,0
13000,309,Danny Huston,11000,14479776,Biography|Crime|Drama|Romance,Big Eyes ,55539,12418,Jon Polito,PG-13,430,20000
532,711,Daniel Stern,4000,9801782,Comedy|Crime|Thriller,Very Bad Things ,39331,6046,Jeanne Tripplehorn,R,796,0
18,2000,Alexa PenaVega,7000,8070311,Comedy|Romance,Sleepover ,12706,13626,Hunter Parrish,PG,2000,0
0,298,Dennis Franz,537,,Mystery|Thriller,Body Double ,20113,1856,Gregg Henry,R,376,0
434,472,Will Forte,1000,8460995,Action|Comedy|Romance,MacGruber ,35888,2618,Powers Boothe,R,622,0
350,250,Benedict Wong,460,8111360,Crime|Drama|Thriller,Dirty Pretty Things ,34848,1334,Sergi López,R,372,0
0,3000,Kate Winslet,20000,8828771,Comedy,Movie 43 ,79146,41059,Seth MacFarlane,R,14000,25000
207,3000,Angelina Jolie Pitt,40000,67631157,Action|Romance|Thriller,The Tourist ,176606,55175,Rufus Sewell,PG-13,11000,25000
4,655,William Morgan Sheppard,939,7563670,Comedy|Fantasy|Romance,Over Her Dead Body ,21268,3651,Wendi McLendon-Covey,PG-13,702,518
63,172,Mark Moses,7000,6619173,Adventure|Comedy|Drama|Romance|Sci-Fi,Seeking a Friend for the End of the World ,87203,7747,Rob Huebel,R,353,25000
44,727,Stephen Root,1000,6857503,Comedy,Cedar Rapids ,32697,4769,Alia Shawkat,R,939,0
,476,T.J. Thyne,1000,,Comedy|Crime|Drama|Mystery|Romance,Bones             ,111506,2198,Tamara Taylor,TV-14,722,0
194,602,Beverly D'Angelo,1000,6712241,Crime|Drama,American History X ,782437,3858,Stacy Keach,R,816,35000
87,444,Johanna Braddy,1000,6842058,Action|Horror|Thriller,The Collection ,36029,3818,Lee Tergesen,R,581,14000
0,719,Kelsey Grammer,886,6491350,Animation|Comedy|Family|Fantasy|Musical,Teacher's Pet ,1231,5139,Jerry Stiller,PG,808,49
63,2,Clotilde Mollet,24,9473382,Drama|Music|Mystery|Romance,The Red Violin ,26832,29,Carlo Cecchi,R,3,0
0,201,Richard Farnsworth,874,6197866,Biography|Drama,The Straight Story ,63733,1351,Everett McGill,G,262,0
9,934,James Franco,12000,6044618,Action|Crime|Drama,Deuces Wild ,6200,26961,Frankie Muniz,R,11000,398
0,322,Philip Baker Hall,628,7764027,Comedy|Drama,Bad Words ,38459,2061,Patricia Belcher,R,497,0
0,231,Iddo Goldberg,427,5998971,Comedy|Romance|Sport,Run, Fatboy, Run ,58509,1022,India de Beaufort,PG-13,269,0
13,378,Randy Quaid,753,,Comedy|Sci-Fi,Heartbeeps ,1040,2791,Christopher Guest,PG,695,425
57,664,Gillian Jacobs,1000,21569041,Drama,Black or White ,8058,3745,Jillian Estell,PG-13,837,0
49,401,Tamala Jones,719,4356743,Comedy|Family|Romance,On the Line ,3662,2446,Dave Foley,PG,405,0
0,294,Toby Huss,23000,5484375,Adventure|Biography|Drama|War,Rescue Dawn ,84641,24270,François Chau,PG-13,342,0
102,970,Jennifer Garner,14000,5348317,Comedy|Drama|Music,Danny Collins ,20810,18712,Melissa Benoist,R,3000,0
157,581,Evan Ross,2000,4244155,Comedy|Drama,Jeff, Who Lives at Home ,56005,3374,Rae Dawn Chong,R,616,0
64,72,Waris Ahluwalia,144,5004648,Drama|Romance,I Am Love ,14031,474,Alba Rohrwacher,R,110,0
60,699,Diedrich Bader,823,3333823,Drama|Mystery|Sci-Fi,Atlas Shrugged II: The Strike ,5612,5262,Esai Morales,PG-13,759,0
34,541,Michael Wincott,10000,3275585,Action|Crime|Drama|Thriller,Romeo Is Bleeding ,10735,13160,Lena Olin,R,721,561
0,132,Lesley Ann Warren,402,3193102,Crime|Drama|Mystery|Thriller,The Limey ,24412,1335,William Lucking,R,296,944
549,911,Loretta Devine,3000,54557348,Crime|Drama|Thriller,Crash ,361169,5732,Jennifer Esposito,R,912,18000
25,553,Anthony LaPaglia,902,3041803,Drama|Romance,The House of Mirth ,6377,2735,Elizabeth McGovern,PG,576,345
4,311,Tracey Walter,754,3060858,Action|Drama|Thriller,Malone ,1768,1891,Dennis Burkley,R,324,208
108,400,Tim DeKay,634,1055654,Drama|Romance|Sport,Peaceful Warrior ,20426,2673,Agnes Bruckner,PG-13,436,0
105,269,Kevin Nealon,982,2331318,Comedy,Bucky Larson: Born to Be a Star ,9541,2603,Nicholas Turturro,R,503,0
0,851,Michael Rapaport,1000,2185266,Comedy|Drama|Music,Bamboozled ,8720,4266,Jada Pinkett Smith,R,975,1000
4,4,Stephanie Vogt,533,26583369,Horror|Mystery|Thriller,The Forest ,20837,578,Gen Seto,PG-13,35,10000
76,249,William Hootkins,902,800000,Adventure|Mystery|Thriller,Sphinx ,892,2079,John Gielgud,PG,488,106
387,64,Maria Dizzia,6000,7574066,Comedy|Drama,While We're Young ,30325,6322,Dree Hemingway,R,139,0
129,221,Eddie 'Piolin' Sotelo,749,1754319,Drama|Romance,A Better Life ,13174,2214,Robert Peters,PG-13,252,0
0,258,John Neville,530,1641788,Drama|Mystery|Thriller,Spider ,30096,1381,Lynn Redgrave,R,387,0
3,826,Oliver Platt,14000,1631839,Comedy|Crime|Romance,Gun Shy ,5936,17665,Mitch Pileggi,R,1000,242
41,1000,Anne Hathaway,16000,1309849,Drama|Romance,Nicholas Nickleby ,9395,29177,Jim Broadbent,PG,11000,0
34,683,James Franco,11000,1939441,Biography|Crime|Drama,The Iceman ,55567,23187,Robert Davi,R,11000,20000
,2,Olaf Lubaszenko,20,447093,Drama,Dekalog             ,12591,25,Olgierd Lukaszewicz,TV-MA,3,0
53,45,Rekha,307,,Action|Adventure|Romance|Sci-Fi,Krrish ,12411,616,Sharat Saxena,Not Rated,200,533
0,503,Melanie Griffith,975,1276984,Comedy|Crime|Thriller,Cecil B. DeMented ,11403,3059,Kevin Nealon,R,537,795
607,251,Scott A. Martin,11000,1987762,Crime|Drama|Romance|Thriller,Killer Joe ,59297,11853,Carol Sutton,R,414,12000
17,688,Gary Cole,2000,1474508,Comedy|Drama,The Joneses ,33473,4607,Robert Pralgo,R,989,0
23,232,Minnie Driver,22000,1011054,Crime|Drama|Thriller,Owning Mahowny ,10585,23513,Maury Chaykin,R,893,0
0,622,Lee Majors,966,900926,Comedy,The Brothers Solomon ,9517,3307,Will Forte,R,799,319
0,20,Norah Jones,20000,866778,Drama|Romance,My Blueberry Nights ,44208,20364,Adriane Lenox,PG-13,329,0
0,54,Ben Gazzara,816,836641,Drama,Illuminata ,1402,1585,George DiCenzo,R,623,74
0,119,Jeanne Tripplehorn,990,598645,Comedy|Romance,Swept Away ,13145,2006,David Thornton,R,711,725
0,91,Sergej Trifunovic,603,578527,Action|Comedy|Thriller,War, Inc. ,20008,988,Ned Bellamy,R,175,883
0,51,Karen Mok,478,488872,Action|Comedy|Sport,Shaolin Soccer ,56923,700,Kwok-Kwan Chan,PG,83,0
787,0,Cheryl Tiegs,787,365734,Drama,The Brown Bunny ,11487,883,Anna Vareschi,Not Rated,96,952
324,28,François Cluzet,678,231417,Comedy|Crime|Thriller,The Swindle ,1649,1256,Michel Serrault,,541,33
593,241,Claire Foy,374,3093491,Biography|Drama,Rosewater ,8307,1283,Haluk Bilginer,R,362,5000
163,34,Aitana Sánchez-Gijón,837,244465,Drama|Romance,The Chambermaid on the Titanic ,1135,1019,Romane Bohringer,,130,85
0,131,Ashraf Barhom,18000,756452,Drama|Thriller|War,Coriolanus ,27009,18652,Lubna Azabal,R,451,12000
24,83,Ryan Donowho,374,228524,Comedy|Drama,Imaginary Heroes ,8708,768,Larry Fessenden,R,181,345
302,428,Danny Dyer,893,226792,Action|Comedy|Drama,High Heels and Low Lifes ,3080,3049,Mary McCormack,R,798,117
800,334,Daryl Sabara,49000,221210,Comedy|Drama,World's Greatest Dad ,31964,50542,Henry Simmons,R,640,0
76,345,Toby Stephens,798,136432,Comedy|Horror|Thriller,Severance ,31890,2217,Laura Harris,R,769,0
216,885,Dulé Hill,1000,131617,Drama|Thriller,Edmond ,9971,5761,Jeffrey Combs,R,922,661
26,146,Ally Sheedy,17000,152857,Drama,Welcome to the Rileys ,19979,18236,Kerry Cahill,R,793,0
3,421,Michael Winslow,16000,126247,Comedy|Crime,Police Academy: Mission to Moscow ,24958,17469,G.W. Bailey,PG,542,321
11,553,Nate Parker,665,82739,Drama,Blood Done Sign My Name ,465,4579,Lee Norris,PG-13,664,503
21,36,Andrés Montiel,78,169379,Drama|History|War,Cinco de Mayo, La Batalla ,683,221,William Miller,R,61,874
53,499,Jared Gilman,962,,Comedy|Drama|Romance,Elsa & Fred ,2041,3465,James Brolin,PG-13,545,0
71,385,Harvey Weinstein,795,15447,Comedy,An Alan Smithee Film: Burn Hollywood Burn ,2971,2655,Ryan O'Neal,R,474,89
7,875,Justin Timberlake,12000,19348,Comedy|Drama,The Open Road ,2941,16118,Ted Danson,PG-13,3000,370
0,617,Scott Porter,806,100503,Comedy|Romance,The Good Guy ,7759,3124,Aaron Yoo,R,690,1000
8,495,Minnie Driver,1000,92900,Comedy|Drama,Motherhood ,3662,3146,Anthony Edwards,PG-13,893,546
50,422,Corbin Bleu,835,140987,Drama,Free Style ,361,2519,Sandra Echeverría,PG,632,58
93,51,Reef Ireland,147,,Drama|Mystery|Thriller,Strangerland ,5637,285,Sean Keenan,R,52,0
7,240,Tamala Jones,706,,Comedy|Crime|Music,The Janky Promoters ,1097,1936,Glenn Plummer,R,405,402
7,611,Drew Waters,906,5561,Comedy|Romance,Blonde Ambition ,4995,4725,Larry Miller,PG-13,848,160
275,102,Leonor Watling,439,3607,Crime|Mystery|Thriller,The Oxford Murders ,22753,940,Danny Sapani,R,161,0
10,72,Gyton Grantley,122,,Horror|Thriller,The Reef ,11950,375,Adrienne Pickering,R,109,0
0,742,Rip Torn,11000,70527,Comedy|Drama,Eulogy ,7690,14656,Kelly Preston,R,826,376
71,126,Craig Fairbrass,298,,Drama|Fantasy|Horror|Thriller,White Noise 2: The Light ,11285,934,Adrian Holmes,PG-13,258,509
8,111,Mishael Morgan,485,,Drama|Music,You Got Served: Beat the World ,1642,964,Chase Armitage,PG-13,152,0
13,415,Kevin Zegers,5000,,Drama|Thriller,Fifty Dead Men Walking ,9585,7637,Michael McElhatton,R,2000,0
0,196,Tom Arnold,1000,,Adventure|Animation,Jungle Shuffle ,162,2259,Amanda Troop,,618,186
261,520,Ayelet Zurer,30000,,Drama|War,Adam Resurrected ,3075,31325,Derek Jacobi,R,744,589
4,5,Charlotte Bøving,63,11835,Comedy|Drama|Romance,Of Horses and Men ,1920,81,Sigríður María Egilsdóttir,,10,1000
98,95,Mark Addy,1000,,Comedy|Drama|Horror|Romance,It's a Wonderful Afterlife ,1250,2227,Shabana Azmi,PG-13,891,695
110,711,Henry Rollins,1000,,Action|Horror|Sci-Fi,The Devil's Tomb ,5715,3937,Jason London,R,898,486
24,46,Jesse Moss,183,,Drama|Romance,Partition ,2223,428,John Light,R,136,746
5,482,Luke Perry,670,,Comedy,Good Intentions ,553,2739,Jon Gries,PG-13,608,119
419,7,Woo-sung Jung,398,128486,Action|Adventure|Comedy|Western,The Good, the Bad, the Weird ,26156,569,Dal-su Oh,R,149,0
36,899,Katrina Bowden,1000,,Horror|Thriller,Nurse 3D ,7286,4686,Kathleen Turner,R,948,0
3,499,Callum Rennie,764,,Action|Comedy|Drama|Western,Gunless ,3015,2876,Dustin Milligan,,716,850
99,452,Martin Starr,17000,16025394,Comedy|Drama|Romance,Adventureland ,131180,18983,Wendie Malick,R,985,0
0,195,Victor Rivers,786,2483955,Drama|Romance,The Lost City ,8369,1674,Enrique Murciano,R,228,957
41,525,Mike Epps,723,57176582,Comedy,Next Friday ,27492,3939,Rolando Molina,R,706,0
9,262,Jordana Brewster,4000,,Action|Crime|Drama|Thriller,American Heist ,12372,9432,Akon,R,4000,0
43,244,Burt Kwouk,742,43100000,Action|Adventure|Thriller,You Only Live Twice ,75280,2127,Desmond Llewelyn,Approved,462,0
7,1000,Alfie Allen,31000,,Action|Comedy|Crime|Drama,Plastic ,5865,35634,Malese Jow,R,1000,1000
0,319,Emmanuelle Riva,678,225377,Drama|Romance,Amour ,70382,1557,Jean-Louis Trintignant,PG-13,432,33000
17,770,Heather O'Rourke,1000,14114488,Horror|Thriller,Poltergeist III ,13190,3827,Zelda Rubinstein,PG-13,887,616
6,200,Roger Cross,557,,Action|Horror,Re-Kill ,1763,1702,Jesse Garcia,R,290,898
176,760,Sid Caesar,924,46300000,Action|Adventure|Comedy|Crime,It's a Mad, Mad, Mad, Mad World ,29323,4109,Spencer Tracy,Approved,898,0
0,82,Lola Dueñas,148,12899702,Comedy|Crime|Drama|Mystery,Volver ,76681,448,Antonio de la Torre,R,114,0
0,123,Joe Flaherty,187,,Adventure|Animation|Fantasy|Horror|Sci-Fi,Heavy Metal ,23516,646,Don Francks,R,176,0
100,327,Michael Angarano,33000,113155,Adventure|Comedy|Sci-Fi,Gentlemen Broncos ,9006,34398,Héctor Jiménez,PG-13,947,0
12,1000,Jim Broadbent,21000,2600000,Drama|War,Richard III ,11612,23962,Kristin Scott Thomas,R,1000,0
43,129,Michaela McManus,826,,Action|Horror|Thriller,Into the Grizzly Maze ,4486,1586,Luisa D'Oliveira,R,476,0
116,303,Steven Michael Quezada,594,1602466,Action|Drama|Romance|Thriller,Kites ,9673,1836,Kabir Bedi,,412,0
3000,844,Kirsten Dunst,10000,3029870,Drama|Sci-Fi,Melancholia ,128729,15835,Charlotte Rampling,R,4000,50000
25,110,Keisha Castle-Hughes,509,,Biography|Comedy|Drama|Family|Romance,Red Dog ,13003,1248,Luke Ford,PG,446,10000
147,1000,Katrina Kaif,8000,3047539,Drama|Romance,Jab Tak Hai Jaan ,42296,13762,Vic Waghorn,Not Rated,3000,12000
0,513,Yaphet Kotto,1000,78900000,Horror|Sci-Fi,Alien ,563827,2524,Bolaji Badejo,R,581,23000
365,177,Edwin Neal,383,30859000,Horror|Thriller,The Texas Chain Saw Massacre ,96410,1094,Marilyn Burns,R,371,0
50,741,Scout Taylor-Compton,17000,3571735,Biography|Drama|Music,The Runaways ,39260,21711,Johnny Lewis,R,908,0
278,51,Paul Michael Glaser,402,50000000,Drama|Family|Musical|Romance,Fiddler on the Roof ,29839,934,Rosalind Harris,G,343,0
92,177,Earl Cameron,244,63600000,Action|Adventure|Thriller,Thunderball ,82073,1164,Lois Maxwell,Approved,189,0
33,123,Shanley Caswell,14000,,Comedy|Horror|Sci-Fi,Detention ,12520,15014,Parker Bagley,R,383,0
798,16,Alessandro Preziosi,580,,Comedy|Drama|Romance,Loose Cannons ,8667,662,Lunetta Savino,,26,0
473,685,Jada Pinkett Smith,890,36049108,Action|Crime|Drama|Romance|Thriller,Set It Off ,10139,3661,Blair Underwood,R,851,0
92,862,Sanaa Lathan,1000,34074895,Comedy|Drama,The Best Man ,6525,5420,Jarrod Bunch,R,886,0
85,118,Alex Vincent,311,33244684,Fantasy|Horror,Child's Play ,62038,760,Dinah Manoff,R,189,0
909,184,Tucker Albrizzi,909,24530513,Documentary|Drama,Sicko ,66610,1633,Bill Clinton,PG-13,203,0
65,908,Zach Gilford,2000,71519230,Action|Horror|Sci-Fi|Thriller,The Purge: Anarchy ,92364,6807,Roberta Valderrama,R,971,15000
0,407,Lauren German,3000,20035310,Comedy|Drama|Romance,Down to You ,12324,4409,Shawn Hatosy,PG-13,683,580
8,587,Fred Willard,982,18225165,Adventure|Comedy,Harold & Kumar Go to White Castle ,155262,3114,Paula Garcés,R,729,0
37,883,Gary Oldman,12000,17804273,Drama|Thriller,The Contender ,20449,25660,William Petersen,R,10000,1000
46,701,Nia Long,14000,16938179,Crime|Drama|Thriller,Boiler Room ,41313,17336,Herbert Russell,R,826,0
644,199,Denholm Elliott,392,90400000,Comedy,Trading Places ,102895,845,Ralph Bellamy,R,249,0
17,179,Crystal Lowe,607,16235293,Horror,Black Christmas ,19918,1611,Andrea Martin,R,318,0
2,127,Tate Taylor,911,11827301,Comedy|Romance,Breakin' All the Rules ,4247,1345,Patrick Cranshaw,PG-13,150,266
0,130,Derek Jacobi,591,10161099,Action|Biography|Drama|History|Romance|War,Henry V ,23441,1341,Danny Webb,PG-13,520,0
84,338,David Zayas,22000,6610326,Comedy|Drama,The Savages ,32188,23770,Gbenga Akinnagbe,R,929,0
17,571,Freddy Rodríguez,591,6126237,Comedy|Romance,Chasing Papi ,3419,2851,Maria Conchita Alonso,PG,579,419
188,35,Nicky Katt,187,6047856,Action|Crime|Drama|Thriller,The Way of the Gun ,27536,358,Dylan Kussman,R,127,1000
23,471,Rory Culkin,1000,4681503,Comedy|Drama,Igby Goes Down ,29058,2478,Bill Irwin,R,710,838
157,219,Matt Ross,4000,4350774,Comedy,PCU ,10476,4908,Chris Young,PG-13,248,0
6,633,Drew Fuller,970,3420871,Drama|Family|Romance,The Ultimate Gift ,14100,3824,Mircea Monroe,PG,906,0
,140,Katherine Kelly Lang,177,,Drama|Romance,The Bold and the Beautiful             ,5478,639,Hunter Tylo,TV-14,170,748
12,297,John Carradine,1000,,Action|Adventure|Comedy|Romance|Sci-Fi,The Ice Pirates ,7767,1991,Robert Urich,PG,300,0
49,261,John Doman,702,2955039,Biography|Drama|Sport,Gracie ,3624,2007,Carly Schroeder,PG-13,616,313
38,316,Garry Shandling,745,1530535,Comedy|Drama|Romance,Trust the Man ,7833,1721,Dagmara Dominczyk,R,591,215
26,611,Amy Poehler,1000,4881867,Comedy|Music,Hamlet 2 ,15200,3767,David Arquette,R,1000,1000
162,277,Eddie Izzard,23000,1043487,Drama|Music,Velvet Goldmine ,27766,24102,Janet McTeer,R,776,0
43,0,Jun Kunimura,45,770629,Fantasy|Horror|Mystery|Thriller,The Wailing ,2379,50,Woo-hee Chun,Not Rated,5,0
64,748,Heather Morris,2000,11860839,Documentary|Music,Glee: The 3D Concert Movie ,5156,4617,Kevin McHale,PG,892,0
6,6,Chatchai Plengpanich,7,454255,Action|Adventure|Drama|History|War,The Legend of Suriyothai ,1666,32,Mai Charoenpura,R,6,124
930,433,Adrienne Barbeau,982,349618,Horror,Two Evil Eyes ,4302,2942,Sally Kirkland,R,602,375
0,5,Julie Engelbrecht,186,,Comedy,Barbecue ,1673,253,Lionel Abelanski,,41,348
608,25,Ruth Sheen,149,112935,Drama,All or Nothing ,8161,251,Gary McDonald,R,44,484
3,204,Will Patton,679,883887,Drama,Princess Kaiulani ,1201,1426,Shaun Evans,PG,537,0
11,18,Vince Colosimo,185,13751,Drama|Family,Opal Dream ,813,299,Peter Callan,PG,62,135
8,558,Joshua Mikel,22000,,Action|Crime|Thriller,Heist ,16198,24154,D.B. Sweeney,R,1000,0
28,104,Thure Lindhardt,573,145109,Drama|History|Thriller|War,Flame and Citron ,14247,1098,Christian Berkel,Not Rated,197,0
0,230,Kip Pardue,922,1046166,Comedy|Music|Romance,Undiscovered ,2599,1835,Perrey Reeves,PG-13,374,128
11,35,Warren Clarke,10000,,Crime|Drama|Mystery|Thriller,Red Riding: In the Year of Our Lord 1974 ,9305,10369,John Henshaw,Not Rated,281,0
25,98,Ronit Elkabetz,963,2874,Drama,The Girl on the Train ,1219,1375,Émilie Dequenne,Unrated,168,120
6,664,Erika Christensen,4000,,Drama|Romance,Veronika Decides to Die ,10100,6426,Jonathan Tucker,R,931,3000
4,93,Linda Kozlowski,442,174635000,Adventure|Comedy,Crocodile Dundee ,74743,822,David Gulpilil,PG-13,162,0
4,151,Steven Waddington,722,,Action|Animation|Fantasy|Horror|Mystery|Sci-Fi|Thriller,Ultramarines: A Warhammer 40,000 Movie ,4990,1254,Donald Sumpter,R,212,0
3,327,Sarah Polley,1000,,Mystery|Sci-Fi|Thriller,The I Inside ,9296,2310,Stephen Rea,R,900,458
8,59,Gyton Grantley,174,,Drama|History|War,Beneath Hill 60 ,5741,498,Steve Le Marquand,R,109,0
236,68,Maïwenn,580,171320,Crime|Drama,Polisse ,10796,1129,Karin Viard,Not Rated,236,0
8,896,Fisher Stevens,4000,14373825,Crime|Mystery|Thriller,Awake ,63216,6954,Denis O'Hare,R,922,0
,265,James Arnold Taylor,668,,Action|Adventure|Animation|Drama|Fantasy|Sci-Fi,Star Wars: The Clone Wars             ,28190,1484,Tom Kane,TV-PG,296,2000
3,305,Mike Dopud,2000,162,Action|Crime|Thriller,Skin Trade ,5228,2802,Celina Jade,R,368,0
