num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,num_user_for_reviews,budget,title_year,imdb_score,movie_facebook_likes
151,84,119,Pamela Anderson,807,110000082,Comedy,Scary Movie 3 ,111526,3629,Jenny McCarthy,http://www.imdb.com/title/tt0306047/?ref_=fn_tt_tt_1,347,48000000,2003,5.5,0
140,109,80,Wendy Raquel Robinson,545,106807667,Action|Comedy|Crime|Romance,Miss Congeniality ,137377,1574,Heather Burns,http://www.imdb.com/title/tt0212346/?ref_=fn_tt_tt_1,370,45000000,2000,6.2,0
201,93,40,Brendan Fraser,14000,101702060,Action|Adventure|Family|Fantasy|Sci-Fi,Journey to the Center of the Earth ,85323,17925,Anita Briem,http://www.imdb.com/title/tt0373051/?ref_=fn_tt_tt_1,212,45000000,2008,5.8,0
77,113,0,Raven-Symoné,11000,95149435,Comedy|Family|Romance,The Princess Diaries 2: Royal Engagement ,53687,15362,Hector Elizondo,http://www.imdb.com/title/tt0368933/?ref_=fn_tt_tt_1,152,40000000,2004,5.7,1000
43,141,79,Julia Roberts,18000,100768056,Crime|Drama|Mystery|Thriller,The Pelican Brief ,59569,30063,Tony Goldwyn,http://www.imdb.com/title/tt0107798/?ref_=fn_tt_tt_1,89,45000000,1993,6.5,0
39,119,541,Anthony LaPaglia,821,92115211,Crime|Drama|Mystery|Thriller,The Client ,45798,4043,Brad Renfro,http://www.imdb.com/title/tt0109446/?ref_=fn_tt_tt_1,94,45000000,1994,6.7,1000
207,97,0,Noel Gugliemi,11000,93452056,Adventure|Comedy|Drama,The Bucket List ,184795,14868,Sean Hayes,http://www.imdb.com/title/tt0825232/?ref_=fn_tt_tt_1,310,45000000,2007,7.4,22000
47,117,176,Polly Walker,11000,83287363,Action|Thriller,Patriot Games ,81442,12757,Patrick Bergin,http://www.imdb.com/title/tt0105112/?ref_=fn_tt_tt_1,137,45000000,1992,6.9,0
132,101,126,Jane Fonda,3000,82931301,Comedy|Romance,Monster-in-Law ,43358,6292,Elaine Stritch,http://www.imdb.com/title/tt0369735/?ref_=fn_tt_tt_1,228,60000000,2005,5.5,0
454,153,777,Jake Gyllenhaal,20000,60962878,Crime|Drama|Mystery|Thriller,Prisoners ,383591,37321,Dylan Minnette,http://www.imdb.com/title/tt1392214/?ref_=fn_tt_tt_1,620,46000000,2013,8.1,86000
109,122,845,Snoop Dogg,18000,76261036,Crime|Drama|Thriller,Training Day ,305929,22370,Tom Berenger,http://www.imdb.com/title/tt0139654/?ref_=fn_tt_tt_1,633,45000000,2001,7.7,0
213,102,23,Enrico Colantoni,25000,71423726,Adventure|Comedy|Sci-Fi,Galaxy Quest ,123558,26998,Robin Sachs,http://www.imdb.com/title/tt0177789/?ref_=fn_tt_tt_1,609,45000000,1999,7.3,19000
127,83,322,Veronica Cartwright,1000,71277420,Comedy,Scary Movie 2 ,119590,1645,Andy Richter,http://www.imdb.com/title/tt0257106/?ref_=fn_tt_tt_1,548,45000000,2001,5.2,0
398,103,33,Eric Jacobson,970,88625922,Adventure|Comedy|Family|Musical,The Muppets ,75176,1336,Steve Whitmire,http://www.imdb.com/title/tt1204342/?ref_=fn_tt_tt_1,252,45000000,2011,7.1,26000
184,110,45,Traci Lords,886,70001065,Action|Horror,Blade ,191437,3174,Udo Kier,http://www.imdb.com/title/tt0120611/?ref_=fn_tt_tt_1,582,45000000,1998,7.1,0
127,136,49,Rick Gonzalez,17000,67253092,Drama|Sport,Coach Carter ,92702,20299,Robert Ri'chard,http://www.imdb.com/title/tt0393162/?ref_=fn_tt_tt_1,209,30000000,2005,7.2,0
167,91,50,Matt Malloy,521,66790248,Drama|Thriller,Changing Lanes ,57281,758,Bruce Altman,http://www.imdb.com/title/tt0264472/?ref_=fn_tt_tt_1,350,45000000,2002,6.5,0
119,89,49,Eric Stoltz,2000,65557989,Action|Adventure|Horror|Thriller,Anaconda ,73539,3717,Kari Wuhrer,http://www.imdb.com/title/tt0118615/?ref_=fn_tt_tt_1,271,45000000,1997,4.6,0
155,107,18,Tyra Banks,811,60786269,Comedy|Drama|Music|Romance,Coyote Ugly ,90539,3106,Izabella Miko,http://www.imdb.com/title/tt0200550/?ref_=fn_tt_tt_1,379,45000000,2000,5.6,0
218,129,628,Liam Neeson,14000,59365105,Comedy|Drama|Romance,Love Actually ,318634,28886,Kris Marshall,http://www.imdb.com/title/tt0314331/?ref_=fn_tt_tt_1,1004,45000000,2003,7.7,52000
117,95,487,Madeline Kahn,18000,162792677,Adventure|Animation|Comedy|Family|Fantasy,A Bug's Life ,211226,24205,John Ratzenberger,http://www.imdb.com/title/tt0120623/?ref_=fn_tt_tt_1,317,120000000,1998,7.2,0
208,122,117,Jason Flemyng,40000,31598308,Horror|Mystery|Thriller,From Hell ,124765,41636,Ian Richardson,http://www.imdb.com/title/tt0120681/?ref_=fn_tt_tt_1,541,35000000,2001,6.8,0
38,110,49,Rod Steiger,13000,57362581,Action|Crime|Drama|Romance|Thriller,The Specialist ,50148,13331,Emilio Estefan Jr.,http://www.imdb.com/title/tt0111255/?ref_=fn_tt_tt_1,116,45000000,1994,5.4,0
48,135,41,Cheech Marin,982,53854588,Comedy|Drama|Romance|Sport,Tin Cup ,37911,3648,Rene Russo,http://www.imdb.com/title/tt0117918/?ref_=fn_tt_tt_1,73,45000000,1996,6.3,1000
8,111,5,Tom Bosley,6000,,Comedy|Family,Yours, Mine and Ours ,5888,7493,Tim Matheson,http://www.imdb.com/title/tt0063829/?ref_=fn_tt_tt_1,61,2500000,1968,7.2,0
94,95,58,Will Ferrell,14000,52580895,Comedy|Family|Romance|Sport,Kicking & Screaming ,30255,27351,Robert Duvall,http://www.imdb.com/title/tt0384642/?ref_=fn_tt_tt_1,118,45000000,2005,5.6,743
276,109,37,Kelly Macdonald,11000,51019112,Adventure|Comedy|Sci-Fi,The Hitchhiker's Guide to the Galaxy ,155745,14073,Thomas Lennon,http://www.imdb.com/title/tt0371724/?ref_=fn_tt_tt_1,1053,50000000,2005,6.8,10000
59,93,38,Nick Zano,1000,48114556,Comedy|Family|Fantasy|Romance,Fat Albert ,9380,4604,Alice Greczyn,http://www.imdb.com/title/tt0396592/?ref_=fn_tt_tt_1,91,26000000,2004,4.3,531
216,94,85,Mike Epps,14000,50648679,Action|Horror|Sci-Fi|Thriller,Resident Evil: Extinction ,149549,16225,James Tumminia,http://www.imdb.com/title/tt0432021/?ref_=fn_tt_tt_1,348,45000000,2007,6.3,0
173,117,153,Adam Sandler,35000,46280507,Comedy|Romance,Blended ,87165,49743,Joel McHale,http://www.imdb.com/title/tt1086772/?ref_=fn_tt_tt_1,184,40000000,2014,6.5,12000
99,112,61,Alicia Witt,1000,38360195,Adventure|Comedy|Drama,Last Holiday ,21215,3757,Timothy Hutton,http://www.imdb.com/title/tt0408985/?ref_=fn_tt_tt_1,116,45000000,2006,6.4,0
42,111,161,Glenn Morshower,11000,46815748,Action|Adventure|Crime|Thriller,The River Wild ,32544,12161,William Lucking,http://www.imdb.com/title/tt0110997/?ref_=fn_tt_tt_1,69,45000000,1994,6.3,0
25,96,0,Vincent Kartheiser,1000,35617599,Drama|Family|Fantasy,The Indian in the Cupboard ,20688,2965,David Keith,http://www.imdb.com/title/tt0113419/?ref_=fn_tt_tt_1,47,45000000,1995,5.9,0
339,141,0,Shea Whigham,749,47307550,Crime|Drama|Thriller,Savages ,104301,1948,Gary Stretch,http://www.imdb.com/title/tt1615065/?ref_=fn_tt_tt_1,269,45000000,2012,6.5,28000
127,94,160,Valerie Cruz,550,32003620,Action|Crime|Thriller,Cellular ,79141,1102,Will Beinbrink,http://www.imdb.com/title/tt0337921/?ref_=fn_tt_tt_1,355,25000000,2004,6.5,2000
122,87,29,Natalie Imbruglia,427,27972410,Action|Adventure|Comedy,Johnny English ,114692,1461,Ben Miller,http://www.imdb.com/title/tt0274166/?ref_=fn_tt_tt_1,285,35000000,2003,6.1,2000
105,88,8,Meryl Streep,12000,28133159,Adventure|Animation|Comedy|Family|Fantasy,The Ant Bully ,30055,33822,Julia Roberts,http://www.imdb.com/title/tt0429589/?ref_=fn_tt_tt_1,70,50000000,2006,5.9,593
144,177,0,Jürgen Prochnow,913,27400000,Action|Adventure|Sci-Fi,Dune ,97087,2449,José Ferrer,http://www.imdb.com/title/tt0087182/?ref_=fn_tt_tt_1,569,40000000,1984,6.6,11000
156,133,278,T.V. Carpio,5000,24343673,Drama|Fantasy|Musical|Romance,Across the Universe ,91860,5405,Robert Clohessy,http://www.imdb.com/title/tt0445922/?ref_=fn_tt_tt_1,524,45000000,2007,7.4,14000
323,119,0,Kate Winslet,29000,22877808,Drama|Romance,Revolutionary Road ,152591,53895,Joe Komara,http://www.imdb.com/title/tt0959337/?ref_=fn_tt_tt_1,414,35000000,2008,7.3,0
199,102,503,David Zayas,13000,36883539,Action|Crime|Drama|Thriller,16 Blocks ,112769,15053,Sasha Roiz,http://www.imdb.com/title/tt0450232/?ref_=fn_tt_tt_1,305,52000000,2006,6.6,0
164,101,326,Charlotte Rampling,14000,22531698,Action|Adventure|Sci-Fi|Thriller,Babylon A.D. ,81523,15990,David Belle,http://www.imdb.com/title/tt0364970/?ref_=fn_tt_tt_1,214,70000000,2008,5.6,0
39,91,29,Bob Gunton,2000,20400913,Action|Comedy|Crime|Drama|Thriller,The Glimmer Man ,15455,3855,Keenen Ivory Wayans,http://www.imdb.com/title/tt0116421/?ref_=fn_tt_tt_1,80,45000000,1996,5.3,451
43,117,11000,Brian Doyle-Murray,905,20101861,Comedy|Romance|Sci-Fi,Multiplicity ,24757,2348,Obba Babatundé,http://www.imdb.com/title/tt0117108/?ref_=fn_tt_tt_1,81,45000000,1996,6.0,0
82,86,13,Carter Jenkins,1000,25200412,Adventure|Comedy|Family|Fantasy|Sci-Fi,Aliens in the Attic ,16580,3423,Tim Meadows,http://www.imdb.com/title/tt0775552/?ref_=fn_tt_tt_1,55,45000000,2009,5.4,916
150,124,0,Adrien Dorval,723,19719930,Crime|Drama|Mystery|Thriller,The Pledge ,42621,793,Nels Lennarson,http://www.imdb.com/title/tt0237572/?ref_=fn_tt_tt_1,531,45000000,2001,6.8,0
168,134,38,Will Ferrell,11000,19377727,Comedy|Musical,The Producers ,35140,24351,Matthew Broderick,http://www.imdb.com/title/tt0395251/?ref_=fn_tt_tt_1,409,45000000,2005,6.4,0
432,95,38,Jason Cope,409,13401683,Action|Sci-Fi,Dredd ,203461,578,Rakie Ayola,http://www.imdb.com/title/tt1343727/?ref_=fn_tt_tt_1,588,35000000,2012,7.1,46000
60,100,23,Treat Williams,1000,17300889,Action|Adventure|Comedy|Fantasy,The Phantom ,27648,3855,Kristy Swanson,http://www.imdb.com/title/tt0117331/?ref_=fn_tt_tt_1,148,45000000,1996,4.9,0
85,220,0,Henry Thomas,13000,15527125,Drama|Romance|Western,All the Pretty Horses ,11388,15006,Sam Shepard,http://www.imdb.com/title/tt0149624/?ref_=fn_tt_tt_1,183,57000000,2000,5.8,652
83,212,0,Bob Hoskins,12000,13560960,Biography|Drama|History,Nixon ,23996,21130,Joan Allen,http://www.imdb.com/title/tt0113987/?ref_=fn_tt_tt_1,161,50000000,1995,7.1,915
343,128,2000,Olivia Williams,854,15523168,Mystery|Thriller,The Ghost Writer ,132423,2507,Timothy Hutton,http://www.imdb.com/title/tt1139328/?ref_=fn_tt_tt_1,349,45000000,2010,7.2,15000
106,106,208,Jason Flemyng,3000,11146409,Action|Adventure|Horror|Sci-Fi,Deep Rising ,26551,6558,Wes Studi,http://www.imdb.com/title/tt0118956/?ref_=fn_tt_tt_1,273,45000000,1998,6.0,0
158,160,0,Omari Hardwick,23000,7916887,Action|Crime|Drama|Thriller|War,Miracle at St. Anna ,15697,26982,Laz Alonso,http://www.imdb.com/title/tt1046997/?ref_=fn_tt_tt_1,182,45000000,2008,6.0,0
189,114,611,Ye Liu,879,6565495,Drama|Romance,Curse of the Golden Flower ,36455,949,Man Li,http://www.imdb.com/title/tt0473444/?ref_=fn_tt_tt_1,229,45000000,2006,7.0,0
125,99,15,Charlie Yeung,12000,15279680,Action|Crime|Thriller,Bangkok Dangerous ,48245,12166,James With,http://www.imdb.com/title/tt0814022/?ref_=fn_tt_tt_1,154,40000000,2008,5.4,0
87,74,188,Janeane Garofalo,11000,7262288,Comedy|Crime|Thriller,Big Trouble ,17307,13917,Omar Epps,http://www.imdb.com/title/tt0246464/?ref_=fn_tt_tt_1,186,40000000,2002,6.5,892
115,139,179,Giovanna Mezzogiorno,267,4584886,Drama|Romance,Love in the Time of Cholera ,19114,538,Unax Ugalde,http://www.imdb.com/title/tt0484740/?ref_=fn_tt_tt_1,115,45000000,2007,6.4,0
23,52,,Clotilde Hesme,164,,Drama|Fantasy|Horror|Mystery,The Returned             ,15762,654,Céline Sallette,http://www.imdb.com/title/tt2521668/?ref_=fn_tt_tt_1,47,,,8.3,17000
24,103,170,Ben Gazzara,849,2154540,Action|Thriller,Shadow Conspiracy ,3803,2457,Nicholas Turturro,http://www.imdb.com/title/tt0120107/?ref_=fn_tt_tt_1,41,45000000,1997,4.9,68
152,101,32,Tim McInnerny,219,8129455,Action|Adventure|Comedy|Crime,Johnny English Reborn ,89568,661,Togo Igawa,http://www.imdb.com/title/tt1634122/?ref_=fn_tt_tt_1,142,45000000,2011,6.3,17000
12,91,11,Larry Miller,719,,Action|Animation|Comedy|Family|Fantasy,Foodfight! ,4377,3090,Harvey Fierstein,http://www.imdb.com/title/tt0249516/?ref_=fn_tt_tt_1,66,65000000,2012,1.7,0
656,130,0,Scoot McNairy,1000,136019448,Biography|Drama|History|Thriller,Argo ,452465,3133,Tate Donovan,http://www.imdb.com/title/tt1024648/?ref_=fn_tt_tt_1,695,44500000,2012,7.7,89000
119,130,99,Daniel Roebuck,11000,183875760,Action|Adventure|Crime|Drama|Mystery|Thriller,The Fugitive ,213668,13357,Sela Ward,http://www.imdb.com/title/tt0106977/?ref_=fn_tt_tt_1,270,44000000,1993,7.8,0
161,110,72,Dorian Missick,18000,67061228,Action|Comedy|Romance,The Bounty Hunter ,96565,21554,Peter Greene,http://www.imdb.com/title/tt1038919/?ref_=fn_tt_tt_1,135,40000000,2010,5.5,0
73,147,272,Brad Pitt,22000,53300852,Crime|Drama|Thriller,Sleepers ,154487,37076,Minnie Driver,http://www.imdb.com/title/tt0117665/?ref_=fn_tt_tt_1,259,44000000,1996,7.5,0
96,96,170,Julia Nickson,13000,150415432,Action|Adventure|Thriller|War,Rambo: First Blood Part II ,117606,15662,Martin Kove,http://www.imdb.com/title/tt0089880/?ref_=fn_tt_tt_1,217,44000000,1985,6.4,0
28,118,13,Demi Moore,23000,44834712,Drama|Thriller,The Juror ,13995,26907,Anne Heche,http://www.imdb.com/title/tt0116731/?ref_=fn_tt_tt_1,62,44000000,1996,5.6,353
105,88,3,Dickie Jones,1000,84300000,Animation|Family|Fantasy|Musical,Pinocchio ,90360,1178,Cliff Edwards,http://www.imdb.com/title/tt0032910/?ref_=fn_tt_tt_1,147,2600000,1940,7.5,0
102,325,517,Sam Waterston,12000,1500000,Adventure|Drama|Western,Heaven's Gate ,9830,14255,Isabelle Huppert,http://www.imdb.com/title/tt0080855/?ref_=fn_tt_tt_1,189,44000000,1980,6.8,1000
206,102,235,Tony Curran,956,62318875,Action|Adventure|Fantasy|Sci-Fi|Thriller,Underworld: Evolution ,156225,2998,Derek Jacobi,http://www.imdb.com/title/tt0401855/?ref_=fn_tt_tt_1,502,50000000,2006,6.8,0
159,110,118,Spencer Wilding,11000,5773519,Drama|Horror|Sci-Fi|Thriller,Victor Frankenstein ,28618,12876,Daniel Mays,http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1,91,40000000,2015,6.0,11000
137,136,835,Rob Brown,670,51768623,Drama,Finding Forrester ,73006,1801,Michael Nouri,http://www.imdb.com/title/tt0181536/?ref_=fn_tt_tt_1,297,43000000,2000,7.3,0
116,103,84,Viggo Mortensen,12000,37035515,Comedy|Drama,28 Days ,34597,23864,Elizabeth Perkins,http://www.imdb.com/title/tt0191754/?ref_=fn_tt_tt_1,194,43000000,2000,6.0,0
177,103,255,Jet Li,11000,24520892,Action|Crime|Drama|Thriller,Unleashed ,85198,22383,Bob Hoskins,http://www.imdb.com/title/tt0342258/?ref_=fn_tt_tt_1,303,45000000,2005,7.0,0
99,90,16,Lillian Adams,44,24430272,Comedy|Romance,The Sweetest Thing ,46158,132,Chelsea Bond,http://www.imdb.com/title/tt0253867/?ref_=fn_tt_tt_1,403,43000000,2002,5.1,0
56,154,521,Holly Hunter,10000,158348400,Drama|Mystery|Thriller,The Firm ,88844,14244,Wilford Brimley,http://www.imdb.com/title/tt0106918/?ref_=fn_tt_tt_1,142,42000000,1993,6.8,0
117,99,23,Charlie Tahan,405,31136950,Drama|Fantasy|Romance,Charlie St. Cloud ,47364,1066,Valerie Tian,http://www.imdb.com/title/tt1438254/?ref_=fn_tt_tt_1,75,44000000,2010,6.5,0
252,93,165,Tony Goldwyn,26000,29113588,Action|Crime|Thriller,The Mechanic ,117999,27834,Mini Anden,http://www.imdb.com/title/tt0472399/?ref_=fn_tt_tt_1,181,40000000,2011,6.6,16000
375,109,97,Dax Flame,17000,138447667,Action|Comedy|Crime,21 Jump Street ,408302,19968,Rob Riggle,http://www.imdb.com/title/tt1232829/?ref_=fn_tt_tt_1,345,42000000,2012,7.2,39000
150,124,50,Clarke Peters,8000,116006080,Comedy|Drama|Romance,Notting Hill ,203269,9255,Dylan Moran,http://www.imdb.com/title/tt0125439/?ref_=fn_tt_tt_1,602,42000000,1999,7.0,11000
187,84,91,Miranda Richardson,579,106793915,Adventure|Animation|Comedy|Drama|Family,Chicken Run ,140499,1817,Julia Sawalha,http://www.imdb.com/title/tt0120630/?ref_=fn_tt_tt_1,358,45000000,2000,7.0,0
108,90,29,Masi Oka,22000,87856565,Comedy|Romance,Along Came Polly ,106909,24534,Debra Messing,http://www.imdb.com/title/tt0343135/?ref_=fn_tt_tt_1,268,42000000,2004,5.9,0
21,117,71,Eartha Kitt,723,70100000,Comedy|Drama|Romance,Boomerang ,20183,3841,Geoffrey Holder,http://www.imdb.com/title/tt0103859/?ref_=fn_tt_tt_1,41,40000000,1992,5.4,0
270,123,176,William Xifaras,975,159578352,Action|Comedy|Crime,The Heat ,133177,4825,Demián Bichir,http://www.imdb.com/title/tt2404463/?ref_=fn_tt_tt_1,380,43000000,2013,6.6,24000
72,251,311,Richard Burton,940,57750000,Biography|Drama|History|Romance,Cleopatra ,21554,2957,Roddy McDowall,http://www.imdb.com/title/tt0056937/?ref_=fn_tt_tt_1,192,31115000,1963,7.0,0
154,105,153,Reggie Lee,4000,45290318,Action|Comedy|Sport,Here Comes the Boom ,74169,6727,Charice,http://www.imdb.com/title/tt1648179/?ref_=fn_tt_tt_1,112,42000000,2012,6.5,17000
114,115,73,Adam Scott,11000,41543207,Crime|Drama|Mystery|Thriller,High Crimes ,30077,15571,Bruce Davison,http://www.imdb.com/title/tt0257756/?ref_=fn_tt_tt_1,175,42000000,2002,6.3,893
27,122,0,Austin Pendleton,12000,41252428,Comedy|Drama|Romance,The Mirror Has Two Faces ,11453,13716,Mimi Rogers,http://www.imdb.com/title/tt0117057/?ref_=fn_tt_tt_1,71,42000000,1996,6.5,0
166,119,89,Will Patton,650,35228696,Drama|Horror|Mystery|Thriller,The Mothman Prophecies ,63677,1651,David Eigenberg,http://www.imdb.com/title/tt0265349/?ref_=fn_tt_tt_1,460,32000000,2002,6.5,0
288,81,119,Elton John,468,59992760,Comedy,Brüno ,119622,2134,Slash,http://www.imdb.com/title/tt0889583/?ref_=fn_tt_tt_1,396,42000000,2009,5.8,0
117,133,46,Talisa Soto,683,34667015,Action|Adventure|Thriller,Licence to Kill ,74009,2371,Anthony Zerbe,http://www.imdb.com/title/tt0097742/?ref_=fn_tt_tt_1,317,32000000,1989,6.6,0
291,100,308,Billy Burke,10000,37652565,Fantasy|Horror|Mystery|Thriller,Red Riding Hood ,91151,15369,Virginia Madsen,http://www.imdb.com/title/tt1486185/?ref_=fn_tt_tt_1,283,42000000,2011,5.4,20000
151,120,17,Charlize Theron,22000,24375436,Action|Crime|Drama|Thriller,15 Minutes ,42547,33585,Kelsey Grammer,http://www.imdb.com/title/tt0179626/?ref_=fn_tt_tt_1,265,42000000,2001,6.1,748
36,104,5,Fisher Stevens,5000,20915465,Adventure|Comedy|Family|Fantasy|Sci-Fi,Super Mario Bros. ,38203,7723,Fiona Shaw,http://www.imdb.com/title/tt0108255/?ref_=fn_tt_tt_1,290,42000000,1993,4.0,0
168,122,487,Jeremy Crutchley,12000,24127895,Crime|Drama|Thriller,Lord of War ,248123,12076,Jared Burke,http://www.imdb.com/title/tt0399295/?ref_=fn_tt_tt_1,437,50000000,2005,7.6,10000
283,80,611,Tony Chiu Wai Leung,5000,84961,Action|Adventure|History,Hero ,149414,6229,Maggie Cheung,http://www.imdb.com/title/tt0299977/?ref_=fn_tt_tt_1,841,31000000,2002,7.9,0
127,91,30,Debbie Reynolds,922,26404753,Action|Comedy|Crime|Romance|Thriller,One for the Money ,34203,3301,Patrick Fischler,http://www.imdb.com/title/tt1598828/?ref_=fn_tt_tt_1,169,40000000,2012,5.3,19000
293,112,133,Randall Park,11000,6105175,Comedy,The Interview ,247020,12239,Anders Holm,http://www.imdb.com/title/tt2788710/?ref_=fn_tt_tt_1,835,44000000,2014,6.6,50000
95,100,19,Dong-gun Jang,624,5664251,Action|Fantasy|Western,The Warrior's Way ,22309,2056,Jed Brophy,http://www.imdb.com/title/tt1032751/?ref_=fn_tt_tt_1,102,45000000,2010,6.3,0
4,30,,Gavin MacLeod,870,,Comedy|War,McHale's Navy             ,1558,1610,Bob Hastings,http://www.imdb.com/title/tt0055689/?ref_=fn_tt_tt_1,18,,,7.5,455
213,105,0,Dany Boon,1000,1260917,Action|Comedy|Crime,Micmacs ,24657,1342,André Dussollier,http://www.imdb.com/title/tt1149361/?ref_=fn_tt_tt_1,71,27000000,2009,7.2,0
119,110,161,Omar Benson Miller,1000,116724075,Drama|Music,8 Mile ,187181,1954,Evan Jones,http://www.imdb.com/title/tt0298203/?ref_=fn_tt_tt_1,564,41000000,2002,7.0,0
