director_name,actor_3_facebook_likes,genres,actor_1_name,cast_total_facebook_likes,num_user_for_reviews,title_year
Bobby Farrelly,743,Comedy|Sport,Bill Murray,16937,185,1996
Rupert Wyatt,81,Crime|Drama|Thriller,George Kennedy,3784,145,2014
John Wells,8000,Drama,Benedict Cumberbatch,39690,285,2013
Tim Fywell,28,Comedy|Drama|Family|Sport,Connie Ray,235,81,2005
Nigel Cole,165,Comedy|Drama|Romance,Aimee Garcia,1095,161,2005
Dexter Fletcher,141,Biography|Comedy|Drama|Sport,Hugh Jackman,21195,119,2016
Spike Lee,3000,Drama|Sport,Denzel Washington,37315,109,1998
Jeremy Leven,977,Comedy|Drama|Romance,Johnny Depp,52122,117,1994
,3,Animation|Comedy|Family,Justin Fletcher,55,12,
Lasse Hallström,690,Drama|Romance|War,Channing Tatum,19945,186,2010
Sylvain White,619,Action|Crime|Drama|Mystery|Thriller,Chris Evans,12841,165,2010
Troy Nixey,155,Fantasy|Horror|Thriller,Bailee Madison,3744,250,2010
Philip G. Atwell,874,Action|Crime|Thriller,Jason Statham,33565,166,2007
Paul Thomas Anderson,98,Comedy|Drama|Romance|Thriller,Adam Sandler,11994,888,2002
Jeff Schaffer,360,Comedy,Matt Damon,14180,316,2004
Don Michael Paul,223,Action|Crime|Thriller,Claudia Christian,1855,132,2002
Paul Feig,825,Adventure|Comedy|Family|Romance,Tyler James Williams,4431,56,2006
James Bridges,418,Drama,Dianne Wiest,3067,37,1988
Steve Barron,376,Adventure|Family|Fantasy|Musical,Martin Landau,2465,22,1996
Bill Paxton,58,Drama|History|Sport,Stephen Dillane,1217,106,2005
Richard Kelly,258,Drama|Fantasy|Mystery|Thriller,Frank Langella,2466,376,2009
Carter Smith,49,Horror,Laura Ramsey,1749,351,2008
John Schlesinger,347,Comedy|Drama|Romance,Mark Valley,2498,162,2000
Wes Craven,255,Horror|Mystery|Thriller,Frank Grillo,2537,136,2010
Luke Greenfield,111,Comedy|Drama|Romance,Chris Marquette,911,513,2004
Ringo Lam,218,Action|Crime|Mystery|Romance|Thriller,Natasha Henstridge,1634,68,1996
Bruce McCulloch,455,Comedy|Crime,Martin Starr,3065,92,2002
Brian Helgeland,151,Biography|Crime|Drama|History|Thriller,Tom Hardy,27659,174,2015
Akiva Schaffer,432,Comedy,Sissy Spacek,2062,149,2007
David R. Ellis,852,Horror|Thriller,Chris Zylka,4952,130,2011
Alan Parker,70,Drama,Emily Watson,1282,163,1999
Ivan Reitman,148,Drama|Sport,Jennifer Garner,3757,113,2014
Tobe Hooper,141,Action|Horror|Sci-Fi|Thriller,Frank Finlay,1008,189,1985
,265,Action|Animation|Comedy|Family|Fantasy|Sci-Fi,Elizabeth Daily,2346,60,
Robert Redford,939,Crime|Drama|History,Robin Wright,21163,135,2010
Catherine Hardwicke,872,Biography|Drama|Sport,Heath Ledger,16651,194,2005
Patricia Riggen,399,Biography|Drama|History,Marco Treviño,2230,56,2015
John Carpenter,52,Action|Adventure|Comedy|Fantasy,Victor Wong,896,331,1986
Pascal Chaumeil,8,Comedy|Romance,Dany Boon,210,11,2012
Gavin O'Connor,581,Drama|Sport,Tom Hardy,29692,514,2011
Neil Jordan,8000,Biography|Drama|Thriller|War,Alan Rickman,48482,93,1996
Ron Maxwell,251,Drama|History|War,Tom Berenger,2107,256,1993
Kimberly Peirce,2000,Drama|War,Joseph Gordon-Levitt,43560,99,2008
Stephen Gaghan,956,Drama|Music|Mystery|Romance|Thriller,Charlie Hunnam,28987,157,2002
Jonathan Kaplan,92,Drama|Mystery|Thriller,John Doe,582,187,1999
Ole Bornedal,309,Horror|Thriller,Kyra Sedgwick,2348,162,2012
Richard Benjamin,354,Comedy|Drama|Romance,Brendan Fraser,5023,50,1996
Rod Lurie,268,Action|Drama|Thriller,Alexander Skarsgård,11431,140,2011
Lasse Hallström,174,Comedy|Drama,Hope Davis,1134,74,2006
Craig R. Baxley,120,Action|Crime|Drama|Thriller,Brian Bosworth,583,62,1991
John Hillcoat,3000,Adventure|Drama,Viggo Mortensen,23566,504,2009
John Guillermin,42,Adventure|Fantasy,Tanya Roberts,611,52,1984
Marcos Siega,324,Action|Comedy|Crime|Drama|Thriller,Cheech Marin,2165,26,2005
J.B. Rogers,248,Comedy|Romance,Eddie Cibrian,2413,91,2001
Roger Donaldson,50,Biography|Drama|Sport,Anthony Hopkins,12574,251,2005
David R. Ellis,490,Action|Adventure|Crime|Drama|Thriller,Lin Shaye,2603,1033,2006
Rachel Talalay,919,Action|Comedy|Sci-Fi,Naomi Watts,9662,173,1995
Jeffrey W. Byrd,807,Comedy|Crime,Donald Faison,4990,20,2005
Fernando Meirelles,18,Drama|Mystery|Sci-Fi|Thriller,Don McKellar,142,300,2008
Uwe Boll,492,Action|Adventure|Fantasy|Horror,Meat Loaf,2930,471,2005
Roman Polanski,132,Comedy|Drama,Kate Winslet,25143,181,2011
Atom Egoyan,490,Crime|Drama|Mystery|Thriller,Colin Firth,16090,128,2005
Andrew Adamson,31,Fantasy,Dallas Barnett,539,35,2012
Robert Towne,745,Biography|Drama|Sport,Billy Burke,4351,57,1998
Richard Linklater,240,Drama,Zoe Kazan,1591,69,2008
Giuseppe Tornatore,232,Crime|Drama|Mystery|Romance,Jim Sturgess,5954,131,2013
Werner Herzog,407,Crime|Drama,Nicolas Cage,13809,212,2009
Ben Stassen,602,Adventure|Animation|Family,Ed Begley Jr.,3874,22,2010
Guillaume Canet,92,Comedy|Drama,François Cluzet,890,48,2010
Taylor Hackford,416,Comedy|Drama|Romance|Sport,Scout Taylor-Compton,3204,17,2010
Jérôme Deschamps,0,Adventure|Animation|Comedy,Yolande Moreau,53,24,2009
Inna Evlannikova,7,Adventure|Animation|Comedy|Family,Sergey Garmash,48,8,2010
Ridley Scott,1000,Crime|Drama|Thriller,Michael Fassbender,27797,431,2013
Jonathan English,520,Action|Adventure|History|Romance,Jason Flemyng,3287,103,2011
Sergey Bondarchuk,87,Action|Drama|History|War,Rod Steiger,705,76,1970
Teddy Chan,55,Action|Drama,Siu-Wong Fan,285,26,2014
Mario Van Peebles,399,Action|Thriller,Martin Kove,2204,11,2014
Stephen Frears,418,Drama|Romance,Keanu Reeves,35501,143,1988
Walter Salles,4000,Adventure|Drama,Kristen Stewart,33747,128,2012
Leonard Nimoy,643,Adventure|Comedy|Sci-Fi,Leonard Nimoy,15449,219,1986
Sylvester Stallone,461,Drama|Sport,Sylvester Stallone,15111,962,2006
Ericson Core,848,Action|Crime|Sport|Thriller,Ray Winstone,3962,163,2015
Wes Craven,221,Horror|Mystery,Omar Epps,2321,488,1997
Gavin O'Connor,439,Action|Drama|Western,Natalie Portman,21414,56,2016
Tim Story,676,Comedy|Romance,Romany Malco,4830,38,2014
Jonathan Lynn,900,Comedy|Crime,Bruce Willis,17582,318,2000
Herbert Ross,304,Drama|Music|Romance,Dianne Wiest,1962,113,1984
Todd Phillips,497,Comedy,Will Ferrell,10325,404,2003
Terry Gilliam,161,Comedy|Drama|Fantasy,Jeff Bridges,12947,170,1991
Danny Cannon,970,Horror|Mystery,Muse Watson,49847,418,1998
Bonnie Hunt,597,Comedy|Drama|Romance,Minnie Driver,3946,275,2000
Kevin Smith,92,Comedy|Romance,Gerry Bednob,638,243,2008
Neil LaBute,265,Comedy|Crime|Drama,Morgan Freeman,12254,263,2000
Grant Heslov,939,Comedy|War,Kevin Spacey,32474,268,2009
George Gallo,384,Action|Comedy|Crime|Thriller,Daniel Roebuck,2557,50,2001
James Mangold,898,Biography|Drama,Angelina Jolie Pitt,13433,385,1999
Robert Luketic,886,Comedy|Romance,Topher Grace,4681,140,2004
Tim Hill,611,Adventure|Comedy|Family|Fantasy|Music|Sci-Fi,Josh Charles,3243,100,1999
Sidney Lumet,227,Adventure|Family|Fantasy|Music|Musical,Lena Horne,1458,150,1978
Brian Robbins,940,Comedy|Sport,Oliver Platt,4971,101,2000
Ron Shelton,197,Comedy|Drama|Sport,Willie Garson,1523,59,1999
Douglas McGrath,847,Comedy|Romance,Olivia Munn,5470,68,2011
Alexandre Aja,847,Comedy|Horror,Adam Scott,5737,374,2010
Kevin Spacey,286,Biography|Drama|Music|Musical,Kevin Spacey,23689,248,2004
Steve Boyum,254,Comedy|Family,Paul Walker,24436,37,1998
Richard Williams,73,Action|Adventure|Animation|Comedy|Fantasy,Donald Pleasence,1088,47,1993
Mary McGuckian,382,Drama|Romance,Robert De Niro,23769,50,2004
George Tillman Jr.,706,Action|Crime|Drama|Thriller,Dwayne Johnson,14699,157,2010
Hayao Miyazaki,422,Adventure|Animation|Family|Fantasy,Christian Bale,24263,330,2004
Ruben Fleischer,11,Adventure|Comedy|Horror|Sci-Fi,Emma Stone,28011,553,2009
Peter Jackson,84,Action|Adventure|Drama|Romance,Naomi Watts,7122,2618,2005
Frank Coraci,427,Comedy|Sport,Adam Sandler,13823,300,1998
Irvin Kershner,441,Action|Adventure|Fantasy|Sci-Fi,Harrison Ford,12643,900,1980
Michael Bay,244,Action|Comedy|Crime|Drama|Thriller,Will Smith,11013,203,1995
David Zucker,144,Comedy|Crime,George Kennedy,3847,87,1991
James Wong,591,Horror|Thriller,Daniel Roebuck,3345,674,2000
George Clooney,1000,Drama,Ryan Gosling,57077,288,2011
David Twohy,787,Horror|Sci-Fi,Vin Diesel,16196,805,2000
Tony Goldwyn,99,Comedy|Romance,Hugh Jackman,20798,167,2001
Spike Jonze,105,Drama|Romance|Sci-Fi,Scarlett Johansson,19359,748,2013
