actor_1_facebook_likes,gross,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,aspect_ratio
678,231417,Isabelle Huppert,1649,1256,Michel Serrault,0,http://www.imdb.com/title/tt0120018/?ref_=fn_tt_tt_1,1.66
374,3093491,Numan Acar,8307,1283,Haluk Bilginer,0,http://www.imdb.com/title/tt2752688/?ref_=fn_tt_tt_1,1.85
837,244465,Olivier Martinez,1135,1019,Romane Bohringer,1,http://www.imdb.com/title/tt0129923/?ref_=fn_tt_tt_1,2.35
18000,756452,Gerard Butler,27009,18652,Lubna Azabal,0,http://www.imdb.com/title/tt1372686/?ref_=fn_tt_tt_1,2.35
374,228524,Kip Pardue,8708,768,Larry Fessenden,2,http://www.imdb.com/title/tt0373024/?ref_=fn_tt_tt_1,2.35
893,226792,Minnie Driver,3080,3049,Mary McCormack,2,http://www.imdb.com/title/tt0253126/?ref_=fn_tt_tt_1,1.85
49000,221210,Robin Williams,31964,50542,Henry Simmons,1,http://www.imdb.com/title/tt1262981/?ref_=fn_tt_tt_1,1.85
798,136432,Danny Dyer,31890,2217,Laura Harris,0,http://www.imdb.com/title/tt0464196/?ref_=fn_tt_tt_1,1.85
1000,131617,Joe Mantegna,9971,5761,Jeffrey Combs,1,http://www.imdb.com/title/tt0443496/?ref_=fn_tt_tt_1,1.85
17000,152857,Kristen Stewart,19979,18236,Kerry Cahill,3,http://www.imdb.com/title/tt1183923/?ref_=fn_tt_tt_1,1.85
16000,126247,Christopher Lee,24958,17469,G.W. Bailey,0,http://www.imdb.com/title/tt0110857/?ref_=fn_tt_tt_1,1.85
665,82739,Ricky Schroder,465,4579,Lee Norris,0,http://www.imdb.com/title/tt1210039/?ref_=fn_tt_tt_1,2.35
78,169379,Jorge Luis Moreno,683,221,William Miller,1,http://www.imdb.com/title/tt2553908/?ref_=fn_tt_tt_1,
962,,Chris Noth,2041,3465,James Brolin,0,http://www.imdb.com/title/tt2113659/?ref_=fn_tt_tt_1,2.35
795,15447,Eric Idle,2971,2655,Ryan O'Neal,0,http://www.imdb.com/title/tt0118577/?ref_=fn_tt_tt_1,1.85
12000,19348,Jeff Bridges,2941,16118,Ted Danson,2,http://www.imdb.com/title/tt1007018/?ref_=fn_tt_tt_1,2.35
806,100503,Adrian Martinez,7759,3124,Aaron Yoo,2,http://www.imdb.com/title/tt1247662/?ref_=fn_tt_tt_1,1.85
1000,92900,Stephanie Szostak,3662,3146,Anthony Edwards,1,http://www.imdb.com/title/tt1220220/?ref_=fn_tt_tt_1,1.85
835,140987,Madison Pettis,361,2519,Sandra Echeverría,3,http://www.imdb.com/title/tt1128071/?ref_=fn_tt_tt_1,1.85
147,,Nicholas Hamilton,5637,285,Sean Keenan,0,http://www.imdb.com/title/tt2325977/?ref_=fn_tt_tt_1,2.39
706,,Mike Epps,1097,1936,Glenn Plummer,2,http://www.imdb.com/title/tt1210071/?ref_=fn_tt_tt_1,1.85
906,5561,Drew Fuller,4995,4725,Larry Miller,1,http://www.imdb.com/title/tt0887719/?ref_=fn_tt_tt_1,1.85
439,3607,Jim Carter,22753,940,Danny Sapani,4,http://www.imdb.com/title/tt0488604/?ref_=fn_tt_tt_1,2.35
122,,Damian Walshe-Howling,11950,375,Adrienne Pickering,0,http://www.imdb.com/title/tt1320291/?ref_=fn_tt_tt_1,2.35
11000,70527,Zooey Deschanel,7690,14656,Kelly Preston,6,http://www.imdb.com/title/tt0349416/?ref_=fn_tt_tt_1,1.85
298,,Teryl Rothery,11285,934,Adrian Holmes,0,http://www.imdb.com/title/tt0496436/?ref_=fn_tt_tt_1,2.35
485,,Shane Pollard,1642,964,Chase Armitage,0,http://www.imdb.com/title/tt1568139/?ref_=fn_tt_tt_1,2.35
5000,,Jim Sturgess,9585,7637,Michael McElhatton,1,http://www.imdb.com/title/tt1097643/?ref_=fn_tt_tt_1,2.35
1000,,Drake Bell,162,2259,Amanda Troop,0,http://www.imdb.com/title/tt2722786/?ref_=fn_tt_tt_1,
30000,,Veronica Ferres,3075,31325,Derek Jacobi,2,http://www.imdb.com/title/tt0479341/?ref_=fn_tt_tt_1,2.35
63,11835,Ingvar Eggert Sigurðsson,1920,81,Sigríður María Egilsdóttir,0,http://www.imdb.com/title/tt3074732/?ref_=fn_tt_tt_1,2.35
1000,,Sendhil Ramamurthy,1250,2227,Shabana Azmi,1,http://www.imdb.com/title/tt1319716/?ref_=fn_tt_tt_1,2.35
1000,,Ray Winstone,5715,3937,Jason London,4,http://www.imdb.com/title/tt1147687/?ref_=fn_tt_tt_1,1.85
183,,Jimi Mistry,2223,428,John Light,2,http://www.imdb.com/title/tt0213985/?ref_=fn_tt_tt_1,2.35
670,,Elaine Hendrix,553,2739,Jon Gries,5,http://www.imdb.com/title/tt1070781/?ref_=fn_tt_tt_1,
398,128486,Kang-ho Song,26156,569,Dal-su Oh,0,http://www.imdb.com/title/tt0901487/?ref_=fn_tt_tt_1,2.35
1000,,Boris Kodjoe,7286,4686,Kathleen Turner,0,http://www.imdb.com/title/tt1913166/?ref_=fn_tt_tt_1,2.35
764,,Tyler Mane,3015,2876,Dustin Milligan,1,http://www.imdb.com/title/tt1376195/?ref_=fn_tt_tt_1,2.35
17000,16025394,Kristen Stewart,131180,18983,Wendie Malick,6,http://www.imdb.com/title/tt1091722/?ref_=fn_tt_tt_1,1.85
786,2483955,Danny Pino,8369,1674,Enrique Murciano,0,http://www.imdb.com/title/tt0343996/?ref_=fn_tt_tt_1,1.85
723,57176582,John Witherspoon,27492,3939,Rolando Molina,1,http://www.imdb.com/title/tt0195945/?ref_=fn_tt_tt_1,1.85
4000,,Hayden Christensen,12372,9432,Akon,1,http://www.imdb.com/title/tt2923316/?ref_=fn_tt_tt_1,
742,43100000,Donald Pleasence,75280,2127,Desmond Llewelyn,0,http://www.imdb.com/title/tt0062512/?ref_=fn_tt_tt_1,2.35
31000,,Mem Ferda,5865,35634,Malese Jow,7,http://www.imdb.com/title/tt2556874/?ref_=fn_tt_tt_1,
678,225377,Isabelle Huppert,70382,1557,Jean-Louis Trintignant,1,http://www.imdb.com/title/tt1602620/?ref_=fn_tt_tt_1,1.85
1000,14114488,Tom Skerritt,13190,3827,Zelda Rubinstein,0,http://www.imdb.com/title/tt0095889/?ref_=fn_tt_tt_1,1.85
557,,Daniella Alonso,1763,1702,Jesse Garcia,0,http://www.imdb.com/title/tt1612319/?ref_=fn_tt_tt_1,1.78
924,46300000,Jonathan Winters,29323,4109,Spencer Tracy,0,http://www.imdb.com/title/tt0057193/?ref_=fn_tt_tt_1,2.76
148,12899702,Carmen Maura,76681,448,Antonio de la Torre,1,http://www.imdb.com/title/tt0441909/?ref_=fn_tt_tt_1,2.35
187,,John Vernon,23516,646,Don Francks,0,http://www.imdb.com/title/tt0082509/?ref_=fn_tt_tt_1,1.37
33000,113155,Jizelle Jade,9006,34398,Héctor Jiménez,7,http://www.imdb.com/title/tt1161418/?ref_=fn_tt_tt_1,
21000,2600000,Robert Downey Jr.,11612,23962,Kristin Scott Thomas,3,http://www.imdb.com/title/tt0114279/?ref_=fn_tt_tt_1,2.35
826,,Scott Glenn,4486,1586,Luisa D'Oliveira,4,http://www.imdb.com/title/tt1694021/?ref_=fn_tt_tt_1,1.85
594,1602466,Bárbara Mori,9673,1836,Kabir Bedi,0,http://www.imdb.com/title/tt1198101/?ref_=fn_tt_tt_1,
10000,3029870,Alexander Skarsgård,128729,15835,Charlotte Rampling,1,http://www.imdb.com/title/tt1527186/?ref_=fn_tt_tt_1,2.35
509,,Noah Taylor,13003,1248,Luke Ford,0,http://www.imdb.com/title/tt0803061/?ref_=fn_tt_tt_1,2.35
8000,3047539,Shah Rukh Khan,42296,13762,Vic Waghorn,4,http://www.imdb.com/title/tt2176013/?ref_=fn_tt_tt_1,2.35
1000,78900000,Tom Skerritt,563827,2524,Bolaji Badejo,0,http://www.imdb.com/title/tt0078748/?ref_=fn_tt_tt_1,2.35
383,30859000,Gunnar Hansen,96410,1094,Marilyn Burns,0,http://www.imdb.com/title/tt0072271/?ref_=fn_tt_tt_1,1.85
17000,3571735,Kristen Stewart,39260,21711,Johnny Lewis,2,http://www.imdb.com/title/tt1017451/?ref_=fn_tt_tt_1,2.35
402,50000000,Topol,29839,934,Rosalind Harris,0,http://www.imdb.com/title/tt0067093/?ref_=fn_tt_tt_1,2.35
244,63600000,Desmond Llewelyn,82073,1164,Lois Maxwell,1,http://www.imdb.com/title/tt0059800/?ref_=fn_tt_tt_1,2.35
14000,,Josh Hutcherson,12520,15014,Parker Bagley,2,http://www.imdb.com/title/tt1701990/?ref_=fn_tt_tt_1,2.35
580,,Riccardo Scamarcio,8667,662,Lunetta Savino,9,http://www.imdb.com/title/tt1405810/?ref_=fn_tt_tt_1,2.35
890,36049108,Vivica A. Fox,10139,3661,Blair Underwood,4,http://www.imdb.com/title/tt0117603/?ref_=fn_tt_tt_1,2.35
1000,34074895,Harold Perrineau,6525,5420,Jarrod Bunch,6,http://www.imdb.com/title/tt0168501/?ref_=fn_tt_tt_1,1.85
311,33244684,Catherine Hicks,62038,760,Dinah Manoff,0,http://www.imdb.com/title/tt0094862/?ref_=fn_tt_tt_1,1.85
909,24530513,Michael Moore,66610,1633,Bill Clinton,1,http://www.imdb.com/title/tt0386032/?ref_=fn_tt_tt_1,1.85
2000,71519230,Noel Gugliemi,92364,6807,Roberta Valderrama,0,http://www.imdb.com/title/tt2975578/?ref_=fn_tt_tt_1,2.35
3000,20035310,Rosario Dawson,12324,4409,Shawn Hatosy,1,http://www.imdb.com/title/tt0186975/?ref_=fn_tt_tt_1,1.85
982,18225165,Ethan Embry,155262,3114,Paula Garcés,2,http://www.imdb.com/title/tt0366551/?ref_=fn_tt_tt_1,1.85
12000,17804273,Jeff Bridges,20449,25660,William Petersen,0,http://www.imdb.com/title/tt0208874/?ref_=fn_tt_tt_1,1.85
14000,16938179,Vin Diesel,41313,17336,Herbert Russell,3,http://www.imdb.com/title/tt0181984/?ref_=fn_tt_tt_1,1.85
392,90400000,Don Ameche,102895,845,Ralph Bellamy,2,http://www.imdb.com/title/tt0086465/?ref_=fn_tt_tt_1,1.85
607,16235293,Oliver Hudson,19918,1611,Andrea Martin,0,http://www.imdb.com/title/tt0454082/?ref_=fn_tt_tt_1,2.35
911,11827301,Jennifer Esposito,4247,1345,Patrick Cranshaw,1,http://www.imdb.com/title/tt0349169/?ref_=fn_tt_tt_1,2.35
591,10161099,Brian Blessed,23441,1341,Danny Webb,1,http://www.imdb.com/title/tt0097499/?ref_=fn_tt_tt_1,1.85
22000,6610326,Philip Seymour Hoffman,32188,23770,Gbenga Akinnagbe,0,http://www.imdb.com/title/tt0775529/?ref_=fn_tt_tt_1,1.85
591,6126237,Carlos Ponce,3419,2851,Maria Conchita Alonso,3,http://www.imdb.com/title/tt0323572/?ref_=fn_tt_tt_1,1.85
187,6047856,Kristin Lehman,27536,358,Dylan Kussman,4,http://www.imdb.com/title/tt0202677/?ref_=fn_tt_tt_1,1.85
1000,4681503,Kieran Culkin,29058,2478,Bill Irwin,1,http://www.imdb.com/title/tt0280760/?ref_=fn_tt_tt_1,2.35
4000,4350774,Jon Favreau,10476,4908,Chris Young,3,http://www.imdb.com/title/tt0110759/?ref_=fn_tt_tt_1,1.85
970,3420871,Bill Cobbs,14100,3824,Mircea Monroe,2,http://www.imdb.com/title/tt0482629/?ref_=fn_tt_tt_1,1.85
177,,Ronn Moss,5478,639,Hunter Tylo,0,http://www.imdb.com/title/tt0092325/?ref_=fn_tt_tt_1,1.78
1000,,Anjelica Huston,7767,1991,Robert Urich,4,http://www.imdb.com/title/tt0087451/?ref_=fn_tt_tt_1,1.85
702,2955039,Emma Bell,3624,2007,Carly Schroeder,1,http://www.imdb.com/title/tt0441007/?ref_=fn_tt_tt_1,2.35
745,1530535,Billy Crudup,7833,1721,Dagmara Dominczyk,3,http://www.imdb.com/title/tt0427968/?ref_=fn_tt_tt_1,2.35
1000,4881867,Steve Coogan,15200,3767,David Arquette,1,http://www.imdb.com/title/tt1104733/?ref_=fn_tt_tt_1,1.85
23000,1043487,Christian Bale,27766,24102,Janet McTeer,3,http://www.imdb.com/title/tt0120879/?ref_=fn_tt_tt_1,1.85
45,770629,Jung-min Hwang,2379,50,Woo-hee Chun,0,http://www.imdb.com/title/tt5215952/?ref_=fn_tt_tt_1,2.35
2000,11860839,Lea Michele,5156,4617,Kevin McHale,0,http://www.imdb.com/title/tt1922612/?ref_=fn_tt_tt_1,1.85
7,454255,Sarunyu Wongkrachang,1666,32,Mai Charoenpura,3,http://www.imdb.com/title/tt0290879/?ref_=fn_tt_tt_1,1.85
982,349618,John Amos,4302,2942,Sally Kirkland,1,http://www.imdb.com/title/tt0100827/?ref_=fn_tt_tt_1,1.85
186,,Lambert Wilson,1673,253,Lionel Abelanski,1,http://www.imdb.com/title/tt3202120/?ref_=fn_tt_tt_1,2.35
149,112935,Lesley Manville,8161,251,Gary McDonald,0,http://www.imdb.com/title/tt0286261/?ref_=fn_tt_tt_1,1.85
679,883887,Q'orianka Kilcher,1201,1426,Shaun Evans,3,http://www.imdb.com/title/tt1185344/?ref_=fn_tt_tt_1,2.35
185,13751,Jacqueline McKenzie,813,299,Peter Callan,0,http://www.imdb.com/title/tt0420835/?ref_=fn_tt_tt_1,1.85
22000,,Robert De Niro,16198,24154,D.B. Sweeney,1,http://www.imdb.com/title/tt3276924/?ref_=fn_tt_tt_1,2.35
573,145109,Lars Mikkelsen,14247,1098,Christian Berkel,1,http://www.imdb.com/title/tt0920458/?ref_=fn_tt_tt_1,2.35
922,1046166,Fisher Stevens,2599,1835,Perrey Reeves,4,http://www.imdb.com/title/tt0434424/?ref_=fn_tt_tt_1,2.35
10000,,Andrew Garfield,9305,10369,John Henshaw,0,http://www.imdb.com/title/tt1259574/?ref_=fn_tt_tt_1,1.85
963,2874,Catherine Deneuve,1219,1375,Émilie Dequenne,1,http://www.imdb.com/title/tt1183672/?ref_=fn_tt_tt_1,2.35
4000,,Sarah Michelle Gellar,10100,6426,Jonathan Tucker,1,http://www.imdb.com/title/tt1068678/?ref_=fn_tt_tt_1,2.35
442,174635000,Paul Hogan,74743,822,David Gulpilil,1,http://www.imdb.com/title/tt0090555/?ref_=fn_tt_tt_1,2.35
722,,Sean Pertwee,4990,1254,Donald Sumpter,0,http://www.imdb.com/title/tt1679332/?ref_=fn_tt_tt_1,1.85
1000,,Stephen Graham,9296,2310,Stephen Rea,2,http://www.imdb.com/title/tt0325596/?ref_=fn_tt_tt_1,2.35
174,,Harrison Gilbertson,5741,498,Steve Le Marquand,12,http://www.imdb.com/title/tt1418646/?ref_=fn_tt_tt_1,2.35
580,171320,Riccardo Scamarcio,10796,1129,Karin Viard,1,http://www.imdb.com/title/tt1661420/?ref_=fn_tt_tt_1,1.85
4000,14373825,Hayden Christensen,63216,6954,Denis O'Hare,0,http://www.imdb.com/title/tt0211933/?ref_=fn_tt_tt_1,2.35
668,,Dee Bradley Baker,28190,1484,Tom Kane,0,http://www.imdb.com/title/tt0458290/?ref_=fn_tt_tt_1,2.35
2000,162,Michael Jai White,5228,2802,Celina Jade,5,http://www.imdb.com/title/tt1641841/?ref_=fn_tt_tt_1,2.35
967,32222567,Dianne Wiest,92924,4458,Jason Patric,3,http://www.imdb.com/title/tt0093437/?ref_=fn_tt_tt_1,2.35
12000,39462438,Jeff Bridges,67760,13172,Debrianna Mansini,0,http://www.imdb.com/title/tt1263670/?ref_=fn_tt_tt_1,2.35
563,29200000,David Keith,6142,1097,Alan Bates,0,http://www.imdb.com/title/tt0079826/?ref_=fn_tt_tt_1,1.85
3000,21564616,Djimon Hounsou,7098,8097,Boris Kodjoe,9,http://www.imdb.com/title/tt1171222/?ref_=fn_tt_tt_1,1.85
949,,Jane Fonda,24436,1510,Milo O'Shea,2,http://www.imdb.com/title/tt0062711/?ref_=fn_tt_tt_1,2.35
35,,Bjørn Sundquist,1984,47,Stian Smestad,2,http://www.imdb.com/title/tt0099816/?ref_=fn_tt_tt_1,2.35
2000,14879556,Matthew Broderick,73640,3516,Molly Hagan,0,http://www.imdb.com/title/tt0126886/?ref_=fn_tt_tt_1,2.35
579,13569248,Jacinda Barrett,16530,1637,Tabu,1,http://www.imdb.com/title/tt0433416/?ref_=fn_tt_tt_1,1.85
35000,34017854,Bella Thorne,51326,36892,Skyler Samuels,4,http://www.imdb.com/title/tt1666801/?ref_=fn_tt_tt_1,2.35
736,4273372,Mariah Carey,19412,1854,Valarie Pettiford,1,http://www.imdb.com/title/tt0118589/?ref_=fn_tt_tt_1,2.35
1000,,Abigail Spencer,13167,3164,Brad James,0,http://www.imdb.com/title/tt1457765/?ref_=fn_tt_tt_1,2.35
28,,Yu-mi Jeong,3290,97,Kyung-gu Sol,0,http://www.imdb.com/title/tt0387596/?ref_=fn_tt_tt_1,2.35
2000,4440055,Abbie Cornish,21360,3279,Samuel Roukin,0,http://www.imdb.com/title/tt0810784/?ref_=fn_tt_tt_1,1.85
8000,4018695,Shah Rukh Khan,69759,8532,Christopher B. Duncan,2,http://www.imdb.com/title/tt1188996/?ref_=fn_tt_tt_1,2.35
967,80000000,Dianne Wiest,51459,1962,Lori Singer,0,http://www.imdb.com/title/tt0087277/?ref_=fn_tt_tt_1,1.85
0,6262942,Robert Redford,59545,0,,0,http://www.imdb.com/title/tt2017038/?ref_=fn_tt_tt_1,2.35
638,1997807,Mary Elizabeth Mastrantonio,5158,823,Vanessa Martinez,0,http://www.imdb.com/title/tt0164085/?ref_=fn_tt_tt_1,1.85
3000,1207007,Katrina Kaif,13577,4004,Riteish Deshmukh,2,http://www.imdb.com/title/tt0795434/?ref_=fn_tt_tt_1,
97,1829142,Padraic Delaney,36846,128,Martin Lucey,1,http://www.imdb.com/title/tt0460989/?ref_=fn_tt_tt_1,1.85
964,3827466,Ranbir Kapoor,25122,2350,Aditya Roy Kapoor,2,http://www.imdb.com/title/tt2178470/?ref_=fn_tt_tt_1,
668,90800000,Martin Kove,126916,2004,William Bassett,0,http://www.imdb.com/title/tt0087538/?ref_=fn_tt_tt_1,1.85
440,,Peter Ustinov,9808,1373,Robert Taylor,0,http://www.imdb.com/title/tt0043949/?ref_=fn_tt_tt_1,1.37
2000,140244,Alexa PenaVega,20419,4168,Paul Sorvino,1,http://www.imdb.com/title/tt0963194/?ref_=fn_tt_tt_1,1.85
205,,Necati Sasmaz,14486,808,Ghassan Massoud,3,http://www.imdb.com/title/tt0493264/?ref_=fn_tt_tt_1,1.85
13000,107930000,Bruce Willis,1324680,16557,Phil LaMarr,1,http://www.imdb.com/title/tt0110912/?ref_=fn_tt_tt_1,2.35
1000,76657000,Madeline Kahn,25498,5673,Dom DeLuise,0,http://www.imdb.com/title/tt0079588/?ref_=fn_tt_tt_1,1.85
15000,32279955,Jake Gyllenhaal,293304,15554,James Huang,1,http://www.imdb.com/title/tt2872718/?ref_=fn_tt_tt_1,2.35
861,4992159,Brittany Daniel,23823,3306,Jay Chandrasekhar,2,http://www.imdb.com/title/tt0331953/?ref_=fn_tt_tt_1,2.35
