director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,content_rating,title_year,actor_2_facebook_likes,aspect_ratio
Jean-Jacques Annaud,187,131,218,Gabriel Thomson,5000,Bob Hoskins,188887,5103,Clemens Schick,1,battle|german|russian|sniper|stalingrad,662,English,R,2001,35,2.35
Peter Berg,151,104,532,Rosario Dawson,12000,Dwayne Johnson,82731,16930,Ewen Bremner,1,amazon|bounty hunter|fight|hunter|jungle,255,English,PG-13,2003,3000,2.35
John McTiernan,80,130,323,Tom Noonan,670,F. Murray Abraham,106528,2407,Joan Plowright,1,action hero|hero|magic|ticket|video store,257,English,PG-13,1993,442,2.35
Rob Marshall,229,145,252,Mako,879,Li Gong,119286,2380,Karl Yune,1,coming of age|geisha|japan|jealousy|love,548,English,PG-13,2005,691,2.35
Justin Lin,158,104,681,Zachery Ty Bryan,584,Amber Stevens West,179500,1235,Nikki Griffin,5,car|challenge|drift racing|drifting|tokyo japan,378,English,PG-13,2006,227,2.35
Sarah Smith,190,97,6,Imelda Staunton,1000,Jim Broadbent,35446,2707,Michael Palin,1,christmas|christmas eve|elf|high tech|resentment,78,English,PG,2011,579,1.85
Martin Brest,98,178,102,Brad Pitt,12000,Anthony Hopkins,169023,23950,Jake Weber,0,birthday|death|death personified|fear of death|wealth,703,English,PG-13,1998,11000,1.85
Andrew Davis,135,108,99,Rick Worthy,672,Raymond Cruz,61417,1460,Jsu Garcia,1,bare chested boy|car explosion|colombia|explosion|terrorism,339,English,R,2002,174,1.85
Bob Fosse,84,123,189,Ben Vereen,813,Roy Scheider,19228,1476,Max Wright,0,dancer|editing|stand up comedian|surgery|vomiting,146,English,R,1979,388,1.85
Tarsem Singh,382,106,763,Nathan Lane,8000,Julia Roberts,70838,11454,Danny Woodburn,1,kingdom|prince|princess|queen|snow,208,English,PG,2012,886,1.85
Edgar Wright,393,112,1000,Kieran Culkin,10000,Anna Kendrick,273921,12687,Ellen Wong,0,band|dating|high school|hipster|rock band,522,English,PG-13,2010,1000,1.85
Jon Amiel,149,135,36,Tchéky Karyo,894,Glenn Morshower,77029,1439,Rekha Sharma,0,core|earth|natural disaster|pacemaker|scientist,466,English,PG-13,2003,345,2.35
Peter Segal,94,109,88,Janet Jackson,611,Larry Miller,39391,2818,Chris Elliott,1,alter ego|marriage|professor|scientist|serum,171,English,PG-13,2000,592,1.85
Raja Gosnell,138,86,67,Linda Cardellini,4000,Sarah Michelle Gellar,71424,6355,Miguel A. Núñez Jr.,3,amusement park|island|motorcycle|scooby doo|tough girl,521,English,PG,2002,2000,1.85
Pete Travis,432,95,38,Jason Cope,409,Wood Harris,203458,578,Rakie Ayola,0,brutality|dark humor|female antagonist|female warrior|post apocalypse,588,English,R,2012,107,2.35
Frank Coraci,173,107,153,Cameron Monaghan,11000,Adam Sandler,246492,12700,Julie Kavner,1,architect|frozen time|obese man|remote control|stopped time,685,English,PG-13,2006,1000,1.85
George A. Romero,127,130,0,Hal Holbrook,875,Ted Danson,29932,2662,Adrienne Barbeau,0,anthology|child abuse|critically acclaimed|death|grindhouse,211,English,R,1982,826,1.85
Brad Peyton,91,82,62,Sean Hayes,975,Jack McBrayer,10233,3326,Katt Williams,0,cartoon on tv|cat|dog|kitty|special agent,63,English,PG,2010,760,1.85
Doug Liman,238,88,218,Hayden Christensen,17000,Kristen Stewart,243053,21863,Tom Hulce,0,bank|based on novel|ice|teleportation|vault,488,English,PG-13,2008,4000,2.35
Guillermo del Toro,345,120,0,Iván Kamarás,3000,Seth MacFarlane,208422,3632,Brian Steele,0,creature|elf|prince|rebellion|superhero,342,English,PG-13,2008,169,1.85
David Fincher,377,162,21000,Jake Gyllenhaal,21000,Robert Downey Jr.,301279,36928,Anthony Edwards,0,cartoonist|reporter|serial killer|zodiac|zodiac killer,589,English,R,2007,15000,2.35
Roger Spottiswoode,170,123,55,Michael Rapaport,3000,Robert Duvall,100001,5839,Tony Goldwyn,1,clone|cloning|future|laser gun|murder,289,English,PG-13,2000,975,2.35
Tom Shadyac,191,101,293,Steve Carell,11000,Morgan Freeman,296904,21276,Lisa Ann Walter,1,answer to prayer|breast expansion|pleading with god|supernatural power|walking on water,604,English,PG-13,2003,7000,1.85
Sylvester Stallone,424,113,13000,Sylvester Stallone,26000,Jason Statham,270226,46355,Jet Li,9,action hero|assassination attempt|explosion|machine gun|rescue mission,741,English,R,2010,13000,2.35
Brian De Palma,154,110,0,Kristin Scott Thomas,10000,Tom Cruise,300542,12760,Vanessa Redgrave,0,disguise|mission|spy|stealing|traitor,378,English,PG-13,1996,1000,2.35
Gary Ross,673,142,378,Josh Hutcherson,34000,Jennifer Lawrence,701607,49942,Anthony Reynolds,0,fight to the death|game|massacre|self survival|suicide attempt,1959,English,PG-13,2012,14000,2.35
Todd Phillips,383,102,480,Mason Lee,14000,Bradley Cooper,375879,16143,Mike Tyson,0,hotel|male frontal nudity|pubic hair|thailand|wedding,402,English,R,2011,670,2.35
Tim Burton,153,126,13000,Vincent Schiavelli,920,Michael Gough,215255,2899,Andrew Bryniarski,0,box office hit|dc comics|gotham|mayor|penguin,610,English,PG-13,1992,811,1.85
Tim Johnson,166,83,12,Steve Carell,13000,Bruce Willis,127345,22813,Catherine O'Hara,1,bear|food|forest|raccoon|turtle,250,English,PG,2006,7000,1.85
Dean DeBlois,180,85,255,Jason Scott Lee,1000,Tia Carrere,117212,3112,David Ogden Stiers,0,alien|escape|fugitive|hawaii|social worker,367,English,PG,2002,533,1.66
Gary Winick,120,97,56,Julia Roberts,12000,Steve Buscemi,27838,23907,Oprah Winfrey,0,barn|pig|piglet|spider|uncle,102,English,G,2006,8000,1.85
Mimi Leder,125,120,75,Jon Favreau,11000,Morgan Freeman,135601,22750,Robert Duvall,0,astronomer|comet|mission|president|secretary,493,English,PG-13,1998,4000,2.35
Dean Parisot,234,116,23,Anthony Hopkins,13000,Bruce Willis,125036,25220,Garrick Hagon,7,cia|cia agent|rescue|russian|team,205,English,PG-13,2013,12000,2.35
Peter Segal,134,113,88,Steve Reevis,11000,Adam Sandler,130070,13693,Dalip Singh,11,coach|convict|football|prison|warden,316,English,PG-13,2005,437,2.35
Mike Mitchell,91,87,31,Jesse McCartney,1000,Amy Poehler,22838,4073,Lauren Gottlieb,0,chipmunk|cruise ship|football ball|overboard|tennis ball,56,English,G,2011,1000,1.85
Dennis Dugan,139,101,221,Adam Sandler,12000,Steve Buscemi,107817,39269,Jon Lovitz,4,belching|number in title|party|reference to nicki minaj|sneezing,255,English,PG-13,2013,11000,1.85
Peter Segal,265,110,88,Dwayne Johnson,13000,Bill Murray,168172,44798,Anne Hathaway,1,airplane|misunderstanding|obese woman|overweight woman|spy,380,English,PG-13,2008,12000,1.85
Nancy Meyers,145,128,278,Jon Favreau,18000,Keanu Reeves,91092,22679,Paul Michael Glaser,1,beach|dating|doctor|heart attack|weekend,402,English,PG-13,2003,4000,1.85
Martin Scorsese,490,138,17000,Joseph Sikora,29000,Leonardo DiCaprio,786092,29585,Nellie Sciutto,0,female prisoner|plot twist|self delusion|surprise ending|year 1954,964,English,R,2010,223,2.35
Seth Gordon,141,88,91,Robert Duvall,4000,Jon Favreau,48500,9913,Katy Mixon,2,airport|christmas|news broadcast|tv broadcast|tv news,124,English,PG-13,2008,3000,1.85
Chris Wedge,163,91,77,Drew Carey,1000,Jim Broadbent,103022,1804,Paula Abdul,1,actor voicing multiple characters|box office hit|coffee|plate|robot,269,English,PG,2005,311,1.85
John Woo,155,138,610,CCH Pounder,12000,Nicolas Cage,283967,17087,Joan Allen,0,death of child|face|face transplant|prison|terrorist,535,English,R,1997,1000,2.35
Adam Shankman,144,99,163,Carmen Electra,11000,Adam Sandler,72326,12831,Kathryn Joosten,0,2000s|bedtime story|elephant|handyman|tween girl,116,English,PG,2008,869,2.35
Sam Mendes,226,117,0,Jennifer Jason Leigh,15000,Tom Hanks,200359,16828,Liam Aiken,0,1930s|blood|gun|on the run|revenge,1009,English,R,2002,1000,2.35
Dennis Dugan,204,117,221,Bailee Madison,11000,Adam Sandler,172878,16325,Kevin Nealon,1,chick flick|hawaii|love|plastic surgeon|woman wearing a string bikini,203,English,PG-13,2011,3000,1.85
,95,54,,Royce Johnson,577,Elden Henson,213483,581,Charlie Cox,0,corruption|lawyer|partnership|superhero|vigilante,394,English,TV-MA,,4,16.0
Simon West,139,123,165,Monica Potter,12000,Steve Buscemi,225282,15362,Dave Chappelle,6,army rangers|convict|criminal|escape|prison,339,English,R,1997,878,2.35
D.J. Caruso,215,118,154,Ethan Embry,3000,Rosario Dawson,150764,5637,Cameron Boyce,3,audio surveillance|death|pentagon|technology|twin brother,318,English,PG-13,2008,982,2.35
Anthony Minghella,198,154,333,Natalie Portman,22000,Philip Seymour Hoffman,118483,61110,Charlie Hunnam,3,civil war|mountain|soldier|well|wounded soldier,674,English,R,2003,20000,2.35
Albert Hughes,325,118,117,Mila Kunis,18000,Denzel Washington,227072,44797,Gary Oldman,0,blind|book|long take|post apocalypse|water,560,English,R,2010,15000,2.35
Les Mayfield,53,90,10,Jodi Benson,49000,Robin Williams,63625,50005,Sam Lloyd,1,college|flubber|flying rubber|professor|wedding,64,English,PG,1997,570,1.85
Jan de Bont,167,113,101,Lili Taylor,14000,Liam Neeson,58184,17786,Virginia Madsen,0,greenhouse|haunted house|horror movie remake|mansion|old house,805,English,PG-13,1999,960,2.35
Joe Pytka,46,88,30,Wayne Knight,13000,Bill Murray,112167,15001,Michael Jordan,1,alien|basketball|basketball game|cult film|monstars,123,English,PG,1996,967,1.77
Shawn Levy,147,93,189,Henry Czerny,1000,Roger Rees,65499,1267,William Abadie,0,diamond|france|investigation|pink panther|soccer,424,English,PG,2006,177,1.85
Scott Derrickson,276,104,301,Jon Hamm,18000,Keanu Reeves,139423,22194,Juan Riedinger,0,alien|earth|giant robot|military|scientist,698,English,PG-13,2008,4000,2.35
Richard Donner,80,135,503,Alex McArthur,8000,Julia Roberts,76099,8355,Michael Potts,1,conspiracy|fbi|mk ultra|newsletter|taxi,162,English,R,1997,137,2.35
David Ayer,406,134,452,Logan Lerman,11000,Brad Pitt,303185,20411,Jim Parrack,4,battle|battlefield|brutality|combat|tank,701,English,R,2014,8000,2.35
Ivan Reitman,97,98,425,Anne Heche,11000,Harrison Ford,60910,12729,Amy Sedaris,2,airplane|island|pilot|storm|thunderstorm,164,English,PG-13,1998,643,2.35
Eric Brevig,143,80,40,Tom Cavanagh,3000,Justin Timberlake,16385,4394,Josh Robert Thompson,0,bear|mayor|park|sabotage|yogi bear,100,English,PG,2010,642,1.85
Kelly Asbury,106,83,21,Charles Napier,13000,Matt Damon,44143,14261,Zahn McClarnon,0,cavalry|escape|herd|stallion|wild stallion,216,English,G,2002,503,2.35
Frank Coraci,178,102,153,Leslie Bibb,3000,Rosario Dawson,44662,5392,Nicholas Turturro,1,champagne bottle|coca cola|jewelry box|red bull|zoo,127,English,PG,2011,1000,2.35
Stephen Hopkins,102,130,81,William Hurt,10000,Gary Oldman,58402,12186,June Lockhart,0,based on tv series|remake|robot|scientist|spaceship,370,English,PG-13,1998,882,2.35
Jonathan Demme,209,129,438,Dorian Missick,18000,Denzel Washington,86422,20056,Jose Pablo Cantillo,1,brainwashed assassin|conspiracy|critically acclaimed|mother son relationship|soldier,363,English,R,2004,1000,1.85
Henry Jaglom,19,117,69,Stephen Dillane,898,Vanessa Redgrave,666,1753,Michael Brandon,0,american|love|pin|ruby|stranger,40,English,PG-13,1997,577,1.85
Genndy Tartakovsky,152,89,266,Adam Sandler,12000,Steve Buscemi,56501,26839,Fran Drescher,0,california|dracula|hotel|transylvania|vampire,97,English,PG,2015,11000,1.85
,31,25,,Agnes Moorehead,1000,Elizabeth Montgomery,11427,2614,Dick York,1,connecticut|magic|marriage|witch|witchcraft,71,English,TV-G,,960,4.0
James Algar,129,74,11,Penn Jillette,340,Quincy Jones,27543,814,Russi Taylor,0,abstract|ark|disney|fairy tale|piano,186,English,G,1999,243,1.78
Simon Wells,124,96,25,Alan Young,891,Mark Addy,103787,1919,Josh Stamberg,0,hunter|scientist|time machine|time travel|time travel romance,615,English,PG-13,2002,639,2.35
Ron Underwood,35,114,31,Mika Boorem,9000,Charlize Theron,22955,10731,David Paymer,0,animal|california|gorilla|hunter|poacher,88,English,PG,1998,496,1.85
Dominic Sena,166,99,57,Don Cheadle,20000,Hugh Jackman,155532,25942,Sam Shepard,4,computer|secret agent|terrorism|told in flashback|wearing a sound wire,543,English,R,2001,3000,2.35
Martin Campbell,137,129,258,Nick Chinlund,2000,Michael Emerson,71574,2864,Adrian Alonso,1,california|fight|hero|mask|zorro,244,Spanish,PG,2005,277,2.35
Vincent Ward,121,113,25,Annabella Sciorra,49000,Robin Williams,83560,49631,Rosalind Chao,1,heaven|hell|soul|soul mate|suicide,619,English,PG-13,1998,448,2.35
Steven Brill,87,90,65,Jon Lovitz,11000,Adam Sandler,80639,25190,Michael McKean,0,angel|devil|flask|hell|the devil,237,English,PG-13,2000,11000,1.85
Terry Gilliam,233,118,0,Heath Ledger,13000,Matt Damon,98472,27114,Mackenzie Crook,2,creature|curse|exorcism|girl|village,492,English,PG-13,2005,13000,1.85
Tim Burton,132,106,13000,Martin Short,20000,Natalie Portman,172217,22590,Lukas Haas,3,alien|general|martian|president|weapon,405,English,PG-13,1996,770,2.35
Lucile Hadzihalilovic,63,81,92,Roxane Duran,23,Nissim Renard,979,54,Julie-Marie Parmentier,0,boy|giving birth|nurse|sea|ultrasonography,3,French,,2015,21,2.35
Lee Tamahori,95,117,93,Harold Perrineau,12000,Anthony Hopkins,55913,14831,Bart the Bear,2,bear|billionaire|crash|survival tactics|wilderness,182,English,R,1997,1000,2.35
Jonathan Mostow,258,89,84,Devin Ratray,13000,Bruce Willis,151424,18132,Boris Kodjoe,5,android|fbi agent|future|murder|robot,252,English,PG-13,2009,1000,2.35
Roger Donaldson,162,145,79,Jon Foster,981,Bruce Greenwood,45231,1825,Bruce Thomas,1,blockade|crisis|cuba|missile|president,315,English,PG-13,2000,274,1.85
Rob Cohen,61,114,357,Viggo Mortensen,13000,Sylvester Stallone,53132,25126,Amy Brenneman,0,collapsing tunnel|explosion|new jersey|tunnel|weimaraner,101,English,PG-13,1996,10000,1.85
Barry Cook,113,87,43,Tiya Sircar,882,Charlie Rowe,8913,1971,Madison Rothschild,0,brother|dinosaur|head butt|hero|orphan,66,English,PG,2013,396,2.35
Roger Christian,174,119,64,Michael Byrne,743,Richard Tyson,65464,971,John Topor,0,alien|bad acting|pulp fiction|resistance fighter|voyager golden record,1308,English,PG-13,2000,117,2.35
Joe Dante,101,91,287,Jenna Elfman,3000,Brendan Fraser,24183,5593,Heather Locklear,4,diamond|duck|monkey|spy|stuntman,160,English,PG,2003,739,2.35
Rob Marshall,205,118,252,Elio Germano,529,Fergie,37446,619,Andrea Di Stefano,4,based on stage musical based on film|child abuse|film director|italian|mistress,232,English,PG-13,2009,48,2.35
Richard Donner,123,116,503,Gerard Butler,23000,Paul Walker,53057,43887,Ethan Embry,0,castle|france|professor|student|time machine,457,English,PG-13,2003,18000,2.35
Kevin Costner,79,177,0,Brian Anthony Wilson,766,Olivia Williams,56403,4346,Larenz Tate,1,drifter|escape|hope|postman|usa,376,English,R,1997,674,2.35
George Miller,61,97,750,Elizabeth Daily,1000,Adam Goldberg,24868,2521,Glenne Headly,0,animal|farm|farmer|hotel|pig,216,English,G,1998,971,1.85
Breck Eisner,202,106,42,Joseph Gilgun,14000,Vin Diesel,58752,16922,Lotte Verbeek,0,box office flop|burned to death|magic|witch|witch hunter,117,English,PG-13,2015,788,2.35
Antony Hoffman,145,106,14,Val Kilmer,2,Bob Neill,47612,2,Tom Sizemore,1,astronaut|mars|robot|robot as menace|survival,348,English,PG-13,2000,0,2.35
Luc Besson,101,94,0,Adam LeFevre,563,Mia Farrow,25843,683,Penny Balfour,0,boy|debt|garden|princess|treasure,64,English,PG,2006,80,2.35
Jacques Perrin,113,104,63,Jacques Perrin,67,Pedro Armendáriz Jr.,7630,152,Rie Miyazawa,0,damselfish|ocean habitat|ocean life|razorfish|spider crab,42,French,G,2009,63,2.35
Peter Hyams,113,102,0,Catherine McCormack,1000,David Oyelowo,16474,1890,Jemima Rooper,0,butterfly|hunter|time|time travel|wave,301,English,PG-13,2005,307,2.35
Paul W.S. Anderson,272,105,545,Currie Graham,795,Sasha Roiz,84508,1099,Dylan Schombing,0,arena|lava bomb|mount vesuvius|pompeii|slave,308,English,PG-13,2014,172,2.35
Andrés Couturier,3,89,0,David Hoffman,163,Sariann Monaco,230,370,Ben Diskin,0,,1,Spanish,PG,2015,94,
Ron Howard,205,135,2000,Austin Pendleton,1000,Adam Goldberg,610568,2827,Judd Hirsch,0,conspiracy|cryptography|mathematician|mental illness|nobel prize,1171,English,PG-13,2001,592,1.85
Roger Allers,186,73,28,Nathan Lane,2000,Matthew Broderick,644348,6458,Niketa Calame,0,king|prince|scar|uncle|unnecessary guilt,656,English,G,1994,886,1.66
Brad Peyton,178,94,62,Dwayne Johnson,14000,Josh Hutcherson,67296,27842,Kristin Davis,3,gold|hurricane|island|mountain|mysterious island,133,English,PG,2012,12000,1.85
Cody Cameron,169,95,18,Khamani Griffin,622,Will Forte,64387,848,Melissa Sturm,0,food|inventor|island|orangutan|scientist,85,English,PG,2013,161,2.35
Brett Ratner,210,124,420,Anthony Hopkins,22000,Philip Seymour Hoffman,204063,35867,Emily Watson,0,criminal profile|fbi agent|madman|tabloid reporter|tragic villain,764,English,R,2002,12000,2.35
Joe Johnston,140,136,394,Viggo Mortensen,24000,J.K. Simmons,67856,36925,Peter Mensah,1,arab|cowboy|horse|race|sheik,345,English,PG-13,2004,10000,2.35
Dennis Dugan,156,91,221,Adam Sandler,14000,Al Pacino,60370,27405,Tim Meadows,2,advertising|advertising executive|commercial|protective male|twins,264,English,PG,2011,11000,1.85
John Singleton,150,107,309,Cole Hauser,23000,Paul Walker,191912,25296,Mo Gallini,5,bust|racing|shotgun|street racing|undercover agent,370,English,PG-13,2003,787,2.35
Mark Osborne,119,108,54,James Franco,12000,Jeff Bridges,28276,30230,Mackenzie Foy,1,aviator|based on book|girl|little girl|the little prince,64,English,PG,2015,11000,2.35
Oliver Hirschbiegel,232,99,101,Veronica Cartwright,1000,Roger Rees,65037,2323,Jeremy Northam,2,alien|epidemic|psychiatrist|space shuttle|virus,273,English,PG-13,2007,422,1.85
Des McAnuff,49,92,5,Janeane Garofalo,22000,Robert De Niro,16611,28050,Jonathan Winters,0,deforestation|fbi|lighthouse|moose|squirrel,197,English,PG,2000,1000,1.85
Yarrow Cheney,165,87,11,Eric Stonestreet,1000,Steve Coogan,24407,4782,Albert Brooks,0,animal control|lost animal|mongrel|pet|terrier,155,English,PG,2016,904,1.85
Stephen Norrington,202,110,45,Max Ryan,1000,Jason Flemyng,141533,4714,Tony Curran,3,box office flop|captain nemo|dorian gray|invisible man|steampunk,786,English,PG-13,2003,872,2.35
Pierre Coffin,306,98,275,Miranda Cosgrove,7000,Steve Carell,286877,11905,Steve Coogan,0,dating|minion|overprotective father|undercover spy|woman agent,284,English,PG,2013,2000,1.85
Roland Emmerich,185,154,776,Adam Baldwin,10000,Will Smith,430055,16785,Mary McDonnell,0,alien|area 51|military|spacecraft|spaceship,856,English,PG-13,1996,2000,2.35
Steven Spielberg,177,129,14000,Richard Schiff,610,Ariana Richards,278362,1635,Vanessa Lee Chester,0,capture|dinosaur|island|jurassic|jurassic park,552,English,PG-13,1997,506,1.85
Eric Darnell,181,86,35,Cedric the Entertainer,851,Jada Pinkett Smith,266636,1777,Andy Richter,0,escape|jungle|lemur|madagascar|zoo,385,English,PG,2005,436,1.85
Alfonso Cuarón,372,109,0,Danny Huston,16000,Charlie Hunnam,361767,16479,Rita Davies,0,chaos|england|long take|survival|violence,1206,English,R,2006,430,1.85
Bryan Singer,290,104,0,Tyler Mane,20000,Hugh Jackman,452928,21397,Bruce Davison,0,first part|mutant|professor|superhero|superhero team,1401,English,PG-13,2000,764,2.35
Timur Bekmambetov,316,110,335,Morgan Freeman,11000,Angelina Jolie Pitt,299852,25763,Common,0,assassin|bobble head doll|femme fatale|rejuvenation|strong female lead,713,English,R,2008,11000,2.35
Michael Bay,122,136,0,Michael Biehn,12000,Nicolas Cage,259492,15999,Bokeem Woodbine,1,alcatraz|fbi|general|hostage|rocket,415,English,R,1996,2000,2.35
Carlos Saldanha,164,115,107,Ray Romano,835,Denis Leary,194249,1815,Jay Leno,0,flood|mammoth|no opening credits|squirrel|valley,253,English,PG,2006,590,1.85
Peter Segal,147,99,88,Peter Dante,11000,Adam Sandler,266103,12952,Allen Covert,2,dream|hawaii|hawaiian shirt|short term memory loss|veterinarian,456,English,PG-13,2004,427,2.35
Adam Shankman,219,117,163,Elijah Kelley,719,Jerry Stiller,98693,1673,Paul Dooley,9,audition|best friend|dance|friend|tv dance show,401,English,PG,2007,339,2.35
Renny Harlin,167,125,212,Alan Ford,613,James D'Arcy,28635,1970,Izabella Scorupco,0,archeologist|church|excavation|faith|relic,308,English,R,2004,422,2.0
David Kellogg,70,110,16,Rene Auberjonois,2000,Matthew Broderick,36491,5320,Rupert Everett,0,actor playing multiple roles|claw|gadget|inspector|police,231,English,PG,1999,710,1.85
Louis Leterrier,384,125,255,Common,11000,Morgan Freeman,447979,13312,Michael Kelly,6,bank|fbi|heist|interpol|magician,629,English,PG-13,2013,988,2.35
Dennis Dugan,179,102,221,Adam Sandler,12000,Steve Buscemi,181443,28497,Salma Hayek,4,basketball|coach|daughter|high school|high school basketball,311,English,PG-13,2010,11000,1.85
Steven Spielberg,151,128,14000,Chi McBride,15000,Tom Hanks,303864,16199,Barry Shabaka Henley,0,airport|construction site|fish out of water|flight attendant|man without a country,596,English,PG-13,2004,466,1.85
,12,43,,Matt Ryan,1000,Harold Perrineau,36919,1990,Charles Halford,1,based on comic|based on comic book|dc arrowverse|dc comics|supernatural,94,English,TV-14,,560,16.0
Thor Freudenthal,107,100,87,Kevin Dillon,3000,Don Cheadle,16271,5174,Yvette Nicole Brown,4,abandoned hotel|dog|foster home|overalls|playing with a dog,57,English,PG,2009,576,1.85
Martin Campbell,134,124,258,Scott Glenn,867,Nicholas Lea,49536,3424,Ben Mendelsohn,0,death|die hard scenario|k2|rescue|urination,379,English,PG-13,2000,826,1.85
Mike Nichols,269,102,0,Tom Hanks,22000,Philip Seymour Hoffman,88451,60646,Jud Tylor,1,afghanistan|arms dealer|based on true story|cia|texas,289,English,R,2007,15000,1.85
Bibo Bergeron,143,90,10,Martin Scorsese,22000,Robert De Niro,132415,63165,Angelina Jolie Pitt,0,anchor|fish|mobster|shark|vegetarian,288,English,PG,2004,17000,1.85
Bill Condon,241,130,386,Jennifer Hudson,912,Loretta Devine,55901,2856,Anika Noni Rose,0,1960s|fire|pop chart|singer|trio,503,English,PG-13,2006,549,2.35
,12,45,,Brent Sexton,374,Adam Arkin,29450,504,Damian Lewis,1,cop|murder|partner|police|protective male,67,English,,,130,
F. Gary Gray,161,118,473,Christina Milian,12000,Dwayne Johnson,59435,15889,Debi Mazar,4,concert|mobster|russian|sequel|widow,323,English,PG-13,2005,1000,2.4
Steven Spielberg,298,163,14000,Moritz Bleibtreu,745,Ayelet Zurer,176936,2529,Mathieu Amalric,0,arab|black september|israel|jew|munich olympics,824,English,R,2005,486,2.35
Antoine Fuqua,89,142,845,Tom Skerritt,13000,Bruce Willis,93494,16580,Cole Hauser,1,dictator|doctor|jungle|rebel|refugee,394,English,R,2003,1000,2.35
Robert Luketic,140,100,126,Lisa Ann Walter,19000,Tom Selleck,72867,25206,Catherine O'Hara,2,hired killer|marriage|neighbor|on the run|store clerk,120,English,PG-13,2010,1000,2.35
Guy Ritchie,362,116,0,Elizabeth Debicki,15000,Henry Cavill,175960,15735,Christian Berkel,2,box office flop|cia agent|criminal organization|kgb agent|nuclear bomb,360,English,PG-13,2015,509,2.35
