director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,genres,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,content_rating,title_year,actor_2_facebook_likes
Adam McKay,265,116,285,107,12000,Action|Comedy|Crime,20233,Derek Jeter,2,capitalist|detective|investigation|new york city|police,316,PG-13,2010,8000
Chuck Russell,81,115,55,383,1000,Action|Drama|Mystery|Thriller,3454,Roma Maffia,1,assassination attempt|corporate crime|rogue agent|witness|witness protection program,131,R,1996,773
Quentin Tarantino,765,165,16000,265,29000,Drama|Western,40978,Ato Essandoh,1,dynamite|historically inaccurate|ku klux klan|n word|slavery,1193,R,2012,11000
Gary Trousdale,80,91,21,542,2000,Animation|Drama|Family|Musical|Romance,4842,Bill Fagerbakke,0,15th century|cathedral|gypsy|paris|victor hugo,230,G,1996,700
Mark Dindal,141,78,10,253,558,Adventure|Animation|Comedy|Family|Fantasy,2039,John Fiedler,1,antidote|disney|emperor|first part|llama,297,G,2000,452
Simon West,383,103,165,13000,26000,Action|Adventure|Thriller,57881,Bruce Willis,3,church|hostage|mine|plutonium|revenge,474,R,2012,13000
Jon Turteltaub,193,131,226,341,12000,Action|Adventure|Comedy|Family|Mystery,13679,Annie Parisse,0,declaration of independence|secret society|treasure|treasure hunt|treasure hunter,692,PG,2004,625
Stefen Fangmeier,170,104,14,203,3000,Action|Adventure|Family|Fantasy,4487,Gary Lewis,0,dragon|dragon rider|fictional war|sword and fantasy|teenage hero,1690,PG,2006,762
Spike Jonze,333,101,0,279,925,Adventure|Drama|Family|Fantasy,1738,Max Records,0,based on children's book|creature|igloo|imagination|king,388,PG,2009,468
Joe Wright,256,111,456,394,20000,Adventure|Family|Fantasy,21393,Nonso Anozie,4,1940s|child hero|fantasy world|orphan|reference to peter pan,186,PG,2015,548
Chris Wedge,203,102,77,120,14000,Adventure|Animation|Family|Fantasy,14552,Troy Evans,2,father daughter relationship|forest|miniature person|shrinking|sword and fantasy,113,PG,2013,151
Florian Henckel von Donnersmarck,321,103,207,3000,40000,Action|Romance|Thriller,55175,Rufus Sewell,0,police surveillance|surveillance van|tailing a suspect|tourist|venice italy,374,PG-13,2010,11000
Peter Hyams,174,121,0,595,1000,Action|Fantasy|Horror|Mystery,3903,Udo Kier,0,atheist|ex cop|female masturbation|female nudity|lucifer,524,R,1999,1000
Edward Zwick,166,143,380,452,29000,Adventure|Drama|Thriller,33160,Stephen Collins,0,diamond|elephant|fisherman|rebel|sierra leone,657,R,2006,3000
Martin Scorsese,606,240,17000,4000,29000,Biography|Comedy|Crime|Drama,46057,Jon Favreau,3,based on true story|fellatio|female rear nudity|sex in an airplane|stockbroker,1138,R,2013,11000
Joel Schumacher,144,121,541,680,920,Action|Adventure|Fantasy,2880,Debi Mazar,4,love|necktie|partner|rock music|tuxedo,539,PG-13,1995,710
Paul Verhoeven,192,129,719,423,660,Action|Sci-Fi|War,2031,Seth Gilliam,0,alien|federation|future|military|planet,1049,R,1997,475
Tom Tykwer,511,172,670,1000,15000,Drama|Sci-Fi,22686,Jim Broadbent,5,composer|future|letter|nonlinear timeline|nursing home,828,R,2012,5000
Zack Snyder,188,101,0,577,2000,Action|Adventure|Animation|Family|Fantasy,4286,Anthony LaPaglia,1,barn owl|escape|owl|ruler|soldier,160,PG,2010,653
Pitof,212,87,26,566,827,Action|Crime|Fantasy|Romance|Thriller,3144,Alex Borstein,0,based on cult comic book|bechdel test passed|cat|detective|radical transformation,660,PG-13,2004,825
Brett Ratner,245,101,420,467,12000,Action|Adventure,16235,Ingrid Bolsø Berdal,0,army|greek mythology|hercules|king|mercenary,269,PG-13,2014,3000
Ron Clements,127,95,63,720,23000,Adventure|Animation|Family|Sci-Fi,26940,Michael Wincott,0,alien|cyborg|pirate|planet|treasure,217,PG,2002,770
Brad Silberling,167,102,52,526,8000,Adventure|Comedy|Sci-Fi,10552,Bobb'e J. Thompson,1,human versus dinosaur|lizard|primate|time travel|tyrannosaurus rex,224,PG-13,2009,735
Patrick Hughes,320,131,385,11000,26000,Action|Adventure|Thriller,52610,Harrison Ford,15,battle|fight|mission|pg 13 sequel to r rated franchise|rescue,351,PG-13,2014,13000
Ericson Core,163,114,19,848,1000,Action|Crime|Sport|Thriller,3962,Delroy Lindo,1,athlete|extreme sports|fbi|fbi agent|heist,163,PG-13,2015,897
Lawrence Guterman,78,94,6,227,490,Comedy|Family|Fantasy,1195,Ben Stein,0,baby|cartoon on tv|cartoonist|dog|mask,239,PG,2005,294
Ron Howard,289,122,2000,571,26000,Action|Adventure|Biography|Drama|History|Thriller,28328,Frank Dillane,0,emaciation|ship|starvation|vomiting|whale,161,PG-13,2015,911
Ron Underwood,66,95,31,683,3000,Action|Comedy|Sci-Fi,6161,Burt Young,1,casino|future|laser gun|moon|nightclub,164,PG-13,2002,695
