director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_1_facebook_likes,actor_1_name,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,num_user_for_reviews,country,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio
Bill Condon,127,105,386,3000,Brendan Fraser,24977,4238,Kevin J. O'Connor,2,229,USA,3500000,1998,258,7.5,2.35
Juan José Campanella,262,129,195,827,Ricardo Darín,131831,1044,Guillermo Francella,0,231,Argentina,2000000,2009,88,8.2,2.35
George A. Romero,184,87,0,1000,Greg Nicotero,49672,1592,Joseph Pilato,1,419,USA,3500000,1985,177,7.2,1.85
Gideon Raff,33,94,47,430,Gideon Emery,4790,836,Derek Magyar,1,52,USA,,2008,209,4.8,1.85
Sam Raimi,252,37,0,634,Ted Raimi,113451,1347,Kassie Wesley DePaiva,0,537,USA,3600000,1987,328,7.8,1.85
Louis C.K.,31,81,0,560,Wanda Sykes,11399,2238,Robert Vaughn,0,131,USA,3000000,2001,555,5.2,1.85
Anthony C. Ferrante,139,97,48,984,Ian Ziering,34532,3075,Cassandra Scerbo,0,236,USA,1000000,2013,697,3.3,1.78
Salvador Carrasco,39,106,22,174,Elpidia Carrillo,1024,222,Damián Delgado,0,494,Mexico,3500000,1998,16,6.8,1.85
André Øvredal,337,103,12,29,Otto Jespersen,54104,44,Glenn Erland Tosterud,0,199,Norway,19900000,2010,4,7.0,1.85
Robert Cary,30,101,0,827,Frances Conroy,1950,3574,Kevin Sussman,3,24,USA,3500000,2006,729,6.5,1.85
Akiva Schaffer,265,102,82,622,Will Forte,104072,2486,Rosemarie DeWitt,4,207,USA,68000000,2012,591,5.7,2.35
Adam Rapp,50,98,9,11000,Zooey Deschanel,7228,20009,Dallas Roberts,4,53,USA,3500000,2005,8000,6.4,1.85
Angela Robinson,50,91,23,4000,Jordana Brewster,12188,6380,Scoot McNairy,3,135,USA,3500000,2004,756,5.3,2.35
Warren P. Sonoda,9,105,28,426,Diahann Carroll,342,1043,Lara Jean Chorostecki,0,15,Canada,3500000,2016,294,4.7,1.85
Amanda Gusack,15,98,0,368,Alice Krige,1634,668,Blaine Anderson,0,11,USA,3500000,2008,168,6.1,1.85
Avi Nesher,5,104,6,922,Fisher Stevens,372,2406,Robert Townsend,6,20,USA,1000000,1998,893,5.5,1.37
,1,45,,773,James Nesbitt,653,1393,Genevieve O'Reilly,3,4,UK,,,133,7.3,
Charles Adelman,4,96,0,708,Teri Polo,961,2307,Jere Burns,0,12,USA,3500000,2009,574,4.8,2.35
Jay Oliva,44,148,41,2000,Michael Emerson,30434,5526,Grey Griffin,0,55,USA,3500000,2013,774,8.4,
Charles Ferguson,6,100,117,21,Jane Goodall,75,24,Peter Agnefjall,0,2,USA,3500000,2015,3,7.0,
Uwe Boll,17,86,892,603,Bashar Rahal,1285,854,Ralitsa Paskaleva,1,10,Canada,3500000,2014,145,3.3,1.78
Mark Young,7,92,14,2000,Alexa PenaVega,1928,3854,Lew Temple,2,10,USA,3500000,2014,660,5.4,1.85
Daniel Petrie Jr.,9,88,19,795,Chris Brochu,455,2497,Rita Wilson,0,13,,3500000,2014,535,4.8,2.35
Antonio Simoncini,3,90,0,1000,Ray Winstone,610,1183,Glen Murphy,1,18,UK,3440000,2014,53,3.1,2.35
Mel Brooks,55,94,0,1000,Madeline Kahn,15115,2861,Dick Van Patten,0,102,USA,3400000,1977,628,6.7,1.85
Luc Jacquet,169,80,10,11000,Morgan Freeman,45984,11218,Romane Bohringer,0,331,France,8000000,2005,108,7.6,1.85
J.C. Chandor,290,107,78,18000,Kevin Spacey,92599,22834,Ashley Williams,8,225,USA,3500000,2011,2000,7.1,1.85
Eldar Rapaport,10,99,0,141,Murray Bartlett,1262,320,Edward Conna,1,13,USA,,2011,69,6.1,2.35
Clark Gregg,159,92,0,1000,Anjelica Huston,28573,3608,Jonah Bobo,0,72,USA,3000000,2008,585,6.5,1.66
Damien Chazelle,535,107,141,24000,J.K. Simmons,399138,26495,Chris Mulkey,0,731,USA,3300000,2014,970,8.5,2.4
Fernando Meirelles,214,135,353,1000,Alice Braga,533200,1211,Alexandre Rodrigues,0,749,Brazil,3300000,2002,69,8.7,1.85
Justin Kerrigan,47,99,8,798,Danny Dyer,19194,1430,Shaun Parkes,2,160,UK,2200000,1999,472,7.1,1.85
Nathan Frankowski,17,102,19,632,Corbin Bleu,2116,1011,Luis Antonio,7,13,USA,3400000,2012,144,6.6,
Karen Moncrieff,85,93,22,11000,James Franco,12304,11860,Piper Laurie,0,73,USA,,2006,505,6.7,1.85
Thomas Vinterberg,349,115,346,74,Thomas Bo Larsen,170155,216,Hana Shuan,1,249,Denmark,3800000,2012,69,8.3,2.35
Bob Clark,109,94,84,662,Zack Ward,104908,2076,Scott Schwartz,0,458,USA,4000000,1983,577,8.1,1.85
Alejandro Monteverde,60,91,38,625,Armando Riesco,9607,2747,Eduardo Verástegui,0,174,USA,3300000,2006,464,7.4,1.85
Mark L. Lester,101,98,73,595,Roddy McDowall,6549,1105,Timothy Van Patten,4,75,Canada,4300000,1982,251,6.6,1.85
Jennifer Finnigan,1,97,246,756,Geoff Stults,557,3717,Josh Hopkins,5,3,USA,3300000,2014,521,4.5,16.0
Eric Styles,16,92,4,631,Samantha Morton,704,2020,Miriam Margolyes,0,18,USA,2000000,1999,443,6.4,
Laurent Cantet,212,128,39,15,François Bégaudeau,29248,17,Angélica Sancio,7,86,France,,2008,2,7.5,2.35
