director_facebook_likes,cast_total_facebook_likes,movie_imdb_link,num_user_for_reviews,imdb_score,aspect_ratio,movie_facebook_likes
0,3017,http://www.imdb.com/title/tt0337711/?ref_=fn_tt_tt_1,35,5.6,2.35,329
92,3001,http://www.imdb.com/title/tt0279493/?ref_=fn_tt_tt_1,179,5.8,1.85,0
42,6862,http://www.imdb.com/title/tt0403508/?ref_=fn_tt_tt_1,223,6.6,2.35,0
20,7945,http://www.imdb.com/title/tt0271027/?ref_=fn_tt_tt_1,254,6.6,2.35,0
29,18789,http://www.imdb.com/title/tt0852713/?ref_=fn_tt_tt_1,126,5.5,2.35,0
23,3535,http://www.imdb.com/title/tt0388500/?ref_=fn_tt_tt_1,59,5.5,2.35,671
44,6393,http://www.imdb.com/title/tt1647668/?ref_=fn_tt_tt_1,96,7.0,2.39,10000
176,36064,http://www.imdb.com/title/tt0435651/?ref_=fn_tt_tt_1,260,6.5,2.35,58000
29,16400,http://www.imdb.com/title/tt0286788/?ref_=fn_tt_tt_1,194,5.8,2.35,0
108,1340,http://www.imdb.com/title/tt0301470/?ref_=fn_tt_tt_1,316,5.6,2.35,0
7,2822,http://www.imdb.com/title/tt0452625/?ref_=fn_tt_tt_1,150,5.6,1.85,0
43,6867,http://www.imdb.com/title/tt0306685/?ref_=fn_tt_tt_1,185,5.8,2.35,1000
335,12624,http://www.imdb.com/title/tt0274558/?ref_=fn_tt_tt_1,660,7.6,1.85,0
99,20109,http://www.imdb.com/title/tt0454945/?ref_=fn_tt_tt_1,261,6.4,1.85,0
68,794,http://www.imdb.com/title/tt0453451/?ref_=fn_tt_tt_1,235,6.3,1.85,0
27,2730,http://www.imdb.com/title/tt0366174/?ref_=fn_tt_tt_1,144,4.6,2.35,686
0,18442,http://www.imdb.com/title/tt1747958/?ref_=fn_tt_tt_1,41,6.5,2.35,0
59,50927,http://www.imdb.com/title/tt0426931/?ref_=fn_tt_tt_1,364,7.5,2.35,18000
159,1006,http://www.imdb.com/title/tt0127536/?ref_=fn_tt_tt_1,409,7.5,1.85,0
31,667,http://www.imdb.com/title/tt0144120/?ref_=fn_tt_tt_1,292,5.3,1.85,0
130,1548,http://www.imdb.com/title/tt0066473/?ref_=fn_tt_tt_1,159,7.5,2.35,0
14,2176,http://www.imdb.com/title/tt0120185/?ref_=fn_tt_tt_1,261,3.3,1.85,0
234,3850,http://www.imdb.com/title/tt1366344/?ref_=fn_tt_tt_1,114,5.7,1.85,0
82,4378,http://www.imdb.com/title/tt1153706/?ref_=fn_tt_tt_1,50,3.5,1.85,657
0,13495,http://www.imdb.com/title/tt0111161/?ref_=fn_tt_tt_1,4144,9.3,1.85,108000
23,1315,http://www.imdb.com/title/tt0231402/?ref_=fn_tt_tt_1,119,4.8,1.85,387
101,16937,http://www.imdb.com/title/tt0116778/?ref_=fn_tt_tt_1,185,6.9,2.35,3000
81,3784,http://www.imdb.com/title/tt2039393/?ref_=fn_tt_tt_1,145,6.0,2.35,0
