director_name,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,facenumber_in_poster,country,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Jim Fall,13,566,Adam Lamberg,925,1,USA,738,5.3,0
Ric Roman Waugh,29,874,Harold Perrineau,12000,1,USA,1000,6.5,12000
Michael Dougherty,66,562,Conchata Ferrell,3000,0,USA,658,6.2,27000
Robert Rodriguez,0,1000,Salma Hayek,4000,1,USA,4000,6.4,0
Brian Gibson,13,2,Virginia Capers,90,0,USA,22,7.2,0
James Mangold,446,1000,Sylvester Stallone,22000,3,USA,13000,6.9,2000
Joel Gallen,11,971,JoAnna Garcia Swisher,11000,0,USA,983,5.7,0
David Ayer,453,953,Anna Kendrick,15000,2,USA,10000,7.7,38000
Cameron Crowe,488,13000,Bradley Cooper,15000,1,USA,14000,5.4,11000
Rob Cohen,357,883,Leslie Bibb,23000,0,USA,1000,5.6,0
James Marsh,120,149,Emily Watson,13000,0,UK,876,7.7,90000
John Whitesell,14,685,Regina Hall,833,3,USA,807,5.1,0
Matt Williams,18,944,James Frain,20000,2,USA,1000,6.8,0
David Lean,767,87,José Ferrer,607,8,UK,202,8.4,11000
Rob Zombie,0,593,Tyler Mane,908,0,USA,764,4.9,3000
Jean-Marc Vallée,212,612,Kevin Rankin,2000,1,USA,820,7.1,38000
Dennis Iliadis,29,616,Monica Potter,956,0,USA,878,6.6,0
Clare Kilner,6,458,Debra Messing,1000,0,USA,650,6.1,0
Rick Rosenthal,28,731,Thomas Ian Nicholas,2000,5,USA,864,4.1,0
Louis Leterrier,255,850,Jason Flemyng,14000,0,USA,1000,5.8,15000
Rob Reiner,0,594,Carol Kane,18000,0,USA,636,8.1,33000
Denzel Washington,18000,697,Jurnee Smollett-Bell,18000,1,USA,2000,7.6,0
Nicolas Winding Refn,0,228,Albert Brooks,33000,0,USA,745,7.8,81000
Sara Sugarman,10,231,Carol Kane,811,8,Germany,636,4.6,810
Nicholas Hytner,13,106,Tim Daly,818,0,USA,511,6.0,849
Juan Carlos Fresnadillo,35,306,Harold Perrineau,10000,1,UK,1000,7.0,0
Thomas Carter,49,100,Matthew Daddario,116,0,USA,110,6.7,0
Wayne Wang,61,649,Luke Benward,907,5,USA,807,6.4,1000
Gina Prince-Bythewood,107,865,Sanaa Lathan,1000,0,USA,886,7.2,0
George Armitage,5,141,Michael Cudlitz,893,1,USA,822,7.4,0
Phil Traill,3,628,Katy Mixon,14000,3,USA,982,4.8,0
Joe Berlinger,31,162,Erica Leerhsen,193,0,USA,184,4.0,949
Andrew Fleming,26,266,Rachel True,838,0,USA,328,6.2,6000
Woody Allen,11000,400,Mark Gatiss,19000,3,UK,567,7.7,0
Elizabeth Allen Rosenbaum,20,125,Hutch Dano,512,2,USA,316,6.7,0
James Ivory,133,258,Peter Vaughan,12000,1,UK,310,7.9,0
Paul Thomas Anderson,0,170,Nicole Ari Parker,3000,15,USA,360,7.9,0
Robert Harmon,11,232,Rosanna Arquette,1000,0,USA,605,5.5,466
Michael Mayer,15,461,Danny Pino,1000,0,USA,786,6.2,1000
Martin Weisz,7,399,Daniella Alonso,919,0,USA,557,5.1,0
John Ottman,83,579,Joey Lawrence,912,2,USA,786,4.1,243
Jay Russell,13,613,Sissy Spacek,882,2,USA,874,6.7,0
John Bonito,8,129,Firass Dirani,472,1,USA,239,4.7,0
Peter Atencio,10,415,Will Forte,826,2,USA,622,6.4,0
Shana Feste,19,461,Cinda McCain,3000,4,Official site,646,6.3,0
David Nutter,119,918,Ethan Embry,989,3,Australia,982,5.5,673
Derek Cianfrance,310,619,Ben Mendelsohn,33000,3,USA,748,7.3,47000
Roger Donaldson,79,537,Akie Kotabe,775,2,USA,614,6.3,0
Stephan Elliott,11,159,Patrick Bergin,471,1,Canada,308,4.9,327
Kathryn Bigelow,0,383,Christian Camargo,10000,0,USA,602,7.6,16000
Mark L. Lester,73,563,George C. Scott,695,1,USA,654,6.0,0
Andrew Dominik,181,748,Sam Shepard,11000,1,USA,820,6.2,20000
Anton Corbijn,210,123,Nina Hoss,22000,3,UK,164,6.8,13000
Tom Green,374,484,Harland Williams,826,1,USA,503,4.5,0
Mike Nawrocki,12,23,Cam Clarke,354,0,USA,173,5.7,175
Catherine Owens,0,44,The Edge,468,0,USA,67,8.4,116
Douglas Aarniokoski,36,377,Adrian Paul,1000,1,USA,786,4.6,356
Bryan Barber,16,526,Faizon Love,907,4,USA,585,6.2,489
Lone Scherfig,92,358,Jim Sturgess,11000,0,USA,5000,7.0,49000
Drew Barrymore,0,727,Jimmy Fallon,796,1,USA,787,6.9,10000
Brian Koppelman,34,366,Tom Noonan,14000,1,USA,442,6.1,566
James Foley,164,308,Brian Van Holt,436,3,USA,324,6.7,622
Albert Brooks,745,745,Bradley Whitford,12000,2,USA,821,5.6,251
Irwin Winkler,34,65,Keith Allen,427,7,USA,66,6.6,1000
Woody Allen,11000,563,Larry David,11000,0,USA,860,6.4,877
Steve Gomer,9,47,Kyla Pratt,595,0,Canada,417,2.8,436
RZA,561,353,RZA,746,3,USA,561,5.4,29000
Dean Parisot,23,629,Jake Busey,925,2,USA,660,5.0,247
Mark Piznarski,4,670,Chris Klein,989,1,USA,841,5.1,648
Terry Gilliam,0,1000,Bob Hoskins,22000,0,UK,5000,8.0,16000
Sean McNamara,80,782,Rebecca De Mornay,1000,0,USA,872,5.9,1000
,,186,Nicole de Boer,443,1,Canada,319,7.5,576
Joel Coen,0,12000,Jeff Bridges,22000,1,USA,12000,8.2,35000
Craig Brewer,153,539,Michael Raymond-James,3000,0,USA,788,7.0,0
Ron Shelton,41,274,Dash Mihok,556,1,USA,463,6.6,455
Michael Winterbottom,187,254,Archie Panjabi,11000,0,USA,883,6.7,923
David Raynr,9,612,Jodi Lyn O'Keefe,11000,4,USA,897,5.5,816
Mort Nathan,2,461,Lin Shaye,890,4,USA,852,4.9,1000
Oliver Parker,32,692,Tom Wilkinson,14000,5,UK,1000,6.9,0
Dan Curtis,45,224,Campbell Scott,1000,1,USA,393,7.4,515
Wil Shriner,6,596,Neil Flynn,8000,0,USA,625,5.6,647
Martin McDonagh,454,39,Anna Madeley,65,1,UK,49,8.0,32000
Tina Gordon Chism,24,426,S. Epatha Merkerson,931,6,USA,539,5.3,0
Peter Cattaneo,11,1000,Bradley Cooper,15000,4,USA,14000,6.2,0
Vicky Jenson,96,360,Zach Gilford,24000,1,USA,971,5.3,0
Gus Van Sant,835,363,Hal Holbrook,13000,1,USA,826,6.6,10000
Woody Allen,11000,386,Michael McKean,860,1,USA,658,7.2,10000
Mary Lambert,52,275,Susan Ward,477,4,USA,397,4.6,157
Tommy Lee Jones,0,289,Dwight Yoakam,572,2,France,324,7.5,0
Peter Kassovitz,0,693,Mark Margolis,49000,2,France,1000,6.5,0
Shane Black,1000,611,Corbin Bernsen,21000,2,USA,1000,7.6,0
Rodman Flender,6,577,Fred Willard,890,0,USA,729,6.2,0
David Lynch,0,669,Robert Forster,6000,1,France,889,8.0,16000
Katja von Garnier,18,220,Agnes Bruckner,837,0,USA,400,5.5,0
Woody Allen,11000,557,Naomi Watts,12000,0,USA,6000,6.3,0
Mark Romanek,132,844,Charlie Rowe,10000,0,UK,882,7.2,33000
,,527,Tom Hollander,857,3,USA,555,7.9,733
Brad Anderson,122,25,Eduardo Noriega,918,0,Spain,278,6.7,0
Michael Chapman,70,90,Pamela Reed,876,0,USA,324,5.3,843
Antonio Banderas,0,617,Elizabeth Perkins,783,0,USA,664,6.3,391
Michael Haneke,0,287,Siobhan Fallon Hogan,6000,0,USA,294,6.5,0
Khalil Sullins,5,46,Kalim Chandler,192,0,Cambodia,134,5.6,708
Atom Egoyan,460,71,Elaine Cassidy,5000,0,Canada,203,7.0,284
Fritz Lang,756,18,Gustav Fröhlich,136,1,Germany,23,8.3,12000
Pierre Morel,180,58,Cyril Raffaelli,510,2,France,297,7.2,0
Gary Fleder,39,642,Bill Cobbs,12000,2,USA,970,6.8,0
Hsiao-Hsien Hou,141,56,Chen Chang,1000,1,Taiwan,103,6.4,0
Gregor Jordan,34,730,Scott Glenn,936,1,UK,826,6.9,664
Andrey Zvyagintsev,445,9,Vladimir Garin,20,0,Russia,13,8.0,0
Tony Jaa,0,7,Petchtai Wongkamlao,64,0,Thailand,45,6.2,0
Neil Marshall,197,570,JJ Feild,13000,0,UK,794,6.4,0
Russell Mulcahy,85,40,Gina Bellman,825,0,Canada,476,5.6,154
Ryûhei Kitamura,129,1000,Brooke Shields,14000,0,USA,1000,6.1,0
Darrell Roodt,36,2,Wendy Crewson,549,2,South Africa,248,6.0,705
Dito Montiel,68,642,Al Pacino,17000,5,USA,14000,5.1,0
Stefan Ruzowitzky,24,125,Udo Kier,776,1,Germany,595,4.5,193
Jake Paltrow,17,66,Gael Le Cornec,1000,1,USA,165,5.9,445
Juraj Jakubisko,15,576,Hans Matheson,735,1,Slovakia,627,6.0,0
Anthony Silverston,0,912,Steve Buscemi,14000,0,South Africa,12000,5.8,0
Gabe Ibáñez,19,537,Robert Forster,1000,0,Bulgaria,889,6.1,13000
Gerry Lively,93,51,Lucy Gaskell,179,0,Germany,55,4.9,473
Daniele Luchetti,6,50,Rodrigo De la Serna,61,0,Italy,57,5.7,18
Tung-Shing Yee,3,19,Daniel Wu,556,4,Hong Kong,353,7.1,821
Julien Temple,67,303,Dexter Fletcher,631,1,UK,452,6.6,277
Harold Ramis,11000,512,Chris Elliott,13000,1,USA,571,8.1,38000
Gregory Jacobs,13,642,Channing Tatum,20000,3,USA,17000,5.7,41000
Baz Luhrmann,1000,954,Harold Perrineau,29000,2,USA,1000,6.8,10000
Gilles Paquet-Brenner,15,121,Aidan Quinn,1000,2,France,767,7.5,0
Peter Cousens,5,124,David Rasche,467,2,USA,220,6.2,998
Clint Eastwood,16000,638,Morgan Freeman,16000,1,USA,11000,8.3,10000
Lars von Trier,3000,236,Jeremy Davies,3000,1,Denmark,769,7.4,1000
Danny Boyle,0,40,Saurabh Shukla,668,0,UK,56,8.0,13000
Adrian Lyne,213,249,Lois Smith,886,0,USA,276,6.9,3000
Garry Marshall,0,700,Hector Elizondo,8000,2,USA,995,6.9,11000
John Blanchard,0,176,Andrea Martin,770,2,Canada,179,9.5,0
John Cornell,5,57,Linda Kozlowski,442,1,Australia,162,5.5,489
Vidhu Vinod Chopra,34,277,Chris Marquette,892,0,USA,355,5.7,0
Oliver Stone,0,560,Tom Berenger,10000,0,USA,854,7.2,4000
Jon Turteltaub,226,496,Leon,953,1,USA,730,6.9,0
Patrick Lussier,71,725,Jaime King,10000,0,USA,960,5.5,0
Ole Bornedal,30,309,Madison Davenport,941,0,USA,459,5.9,17000
Ted Kotcheff,270,535,Brian Dennehy,13000,1,USA,954,7.7,0
Sylvain White,41,748,Laz Alonso,997,0,USA,826,5.2,0
Lewis Gilbert,43,238,Desmond Llewelyn,456,2,UK,244,7.1,0
,,84,Steve Gonsalves,155,0,USA,130,6.6,373
Jamie Blanks,9,648,Loretta Devine,975,4,USA,912,5.5,0
Stephen Frears,350,418,Peter Capaldi,18000,2,USA,17000,7.7,0
Tyler Perry,0,490,Phylicia Rashad,849,1,USA,597,5.4,0
Randal Kleiser,116,25,Klaus Maria Brandauer,327,1,USA,172,6.7,0
Bruce McCulloch,54,636,Elaine Hendrix,8000,1,USA,670,5.0,2000
Phyllida Lloyd,58,583,Jim Broadbent,11000,1,UK,1000,6.4,18000
Mike Nawrocki,12,8,Mike Nawrocki,23,0,USA,12,6.6,184
John Singleton,309,279,Khandi Alexander,592,0,USA,556,5.9,0
Kevin Bray,10,111,Roger Guenveur Smith,706,2,USA,266,5.7,530
Wes Craven,0,364,W. Earl Brown,723,1,USA,422,4.5,1000
John Boorman,128,467,Richard Burton,931,7,USA,726,3.7,889
Courtney Solomon,31,50,James D'Arcy,874,0,UK,613,5.0,0
David Zucker,119,636,Tyler Labine,869,2,USA,779,4.6,411
David Twohy,123,690,Milla Jovovich,26000,4,USA,14000,6.5,4000
Rick Famuyiwa,44,625,Lance Gross,953,2,USA,849,4.9,1000
Alan Cohn,0,654,Linda Cardellini,3000,0,USA,2000,6.0,645
Franco Zeffirelli,160,55,Joan Plowright,718,6,Italy,330,6.9,970
Tom Holland,85,514,Bethany Joy Lenz,1000,0,USA,855,5.7,0
Martin Scorsese,17000,213,Liza Minnelli,22000,0,USA,740,6.7,932
Spike Lee,0,534,Delroy Lindo,1000,0,USA,848,6.9,905
Chris Rock,0,458,Eliza Coupe,12000,3,USA,490,5.5,488
James Isaac,52,489,Kane Hodder,1000,1,USA,935,4.4,0
Shawn Levy,189,799,Donald Faison,934,1,USA,927,5.4,896
Emilio Estevez,0,383,Nick Cannon,12000,0,USA,593,7.0,0
Mark Waters,70,169,Ivana Milicevic,878,5,USA,834,5.4,613
Josh Schwartz,90,635,Jackson Nicoll,962,1,USA,925,5.4,0
Julian Schnabel,232,177,Mathieu Amalric,413,1,France,412,8.0,13000
Todd Field,143,280,Noah Emmerich,14000,0,USA,617,7.6,5000
Davis Guggenheim,49,191,Sharon Lawrence,12000,5,USA,215,5.9,853
Tony Goldwyn,956,113,Julie Kavner,10000,1,USA,233,6.6,860
Phillip Noyce,176,15,Terry Pheto,543,3,France,113,6.7,447
Stephen Carpenter,12,102,Angela Featherstone,159,4,USA,102,3.9,231
James Ivory,133,5,Todd Boyce,423,1,France,15,5.7,127
Stephan Elliott,11,548,Kristin Scott Thomas,14000,4,UK,1000,6.7,2000
James Fargo,109,324,Joseph Cotten,16000,0,Iran,469,6.5,76
Mike Leigh,608,43,Ruth Sheen,149,0,UK,44,6.8,0
Alain Resnais,752,59,Sara Forestier,412,0,France,74,6.3,512
Costa-Gavras,333,284,Mathieu Kassovitz,380,2,France,326,7.3,0
Chao-Bin Su,2,21,Shawn Yue,149,2,China,32,6.9,1000
Neil Burger,168,322,Katherine LaNasa,697,0,USA,329,7.0,702
Kenneth Lonergan,50,338,Kieran Culkin,13000,1,USA,1000,6.5,0
Bo Zenga,10,378,Kenan Thompson,826,7,Canada,521,3.6,934
Rob Reiner,0,767,Rebecca De Mornay,1000,0,USA,872,7.7,14000
Ang Lee,0,11000,Heath Ledger,15000,0,USA,13000,7.7,13000
Jonathan Liebesman,473,429,Danny Woodburn,833,0,USA,809,5.9,62000
Amy Heckerling,143,201,Dan Hedaya,927,1,USA,281,6.8,0
Todd Haynes,162,135,Celia Weston,2000,2,USA,258,7.4,0
Steve Pink,38,390,Gillian Jacobs,3000,4,USA,837,5.1,0
,,2,Olaf Lubaszenko,20,0,Poland,3,9.1,0
Philip Kaufman,133,170,Stephen Marcus,14000,1,UK,230,7.4,0
Martin McDonagh,454,816,Gabourey Sidibe,2000,7,UK,906,7.2,52000
Kasi Lemmons,148,400,Tamara Tunie,539,0,USA,508,6.0,329
,,2,Marian Dziedziel,70,4,Poland,2,7.4,64
Oliver Hirschbiegel,101,471,Bruno Ganz,918,0,Germany,653,8.3,14000
Alejandro Amenábar,448,93,Lola Dueñas,273,1,Spain,114,8.1,0
Jonathan Glazer,143,21,Paul Brannigan,19000,0,UK,50,6.3,29000
Barry Levinson,272,227,J.T. Walsh,49000,1,USA,263,7.3,0
Hyung-rae Shim,26,385,Stephanie Danielson,898,5,South Korea,391,3.6,502
Jon M. Chu,209,41,Sean Kingston,569,1,USA,69,1.6,62000
Darren Aronofsky,0,1000,Mila Kunis,20000,1,USA,15000,8.0,106000
José Padilha,294,1000,Abbie Cornish,10000,0,USA,2000,6.2,60000
Francis Ford Coppola,0,3000,Al Pacino,22000,1,USA,14000,9.0,14000
Thomas Carter,49,237,Terry Kinney,656,0,USA,363,6.1,0
Renny Harlin,212,54,Rodney Eastman,130,0,USA,125,5.7,0
Patricia Riggen,36,579,Brighton Sharbino,3000,0,USA,3000,6.8,16000
Danny Leiner,8,612,Mary Lynn Rajskub,3000,2,USA,934,5.5,0
Christopher Cain,58,316,Patrick Wayne,549,5,USA,439,6.8,0
Theodore Melfi,51,360,Naomi Watts,13000,3,USA,6000,7.3,33000
Steve Pink,38,460,Regina Hall,833,4,USA,807,6.1,0
Gil Junger,19,835,Heath Ledger,23000,6,USA,13000,7.2,10000
Ed Decter,13,301,Eddie Griffin,11000,1,USA,489,5.9,1000
Gene Quintano,0,182,Lin Shaye,11000,2,USA,852,6.1,0
Jaume Collet-Serra,174,2,Brett Cullen,619,0,USA,350,6.8,0
Eric Bress,19,829,Eric Stoltz,8000,0,USA,902,7.7,15000
Chris Koch,13,329,Mark Webber,571,1,USA,442,4.9,0
Preston A. Whitmore II,17,912,Chris Brown,1000,9,USA,997,6.1,0
Bob Clark,84,782,Dom DeLuise,899,2,USA,842,2.5,0
Kirk Wong,6,459,Elliott Gould,904,5,USA,471,6.1,934
Bronwen Hughes,15,388,Eartha Kitt,694,1,USA,558,5.9,833
John Lafia,5,435,Beth Grant,659,0,USA,628,5.7,0
Sam Miller,12,334,Kate del Castillo,1000,2,USA,345,5.6,0
Frank Darabont,0,745,Alexa Davalos,2000,0,USA,850,7.2,20000
Alex Garland,232,123,Sonoya Mizuno,149,0,UK,145,7.7,109000
Spike Jonze,0,213,Orson Bean,512,2,USA,216,7.8,0
Mark Brown,7,405,Vivica A. Fox,939,2,USA,890,6.1,593
Dave Green,13,140,Ella Wahlestedt,803,0,USA,587,5.8,0
John Stockwell,134,525,Jay Hernandez,4000,2,USA,1000,6.5,0
Clint Eastwood,16000,78,Kazunari Ninomiya,378,0,USA,85,7.9,5000
Michael Polish,35,844,Virginia Madsen,24000,0,USA,912,6.3,862
Daisy von Scherler Mayer,18,744,Jada Pinkett Smith,1000,0,USA,851,3.8,204
Lenny Abrahamson,412,491,Jacob Tremblay,805,0,Ireland,681,8.3,72000
Bob Saget,799,294,Jack Warden,721,0,Canada,359,6.4,679
John Waters,0,650,Sam Waterston,899,4,USA,849,6.7,3000
Andrew Fleming,26,4000,Will Ferrell,16000,2,France,8000,6.1,0
Niels Arden Oplev,76,75,David Dencik,690,0,Sweden,94,8.1,22
Craig Bolotin,7,730,Vanessa Williams,3000,3,USA,1000,6.0,251
Mark Christopher,15,812,Ellen Albertini Dow,4000,4,USA,957,5.8,0
Blair Hayes,2,690,Geoffrey Arend,15000,0,USA,816,5.6,0
Jez Butterworth,16,258,Mathieu Kassovitz,567,1,UK,326,6.1,618
Jon Lucas,24,499,Josie Loren,552,0,USA,528,5.9,11000
Olivier Assayas,107,280,Miranda Richardson,12000,0,France,530,7.3,0
Rod Lurie,37,548,Kathryn Morris,748,1,USA,573,6.8,689
Paul Weitz,80,252,Sarita Choudhury,2000,2,USA,257,5.7,5000
Patrice Leconte,83,8,Daniel Auteuil,2000,1,France,370,7.3,186
Atom Egoyan,460,73,Meghan Heffern,14000,2,USA,153,6.3,0
Paul Mazursky,150,150,Ryan O'Neal,979,3,USA,385,5.9,69
Jim Sheridan,260,1000,Jake Gyllenhaal,20000,0,USA,15000,7.1,10000
Sidney Lumet,0,968,Vin Diesel,22000,2,Germany,14000,7.1,0
Stephen Chbosky,139,850,Ezra Miller,8000,2,USA,3000,8.0,131000
Jon Hess,29,147,Ian Gomez,683,1,USA,155,5.1,107
Douglas McGrath,41,442,Isabella Rossellini,2000,4,USA,812,7.1,0
Michael Winterbottom,187,887,Sarah Polley,14000,4,UK,900,6.5,141
Mark Neveldine,83,794,Alison Lohman,3000,0,USA,1000,4.5,0
Joe Cornish,115,304,Luke Treadaway,1000,6,UK,305,6.6,18000
Angelina Jolie Pitt,11000,116,Nikola Djuricko,306,0,USA,164,4.3,0
Brad Anderson,122,383,Tara Platt,873,0,USA,461,6.7,23000
John H. Lee,32,29,Dean Dawson,14000,1,South Korea,81,6.8,139
John Stainton,0,234,Aden Young,477,0,Australia,238,5.4,332
Glenn Ficarra,43,113,Louis Herthum,170,0,France,157,6.6,11000
Jean-Jacques Annaud,218,91,Everett McGill,581,0,Canada,201,7.4,0
Denzel Washington,18000,543,Kevin Connolly,18000,0,USA,638,7.3,0
Michael Hoffman,97,355,Embeth Davidtz,13000,1,USA,795,6.9,0
Tony Scott,12000,975,Gary Oldman,11000,3,USA,10000,8.0,15000
Benedek Fliegauf,28,1000,Matt Smith,6000,1,Germany,2000,6.4,0
James Foley,164,99,Al Pacino,18000,1,USA,14000,7.8,0
Michael Winterbottom,187,204,Ned Beatty,818,0,USA,467,6.1,0
Paul Schrader,261,697,Ruby Dee,783,1,USA,782,6.1,0
Stewart Hendler,10,472,Margo Harshman,1000,2,USA,668,5.1,0
John Cromwell,19,135,Mary Astor,490,2,USA,185,7.8,337
Craig Gillespie,44,552,Kelli Garner,33000,1,USA,730,7.4,19000
Mark Herman,39,18,Sheila Hancock,77,0,UK,32,7.8,38000
Lars von Trier,3000,322,Udo Kier,963,0,Denmark,595,8.0,0
Gillian Armstrong,44,241,Richard Roxburgh,1000,2,USA,653,6.7,329
Abel Ferrara,220,599,Vincent Gallo,812,3,USA,787,6.6,344
Brian Koppelman,34,506,David Costabile,966,7,USA,681,6.4,0
Ethan Maniquis,20,844,Don Johnson,22000,1,USA,982,6.7,44000
George Hickenlooper,60,168,Eric Schweig,18000,5,Canada,322,6.2,0
Don Bluth,383,191,Gabriel Damon,912,0,USA,320,7.3,5000
Je-kyu Kang,16,489,Bin Won,717,2,South Korea,517,8.1,0
William Dear,50,655,Cheech Marin,968,0,Canada,844,7.0,0
William Friedkin,607,259,Linda Blair,1000,0,USA,931,8.0,18000
Steven Spielberg,14000,366,Robert Shaw,813,0,USA,559,8.0,21000
Paul Weitz,80,1000,Shannon Elizabeth,3000,6,USA,1000,7.0,0
Stéphane Aubier,2,186,Megan Mullally,6000,0,France,637,7.9,0
Michael Ritchie,23,148,Randall 'Tex' Cobb,400,1,USA,255,5.9,0
Tim Story,167,807,Romany Malco,997,8,USA,966,6.6,0
Tim Story,167,436,Jason George,656,0,USA,528,6.3,770
Nicholas Meyer,120,664,Kirstie Alley,12000,2,USA,980,7.7,0
Tom Shadyac,293,567,Udo Kier,759,1,USA,595,6.9,0
John Badham,139,793,Barry Corbin,2000,0,USA,883,7.1,0
Peter Weir,608,733,Viggo Mortensen,11000,1,USA,10000,7.4,0
Mike McCoy,16,11,Jason Cottle,93,0,USA,17,6.5,15000
Anne Fletcher,98,920,Alyson Stoner,17000,0,USA,2000,6.5,0
Mike Judge,406,616,Demi Moore,13000,0,USA,2000,6.8,0
Quentin Tarantino,16000,889,Sid Haig,22000,5,USA,1000,7.5,0
Jon Hurwitz,22,816,Eric Winter,1000,2,USA,954,6.6,0
Josh Trank,128,371,Alex Russell,963,0,USA,465,7.1,32000
Barbra Streisand,0,122,Amy Irving,405,1,UK,194,6.6,0
Terry Gilliam,0,504,Michael Palin,629,0,UK,561,7.0,0
Tamra Davis,33,135,Katherine Boecher,1000,1,USA,188,3.3,0
Nima Nourizadeh,166,281,Kirby Bliss Blanton,971,0,USA,329,6.7,29000
Franklin J. Schaffner,76,78,Karl Malden,654,0,USA,416,8.0,0
Mark Romanek,132,933,Gary Cole,49000,0,USA,989,6.8,0
John Erick Dowdle,66,1000,Jay Hernandez,137000,0,USA,1000,6.0,0
David Moreau,0,451,Alessandro Nivola,17000,1,USA,527,5.4,0
Christopher Erskin,4,826,Shannon Elizabeth,1000,5,USA,1000,4.3,243
Jesse Dylan,58,722,Fred Willard,995,2,USA,729,6.2,0
