num_critic_for_reviews,duration,actor_3_facebook_likes,actor_1_facebook_likes,gross,actor_1_name,num_voted_users,facenumber_in_poster,plot_keywords,movie_imdb_link,language,country,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
309,101,423,17000,18656400,Kristen Stewart,86077,1,alzheimer's disease|bechdel test passed|linguistics professor|new york city|reference to angels in america the play,http://www.imdb.com/title/tt3316960/?ref_=fn_tt_tt_1,English,USA,2014,2000,7.5,45000
15,139,422,535,,Gene Tierney,2498,0,afterlife|egypt|pharaoh|princess|pyramid,http://www.imdb.com/title/tt0046949/?ref_=fn_tt_tt_1,English,USA,1954,440,6.6,376
36,99,142,13000,,Sylvester Stallone,12519,2,bomb|new york city|partner|shooting|terrorist,http://www.imdb.com/title/tt0082817/?ref_=fn_tt_tt_1,English,USA,1981,970,6.4,0
129,100,65,935,14343976,Kane Hodder,22961,0,cult film|friday the thirteenth|hockey mask|jason voorhees|murder spree,http://www.imdb.com/title/tt0097388/?ref_=fn_tt_tt_1,English,USA,1989,120,4.5,1000
168,95,249,567,241437427,Nia Vardalos,102071,3,baptism|greek|greek restaurant|prejudice|travel agency,http://www.imdb.com/title/tt0259446/?ref_=fn_tt_tt_1,English,USA,2002,312,6.6,5000
444,94,192,11000,14123773,James Franco,108683,4,kissing a dead body|repeated dialogue|sex in pool|spring break|twins,http://www.imdb.com/title/tt2101441/?ref_=fn_tt_tt_1,English,USA,2012,892,5.3,25000
123,93,141,742,15126948,Donald Pleasence,20815,0,halloween|michael myers|nudity|returning character with different actor|slasher flick,http://www.imdb.com/title/tt0113253/?ref_=fn_tt_tt_1,English,USA,1995,152,4.9,0
173,106,19,269,13622333,Maribel Verdú,91377,1,beach|cleaning a swimming pool|male male kiss|mexico|on the road,http://www.imdb.com/title/tt0245574/?ref_=fn_tt_tt_1,Spanish,Mexico,2001,43,7.7,0
246,99,358,605,13464388,Peter Serafinowicz,395921,6,british horror|pub|record collection|zombie|zombie apocalypse,http://www.imdb.com/title/tt0365748/?ref_=fn_tt_tt_1,English,UK,2004,427,8.0,19000
74,82,664,1000,13350177,Jessica Lowndes,7904,5,18th birthday|birthday|community center|resurrection|teenager,http://www.imdb.com/title/tt1045655/?ref_=fn_tt_tt_1,English,USA,2008,984,3.8,562
68,135,111,11000,13269963,Matthew McConaughey,23202,2,father son relationship|interracial relationship|neo western|sheriff|texas,http://www.imdb.com/title/tt0116905/?ref_=fn_tt_tt_1,English,USA,1996,189,7.6,0
144,88,101,742,17768000,Donald Pleasence,29629,0,halloween|michael myers|murder|niece|october,http://www.imdb.com/title/tt0095271/?ref_=fn_tt_tt_1,English,USA,1988,120,5.9,0
96,89,85,690,12947763,Thomas F. Wilson,10624,0,april fool's day|island|mansion|psycho|secret,http://www.imdb.com/title/tt0090655/?ref_=fn_tt_tt_1,English,USA,1986,190,6.2,0
42,110,551,801,14100000,Steve Guttenberg,14995,6,baltimore colts|diner|marriage|salesman|wedding,http://www.imdb.com/title/tt0083833/?ref_=fn_tt_tt_1,English,USA,1982,796,7.2,0
29,107,268,926,12200000,David Carradine,7973,0,drugs|martial arts|texas|texas ranger|weapon,http://www.imdb.com/title/tt0085862/?ref_=fn_tt_tt_1,English,USA,1983,400,6.3,0
228,86,205,520,17683670,Warren Christie,47227,0,cosmonaut|footprint|found footage|moon|secret mission,http://www.imdb.com/title/tt1772240/?ref_=fn_tt_tt_1,English,USA,2011,270,5.2,0
195,91,260,968,12055108,Clifton Collins Jr.,61151,0,business|crime scene cleanup|private school|school|sister sister relationship,http://www.imdb.com/title/tt0862846/?ref_=fn_tt_tt_1,English,USA,2008,934,6.9,0
203,103,13,155,27285953,Sterling Jerins,48675,0,asia|fictional country|hotel|rebellion|revolution,http://www.imdb.com/title/tt1781922/?ref_=fn_tt_tt_1,English,USA,2015,78,6.8,16000
44,90,826,21000,,Vanna Bonta,15345,0,breasts|critically acclaimed|female frontal nudity|psychotronic film|sword and sorcery,http://www.imdb.com/title/tt0083630/?ref_=fn_tt_tt_1,English,USA,1982,982,6.2,0
14,141,70,746,,Gina Lollobrigida,2017,2,king|pharaoh|queen|queen of sheba|tribe,http://www.imdb.com/title/tt0053290/?ref_=fn_tt_tt_1,English,USA,1959,333,6.2,270
59,92,355,729,11675178,Fred Willard,9509,4,color in title|parody|reference to cuba gooding jr|reference to netflix|written by star,http://www.imdb.com/title/tt4667094/?ref_=fn_tt_tt_1,English,USA,2016,706,3.5,11000
45,99,409,849,10572742,Eddie Cibrian,2326,1,african american protagonist|based on novel|title spoken by character,http://www.imdb.com/title/tt0795438/?ref_=fn_tt_tt_1,English,USA,2009,578,6.1,738
42,79,99,998,,Gary Cooper,3519,1,1910s|ambulance driver|italy|lake|nurse,http://www.imdb.com/title/tt0022879/?ref_=fn_tt_tt_1,English,USA,1932,164,6.6,213
12,96,503,927,9658370,Donald Faison,1180,6,,http://www.imdb.com/title/tt4871980/?ref_=fn_tt_tt_1,English,USA,2016,509,4.5,740
29,82,44,93,9628751,Lara Jill Miller,5164,0,based on video game|box office hit|computer|digimon|internet,http://www.imdb.com/title/tt0259974/?ref_=fn_tt_tt_1,English,USA,2000,45,5.9,207
121,92,797,3000,8786715,Macaulay Culkin,40274,5,christian|jewish|pastor|school|virginity,http://www.imdb.com/title/tt0332375/?ref_=fn_tt_tt_1,English,USA,2004,835,6.9,0
135,112,21,150,3432342,Marie-Josée Croze,24921,2,cancer|dying|friend|money|socialist,http://www.imdb.com/title/tt0338135/?ref_=fn_tt_tt_1,French,Canada,2003,28,7.7,0
27,106,136,559,,Robert Shaw,8930,10,crusades|friar|robin hood|sheriff|sheriff of nottingham,http://www.imdb.com/title/tt0075147/?ref_=fn_tt_tt_1,English,USA,1976,249,6.6,672
56,90,560,847,6755271,Brendan Fehr,7319,4,flashing breasts|hitchhiker|vampire|vampire hunter|virus,http://www.imdb.com/title/tt0245120/?ref_=fn_tt_tt_1,English,USA,2001,591,5.3,327
22,126,576,11000,,Harrison Ford,13587,2,colonel|mission|partisan|spy|traitor,http://www.imdb.com/title/tt0077572/?ref_=fn_tt_tt_1,English,UK,1978,794,6.3,729
59,150,448,859,6157157,Fran Drescher,21416,1,gambling|imagination|television|television station|tv show,http://www.imdb.com/title/tt0098546/?ref_=fn_tt_tt_1,English,USA,1989,448,7.0,0
61,90,556,2000,6088249,Linda Cardellini,67853,0,co worker|game tester|loss of virginity|roommate|snack,http://www.imdb.com/title/tt0456554/?ref_=fn_tt_tt_1,English,USA,2006,936,7.0,0
60,91,572,1000,5480318,Natasha Lyonne,9427,0,flatulence|menstrual blood|nomad|nursing school|title directed by female,http://www.imdb.com/title/tt0120831/?ref_=fn_tt_tt_1,English,USA,1998,778,6.6,462
164,145,392,973,,Claudia Cardinale,216005,1,gang|gun|harmonica|killing|woman in bathtub,http://www.imdb.com/title/tt0064116/?ref_=fn_tt_tt_1,English,Italy,1968,423,8.6,10000
81,95,334,4000,5308707,Jon Favreau,15053,2,friendship|loudmouth|money laundering|new york city|stripper,http://www.imdb.com/title/tt0227005/?ref_=fn_tt_tt_1,English,USA,2001,585,6.4,393
415,97,372,18000,5009677,Kevin Spacey,260607,0,computer|contract|earth|moon|solitude,http://www.imdb.com/title/tt1182345/?ref_=fn_tt_tt_1,English,UK,2009,572,7.9,47000
43,90,701,2000,4328294,Miranda Cosgrove,2719,0,bar mitzvah|carried in a chair|hebrew|party|rite of passage,http://www.imdb.com/title/tt0415949/?ref_=fn_tt_tt_1,English,USA,2006,847,5.4,249
7,41,0,55,4074023,Norbert Ferrer,296,0,3d|imax|plesiosaur|sea|water,http://www.imdb.com/title/tt1529567/?ref_=fn_tt_tt_1,English,UK,2010,0,6.9,89
120,112,395,990,4306697,Bruce Greenwood,26720,0,anger|bus|child|lawyer|school,http://www.imdb.com/title/tt0120255/?ref_=fn_tt_tt_1,English,Canada,1997,900,7.7,920
195,122,32,186,3950029,Lambert Wilson,12411,0,catholic church|community|monastery|monk|terrorist,http://www.imdb.com/title/tt1588337/?ref_=fn_tt_tt_1,French,France,2010,135,7.2,0
109,110,39,25000,4040588,Alan Rickman,12233,0,airport|california|flat tire|overalls|wine,http://www.imdb.com/title/tt0914797/?ref_=fn_tt_tt_1,English,USA,2008,579,6.8,0
21,87,83,922,,Cassandra Peterson,881,0,breasts growing|coors light|drugs|hospital|spinning in grave,http://www.imdb.com/title/tt0084171/?ref_=fn_tt_tt_1,English,USA,1982,162,6.2,323
93,108,88,14000,3049135,Kate Winslet,50197,2,fantasy life|friend|friendship|love|teenage crush,http://www.imdb.com/title/tt0110005/?ref_=fn_tt_tt_1,English,New Zealand,1994,433,7.4,0
12,121,473,4000,4700361,Hayden Christensen,2047,0,heaven|hospital|praying|pronounced dead|recovery,http://www.imdb.com/title/tt4337690/?ref_=fn_tt_tt_1,English,USA,2015,849,4.6,0
155,97,939,8000,2711210,Will Ferrell,40305,1,alcoholic|beer|bicycle|new neighbor|yard sale,http://www.imdb.com/title/tt1531663/?ref_=fn_tt_tt_1,English,USA,2010,981,6.4,0
81,116,102,624,1980338,Kim Dickens,12366,2,blackmail|client|private detective|private investigator|tycoon,http://www.imdb.com/title/tt0120906/?ref_=fn_tt_tt_1,English,USA,1998,385,7.0,507
204,94,360,23000,1082044,Christian Bale,281649,0,alienation|conscience|insomnia|paranoia|urban gothic,http://www.imdb.com/title/tt0361862/?ref_=fn_tt_tt_1,English,Spain,2004,1000,7.7,21000
19,103,145,722,1100000,Dana Delany,3665,0,bare breasts|drugs|existentialism|new york city|redemption,http://www.imdb.com/title/tt0102307/?ref_=fn_tt_tt_1,English,USA,1992,280,6.8,247
163,112,688,10000,2445646,Jeremy Renner,32382,1,based on true story|cia|cocaine|journalist|smear campaign,http://www.imdb.com/title/tt1216491/?ref_=fn_tt_tt_1,English,USA,2014,963,7.0,13000
248,91,192,967,2221809,Dianne Wiest,40618,0,car|comic book|comic book artist|iphone|memory,http://www.imdb.com/title/tt0935075/?ref_=fn_tt_tt_1,English,USA,2010,289,7.0,0
39,98,600,3000,296665,Macaulay Culkin,12675,1,drug dealer|drugs|gay|homosexual|party,http://www.imdb.com/title/tt0320244/?ref_=fn_tt_tt_1,English,USA,2003,971,6.3,0
322,95,233,727,3219029,Alia Shawkat,28845,0,murder|neo nazi|punk band|skinhead|suspense,http://www.imdb.com/title/tt4062536/?ref_=fn_tt_tt_1,English,USA,2015,442,7.1,10000
50,88,276,740,,Liza Minnelli,5494,0,marriage|orgasm|school|sex|swimming,http://www.imdb.com/title/tt0422861/?ref_=fn_tt_tt_1,English,USA,2006,625,5.6,255
12,99,361,578,830210,Joaquim de Almeida,1900,0,box office flop|critically bashed|economy|individual versus society|rescue,http://www.imdb.com/title/tt2800038/?ref_=fn_tt_tt_1,English,USA,2014,435,4.4,0
83,91,65,387,1040879,Andrew Wilson,54478,0,caper|escapade|motel|robbery|texas,http://www.imdb.com/title/tt0115734/?ref_=fn_tt_tt_1,English,USA,1996,96,7.1,0
37,97,977,10000,326308,Viggo Mortensen,6632,3,bar|box office flop|hostage|new orleans louisiana|police,http://www.imdb.com/title/tt0115495/?ref_=fn_tt_tt_1,English,USA,1996,1000,6.1,225
16,136,14,75,240425,Akshaye Khanna,1311,0,africa|hindu|india|muslim|south africa,http://www.imdb.com/title/tt0459293/?ref_=fn_tt_tt_1,Hindi,India,2007,45,7.4,133
121,118,0,6,228830,Jeffrey Frost,3329,0,abu ghraib|abuse|prison|slow motion|torture,http://www.imdb.com/title/tt0896866/?ref_=fn_tt_tt_1,English,USA,2008,0,7.5,489
24,94,51,311,,Raymond Burr,1599,1,explosion|hitchhiking|punk|trauma|truck driver,http://www.imdb.com/title/tt0081291/?ref_=fn_tt_tt_1,English,Canada,1980,59,7.2,274
324,89,440,948,223615,Katrina Bowden,127842,1,cabin|chainsaw|college kid|hillbilly|vacation,http://www.imdb.com/title/tt1465522/?ref_=fn_tt_tt_1,English,Canada,2010,779,7.6,49000
27,90,940,3000,124720,Adam Scott,1560,0,christmas|fable|old man,http://www.imdb.com/title/tt1150947/?ref_=fn_tt_tt_1,English,USA,2008,1000,7.3,777
9,95,100,197,,Judith Anderson,989,1,engineer|ethics|mountain|railroad|south america,http://www.imdb.com/title/tt0039927/?ref_=fn_tt_tt_1,English,USA,1947,116,6.2,44
31,90,697,1000,99147,Ethan Suplee,1884,3,cola|desert|ice cream cone|teenage girl|vomiting,http://www.imdb.com/title/tt0126261/?ref_=fn_tt_tt_1,English,USA,1998,697,6.2,69
35,95,383,889,,Meghan Ory,4041,0,breasts|campus|college|tentacle|virginity,http://www.imdb.com/title/tt0357585/?ref_=fn_tt_tt_1,English,Canada,2004,680,4.6,174
371,94,99,432,65069140,Ocean James,65299,,farm|handheld camera|impostor|rap|rock paper scissors,http://www.imdb.com/title/tt3567288/?ref_=fn_tt_tt_1,English,USA,2015,309,6.2,27000
133,90,15,343,65087,Mike Figueroa,8824,0,blood splatter|iraq|murder|rape|soldier,http://www.imdb.com/title/tt0937237/?ref_=fn_tt_tt_1,English,USA,2007,29,6.2,559
13,103,227,811,16066,Adam Garcia,1207,0,death|love|marriage|secret|suspicion,http://www.imdb.com/title/tt0305632/?ref_=fn_tt_tt_1,English,Germany,2004,522,3.3,40
9,60,904,1000,,Holly Hunter,3852,1,catholic|death row|inmate|oklahoma city|sexual promiscuity,http://www.imdb.com/title/tt0830900/?ref_=fn_tt_tt_1,English,USA,,1000,7.5,634
56,91,14,46,,Glenn Campbell,7888,0,alien|alien abduction|conspiracy|secret base|ufo,http://www.imdb.com/title/tt1519461/?ref_=fn_tt_tt_1,English,USA,2015,21,4.2,0
191,102,78,331,,Luis Tosar,23756,0,apartment|concierge|girl|hitchcockian|stalking,http://www.imdb.com/title/tt1437358/?ref_=fn_tt_tt_1,Spanish,Spain,2011,93,7.2,0
80,92,141,570,,Dave Legeno,10056,0,countryside|deformed|farmer|gangster|kidnapping,http://www.imdb.com/title/tt0465430/?ref_=fn_tt_tt_1,English,UK,2008,337,6.2,639
19,87,686,866,,Henry Ian Cusick,10734,1,african american policeman|police|policeman|policewoman|vomiting,http://www.imdb.com/title/tt1079444/?ref_=fn_tt_tt_1,English,USA,2009,738,6.1,887
19,80,854,3000,,Alyson Hannigan,4322,0,flatulence|march|penguin|south pole|spoof,http://www.imdb.com/title/tt0488539/?ref_=fn_tt_tt_1,English,USA,2006,2000,4.2,419
,90,483,695,,Heather Locklear,215,6,,http://www.imdb.com/title/tt1131732/?ref_=fn_tt_tt_1,English,USA,2009,617,4.5,38
38,44,816,1000,,Corbin Bernsen,67315,2,best friend|friend|police|police department|psychic,http://www.imdb.com/title/tt0491738/?ref_=fn_tt_tt_1,English,USA,,922,8.4,0
44,105,394,745,37440,Billy Crudup,12672,1,demo tape|directed by cast member|grieving father|guitar|guitar player,http://www.imdb.com/title/tt1798243/?ref_=fn_tt_tt_1,English,USA,2014,508,7.5,0
3,67,388,979,,Chazz Palminteri,83,2,bare butt|baseball|children|new york yankees|surrealism,http://www.imdb.com/title/tt1460798/?ref_=fn_tt_tt_1,English,USA,2014,732,6.7,165
6,95,541,989,,Gary Cole,1091,7,,http://www.imdb.com/title/tt3703148/?ref_=fn_tt_tt_1,English,USA,2015,970,5.1,0
,87,601,708,,Teri Polo,216,1,abduction|based on true story|mexico,http://www.imdb.com/title/tt2063015/?ref_=fn_tt_tt_1,English,USA,2011,699,5.5,58
64,94,179,12000,,Nicolas Cage,6964,1,cia|individualism|mental illness|religion|revenge,http://www.imdb.com/title/tt1274586/?ref_=fn_tt_tt_1,English,Bahamas,2014,316,4.4,0
8,109,126,1000,,James Frain,237,3,fight|mina|murder|revenge|terrorist,http://www.imdb.com/title/tt1554921/?ref_=fn_tt_tt_1,English,UK,2014,266,4.4,190
64,130,826,1000,,David Huddleston,15988,0,astronaut|hoax|journalist|mission|nasa,http://www.imdb.com/title/tt0077294/?ref_=fn_tt_tt_1,English,USA,1977,849,6.8,2000
2,,723,975,,Michael Rapaport,38,15,,http://www.imdb.com/title/tt1717210/?ref_=fn_tt_tt_1,English,USA,2012,900,6.7,35
,88,668,784,,David Raizor,8,2,,http://www.imdb.com/title/tt4453560/?ref_=fn_tt_tt_1,English,USA,2015,763,8.6,49
35,88,1000,40000,,Johnny Depp,849,7,part of trilogy|second part,http://www.imdb.com/title/tt3838992/?ref_=fn_tt_tt_1,English,USA,2016,3000,4.8,0
21,97,538,741,,Mikal Vega,928,1,building|infection|navy seal|shot through the head|zombie,http://www.imdb.com/title/tt4511566/?ref_=fn_tt_tt_1,English,USA,2015,615,3.4,0
99,113,4,61,617228,Julia Jentsch,6183,1,hotel|legs|lingerie|waiter|wealth,http://www.imdb.com/title/tt0284363/?ref_=fn_tt_tt_1,Czech,Czech Republic,2006,12,7.4,1000
115,99,269,595,274385,Udo Kier,29203,3,2000s|burglar|chef|cook|restaurant,http://www.imdb.com/title/tt1244668/?ref_=fn_tt_tt_1,German,Germany,2009,486,7.3,0
104,148,263,3000,24475416,Robert Duvall,72443,0,friend|mental institution|murder|repair shop|small town,http://www.imdb.com/title/tt0117666/?ref_=fn_tt_tt_1,English,USA,1996,324,8.0,0
195,107,537,874,,Isaac Hempstead Wright,46347,1,boarding school|boy|british horror|ghost|school,http://www.imdb.com/title/tt1687901/?ref_=fn_tt_tt_1,English,UK,2011,579,6.5,10000
303,93,581,1000,47277326,Jay Hernandez,138814,0,bratislava|hostel|sadistic horror|torture|travel,http://www.imdb.com/title/tt0450278/?ref_=fn_tt_tt_1,English,USA,2005,1000,5.9,0
122,94,427,1000,1247453,Steve Coogan,11202,0,actor playing himself|battle|boots|penis|womb,http://www.imdb.com/title/tt0423409/?ref_=fn_tt_tt_1,English,UK,2005,887,6.8,750
359,121,41,982,1729969,Katy Mixon,68211,0,ambiguous ending|firefly|mysterious event|schizophrenia|storm,http://www.imdb.com/title/tt1675192/?ref_=fn_tt_tt_1,English,USA,2011,463,7.4,14000
130,118,339,968,1705139,Alex Rocco,4695,0,1960s|boy|ghost|murder|small town,http://www.imdb.com/title/tt0095484/?ref_=fn_tt_tt_1,English,USA,1988,733,6.7,0
64,98,621,10000,238774,Rupert Grint,9611,0,actress|coming of age|retired actress|teenage boy|vomiting,http://www.imdb.com/title/tt0446687/?ref_=fn_tt_tt_1,English,UK,2006,838,6.8,864
13,82,316,927,,Donald Faison,4247,2,apology|death|group of friends|sex|toilet,http://www.imdb.com/title/tt2980708/?ref_=fn_tt_tt_1,English,USA,2014,833,5.4,0
159,101,14,237,8025872,Bill Johnson,19234,3,chainsaw|chainsaw murder|human monster|music score composed by director|obscene finger gesture,http://www.imdb.com/title/tt0092076/?ref_=fn_tt_tt_1,English,USA,1986,28,5.5,0
54,106,372,773,,James Coburn,13467,0,bare breasts|flogging|human branding|man slaps a woman|manhunt,http://www.imdb.com/title/tt0070518/?ref_=fn_tt_tt_1,English,USA,1973,476,7.4,0
440,90,428,33000,778565,Ryan Gosling,83234,1,brutal cop|drug dealer|punishment|thai boxing|vengeance,http://www.imdb.com/title/tt1602613/?ref_=fn_tt_tt_1,English,Denmark,2013,1000,5.7,30000
7,79,20,226,,Denis Lavant,262,0,cabin|girl fight|jealousy|sailing boat|tent,http://www.imdb.com/title/tt0451673/?ref_=fn_tt_tt_1,French,France,2005,40,5.4,11
4,87,329,571,,Maria Conchita Alonso,1427,6,bare chested male|journalist|passion|pregnancy|woman in underwear,http://www.imdb.com/title/tt1547090/?ref_=fn_tt_tt_1,English,USA,2011,345,3.2,491
1,,0,5,,Bhama,57,2,,http://www.imdb.com/title/tt3099638/?ref_=fn_tt_tt_1,Kannada,India,2013,0,7.1,2
96,105,16,18000,1340891,Gerard Butler,18940,0,boy|dock|letter|seaside|stranger,http://www.imdb.com/title/tt0377752/?ref_=fn_tt_tt_1,English,UK,2004,66,7.8,2000
8,89,413,584,,Keith Carradine,436,2,contemporary west|cowboy|horse|jockey|neo western,http://www.imdb.com/title/tt0903131/?ref_=fn_tt_tt_1,English,Canada,2007,580,5.3,31
87,100,9,74,513836,Sara Forestier,6304,1,activist|promiscuous daughter|promiscuous woman|sex in a bed|voyeurism,http://www.imdb.com/title/tt1646974/?ref_=fn_tt_tt_1,French,France,2010,52,7.2,0
