num_critic_for_reviews,gross,genres,actor_1_name,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,title_year,actor_2_facebook_likes,movie_facebook_likes
181,6000000,Adventure|Biography|Drama|History|War,Claude Rains,1076,Jack Hawkins,8,1962,202,11000
220,33386128,Horror,Scout Taylor-Compton,3226,Margot Kidder,0,2009,764,3000
349,37877959,Adventure|Biography|Drama,Michiel Huisman,4896,Gaby Hoffmann,1,2014,820,38000
241,32721635,Crime|Horror|Thriller,Tony Goldwyn,3861,Martha MacIsaac,0,2009,878,0
103,31585300,Comedy|Romance,Jack Davenport,2666,Holland Taylor,0,2005,650,0
151,30259652,Comedy|Horror|Thriller,Jamie Lee Curtis,5440,Bianca Kajlich,5,2002,864,0
344,163192114,Action|Adventure|Fantasy,Liam Neeson,18003,Alexa Davalos,0,2010,1000,15000
185,30857814,Adventure|Family|Fantasy|Romance,Robin Wright,20060,André the Giant,0,1987,636,33000
112,30226144,Biography|Drama,Denzel Washington,22745,John Heard,1,2007,2000,0
676,35054909,Crime|Drama,Ryan Gosling,34337,Russ Tamblyn,0,2011,745,81000
74,29302097,Comedy|Family|Music|Romance,Adam Garcia,2167,Glenne Headly,8,2004,636,810
65,29106737,Comedy|Drama|Romance,Liam Aiken,1450,Kali Rocha,0,1998,511,849
274,28637507,Drama|Horror|Sci-Fi,Jeremy Renner,11471,Catherine McCormack,1,2007,1000,0
50,30127963,Drama|Family|Sport,Jessie T. Usher,525,Ser'Darius Blain,0,2014,110,0
96,32645546,Comedy|Drama|Family,Cicely Tyson,3462,Eva Marie Saint,5,2005,807,1000
68,27441122,Drama|Romance|Sport,Alfre Woodard,5135,Omar Epps,0,2000,886,0
111,28014536,Action|Comedy|Crime|Romance|Thriller,Minnie Driver,2044,Mitchell Ryan,1,1997,822,0
128,33860010,Comedy|Romance,Bradley Cooper,16461,Beth Grant,3,2009,982,0
160,26421314,Adventure|Fantasy|Horror|Mystery|Thriller,Kim Director,608,Kurt Loder,0,2000,184,949
93,24881000,Drama|Fantasy|Horror|Thriller,Christine Taylor,1812,Brenda Strong,0,1996,328,6000
278,23089926,Drama|Romance|Thriller,Scarlett Johansson,20391,Penelope Wilton,3,2005,567,0
81,26161406,Adventure|Comedy|Family|Fantasy,Sierra McCormick,1002,Jason Spevack,2,2010,316,0
58,22954968,Drama|Romance,Anthony Hopkins,12749,Ben Chaplin,1,1993,310,0
153,26384919,Drama,Don Cheadle,3677,Nina Hartley,15,1997,360,0
25,22189039,Action|Crime|Drama|Romance|Thriller,Kieran Culkin,2210,Joss Ackland,0,1993,605,466
46,20998709,Adventure|Drama|Family,Alison Lohman,3845,Tim McGraw,0,2006,786,1000
161,20801344,Horror,Jeff Kober,2559,Jacob Vargas,0,2007,557,0
108,21468807,Horror|Mystery|Thriller,Loretta Devine,2682,Jacinda Barrett,2,2000,786,243
69,19158074,Drama|Family|Fantasy|Romance,William Hurt,2661,Jonathan Jackson,2,2002,874,0
78,18843314,Action|Drama|Thriller,Kelly Carlson,1045,Drew Powell,1,2006,239,0
129,20566327,Action|Comedy,Nia Long,2958,Keegan-Michael Key,2,2016,622,0
135,20218921,Drama|Music,Leighton Meester,4204,Tim McGraw,4,2010,646,0
96,17411331,Horror|Mystery|Sci-Fi|Thriller,Bruce Greenwood,4660,Katharine Isabelle,3,1998,982,673
417,21383298,Crime|Drama|Thriller,Ryan Gosling,34413,Angelo Anthony Pizza,3,2012,748,47000
172,24984868,Action|Crime|Thriller,Luke Bracey,3033,Will Patton,2,2014,614,0
88,16459004,Drama|Mystery|Thriller,Jason Priestley,1069,Geneviève Bujold,1,1999,308,327
388,15700000,Drama|History|Thriller|War,Jeremy Renner,11114,Brian Geraghty,0,2008,602,16000
45,15100000,Action|Horror|Sci-Fi|Thriller,Heather Locklear,3444,David Keith,1,1984,654,0
414,14938570,Crime|Thriller,Brad Pitt,14025,Ben Mendelsohn,1,2012,820,20000
291,17237244,Crime|Drama|Thriller,Philip Seymour Hoffman,22574,Homayoun Ershadi,3,2014,164,13000
97,14249005,Comedy,Rip Torn,2689,Eddie Kaye Thomas,1,2001,503,0
37,12701880,Adventure|Animation|Comedy|Family,Yuri Lowenthal,568,Phil Vischer,0,2008,173,175
68,10353690,Documentary|Music,Bono,646,Larry Mullen Jr.,0,2007,67,116
90,12801190,Action|Adventure|Fantasy|Sci-Fi,Christopher Lambert,2764,Adam Copeland,1,2000,786,356
81,12549485,Crime|Drama|Musical|Romance,Cicely Tyson,3633,Bobb'e J. Thompson,4,2006,585,489
221,13766014,Drama|Romance,Anne Hathaway,17627,Rafe Spall,0,2011,5000,49000
230,13034417,Drama|Sport,Daniel Stern,2633,Alia Shawkat,1,2009,787,10000
57,11632420,Crime|Drama|Thriller,Vin Diesel,15644,Kevin Gage,1,2001,442,566
119,12212417,Crime|Thriller,Louis Lombardi,1172,Leland Orser,3,2003,324,622
97,11614236,Comedy,Jeff Bridges,15209,Albert Brooks,2,1999,821,251
119,13337299,Biography|Drama|Music|Musical,Kevin McNally,729,Sandra Nelson,7,2004,66,1000
42,10763469,Comedy|Drama|Romance,Woody Allen,12685,Mia Farrow,0,1989,860,877
24,11144518,Adventure|Family,Trevor Morgan,1139,Shirley Douglas,0,1998,417,436
208,15608545,Action,Rick Yune,2377,Daniel Wu,3,2012,561,29000
42,10443316,Comedy|Drama|Romance,Catherine O'Hara,2913,Shelley Duvall,2,1998,660,247
44,10494147,Drama|Romance,Bruce Greenwood,3142,Elaine Hendrix,1,2000,841,648
230,9929000,Drama|Sci-Fi,Robert De Niro,29475,Jim Broadbent,0,1985,5000,16000
46,10411980,Family|Music|Romance,Oliver James,4676,Jason Ritter,0,2004,872,1000
18,,Drama|Fantasy|Mystery|Sci-Fi,David Ogden Stiers,981,Chris Bruno,1,,319,576
249,17439163,Comedy|Crime,Philip Seymour Hoffman,47728,Steve Buscemi,1,1998,12000,35000
197,9396487,Drama|Music,Justin Timberlake,5012,S. Epatha Merkerson,0,2006,788,0
71,9059588,Crime|Drama|Romance|Thriller,Khandi Alexander,1873,Michael Michele,1,2002,463,455
190,9172810,Biography|Drama|History|Thriller|War,Angelina Jolie Pitt,12178,Dan Futterman,0,2007,883,923
50,8735529,Comedy|Drama|Romance,James Franco,13524,Marla Sokoloff,4,2000,897,816
63,8586376,Comedy,Vivica A. Fox,3161,Bob Gunton,4,2002,852,1000
104,8378141,Comedy|Drama|Romance,Colin Firth,16502,Rupert Everett,5,2002,1000,0
,,Fantasy|Romance,Jennifer Jason Leigh,2166,Estelle Parsons,1,1998,393,515
49,8080116,Adventure|Comedy|Family,Logan Lerman,10732,Tim Blake Nelson,0,2006,625,647
300,7757130,Comedy|Crime|Drama,Elizabeth Berrington,173,Eric Godon,1,2008,49,32000
43,9123834,Comedy|Romance,Tyler James Williams,3322,Diahann Carroll,6,2013,539,0
132,6409206,Comedy|Music,Emma Stone,33153,Josh Gad,4,2008,14000,0
97,6373693,Comedy|Romance,J.K. Simmons,25637,Bobby Coleman,1,2009,971,0
242,7556708,Drama,Matt Damon,14544,Terry Kinney,1,2012,826,10000
218,5306447,Comedy|Romance,Larry David,2717,Conleth Hill,1,2009,658,10000
49,5217498,Drama|Mystery|Thriller,Matthew Settle,2312,A.J. Buckley,4,2000,397,157
172,5023275,Adventure|Crime|Drama|Mystery|Western,Levon Helm,1627,Guillermo Arriaga,2,2005,324,0
68,4956401,Drama|War,Robin Williams,51657,Michael Jeter,2,1999,1000,0
223,4235837,Comedy|Crime|Mystery,Robert Downey Jr.,23932,Larry Miller,2,2005,1000,0
59,4002955,Comedy|Fantasy|Horror|Thriller,Vivica A. Fox,3654,Elden Henson,0,1999,729,0
252,7219578,Drama|Mystery|Thriller,Naomi Watts,8484,Laura Harring,1,2001,889,16000
106,3525161,Drama|Fantasy|Horror|Romance,Olivier Martinez,1675,Chris Geere,0,2007,400,0
223,3247816,Comedy|Drama|Romance,Anthony Hopkins,19310,Ewen Bremner,0,2010,6000,0
328,2412045,Drama|Romance|Sci-Fi,Andrew Garfield,12867,Charlotte Rampling,0,2010,882,33000
9,,Drama|History|Thriller,Anna Silk,3809,Alessandro Nivola,3,,555,733
150,2203641,Crime|Drama|Mystery|Thriller,Thomas Kretschmann,1252,Mac McDonald,0,2008,278,0
21,1953732,Adventure|Drama|Fantasy,Curtis Armstrong,1351,Mike Muscat,0,1986,324,843
28,1954202,Comedy|Crime|Drama,Meat Loaf,4834,Noah Emmerich,0,1999,664,391
250,1294640,Crime|Drama|Horror|Thriller,Naomi Watts,6748,Brady Corbet,0,2007,294,0
17,,Drama|Sci-Fi|Thriller,Thomas Stroppel,527,Amber Marie Bollinger,0,2014,134,708
95,819852,Drama|Thriller,Bob Hoskins,5426,Gerard McSorley,0,1999,203,284
