num_critic_for_reviews,duration,director_facebook_likes,gross,movie_title,num_voted_users,cast_total_facebook_likes,movie_imdb_link,budget,imdb_score,aspect_ratio
153,143,541,51225796,The Phantom of the Opera ,96654,20660,http://www.imdb.com/title/tt0293508/?ref_=fn_tt_tt_1,70000000,7.4,2.35
202,114,159,16264475,Elizabeth: The Golden Age ,54787,16899,http://www.imdb.com/title/tt0414055/?ref_=fn_tt_tt_1,55000000,6.9,1.85
178,93,45,25857987,Æon Flux ,110614,10185,http://www.imdb.com/title/tt0402022/?ref_=fn_tt_tt_1,62000000,5.5,2.35
84,280,33,12870569,Gods and Generals ,13215,1671,http://www.imdb.com/title/tt0279111/?ref_=fn_tt_tt_1,56000000,6.3,2.35
44,100,0,11466088,Turbulence ,8983,3952,http://www.imdb.com/title/tt0120390/?ref_=fn_tt_tt_1,71000000,4.7,2.35
93,107,11,16088610,Imagine That ,10417,3742,http://www.imdb.com/title/tt0780567/?ref_=fn_tt_tt_1,55000000,5.6,2.35
277,119,33,51178893,Muppets Most Wanted ,24285,6089,http://www.imdb.com/title/tt2281587/?ref_=fn_tt_tt_1,50000000,6.4,1.85
76,95,906,6768055,Thunderbirds ,11148,2260,http://www.imdb.com/title/tt0167456/?ref_=fn_tt_tt_1,57000000,4.2,1.85
197,119,59,39440655,Burlesque ,61680,4315,http://www.imdb.com/title/tt1126591/?ref_=fn_tt_tt_1,55000000,6.4,2.35
186,133,0,6167817,A Very Long Engagement ,62607,405,http://www.imdb.com/title/tt0344510/?ref_=fn_tt_tt_1,47000000,7.7,2.35
103,152,0,,Lolita ,67822,1403,http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1,2000000,7.7,1.66
66,96,13,,Eye See You ,19706,15803,http://www.imdb.com/title/tt0160184/?ref_=fn_tt_tt_1,55000000,5.3,2.35
224,117,0,81645152,Blade II ,158267,15371,http://www.imdb.com/title/tt0187738/?ref_=fn_tt_tt_1,54000000,6.7,1.85
202,123,125,69951824,Seven Pounds ,232710,14727,http://www.imdb.com/title/tt0814314/?ref_=fn_tt_tt_1,55000000,7.7,2.35
279,92,394,9483821,Bullet to the Head ,39247,25418,http://www.imdb.com/title/tt1308729/?ref_=fn_tt_tt_1,55000000,5.7,1.85
110,170,0,66676062,The Godfather: Part III ,267980,16949,http://www.imdb.com/title/tt0099674/?ref_=fn_tt_tt_1,54000000,7.6,1.85
190,123,488,26838389,Elizabethtown ,58658,12700,http://www.imdb.com/title/tt0368709/?ref_=fn_tt_tt_1,57000000,6.4,1.85
136,110,94,75604320,"You, Me and Dupree ",68417,847,http://www.imdb.com/title/tt0463034/?ref_=fn_tt_tt_1,54000000,5.6,1.85
121,116,44,108200000,Superman II ,76331,2908,http://www.imdb.com/title/tt0081573/?ref_=fn_tt_tt_1,54000000,6.8,2.35
131,121,102,5660084,Gigli ,41620,286,http://www.imdb.com/title/tt0299930/?ref_=fn_tt_tt_1,54000000,2.4,2.35
127,128,234,7221458,All the King's Men ,20740,27614,http://www.imdb.com/title/tt0405676/?ref_=fn_tt_tt_1,55000000,6.2,1.85
160,99,309,70327868,Shaft ,58416,26527,http://www.imdb.com/title/tt0162650/?ref_=fn_tt_tt_1,46000000,5.9,2.35
78,94,383,58297830,Anastasia ,86347,6017,http://www.imdb.com/title/tt0118617/?ref_=fn_tt_tt_1,50000000,7.1,2.35
209,127,1000,57386369,Moulin Rouge! ,224013,2601,http://www.imdb.com/title/tt0203009/?ref_=fn_tt_tt_1,52500000,7.6,2.35
98,89,17,45207112,Domestic Disturbance ,21283,13390,http://www.imdb.com/title/tt0249478/?ref_=fn_tt_tt_1,53000000,5.5,2.35
391,123,108,62563543,Black Mass ,115216,63769,http://www.imdb.com/title/tt1355683/?ref_=fn_tt_tt_1,53000000,7.0,2.35
279,135,16000,33574332,Flags of Our Fathers ,101221,24468,http://www.imdb.com/title/tt0418689/?ref_=fn_tt_tt_1,90000000,7.1,2.35
216,118,473,73343413,Law Abiding Citizen ,217480,22517,http://www.imdb.com/title/tt1197624/?ref_=fn_tt_tt_1,50000000,7.4,2.35
250,189,0,25031037,Grindhouse ,155496,22186,http://www.imdb.com/title/tt0462322/?ref_=fn_tt_tt_1,53000000,7.6,2.35
78,172,438,22843047,Beloved ,6082,2397,http://www.imdb.com/title/tt0120603/?ref_=fn_tt_tt_1,55000000,5.9,1.85
106,124,161,5755286,Lucky You ,18310,26334,http://www.imdb.com/title/tt0338216/?ref_=fn_tt_tt_1,55000000,5.9,2.35
194,141,14000,164435221,Catch Me If You Can ,525801,48153,http://www.imdb.com/title/tt0264464/?ref_=fn_tt_tt_1,52000000,8.0,1.85
558,157,0,95720716,Zero Dark Thirty ,216032,2759,http://www.imdb.com/title/tt1790885/?ref_=fn_tt_tt_1,40000000,7.4,1.85
183,106,235,118683135,The Break-Up ,102167,8315,http://www.imdb.com/title/tt0452594/?ref_=fn_tt_tt_1,52000000,5.8,1.85
238,108,58,143704210,Mamma Mia! ,145974,26002,http://www.imdb.com/title/tt0795421/?ref_=fn_tt_tt_1,52000000,6.3,2.35
186,125,0,110476776,Valentine's Day ,95437,45696,http://www.imdb.com/title/tt0817230/?ref_=fn_tt_tt_1,52000000,5.7,1.85
144,107,422,80270227,The Dukes of Hazzard ,66382,2297,http://www.imdb.com/title/tt0377818/?ref_=fn_tt_tt_1,50000000,5.1,2.35
156,215,0,36385763,The Thin Red Line ,138941,1937,http://www.imdb.com/title/tt0120863/?ref_=fn_tt_tt_1,52000000,7.6,2.35
215,118,71,37035845,The Change-Up ,136680,28045,http://www.imdb.com/title/tt1488555/?ref_=fn_tt_tt_1,52000000,6.4,2.35
140,118,869,34580635,Man on the Moon ,100743,209,http://www.imdb.com/title/tt0125664/?ref_=fn_tt_tt_1,52000000,7.4,2.35
133,178,17000,42438300,Casino ,333542,24183,http://www.imdb.com/title/tt0112641/?ref_=fn_tt_tt_1,52000000,8.2,2.35
203,92,180,23324666,From Paris with Love ,97775,488,http://www.imdb.com/title/tt1179034/?ref_=fn_tt_tt_1,52000000,6.5,2.35
127,104,13,23020488,Bulletproof Monk ,42324,2422,http://www.imdb.com/title/tt0245803/?ref_=fn_tt_tt_1,52000000,5.5,2.35
155,116,101,90567722,"Me, Myself & Irene ",185878,1711,http://www.imdb.com/title/tt0183505/?ref_=fn_tt_tt_1,51000000,6.5,1.85
98,90,176,72601713,Barnyard ,21396,2055,http://www.imdb.com/title/tt0414853/?ref_=fn_tt_tt_1,51000000,5.6,1.85
71,93,14,35092918,Deck the Halls ,15740,5468,http://www.imdb.com/title/tt0790604/?ref_=fn_tt_tt_1,,4.9,1.85
299,130,129,296623634,The Twilight Saga: New Moon ,220758,64040,http://www.imdb.com/title/tt1259571/?ref_=fn_tt_tt_1,50000000,4.6,2.35
212,90,80,267652016,Shrek ,467113,275,http://www.imdb.com/title/tt0126029/?ref_=fn_tt_tt_1,60000000,7.9,1.85
413,106,53,62453315,The Adjustment Bureau ,200035,14607,http://www.imdb.com/title/tt1385826/?ref_=fn_tt_tt_1,50200000,7.1,1.85
67,155,58,165500000,Robin Hood: Prince of Thieves ,145257,38518,http://www.imdb.com/title/tt0102798/?ref_=fn_tt_tt_1,48000000,6.9,1.85
109,139,488,153620822,Jerry Maguire ,189923,12182,http://www.imdb.com/title/tt0116695/?ref_=fn_tt_tt_1,50000000,7.3,1.85
457,112,3000,218628680,Ted ,471644,21773,http://www.imdb.com/title/tt1637725/?ref_=fn_tt_tt_1,50000000,7.0,1.85
156,139,274,147637474,As Good as It Gets ,224671,1474,http://www.imdb.com/title/tt0119822/?ref_=fn_tt_tt_1,50000000,7.7,1.85
55,115,293,135014968,Patch Adams ,80580,74382,http://www.imdb.com/title/tt0129290/?ref_=fn_tt_tt_1,50000000,6.7,2.35
272,143,285,2175312,Anchorman 2: The Legend Continues ,131227,28176,http://www.imdb.com/title/tt1229340/?ref_=fn_tt_tt_1,50000000,6.3,2.35
117,96,65,126203320,Mr. Deeds ,110432,26826,http://www.imdb.com/title/tt0280590/?ref_=fn_tt_tt_1,50000000,5.8,1.85
539,112,14000,126975169,Super 8 ,287822,3388,http://www.imdb.com/title/tt1650062/?ref_=fn_tt_tt_1,50000000,7.1,2.35
169,131,0,125548685,Erin Brockovich ,135246,10003,http://www.imdb.com/title/tt0195685/?ref_=fn_tt_tt_1,52000000,7.3,1.85
140,116,80,105807520,How to Lose a Guy in 10 Days ,156717,14087,http://www.imdb.com/title/tt0251127/?ref_=fn_tt_tt_1,50000000,6.4,1.85
330,112,97,191616238,22 Jump Street ,258186,19428,http://www.imdb.com/title/tt2294449/?ref_=fn_tt_tt_1,50000000,7.1,2.35
120,123,277,105264608,Interview with the Vampire: The Vampire Chronicles ,239752,25697,http://www.imdb.com/title/tt0110148/?ref_=fn_tt_tt_1,60000000,7.6,1.85
190,104,235,97680195,Yes Man ,271691,29505,http://www.imdb.com/title/tt1068680/?ref_=fn_tt_tt_1,70000000,6.8,2.35
177,107,43,126088877,Central Intelligence ,33354,14569,http://www.imdb.com/title/tt1489889/?ref_=fn_tt_tt_1,50000000,6.6,2.35
65,124,0,91030827,Stepmom ,46482,9988,http://www.imdb.com/title/tt0120686/?ref_=fn_tt_tt_1,50000000,6.7,2.35
145,96,51,150315155,Daddy's Home ,54010,10886,http://www.imdb.com/title/tt1528854/?ref_=fn_tt_tt_1,50000000,6.1,1.85
321,125,252,127997349,Into the Woods ,101178,62837,http://www.imdb.com/title/tt2180411/?ref_=fn_tt_tt_1,50000000,6.0,2.39
230,129,0,88504640,Inside Man ,273108,19148,http://www.imdb.com/title/tt0454848/?ref_=fn_tt_tt_1,45000000,7.6,2.35
143,90,241,81517441,Payback ,111368,3148,http://www.imdb.com/title/tt0120784/?ref_=fn_tt_tt_1,50000000,7.1,2.35
55,109,155,81022333,Congo ,34471,1761,http://www.imdb.com/title/tt0112715/?ref_=fn_tt_tt_1,50000000,5.0,1.85
257,124,488,75621915,We Bought a Zoo ,111003,36873,http://www.imdb.com/title/tt1389137/?ref_=fn_tt_tt_1,,7.1,1.85
279,121,295,79948113,Knowing ,186879,13421,http://www.imdb.com/title/tt0448011/?ref_=fn_tt_tt_1,50000000,6.2,2.35
143,95,9,88658172,Failure to Launch ,58412,37967,http://www.imdb.com/title/tt0427229/?ref_=fn_tt_tt_1,50000000,5.6,2.35
196,128,62,75888270,The Ring Two ,71153,10163,http://www.imdb.com/title/tt0377109/?ref_=fn_tt_tt_1,,5.4,1.85
310,118,43,84244877,"Crazy, Stupid, Love. ",375456,57426,http://www.imdb.com/title/tt1570728/?ref_=fn_tt_tt_1,50000000,7.4,2.39
116,80,12,75367693,Garfield ,58961,13430,http://www.imdb.com/title/tt0356634/?ref_=fn_tt_tt_1,35000000,5.0,1.85
105,99,148,73701902,Christmas with the Kranks ,27548,6729,http://www.imdb.com/title/tt0388419/?ref_=fn_tt_tt_1,60000000,5.2,2.35
419,133,152,75605492,Moneyball ,283563,53094,http://www.imdb.com/title/tt1210166/?ref_=fn_tt_tt_1,50000000,7.6,1.85
64,127,249,67823573,Outbreak ,91176,30383,http://www.imdb.com/title/tt0114069/?ref_=fn_tt_tt_1,50000000,6.6,1.85
359,106,174,91439400,Non-Stop ,200647,16967,http://www.imdb.com/title/tt2024469/?ref_=fn_tt_tt_1,50000000,7.0,2.35
166,98,99,67128202,Race to Witch Mountain ,43328,14007,http://www.imdb.com/title/tt1075417/?ref_=fn_tt_tt_1,65000000,5.7,2.35
525,132,160,70496802,V for Vendetta ,791783,22417,http://www.imdb.com/title/tt0434409/?ref_=fn_tt_tt_1,54000000,8.2,2.35
165,114,71,60470220,Shanghai Knights ,81444,428,http://www.imdb.com/title/tt0300471/?ref_=fn_tt_tt_1,50000000,6.2,2.35
2,45,,,Unforgotten             ,1824,1816,http://www.imdb.com/title/tt4192812/?ref_=fn_tt_tt_1,,7.9,
87,78,5,58336565,Curious George ,12845,11124,http://www.imdb.com/title/tt0381971/?ref_=fn_tt_tt_1,50000000,6.6,1.85
117,101,23,66002004,Herbie Fully Loaded ,36431,2177,http://www.imdb.com/title/tt0400497/?ref_=fn_tt_tt_1,50000000,4.7,1.85
113,113,39,54997476,Don't Say a Word ,40362,3341,http://www.imdb.com/title/tt0260866/?ref_=fn_tt_tt_1,50000000,6.3,2.35
349,98,75,55682070,Hansel & Gretel: Witch Hunters ,159868,11946,http://www.imdb.com/title/tt1428538/?ref_=fn_tt_tt_1,50000000,6.1,2.35
152,124,213,52752475,Unfaithful ,63067,2583,http://www.imdb.com/title/tt0250797/?ref_=fn_tt_tt_1,50000000,6.7,1.85
288,109,154,55092830,I Am Number Four ,195043,15608,http://www.imdb.com/title/tt1464540/?ref_=fn_tt_tt_1,60000000,6.1,1.85
358,128,79,50815288,Syriana ,109188,14747,http://www.imdb.com/title/tt0365737/?ref_=fn_tt_tt_1,50000000,7.0,2.35
204,144,0,52822418,13 Hours ,47764,3580,http://www.imdb.com/title/tt4172430/?ref_=fn_tt_tt_1,50000000,7.4,2.35
156,95,34,50150619,The Book of Life ,45580,19513,http://www.imdb.com/title/tt2262227/?ref_=fn_tt_tt_1,50000000,7.3,2.35
171,105,12,48745150,Firewall ,50170,101383,http://www.imdb.com/title/tt0408345/?ref_=fn_tt_tt_1,50000000,5.8,2.35
76,121,16000,50007168,Absolute Power ,39529,19139,http://www.imdb.com/title/tt0118548/?ref_=fn_tt_tt_1,50000000,6.7,2.35
97,125,0,48154732,G.I. Jane ,60326,15569,http://www.imdb.com/title/tt0119173/?ref_=fn_tt_tt_1,50000000,5.8,2.35
157,129,21000,48265581,The Game ,261069,1397,http://www.imdb.com/title/tt0119174/?ref_=fn_tt_tt_1,50000000,7.8,2.35
267,132,50,46982632,Silent Hill ,172792,1933,http://www.imdb.com/title/tt0384537/?ref_=fn_tt_tt_1,50000000,6.6,2.35
118,118,41,44737059,The Replacements ,48322,24024,http://www.imdb.com/title/tt0191397/?ref_=fn_tt_tt_1,50000000,6.5,1.85
291,113,22,56724080,American Reunion ,172112,8398,http://www.imdb.com/title/tt1605630/?ref_=fn_tt_tt_1,50000000,6.7,1.85
68,140,473,44484065,The Negotiator ,107227,20152,http://www.imdb.com/title/tt0120768/?ref_=fn_tt_tt_1,50000000,7.3,2.35
228,89,77,47553512,Into the Storm ,54101,1367,http://www.imdb.com/title/tt2106361/?ref_=fn_tt_tt_1,50000000,5.8,1.85
36,104,644,42610000,Beverly Hills Cop III ,60293,1093,http://www.imdb.com/title/tt0109254/?ref_=fn_tt_tt_1,55000000,5.5,1.85
105,106,287,41482207,Gremlins 2: The New Batch ,68428,19610,http://www.imdb.com/title/tt0099700/?ref_=fn_tt_tt_1,50000000,6.3,1.85
276,141,71,47105085,The Judge ,136973,30183,http://www.imdb.com/title/tt1872194/?ref_=fn_tt_tt_1,50000000,7.4,2.35
93,124,75,41256277,The Peacemaker ,46451,1289,http://www.imdb.com/title/tt0119874/?ref_=fn_tt_tt_1,50000000,5.9,2.35
191,98,38,50740078,Resident Evil: Apocalypse ,151580,16791,http://www.imdb.com/title/tt0318627/?ref_=fn_tt_tt_1,45000000,6.2,2.35
143,108,17,40203020,Bridget Jones: The Edge of Reason ,74315,15634,http://www.imdb.com/title/tt0317198/?ref_=fn_tt_tt_1,40000000,5.9,2.35
124,114,73,40905277,Out of Time ,45895,19739,http://www.imdb.com/title/tt0313443/?ref_=fn_tt_tt_1,50000000,6.5,2.35
47,101,0,38590500,On Deadly Ground ,17997,1860,http://www.imdb.com/title/tt0110725/?ref_=fn_tt_tt_1,50000000,4.4,2.35
66,93,0,39177541,The Adventures of Sharkboy and Lavagirl 3-D ,20310,14899,http://www.imdb.com/title/tt0424774/?ref_=fn_tt_tt_1,50000000,3.5,1.85
118,119,0,39778599,The Beach ,176169,29461,http://www.imdb.com/title/tt0163978/?ref_=fn_tt_tt_1,50000000,6.6,2.35
93,119,0,37486138,Raising Helen ,30890,2052,http://www.imdb.com/title/tt0350028/?ref_=fn_tt_tt_1,50000000,6.0,1.85
235,99,160,38105077,Ninja Assassin ,58349,701,http://www.imdb.com/title/tt1186367/?ref_=fn_tt_tt_1,40000000,6.4,2.35
113,137,0,35168395,For Love of the Game ,26034,25469,http://www.imdb.com/title/tt0126916/?ref_=fn_tt_tt_1,50000000,6.5,2.35
14,105,,,A Touch of Frost             ,4438,344,http://www.imdb.com/title/tt0108967/?ref_=fn_tt_tt_1,,7.8,1.33
51,117,31,32800000,Striptease ,34896,3016,http://www.imdb.com/title/tt0117765/?ref_=fn_tt_tt_1,40000000,4.3,1.85
98,87,9,33643461,Marmaduke ,11257,20061,http://www.imdb.com/title/tt1392197/?ref_=fn_tt_tt_1,50000000,4.2,2.35
315,129,16000,32741596,Hereafter ,80140,14344,http://www.imdb.com/title/tt1212419/?ref_=fn_tt_tt_1,50000000,6.5,2.35
136,115,58,31874869,Murder by Numbers ,43574,34606,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1,50000000,6.1,1.85
61,132,503,30306268,Assassins ,62981,58528,http://www.imdb.com/title/tt0112401/?ref_=fn_tt_tt_1,50000000,6.3,1.85
209,131,73,27667947,Hannibal Rising ,86374,1344,http://www.imdb.com/title/tt0367959/?ref_=fn_tt_tt_1,50000000,6.2,2.35
99,95,0,27067160,The Story of Us ,18404,14706,http://www.imdb.com/title/tt0160916/?ref_=fn_tt_tt_1,50000000,5.9,1.85
298,125,487,26616999,The Host ,92461,1300,http://www.imdb.com/title/tt1517260/?ref_=fn_tt_tt_1,40000000,5.9,2.35
131,98,323,26536120,Basic ,49926,3357,http://www.imdb.com/title/tt0264395/?ref_=fn_tt_tt_1,50000000,6.5,2.35
146,110,16000,26199517,Blood Work ,34356,18635,http://www.imdb.com/title/tt0309377/?ref_=fn_tt_tt_1,50000000,6.4,2.35
245,118,670,25450527,The International ,80196,7654,http://www.imdb.com/title/tt0963178/?ref_=fn_tt_tt_1,50000000,6.5,2.35
104,101,0,25407250,Escape from L.A. ,54021,15935,http://www.imdb.com/title/tt0116225/?ref_=fn_tt_tt_1,50000000,5.7,2.35
4,60,,,Twisted             ,7945,2758,http://www.imdb.com/title/tt2355844/?ref_=fn_tt_tt_1,,7.5,16.0
162,90,663,23159305,The Iron Giant ,128455,16358,http://www.imdb.com/title/tt0129167/?ref_=fn_tt_tt_1,70000000,8.0,2.35
259,119,0,24006726,The Life Aquatic with Steve Zissou ,139535,15757,http://www.imdb.com/title/tt0362270/?ref_=fn_tt_tt_1,50000000,7.3,2.35
79,139,378,20389967,Free State of Jones ,3077,12786,http://www.imdb.com/title/tt1124037/?ref_=fn_tt_tt_1,50000000,6.7,1.85
141,130,317,19593740,The Life of David Gale ,88270,32637,http://www.imdb.com/title/tt0289992/?ref_=fn_tt_tt_1,50000000,7.5,2.35
59,100,65,19118247,Man of the House ,19829,6171,http://www.imdb.com/title/tt0331933/?ref_=fn_tt_tt_1,40000000,5.4,2.35
236,114,174,26442251,Run All Night ,76010,16992,http://www.imdb.com/title/tt2199571/?ref_=fn_tt_tt_1,50000000,6.6,2.35
356,96,0,17114882,Eastern Promises ,189249,17211,http://www.imdb.com/title/tt0765443/?ref_=fn_tt_tt_1,25000000,7.7,1.85
120,110,134,18472363,Into the Blue ,63599,25049,http://www.imdb.com/title/tt0378109/?ref_=fn_tt_tt_1,50000000,5.8,2.35
111,158,0,14131298,The Messenger: The Story of Joan of Arc ,55889,144,http://www.imdb.com/title/tt0151137/?ref_=fn_tt_tt_1,390000000,6.4,2.35
208,102,234,21557240,Your Highness ,85237,45202,http://www.imdb.com/title/tt1240982/?ref_=fn_tt_tt_1,49900000,5.6,2.35
174,84,260,21283440,Dream House ,46239,8018,http://www.imdb.com/title/tt1462041/?ref_=fn_tt_tt_1,55000000,6.0,2.35
59,115,333,10556196,Mad City ,16562,2606,http://www.imdb.com/title/tt0119592/?ref_=fn_tt_tt_1,50000000,6.2,2.35
22,99,32,16671505,Baby's Day Out ,33186,2949,http://www.imdb.com/title/tt0109190/?ref_=fn_tt_tt_1,50000000,5.9,1.85
34,135,596,10400000,The Scarlet Letter ,12037,15820,http://www.imdb.com/title/tt0114345/?ref_=fn_tt_tt_1,50000000,5.1,2.35
214,108,218,9528092,Fair Game ,38513,10191,http://www.imdb.com/title/tt0977855/?ref_=fn_tt_tt_1,22000000,6.8,2.35
28,43,,,Defiance             ,33535,5381,http://www.imdb.com/title/tt2189221/?ref_=fn_tt_tt_1,,7.0,1.78
186,127,12000,10137232,Domino ,58015,5702,http://www.imdb.com/title/tt0421054/?ref_=fn_tt_tt_1,50000000,6.0,2.35
50,107,607,9795017,Jade ,9227,5461,http://www.imdb.com/title/tt0113451/?ref_=fn_tt_tt_1,50000000,5.1,1.85
