director_name,director_facebook_likes,actor_2_name,actor_1_facebook_likes,actor_1_name,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,country,movie_facebook_likes
Thomas Vinterberg,346,Chris Owen,947,Michael Angarano,2572,William Hootkins,0,http://www.imdb.com/title/tt0342272/?ref_=fn_tt_tt_1,58,Italy,532
Claudia Llosa,43,Zen McGrath,144,Ian Tracey,326,William Shimell,1,http://www.imdb.com/title/tt2494384/?ref_=fn_tt_tt_1,11,Spain,675
Katsuhiro Ôtomo,78,Takeshi Kusao,6,Mitsuo Iwata,28,Tesshô Genda,0,http://www.imdb.com/title/tt0094625/?ref_=fn_tt_tt_1,430,Japan,0
John Herzfeld,17,Olivia Wilde,23000,Paul Walker,37457,Jason Flemyng,2,http://www.imdb.com/title/tt0473188/?ref_=fn_tt_tt_1,31,USA,0
Charles Binamé,2,Roy Dupuis,413,Stephen McHattie,733,Julie LeBreton,0,http://www.imdb.com/title/tt0460505/?ref_=fn_tt_tt_1,31,Canada,520
Keith Parmer,2,Josh Henderson,31000,Rachel Ann Mullins,33858,Grant Bowler,6,http://www.imdb.com/title/tt2112277/?ref_=fn_tt_tt_1,24,USA,438
Dennie Gordon,29,Ruby Lin,163,Leehom Wang,219,Jack Kao,2,http://www.imdb.com/title/tt2102502/?ref_=fn_tt_tt_1,2,China,81
Ol Parker,21,Ben Miles,186,Celia Imrie,619,Darren Boyd,0,http://www.imdb.com/title/tt0421994/?ref_=fn_tt_tt_1,149,UK,0
Bruce Beresford,78,Lucy Fry,502,Mckenna Grace,1546,Natalie Coughlin,0,http://www.imdb.com/title/tt4196848/?ref_=fn_tt_tt_1,5,USA,205
François Ozon,341,Ludivine Sagnier,844,Charlotte Rampling,1389,Jean-Claude Lecas,0,http://www.imdb.com/title/tt0324133/?ref_=fn_tt_tt_1,288,France,0
James Nunn,16,Mark Wingett,1000,Spencer Wilding,2284,Kacey Clarke,2,http://www.imdb.com/title/tt2628316/?ref_=fn_tt_tt_1,13,UK,0
David Webb Peoples,73,Joan Chen,848,Delroy Lindo,1526,Anna Katarina,2,http://www.imdb.com/title/tt0094764/?ref_=fn_tt_tt_1,43,Australia,999
Michael Winnick,155,Helena Mattsson,981,Scott Takeda,2741,Craig Sheffer,0,http://www.imdb.com/title/tt4060866/?ref_=fn_tt_tt_1,14,USA,689
Bruce Beresford,78,Jessica Tandy,11000,Morgan Freeman,12619,Patti LuPone,1,http://www.imdb.com/title/tt0097239/?ref_=fn_tt_tt_1,134,USA,3000
George Tillman Jr.,88,Mekhi Phifer,1000,Vanessa Williams,4737,Vivica A. Fox,6,http://www.imdb.com/title/tt0120169/?ref_=fn_tt_tt_1,30,USA,508
Stanley Tong,7,Anita Mui,186,Françoise Yip,407,Garvin Cross,1,http://www.imdb.com/title/tt0113326/?ref_=fn_tt_tt_1,81,Hong Kong,0
David Oelhoffen,2,Reda Kateb,10000,Viggo Mortensen,10218,Ángela Molina,0,http://www.imdb.com/title/tt2936180/?ref_=fn_tt_tt_1,19,France,2000
Jason Reitman,655,Cameron Bright,24000,J.K. Simmons,25092,Todd Louiso,0,http://www.imdb.com/title/tt0427944/?ref_=fn_tt_tt_1,323,USA,0
Eli Roth,0,Lauren German,1000,Jay Hernandez,4707,Stanislav Ianevski,0,http://www.imdb.com/title/tt0498353/?ref_=fn_tt_tt_1,384,USA,0
Lone Scherfig,92,Olivia Williams,3000,Dominic Cooper,4198,Ellie Kendrick,0,http://www.imdb.com/title/tt1174732/?ref_=fn_tt_tt_1,237,UK,12000
Anand Tucker,14,Bridgette Wilson-Sampras,827,Frances Conroy,1871,Clyde Kusatsu,3,http://www.imdb.com/title/tt0338427/?ref_=fn_tt_tt_1,268,USA,1000
Tony Richardson,62,Beau Bridges,584,Joely Richardson,2024,Nastassja Kinski,0,http://www.imdb.com/title/tt0087428/?ref_=fn_tt_tt_1,61,UK,345
Joe Carnahan,248,Chi McBride,673,Jason Patric,1442,Alan Van Sprang,1,http://www.imdb.com/title/tt0272207/?ref_=fn_tt_tt_1,214,USA,1000
Paul Gross,329,Paul Gross,611,Molly Parker,1834,Kari Matchett,3,http://www.imdb.com/title/tt0263734/?ref_=fn_tt_tt_1,83,Canada,0
Charles Robert Carner,18,Jenny McCarthy,834,Ivana Milicevic,4091,Richard Bull,2,http://www.imdb.com/title/tt1001562/?ref_=fn_tt_tt_1,20,USA,140
Russell Holt,0,Brenda Strong,373,Eric Johnson,1233,Tiffany Dupont,1,http://www.imdb.com/title/tt0410454/?ref_=fn_tt_tt_1,33,USA,31
Mike Judge,406,Mila Kunis,24000,J.K. Simmons,41867,Clifton Collins Jr.,6,http://www.imdb.com/title/tt1225822/?ref_=fn_tt_tt_1,106,USA,0
Larry Charles,119,Cheech Marin,12000,Jeff Bridges,15396,Bruce Dern,0,http://www.imdb.com/title/tt0319829/?ref_=fn_tt_tt_1,95,USA,655
Claude Miller,27,Edouard Baer,71,Sandrine Kiberlain,262,Roschdy Zem,0,http://www.imdb.com/title/tt0269329/?ref_=fn_tt_tt_1,26,France,26
Michael Winterbottom,187,Om Puri,631,Samantha Morton,1176,Natalie Mendoza,0,http://www.imdb.com/title/tt0345061/?ref_=fn_tt_tt_1,150,UK,0
Sacha Bennett,22,Jenny Agutter,5000,Bob Hoskins,7206,Vincent Regan,3,http://www.imdb.com/title/tt1772422/?ref_=fn_tt_tt_1,3,UK,223
Paul Haggis,549,Loretta Devine,3000,Don Cheadle,5732,Jennifer Esposito,0,http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1,1624,Germany,18000
Rodrigo García,127,Michael McElhatton,3000,Mia Wasikowska,4370,Mark Williams,3,http://www.imdb.com/title/tt1602098/?ref_=fn_tt_tt_1,98,UK,0
Jeta Amata,20,Nathin Butler,262,Akon,409,Razaaq Adoti,3,http://www.imdb.com/title/tt2147225/?ref_=fn_tt_tt_1,4,Nigeria,389
Siddharth Anand,5,Mary Goggin,532,Saif Ali Khan,902,Vic Aviles,3,http://www.imdb.com/title/tt0833553/?ref_=fn_tt_tt_1,37,USA,108
Vincent Paronnaud,10,Gena Rowlands,963,Catherine Deneuve,1754,Danielle Darrieux,0,http://www.imdb.com/title/tt0808417/?ref_=fn_tt_tt_1,158,France,14000
Joe Dante,287,Teri Polo,844,Bruce Dern,4099,Haley Bennett,2,http://www.imdb.com/title/tt1085779/?ref_=fn_tt_tt_1,69,USA,0
Dennis Gansel,23,Elyas M'Barek,287,Max Riemelt,635,Jennifer Ulrich,0,http://www.imdb.com/title/tt1063669/?ref_=fn_tt_tt_1,96,Germany,25000
Nicolas Winding Refn,0,Bella Heathcote,18000,Keanu Reeves,19879,Charles Baker,2,http://www.imdb.com/title/tt1974419/?ref_=fn_tt_tt_1,73,France,0
Daniel Barber,12,Jack O'Connell,788,Joseph Gilgun,2486,Sean Harris,1,http://www.imdb.com/title/tt1289406/?ref_=fn_tt_tt_1,224,UK,0
Sam Raimi,0,James Franco,24000,J.K. Simmons,46055,Kirsten Dunst,0,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,1902,USA,0
Robert Marcarelli,0,William Hootkins,488,George Coe,2428,Ayla Kell,0,http://www.imdb.com/title/tt0203408/?ref_=fn_tt_tt_1,206,USA,129
Jason Reitman,655,Jennifer Garner,24000,J.K. Simmons,28817,Rainn Wilson,0,http://www.imdb.com/title/tt0467406/?ref_=fn_tt_tt_1,881,USA,10000
Ernie Barbarash,249,Aki Aleong,294,Darren Shahlavi,835,Brahim Achabbakhe,0,http://www.imdb.com/title/tt3488328/?ref_=fn_tt_tt_1,29,Canada,0
Guy Hamilton,82,Lois Maxwell,244,Desmond Llewelyn,1105,Jill St. John,2,http://www.imdb.com/title/tt0066995/?ref_=fn_tt_tt_1,276,UK,0
Francis Ford Coppola,0,Marlon Brando,14000,Al Pacino,28122,Robert Duvall,1,http://www.imdb.com/title/tt0068646/?ref_=fn_tt_tt_1,2238,USA,43000
Adrian Lyne,213,Cynthia Rhodes,225,Michael Nouri,791,Lee Ving,0,http://www.imdb.com/title/tt0085549/?ref_=fn_tt_tt_1,128,USA,0
Marc Webb,464,Chloë Grace Moretz,23000,Joseph Gordon-Levitt,54075,Zooey Deschanel,43,http://www.imdb.com/title/tt1022603/?ref_=fn_tt_tt_1,494,USA,40000
Jane Campion,319,Ian Mune,1000,Holly Hunter,1051,Geneviève Lemon,1,http://www.imdb.com/title/tt0107822/?ref_=fn_tt_tt_1,241,New Zealand,0
Steven Soderbergh,0,Alex Pettyfer,17000,Channing Tatum,46646,Matthew McConaughey,1,http://www.imdb.com/title/tt1915581/?ref_=fn_tt_tt_1,281,USA,54000
Jonathan Liebesman,474,Emma Caulfield,1000,Sullivan Stapleton,2212,Angus Sampson,0,http://www.imdb.com/title/tt0282209/?ref_=fn_tt_tt_1,369,USA,2000
Guy Hamilton,82,Geoffrey Holder,581,Yaphet Kotto,1865,Clifton James,3,http://www.imdb.com/title/tt0070328/?ref_=fn_tt_tt_1,251,UK,0
Jay Russell,13,Frankie Muniz,1000,Clint Howard,2515,Cody Linley,0,http://www.imdb.com/title/tt0156812/?ref_=fn_tt_tt_1,149,USA,0
Adam Brooks,20,Sakina Jaffrey,16000,Ryan Reynolds,16289,Paulina Gerzon,5,http://www.imdb.com/title/tt0832266/?ref_=fn_tt_tt_1,168,Germany,0
Salim Akil,70,Loretta Devine,1000,Gary Dourdan,5959,Laz Alonso,8,http://www.imdb.com/title/tt1640484/?ref_=fn_tt_tt_1,59,USA,0
Baz Luhrmann,1000,Elizabeth Debicki,29000,Leonardo DiCaprio,29769,Steve Bisley,4,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,753,Australia,115000
George Clooney,0,Tate Donovan,21000,Robert Downey Jr.,22745,Alex Borstein,0,http://www.imdb.com/title/tt0433383/?ref_=fn_tt_tt_1,526,USA,0
Bennett Miller,152,Michael J. Burg,22000,Philip Seymour Hoffman,22140,Kwesi Ameyaw,1,http://www.imdb.com/title/tt0379725/?ref_=fn_tt_tt_1,416,Canada,0
Robert Rodriguez,0,Steve Buscemi,16000,Quentin Tarantino,33758,Salma Hayek,0,http://www.imdb.com/title/tt0112851/?ref_=fn_tt_tt_1,202,USA,0
Michael Winterbottom,187,Sarah Polley,14000,Milla Jovovich,17104,Shirley Henderson,4,http://www.imdb.com/title/tt0218378/?ref_=fn_tt_tt_1,92,UK,141
,,Adam Goldberg,4000,Kirsten Dunst,19949,Oliver Platt,0,http://www.imdb.com/title/tt2802850/?ref_=fn_tt_tt_1,173,USA,61000
Michael Anderson,23,Jenny Agutter,1000,Farrah Fawcett,2951,Peter Ustinov,1,http://www.imdb.com/title/tt0074812/?ref_=fn_tt_tt_1,242,USA,0
Guy Hamilton,82,Hervé Villechaize,16000,Christopher Lee,17611,Desmond Llewelyn,3,http://www.imdb.com/title/tt0071807/?ref_=fn_tt_tt_1,258,UK,2000
Craig R. Baxley,22,Vanity,1000,Bill Duke,5282,Carl Weathers,2,http://www.imdb.com/title/tt0094612/?ref_=fn_tt_tt_1,65,USA,978
Neil Marshall,197,Shauna Macdonald,513,MyAnna Buring,1379,Craig Conway,0,http://www.imdb.com/title/tt0435625/?ref_=fn_tt_tt_1,1100,UK,10000
Don Kempf,0,Michael Jordan,13000,Bill Murray,13448,Bob Costas,0,http://www.imdb.com/title/tt0245280/?ref_=fn_tt_tt_1,13,USA,407
Matt Bettinelli-Olpin,14,Allison Miller,971,Zach Gilford,2517,Vanessa Ray,0,http://www.imdb.com/title/tt2752758/?ref_=fn_tt_tt_1,120,USA,0
David O. Russell,737,Mary Tyler Moore,718,Lily Tomlin,2240,David Patrick Kelly,3,http://www.imdb.com/title/tt0116324/?ref_=fn_tt_tt_1,105,USA,824
Rob Zombie,0,Ken Foree,1000,Sid Haig,3544,Lew Temple,0,http://www.imdb.com/title/tt0395584/?ref_=fn_tt_tt_1,687,USA,0
,,Alyson Hannigan,4000,Sarah Michelle Gellar,7970,Emma Caulfield,0,http://www.imdb.com/title/tt0118276/?ref_=fn_tt_tt_1,665,USA,6000
Rick Famuyiwa,44,Rick Fox,637,Kimberly Elise,1342,Kiersey Clemons,3,http://www.imdb.com/title/tt3850214/?ref_=fn_tt_tt_1,89,USA,23000
Michael Rymer,48,Omar Epps,1000,LL Cool J,4837,Nia Long,1,http://www.imdb.com/title/tt0160401/?ref_=fn_tt_tt_1,29,USA,375
Sam Mendes,0,Helen McCrory,883,Albert Finney,2039,Rory Kinnear,0,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,1498,UK,80000
Rob Zombie,0,Matthew McGrory,1000,Sid Haig,2444,Erin Daniels,0,http://www.imdb.com/title/tt0251736/?ref_=fn_tt_tt_1,922,USA,0
Sharron Miller,0,Elizabeth MacRae,246,Bernard Fox,345,Charles Aidman,0,http://www.imdb.com/title/tt0072626/?ref_=fn_tt_tt_1,21,USA,44
Ethan Coen,1000,Fred Melamed,816,Michael Stuhlbarg,1120,Peter Breitmayer,1,http://www.imdb.com/title/tt1019452/?ref_=fn_tt_tt_1,324,USA,10000
Aaron Schneider,11,Robert Duvall,13000,Bill Murray,19330,Bill Cobbs,1,http://www.imdb.com/title/tt1194263/?ref_=fn_tt_tt_1,97,USA,0
Steve Miner,49,Richard E. Grant,687,Julian Sands,1990,Lori Singer,0,http://www.imdb.com/title/tt0098622/?ref_=fn_tt_tt_1,79,USA,0
Gina Prince-Bythewood,107,Nate Parker,893,Minnie Driver,3110,Darryl Stephens,1,http://www.imdb.com/title/tt3125324/?ref_=fn_tt_tt_1,37,USA,0
Tom Ford,192,Teddy Sears,14000,Colin Firth,14816,Keri Lynn Pratt,2,http://www.imdb.com/title/tt1315981/?ref_=fn_tt_tt_1,247,USA,16000
Martin Scorsese,17000,Barbara Hershey,883,Irvin Kershner,1934,Roberts Blossom,0,http://www.imdb.com/title/tt0095497/?ref_=fn_tt_tt_1,308,USA,0
Michael Corrente,30,George Wendt,761,Jonathan Brandis,2018,Shawn Hatosy,3,http://www.imdb.com/title/tt0125971/?ref_=fn_tt_tt_1,100,USA,0
Gurinder Chadha,98,Martin Henderson,729,Indira Varma,2321,Anupam Kher,1,http://www.imdb.com/title/tt0361411/?ref_=fn_tt_tt_1,276,UK,0
Phillip Noyce,176,David Gulpilil,116,Roy Billing,312,Deborah Mailman,1,http://www.imdb.com/title/tt0252444/?ref_=fn_tt_tt_1,249,Australia,0
Don Michael Paul,70,Faizon Love,692,Jeffrey Jones,3128,Lil' Wayne,0,http://www.imdb.com/title/tt0785077/?ref_=fn_tt_tt_1,46,USA,446
Tony Maylam,6,Alun Armstrong,206,Michael J. Pollard,493,Alastair Duncan,0,http://www.imdb.com/title/tt0105459/?ref_=fn_tt_tt_1,75,UK,0
,,Xander Berkeley,787,Melinda Clarke,2352,Aaron Stanford,1,http://www.imdb.com/title/tt1592154/?ref_=fn_tt_tt_1,83,USA,0
Mitch Davis,7,Nathaniel Lees,11000,Anne Hathaway,11116,Miriama Smith,2,http://www.imdb.com/title/tt0250371/?ref_=fn_tt_tt_1,85,USA,650
,,Ashley Scott,10000,Jensen Ackles,12051,John Savage,1,http://www.imdb.com/title/tt0204993/?ref_=fn_tt_tt_1,160,USA,0
Yash Chopra,147,Preity Zinta,8000,Shah Rukh Khan,9984,Anupam Kher,0,http://www.imdb.com/title/tt0420332/?ref_=fn_tt_tt_1,119,India,2000
David Mamet,342,Randy Couture,1000,Alice Braga,2158,Jose Pablo Cantillo,0,http://www.imdb.com/title/tt1012804/?ref_=fn_tt_tt_1,119,USA,0
Jay Duplass,157,Tim Guinee,490,Matt Walsh,1136,Katie Aselton,2,http://www.imdb.com/title/tt1336617/?ref_=fn_tt_tt_1,126,USA,0
Kevin Brodie,0,Cheryl Ladd,655,Bruce McGill,1906,Jack Warden,0,http://www.imdb.com/title/tt0160216/?ref_=fn_tt_tt_1,20,USA,157
Paul Schrader,261,Michael McKean,783,Ed Begley Jr.,2684,Kurt Fuller,3,http://www.imdb.com/title/tt0298744/?ref_=fn_tt_tt_1,147,USA,357
George Hickenlooper,60,Jimmy Fallon,4000,Hayden Christensen,6526,Beth Grant,0,http://www.imdb.com/title/tt0432402/?ref_=fn_tt_tt_1,106,USA,3000
Lynne Ramsay,159,Siobhan Fallon Hogan,3000,Ezra Miller,3547,Ashley Gerasimovich,0,http://www.imdb.com/title/tt1242460/?ref_=fn_tt_tt_1,301,UK,38000
John Stephenson,0,Hans Matheson,2000,Samantha Barks,2909,Lesley Manville,0,http://www.imdb.com/title/tt2739338/?ref_=fn_tt_tt_1,34,UK,962
Tim Chambers,2,Marley Shelton,1000,Ellen Burstyn,2589,Jennifer Butler,2,http://www.imdb.com/title/tt1034324/?ref_=fn_tt_tt_1,12,USA,797
Curtis Hanson,161,Shelley Long,10000,Tom Cruise,11059,Rick Rossovich,0,http://www.imdb.com/title/tt0085868/?ref_=fn_tt_tt_1,16,Canada,168
Rodrigo García,127,Jimmy Smits,6000,Naomi Watts,8876,Carla Gallo,6,http://www.imdb.com/title/tt1121977/?ref_=fn_tt_tt_1,65,USA,0
