director_name,duration,genres,num_voted_users,movie_imdb_link,actor_2_facebook_likes,aspect_ratio
Rowan Joffe,111,Crime|Drama|Thriller,5013,http://www.imdb.com/title/tt1233192/?ref_=fn_tt_tt_1,641,2.35
David Hackl,95,Horror|Mystery,88529,http://www.imdb.com/title/tt1132626/?ref_=fn_tt_tt_1,723,1.85
Giuliano Montaldo,96,Crime|Drama|Thriller,618,http://www.imdb.com/title/tt0065895/?ref_=fn_tt_tt_1,545,2.35
Lisa Azuelos,97,Comedy|Drama|Romance,45144,http://www.imdb.com/title/tt1592873/?ref_=fn_tt_tt_1,79,2.35
Ray Lawrence,118,Crime|Drama|Mystery|Thriller,5772,http://www.imdb.com/title/tt0382765/?ref_=fn_tt_tt_1,71,2.35
Karan Johar,193,Drama,13998,http://www.imdb.com/title/tt0449999/?ref_=fn_tt_tt_1,1000,2.35
Oliver Parker,97,Comedy|Romance,12980,http://www.imdb.com/title/tt0122541/?ref_=fn_tt_tt_1,692,1.85
Ruairi Robinson,98,Horror|Sci-Fi|Thriller,28570,http://www.imdb.com/title/tt1709143/?ref_=fn_tt_tt_1,766,2.35
Jaume Balagueró,103,Horror,16747,http://www.imdb.com/title/tt0273517/?ref_=fn_tt_tt_1,451,2.35
Stanley Kubrick,161,Adventure|Mystery|Sci-Fi,427357,http://www.imdb.com/title/tt0062622/?ref_=fn_tt_tt_1,117,2.2
Steven Spielberg,120,Family|Sci-Fi,281842,http://www.imdb.com/title/tt0083866/?ref_=fn_tt_tt_1,725,1.85
Jon Kasdan,97,Comedy|Drama|Romance,27689,http://www.imdb.com/title/tt0419843/?ref_=fn_tt_tt_1,1000,2.35
Léa Pool,97,Adventure|Drama,1337,http://www.imdb.com/title/tt0313300/?ref_=fn_tt_tt_1,450,1.85
Floyd Mutrux,99,Comedy|Drama,859,http://www.imdb.com/title/tt0108320/?ref_=fn_tt_tt_1,446,
,24,Comedy,2651,http://www.imdb.com/title/tt4051832/?ref_=fn_tt_tt_1,102,
Sajid Khan,144,Comedy,8598,http://www.imdb.com/title/tt1573072/?ref_=fn_tt_tt_1,154,
Christopher Cain,111,Drama|History|Romance|Western,2618,http://www.imdb.com/title/tt0473700/?ref_=fn_tt_tt_1,362,1.85
Dean Wright,145,Drama|History|War,3665,http://www.imdb.com/title/tt1566501/?ref_=fn_tt_tt_1,377,2.35
Eric Lartigau,106,Comedy|Drama|Music,15060,http://www.imdb.com/title/tt3547740/?ref_=fn_tt_tt_1,29,1.85
Gus Van Sant,126,Drama,604904,http://www.imdb.com/title/tt0119217/?ref_=fn_tt_tt_1,13000,1.85
Shintaro Shimosawa,106,Drama|Thriller,6935,http://www.imdb.com/title/tt3658772/?ref_=fn_tt_tt_1,12000,2.35
Darren Lynn Bousman,121,Horror|Mystery,142115,http://www.imdb.com/title/tt0489270/?ref_=fn_tt_tt_1,651,1.85
Ivan Reitman,117,Action|Comedy|War,48629,http://www.imdb.com/title/tt0083131/?ref_=fn_tt_tt_1,11000,1.85
Peyton Reed,98,Comedy|Sport,70141,http://www.imdb.com/title/tt0204946/?ref_=fn_tt_tt_1,464,1.85
James DeMonaco,109,Action|Horror|Sci-Fi|Thriller,17596,http://www.imdb.com/title/tt4094724/?ref_=fn_tt_tt_1,465,2.35
Robert Iscove,95,Comedy|Romance,67115,http://www.imdb.com/title/tt0160862/?ref_=fn_tt_tt_1,1000,1.85
Lee Daniels,109,Drama,86956,http://www.imdb.com/title/tt0929632/?ref_=fn_tt_tt_1,906,1.85
Darren Lynn Bousman,96,Horror|Mystery,111087,http://www.imdb.com/title/tt0890870/?ref_=fn_tt_tt_1,651,1.85
Geoffrey Sax,101,Drama|Horror|Mystery|Thriller,41763,http://www.imdb.com/title/tt0375210/?ref_=fn_tt_tt_1,392,2.35
Tyler Perry,107,Comedy|Drama|Romance,8962,http://www.imdb.com/title/tt0455612/?ref_=fn_tt_tt_1,907,1.85
Martin Scorsese,119,Drama|Sport,57831,http://www.imdb.com/title/tt0090863/?ref_=fn_tt_tt_1,970,1.85
Ken Annakin,178,Action|Drama|History|War,43270,http://www.imdb.com/title/tt0056197/?ref_=fn_tt_tt_1,249,2.35
Stephen Herek,100,Comedy|Drama|Family|Sport,44502,http://www.imdb.com/title/tt0104868/?ref_=fn_tt_tt_1,613,1.85
Takashi Shimizu,98,Horror|Mystery|Thriller,115050,http://www.imdb.com/title/tt0391198/?ref_=fn_tt_tt_1,1000,1.85
Dennis Dugan,92,Comedy|Sport,156143,http://www.imdb.com/title/tt0116483/?ref_=fn_tt_tt_1,503,1.85
Victor Salva,90,Horror|Mystery,86890,http://www.imdb.com/title/tt0263488/?ref_=fn_tt_tt_1,322,1.85
Stephen Herek,90,Adventure|Comedy|Music|Sci-Fi,85362,http://www.imdb.com/title/tt0096928/?ref_=fn_tt_tt_1,769,2.35
Carol Reed,153,Drama|Family|Musical,25303,http://www.imdb.com/title/tt0063385/?ref_=fn_tt_tt_1,275,2.35
John Madden,124,Comedy|Drama,75306,http://www.imdb.com/title/tt1412386/?ref_=fn_tt_tt_1,400,2.35
Chuck Sheetz,82,Animation|Comedy|Family|Mystery|Sci-Fi,6808,http://www.imdb.com/title/tt0265632/?ref_=fn_tt_tt_1,563,1.85
George Miller,107,Action|Adventure|Sci-Fi|Thriller,101840,http://www.imdb.com/title/tt0089530/?ref_=fn_tt_tt_1,531,2.35
Mark L. Lester,75,Action|Adventure|Thriller,111649,http://www.imdb.com/title/tt0088944/?ref_=fn_tt_tt_1,745,1.85
William Brent Bell,97,Horror|Mystery|Thriller,35654,http://www.imdb.com/title/tt3882082/?ref_=fn_tt_tt_1,334,2.35
John Erick Dowdle,80,Horror|Mystery|Thriller,104089,http://www.imdb.com/title/tt1314655/?ref_=fn_tt_tt_1,904,2.35
Marcus Raboy,85,Comedy|Drama,19284,http://www.imdb.com/title/tt0293815/?ref_=fn_tt_tt_1,706,1.85
Leigh Whannell,97,Fantasy|Horror|Thriller,54190,http://www.imdb.com/title/tt3195644/?ref_=fn_tt_tt_1,542,2.35
Michael Schultz,109,Action|Comedy|Drama|Music,9424,http://www.imdb.com/title/tt0089461/?ref_=fn_tt_tt_1,841,1.85
Guy Ritchie,104,Comedy|Crime,600996,http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,11000,1.85
Brett Leonard,140,Horror|Sci-Fi,27800,http://www.imdb.com/title/tt0104692/?ref_=fn_tt_tt_1,211,1.85
Peter Sollett,90,Comedy|Drama|Music|Romance,74887,http://www.imdb.com/title/tt0981227/?ref_=fn_tt_tt_1,715,1.85
Kevin Smith,130,Adventure|Comedy|Drama|Fantasy,181737,http://www.imdb.com/title/tt0120655/?ref_=fn_tt_tt_1,1000,2.35
Bob Dolman,98,Comedy|Drama,12388,http://www.imdb.com/title/tt0280460/?ref_=fn_tt_tt_1,797,2.35
Joe Dante,101,Fantasy|Horror|Sci-Fi,25613,http://www.imdb.com/title/tt0086491/?ref_=fn_tt_tt_1,730,1.85
Rowdy Herrington,114,Action|Thriller,42987,http://www.imdb.com/title/tt0098206/?ref_=fn_tt_tt_1,472,2.35
Keenen Ivory Wayans,100,Action|Comedy|Crime,3924,http://www.imdb.com/title/tt0110399/?ref_=fn_tt_tt_1,543,1.85
John Polson,85,Drama|Thriller,16300,http://www.imdb.com/title/tt0283026/?ref_=fn_tt_tt_1,855,2.35
Greg Coolidge,103,Comedy|Romance,37681,http://www.imdb.com/title/tt0424993/?ref_=fn_tt_tt_1,809,1.85
Harry Elfont,100,Comedy|Romance,37885,http://www.imdb.com/title/tt0127723/?ref_=fn_tt_tt_1,945,1.85
Francis Ford Coppola,114,Crime|Drama,57363,http://www.imdb.com/title/tt0086066/?ref_=fn_tt_tt_1,919,2.35
David Lowery,102,Adventure|Family|Fantasy,408,http://www.imdb.com/title/tt2788732/?ref_=fn_tt_tt_1,424,2.35
David Cronenberg,103,Horror|Sci-Fi|Thriller,44804,http://www.imdb.com/title/tt0085407/?ref_=fn_tt_tt_1,278,1.85
Ciarán Foy,97,Horror|Mystery|Thriller,25210,http://www.imdb.com/title/tt2752772/?ref_=fn_tt_tt_1,412,2.35
Salim Akil,116,Drama|Music,5161,http://www.imdb.com/title/tt1876451/?ref_=fn_tt_tt_1,876,2.35
Jamie Blanks,96,Horror|Mystery|Thriller,20467,http://www.imdb.com/title/tt0242998/?ref_=fn_tt_tt_1,533,2.35
Olatunde Osunsanmi,98,Mystery|Sci-Fi|Thriller,63108,http://www.imdb.com/title/tt1220198/?ref_=fn_tt_tt_1,537,2.35
Robert Altman,105,Comedy|Drama|Music,19655,http://www.imdb.com/title/tt0420087/?ref_=fn_tt_tt_1,912,2.35
Leon Ichaso,123,Drama|Thriller,3119,http://www.imdb.com/title/tt0107079/?ref_=fn_tt_tt_1,475,1.85
Joseph Zito,107,Action|Thriller,6143,http://www.imdb.com/title/tt0089348/?ref_=fn_tt_tt_1,324,1.85
Malcolm D. Lee,112,Comedy|Drama|Music|Romance,5585,http://www.imdb.com/title/tt0403455/?ref_=fn_tt_tt_1,918,2.35
Wes Anderson,93,Comedy|Drama,134458,http://www.imdb.com/title/tt0128445/?ref_=fn_tt_tt_1,933,2.35
Colin Strause,97,Action|Sci-Fi|Thriller,76199,http://www.imdb.com/title/tt1564585/?ref_=fn_tt_tt_1,927,2.35
John Madden,122,Comedy|Drama,22369,http://www.imdb.com/title/tt2555736/?ref_=fn_tt_tt_1,186,2.35
Patricia Rozema,101,Drama|Family,4719,http://www.imdb.com/title/tt0846308/?ref_=fn_tt_tt_1,624,1.85
Mark Rosman,100,Comedy|Family|Romance,23527,http://www.imdb.com/title/tt0380623/?ref_=fn_tt_tt_1,962,1.85
Spike Lee,129,Drama|Music|Romance,8295,http://www.imdb.com/title/tt0100168/?ref_=fn_tt_tt_1,269,1.85
Steve Oedekerk,81,Action|Comedy,37901,http://www.imdb.com/title/tt0240468/?ref_=fn_tt_tt_1,67,2.35
Ron Underwood,96,Comedy|Horror|Sci-Fi,90070,http://www.imdb.com/title/tt0100814/?ref_=fn_tt_tt_1,610,1.85
Rob Schmidt,84,Horror|Thriller,87494,http://www.imdb.com/title/tt0295700/?ref_=fn_tt_tt_1,683,1.85
Walter Hill,100,Western,7322,http://www.imdb.com/title/tt0081071/?ref_=fn_tt_tt_1,926,1.85
James Foley,110,Action|Crime|Drama|Mystery|Thriller,15358,http://www.imdb.com/title/tt0142192/?ref_=fn_tt_tt_1,218,2.35
Jeff Nichols,130,Drama,135286,http://www.imdb.com/title/tt1935179/?ref_=fn_tt_tt_1,1000,2.35
Robert Ben Garant,84,Comedy|Crime,23928,http://www.imdb.com/title/tt0499554/?ref_=fn_tt_tt_1,651,1.85
Morgan Spurlock,106,Documentary|Music,22161,http://www.imdb.com/title/tt2515086/?ref_=fn_tt_tt_1,734,1.85
Neal Brennan,89,Comedy,17790,http://www.imdb.com/title/tt1092633/?ref_=fn_tt_tt_1,700,1.85
Tuck Tucker,76,Adventure|Animation|Comedy|Family,4564,http://www.imdb.com/title/tt0314166/?ref_=fn_tt_tt_1,811,1.85
Simon Curtis,99,Biography|Drama,71679,http://www.imdb.com/title/tt1655420/?ref_=fn_tt_tt_1,2000,2.35
Richard Shepard,96,Comedy|Crime|Drama|Thriller,40514,http://www.imdb.com/title/tt0365485/?ref_=fn_tt_tt_1,497,2.35
Theodore Witcher,104,Drama|Romance,2801,http://www.imdb.com/title/tt0119572/?ref_=fn_tt_tt_1,826,1.85
Joel Edgerton,108,Mystery|Thriller,79909,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1,562,2.35
Jim Hanon,108,Adventure|Drama,4360,http://www.imdb.com/title/tt0399862/?ref_=fn_tt_tt_1,232,2.35
Tommy O'Haver,87,Comedy|Romance,15617,http://www.imdb.com/title/tt0192071/?ref_=fn_tt_tt_1,4000,2.35
Mike Judge,89,Comedy,200293,http://www.imdb.com/title/tt0151804/?ref_=fn_tt_tt_1,939,1.85
Michael Patrick Jann,97,Comedy|Romance|Thriller,27265,http://www.imdb.com/title/tt0157503/?ref_=fn_tt_tt_1,980,1.85
Tim Burton,106,Biography|Crime|Drama|Romance,55539,http://www.imdb.com/title/tt1126590/?ref_=fn_tt_tt_1,430,1.85
Peter Berg,100,Comedy|Crime|Thriller,39331,http://www.imdb.com/title/tt0124198/?ref_=fn_tt_tt_1,796,1.85
Joe Nussbaum,89,Comedy|Romance,12706,http://www.imdb.com/title/tt0368975/?ref_=fn_tt_tt_1,2000,1.85
Brian De Palma,114,Mystery|Thriller,20113,http://www.imdb.com/title/tt0086984/?ref_=fn_tt_tt_1,376,1.85
Jorma Taccone,95,Action|Comedy|Romance,35888,http://www.imdb.com/title/tt1470023/?ref_=fn_tt_tt_1,622,2.35
Stephen Frears,97,Crime|Drama|Thriller,34848,http://www.imdb.com/title/tt0301199/?ref_=fn_tt_tt_1,372,1.85
Elizabeth Banks,94,Comedy,79146,http://www.imdb.com/title/tt1333125/?ref_=fn_tt_tt_1,14000,1.85
Florian Henckel von Donnersmarck,103,Action|Romance|Thriller,176606,http://www.imdb.com/title/tt1243957/?ref_=fn_tt_tt_1,11000,2.35
Jeff Lowell,95,Comedy|Fantasy|Romance,21268,http://www.imdb.com/title/tt0785007/?ref_=fn_tt_tt_1,702,2.35
Lorene Scafaria,101,Adventure|Comedy|Drama|Romance|Sci-Fi,87203,http://www.imdb.com/title/tt1307068/?ref_=fn_tt_tt_1,353,2.35
Miguel Arteta,87,Comedy,32697,http://www.imdb.com/title/tt1477837/?ref_=fn_tt_tt_1,939,1.85
,40,Comedy|Crime|Drama|Mystery|Romance,111506,http://www.imdb.com/title/tt0460627/?ref_=fn_tt_tt_1,722,1.78
Tony Kaye,101,Crime|Drama,782437,http://www.imdb.com/title/tt0120586/?ref_=fn_tt_tt_1,816,1.85
Marcus Dunstan,82,Action|Horror|Thriller,36029,http://www.imdb.com/title/tt1748227/?ref_=fn_tt_tt_1,581,2.35
Timothy Björklund,74,Animation|Comedy|Family|Fantasy|Musical,1231,http://www.imdb.com/title/tt0350194/?ref_=fn_tt_tt_1,808,1.85
François Girard,130,Drama|Music|Mystery|Romance,26832,http://www.imdb.com/title/tt0120802/?ref_=fn_tt_tt_1,3,1.85
David Lynch,112,Biography|Drama,63733,http://www.imdb.com/title/tt0166896/?ref_=fn_tt_tt_1,262,2.35
Scott Kalvert,96,Action|Crime|Drama,6200,http://www.imdb.com/title/tt0231448/?ref_=fn_tt_tt_1,11000,2.35
Jason Bateman,89,Comedy|Drama,38459,http://www.imdb.com/title/tt2170299/?ref_=fn_tt_tt_1,497,2.35
David Schwimmer,100,Comedy|Romance|Sport,58509,http://www.imdb.com/title/tt0425413/?ref_=fn_tt_tt_1,269,2.35
Allan Arkush,78,Comedy|Sci-Fi,1040,http://www.imdb.com/title/tt0082507/?ref_=fn_tt_tt_1,695,2.35
Mike Binder,121,Drama,8058,http://www.imdb.com/title/tt2883434/?ref_=fn_tt_tt_1,837,2.35
Eric Bross,85,Comedy|Family|Romance,3662,http://www.imdb.com/title/tt0279286/?ref_=fn_tt_tt_1,405,1.85
Werner Herzog,120,Adventure|Biography|Drama|War,84641,http://www.imdb.com/title/tt0462504/?ref_=fn_tt_tt_1,342,1.85
Dan Fogelman,106,Comedy|Drama|Music,20810,http://www.imdb.com/title/tt1772288/?ref_=fn_tt_tt_1,3000,
Jay Duplass,83,Comedy|Drama,56005,http://www.imdb.com/title/tt1588334/?ref_=fn_tt_tt_1,616,1.85
Luca Guadagnino,120,Drama|Romance,14031,http://www.imdb.com/title/tt1226236/?ref_=fn_tt_tt_1,110,1.85
John Putch,111,Drama|Mystery|Sci-Fi,5612,http://www.imdb.com/title/tt1985017/?ref_=fn_tt_tt_1,759,2.35
Peter Medak,100,Action|Crime|Drama|Thriller,10735,http://www.imdb.com/title/tt0107983/?ref_=fn_tt_tt_1,721,1.85
Steven Soderbergh,89,Crime|Drama|Mystery|Thriller,24412,http://www.imdb.com/title/tt0165854/?ref_=fn_tt_tt_1,296,1.85
Paul Haggis,115,Crime|Drama|Thriller,361169,http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1,912,2.35
Terence Davies,135,Drama|Romance,6377,http://www.imdb.com/title/tt0200720/?ref_=fn_tt_tt_1,576,2.35
Harley Cokeliss,92,Action|Drama|Thriller,1768,http://www.imdb.com/title/tt0093483/?ref_=fn_tt_tt_1,324,1.85
Victor Salva,120,Drama|Romance|Sport,20426,http://www.imdb.com/title/tt0438315/?ref_=fn_tt_tt_1,436,2.35
Tom Brady,97,Comedy,9541,http://www.imdb.com/title/tt1411664/?ref_=fn_tt_tt_1,503,1.85
Spike Lee,135,Comedy|Drama|Music,8720,http://www.imdb.com/title/tt0215545/?ref_=fn_tt_tt_1,975,1.85
Jason Zada,93,Horror|Mystery|Thriller,20837,http://www.imdb.com/title/tt3387542/?ref_=fn_tt_tt_1,35,1.85
Franklin J. Schaffner,118,Adventure|Mystery|Thriller,892,http://www.imdb.com/title/tt0083113/?ref_=fn_tt_tt_1,488,2.35
Noah Baumbach,97,Comedy|Drama,30325,http://www.imdb.com/title/tt1791682/?ref_=fn_tt_tt_1,139,1.85
Chris Weitz,98,Drama|Romance,13174,http://www.imdb.com/title/tt1554091/?ref_=fn_tt_tt_1,252,1.85
David Cronenberg,98,Drama|Mystery|Thriller,30096,http://www.imdb.com/title/tt0278731/?ref_=fn_tt_tt_1,387,1.78
Eric Blakeney,101,Comedy|Crime|Romance,5936,http://www.imdb.com/title/tt0171356/?ref_=fn_tt_tt_1,1000,1.85
Douglas McGrath,132,Drama|Romance,9395,http://www.imdb.com/title/tt0309912/?ref_=fn_tt_tt_1,11000,2.35
Ariel Vromen,106,Biography|Crime|Drama,55567,http://www.imdb.com/title/tt1491044/?ref_=fn_tt_tt_1,11000,1.85
,55,Drama,12591,http://www.imdb.com/title/tt0092337/?ref_=fn_tt_tt_1,3,1.33
Rakesh Roshan,168,Action|Adventure|Romance|Sci-Fi,12411,http://www.imdb.com/title/tt0432637/?ref_=fn_tt_tt_1,200,2.35
John Waters,87,Comedy|Crime|Thriller,11403,http://www.imdb.com/title/tt0173716/?ref_=fn_tt_tt_1,537,1.85
William Friedkin,98,Crime|Drama|Romance|Thriller,59297,http://www.imdb.com/title/tt1726669/?ref_=fn_tt_tt_1,414,1.85
Derrick Borte,96,Comedy|Drama,33473,http://www.imdb.com/title/tt1285309/?ref_=fn_tt_tt_1,989,2.35
Richard Kwietniowski,104,Crime|Drama|Thriller,10585,http://www.imdb.com/title/tt0285861/?ref_=fn_tt_tt_1,893,2.35
Bob Odenkirk,93,Comedy,9517,http://www.imdb.com/title/tt0784972/?ref_=fn_tt_tt_1,799,1.85
Kar-Wai Wong,95,Drama|Romance,44208,http://www.imdb.com/title/tt0765120/?ref_=fn_tt_tt_1,329,2.35
John Turturro,119,Drama,1402,http://www.imdb.com/title/tt0120709/?ref_=fn_tt_tt_1,623,1.85
Guy Ritchie,89,Comedy|Romance,13145,http://www.imdb.com/title/tt0291502/?ref_=fn_tt_tt_1,711,1.85
Joshua Seftel,107,Action|Comedy|Thriller,20008,http://www.imdb.com/title/tt0884224/?ref_=fn_tt_tt_1,175,1.78
Stephen Chow,85,Action|Comedy|Sport,56923,http://www.imdb.com/title/tt0286112/?ref_=fn_tt_tt_1,83,1.85
Vincent Gallo,93,Drama,11487,http://www.imdb.com/title/tt0330099/?ref_=fn_tt_tt_1,96,1.66
Claude Chabrol,101,Comedy|Crime|Thriller,1649,http://www.imdb.com/title/tt0120018/?ref_=fn_tt_tt_1,541,1.66
Jon Stewart,103,Biography|Drama,8307,http://www.imdb.com/title/tt2752688/?ref_=fn_tt_tt_1,362,1.85
Bigas Luna,101,Drama|Romance,1135,http://www.imdb.com/title/tt0129923/?ref_=fn_tt_tt_1,130,2.35
Ralph Fiennes,123,Drama|Thriller|War,27009,http://www.imdb.com/title/tt1372686/?ref_=fn_tt_tt_1,451,2.35
Dan Harris,111,Comedy|Drama,8708,http://www.imdb.com/title/tt0373024/?ref_=fn_tt_tt_1,181,2.35
Mel Smith,86,Action|Comedy|Drama,3080,http://www.imdb.com/title/tt0253126/?ref_=fn_tt_tt_1,798,1.85
Bobcat Goldthwait,99,Comedy|Drama,31964,http://www.imdb.com/title/tt1262981/?ref_=fn_tt_tt_1,640,1.85
Christopher Smith,90,Comedy|Horror|Thriller,31890,http://www.imdb.com/title/tt0464196/?ref_=fn_tt_tt_1,769,1.85
Stuart Gordon,82,Drama|Thriller,9971,http://www.imdb.com/title/tt0443496/?ref_=fn_tt_tt_1,922,1.85
Jake Scott,110,Drama,19979,http://www.imdb.com/title/tt1183923/?ref_=fn_tt_tt_1,793,1.85
Alan Metter,83,Comedy|Crime,24958,http://www.imdb.com/title/tt0110857/?ref_=fn_tt_tt_1,542,1.85
Jeb Stuart,128,Drama,465,http://www.imdb.com/title/tt1210039/?ref_=fn_tt_tt_1,664,2.35
