director_name,actor_1_name,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,content_rating,title_year,imdb_score,aspect_ratio,movie_facebook_likes
Elizabeth Banks,Hugh Jackman,Movie 43 ,79146,Seth MacFarlane,10,http://www.imdb.com/title/tt1333125/?ref_=fn_tt_tt_1,352,R,2013,4.3,1.85,25000
Florian Henckel von Donnersmarck,Johnny Depp,The Tourist ,176606,Rufus Sewell,0,http://www.imdb.com/title/tt1243957/?ref_=fn_tt_tt_1,374,PG-13,2010,6.0,2.35,25000
Jeff Lowell,Stephen Root,Over Her Dead Body ,21268,Wendi McLendon-Covey,0,http://www.imdb.com/title/tt0785007/?ref_=fn_tt_tt_1,53,PG-13,2008,5.2,2.35,518
Lorene Scafaria,Steve Carell,Seeking a Friend for the End of the World ,87203,Rob Huebel,2,http://www.imdb.com/title/tt1307068/?ref_=fn_tt_tt_1,221,R,2012,6.7,2.35,25000
Miguel Arteta,Kurtwood Smith,Cedar Rapids ,32697,Alia Shawkat,1,http://www.imdb.com/title/tt1477837/?ref_=fn_tt_tt_1,85,R,2011,6.3,1.85,0
,Michaela Conlin,Bones             ,111506,Tamara Taylor,2,http://www.imdb.com/title/tt0460627/?ref_=fn_tt_tt_1,173,TV-14,,7.9,1.78,0
Tony Kaye,Ethan Suplee,American History X ,782437,Stacy Keach,2,http://www.imdb.com/title/tt0120586/?ref_=fn_tt_tt_1,1420,R,1998,8.6,1.85,35000
Marcus Dunstan,Daniel Sharman,The Collection ,36029,Lee Tergesen,0,http://www.imdb.com/title/tt1748227/?ref_=fn_tt_tt_1,99,R,2012,6.1,2.35,14000
Timothy Björklund,Nathan Lane,Teacher's Pet ,1231,Jerry Stiller,0,http://www.imdb.com/title/tt0350194/?ref_=fn_tt_tt_1,26,PG,2004,5.8,1.85,49
François Girard,Johannes Silberschneider,The Red Violin ,26832,Carlo Cecchi,3,http://www.imdb.com/title/tt0120802/?ref_=fn_tt_tt_1,247,R,1998,7.7,1.85,0
David Lynch,Sissy Spacek,The Straight Story ,63733,Everett McGill,0,http://www.imdb.com/title/tt0166896/?ref_=fn_tt_tt_1,414,G,1999,8.0,2.35,0
Scott Kalvert,Norman Reedus,Deuces Wild ,6200,Frankie Muniz,1,http://www.imdb.com/title/tt0231448/?ref_=fn_tt_tt_1,92,R,2002,5.6,2.35,398
Jason Bateman,Beth Grant,Bad Words ,38459,Patricia Belcher,0,http://www.imdb.com/title/tt2170299/?ref_=fn_tt_tt_1,119,R,2013,6.7,2.35,0
David Schwimmer,Dylan Moran,Run, Fatboy, Run ,58509,India de Beaufort,0,http://www.imdb.com/title/tt0425413/?ref_=fn_tt_tt_1,143,PG-13,2007,6.6,2.35,0
Allan Arkush,Bernadette Peters,Heartbeeps ,1040,Christopher Guest,0,http://www.imdb.com/title/tt0082507/?ref_=fn_tt_tt_1,31,PG,1981,4.2,2.35,425
Mike Binder,Jennifer Ehle,Black or White ,8058,Jillian Estell,2,http://www.imdb.com/title/tt2883434/?ref_=fn_tt_tt_1,57,PG-13,2014,6.6,2.35,0
Eric Bross,Jerry Stiller,On the Line ,3662,Dave Foley,2,http://www.imdb.com/title/tt0279286/?ref_=fn_tt_tt_1,79,PG,2001,4.1,1.85,0
Werner Herzog,Christian Bale,Rescue Dawn ,84641,François Chau,0,http://www.imdb.com/title/tt0462504/?ref_=fn_tt_tt_1,205,PG-13,2006,7.3,1.85,0
Dan Fogelman,Al Pacino,Danny Collins ,20810,Melissa Benoist,0,http://www.imdb.com/title/tt1772288/?ref_=fn_tt_tt_1,100,R,2015,7.1,,0
Jay Duplass,Judy Greer,Jeff, Who Lives at Home ,56005,Rae Dawn Chong,5,http://www.imdb.com/title/tt1588334/?ref_=fn_tt_tt_1,112,R,2011,6.5,1.85,0
Luca Guadagnino,Flavio Parenti,I Am Love ,14031,Alba Rohrwacher,1,http://www.imdb.com/title/tt1226236/?ref_=fn_tt_tt_1,114,R,2009,7.0,1.85,0
John Putch,Robert Picardo,Atlas Shrugged II: The Strike ,5612,Esai Morales,0,http://www.imdb.com/title/tt1985017/?ref_=fn_tt_tt_1,122,PG-13,2012,5.5,2.35,0
Peter Medak,Gary Oldman,Romeo Is Bleeding ,10735,Lena Olin,1,http://www.imdb.com/title/tt0107983/?ref_=fn_tt_tt_1,88,R,1993,6.6,1.85,561
Steven Soderbergh,Peter Fonda,The Limey ,24412,William Lucking,0,http://www.imdb.com/title/tt0165854/?ref_=fn_tt_tt_1,240,R,1999,7.1,1.85,944
Paul Haggis,Don Cheadle,Crash ,361169,Jennifer Esposito,0,http://www.imdb.com/title/tt0375679/?ref_=fn_tt_tt_1,1624,R,2004,7.9,2.35,18000
Terence Davies,Eric Stoltz,The House of Mirth ,6377,Elizabeth McGovern,0,http://www.imdb.com/title/tt0200720/?ref_=fn_tt_tt_1,181,PG,2000,7.1,2.35,345
Harley Cokeliss,Cliff Robertson,Malone ,1768,Dennis Burkley,4,http://www.imdb.com/title/tt0093483/?ref_=fn_tt_tt_1,37,R,1987,5.6,1.85,208
Victor Salva,Scott Mechlowicz,Peaceful Warrior ,20426,Agnes Bruckner,1,http://www.imdb.com/title/tt0438315/?ref_=fn_tt_tt_1,175,PG-13,2006,7.3,2.35,0
Tom Brady,Don Johnson,Bucky Larson: Born to Be a Star ,9541,Nicholas Turturro,1,http://www.imdb.com/title/tt1411664/?ref_=fn_tt_tt_1,64,R,2011,3.3,1.85,0
Spike Lee,Gillian White,Bamboozled ,8720,Jada Pinkett Smith,0,http://www.imdb.com/title/tt0215545/?ref_=fn_tt_tt_1,186,R,2000,6.5,1.85,1000
Jason Zada,Eoin Macken,The Forest ,20837,Gen Seto,1,http://www.imdb.com/title/tt3387542/?ref_=fn_tt_tt_1,127,PG-13,2016,4.8,1.85,10000
Franklin J. Schaffner,Frank Langella,Sphinx ,892,John Gielgud,0,http://www.imdb.com/title/tt0083113/?ref_=fn_tt_tt_1,21,PG,1981,5.2,2.35,106
Noah Baumbach,Naomi Watts,While We're Young ,30325,Dree Hemingway,2,http://www.imdb.com/title/tt1791682/?ref_=fn_tt_tt_1,96,R,2014,6.3,1.85,0
Chris Weitz,Demián Bichir,A Better Life ,13174,Robert Peters,0,http://www.imdb.com/title/tt1554091/?ref_=fn_tt_tt_1,81,PG-13,2011,7.2,1.85,0
David Cronenberg,Miranda Richardson,Spider ,30096,Lynn Redgrave,0,http://www.imdb.com/title/tt0278731/?ref_=fn_tt_tt_1,213,R,2002,6.8,1.78,0
Eric Blakeney,Liam Neeson,Gun Shy ,5936,Mitch Pileggi,0,http://www.imdb.com/title/tt0171356/?ref_=fn_tt_tt_1,91,R,2000,5.7,1.85,242
Douglas McGrath,Charlie Hunnam,Nicholas Nickleby ,9395,Jim Broadbent,1,http://www.imdb.com/title/tt0309912/?ref_=fn_tt_tt_1,103,PG,2002,7.2,2.35,0
Ariel Vromen,Chris Evans,The Iceman ,55567,Robert Davi,1,http://www.imdb.com/title/tt1491044/?ref_=fn_tt_tt_1,144,R,2012,6.9,1.85,20000
,Krystyna Janda,Dekalog             ,12591,Olgierd Lukaszewicz,0,http://www.imdb.com/title/tt0092337/?ref_=fn_tt_tt_1,37,TV-MA,,9.1,1.33,0
Rakesh Roshan,Naseeruddin Shah,Krrish ,12411,Sharat Saxena,0,http://www.imdb.com/title/tt0432637/?ref_=fn_tt_tt_1,110,Not Rated,2006,6.3,2.35,533
John Waters,Alicia Witt,Cecil B. DeMented ,11403,Kevin Nealon,2,http://www.imdb.com/title/tt0173716/?ref_=fn_tt_tt_1,150,R,2000,6.2,1.85,795
William Friedkin,Matthew McConaughey,Killer Joe ,59297,Carol Sutton,0,http://www.imdb.com/title/tt1726669/?ref_=fn_tt_tt_1,216,R,2011,6.7,1.85,12000
Derrick Borte,Demi Moore,The Joneses ,33473,Robert Pralgo,4,http://www.imdb.com/title/tt1285309/?ref_=fn_tt_tt_1,88,R,2009,6.5,2.35,0
Richard Kwietniowski,Philip Seymour Hoffman,Owning Mahowny ,10585,Maury Chaykin,1,http://www.imdb.com/title/tt0285861/?ref_=fn_tt_tt_1,83,R,2003,7.2,2.35,0
Bob Odenkirk,Jenna Fischer,The Brothers Solomon ,9517,Will Forte,2,http://www.imdb.com/title/tt0784972/?ref_=fn_tt_tt_1,46,R,2007,5.3,1.85,319
Kar-Wai Wong,Natalie Portman,My Blueberry Nights ,44208,Adriane Lenox,3,http://www.imdb.com/title/tt0765120/?ref_=fn_tt_tt_1,117,PG-13,2007,6.7,2.35,0
John Turturro,Beverly D'Angelo,Illuminata ,1402,George DiCenzo,0,http://www.imdb.com/title/tt0120709/?ref_=fn_tt_tt_1,40,R,1998,6.2,1.85,74
Guy Ritchie,Bruce Greenwood,Swept Away ,13145,David Thornton,0,http://www.imdb.com/title/tt0291502/?ref_=fn_tt_tt_1,215,R,2002,3.6,1.85,725
Joshua Seftel,Bashar Rahal,War, Inc. ,20008,Ned Bellamy,3,http://www.imdb.com/title/tt0884224/?ref_=fn_tt_tt_1,112,R,2008,5.7,1.78,883
Stephen Chow,Wei Zhao,Shaolin Soccer ,56923,Kwok-Kwan Chan,2,http://www.imdb.com/title/tt0286112/?ref_=fn_tt_tt_1,243,PG,2001,7.3,1.85,0
Vincent Gallo,Vincent Gallo,The Brown Bunny ,11487,Anna Vareschi,0,http://www.imdb.com/title/tt0330099/?ref_=fn_tt_tt_1,226,Not Rated,2003,5.0,1.66,952
Claude Chabrol,Isabelle Huppert,The Swindle ,1649,Michel Serrault,0,http://www.imdb.com/title/tt0120018/?ref_=fn_tt_tt_1,21,,1997,6.6,1.66,33
Jon Stewart,Numan Acar,Rosewater ,8307,Haluk Bilginer,0,http://www.imdb.com/title/tt2752688/?ref_=fn_tt_tt_1,37,R,2014,6.6,1.85,5000
Bigas Luna,Olivier Martinez,The Chambermaid on the Titanic ,1135,Romane Bohringer,1,http://www.imdb.com/title/tt0129923/?ref_=fn_tt_tt_1,14,,1997,6.8,2.35,85
Ralph Fiennes,Gerard Butler,Coriolanus ,27009,Lubna Azabal,0,http://www.imdb.com/title/tt1372686/?ref_=fn_tt_tt_1,118,R,2011,6.2,2.35,12000
Dan Harris,Kip Pardue,Imaginary Heroes ,8708,Larry Fessenden,2,http://www.imdb.com/title/tt0373024/?ref_=fn_tt_tt_1,56,R,2004,7.3,2.35,345
Mel Smith,Minnie Driver,High Heels and Low Lifes ,3080,Mary McCormack,2,http://www.imdb.com/title/tt0253126/?ref_=fn_tt_tt_1,44,R,2001,6.2,1.85,117
Bobcat Goldthwait,Robin Williams,World's Greatest Dad ,31964,Henry Simmons,1,http://www.imdb.com/title/tt1262981/?ref_=fn_tt_tt_1,129,R,2009,6.9,1.85,0
Christopher Smith,Danny Dyer,Severance ,31890,Laura Harris,0,http://www.imdb.com/title/tt0464196/?ref_=fn_tt_tt_1,194,R,2006,6.6,1.85,0
Stuart Gordon,Joe Mantegna,Edmond ,9971,Jeffrey Combs,1,http://www.imdb.com/title/tt0443496/?ref_=fn_tt_tt_1,119,R,2005,6.3,1.85,661
Jake Scott,Kristen Stewart,Welcome to the Rileys ,19979,Kerry Cahill,3,http://www.imdb.com/title/tt1183923/?ref_=fn_tt_tt_1,56,R,2010,7.0,1.85,0
Alan Metter,Christopher Lee,Police Academy: Mission to Moscow ,24958,G.W. Bailey,0,http://www.imdb.com/title/tt0110857/?ref_=fn_tt_tt_1,103,PG,1994,3.3,1.85,321
Jeb Stuart,Ricky Schroder,Blood Done Sign My Name ,465,Lee Norris,0,http://www.imdb.com/title/tt1210039/?ref_=fn_tt_tt_1,3,PG-13,2010,6.7,2.35,503
Rafa Lara,Jorge Luis Moreno,Cinco de Mayo, La Batalla ,683,William Miller,1,http://www.imdb.com/title/tt2553908/?ref_=fn_tt_tt_1,3,R,2013,6.2,,874
Michael Radford,Chris Noth,Elsa & Fred ,2041,James Brolin,0,http://www.imdb.com/title/tt2113659/?ref_=fn_tt_tt_1,18,PG-13,2014,6.5,2.35,0
Arthur Hiller,Eric Idle,An Alan Smithee Film: Burn Hollywood Burn ,2971,Ryan O'Neal,0,http://www.imdb.com/title/tt0118577/?ref_=fn_tt_tt_1,85,R,1997,3.5,1.85,89
Michael Meredith,Jeff Bridges,The Open Road ,2941,Ted Danson,2,http://www.imdb.com/title/tt1007018/?ref_=fn_tt_tt_1,11,PG-13,2009,5.5,2.35,370
Julio DePietro,Adrian Martinez,The Good Guy ,7759,Aaron Yoo,2,http://www.imdb.com/title/tt1247662/?ref_=fn_tt_tt_1,20,R,2009,5.9,1.85,1000
Katherine Dieckmann,Stephanie Szostak,Motherhood ,3662,Anthony Edwards,1,http://www.imdb.com/title/tt1220220/?ref_=fn_tt_tt_1,23,PG-13,2009,4.7,1.85,546
William Dear,Madison Pettis,Free Style ,361,Sandra Echeverría,3,http://www.imdb.com/title/tt1128071/?ref_=fn_tt_tt_1,4,PG,2008,4.2,1.85,58
Kim Farrant,Nicholas Hamilton,Strangerland ,5637,Sean Keenan,0,http://www.imdb.com/title/tt2325977/?ref_=fn_tt_tt_1,57,R,2015,5.2,2.39,0
Marcus Raboy,Mike Epps,The Janky Promoters ,1097,Glenn Plummer,2,http://www.imdb.com/title/tt1210071/?ref_=fn_tt_tt_1,10,R,2009,5.2,1.85,402
Scott Marshall,Drew Fuller,Blonde Ambition ,4995,Larry Miller,1,http://www.imdb.com/title/tt0887719/?ref_=fn_tt_tt_1,34,PG-13,2007,3.9,1.85,160
Álex de la Iglesia,Jim Carter,The Oxford Murders ,22753,Danny Sapani,4,http://www.imdb.com/title/tt0488604/?ref_=fn_tt_tt_1,94,R,2008,6.1,2.35,0
Andrew Traucki,Damian Walshe-Howling,The Reef ,11950,Adrienne Pickering,0,http://www.imdb.com/title/tt1320291/?ref_=fn_tt_tt_1,89,R,2010,5.8,2.35,0
Michael Clancy,Zooey Deschanel,Eulogy ,7690,Kelly Preston,6,http://www.imdb.com/title/tt0349416/?ref_=fn_tt_tt_1,68,R,2004,6.7,1.85,376
Patrick Lussier,Teryl Rothery,White Noise 2: The Light ,11285,Adrian Holmes,0,http://www.imdb.com/title/tt0496436/?ref_=fn_tt_tt_1,82,PG-13,2007,5.7,2.35,509
Robert Adetuyi,Shane Pollard,You Got Served: Beat the World ,1642,Chase Armitage,0,http://www.imdb.com/title/tt1568139/?ref_=fn_tt_tt_1,11,PG-13,2011,4.5,2.35,0
Kari Skogland,Jim Sturgess,Fifty Dead Men Walking ,9585,Michael McElhatton,1,http://www.imdb.com/title/tt1097643/?ref_=fn_tt_tt_1,38,R,2008,6.9,2.35,0
Taedong Park,Drake Bell,Jungle Shuffle ,162,Amanda Troop,0,http://www.imdb.com/title/tt2722786/?ref_=fn_tt_tt_1,2,,2014,4.8,,186
Paul Schrader,Veronica Ferres,Adam Resurrected ,3075,Derek Jacobi,2,http://www.imdb.com/title/tt0479341/?ref_=fn_tt_tt_1,31,R,2008,6.3,2.35,589
Benedikt Erlingsson,Ingvar Eggert Sigurðsson,Of Horses and Men ,1920,Sigríður María Egilsdóttir,0,http://www.imdb.com/title/tt3074732/?ref_=fn_tt_tt_1,7,,2013,6.9,2.35,1000
Gurinder Chadha,Sendhil Ramamurthy,It's a Wonderful Afterlife ,1250,Shabana Azmi,1,http://www.imdb.com/title/tt1319716/?ref_=fn_tt_tt_1,16,PG-13,2010,5.4,2.35,695
Jason Connery,Ray Winstone,The Devil's Tomb ,5715,Jason London,4,http://www.imdb.com/title/tt1147687/?ref_=fn_tt_tt_1,60,R,2009,3.8,1.85,486
Vic Sarin,Jimi Mistry,Partition ,2223,John Light,2,http://www.imdb.com/title/tt0213985/?ref_=fn_tt_tt_1,27,R,2007,7.0,2.35,746
Jim Issa,Elaine Hendrix,Good Intentions ,553,Jon Gries,5,http://www.imdb.com/title/tt1070781/?ref_=fn_tt_tt_1,3,PG-13,2010,5.2,,119
Jee-woon Kim,Kang-ho Song,The Good, the Bad, the Weird ,26156,Dal-su Oh,0,http://www.imdb.com/title/tt0901487/?ref_=fn_tt_tt_1,74,R,2008,7.3,2.35,0
Douglas Aarniokoski,Boris Kodjoe,Nurse 3D ,7286,Kathleen Turner,0,http://www.imdb.com/title/tt1913166/?ref_=fn_tt_tt_1,75,R,2013,4.6,2.35,0
William Phillips,Tyler Mane,Gunless ,3015,Dustin Milligan,1,http://www.imdb.com/title/tt1376195/?ref_=fn_tt_tt_1,27,,2010,6.5,2.35,850
Greg Mottola,Kristen Stewart,Adventureland ,131180,Wendie Malick,6,http://www.imdb.com/title/tt1091722/?ref_=fn_tt_tt_1,220,R,2009,6.8,1.85,0
Andy Garcia,Danny Pino,The Lost City ,8369,Enrique Murciano,0,http://www.imdb.com/title/tt0343996/?ref_=fn_tt_tt_1,165,R,2005,6.7,1.85,957
Steve Carr,John Witherspoon,Next Friday ,27492,Rolando Molina,1,http://www.imdb.com/title/tt0195945/?ref_=fn_tt_tt_1,84,R,2000,6.1,1.85,0
Sarik Andreasyan,Hayden Christensen,American Heist ,12372,Akon,1,http://www.imdb.com/title/tt2923316/?ref_=fn_tt_tt_1,42,R,2014,5.2,,0
Lewis Gilbert,Donald Pleasence,You Only Live Twice ,75280,Desmond Llewelyn,0,http://www.imdb.com/title/tt0062512/?ref_=fn_tt_tt_1,267,Approved,1967,6.9,2.35,0
Julian Gilbey,Mem Ferda,Plastic ,5865,Malese Jow,7,http://www.imdb.com/title/tt2556874/?ref_=fn_tt_tt_1,12,R,2014,6.0,,1000
Michael Haneke,Isabelle Huppert,Amour ,70382,Jean-Louis Trintignant,1,http://www.imdb.com/title/tt1602620/?ref_=fn_tt_tt_1,190,PG-13,2012,7.9,1.85,33000
Gary Sherman,Tom Skerritt,Poltergeist III ,13190,Zelda Rubinstein,0,http://www.imdb.com/title/tt0095889/?ref_=fn_tt_tt_1,114,PG-13,1988,4.5,1.85,616
Valeri Milev,Daniella Alonso,Re-Kill ,1763,Jesse Garcia,0,http://www.imdb.com/title/tt1612319/?ref_=fn_tt_tt_1,26,R,2015,5.1,1.78,898
Stanley Kramer,Jonathan Winters,It's a Mad, Mad, Mad, Mad World ,29323,Spencer Tracy,0,http://www.imdb.com/title/tt0057193/?ref_=fn_tt_tt_1,344,Approved,1963,7.6,2.76,0
Pedro Almodóvar,Carmen Maura,Volver ,76681,Antonio de la Torre,1,http://www.imdb.com/title/tt0441909/?ref_=fn_tt_tt_1,228,R,2006,7.6,2.35,0
Gerald Potterton,John Vernon,Heavy Metal ,23516,Don Francks,0,http://www.imdb.com/title/tt0082509/?ref_=fn_tt_tt_1,147,R,1981,6.7,1.37,0
Jared Hess,Jizelle Jade,Gentlemen Broncos ,9006,Héctor Jiménez,7,http://www.imdb.com/title/tt1161418/?ref_=fn_tt_tt_1,54,PG-13,2009,6.1,,0
Richard Loncraine,Robert Downey Jr.,Richard III ,11612,Kristin Scott Thomas,3,http://www.imdb.com/title/tt0114279/?ref_=fn_tt_tt_1,88,R,1995,7.5,2.35,0
David Hackl,Scott Glenn,Into the Grizzly Maze ,4486,Luisa D'Oliveira,4,http://www.imdb.com/title/tt1694021/?ref_=fn_tt_tt_1,38,R,2015,5.3,1.85,0
Anurag Basu,Bárbara Mori,Kites ,9673,Kabir Bedi,0,http://www.imdb.com/title/tt1198101/?ref_=fn_tt_tt_1,106,,2010,6.0,,0
Lars von Trier,Alexander Skarsgård,Melancholia ,128729,Charlotte Rampling,1,http://www.imdb.com/title/tt1527186/?ref_=fn_tt_tt_1,551,R,2011,7.1,2.35,50000
Kriv Stenders,Noah Taylor,Red Dog ,13003,Luke Ford,0,http://www.imdb.com/title/tt0803061/?ref_=fn_tt_tt_1,80,PG,2011,7.5,2.35,10000
Yash Chopra,Shah Rukh Khan,Jab Tak Hai Jaan ,42296,Vic Waghorn,4,http://www.imdb.com/title/tt2176013/?ref_=fn_tt_tt_1,286,Not Rated,2012,6.9,2.35,12000
Ridley Scott,Tom Skerritt,Alien ,563827,Bolaji Badejo,0,http://www.imdb.com/title/tt0078748/?ref_=fn_tt_tt_1,1110,R,1979,8.5,2.35,23000
Tobe Hooper,Gunnar Hansen,The Texas Chain Saw Massacre ,96410,Marilyn Burns,0,http://www.imdb.com/title/tt0072271/?ref_=fn_tt_tt_1,826,R,1974,7.5,1.85,0
Floria Sigismondi,Kristen Stewart,The Runaways ,39260,Johnny Lewis,2,http://www.imdb.com/title/tt1017451/?ref_=fn_tt_tt_1,129,R,2010,6.6,2.35,0
Norman Jewison,Topol,Fiddler on the Roof ,29839,Rosalind Harris,0,http://www.imdb.com/title/tt0067093/?ref_=fn_tt_tt_1,150,G,1971,8.0,2.35,0
Terence Young,Desmond Llewelyn,Thunderball ,82073,Lois Maxwell,1,http://www.imdb.com/title/tt0059800/?ref_=fn_tt_tt_1,275,Approved,1965,7.0,2.35,0
Joseph Kahn,Josh Hutcherson,Detention ,12520,Parker Bagley,2,http://www.imdb.com/title/tt1701990/?ref_=fn_tt_tt_1,76,R,2011,5.8,2.35,0
Ferzan Ozpetek,Riccardo Scamarcio,Loose Cannons ,8667,Lunetta Savino,9,http://www.imdb.com/title/tt1405810/?ref_=fn_tt_tt_1,29,,2010,7.3,2.35,0
F. Gary Gray,Vivica A. Fox,Set It Off ,10139,Blair Underwood,4,http://www.imdb.com/title/tt0117603/?ref_=fn_tt_tt_1,70,R,1996,6.8,2.35,0
Malcolm D. Lee,Harold Perrineau,The Best Man ,6525,Jarrod Bunch,6,http://www.imdb.com/title/tt0168501/?ref_=fn_tt_tt_1,79,R,1999,6.7,1.85,0
Tom Holland,Catherine Hicks,Child's Play ,62038,Dinah Manoff,0,http://www.imdb.com/title/tt0094862/?ref_=fn_tt_tt_1,281,R,1988,6.5,1.85,0
Michael Moore,Michael Moore,Sicko ,66610,Bill Clinton,1,http://www.imdb.com/title/tt0386032/?ref_=fn_tt_tt_1,429,PG-13,2007,8.0,1.85,0
James DeMonaco,Noel Gugliemi,The Purge: Anarchy ,92364,Roberta Valderrama,0,http://www.imdb.com/title/tt2975578/?ref_=fn_tt_tt_1,244,R,2014,6.5,2.35,15000
Kris Isacsson,Rosario Dawson,Down to You ,12324,Shawn Hatosy,1,http://www.imdb.com/title/tt0186975/?ref_=fn_tt_tt_1,173,PG-13,2000,4.9,1.85,580
Danny Leiner,Ethan Embry,Harold & Kumar Go to White Castle ,155262,Paula Garcés,2,http://www.imdb.com/title/tt0366551/?ref_=fn_tt_tt_1,316,R,2004,7.1,1.85,0
Rod Lurie,Jeff Bridges,The Contender ,20449,William Petersen,0,http://www.imdb.com/title/tt0208874/?ref_=fn_tt_tt_1,370,R,2000,7.0,1.85,1000
Ben Younger,Vin Diesel,Boiler Room ,41313,Herbert Russell,3,http://www.imdb.com/title/tt0181984/?ref_=fn_tt_tt_1,246,R,2000,7.0,1.85,0
John Landis,Don Ameche,Trading Places ,102895,Ralph Bellamy,2,http://www.imdb.com/title/tt0086465/?ref_=fn_tt_tt_1,159,R,1983,7.5,1.85,0
Glen Morgan,Oliver Hudson,Black Christmas ,19918,Andrea Martin,0,http://www.imdb.com/title/tt0454082/?ref_=fn_tt_tt_1,278,R,2006,4.5,2.35,0
Daniel Taplitz,Jennifer Esposito,Breakin' All the Rules ,4247,Patrick Cranshaw,1,http://www.imdb.com/title/tt0349169/?ref_=fn_tt_tt_1,26,PG-13,2004,5.5,2.35,266
Kenneth Branagh,Brian Blessed,Henry V ,23441,Danny Webb,1,http://www.imdb.com/title/tt0097499/?ref_=fn_tt_tt_1,108,PG-13,1989,7.7,1.85,0
Tamara Jenkins,Philip Seymour Hoffman,The Savages ,32188,Gbenga Akinnagbe,0,http://www.imdb.com/title/tt0775529/?ref_=fn_tt_tt_1,127,R,2007,7.2,1.85,0
Linda Mendoza,Carlos Ponce,Chasing Papi ,3419,Maria Conchita Alonso,3,http://www.imdb.com/title/tt0323572/?ref_=fn_tt_tt_1,41,PG,2003,4.8,1.85,419
Christopher McQuarrie,Kristin Lehman,The Way of the Gun ,27536,Dylan Kussman,4,http://www.imdb.com/title/tt0202677/?ref_=fn_tt_tt_1,327,R,2000,6.7,1.85,1000
Burr Steers,Kieran Culkin,Igby Goes Down ,29058,Bill Irwin,1,http://www.imdb.com/title/tt0280760/?ref_=fn_tt_tt_1,238,R,2002,7.0,2.35,838
Hart Bochner,Jon Favreau,PCU ,10476,Chris Young,3,http://www.imdb.com/title/tt0110759/?ref_=fn_tt_tt_1,52,PG-13,1994,6.5,1.85,0
Michael O. Sajbel,Bill Cobbs,The Ultimate Gift ,14100,Mircea Monroe,2,http://www.imdb.com/title/tt0482629/?ref_=fn_tt_tt_1,81,PG,2006,7.4,1.85,0
