num_critic_for_reviews,actor_1_name,movie_title,num_user_for_reviews
292,Gerard Butler,How to Train Your Dragon 2 ,343
184,Gerard Butler,Gods of Egypt ,273
145,Sam Shepard,Stealth ,388
451,Matt Frewer,Watchmen ,1229
141,Jet Li,Lethal Weapon 4 ,287
267,Kevin Rankin,Hulk ,1445
351,Channing Tatum,G.I. Joe: Retaliation ,288
163,Matthew McConaughey,Sahara ,463
166,Steve Buscemi,Final Fantasy: The Spirits Within ,788
510,Chris Evans,Captain America: The First Avenger ,679
197,Colin Salmon,The World Is Not Enough ,683
244,James D'Arcy,Master and Commander: The Far Side of the World ,684
322,Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2 ,329
156,Robin Williams,Happy Feet 2 ,79
354,Ty Burrell,The Incredible Hulk ,643
21,Don Johnson,Miami Vice             ,74
252,Mark Rylance,The BFG ,106
556,Leonardo DiCaprio,The Revenant ,1188
166,Ryan Reynolds,Turbo ,90
362,Johnny Depp,Rango ,337
153,Benedict Cumberbatch,Penguins of Madagascar ,118
329,Matt Damon,The Bourne Ultimatum ,820
266,Angelina Jolie Pitt,Kung Fu Panda ,360
517,Judy Greer,Ant-Man ,549
502,Jennifer Lawrence,The Hunger Games: Catching Fire ,706
322,Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2 ,329
165,Jim Parsons,Home ,214
401,Tom Cruise,War of the Worlds ,2741
94,Will Smith,Bad Boys II ,511
246,Salma Hayek,Puss in Boots ,137
330,Angelina Jolie Pitt,Salt ,514
434,Anthony Hopkins,Noah ,1240
440,Toby Jones,The Adventures of Tintin ,447
274,Daniel Radcliffe,Harry Potter and the Prisoner of Azkaban ,1504
245,Essie Davis,Australia ,450
349,Will Smith,After Earth ,744
145,Alfre Woodard,Dinosaur ,241
1,Rupert Grint,Harry Potter and the Deathly Hallows: Part II ,2
154,Robin Williams,Night at the Museum: Secret of the Tomb ,126
233,J.K. Simmons,Megamind ,187
258,Daniel Radcliffe,Harry Potter and the Sorcerer's Stone ,1571
208,Ryan Reynolds,R.I.P.D. ,210
1,Mark Chinnery,Godzilla Resurgence ,13
271,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl ,2113
4,Rupert Grint,Harry Potter and the Deathly Hallows: Part I ,2
403,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 1 ,591
294,Tom Hanks,The Da Vinci Code ,1966
159,Miguel Ferrer,Rio 2 ,99
289,Hugh Jackman,X-Men 2 ,1055
