duration,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,num_voted_users,actor_3_name,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,language,country,title_year
93,170,Mary J. Blige,549,7017178,Drama|Family|Music|Musical,Jennifer Hudson,1633,Vondie Curtis-Hall,5,http://www.imdb.com/title/tt1425922/?ref_=fn_tt_tt_1,17,English,USA,2013
93,1000,50 Cent,13000,,Action|Thriller,Bruce Willis,13133,Jessica Lowndes,4,http://www.imdb.com/title/tt1085492/?ref_=fn_tt_tt_1,101,English,USA,2014
116,50,Shawn Andrews,109,325491,Crime|Drama|Thriller,Kirk Fox,4387,Rob Campbell,0,http://www.imdb.com/title/tt0164003/?ref_=fn_tt_tt_1,67,English,USA,2002
101,83,Elaine Cassidy,482,96471845,Fantasy|Horror|Thriller,Fionnula Flanagan,268581,Eric Sykes,0,http://www.imdb.com/title/tt0230600/?ref_=fn_tt_tt_1,1109,English,USA,2001
154,604,Carrie Henn,2000,85200000,Action|Adventure|Sci-Fi,Michael Biehn,488537,Jenette Goldstein,1,http://www.imdb.com/title/tt0090605/?ref_=fn_tt_tt_1,1076,English,USA,1986
170,244,Rex Harrison,453,72000000,Drama|Family|Musical|Romance,Jeremy Brett,66959,Theodore Bikel,1,http://www.imdb.com/title/tt0058385/?ref_=fn_tt_tt_1,258,English,USA,1964
99,681,Sarah Michelle Gellar,45000,72219395,Horror|Mystery|Thriller,Muse Watson,105585,Anne Heche,1,http://www.imdb.com/title/tt0119345/?ref_=fn_tt_tt_1,419,English,USA,1997
104,613,Damon Wayans Jr.,839,82389560,Comedy,Rob Riggle,106820,James D'Arcy,1,http://www.imdb.com/title/tt1924435/?ref_=fn_tt_tt_1,147,English,USA,2014
126,284,Patrick Gallagher,912,71502303,Adventure|Comedy|Drama|Romance,Virginia Madsen,149966,M.C. Gainey,0,http://www.imdb.com/title/tt0375063/?ref_=fn_tt_tt_1,835,English,USA,2004
110,422,Owain Yeoman,33000,19179969,Comedy,Chris Moss,54710,Jay Chandrasekhar,2,http://www.imdb.com/title/tt0486551/?ref_=fn_tt_tt_1,177,English,USA,2006
101,598,Donald Pleasence,2000,47000000,Horror|Thriller,Jamie Lee Curtis,157857,P.J. Soles,0,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,1191,English,USA,1978
80,576,Tony Chiu Wai Leung,5000,84961,Action|Adventure|History,Jet Li,149414,Maggie Cheung,4,http://www.imdb.com/title/tt0299977/?ref_=fn_tt_tt_1,841,Mandarin,China,2002
87,503,Molly Shannon,818,37566230,Comedy|Drama|Family|Fantasy|Sci-Fi,Liam Aiken,3407,Kevin Nealon,1,http://www.imdb.com/title/tt0326900/?ref_=fn_tt_tt_1,48,English,USA,2003
123,849,Sanaa Lathan,1000,70492685,Comedy|Drama,Harold Perrineau,11600,Eddie Cibrian,5,http://www.imdb.com/title/tt2083355/?ref_=fn_tt_tt_1,64,English,USA,2013
109,968,Common,16000,35635046,Action|Crime|Drama|Thriller,Ryan Reynolds,121058,Alex Rocco,0,http://www.imdb.com/title/tt0475394/?ref_=fn_tt_tt_1,482,English,UK,2006
90,298,Gina Holden,723,45670855,Horror|Mystery,Costas Mandylor,67978,Betsy Russell,0,http://www.imdb.com/title/tt1477076/?ref_=fn_tt_tt_1,279,English,Canada,2010
96,486,Vinessa Shaw,1000,37939782,Comedy|Romance,Emmanuelle Vaugier,62272,Paulo Costanzo,0,http://www.imdb.com/title/tt0243736/?ref_=fn_tt_tt_1,207,English,USA,2002
125,1000,Olivia Wilde,12000,172051787,Action|Adventure|Sci-Fi,Jeff Bridges,264186,James Frain,0,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,665,English,USA,2010
82,281,Chris Kattan,8000,30324946,Comedy|Music|Romance,Will Ferrell,48458,Dan Hedaya,2,http://www.imdb.com/title/tt0120770/?ref_=fn_tt_tt_1,239,English,USA,1998
86,583,Mary-Kate Olsen,15000,27854896,Drama|Fantasy|Romance,Alex Pettyfer,64190,Erik Knudsen,1,http://www.imdb.com/title/tt1152398/?ref_=fn_tt_tt_1,129,English,USA,2011
108,580,Greg Nicotero,1000,41777564,Horror,Dan Byrd,129719,Vinessa Shaw,0,http://www.imdb.com/title/tt0454841/?ref_=fn_tt_tt_1,855,English,USA,2006
98,428,Jenna Boyd,593,22734486,Comedy,Kevin Grevioux,11815,Mary McCormack,1,http://www.imdb.com/title/tt0325258/?ref_=fn_tt_tt_1,117,English,USA,2003
129,89,Valente Rodriguez,427,44469602,Biography|Drama|Sport,Morgan Saylor,23480,Diana Maria Riva,0,http://www.imdb.com/title/tt2097298/?ref_=fn_tt_tt_1,83,English,USA,2015
99,826,Loretta Devine,918,24708699,Comedy,Brandon T. Jackson,7991,Shad Moss,7,http://www.imdb.com/title/tt0979434/?ref_=fn_tt_tt_1,30,English,USA,2010
105,104,Adam Boyer,680,21160089,Comedy|Crime|Drama|Music|Romance,T.I.,8522,Malika,0,http://www.imdb.com/title/tt0466856/?ref_=fn_tt_tt_1,92,English,USA,2006
112,746,Hana Mae Lee,10000,64998368,Comedy|Music|Romance,Anna Kendrick,213898,Ben Platt,4,http://www.imdb.com/title/tt1981677/?ref_=fn_tt_tt_1,250,English,USA,2012
108,505,Brian Dennehy,973,19693891,Comedy|Drama|Romance|Sport,Marc Blucas,12993,Bruce Davison,2,http://www.imdb.com/title/tt0234829/?ref_=fn_tt_tt_1,107,English,USA,2001
121,244,Bridget Fonda,989,16311763,Crime|Drama|Thriller,Gary Cole,50656,Chelcie Ross,1,http://www.imdb.com/title/tt0120324/?ref_=fn_tt_tt_1,416,English,UK,1998
89,973,Ethan Embry,1000,12693621,Horror|Mystery|Thriller,Alexander Gould,10885,Marc Blucas,0,http://www.imdb.com/title/tt0283632/?ref_=fn_tt_tt_1,271,English,USA,2002
89,323,Larry the Cable Guy,690,15655665,Comedy|Romance,Thomas F. Wilson,9104,Megyn Price,2,http://www.imdb.com/title/tt0462395/?ref_=fn_tt_tt_1,112,English,USA,2006
73,142,Kevin Clash,1000,11634458,Adventure|Comedy|Family|Fantasy|Musical,Vanessa Williams,2045,Caroll Spinney,0,http://www.imdb.com/title/tt0159421/?ref_=fn_tt_tt_1,37,English,USA,1999
132,625,Lili Taylor,3000,27154426,Crime|Drama|Thriller,Don Cheadle,52852,Armando Riesco,1,http://www.imdb.com/title/tt1210042/?ref_=fn_tt_tt_1,138,English,USA,2009
154,86,David Niven,715,,Action|Adventure|Drama|History|War,Ava Gardner,4550,John Ireland,3,http://www.imdb.com/title/tt0056800/?ref_=fn_tt_tt_1,50,English,USA,1963
96,58,Elizabeth Blackmore,394,54239856,Horror,Lou Taylor Pucci,125016,Ellen Sandweiss,0,http://www.imdb.com/title/tt1288558/?ref_=fn_tt_tt_1,789,English,USA,2013
98,399,Harland Williams,567,8662318,Comedy|Romance,Nia Vardalos,15033,Rachel Dratch,1,http://www.imdb.com/title/tt0865559/?ref_=fn_tt_tt_1,75,English,USA,2009
107,841,Dennis Quaid,2000,7156725,Comedy|Music,Judy Greer,22639,Chris Klein,6,http://www.imdb.com/title/tt0465142/?ref_=fn_tt_tt_1,217,English,USA,2006
134,488,Margot Kidder,1000,15681020,Action|Adventure|Family|Sci-Fi,Jim Broadbent,33570,William Hootkins,6,http://www.imdb.com/title/tt0094074/?ref_=fn_tt_tt_1,259,English,UK,1987
94,66,Clé Bennett,328,7070459,Drama,DeRay Davis,4600,Conrad Coates,0,http://www.imdb.com/title/tt0770810/?ref_=fn_tt_tt_1,18,English,Canada,2007
122,834,Chazz Palminteri,23000,6855137,Action|Crime|Drama|Thriller,Paul Walker,88590,Ivana Milicevic,2,http://www.imdb.com/title/tt0404390/?ref_=fn_tt_tt_1,419,English,Germany,2006
128,193,Jeremy Northam,767,2694071,Biography|Drama|Romance|Sport,Aidan Quinn,3222,Paul Freeman,3,http://www.imdb.com/title/tt0375104/?ref_=fn_tt_tt_1,64,English,USA,2004
97,161,Paul Freeman,400,2315683,Adventure|Crime|Drama|Romance,Victor Wong,4081,Clyde Kusatsu,0,http://www.imdb.com/title/tt0091934/?ref_=fn_tt_tt_1,28,English,UK,1986
110,96,Eddie Marsan,3000,39825798,Drama|Mystery|Romance|Thriller,Rufus Sewell,295375,Jake Wood,3,http://www.imdb.com/title/tt0443543/?ref_=fn_tt_tt_1,645,English,USA,2006
102,60,Melanie Griffith,634,2000000,Adventure|Horror|Thriller,Tippi Hedren,1275,Zakes Mokae,0,http://www.imdb.com/title/tt0083001/?ref_=fn_tt_tt_1,27,English,USA,1981
98,71,David Murray,214,1569918,Biography|Crime|Drama|Thriller,Brenda Fricker,16234,Gerard McSorley,1,http://www.imdb.com/title/tt0312549/?ref_=fn_tt_tt_1,113,English,Ireland,2003
120,55,Brady Corbet,14000,106869,Crime|Drama|Romance|Thriller,Josh Hutcherson,13762,Carlos Bardem,1,http://www.imdb.com/title/tt2515030/?ref_=fn_tt_tt_1,39,English,France,2014
160,215,Curtis Armstrong,1000,273420,Comedy|Mystery|Sci-Fi|Thriller,Janeane Garofalo,32671,Chris Andrew Ciulla,6,http://www.imdb.com/title/tt0405336/?ref_=fn_tt_tt_1,238,English,France,2006
80,168,Jess Harnell,677,,Adventure|Animation|Family|Fantasy,Rob Paulsen,10706,Mary Mouser,0,http://www.imdb.com/title/tt0944834/?ref_=fn_tt_tt_1,39,French,France,2008
91,255,Jan-Michael Vincent,669,,Sci-Fi,George Peppard,3701,Paul Winfield,0,http://www.imdb.com/title/tt0075909/?ref_=fn_tt_tt_1,71,English,USA,1977
83,62,Rick Gomez,465,4930798,Horror|Thriller,Julianna Guill,16268,Tim Williams,1,http://www.imdb.com/title/tt1433822/?ref_=fn_tt_tt_1,108,English,USA,2012
102,165,Jamie Lee Curtis,3000,59847242,Comedy|Drama|Family|Romance,Macaulay Culkin,55895,Griffin Dunne,1,http://www.imdb.com/title/tt0102492/?ref_=fn_tt_tt_1,115,English,USA,1991
122,260,Ty Burrell,21000,220914,Biography|Drama|Romance,Robert Downey Jr.,13239,Matt Servitto,2,http://www.imdb.com/title/tt0422295/?ref_=fn_tt_tt_1,97,English,USA,2006
110,96,Eddie Marsan,3000,39825798,Drama|Mystery|Romance|Thriller,Rufus Sewell,295375,Jake Wood,3,http://www.imdb.com/title/tt0443543/?ref_=fn_tt_tt_1,645,English,USA,2006
126,168,Tamara Tunie,826,43848100,Crime|Drama,Hal Holbrook,119150,James Karen,2,http://www.imdb.com/title/tt0094291/?ref_=fn_tt_tt_1,219,English,USA,1987
136,1000,Kate Winslet,25000,42700000,Drama|Romance,Alan Rickman,78392,Tom Wilkinson,2,http://www.imdb.com/title/tt0114388/?ref_=fn_tt_tt_1,196,English,USA,1995
120,281,Julie Walters,11000,18663911,Biography|Drama|Romance,Anne Hathaway,46204,Laurence Fox,1,http://www.imdb.com/title/tt0416508/?ref_=fn_tt_tt_1,151,English,UK,2007
108,433,Matt Long,714,11702090,Comedy|Romance,Danny Strong,37700,Samm Levine,2,http://www.imdb.com/title/tt0815244/?ref_=fn_tt_tt_1,50,English,USA,2007
