duration,genres,facenumber_in_poster,content_rating
108,Horror|Mystery|Thriller,2,R
112,Comedy|Romance,3,R
104,Drama|Romance,0,PG-13
113,Comedy|Drama,3,R
98,Comedy,0,PG
121,Adventure|Comedy|Drama|Fantasy,2,PG-13
114,Comedy|Drama|Family,2,PG
124,Drama,2,R
148,Adventure|Biography|Drama,0,R
108,Comedy,1,PG-13
95,Adventure|Drama|Horror|Mystery|Thriller,0,R
108,Crime|Fantasy|Horror,2,R
68,Animation|Family|Fantasy|Mystery,0,G
103,Comedy|Drama|Romance,1,PG-13
99,Action|Comedy|Crime|Fantasy,1,R
30,Comedy,2,
88,Comedy|Family|Music|Musical,1,G
128,Drama,0,PG-13
124,Drama,0,R
84,Action|Crime|Drama|Thriller,0,PG-13
122,Drama|Fantasy|Romance,1,PG-13
101,Comedy|Romance,3,PG-13
98,Comedy|Romance,2,PG-13
105,Crime|Documentary|News,0,R
225,Biography|Drama|History,6,G
111,Crime|Drama|Mystery|Thriller,0,PG-13
88,Comedy,0,PG-13
88,Action|Crime|Thriller,6,PG-13
94,Action|Comedy|Crime|Thriller,1,PG
117,Comedy|Romance,1,R
95,Action|Adventure|Sci-Fi|Thriller,2,PG-13
99,Comedy,1,PG-13
96,Action|Crime|Sci-Fi|Thriller,0,R
98,Comedy|Crime,4,R
123,Biography|Drama|History,0,PG
101,Drama|Mystery|Romance|Thriller|War,2,R
102,Comedy|Drama,1,R
94,Action|Crime|Drama|Sport,2,R
102,Comedy|Drama|Fantasy|Romance,3,PG-13
108,Action|Crime|Thriller,1,PG-13
116,Drama|Fantasy|Horror|Mystery,0,R
93,Action|Comedy|Family,0,PG
102,Comedy,2,PG-13
103,Comedy|Drama|Music|War,1,R
115,Action|Crime|Drama|Thriller,3,R
96,Comedy,2,R
98,Comedy|Romance,2,PG-13
101,Comedy|Drama,1,R
106,Comedy|Crime,0,PG-13
101,Comedy|Musical|Romance,0,R
87,Comedy,0,R
111,Action|Crime|Thriller,0,R
99,Adventure|Drama,1,PG-13
88,Comedy|Family|Sci-Fi,3,PG
83,Action|Comedy|Crime,2,PG-13
91,Action|Comedy|Crime,3,PG-13
108,Comedy|Crime|Music,3,PG-13
154,Comedy|Drama|Music|Musical|Romance,0,G
148,Comedy|Crime|Drama|Mystery|Romance,0,R
77,Adventure|Animation|Comedy|Family|Fantasy,0,G
110,Drama|Music,19,PG-13
42,Crime|Drama|Mystery|Thriller,1,TV-14
83,Comedy|Fantasy,2,PG-13
107,Action|Comedy|Crime|Thriller,7,R
100,Drama|Horror|Sci-Fi|Thriller,0,PG-13
87,Adventure|Comedy,4,R
154,Biography|Comedy|Drama|History|Music|Musical,1,R
106,Drama|War,0,PG-13
99,Biography|Drama|Thriller,3,R
100,Animation|Drama|Mystery|Sci-Fi|Thriller,0,R
116,Biography|Drama|Sport,2,PG
94,Horror|Sci-Fi,0,R
111,Comedy|Drama|Family|Music|Romance,3,PG
100,Drama|Mystery|Romance|Thriller,1,R
125,Action|Crime|Drama|Thriller,0,R
114,Drama|History|Romance|War,0,R
119,Biography|Drama,0,PG-13
135,Biography|Drama|Music,0,R
93,Action|Thriller,3,PG-13
114,Adventure|Comedy|Drama|Romance,4,PG-13
124,Comedy|Drama|Romance,0,R
134,Adventure|Animation|Fantasy,0,PG-13
114,Comedy|Drama|Mystery|Romance|Thriller|War,5,PG-13
124,Biography|Comedy|Musical,0,PG
104,Crime|Drama|Western,1,R
118,Biography|Drama|Sport,4,PG
80,Comedy|Music,2,R
107,Action|Drama|Sci-Fi|Thriller,2,R
125,Drama|War,4,R
115,Crime|Drama|Romance|Thriller,2,R
88,Adventure|Family|Fantasy|Musical,0,G
122,Drama|Romance,0,R
103,Action|Adventure|Animation|Family|Sci-Fi|Thriller,1,PG-13
101,Drama|History|Sport,0,PG
101,Crime|Drama|Mystery|Romance|Thriller,2,R
107,Action|Adventure|Drama|History|Romance,1,R
86,Comedy|Family|Sci-Fi,1,PG
118,Comedy|Family|Fantasy|Sci-Fi,0,
107,Action|Comedy|Crime|Fantasy|Horror|Mystery|Sci-Fi|Thriller,1,PG-13
100,Crime|Drama|Mystery,3,R
30,Drama|Family,4,
110,Comedy|Drama|Fantasy|Romance,2,PG-13
106,Crime|Drama|Mystery|Thriller,1,R
7,Romance|Short,0,
102,Action|Drama|History|War,3,R
98,Crime|Drama|Thriller,1,R
83,Adventure|Animation|Comedy|Family,0,G
153,Biography|Drama|History,0,
98,Animation,4,PG
105,Action|Biography|Drama|Sport,0,R
96,Action|Crime|Thriller,2,PG-13
105,Crime|Drama|Mystery|Thriller,3,R
125,Drama|Romance,0,PG-13
184,Action|Biography|Crime|Drama,2,R
236,Adventure|Drama|Western,1,PG-13
97,Comedy,0,R
113,Crime|Drama|Mystery|Thriller,1,R
95,Comedy|Family|Romance,2,PG
103,Horror|Mystery,0,R
91,Horror,0,R
146,Drama|Horror,0,R
116,Adventure|Comedy|Sci-Fi,0,PG
93,Horror|Mystery|Thriller,0,R
113,Comedy|Drama,6,PG-13
90,Action|Drama,4,
101,Comedy|Drama|Romance,2,PG-13
95,Comedy|Romance,2,PG-13
109,Biography|Drama|Thriller,1,R
43,Comedy|Drama|Reality-TV|Romance,1,TV-14
85,Adventure|Comedy|Drama|Family|Fantasy,1,G
101,Horror|Thriller,0,R
125,Adventure|Animation|Family|Fantasy,0,PG
118,Action|Crime|Thriller,1,
132,Action|Adventure|Drama|History|Romance,2,PG
131,Drama|War,1,PG-13
129,Adventure|Comedy|Romance,1,R
100,Comedy|Romance,2,PG
172,Drama|History|War,0,Approved
97,Comedy|Drama|Romance,4,R
121,Drama,2,PG
92,Family|Fantasy|Music,0,G
116,Crime|Drama|Music|Thriller,2,R
110,Drama,0,R
90,Drama|Horror|Mystery|Thriller,0,R
81,Comedy|Drama,0,R
97,Horror,8,R
107,Action,2,PG-13
118,Adventure|Comedy|Drama,0,R
100,Comedy|Fantasy|Romance,3,PG-13
97,Comedy,3,R
114,Action|Comedy|Crime|Fantasy,0,PG-13
130,Comedy|Drama|Family|Fantasy|Romance,1,PG
82,Comedy,1,R
96,Comedy|Romance,1,PG-13
105,Action|Adventure|Sci-Fi,1,PG
122,Drama|Horror|Thriller,0,PG-13
88,Comedy|Romance,1,R
110,Action|Drama|Fantasy|Mystery|Thriller,1,PG-13
103,Comedy|Drama|Romance,0,PG-13
106,Comedy|Drama,4,PG-13
98,Comedy|Crime|Drama,2,R
68,Comedy|Crime,2,PG-13
94,Comedy|Family|Romance,10,PG-13
99,Comedy|Family,2,PG
107,Action|Horror|Sci-Fi,1,R
180,Biography|Drama|History|Music,0,R
89,Horror|Mystery,0,PG-13
97,Comedy,4,PG-13
113,Comedy|Drama|Romance,1,PG-13
131,Drama|Mystery,0,R
44,Comedy|Drama|Romance,8,TV-PG
103,Comedy|Drama|Fantasy|Romance,0,PG-13
119,Comedy|Drama|Romance,8,R
98,Drama,1,PG-13
111,Drama|History|Thriller,0,R
94,Drama|Music|Romance,2,PG-13
122,Drama|History|War,3,R
81,Action|Comedy,2,PG-13
89,Fantasy|Horror,0,R
106,Biography|Drama|Family|Sport,1,PG
122,Comedy|Drama|War,0,R
86,Comedy|Crime|Drama,1,R
103,Action|Adventure|Fantasy,1,PG
121,Biography|Drama|Sport,1,R
109,Drama|Romance,0,PG-13
109,Adventure|Fantasy|Mystery|Thriller,1,PG-13
123,Comedy|Drama|Musical|Romance,0,PG
94,Adventure|Biography|Drama|Thriller,0,R
94,Comedy|Crime,0,PG
115,Drama|Music|Romance,2,PG-13
107,Comedy,13,PG-13
91,Comedy|Crime,0,PG
125,Drama,0,R
122,Biography|Drama,0,R
102,Comedy|Romance,1,PG-13
90,Comedy|Drama|Romance,2,R
98,Action|Adventure|Western,0,PG
109,Drama|Thriller,0,R
107,Mystery|Thriller,0,R
90,Action|Crime|Thriller,1,PG-13
112,Drama,0,R
94,Comedy|Drama|Romance,2,PG-13
105,Adventure|Comedy,1,PG
104,Comedy|Drama|Romance,2,R
112,Drama|Romance,0,R
108,Action|Adventure|Fantasy,0,PG
112,Biography|Drama|Romance,2,R
127,Biography|Comedy|Drama,1,R
111,Drama,1,PG-13
126,Adventure|Biography|Drama|History|War,0,R
114,Action|Crime|Thriller,4,R
99,Action|Sci-Fi,2,PG
150,Drama,0,PG-13
117,Biography|Drama|Music|Romance,0,PG
112,Adventure|Drama|Sci-Fi|Thriller,0,PG-13
108,Comedy|Romance,2,R
116,Biography|Drama|Romance|War,2,R
60,Drama|Mystery,1,
144,Drama|Mystery,0,R
92,Horror,0,
93,Action|Horror|Romance|Sci-Fi|Thriller,2,R
103,Crime|Drama|Mystery|Thriller,0,R
93,Music,0,R
98,Crime|Drama|Thriller,1,R
334,Biography|Crime|Drama|Thriller,0,Not Rated
114,Thriller,0,Not Rated
121,Action|Drama|History|Romance|War|Western,2,R
87,Horror,1,Unrated
92,Action|Crime|Drama|Thriller,1,R
105,Action|Animation|Sci-Fi|Thriller,0,R
90,Drama|Western,1,R
89,Action|Adventure|Fantasy,1,PG-13
114,Drama|Horror|Mystery|Thriller,2,R
119,Comedy,2,R
103,Comedy|Crime|Drama,0,PG-13
91,Action|Horror,2,R
98,Drama|Music|Musical|Romance,2,PG-13
80,Action|Animation|Comedy|Crime|Family,1,PG
121,Drama|History|War,1,PG-13
94,Action|Crime|Drama|Thriller,1,R
93,Drama|Family|Music|Musical,5,PG
93,Action|Thriller,4,R
116,Crime|Drama|Thriller,0,R
101,Fantasy|Horror|Thriller,0,PG-13
154,Action|Adventure|Sci-Fi,1,R
170,Drama|Family|Musical|Romance,1,Approved
99,Horror|Mystery|Thriller,1,R
104,Comedy,1,R
126,Adventure|Comedy|Drama|Romance,0,R
110,Comedy,2,R
101,Horror|Thriller,0,R
80,Action|Adventure|History,4,PG-13
87,Comedy|Drama|Family|Fantasy|Sci-Fi,1,PG
123,Comedy|Drama,5,R
109,Action|Crime|Drama|Thriller,0,R
90,Horror|Mystery,0,R
96,Comedy|Romance,0,R
125,Action|Adventure|Sci-Fi,0,PG
82,Comedy|Music|Romance,2,PG-13
86,Drama|Fantasy|Romance,1,PG-13
108,Horror,0,R
98,Comedy,1,PG-13
129,Biography|Drama|Sport,0,PG
99,Comedy,7,PG-13
105,Comedy|Crime|Drama|Music|Romance,0,PG-13
112,Comedy|Music|Romance,4,PG-13
108,Comedy|Drama|Romance|Sport,2,PG-13
121,Crime|Drama|Thriller,1,R
89,Horror|Mystery|Thriller,0,PG-13
89,Comedy|Romance,2,PG-13
73,Adventure|Comedy|Family|Fantasy|Musical,0,G
132,Crime|Drama|Thriller,1,R
154,Action|Adventure|Drama|History|War,3,Unrated
96,Horror,0,R
98,Comedy|Romance,1,PG-13
107,Comedy|Music,6,PG-13
134,Action|Adventure|Family|Sci-Fi,6,PG
94,Drama,0,PG-13
