num_voted_users,actor_3_name,num_user_for_reviews,budget,movie_facebook_likes
105585,Anne Heche,419,17000000,0
106820,James D'Arcy,147,17000000,14000
149966,M.C. Gainey,835,12000000,0
54710,Jay Chandrasekhar,177,17500000,0
157857,P.J. Soles,1191,300000,12000
149414,Maggie Cheung,841,31000000,0
3407,Kevin Nealon,48,17000000,309
11600,Eddie Cibrian,64,17000000,7000
121058,Alex Rocco,482,17000000,3000
67978,Betsy Russell,279,20000000,12000
62272,Paulo Costanzo,207,17000000,2000
264186,James Frain,665,170000000,30000
48458,Dan Hedaya,239,17000000,0
64190,Erik Knudsen,129,17000000,16000
129719,Vinessa Shaw,855,15000000,0
11815,Mary McCormack,117,17000000,320
23480,Diana Maria Riva,83,17000000,21000
7991,Shad Moss,30,,0
8522,Malika,92,,874
213898,Ben Platt,250,17000000,36000
12993,Bruce Davison,107,34000000,476
50656,Chelcie Ross,416,17000000,0
10885,Marc Blucas,271,17000000,814
9104,Megyn Price,112,4000000,110
2045,Caroll Spinney,37,17000000,339
52852,Armando Riesco,138,17000000,4000
4550,John Ireland,50,9000000,419
125016,Ellen Sandweiss,789,17000000,70000
15033,Rachel Dratch,75,17000000,0
22639,Chris Klein,217,19000000,300
33570,William Hootkins,259,17000000,1000
4600,Conrad Coates,18,,238
88590,Ivana Milicevic,419,17000000,0
3222,Paul Freeman,64,,352
4081,Clyde Kusatsu,28,17000000,154
295375,Jake Wood,645,16000000,15000
1275,Zakes Mokae,27,17000000,0
16234,Gerard McSorley,113,17000000,0
13762,Carlos Bardem,39,17000000,0
32671,Chris Andrew Ciulla,238,17000000,0
10706,Mary Mouser,39,11000000,0
3701,Paul Winfield,71,17000000,903
16268,Tim Williams,108,17000000,0
55895,Griffin Dunne,115,16500000,0
13239,Matt Servitto,97,16800000,0
295375,Jake Wood,645,16000000,15000
119150,James Karen,219,15000000,0
78392,Tom Wilkinson,196,16500000,0
46204,Laurence Fox,151,16500000,0
37700,Samm Levine,50,16500000,0
56665,Ron Eldard,469,15000000,0
277451,Kurtwood Smith,491,16400000,23000
288451,Teri Garr,438,16000000,0
149108,Harley Jane Kozak,273,16000000,0
26310,Jack Warden,154,16000000,0
132963,Paulo Costanzo,302,15600000,0
35312,Mark Walters,267,16000000,0
190030,Beth Grant,583,15000000,30000
42182,Rachel Brosnahan,230,16000000,0
237848,Bob Balaban,377,16000000,71000
56269,Lew Temple,366,16000000,0
1449,Finn Ireland,30,18500000,0
18254,James Brolin,307,16000000,1000
467234,Sergi López,1083,13500000,27000
7210,Riley Smith,57,,0
7392,Paul Sorvino,53,35000000,393
9566,Angell Conwell,81,16000000,1000
29147,Frances Fisher,115,16000000,0
41664,Fred Ward,205,17700000,0
28736,Kamel Krifa,72,15000000,0
352695,Billie Whitelaw,687,8000000,17000
16582,Debra Messing,125,16500000,0
198111,Christopher Evan Welch,365,15500000,14000
18041,Vincent Perez,54,25000000,0
4654,Jada Pinkett Smith,46,20000000,18000
13661,Tsianina Joelson,134,16000000,487
25549,Marc Donato,171,16000000,0
92712,Cynthia Stevenson,294,16000000,6000
11768,Tracey Walter,148,16000000,492
24256,Julie Kavner,91,16000000,0
24854,Quinton Aaron,374,16000000,31000
113963,Ruby Jerins,361,16000000,24000
8215,Trent Ford,95,16000000,371
21079,Tony Jay,55,20000000,818
178731,Jason Robards,261,26000000,0
51996,Brad William Henke,302,16000000,0
2385,Jenifer Lewis,20,,177
5237,Brian Keith,90,16000000,392
8217,Huey Lewis,123,15000000,573
21613,Treat Williams,148,16000000,762
30682,Shannon Tweed,194,15000000,0
98629,Celia Imrie,316,16000000,0
24104,Robin Weigert,88,16000000,0
8687,Hill Harper,62,16000000,0
20616,Angela Sarafyan,70,16000000,0
5321,Lynn Redgrave,78,16000000,356
92640,Tuppence Middleton,212,20000000,23000
18271,Tom Arnold,150,16000000,0
30587,Michel Galabru,49,11000000,3000
5664,Steven Mackintosh,42,15000000,921
45449,Olly Alexander,192,13000000,23000
7444,Ivan Sergei,42,16000000,0
155249,Joan Allen,304,16000000,115000
12817,Conrad Kemp,43,16000000,0
21370,Miranda Otto,132,16000000,0
5312,Kevin Pollak,40,15600000,939
19164,Tommy Karlsen,79,34000000,16000
8624,Charles Aznavour,180,,824
1033,William Shockley,26,,282
3299,Fisher Stevens,24,15500000,191
29392,Michel Muller,91,15300000,0
61912,Tania Saulnier,352,15500000,0
126464,James Russo,175,14000000,0
311075,Catherine O'Hara,305,18000000,20000
36918,Steve Guttenberg,42,11000000,3000
77366,Teri Garr,194,22000000,0
219171,Adrian Pasdar,388,15000000,19000
217740,Sihung Lung,1641,15000000,0
822500,Ara Celi,2715,15000000,22000
503631,Derek Jacobi,636,15000000,64000
87538,Hugh O'Brian,79,15000000,0
18058,Jason Wiles,68,,0
6723,William Hurt,36,15500000,1000
60988,Dana Ivey,199,15000000,6000
2659,Kyung-gu Sol,25,,558
62,Moises Arias,1,100000000,0
467613,Allen Leech,608,14000000,165000
18140,Alan Oppenheimer,60,10000000,855
12974,Levon Helm,84,,0
32002,Rachael Harris,103,15000000,0
134869,Isabelle Nélisse,304,20000000,57000
157857,P.J. Soles,1191,300000,12000
71183,Jane Krakowski,183,15000000,0
77724,Grasie Mercedes,162,15000000,26000
85333,Alex Jennings,421,9800000,0
189413,Glenn Shadix,306,15000000,15000
9811,Lamman Rucker,100,15000000,1000
36624,Eric Stoltz,132,15000000,0
139749,Jessica Raine,509,17000000,29000
34711,Brian Geraghty,468,15000000,0
29008,Lee Majors,99,15000000,896
232577,John Savage,1026,15000000,11000
67604,John Michael Higgins,218,15000000,12000
27580,Alex Borstein,172,17000000,0
64747,Nadine Velazquez,122,15000000,12000
29867,Allison Tolman,181,15000000,27000
92074,Clea DuVall,502,15000000,0
13442,Dororthy Thorton,59,,0
69576,Janeane Garofalo,207,10000000,2000
80305,Mia Kirshner,393,16000000,0
181025,America Ferrera,336,7000000,38000
39782,Bill Murray,172,37000000,11000
26846,William Petersen,193,15000000,0
265507,Simon McBurney,388,15000000,90000
15939,Blair Underwood,87,16000000,0
27044,Stockard Channing,240,15000000,0
192775,Jack Hawkins,559,15000000,11000
36372,Margot Kidder,491,15000000,3000
86664,Gaby Hoffmann,252,15000000,38000
67822,Martha MacIsaac,279,15000000,0
38248,Holland Taylor,250,15000000,0
26905,Bianca Kajlich,614,15000000,0
229687,Alexa Davalos,637,125000000,15000
294163,André the Giant,718,16000000,33000
47626,John Heard,118,15000000,0
431578,Russ Tamblyn,1264,15000000,81000
23408,Glenne Headly,105,15000000,810
15582,Kali Rocha,132,15000000,849
212167,Catherine McCormack,713,15000000,0
12596,Ser'Darius Blain,64,15000000,0
8427,Eva Marie Saint,88,14000000,1000
14322,Omar Epps,116,15000000,0
73347,Mitchell Ryan,296,15000000,0
33088,Beth Grant,143,15000000,0
28964,Kurt Loder,457,15000000,949
57140,Brenda Strong,195,15000000,6000
166269,Penelope Wilton,735,15000000,0
13874,Jason Spevack,52,15000000,0
45703,Ben Chaplin,156,11500000,0
189032,Nina Hartley,560,15000000,0
17074,Joss Ackland,55,15000000,466
6095,Tim McGraw,76,15000000,1000
49721,Jacob Vargas,211,15000000,0
13048,Jacinda Barrett,227,14000000,243
17983,Jonathan Jackson,127,15000000,0
27486,Drew Powell,284,20000000,0
15385,Keegan-Michael Key,84,15000000,0
14814,Tim McGraw,114,15000000,0
17328,Katharine Isabelle,237,15000000,673
187170,Angelo Anthony Pizza,376,15000000,47000
50056,Will Patton,152,15000000,0
13320,Geneviève Bujold,415,15000000,327
332065,Brian Geraghty,876,15000000,16000
22797,David Keith,96,15000000,0
111625,Ben Mendelsohn,369,15000000,20000
57210,Homayoun Ershadi,158,15000000,13000
39788,Eddie Kaye Thomas,619,15000000,0
2037,Phil Vischer,22,15000000,175
2673,Larry Mullen Jr.,31,,116
16340,Adam Copeland,355,15000000,356
4603,Bobb'e J. Thompson,91,15000000,489
106111,Rafe Spall,181,15000000,49000
55665,Alia Shawkat,118,15000000,10000
19768,Kevin Gage,135,,566
30643,Leland Orser,144,15000000,622
9294,Albert Brooks,140,15000000,251
9649,Sandra Nelson,226,20000000,1000
13692,Mia Farrow,55,15000000,877
2724,Shirley Douglas,53,15000000,436
53471,Daniel Wu,224,15000000,29000
7159,Shelley Duvall,88,15000000,247
7403,Elaine Hendrix,162,15000000,648
152306,Jim Broadbent,513,15000000,16000
22649,Jason Ritter,212,15000000,1000
7122,Chris Bruno,77,,576
537419,Steve Buscemi,1028,15000000,35000
52421,S. Epatha Merkerson,200,15000000,0
17261,Michael Michele,125,15000000,455
24150,Dan Futterman,118,16000000,923
8055,Marla Sokoloff,89,15000000,816
26598,Bob Gunton,132,20000000,1000
18966,Rupert Everett,141,15000000,0
1465,Estelle Parsons,56,,515
6562,Tim Blake Nelson,66,15000000,647
307639,Eric Godon,513,15000000,32000
4065,Diahann Carroll,33,15000000,0
32311,Josh Gad,104,15000000,0
11498,Bobby Coleman,53,15000000,0
30284,Terry Kinney,102,15000000,10000
58967,Conleth Hill,169,15000000,10000
3668,A.J. Buckley,85,15000000,157
34194,Guillermo Arriaga,199,15000000,0
12601,Michael Jeter,89,15000000,0
175962,Larry Miller,336,15000000,0
33745,Elden Henson,198,20000000,0
235992,Laura Harring,1768,15000000,16000
15388,Chris Geere,190,,0
36145,Ewen Bremner,108,22000000,0
109873,Charlotte Rampling,320,15000000,33000
3828,Alessandro Nivola,39,,733
42792,Mac McDonald,162,15000000,0
4996,Mike Muscat,62,15000000,843
5917,Noah Emmerich,71,15000000,391
69569,Brady Corbet,436,15000000,0
1933,Amber Marie Bollinger,13,,708
6690,Gerard McSorley,83,,284
111841,Rudolf Klein-Rogge,413,6000000,12000
55928,Dany Verissimo-Petit,157,12000000,0
22345,Treat Williams,144,7000000,0
9427,Satoshi Tsumabuki,87,15000000,0
20730,Leon,111,15000000,664
31589,Nataliya Vdovina,172,,0
24570,Sarunyu Wongkrachang,72,300000000,0
64777,Dave Legeno,201,,0
2699,Conrad Dunn,29,9000000,154
47574,Leslie Bibb,209,15000000,0
609,Aubrey Poo,15,15000000,705
14280,Tracy Morgan,41,15000000,0
2236,Edward Fox,40,25000000,193
7519,Keith Allen,39,15000000,445
3425,Franco Nero,32,,0
4006,Loretta Devine,12,20000000,0
41638,Melanie Griffith,134,7000000,13000
5018,Steven Elder,108,15000000,473
80,Ferdinando Vetere,4,15000000,18
9177,Yasuaki Kurata,53,15000000,821
695,Linus Roache,32,15000000,277
437418,Willie Garson,609,14600000,38000
38202,Kevin Nash,135,14800000,41000
167750,Brian Dennehy,506,14500000,10000
12937,Arben Bajraktaraj,73,10000000,0
993,Bart Shatto,13,14500000,998
277505,Frances Fisher,495,14400000,10000
18646,Jean-Marc Barr,81,14200000,1000
641997,Ayush Mahesh Khedekar,1017,15000000,13000
55101,Anne Archer,201,14000000,3000
213476,Jason Alexander,271,14000000,11000
10,Joe Flaherty,,,0
44096,John Meillon,62,15800000,489
1554,Chad Bishop,20,15000000,0
76842,Stephen Baldwin,173,14000000,4000
69733,Malik Yoba,97,15000000,0
45603,Edi Gathegi,268,15000000,0
47169,Natasha Calis,162,14000000,17000
172493,Chris Mulkey,376,14000000,0
19505,Harry Lennix,162,14000000,0
76477,Barbara Bach,275,14000000,0
