num_critic_for_reviews,actor_3_facebook_likes,actor_1_facebook_likes,gross,actor_3_name,facenumber_in_poster,plot_keywords,country,budget,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
30,267,578,3559990,Dyan Cannon,0,camera shot of feet|female stockinged feet|female stockinged soles|nude pantyhose|pantyhose,USA,3000000,341,5.3,1.85,417
112,180,820,,Richard Libertini,0,farm|farm worker|grasshopper|harvest|wealth,USA,3000000,350,8.0,1.85,0
79,194,11000,3287435,Amy Irving,2,attorney|happiness|house cleaner|physics|professor,USA,4500000,813,7.1,1.85,430
49,844,3000,3071947,Jeff Conaway,3,best friend|bitch|friend|popular girl|prom,USA,3500000,2000,5.4,1.85,0
42,353,10000,2961991,Courtney Love,4,andy warhol|art|artist|friendship|street artist,USA,3300000,721,6.9,1.85,0
345,270,962,4063238,Vanessa Ray,0,best friend|black and white|father daughter relationship|female protagonist|mother daughter relationship,USA,,481,7.4,1.85,11000
152,29,113,2912363,Rapulana Seiphemo,1,baby|bathing a baby|criminal|slum|vomiting,UK,3000000,64,7.3,2.35,0
148,812,22000,3000000,Dylan Baker,9,ensemble cast|episodic structure|satire|social satire|suburb,USA,3000000,11000,7.8,1.85,0
23,24,489,2223990,Robert Noble,1,african american|family relationships|stand up comedian|stand up comedy,USA,3000000,26,6.6,1.85,26
254,387,40000,1821983,Michael Parks,0,canada|human becoming an animal|mad scientist|part of trilogy|walrus,USA,3000000,3000,5.4,2.35,20000
305,38,717,2181290,Hye-jeong Kang,0,brother sister relationship|hypnosis|imprisonment|love|revenge,South Korea,3000000,78,8.4,2.35,43000
19,221,439,2848578,Christopher Schmidt,0,cancer|faith|hope|letter|prayer,USA,3500000,399,6.3,1.78,0
272,104,694,703002,Molly Dunsworth,4,hobo|pedophile|rampage|shotgun|vigilante,Canada,3000000,324,6.1,2.35,37000
5,165,574,3105269,Erick Elias,2,,Mexico,3000000,327,5.0,,174
65,221,904,,Robert Peters,1,freeway|nightmare|police|school|trailer park,USA,3000000,281,6.9,1.85,0
5,331,702,252726,Brianna Brown,0,19th century|faith|mayor|ranch|sheriff,USA,3000000,366,7.2,,76
248,168,13000,373060,Jason Maza,0,15 year old|dancing|essex|little sister|suburb,UK,,260,7.3,1.33,0
152,322,962,1007535,Zach Woods,5,college|college campus|dance craze|depression|fraternity,USA,,476,5.7,1.85,0
10,476,723,,Megalyn Echikunwoke,3,author cameo|family relationships|island|monster|two part tv movie,USA,,539,5.0,1.78,518
156,416,4000,418268,Andrew Rannells,3,bachelorette party|drug use|high school|overdose|wedding dress,USA,3000000,3000,5.3,2.35,0
7,246,786,,Zach Grenier,0,brains|exploding head|politician|swarm behavior|washington d.c.,USA,,341,7.9,16.0,3000
1,249,912,,Lindsey Haun,2,based on a book|based on a novel|made for tv movie|music school|support,USA,,750,5.0,,47
82,197,536,200803,Bob Ross,3,film in film|man with glasses|reference to steven spielberg|self referential|shopping mall,USA,3000000,317,5.3,1.78,0
175,81,3000,33631221,Griffin Cleveland,1,dog|gambler|gambling|gangster|professor,USA,25000000,571,6.0,2.35,0
4,23,40,,Tim Healy,0,concierge|front desk|hotel|maid|prostitute,UK,,37,7.6,1.33,450
40,17,289,95016,Robert Stadlober,0,friend|friendship|rowing|storm|summer camp,Germany,2700000,38,7.4,1.85,442
8,847,1000,73678,Brendan Fehr,1,,USA,3000000,902,5.9,,348
63,236,487,143000,Noah Segan,0,blood splatter|chain|murder|mysterious killer|warning,USA,5000000,298,4.1,2.35,0
20,56,599,39852,Peter Onorati,1,1955 chevrolet|nurse|peeping tom|reference to brooklyn dodgers|spying,USA,3000000,325,6.7,1.85,117
174,605,2000,22000,Rosanna Arquette,4,doggystyle sex|rough sex|sodomy|torture|violent sex,Germany,3000000,683,5.8,2.35,0
90,77,767,128937,Jim Norton,0,ghost|irish|kissing|novelist|widower,Ireland,,122,6.2,1.85,580
58,617,798,,Aaron Yoo,1,death|detective|house|missing|supernatural,USA,3000000,634,5.3,,0
14,19,231,,David Douglas,1,independent film|spoof,USA,3000000,27,3.3,1.78,48
451,11000,40000,334185206,Anne Hathaway,0,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,USA,200000000,25000,6.5,1.85,24000
,452,1000,,Talia Shire,1,actor|italian american|mexico|orphan|usa,USA,3000000,975,6.2,1.85,54
21,357,433,5005,Chris Kattan,2,boarding school|coming of age|female friendship|lesbian|new england,USA,3000000,396,5.9,,448
9,47,652,,Emily Nelson,3,dealer|drugs|killer|police,Brazil,3000000,124,5.5,2.35,433
98,975,3000,,Jack McBrayer,2,halloween party|new york city|racism|romcom|spoof,USA,,1000,5.5,1.85,0
29,73,319,,Olivia Alexander,0,exorcism|female nudity|haunted house|lesbian kiss|masturbation,USA,3000000,302,2.6,1.85,2000
23,454,2000,,Jillian Murray,3,bad cop|college|second part|sequel|wrestler,USA,3000000,606,5.8,1.85,6000
87,480,756,,Carroll O'Connor,0,criminal|gangster|money|revenge|violence,USA,3000000,754,7.4,2.35,3000
2,382,1000,,Salvatore Santone,0,number in title|single father,Italy,3000000,810,5.1,,32
17,471,2000,,Jason Priestley,0,dubstep|tied feet,USA,800000,715,5.2,2.35,406
7,375,1000,,John Robinson,2,eugene oregon|independent film|obsession,USA,3000000,747,4.8,,395
6,648,904,,Brett Wagner,4,police officer|police officer taken hostage,USA,3000000,779,3.9,,398
9,37,201,,Fabio Testi,1,19th century|based on novel|disfigurement|harpooner|independent film,Italy,3000000,39,6.2,1.85,37
343,502,2000,201148159,Lily James,1,dress|duke|fairy godmother|fairy tale|pumpkin,USA,95000000,520,7.0,2.35,56000
11,356,854,,Frank Vincent,3,detective|killer|police|shootout|thong,USA,3000000,602,6.2,1.78,229
34,463,2000,,Shea Whigham,2,doctor|letter|paternity|sex|testicles,USA,,536,5.9,1.85,480
71,11,119,5595428,Othon Bastos,0,brazil|letter|rio de janeiro brazil|sertao|teacher,Brazil,2900000,14,8.0,2.35,0
21,248,931,,Thomas Mitchell,2,1930s|apple|dude|luck|new york city,USA,2900000,416,7.3,2.35,612
28,214,640,,Scott Evans,1,corrupt sheriff|drug cartel|flash drive|niece|sheriff,USA,3000000,277,4.9,,968
35,183,267,3123749,Brenda Vaccaro,8,title spoken by character,USA,1500000,225,6.5,1.85,88
30,21,216,,Mia Barron,0,child in peril|electroshock therapy|memory|memory loss|teenage girl,USA,3000000,158,4.3,,421
73,394,875,100675,Tempestt Bledsoe,0,cheating|economics|experiment|human nature|sumo wrestling,USA,3000000,412,6.4,,0
154,108,264,,Billie Whitelaw,2,ambassador|death|hospital|priest|stillborn child,UK,2800000,139,7.6,2.35,7000
251,142,447,3645438,Oana Pellea,1,car chase|plot twist|police van|rear ending a car|slasher,France,2200000,236,6.8,2.35,0
57,39,130,,Kelly Paterniti,1,alter ego|awkwardness|office|scientist|superhero,Australia,,96,6.1,1.85,0
14,29,679,,Allegra Carpenter,0,alaska|climate change|global|polar bear|scientific,USA,3000000,234,4.0,2.35,369
159,165,275,22201636,Elise Neal,1,baby|friend|hip hop|pimp|stripper,USA,8000000,247,7.4,1.85,0
181,102,105,25000000,George Raft,2,all girl band|band|cross dressing|musician|yacht,USA,2883848,103,8.3,1.66,10000
110,181,935,19170001,William Butler,0,death|jason voorhees|massacre|slaughter|telekinesis,USA,2800000,448,5.3,1.85,0
213,357,695,22202612,Billie Burke,3,evil witch|tornado|witch|wizard|wizard of oz,USA,2800000,421,8.1,1.37,14000
129,481,1000,86300000,Teri Garr,0,assistant|castle|experiment|frankenstein's monster|scientist,USA,2800000,595,8.0,1.85,14000
280,192,569,952620,Joe Dinicol,0,barn|film student|hospital|mummy|video camera,USA,2000000,529,5.7,1.85,0
15,327,464,,Jimmy Shergill,0,love|professor of history|radio|satyagraha|unscrupulous builder,India,120000000,426,8.2,2.35,349
61,42,402,9054736,Vanessa Zima,1,beekeeper|bound and gagged|dysfunctional family|man with glasses|tied to a chair,USA,2700000,222,7.1,1.66,381
33,48,481,,Hoyt Axton,0,black horse|boy horse relationship|horse|rescued by a horse|training,USA,2700000,81,7.4,1.85,0
1,32,258,,Diljit Dosanjh,2,,Canada,3000000,85,6.6,,50
2,13,122,,Casper Christensen,0,crew|cult film|denmark|earth|wristwatch,Denmark,,33,5.7,1.85,77
27,359,756,,Jack Warden,1,falling into water|medical doctor|priest|roof leak|swimming in the ocean,USA,2686585,370,6.9,1.85,573
19,2,20,,Henri Garcin,0,bare breasts|bra|panties|topless female nudity|underwear,Netherlands,2650000,3,7.0,1.85,121
9,315,760,,Irene Dunne,0,heaven|pilot|teacher|training|world war two,USA,2627000,675,7.0,1.37,116
121,628,1000,119500000,Harvey Korman,0,railroad|reference to douglas fairbanks|reference to jesse owens|reference to randolph scott|year 1874,USA,2600000,1000,7.8,2.35,12000
166,74,158,32600000,Kimberly Beck,0,friday the thirteenth|hockey mask|jason voorhees|morgue|slasher,USA,1800000,84,5.9,1.85,0
269,46,88,3826455,Agata Kulesza,1,convent|jew|jewish|nun|poland,Poland,,64,7.4,1.33,17000
29,239,443,3130592,Simon Callow,1,homosexuality|love|male full frontal nudity|male rear nudity|one word title,UK,2600000,249,7.8,1.66,963
20,327,833,475000,Seymour Cassel,2,baseball|baseball movie|beer|slacker|softball,USA,2800000,549,6.0,,323
107,1000,40000,10654581,Clea DuVall,0,astronaut|electrocuted in bathtub|mission|pilot|sister,USA,34000000,9000,5.3,1.85,1000
74,28,52,2276368,Laird John Hamilton,1,beach|surfing|surfing contest|two word title|wave,USA,,52,7.9,,0
173,36,123,38108,Bárbara Goenaga,0,binoculars|hitchcockian|scissors|time machine|woods,Spain,2600000,76,7.2,1.85,0
5,4,11,,Zheng Xu,1,color in title,China,15000000,4,7.4,2.35,30
66,209,331,,Beth Broderick,1,hiking|voyeur|voyeurism|west virginia|woods,USA,2600000,272,5.3,1.85,254
169,390,804,,Cyd Charisse,0,actress|chorus girl|fan|friend|love,USA,2540800,786,8.3,1.37,0
13,0,65,,Amy Badberg,2,fat|food|health|juice|obese,Australia,2500000,2,7.6,,10000
129,555,713,40041683,J.B. Smoove,6,hamburger|parody|priest|psychic|woman in a bikini,USA,2500000,584,5.1,1.85,0
30,67,871,33349949,Dinesh D'Souza,0,critically bashed|partisan commentary|political propoganda|punctuation in title|reenactment,USA,2500000,118,5.1,1.85,0
220,593,908,33386128,Margot Kidder,0,halloween|hospital|michael myers|rampage|vomiting,USA,15000000,764,4.9,1.85,3000
75,982,15000,25809813,Ethan Embry,6,band|drummer|jazz|pennsylvania|song,USA,26000000,9000,6.9,1.37,0
162,67,381,14400000,Nancy Kyes,0,doctor|factory|halloween|holiday horror|stonehenge,USA,2500000,128,4.6,2.35,0
74,450,595,,Sal Mineo,0,ape|fear|future|spacecraft|spaceship,USA,2500000,521,6.3,2.35,819
65,124,617,,Whit Bissell,0,alcoholism|forename as title|rancher|rodeo cowboy|texas,USA,2500000,189,7.9,2.35,1000
26,36,1000,32230907,Dana Hanna,0,lying|montreal|reference to twitter|reference to youtube|toronto,USA,2500000,309,6.7,1.85,0
63,535,18000,6401336,Flea,2,friend|hustler|italy|narcolepsy|traveling,USA,2500000,595,7.1,1.78,0
205,294,625,26781723,Jill Flint,3,actor|doctor|drugs|home|pain,USA,2500000,379,7.6,2.35,0
121,4,15,5400000,Dominik Castell,1,american|conversations|kiss|love|train,USA,2500000,12,8.1,1.85,22000
9,6,50,,Jean Pierre Bergeron,0,canadian gothic|hospital|murder|paranormal|supernatural,Canada,3200000,16,6.6,1.85,39
74,442,745,1282084,Mark Webber,1,hospital|love|mennonite|shower|song,USA,2500000,631,7.0,2.35,500
54,209,643,1186323,Jessica Hecht,0,chinese|chinese american|lesbian love|mother daughter relationship|surgeon,USA,,265,7.6,1.85,774
80,40,56,1094998,Tannishtha Chatterjee,1,arranged marriage|bangladesh|buckingham palace|september 11 2001|title directed by female,UK,,41,6.7,2.35,430
252,215,902,3325638,Ana Gasteyer,3,burglary|dementia|near future|robot|thief,USA,2500000,291,7.1,2.35,13000
72,471,900,395592,Amanda Plummer,1,cancer|death|doctor|drinking|love,Spain,2000000,648,7.6,1.85,0
220,478,8000,6851969,Dayo Okeniyi,1,crying man|high school|high school senior|men's clothing store|party,USA,2500000,1000,7.1,2.35,10000
1,362,882,333658,Michael Bower,0,student film|wonder years,USA,34000,577,7.1,,16
197,0,334,12995673,Steve Burg,1,catholic|christian|jew|muslim|religion,USA,2500000,4,7.7,1.78,24000
14,125,860,173783,George W. Bush,0,alternative energy|energy|fuel|green|oil,USA,2500000,130,7.6,1.85,588
3,107,655,118666,Tom Bower,7,,USA,2500000,157,6.6,1.85,144
191,936,989,114324072,Joel David Moore,0,dodgeball|gym|las vegas|pirate|ups,USA,20000000,939,6.7,2.35,0
18,249,640,71904,George Harris,1,dolphin|island|research|tourist|town,USA,2500000,261,5.7,1.85,140
28,5,191,99851,Gavin Newsom,0,church|marriage|mormon|mormon church|proposition,USA,2500000,12,7.1,1.78,0
22,315,611,115504,Shriya Saran,2,birthday|call center|fiance|hotel|indian,UK,14000000,397,6.2,2.35,0
62,10,127,5725,Sebastian Blomberg,0,dissection|male pubic hair|medical school|medical student|train,Germany,8400000,10,6.1,2.35,560
47,35,426,75727,Tenoch Huerta,0,computer|future|mexican immigrant|network|wilhelm scream,USA,2500000,399,5.9,1.85,0
238,370,2000,322157,Paul T. Taylor,0,drug dealer|superhero|tragedy|tragic hero|tragic love,USA,2500000,973,6.8,1.85,19000
2,555,794,,Lochlyn Munro,2,boss|holiday|letter|north pole|santa,USA,2500000,607,5.8,,190
95,577,968,,David Masterson,0,catering|monster|one word title|party|wasp,Germany,2500000,625,5.0,2.35,0
10,442,1000,,Mark Webber,1,,USA,3500000,677,6.3,,89
28,702,1000,5731103,Andre Braugher,10,actor|bus|march|million man march|religion,USA,2400000,748,6.8,1.85,352
25,201,973,978908,Justine Waddell,0,bound with duct tape|flash forward|number|riddle|stalking,Poland,2400000,872,5.1,2.35,250
121,233,586,438653,David Herman,0,experiment|future|hibernation|stupidity|top secret,USA,,497,6.6,1.85,79000
10,109,490,,Kris Sommerville,0,,UK,2500000,159,5.0,,0
172,698,1000,327919,Jack O'Connell,0,england|racism|racist|skinhead|violence,UK,1500000,788,7.7,1.85,11000
20,663,844,,Bianca Brigitte VanDamme,0,acronym in title|period in title|title ends with period,UK,2500000,722,3.1,2.35,0
8,226,675,,Red Skelton,2,college|teacher|theatrical producer|tutu|wedding,USA,2361000,659,6.5,1.37,144
8,76,847,178739,Rene Rosado,0,exclamation point in title|imperative in title|punctuation in title|three word title,USA,2450000,618,3.9,1.85,566
15,326,982,565592,Alexandra Holden,0,best friend|friendship|population|state in title|texas,USA,,599,6.8,1.85,500
14,244,960,,Howard Keel,3,gambling|interracial marriage|love|miscegenation|showboat,USA,2295429,715,7.0,1.33,438
12,608,1000,27012,Luke Perry,4,death of loved one|loss of father|loss of loved one|musician|singer,USA,,646,5.9,2.35,279
48,826,2000,,Christopher Heyerdahl,2,bouquet|house fire|praying|serial killer|tied to a chair,USA,,1000,5.8,,0
17,385,11000,,Mindy Sterling,0,journey|obsolescence|radio|toaster|vacuum cleaner,USA,2300000,516,7.3,,0
99,,16,76400000,,0,apprentice|classical music|disney|mouse|orchestra,USA,2280000,0,7.8,1.37,3000
138,109,813,,Tony Lo Bianco,0,crime boss|drug smuggling|heroin|mafia boss|organized crime,USA,1800000,165,7.8,1.85,0
,0,210,,Ivette Alvarez,1,,USA,2500000,0,6.9,,224
235,20,72,36200000,Catherine Parks,0,defecation|hockey mask|jason voorhees|lake|serial killer,USA,4000000,31,5.7,2.35,0
160,17,42,21300000,Dominick Brascia,0,jason voorhees|murder|new jersey|nightmare|teenager,USA,2200000,27,4.7,1.85,1000
18,275,861,379643,A.J. Buckley,0,1850s|christian film|dark secret|funeral|sin eater,USA,2200000,425,5.9,1.85,285
11,835,2000,12985267,Madison Pettis,5,belief|faith|pastor|question in title|three word title,USA,2300000,848,5.9,,13000
11,306,676,,Linden Ashby,2,championship|hit and run|police|police investigation|volleyball,USA,2200000,399,4.3,,77
7,275,509,,Lionel Barrymore,0,immigrant|maid|steel mill|strike|union,USA,2160000,284,7.5,1.37,68
5,708,1000,,Brad Schmidt,2,flare gun|island|plane crash|soccer team|stranded,Spain,,800,4.8,,452
10,18,114,,Shobu Kapoor,3,acceptance|coming out to family|gay|large family|wedding,UK,1200000,79,5.8,1.85,172
5,782,3000,,Jason Ritter,5,claim in title|contraction in title|new york|new york city|woodstock,USA,2400000,938,5.3,,107
95,42,371,,Stefanie Drummond,2,cult film|demon|monster slayer|uncle|vomiting,Canada,2500000,52,6.0,1.85,870
97,188,749,23650000,Dana Andrews,5,love|pity|readjusting to civilian life|veteran|world war two veteran,USA,2100000,208,8.1,1.37,0
76,551,730,510092,Brad Renfro,0,cruelty|friend|male frontal nudity|male nudity|pubic hair,USA,,648,7.0,1.85,0
67,14,117,313436,Sven Nordin,0,friendship|mental illness|poet|sex obsession|virgin,Norway,15500000,21,7.6,1.85,0
4,17,128,3330,Brad Lee Wind,0,,USA,2100000,22,7.2,2.35,305
