director_name,num_critic_for_reviews,actor_2_name,gross,genres,actor_1_name,movie_title,facenumber_in_poster,movie_imdb_link,num_user_for_reviews,content_rating,title_year,actor_2_facebook_likes,imdb_score
,26,Noureen DeWulf,,Comedy|Romance,Barry Corbin,Anger Management             ,1,http://www.imdb.com/title/tt1986770/?ref_=fn_tt_tt_1,54,,,701,6.7
Adam Shankman,125,Brad Garrett,113006880,Action|Comedy|Drama|Family|Thriller,Vin Diesel,The Pacifier ,0,http://www.imdb.com/title/tt0395699/?ref_=fn_tt_tt_1,225,PG,2005,799,5.5
Kevin Bray,117,Ashley Scott,45860039,Action|Crime,Dwayne Johnson,Walking Tall ,1,http://www.imdb.com/title/tt0351977/?ref_=fn_tt_tt_1,221,PG-13,2004,795,6.2
Robert Zemeckis,149,Siobhan Fallon Hogan,329691196,Comedy|Drama,Tom Hanks,Forrest Gump ,0,http://www.imdb.com/title/tt0109830/?ref_=fn_tt_tt_1,1398,PG-13,1994,294,8.8
Tim Hill,131,Beth Riesgraf,217326336,Animation|Comedy|Family|Fantasy|Music,Jesse McCartney,Alvin and the Chipmunks ,0,http://www.imdb.com/title/tt0952640/?ref_=fn_tt_tt_1,146,PG,2007,718,5.2
Jay Roach,150,Blythe Danner,166225040,Comedy,Robert De Niro,Meet the Parents ,2,http://www.imdb.com/title/tt0212338/?ref_=fn_tt_tt_1,507,PG-13,2000,713,7.0
Mike Gabriel,92,Frank Welker,141600000,Adventure|Animation|Drama|Family|History|Musical|Romance,Christian Bale,Pocahontas ,1,http://www.imdb.com/title/tt0114148/?ref_=fn_tt_tt_1,216,G,1995,2000,6.6
Richard Donner,169,Margot Kidder,134218018,Action|Adventure|Drama|Romance|Sci-Fi,Marlon Brando,Superman ,0,http://www.imdb.com/title/tt0078346/?ref_=fn_tt_tt_1,497,PG,1978,593,7.3
Tom Shadyac,57,James Coburn,128769345,Comedy|Romance|Sci-Fi,Jada Pinkett Smith,The Nutty Professor ,1,http://www.imdb.com/title/tt0117218/?ref_=fn_tt_tt_1,99,PG-13,1996,773,5.6
Andy Tennant,171,Michael Rapaport,177575142,Comedy|Romance,Will Smith,Hitch ,1,http://www.imdb.com/title/tt0386588/?ref_=fn_tt_tt_1,372,PG-13,2005,975,6.6
Sam Weisman,53,Abraham Benrubi,105263257,Action|Adventure|Comedy|Family|Romance,Brendan Fraser,George of the Jungle ,0,http://www.imdb.com/title/tt0119190/?ref_=fn_tt_tt_1,103,PG,1997,562,5.4
Jesse Dylan,153,Thomas Ian Nicholas,104354205,Comedy|Romance,Alyson Hannigan,American Wedding ,3,http://www.imdb.com/title/tt0328828/?ref_=fn_tt_tt_1,332,R,2003,864,6.3
Paul Greengrass,491,Chris Mulkey,107100855,Biography|Drama|Thriller,Tom Hanks,Captain Phillips ,0,http://www.imdb.com/title/tt1535109/?ref_=fn_tt_tt_1,527,PG-13,2013,535,7.9
Shawn Levy,247,James Franco,98711404,Comedy|Crime|Romance|Thriller,Mila Kunis,Date Night ,2,http://www.imdb.com/title/tt1279935/?ref_=fn_tt_tt_1,207,PG-13,2010,11000,6.3
Brad Silberling,26,Fred Rogers,100328194,Comedy|Family|Fantasy,Eric Idle,Casper ,0,http://www.imdb.com/title/tt0112642/?ref_=fn_tt_tt_1,92,PG,1995,419,6.0
Antoine Fuqua,292,Chloë Grace Moretz,101530738,Action|Crime|Thriller,Denzel Washington,The Equalizer ,0,http://www.imdb.com/title/tt0455944/?ref_=fn_tt_tt_1,436,R,2014,17000,7.2
Wayne Wang,114,Frances Conroy,93815117,Comedy|Drama|Romance,Bob Hoskins,Maid in Manhattan ,2,http://www.imdb.com/title/tt0252076/?ref_=fn_tt_tt_1,242,PG-13,2002,827,5.1
Tony Scott,82,Viggo Mortensen,91400000,Action|Drama|Thriller|War,Denzel Washington,Crimson Tide ,0,http://www.imdb.com/title/tt0112740/?ref_=fn_tt_tt_1,194,R,1995,10000,7.3
Gabriele Muccino,201,Kurt Fuller,162586036,Biography|Drama,Will Smith,The Pursuit of Happyness ,0,http://www.imdb.com/title/tt0454921/?ref_=fn_tt_tt_1,611,PG-13,2006,617,8.0
Robert Schwentke,231,Michael Irby,89706988,Drama|Mystery|Thriller,Erika Christensen,Flightplan ,1,http://www.imdb.com/title/tt0408790/?ref_=fn_tt_tt_1,600,PG-13,2005,507,6.2
Barry Levinson,55,Dylan Baker,83000000,Drama|Thriller,Demi Moore,Disclosure ,0,http://www.imdb.com/title/tt0109635/?ref_=fn_tt_tt_1,95,R,1994,812,6.0
Brad Silberling,110,Andre Braugher,78745923,Drama|Fantasy|Romance,Nicolas Cage,City of Angels ,1,http://www.imdb.com/title/tt0120632/?ref_=fn_tt_tt_1,322,PG-13,1998,702,6.7
Quentin Tarantino,354,Vivica A. Fox,70098138,Action,David Carradine,Kill Bill: Vol. 1 ,0,http://www.imdb.com/title/tt0266697/?ref_=fn_tt_tt_1,2105,R,2003,890,8.1
Frank Oz,140,Adam Alexi-Malle,66365290,Comedy,Robert Downey Jr.,Bowfinger ,2,http://www.imdb.com/title/tt0131325/?ref_=fn_tt_tt_1,358,PG-13,1999,860,6.4
,77,Don S. Davis,,Action|Adventure|Drama|Sci-Fi,Christopher Judge,Stargate SG-1             ,4,http://www.imdb.com/title/tt0118480/?ref_=fn_tt_tt_1,181,TV-14,,440,8.4
Quentin Tarantino,304,Michael Parks,66207920,Action|Crime|Drama|Thriller,Vivica A. Fox,Kill Bill: Vol. 2 ,0,http://www.imdb.com/title/tt0378194/?ref_=fn_tt_tt_1,935,R,2004,387,8.0
Andrey Konchalovskiy,45,Jack Palance,63408614,Action|Comedy|Crime|Thriller,Sylvester Stallone,Tango & Cash ,1,http://www.imdb.com/title/tt0098439/?ref_=fn_tt_tt_1,149,R,1989,549,6.3
Robert Zemeckis,49,Meryl Streep,58422650,Comedy|Fantasy|Horror,Bruce Willis,Death Becomes Her ,3,http://www.imdb.com/title/tt0104070/?ref_=fn_tt_tt_1,173,PG-13,1992,11000,6.4
Tom Dey,146,Jason Connery,56932305,Action|Adventure|Comedy|Western,Xander Berkeley,Shanghai Noon ,2,http://www.imdb.com/title/tt0184894/?ref_=fn_tt_tt_1,293,PG-13,2000,110,6.6
Stuart Baird,60,Joe Morton,68750000,Action|Adventure|Thriller,Oliver Platt,Executive Decision ,0,http://www.imdb.com/title/tt0116253/?ref_=fn_tt_tt_1,144,R,1996,780,6.4
Mark Waters,189,Ophelia Lovibond,68218041,Comedy|Family|Fantasy,Madeline Carroll,Mr. Popper's Penguins ,1,http://www.imdb.com/title/tt1396218/?ref_=fn_tt_tt_1,108,PG,2011,549,6.0
Rob Minkoff,206,Thomas McDonell,25040293,Action|Adventure|Fantasy,Jet Li,The Forbidden Kingdom ,0,http://www.imdb.com/title/tt0865556/?ref_=fn_tt_tt_1,279,PG-13,2008,962,6.6
Jimmy Hayward,118,Carlos Ponce,55747724,Adventure|Animation|Comedy|Family,Amy Poehler,Free Birds ,1,http://www.imdb.com/title/tt1621039/?ref_=fn_tt_tt_1,73,PG,2013,591,5.9
David Fincher,210,Holt McCallany,55473600,Action|Horror|Sci-Fi,Charles S. Dutton,Alien 3 ,0,http://www.imdb.com/title/tt0103644/?ref_=fn_tt_tt_1,776,R,1992,273,6.4
Alan Parker,76,Jimmy Nail,49994804,Biography|Drama|History|Musical,Andrea Corr,Evita ,1,http://www.imdb.com/title/tt0116250/?ref_=fn_tt_tt_1,194,PG,1996,40,6.3
John Frankenheimer,149,Natascha McElhone,41609593,Action|Adventure|Crime|Thriller,Robert De Niro,Ronin ,2,http://www.imdb.com/title/tt0122690/?ref_=fn_tt_tt_1,572,R,1998,2000,7.3
Stephen Hopkins,62,Bernard Hill,38553833,Adventure|Drama|Horror|Thriller,Tom Wilkinson,The Ghost and the Darkness ,0,http://www.imdb.com/title/tt0116409/?ref_=fn_tt_tt_1,155,R,1996,416,6.8
Paul King,224,Matt Lucas,76137505,Animation|Comedy|Family|Fantasy,Julie Walters,Paddington ,0,http://www.imdb.com/title/tt1109624/?ref_=fn_tt_tt_1,174,PG,2014,722,7.2
Akiva Schaffer,265,Nicholas Braun,34350553,Action|Comedy|Sci-Fi,Will Forte,The Watch ,4,http://www.imdb.com/title/tt1298649/?ref_=fn_tt_tt_1,207,R,2012,591,5.7
William Friedkin,135,Jenna Boyd,34238611,Action|Crime|Drama|Thriller,Connie Nielsen,The Hunted ,1,http://www.imdb.com/title/tt0269347/?ref_=fn_tt_tt_1,321,R,2003,518,6.0
Jon Turteltaub,100,Maura Tierney,34098563,Drama|Thriller,Anthony Hopkins,Instinct ,1,http://www.imdb.com/title/tt0128278/?ref_=fn_tt_tt_1,232,R,1999,509,6.5
Bobby Farrelly,123,Terence Bernie Hines,33828318,Comedy,Matt Damon,Stuck on You ,2,http://www.imdb.com/title/tt0338466/?ref_=fn_tt_tt_1,154,PG-13,2003,390,5.8
Kent Alterman,164,Maura Tierney,33472850,Comedy|Sport,Will Ferrell,Semi-Pro ,3,http://www.imdb.com/title/tt0839980/?ref_=fn_tt_tt_1,119,R,2008,509,5.8
Peter Lord,238,Russell Tovey,31051126,Adventure|Animation|Comedy|Family,Salma Hayek,The Pirates! Band of Misfits ,0,http://www.imdb.com/title/tt1430626/?ref_=fn_tt_tt_1,101,PG,2012,796,6.7
Clint Eastwood,264,Michael Kelly,35707327,Crime|Drama|Mystery|Thriller,Angelina Jolie Pitt,Changeling ,0,http://www.imdb.com/title/tt0824747/?ref_=fn_tt_tt_1,387,R,2008,963,7.8
Andrew Davis,47,Morgan Freeman,20550712,Action|Drama|Sci-Fi|Thriller,Keanu Reeves,Chain Reaction ,1,http://www.imdb.com/title/tt0115857/?ref_=fn_tt_tt_1,95,PG-13,1996,11000,5.6
Tony Scott,50,Kurt Fuller,18573791,Action|Drama|Sport|Thriller,Robert De Niro,The Fan ,3,http://www.imdb.com/title/tt0116277/?ref_=fn_tt_tt_1,89,R,1996,617,5.8
Joel Schumacher,153,Minnie Driver,51225796,Drama|Musical|Romance|Thriller,Gerard Butler,The Phantom of the Opera ,0,http://www.imdb.com/title/tt0293508/?ref_=fn_tt_tt_1,2047,PG-13,2004,893,7.4
Shekhar Kapur,202,Abbie Cornish,16264475,Biography|Drama|History|War,Eddie Redmayne,Elizabeth: The Golden Age ,1,http://www.imdb.com/title/tt0414055/?ref_=fn_tt_tt_1,216,PG-13,2007,2000,6.9
Karyn Kusama,178,Sophie Okonedo,25857987,Action|Sci-Fi,Charlize Theron,Æon Flux ,0,http://www.imdb.com/title/tt0402022/?ref_=fn_tt_tt_1,532,PG-13,2005,460,5.5
Ron Maxwell,84,Bruce Boxleitner,12870569,Drama|History|War,Billy Campbell,Gods and Generals ,0,http://www.imdb.com/title/tt0279111/?ref_=fn_tt_tt_1,497,PG-13,2003,640,6.3
Robert Butler,44,Lauren Holly,11466088,Action|Thriller,Hector Elizondo,Turbulence ,0,http://www.imdb.com/title/tt0120390/?ref_=fn_tt_tt_1,84,R,1997,879,4.7
Karey Kirkpatrick,93,Ronny Cox,16088610,Comedy|Drama|Family|Fantasy,Stephen Root,Imagine That ,2,http://www.imdb.com/title/tt0780567/?ref_=fn_tt_tt_1,39,PG,2009,605,5.6
James Bobin,277,Tina Fey,51178893,Adventure|Comedy|Crime|Family|Musical,Ty Burrell,Muppets Most Wanted ,4,http://www.imdb.com/title/tt2281587/?ref_=fn_tt_tt_1,110,PG,2014,2000,6.4
Jonathan Frakes,76,Philip Winchester,6768055,Action|Adventure|Comedy|Family|Sci-Fi,Sophia Myles,Thunderbirds ,0,http://www.imdb.com/title/tt0167456/?ref_=fn_tt_tt_1,229,PG,2004,579,4.2
Steve Antin,197,Peter Gallagher,39440655,Drama|Music|Musical|Romance,Eric Dane,Burlesque ,1,http://www.imdb.com/title/tt1126591/?ref_=fn_tt_tt_1,222,PG-13,2010,828,6.4
Jean-Pierre Jeunet,186,André Dussollier,6167817,Drama|Mystery|Romance|War,Denis Lavant,A Very Long Engagement ,1,http://www.imdb.com/title/tt0344510/?ref_=fn_tt_tt_1,239,R,2004,52,7.7
Stanley Kubrick,103,Shelley Winters,,Crime|Drama|Romance,James Mason,Lolita ,0,http://www.imdb.com/title/tt0056193/?ref_=fn_tt_tt_1,207,Not Rated,1962,367,7.7
Jim Gillespie,66,Tom Berenger,,Crime|Horror|Mystery|Thriller,Sylvester Stallone,Eye See You ,1,http://www.imdb.com/title/tt0160184/?ref_=fn_tt_tt_1,142,R,2002,854,5.3
Guillermo del Toro,224,Thomas Kretschmann,81645152,Action|Horror|Sci-Fi|Thriller,Norman Reedus,Blade II ,1,http://www.imdb.com/title/tt0187738/?ref_=fn_tt_tt_1,559,R,2002,919,6.7
Gabriele Muccino,202,Rosario Dawson,69951824,Drama|Romance,Will Smith,Seven Pounds ,1,http://www.imdb.com/title/tt0814314/?ref_=fn_tt_tt_1,599,PG-13,2008,3000,7.7
Walter Hill,279,Jason Momoa,9483821,Action|Thriller,Sylvester Stallone,Bullet to the Head ,3,http://www.imdb.com/title/tt1308729/?ref_=fn_tt_tt_1,131,R,2012,11000,5.7
Francis Ford Coppola,110,Joe Mantegna,66676062,Crime|Drama,Al Pacino,The Godfather: Part III ,1,http://www.imdb.com/title/tt0099674/?ref_=fn_tt_tt_1,545,R,1990,1000,7.6
Cameron Crowe,190,Kirsten Dunst,26838389,Comedy|Drama|Romance,Orlando Bloom,Elizabethtown ,0,http://www.imdb.com/title/tt0368709/?ref_=fn_tt_tt_1,495,PG-13,2005,4000,6.4
Anthony Russo,136,Billy Gardell,75604320,Comedy|Romance,Todd Stashwick,You, Me and Dupree ,1,http://www.imdb.com/title/tt0463034/?ref_=fn_tt_tt_1,195,PG-13,2006,245,5.6
Richard Lester,121,Ned Beatty,108200000,Action|Adventure|Romance|Sci-Fi,Margot Kidder,Superman II ,4,http://www.imdb.com/title/tt0081573/?ref_=fn_tt_tt_1,269,PG,1980,467,6.8
Martin Brest,131,Lenny Venito,5660084,Comedy|Crime|Romance,Todd Giebenhain,Gigli ,0,http://www.imdb.com/title/tt0299930/?ref_=fn_tt_tt_1,418,R,2003,62,2.4
Steven Zaillian,127,Anthony Hopkins,7221458,Drama|Thriller,Kate Winslet,All the King's Men ,0,http://www.imdb.com/title/tt0405676/?ref_=fn_tt_tt_1,178,PG-13,2006,12000,6.2
John Singleton,160,Vanessa Williams,70327868,Action|Crime|Thriller,Christian Bale,Shaft ,0,http://www.imdb.com/title/tt0162650/?ref_=fn_tt_tt_1,301,R,2000,1000,5.9
Don Bluth,78,Kelsey Grammer,58297830,Adventure|Animation|Drama|Family|Fantasy|Musical|Mystery|Romance,Kirsten Dunst,Anastasia ,1,http://www.imdb.com/title/tt0118617/?ref_=fn_tt_tt_1,191,G,1997,808,7.1
Baz Luhrmann,209,Kylie Minogue,57386369,Drama|Musical|Romance,Jim Broadbent,Moulin Rouge! ,1,http://www.imdb.com/title/tt0203009/?ref_=fn_tt_tt_1,2319,PG-13,2001,691,7.6
Harold Becker,98,Teri Polo,45207112,Crime|Mystery|Thriller,Steve Buscemi,Domestic Disturbance ,1,http://www.imdb.com/title/tt0249478/?ref_=fn_tt_tt_1,190,PG-13,2001,708,5.5
Scott Cooper,391,Benedict Cumberbatch,62563543,Biography|Crime|Drama,Johnny Depp,Black Mass ,7,http://www.imdb.com/title/tt1355683/?ref_=fn_tt_tt_1,289,R,2015,19000,7.0
Clint Eastwood,279,Chris Bauer,33574332,Drama|History|War,Paul Walker,Flags of Our Fathers ,0,http://www.imdb.com/title/tt0418689/?ref_=fn_tt_tt_1,415,R,2006,638,7.1
F. Gary Gray,216,Leslie Bibb,73343413,Crime|Drama|Thriller,Gerard Butler,Law Abiding Citizen ,0,http://www.imdb.com/title/tt1197624/?ref_=fn_tt_tt_1,429,R,2009,1000,7.4
Robert Rodriguez,250,Rosario Dawson,25031037,Action|Horror|Thriller,Quentin Tarantino,Grindhouse ,0,http://www.imdb.com/title/tt0462322/?ref_=fn_tt_tt_1,532,R,2007,3000,7.6
Jonathan Demme,78,Kimberly Elise,22843047,Drama|History|Horror,Oprah Winfrey,Beloved ,1,http://www.imdb.com/title/tt0120603/?ref_=fn_tt_tt_1,207,R,1998,637,5.9
Curtis Hanson,106,Robert Duvall,5755286,Drama|Romance|Sport,Robert Downey Jr.,Lucky You ,1,http://www.imdb.com/title/tt0338216/?ref_=fn_tt_tt_1,63,PG-13,2007,3000,5.9
Steven Spielberg,194,Tom Hanks,164435221,Biography|Crime|Drama,Leonardo DiCaprio,Catch Me If You Can ,0,http://www.imdb.com/title/tt0264464/?ref_=fn_tt_tt_1,667,PG-13,2002,15000,8.0
Kathryn Bigelow,558,Harold Perrineau,95720716,Drama|History|Thriller,Jennifer Ehle,Zero Dark Thirty ,0,http://www.imdb.com/title/tt1790885/?ref_=fn_tt_tt_1,640,R,2012,1000,7.4
Peyton Reed,183,John Michael Higgins,118683135,Comedy|Drama|Romance,Jon Favreau,The Break-Up ,1,http://www.imdb.com/title/tt0452594/?ref_=fn_tt_tt_1,483,PG-13,2006,957,5.8
Phyllida Lloyd,238,Meryl Streep,143704210,Comedy|Family|Musical|Romance,Colin Firth,Mamma Mia! ,1,http://www.imdb.com/title/tt0795421/?ref_=fn_tt_tt_1,611,PG-13,2008,11000,6.3
Garry Marshall,186,Taylor Lautner,110476776,Comedy|Romance,Bradley Cooper,Valentine's Day ,12,http://www.imdb.com/title/tt0817230/?ref_=fn_tt_tt_1,211,PG-13,2010,12000,5.7
Jay Chandrasekhar,144,Jessica Simpson,80270227,Action|Adventure|Comedy,Alice Greczyn,The Dukes of Hazzard ,5,http://www.imdb.com/title/tt0377818/?ref_=fn_tt_tt_1,612,PG-13,2005,534,5.1
Terrence Malick,156,Miranda Otto,36385763,Drama|War,Nick Stahl,The Thin Red Line ,0,http://www.imdb.com/title/tt0120863/?ref_=fn_tt_tt_1,1448,R,1998,568,7.6
David Dobkin,215,Olivia Wilde,37035845,Comedy|Fantasy,Ryan Reynolds,The Change-Up ,2,http://www.imdb.com/title/tt1488555/?ref_=fn_tt_tt_1,149,R,2011,10000,6.4
Milos Forman,140,Gerry Becker,34580635,Biography|Comedy|Drama,Matt Price,Man on the Moon ,1,http://www.imdb.com/title/tt0125664/?ref_=fn_tt_tt_1,549,R,1999,27,7.4
Martin Scorsese,133,Don Rickles,42438300,Biography|Crime|Drama,Robert De Niro,Casino ,2,http://www.imdb.com/title/tt0112641/?ref_=fn_tt_tt_1,533,R,1995,721,8.2
Pierre Morel,203,Amber Rose Revah,23324666,Action|Thriller,Kasia Smutniak,From Paris with Love ,1,http://www.imdb.com/title/tt1179034/?ref_=fn_tt_tt_1,211,R,2010,135,6.5
Paul Hunter,127,Mako,23020488,Action|Comedy|Fantasy,Jaime King,Bulletproof Monk ,3,http://www.imdb.com/title/tt0245803/?ref_=fn_tt_tt_1,180,PG-13,2003,691,5.5
Bobby Farrelly,155,Tony Cox,90567722,Comedy,Robert Forster,Me, Myself & Irene ,1,http://www.imdb.com/title/tt0183505/?ref_=fn_tt_tt_1,481,R,2000,624,6.5
Steve Oedekerk,98,Wanda Sykes,72601713,Animation|Comedy|Family,Rob Paulsen,Barnyard ,1,http://www.imdb.com/title/tt0414853/?ref_=fn_tt_tt_1,155,PG,2006,560,5.6
John Whitesell,71,Jorge Garcia,35092918,Comedy|Family,Matthew Broderick,Deck the Halls ,0,http://www.imdb.com/title/tt0790604/?ref_=fn_tt_tt_1,110,PG,2006,1000,4.9
Chris Weitz,299,Kristen Stewart,296623634,Adventure|Drama|Fantasy|Romance,Robert Pattinson,The Twilight Saga: New Moon ,2,http://www.imdb.com/title/tt1259571/?ref_=fn_tt_tt_1,919,PG-13,2009,17000,4.6
Andrew Adamson,212,Chris Miller,267652016,Adventure|Animation|Comedy|Family|Fantasy,Kathleen Freeman,Shrek ,1,http://www.imdb.com/title/tt0126029/?ref_=fn_tt_tt_1,945,PG,2001,50,7.9
George Nolfi,413,Michael Kelly,62453315,Romance|Sci-Fi|Thriller,Matt Damon,The Adjustment Bureau ,2,http://www.imdb.com/title/tt1385826/?ref_=fn_tt_tt_1,407,PG-13,2011,963,7.1
Kevin Reynolds,67,Morgan Freeman,165500000,Action|Adventure|Drama|Romance,Alan Rickman,Robin Hood: Prince of Thieves ,0,http://www.imdb.com/title/tt0102798/?ref_=fn_tt_tt_1,322,PG-13,1991,11000,6.9
Cameron Crowe,109,Kelly Preston,153620822,Comedy|Drama|Romance|Sport,Tom Cruise,Jerry Maguire ,0,http://www.imdb.com/title/tt0116695/?ref_=fn_tt_tt_1,318,R,1996,743,7.3
Seth MacFarlane,457,Seth MacFarlane,218628680,Comedy|Fantasy,Mila Kunis,Ted ,1,http://www.imdb.com/title/tt1637725/?ref_=fn_tt_tt_1,623,R,2012,3000,7.0
