director_name,num_critic_for_reviews,duration,gross,movie_title,cast_total_facebook_likes,facenumber_in_poster,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_facebook_likes
William Shatner,98,107,55210049,Star Trek V: The Final Frontier ,14710,1,English,USA,PG,27800000,1989,5.4,2.35,0
John Schultz,39,99,51432423,Like Mike ,3679,7,English,USA,PG,30000000,2002,5.1,1.85,1000
Peter Segal,43,83,51109400,Naked Gun 33 1/3: The Final Insult ,4767,5,English,USA,PG-13,30000000,1994,6.4,1.85,1000
John Glen,108,131,50300000,A View to a Kill ,2943,2,English,UK,PG,30000000,1985,6.3,2.35,0
Steve Box,209,85,56068547,The Curse of the Were-Rabbit ,1145,0,English,UK,G,30000000,2005,7.5,1.85,0
Richard LaGravenese,131,126,53680848,P.S. I Love You ,18726,1,English,USA,PG-13,30000000,2007,7.1,1.85,20000
Frederik Du Chau,73,102,49186871,Racing Stripes ,2910,0,English,USA,PG,,2005,5.2,1.85,771
Joe Wright,316,123,50921738,Atonement ,20499,1,English,UK,R,30000000,2007,7.8,1.85,12000
Gary Winick,159,105,53021560,Letters to Juliet ,1026,1,English,USA,PG,30000000,2010,6.5,2.35,13000
Ridley Scott,63,125,45645204,Black Rain ,1748,2,English,USA,R,30000000,1989,6.6,2.35,0
Bobby Farrelly,162,92,44328238,The Three Stooges ,6137,0,English,USA,PG,,2012,5.1,1.85,13000
Tim Burton,267,77,53337608,Corpse Bride ,60683,1,English,USA,PG,40000000,2005,7.4,1.85,0
James Gartner,95,118,42643187,Glory Road ,2577,1,English,USA,PG,,2006,7.2,2.35,0
Denis Villeneuve,478,121,46875468,Sicario ,1467,2,English,USA,R,30000000,2015,7.6,2.39,59000
Antoine Fuqua,305,124,52418902,Southpaw ,16881,0,English,USA,R,30000000,2015,7.5,2.35,44000
Sam Raimi,397,99,42057340,Drag Me to Hell ,5642,0,English,USA,PG-13,30000000,2009,6.6,2.35,11000
Lee Toland Krieger,214,112,42478175,The Age of Adaline ,15327,1,English,USA,PG-13,25000000,2015,7.2,2.35,34000
Tim McCanlies,82,111,41407470,Secondhand Lions ,9638,1,English,USA,PG,30000000,2003,7.6,1.85,0
Jon M. Chu,138,107,42385520,Step Up 3D ,4059,0,English,USA,PG-13,30000000,2010,6.2,1.85,16000
John Stockwell,69,104,40118420,Blue Crush ,1165,3,English,USA,PG-13,30000000,2002,5.6,1.85,0
Marc Forster,253,113,40137776,Stranger Than Fiction ,8362,1,English,USA,PG-13,38000000,2006,7.6,1.85,13000
David Slade,304,113,39568996,30 Days of Night ,814,0,English,USA,R,32000000,2007,6.6,2.35,0
Drew Goddard,634,95,42043633,The Cabin in the Woods ,29551,0,English,USA,R,30000000,2012,7.0,2.35,66000
Jason Friedberg,111,86,38232624,Meet the Spartans ,3854,0,English,USA,PG-13,30000000,2008,2.7,1.85,0
Martin Brest,77,126,38413606,Midnight Run ,23866,1,English,USA,R,30000000,1988,7.6,1.85,0
Paul Michael Glaser,120,101,38122105,The Running Man ,2373,1,English,USA,R,27000000,1987,6.6,1.37,0
Frank Oz,63,102,38747385,Little Shop of Horrors ,15308,2,English,USA,PG-13,25000000,1986,6.9,1.85,0
Joe Wright,417,111,40247512,Hanna ,257,0,English,USA,PG-13,30000000,2011,6.8,2.35,38000
,9,60,,The Family             ,3295,4,English,USA,TV-PG,,,7.5,16.0,0
John R. Leonetti,59,95,35927406,Mortal Kombat: Annihilation ,2266,0,English,USA,PG-13,30000000,1997,3.7,1.85,1000
Tom Hanks,218,98,35565975,Larry Crowne ,16827,0,English,USA,PG-13,30000000,2011,6.1,2.35,0
Kimberly Peirce,359,100,35266619,Carrie ,20051,1,English,USA,R,30000000,2013,5.9,2.35,39000
Liz Friedlander,101,118,34703228,Take the Lead ,3797,0,English,USA,PG-13,30000000,2006,6.7,1.85,0
,52,28,,Entourage             ,2867,2,English,USA,TV-MA,,,8.5,1.78,0
Phil Joanou,85,125,38432823,Gridiron Gang ,15811,1,English,USA,PG-13,30000000,2006,6.9,2.35,0
Sam Weisman,64,94,32095318,What's the Worst That Could Happen? ,3664,0,English,USA,PG-13,45000000,2001,5.5,1.85,304
Shane Acker,263,79,31743332,9 ,1594,0,English,USA,PG-13,30000000,2009,7.1,1.85,13000
Steven Soderbergh,450,106,32154410,Side Effects ,18469,0,English,USA,R,30000000,2013,7.1,1.85,29000
Martha Coolidge,85,111,28165882,The Prince and Me ,3239,1,English,USA,PG,,2004,5.9,1.85,0
Stephen J. Anderson,162,63,26687172,Winnie the Pooh ,1002,0,English,USA,G,30000000,2011,7.3,1.85,0
Troy Miller,85,85,26096584,Dumb and Dumberer: When Harry Met Lloyd ,1653,0,English,USA,PG-13,19000000,2003,3.4,1.37,1000
Warren Beatty,110,108,26525834,Bulworth ,1023,1,English,USA,R,30000000,1998,6.8,1.85,0
Tate Taylor,165,139,30513940,Get on Up ,2060,0,English,USA,PG-13,30000000,2014,6.9,1.85,11000
Carl Franklin,64,127,23209440,One True Thing ,12785,3,English,USA,R,30000000,1998,7.0,1.85,592
Brett Leonard,44,106,24048000,Virtuosity ,20772,1,English,USA,R,30000000,1995,5.5,2.35,0
Ivan Reitman,147,95,22526144,My Super Ex-Girlfriend ,2737,1,English,USA,PG-13,30000000,2006,5.1,2.35,1000
Scott Derrickson,242,118,30523568,Deliver Us from Evil ,5697,0,English,USA,R,30000000,2014,6.2,2.35,18000
Alister Grierson,244,108,23070045,Sanctum ,3892,0,English,USA,R,30000000,2011,5.9,1.85,11000
Nick Hurran,73,105,20422207,Little Black Book ,4369,1,English,USA,PG-13,35000000,2004,5.2,2.35,484
Nicholas Stoller,232,131,28644770,The Five-Year Engagement ,3479,2,English,USA,R,30000000,2012,6.2,1.85,11000
Charles Stone III,63,104,21800302,Mr 3000 ,4462,1,English,USA,PG-13,30000000,2004,5.5,1.85,491
Paul Haggis,239,133,21129348,The Next Three Days ,11799,0,English,USA,PG-13,35000000,2010,7.4,2.35,27000
Kurt Wimmer,158,94,18500966,Ultraviolet ,15271,1,English,USA,PG-13,30000000,2006,4.4,1.85,0
Jean-François Richet,152,109,19976073,Assault on Precinct 13 ,3148,1,English,USA,R,20000000,2005,6.3,2.35,999
Antoine Fuqua,105,96,18967571,The Replacement Killers ,3072,2,English,USA,R,30000000,1998,6.1,2.35,629
Kevin Hooks,36,105,17100000,Fled ,6152,1,English,USA,R,25000000,1996,5.3,1.85,204
Ellory Elkayem,181,99,17266505,Eight Legged Freaks ,22554,1,English,USA,PG-13,30000000,2002,5.4,2.35,0
Edward Zwick,219,112,32357532,Love & Other Drugs ,31278,0,English,USA,R,30000000,2010,6.7,1.85,24000
Jon Avnet,158,108,16930884,88 Minutes ,16722,1,English,USA,R,30000000,2007,5.9,2.35,0
Niki Caro,155,126,18324242,North Country ,20563,4,English,USA,R,35000000,2005,7.3,2.35,0
Howard Deutch,74,98,16323969,The Whole Ten Yards ,18085,5,English,USA,PG-13,40000000,2004,5.5,1.85,462
Vincenzo Natali,368,104,16999046,Splice ,2222,0,English,Canada,R,26000000,2009,5.8,1.85,12000
Willard Huyck,81,110,16295774,Howard the Duck ,3000,1,English,USA,PG,35000000,1986,4.6,1.85,0
Gavin O'Connor,154,130,15709385,Pride and Glory ,5101,0,English,USA,R,30000000,2008,6.7,1.85,0
Bruce Hunt,140,93,14888028,The Cave ,2178,0,English,USA,PG-13,30000000,2005,5.1,2.35,0
Rob Reiner,73,96,14208384,Alex & Emma ,977,2,English,USA,PG-13,30000000,2003,5.6,1.85,625
Paul McGuigan,98,114,12831121,Wicker Park ,679,0,English,USA,PG-13,30000000,2004,7.0,2.35,0
Craig Gillespie,358,106,18298649,Fright Night ,1393,1,English,USA,R,30000000,2011,6.4,1.85,23000
Terrence Malick,222,150,12712093,The New World ,27829,0,English,USA,PG-13,30000000,2005,6.7,2.35,0
Chris Roberts,85,100,11576087,Wing Commander ,2497,3,English,USA,PG-13,30000000,1999,4.1,2.35,858
Neil Jordan,62,100,11900000,In Dreams ,22006,0,English,USA,R,30000000,1999,5.5,1.85,654
James Wong,130,100,9353573,Dragonball: Evolution ,1100,0,English,USA,PG,45000000,2009,2.7,2.35,0
Jee-woon Kim,376,107,12026670,The Last Stand ,1643,2,English,USA,R,45000000,2013,6.4,2.35,24000
Nick Hamm,130,102,14334645,Godsend ,23352,1,English,USA,PG-13,25000000,2004,4.8,2.35,387
Andy Cadiff,65,101,12189514,Chasing Liberty ,842,0,English,USA,PG-13,23000000,2004,6.1,2.35,0
Mike Disa,77,86,10134754,Hoodwinked Too! Hood vs. Evil ,5393,0,English,USA,PG,30000000,2011,4.8,1.85,0
Lasse Hallström,107,108,8535575,An Unfinished Life ,11519,3,English,USA,PG-13,30000000,2005,7.0,2.35,0
Terry Gilliam,292,123,7689458,The Imaginarium of Doctor Parnassus ,11769,1,English,UK,PG-13,40000000,2009,6.8,1.85,19000
Richard J. Lewis,193,134,7501404,Barney's Version ,1873,2,English,Canada,R,,2010,7.3,2.35,0
,16,511,,Trapped             ,307,0,Icelandic,Iceland,,,,8.2,16.0,0
Brad Furman,184,88,19316646,Runner Runner ,5706,3,English,USA,R,30000000,2013,5.6,2.35,0
Peter Howitt,123,109,10965209,Antitrust ,1297,2,English,USA,PG-13,30000000,2001,6.1,2.35,0
Edward Zwick,60,122,26830000,Glory ,32930,3,English,USA,R,18000000,1989,7.9,1.85,0
Sergio Leone,111,251,5300000,Once Upon a Time in America ,24719,8,English,Italy,R,30000000,1984,8.4,1.85,12000
Niels Arden Oplev,217,118,10880926,Dead Man Down ,4253,2,English,USA,R,30000000,2013,6.5,2.35,0
Michael Radford,117,131,3752725,The Merchant of Venice ,16252,3,English,USA,R,18000000,2004,7.1,2.35,0
Neil Jordan,105,109,3517797,The Good Thief ,2759,0,English,France,R,25000000,2002,6.6,1.85,287
Steve Boyum,41,80,3101301,Supercross ,21519,1,English,USA,PG-13,,2005,4.0,1.85,353
Chris Noonan,124,88,2975649,Miss Potter ,1518,1,English,UK,PG,30000000,2006,7.0,2.35,0
Kaige Chen,90,103,668171,The Promise ,949,0,Mandarin,China,PG-13,60000000,2005,5.6,2.35,445
Corey Yuen,110,87,480314,DOA: Dead or Alive ,4473,4,English,USA,PG-13,21000000,2006,4.8,2.35,0
Andrew Dominik,273,160,3904982,The Assassination of Jesse James by the Coward Robert Ford ,22516,0,English,USA,R,30000000,2007,7.5,2.35,0
Li Zhang,63,121,127437,1911 ,1887,0,Mandarin,China,R,18000000,2011,6.0,2.35,0
Laurent Tirard,56,91,,Little Nicholas ,545,7,French,France,,,2009,7.2,1.85,0
Simon West,130,92,,Wild Card ,29773,0,English,USA,R,30000000,2015,5.6,2.35,0
Marc Forster,134,129,537580,Machine Gun Preacher ,19620,1,English,USA,R,30000000,2011,6.8,2.35,21000
Reinhard Klooss,36,93,,Animals United ,3095,0,German,Germany,PG,,2010,4.9,2.39,885
Bille August,46,118,,The Color of Freedom ,143,1,English,Germany,R,30000000,2007,7.1,2.35,0
Frédéric Auburtin,7,110,,United Passions ,2725,4,English,France,Not Rated,24000000,2014,2.0,2.35,0
Olivier Dahan,132,103,,Grace of Monaco ,2806,3,English,Switzerland,,30000000,2014,5.7,2.35,6000
Maksim Fadeev,5,85,,A Warrior's Tail ,229,1,Russian,Russia,,30000000,2015,4.1,,161
Liliana Cavani,56,110,,Ripley's Game ,1831,0,English,Italy,R,30000000,2002,6.7,1.85,447
Greg Tiernan,65,89,,Sausage Party ,15795,0,English,USA,R,19000000,2016,7.5,1.85,13000
Elizabeth Banks,221,115,183436380,Pitch Perfect 2 ,13159,8,English,USA,PG-13,29000000,2015,6.5,1.85,40000
James Mangold,291,153,119518352,Walk the Line ,1383,0,English,USA,PG-13,28000000,2005,7.9,2.39,11000
,13,42,,12 Monkeys             ,3309,0,English,USA,TV-14,,,7.6,16.0,12000
Edward Norton,148,128,37036404,Keeping the Faith ,5404,3,English,USA,PG-13,30000000,2000,6.4,1.85,0
Peter Hewitt,42,89,22359293,The Borrowers ,2056,0,English,UK,PG,29000000,1997,5.8,1.85,0
Ron Howard,302,122,18593156,Frost/Nixon ,6161,1,English,USA,R,35000000,2008,7.7,2.35,0
George Clooney,181,113,,Confessions of a Dangerous Mind ,810,0,English,USA,R,29000000,2002,7.1,2.35,3000
Reginald Hudlin,64,99,16930185,Serving Sara ,4169,2,English,Germany,PG-13,29000000,2002,5.3,1.85,201
Ben Falcone,154,99,63034755,The Boss ,23562,1,English,USA,R,29000000,2016,5.3,1.85,0
Richard Attenborough,17,147,5899797,Cry Freedom ,18855,0,English,UK,PG,29000000,1987,7.5,2.35,0
Lawrence Kasdan,65,112,4554569,Mumford ,17873,4,English,USA,R,28000000,1999,6.9,2.35,209
Don Mancini,148,88,17016190,Seed of Chucky ,2567,0,English,Romania,R,12000000,2004,4.9,1.85,0
John Maybury,161,94,6301131,The Jacket ,5085,0,English,USA,R,29000000,2005,7.1,2.35,0
Ron Clements,124,90,217350219,Aladdin ,52970,0,English,USA,G,28000000,1992,8.0,1.33,0
F. Gary Gray,349,167,161029270,Straight Outta Compton ,2702,0,English,USA,R,28000000,2015,7.9,2.35,76000
Steven Spielberg,148,118,179870271,Indiana Jones and the Temple of Doom ,11898,2,English,USA,PG,28000000,1984,7.6,2.35,0
Igor Kovalyov,45,83,100491683,The Rugrats Movie ,3438,0,English,USA,G,24000000,1998,5.9,1.85,418
Lee Tamahori,133,104,74058698,Along Came a Spider ,17109,0,English,USA,R,60000000,2001,6.3,2.35,0
Stephen Frears,87,110,,Florence Foster Jenkins ,11534,3,English,UK,PG-13,29000000,2016,7.1,2.35,0
Robert Rodriguez,178,102,55845943,Once Upon a Time in Mexico ,46186,1,English,USA,R,29000000,2003,6.4,1.78,0
John McTiernan,233,131,81350242,Die Hard ,40585,0,English,USA,R,28000000,1988,8.2,2.35,25000
David Wain,173,101,67266300,Role Models ,3400,1,English,Germany,R,28000000,2008,6.9,1.85,0
Adam McKay,426,130,70235322,The Big Short ,57308,4,English,USA,R,28000000,2015,7.8,2.35,99000
Ang Lee,210,120,7443007,Taking Woodstock ,1500,12,English,USA,R,30000000,2009,6.7,1.85,0
Gavin O'Connor,129,135,64371181,Miracle ,1845,0,English,USA,PG,28000000,2004,7.5,2.4,0
Zack Snyder,287,110,58885635,Dawn of the Dead ,10438,0,English,USA,R,26000000,2004,7.4,2.35,7000
Adam Shankman,108,103,60400856,The Wedding Planner ,17533,2,English,Germany,PG-13,35000000,2001,5.2,2.35,0
Shinji Aramaki,62,115,,Harlock: Space Pirate ,386,0,Japanese,Japan,Not Rated,30000000,2013,6.5,2.35,0
Wes Anderson,220,110,52353636,The Royal Tenenbaums ,14609,1,English,USA,R,21000000,2001,7.6,2.35,0
James Mangold,136,91,51475962,Identity ,3969,0,English,USA,R,30000000,2003,7.3,2.35,11000
Jon Turteltaub,222,105,63910583,Last Vegas ,35694,2,English,USA,PG-13,28000000,2013,6.6,2.35,27000
John Glen,112,127,62300000,For Your Eyes Only ,2118,1,English,UK,PG,28000000,1981,6.8,2.35,2000
Peter Chelsom,122,82,49968653,Serendipity ,37,0,English,USA,PG-13,28000000,2001,6.9,1.85,12000
Peter Hyams,62,99,44450000,Timecop ,2010,1,English,Canada,R,27000000,1994,5.8,2.35,0
Ben Stiller,135,90,45162741,Zoolander ,34565,0,English,Germany,PG-13,28000000,2001,6.6,2.35,0
Lasse Hallström,184,115,71346930,Safe Haven ,1554,0,English,USA,PG-13,28000000,2013,6.7,2.35,23000
Kenny Ortega,36,96,39514713,Hocus Pocus ,1275,0,English,USA,PG,28000000,1993,6.7,1.85,16000
Scott Hicks,171,104,43097652,No Reservations ,3497,2,English,USA,PG,28000000,2007,6.3,2.35,0
Matthew Vaughn,447,117,48043505,Kick-Ass ,2357,1,English,UK,R,30000000,2010,7.7,2.35,36000
Ruben Fleischer,220,83,37053924,30 Minutes or Less ,1987,3,English,Germany,R,28000000,2011,6.1,2.35,0
Patrick Lussier,122,99,33000377,Dracula 2000 ,23344,0,English,USA,R,28000000,2000,4.9,2.35,0
Miguel Arteta,119,81,66950483,Alexander and the Terrible, Horrible, No Good, Very Bad Day ,47677,6,English,USA,PG,28000000,2014,6.2,2.39,12000
Joe Wright,177,135,38372662,Pride & Prejudice ,1083,2,English,France,PG,28000000,2005,7.8,2.35,17000
Ridley Scott,302,117,27000000,Blade Runner ,13877,2,English,USA,R,28000000,1982,8.2,2.35,34000
Michael Caton-Jones,44,139,31600000,Rob Roy ,16125,1,English,USA,R,28000000,1995,6.9,2.35,0
McG,211,123,30688364,3 Days to Kill ,1286,0,English,USA,PG-13,28000000,2014,6.2,2.35,10000
James Gray,222,117,28563179,We Own the Night ,3681,4,English,USA,R,21000000,2007,6.9,1.85,0
Janusz Kaminski,100,97,16779636,Lost Souls ,1805,2,English,USA,R,28000000,2000,4.8,2.35,209
Jacques Perrin,100,81,10762178,Winged Migration ,66,0,English,France,G,160000000,2001,8.0,1.85,1000
Donald Petrie,98,103,17324744,Just My Luck ,3211,3,English,USA,PG-13,28000000,2006,5.3,1.85,0
Jay Roach,74,119,8888143,Mystery, Alaska ,2171,0,English,Canada,R,28000000,1999,6.7,2.35,913
Brian Levant,97,94,24268828,The Spy Next Door ,3436,4,English,USA,PG,28000000,2010,5.4,1.85,0
Michael Ritchie,21,89,8119205,A Simple Wish ,5535,3,English,USA,PG,28000000,1997,5.4,1.85,517
John Carpenter,156,98,8434601,Ghosts of Mars ,28867,5,English,USA,R,28000000,2001,4.9,2.35,0
David Gordon Green,125,107,6998324,Our Brand Is Crisis ,3944,2,English,USA,R,28000000,2015,6.1,1.85,0
Burr Steers,225,108,10907291,Pride and Prejudice and Zombies ,4710,0,English,USA,PG-13,28000000,2016,5.8,2.35,73000
Martin Scorsese,85,134,5532301,Kundun ,4,0,English,USA,PG-13,28000000,1997,7.0,2.35,0
