actor_2_name,genres,movie_title,cast_total_facebook_likes,plot_keywords,num_user_for_reviews,language,country,budget,title_year,imdb_score,aspect_ratio
Jason Flemyng,Adventure|Biography,Rob Roy ,16125,18th century|highlands|scotland|sexual cruelty|sword fight,126,English,USA,28000000,1995,6.9,2.35
Richard Sammel,Action|Drama|Thriller,3 Days to Kill ,1286,cancer|estranged wife|leather dress|spy|terrorist,211,English,USA,28000000,2014,6.2,2.35
Oleg Taktarov,Crime|Drama|Thriller,We Own the Night ,3681,arrest|drugs|loyalty|raid|violence,199,English,USA,21000000,2007,6.9,1.85
Bob Clendenin,Drama|Horror|Thriller,Lost Souls ,1805,faith|mental patient|priest|scheme|teacher,167,English,USA,28000000,2000,4.8,2.35
Philippe Labro,Documentary,Winged Migration ,66,arctic|bad weather|flight|migration|ocean,153,English,France,160000000,2001,8.0,1.85
Carlos Ponce,Comedy|Fantasy|Romance,Just My Luck ,3211,bad luck|band|kiss|luck|masquerade,149,English,USA,28000000,2006,5.3,1.85
Mary McCormack,Comedy|Drama|Sport,Mystery, Alaska ,2171,alaska|male nudity|nudity|sex|small town,123,English,Canada,28000000,1999,6.7,2.35
Amber Valletta,Action|Comedy|Family,The Spy Next Door ,3436,chinese|cia|single mother|spy|terrorist,71,English,USA,28000000,2010,5.4,1.85
Francis Capra,Comedy|Family|Fantasy,A Simple Wish ,5535,8 year old|convention|magic|magic wand|male fairy godmother,21,English,USA,28000000,1997,5.4,1.85
Clea DuVall,Action|Horror|Sci-Fi,Ghosts of Mars ,28867,head on a stake|machine gun|martian|nuclear reactor|outer space,460,English,USA,28000000,2001,4.9,2.35
Zoe Kazan,Comedy|Drama,Our Brand Is Crisis ,3944,bolivia|box office flop|inspired by documentary|presidential campaign|year 2002,50,English,USA,28000000,2015,6.1,1.85
Bella Heathcote,Action|Horror|Romance,Pride and Prejudice and Zombies ,4710,based on novel|damsel in distress|deception|england|zombie,134,English,USA,28000000,2016,5.8,2.35
Tulku Jamyang Kunga Tenzin,Biography|Drama|History|War,Kundun ,4,chinese|dalai lama|lama|tibet|tibetan,117,English,USA,28000000,1997,7.0,2.35
Katherine Parkinson,Comedy|Drama|Romance,How to Lose Friends & Alienate People ,858,celebrity|party|pig|starlet|writer,98,English,UK,27000000,2008,6.5,1.85
Donald Faison,Action|Comedy|Crime,Kick-Ass 2 ,19168,hit in the crotch|kicked in the crotch|punched in the crotch|sparring|superhero,378,English,USA,28000000,2013,6.6,2.35
Elena Anaya,Adventure|Drama|History|Romance|Thriller|War,Captain Alatriste: The Spanish Musketeer ,11669,desire|fighting|king|spain|trap,84,Spanish,Spain,24000000,2006,6.1,1.85
Robert Maillet,Action|Crime|Drama|Thriller,Brick Mansions ,25387,bare chested male bondage|crime lord|die hard scenario|two word title|undercover,112,English,France,28000000,2014,5.7,2.35
Kabir Bedi,Action|Adventure|Thriller,Octopussy ,1898,agent|egg|faberge egg|general|russian,225,English,UK,27500000,1983,6.6,2.35
Martin Starr,Comedy|Romance,Knocked Up ,12874,one night stand|pregnancy|slacker|unplanned pregnancy|website,559,English,USA,30000000,2007,7.0,1.85
Sofia Vassilieva,Drama,My Sister's Keeper ,1775,hospital|leukemia|oncology|sick child|terminal illness,184,English,USA,30000000,2009,7.4,2.35
Mike Epps,Comedy|Drama|Romance,Welcome Home, Roscoe Jenkins ,3565,african american protagonist|comma in title|four word title|name in title|talk show host,39,English,USA,35000000,2008,5.3,1.85
Judy Davis,Adventure|Drama|History,A Passage to India ,1334,doctor|english|india|magistrate|mosque,89,English,UK,16000000,1984,7.4,1.85
Andrew Simpson,Crime|Drama|Romance|Thriller,Notes on a Scandal ,646,age difference|school|student|teacher|writing,281,English,UK,15000000,2006,7.4,1.85
Jake Gyllenhaal,Drama|Thriller,Rendition ,50950,american|bare chested male bondage|cia|detention|interrogation,197,English,USA,27500000,2007,6.8,2.35
Mary Elizabeth Mastrantonio,Crime|Drama|Sci-Fi|Thriller,Limitless             ,2707,brain capacity|fbi|fictional drug|intelligence|taking a pill,131,English,USA,,,7.9,16.0
Kurtwood Smith,Action|Adventure|Sci-Fi|Thriller,Star Trek VI: The Undiscovered Country ,16230,captain|explosion|klingon|moon|peace,188,English,USA,30000000,1991,7.2,2.35
Fionnula Flanagan,Drama,Divine Secrets of the Ya-Ya Sisterhood ,3845,flashback|interview|louisiana|playwright|secret society,199,English,USA,27000000,2002,6.0,2.35
Bill Murray,Adventure|Drama|Family|Fantasy,The Jungle Book ,32921,fire|jungle|remake|tiger|wolf,398,English,UK,175000000,2016,7.8,1.85
Tony Goldwyn,Crime|Drama|Mystery|Thriller,Kiss the Girls ,14322,detective|kidnapping|punching a heavy bag|serial killer|tied to a tree,143,English,USA,27000000,1997,6.6,2.35
Aretha Franklin,Action|Comedy|Crime|Music,The Blues Brothers ,2566,band|catholic|money|parolee|prison,319,English,USA,27000000,1980,7.9,1.85
Blythe Danner,Comedy|Drama|Family|Romance,The Sisterhood of the Traveling Pants 2 ,3525,actor|drawing|friendship|pregnancy|turkey,33,English,USA,,2008,6.2,1.85
Jeremy Jordan,Comedy|Music,Joyful Noise ,3389,bare chested male|chips|two word title,71,English,USA,25000000,2012,5.7,2.35
Christopher Webster,Comedy|Drama|Romance,About a Boy ,74,boy|friend|imaginary son|single father|single mother,391,English,UK,30000000,2002,7.1,2.35
Bridget Fonda,Action|Comedy|Horror,Lake Placid ,3313,crocodile|eaten alive|lake|maine|sheriff,366,English,USA,27000000,1999,5.6,2.35
Morgan Freeman,Crime|Drama|Mystery|Thriller,Lucky Number Slevin ,26451,coroner|death|gay son|love|mistaken identity,507,English,Germany,27000000,2006,7.8,2.35
Scott Glenn,Adventure|Drama|History,The Right Stuff ,6341,astronaut|sound barrier|space program|u.s. air force|u.s. space program,170,English,USA,27000000,1983,7.9,1.85
Joely Richardson,Drama|History|Thriller,Anonymous ,2452,earl of oxford|play|queen|rebellion|shakespeare play,136,English,UK,30000000,2011,6.9,2.35
Barret Oliver,Adventure|Drama|Family|Fantasy,The NeverEnding Story ,1560,book|dragon|story within the story|talking animal|werewolf,284,English,West Germany,27000000,1984,7.4,2.35
William Hurt,Action|Drama|Fantasy|Mystery|Sci-Fi|Thriller,Dark City ,4696,memory|murder|neo noir|retrofuturism|tech noir,624,English,Australia,27000000,1998,7.7,2.35
Hayley Atwell,Biography|Drama|History|Romance,The Duchess ,6420,duchess|duke|heir|infidelity|marriage,140,English,UK,13500000,2008,6.9,2.35
Art Carney,Comedy|Family,The Honeymooners             ,812,1950s|bus driver|money scheme|poverty|sewer,31,English,USA,,,8.7,1.33
Jean Marsh,Adventure|Family|Fantasy|Horror|Mystery,Return to Oz ,960,chicken|delusional depression|doctor|king|mysterious girl,208,English,UK,25000000,1985,6.7,1.85
Lew Temple,Action|Crime|Drama|History|Western,The Newton Boys ,11969,bank robber|brother brother relationship|crime spree|explosive|train,39,English,USA,27000000,1998,6.0,2.35
Callum Rennie,Horror|Mystery|Thriller,Case 39 ,15790,death|fear|hairy chest|social worker|spinning in chair,174,English,USA,27000000,2009,6.2,2.35
Kevin Chamberlin,Crime|Drama|Mystery|Thriller,Suspect Zero ,1721,fbi|fbi agent|murder|salesman|serial killer,139,English,USA,27000000,2004,5.9,1.33
Richard Schiff,Comedy|Drama|Family,Martian Child ,2495,adopted son|adoption|boy|mars the planet|widower,71,English,USA,27000000,2007,6.8,1.85
Joel McHale,Action|Adventure|Comedy|Family|Sci-Fi,Spy Kids: All the Time in the World in 4D ,4311,2010s|3 dimensional|breath holding contest|child spy|spy,83,English,USA,27000000,2011,3.6,1.85
Jack O'Connell,Crime|Drama|Thriller,Money Monster ,10894,death|hostage|money|shot in the chest|shot in the heart,103,English,USA,27000000,2016,6.7,2.35
Junix Inocian,Action|Comedy|Crime|Thriller,Formula 51 ,1044,american in the uk|drug lord|drugs|gangster|organized crime,167,English,UK,28000000,2001,6.3,2.35
Philip Seymour Hoffman,Comedy|Crime|Drama,Flawless ,46022,gay interest|gay lead character|gay republican|homosexual|neighbor,105,English,USA,15000000,1999,6.4,1.85
Clifton Collins Jr.,Crime|Horror|Mystery|Thriller,Mindhunters ,4186,fbi|group|island|serial killer|training,226,English,USA,27000000,2004,6.4,2.35
Robin Wright,Comedy|Drama,What Just Happened ,71973,actor|agent|beard|cannes|hollywood,111,English,USA,25000000,2008,5.7,2.35
Colin Salmon,Drama|Thriller,The Statement ,3286,eiffel tower|nazi|police|ritual|stew,52,English,Canada,23000000,2003,6.2,1.85
Amy Carson,Drama|Musical|Romance,The Magic Flute ,24,based on opera|evil|mozart|queen|walking wounded,19,English,France,27000000,2006,6.6,2.35
Adhir Kalyan,Action|Comedy|Crime,Paul Blart: Mall Cop ,2954,cell phone|hostage|mall|security guard|text messaging,201,English,USA,26000000,2009,5.2,1.85
Julie Gonzalo,Comedy|Family|Fantasy|Music|Romance,Freaky Friday ,3984,body swap|camera shot of feet|foot closeup|reference to keith richards|reference to the rolling stones,271,English,USA,26000000,2003,6.1,1.85
Romany Malco,Comedy|Romance,The 40-Year-Old Virgin ,8341,40 year old|car accident|cheating on girlfriend|collection|porno movie,546,English,USA,26000000,2005,7.1,1.85
Martin Clunes,Comedy|Drama|Romance,Shakespeare in Love ,1690,actor|audition|muse|playwright|theater,752,English,USA,25000000,1998,7.2,2.35
Boyd Holbrook,Crime|Drama|Mystery|Thriller,A Walk Among the Tombstones ,15428,drug dealer|ex cop|murder of wife|revenge|violence,207,English,USA,28000000,2014,6.5,2.35
Cathy Moriarty,Action|Comedy|Crime,Kindergarten Cop ,2403,astoria|kindergarten|kindergarten teacher|school|teacher,109,English,USA,26000000,1990,6.0,1.85
Gary Cole,Action|Comedy|Crime,Pineapple Express ,15590,murder|paranoia|process server|roach|stoner,374,English,USA,27000000,2008,7.0,2.35
Dougray Scott,Comedy|Drama|Romance,Ever After: A Cinderella Story ,2747,based on fairy tale|bechdel test passed|cinderella|fairy tale|leonardo da vinci,345,English,USA,26000000,1998,7.0,2.35
Michael Jeter,Drama|Romance|Western,Open Range ,5458,boss|cattle|cowboy|rancher|violence,494,English,USA,22000000,2003,7.5,2.35
Oliver Platt,Drama|Horror|Sci-Fi|Thriller,Flatliners ,10493,childhood trauma|death|medical student|memory|near death experience,148,English,USA,26000000,1990,6.6,2.35
Kaitlin Olson,Comedy,It's Always Sunny in Philadelphia             ,1784,alcohol|bad taste humour|crude humor|loser|self obsession,151,English,USA,,,8.8,1.33
Dirk Bogarde,Drama|History|War,A Bridge Too Far ,669,airborne troops|allies|operation market garden|panzer|paratrooper,210,English,USA,26000000,1977,7.4,2.35
Carl Gilliard,Mystery|Thriller,Red Eye ,1090,airport|flight|hotel|hotel manager|plane,673,English,USA,26000000,2005,6.5,2.35
Michael Landes,Horror|Thriller,Final Destination 2 ,3172,car accident|death|freak accident|hospital|premonition,472,English,USA,26000000,2003,6.2,1.85
Tim Blake Nelson,Adventure|Comedy|Crime|Music,O Brother, Where Art Thou? ,3066,baby|bank|blind prophet|convict|sirens,862,English,UK,26000000,2000,7.8,2.35
Kate Walsh,Action|Fantasy|Horror,Legion ,3889,angel|diner|faith|human race|religious faith,315,English,USA,26000000,2010,5.2,2.35
Larry Hankin,Comedy|Crime|Drama,Pain & Gain ,13573,american dream|bodybuilder|money|punch into the camera|reference to julia roberts,287,English,USA,26000000,2013,6.5,2.35
Ty Burrell,Comedy|Drama|Romance,In Good Company ,28493,company|corporate takeover|executive|magazine|new boss,214,English,USA,26000000,2004,6.5,1.85
Paula Garcés,Action|Adventure|Comedy|Sci-Fi|Thriller,Clockstoppers ,3917,frozen time|stopped time|time freeze|watch|wristwatch,94,English,USA,26000000,2002,5.2,1.85
Todd Allen,Action|Crime|Drama|Western,Silverado ,1154,1880s|kiss|small town|table broken in fight|wild west,149,English,USA,26000000,1985,7.2,2.35
Jake Gyllenhaal,Drama|Thriller,Brothers ,42473,afghanistan|death of soldier|presumed dead|prisoner|war trauma,201,English,USA,26000000,2009,7.1,2.35
Frankie Muniz,Action|Adventure|Comedy|Family|Romance|Sci-Fi,Agent Cody Banks 2: Destination London ,3742,chase|evil scientist|gadget|mind control|tough girl,44,English,USA,26000000,2004,4.5,2.35
Common,Comedy|Romance,New Year's Eve ,23456,expecting|kiss|new year|new year's eve|singer,134,English,USA,56000000,2011,5.7,1.85
Gregory Itzin,Drama|Mystery|Romance|Thriller,Original Sin ,11662,delaware|erotica|money|pursuit|sex scene,181,English,France,42000000,2001,6.0,2.35
Dave Legeno,Crime|Mystery|Thriller,The Raven ,2356,mask|murder|newspaper|poem|serial killer,190,English,USA,26000000,2012,6.4,2.35
Ray Romano,Comedy|Romance,Welcome to Mooseport ,2466,mayor|pink panties|upskirt|white panties|yellow panties,95,English,USA,26000000,2004,5.2,1.85
Mako,Action|Fantasy|Romance|Sci-Fi,Highlander: The Final Dimension ,2960,cave|highlander|illusion|immortal|japan,79,English,Canada,26000000,1994,4.3,2.35
Mike Starr,Crime|Drama|Thriller,Blood and Wine ,2228,diamond|necklace|safecracker|wine|wine dealer,55,English,USA,22000000,1996,6.1,1.85
Chris Bauer,Fantasy|Horror,Snow White: A Tale of Terror ,2170,apple|miner|mirror|necromancy|woods,69,English,USA,26000000,1997,6.3,1.85
Elizabeth Berkley,Comedy|Crime|Mystery|Romance,The Curse of the Jade Scorpion ,12534,efficiency expert|insurance investigator|magician|scorpion|thief,178,English,USA,26000000,2001,6.8,1.37
Kirstie Alley,Comedy|Romance,Accidental Love ,19068,health insurance|long delayed release|nail in the head|waitress|washington d.c.,28,English,USA,26000000,2015,4.0,1.85
Chelsea Field,Adventure|Family,Flipper ,616,dolphin|florida|florida keys|summer|vomiting,26,English,USA,25530000,1996,5.2,2.35
Derek Luke,Action|Mystery|Sci-Fi|Thriller,Self/less ,17847,cancer|elderly man|funeral|medical|transhumanism,126,English,USA,26000000,2015,6.5,2.35
Danny Huston,Drama|Mystery|Romance|Thriller,The Constant Gardener ,1565,death|diplomat|doctor|kenya|murder,568,English,UK,15000000,2005,7.5,1.85
Maia Morgenstern,Drama,The Passion of the Christ ,705,anti semitism|cult film|grindhouse|suffering|torture,2814,Aramaic,USA,30000000,2004,7.1,2.35
Mara Wilson,Comedy|Drama|Family|Romance,Mrs. Doubtfire ,52201,actor|based on novel|fancy restaurant|male actor playing a female character|party,223,English,USA,25000000,1993,6.9,2.35
Valeria Golino,Drama,Rain Man ,12285,buick|convertible|last will and testament|savant|travel,331,English,USA,25000000,1988,8.0,1.85
Dreama Walker,Drama,Gran Torino ,17347,gang|gang rape|hmong|teenager|widower,871,English,USA,33000000,2008,8.2,2.35
Scott Glenn,Biography|Drama|History,W. ,4264,bible|cabinet meeting|dog|drinking|family relationships,320,English,USA,25100000,2008,6.4,2.35
Holly Valance,Action|Thriller,Taken ,16461,agent|cia|france|rescue|teenage abduction,974,English,France,25000000,2008,7.9,2.35
Gerald McRaney,Drama|Romance,The Best of Me ,3197,adultery|based on novel|heart transplant|infidelity|protective male,99,English,USA,26000000,2014,6.7,2.35
Mike Starr,Action|Drama|Music|Romance,The Bodyguard ,2551,bodyguard|manager|pop singer|secret service agent|singer,126,English,USA,25000000,1992,6.1,1.85
Embeth Davidtz,Biography|Drama|History,Schindler's List ,15233,german|german soldier|jew|jewish|nazi,1273,English,USA,22000000,1993,8.9,1.85
Bryce Dallas Howard,Drama,The Help ,23227,black servant|chocolate pie|jackson mississippi|maid|writing a novel,460,English,USA,25000000,2011,8.1,1.85
Peter Capaldi,Biography|Drama|Thriller,The Fifth Estate ,36337,computer hacker|internet|news leak|whistleblowing|wikileaks,105,English,USA,28000000,2013,6.2,2.35
Linda Cardellini,Adventure|Comedy|Family|Fantasy|Horror|Mystery,Scooby-Doo 2: Monsters Unleashed ,7800,ghost|masked villain|monster|museum|tv,149,English,USA,80000000,2004,4.9,1.85
Igor Jijikine,Adventure|Fantasy|Mystery|Thriller,Viy ,1166,cartographer|creature|foreign language adaptation|sword and sorcery|village,18,Russian,Russia,26000000,2014,5.4,1.85
Jason Ritter,Action|Horror|Thriller,Freddy vs. Jason ,4692,elm street|freddy krueger|jason voorhees|serial killer|slasher,885,English,USA,30000000,2003,5.8,2.35
Ava Acres,Drama,The Face of an Angel ,1041,,25,English,UK,,2014,4.7,2.35
Rob Paulsen,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Jimmy Neutron: Boy Genius ,2251,alien|boy genius|children|genius|rescue,118,English,USA,30000000,2001,6.0,1.85
Ben Feldman,Action|Adventure|Horror|Sci-Fi,Cloverfield ,3958,brooklyn new york city|found footage|night vision|statue of liberty new york city|subway tunnel,2192,English,USA,25000000,2008,7.0,1.85
Paige Turco,Action|Adventure|Comedy|Family|Sci-Fi,Teenage Mutant Ninja Turtles II: The Secret of the Ooze ,2501,chop socky|mutant|ninja|shredder|turtle,93,English,USA,25000000,1991,6.0,1.85
Billy Drago,Crime|Drama|Thriller,The Untouchables ,22767,corrupt judge|tax evasion|tough cop|white suit|year 1930,418,English,USA,25000000,1987,7.9,2.35
Stephen Root,Crime|Drama|Thriller,No Country for Old Men ,4738,coin toss|desert|sheriff|texas|tracking device,1518,English,USA,25000000,2007,8.1,2.35
Tika Sumpter,Action|Comedy|Crime|Romance,Ride Along ,2394,gunfight|outrunning explosion|police|security guard|street shootout,109,English,USA,25000000,2014,6.2,2.35
Jim Broadbent,Comedy|Drama|Romance,Bridget Jones's Diary ,16999,american actress playing british character|book publishing|calorie counting|employer employee relationship|rabbit costume,571,English,UK,26000000,2001,6.7,2.35
Leslie Caron,Drama|Romance,Chocolat ,1323,chocolate|chocolate shop|food|france|village,498,English,UK,25000000,2000,7.3,1.85
Bruce McGill,Comedy,Legally Blonde 2: Red, White & Blonde ,3500,animal rights|congresswoman|doorman|transvestism|washington d.c.,297,English,USA,45000000,2003,4.6,1.85
Gedde Watanabe,Comedy|Family,Parental Guidance ,5740,chores|father figure|helicopter parents|in laws|punishment,107,English,USA,25000000,2012,6.1,1.85
Greta Gerwig,Comedy|Romance,No Strings Attached ,22739,ex girlfriend|funeral|hospital|male objectification|summer camp,178,English,USA,25000000,2011,6.2,2.35
Dana Delany,Action|Biography|Drama|History|Romance|Western,Tombstone ,4453,cigar smoking|cowboy|duel|outlaw|tombstone arizona,439,English,USA,25000000,1993,7.8,2.35
Delroy Lindo,Action|Crime|Thriller,Romeo Must Die ,9082,death|hong kong|kung fu|prison|waterfront,365,English,USA,25000000,2000,6.1,2.35
Patrick Troughton,Fantasy|Horror|Mystery,The Omen ,673,ambassador|death|hospital|priest|stillborn child,310,English,UK,2800000,1976,7.6,2.35
Gina Holden,Horror,Final Destination 3 ,2420,amusement park|death|fate|premonition|roller coaster,571,English,Germany,25000000,2006,5.8,2.35
Riley Thomas Stewart,Drama|Romance,The Lucky One ,1852,arrogance|child in peril|disarming someone|kennel|post traumatic stress disorder,106,English,USA,25000000,2012,6.5,2.35
Zooey Deschanel,Adventure|Drama|Family|Fantasy,Bridge to Terabithia ,28071,bully|friend|imagination|reality|troll,522,English,USA,17000000,2007,7.2,1.85
Kate Winslet,Biography|Drama|Family,Finding Neverland ,58823,boy|inspiration|reference to peter pan|stage play|widow,632,English,USA,25000000,2004,7.8,2.35
Tika Sumpter,Comedy|Drama,A Madea Christmas ,3202,christmas|holiday|madea series|rural setting|stubbornness,27,English,USA,25000000,2013,4.7,1.85
Frank Grillo,Action|Adventure|Drama|Thriller,The Grey ,16606,alaska|leadership|snow|survival|wilderness,755,English,USA,25000000,2011,6.8,2.35
Dylan Baker,Drama|Horror|Mystery|Thriller,Hide and Seek ,23328,bathtub|psychologist|pushed out a window|smothered with a pillow|telescope,450,English,USA,30000000,2005,5.9,2.35
Will Ferrell,Comedy,Anchorman: The Legend of Ron Burgundy ,656730,1970s|anchorman|news anchor|newsroom|tv station,577,English,USA,26000000,2004,7.2,1.85
Mike Starr,Biography|Crime|Drama,Goodfellas ,24783,betrayal|gangster|mafia|organized crime|robbery,989,English,USA,25000000,1990,8.7,1.85
Frankie Muniz,Action|Adventure|Comedy|Crime|Family|Romance|Thriller,Agent Cody Banks ,3037,cia|nanobot|prep school|scientist|teenager,104,English,USA,26000000,2003,5.0,2.35
Kelly Macdonald,Comedy|Family|Fantasy,Nanny McPhee ,17278,father|governess|magic|nanny|widower,181,English,USA,25000000,2005,6.6,2.35
F. Murray Abraham,Crime|Drama,Scarface ,16464,assassination attempt|capitalism|cocaine|cuban american|cuban refugee,851,English,USA,25000000,1983,8.3,2.35
Michael McKean,Action|Adventure|Comedy|Crime,Nothing to Lose ,2457,boss|ghetto|money|robber|robbery,92,English,USA,25000000,1997,6.7,1.85
Joan Chen,Biography|Drama|History,The Last Emperor ,2451,abdication|china|emperor|forbidden city|republic,133,English,China,23000000,1987,7.8,2.35
David O'Hara,Action|Crime|Drama|Thriller,Contraband ,26625,cocaine|contraband|drug lord|prison|smuggling,161,English,USA,25000000,2012,6.5,2.35
Paul Sorvino,Action|Comedy|Crime|Thriller,Money Talks ,2530,blood splatter|fistfight|murder|police|prison bus,41,English,USA,25000000,1997,6.1,2.35
Paul F. Tompkins,Drama,There Will Be Blood ,533,alcoholic|alcoholism|money|oil|turn of the century,1107,English,USA,25000000,2007,8.1,2.35
Flea,Adventure|Animation|Comedy|Family|Fantasy,The Wild Thornberrys Movie ,2908,africa|chimpanzee|elephant|safari|shaman,33,English,USA,25000000,2002,5.2,2.35
Cree Summer,Adventure|Animation|Comedy|Family|Fantasy|Musical,Rugrats Go Wild ,3017,kid|oxygen|rugrats|trapped underwater|underwater,35,English,USA,25000000,2003,5.6,2.35
Eddie Griffin,Action|Comedy,Undercover Brother ,3001,african american|cadillac|disguise|secret agent|undercover,179,English,USA,25000000,2002,5.8,1.85
America Ferrera,Comedy|Drama|Family|Romance,The Sisterhood of the Traveling Pants ,6862,friendship|jeans|pants|summer|vacation,223,English,USA,25000000,2005,6.6,2.35
Bridget Fonda,Action|Crime|Drama|Thriller,Kiss of the Dragon ,7945,action hero|chinese|forced prostitution|one man army|title spoken by character,254,English,France,25000000,2001,6.6,2.35
Katharine McPhee,Comedy|Romance,The House Bunny ,18789,makeover|party|playboy|playboy mansion|sorority,126,English,USA,25000000,2008,5.5,2.35
Keshia Knight Pulliam,Comedy,Beauty Shop ,3535,client|dentures|false teeth|reference to peter pan|single parent,59,English,USA,,2005,5.5,2.35
Suraj Sharma,Biography|Drama|Sport,Million Dollar Arm ,6393,baseball|based on true story|india|sports agent|training,96,English,USA,25000000,2014,7.0,2.39
Meryl Streep,Drama|Romance|Sci-Fi,The Giver ,36064,black and white segues into color|color|community|dystopia|infanticide,260,English,South Africa,25000000,2014,6.5,2.35
Oliver James,Comedy|Drama|Family|Romance,What a Girl Wants ,16400,american|daughter|england|father|politician,194,English,USA,20000000,2003,5.8,2.35
Jonathan Breck,Horror,Jeepers Creepers II ,1340,cheerleader|farmer|fear|high school basketball|nightmare,316,English,USA,17000000,2003,5.6,2.35
Dan Fogler,Comedy|Romance,Good Luck Chuck ,2822,breasts|leg spreading|mini skirt|sex|sex in bed,150,English,USA,25000000,2007,5.6,1.85
Tom Arnold,Action|Crime|Drama|Thriller,Cradle 2 the Grave ,6867,camera shot from inside human body|diamond|evil man|heist|terrorism,185,English,USA,30000000,2003,5.8,2.35
Stephen Dillane,Drama|Romance,The Hours ,12624,housewife|lesbian|novel|party|reading,660,English,USA,25000000,2002,7.6,1.85
Alexandra Breckenridge,Comedy|Romance,She's the Man ,20109,disguise|roommate|school|soccer|twin,261,English,USA,20000000,2006,6.4,1.85
Emma de Caunes,Comedy|Family,Mr. Bean's Holiday ,794,camcorder|cannes|director|lost passport|train,235,English,UK,25000000,2007,6.3,1.85
Salli Richardson-Whitfield,Action|Adventure|Horror|Thriller,Anacondas: The Hunt for the Blood Orchid ,2730,anaconda|blood|borneo|flower|orchid,144,English,USA,25000000,2004,4.6,2.35
Lili Taylor,Crime|Drama|Thriller,Blood Ties ,18442,1970s|flashback|love|money|murder,41,English,France,25500000,2013,6.5,2.35
Aaron Staton,Drama|Music,August Rush ,50927,baby|cellist|genius|prodigy|rhapsody,364,English,USA,30000000,2007,7.5,2.35
John Gielgud,Biography|Drama|History,Elizabeth ,1006,16th century|british royal family|catholic|queen|queen elizabeth i,409,English,UK,25000000,1998,7.5,1.85
Park Bench,Comedy|Fantasy|Horror|Romance,Bride of Chucky ,667,blood|doll|gore|murder|serial killer,292,English,Canada,25000000,1998,5.3,1.85
Richard Anderson,Action|Drama|History|War,Tora! Tora! Tora! ,1548,attack|hawaii|navy|pearl harbor|u.s. navy,159,English,Japan,25000000,1970,7.5,2.35
Richard Briers,Comedy|Family|Music,Spice World ,2176,bus|concert|live concert|pop group|spice girl,261,English,UK,25000000,1997,3.3,1.85
J.B. Smoove,Comedy,The Sitter ,3850,babysitting|car crash|child in peril|kicked in the face|reference to craigslist,114,English,USA,,2011,5.7,1.85
Essence Atkins,Action|Comedy|Music,Dance Flick ,4378,african american|dance|overalls|parody|rap,50,English,USA,25000000,2009,3.5,1.85
