director_name,num_critic_for_reviews,duration,actor_2_name,gross,genres,num_voted_users,facenumber_in_poster,country,content_rating,imdb_score
Jeff Nathanson,42,93,Glenn Morshower,463730,Comedy,3789,10,USA,R,5.7
Alex Proyas,118,98,Bai Ling,50693162,Action|Drama|Fantasy,136580,0,USA,R,7.6
S.S. Rajamouli,44,159,Anushka Shetty,6498000,Action|Adventure|Drama|Fantasy|War,62756,1,India,,8.4
Robert Schwentke,214,107,Brooklynn Proulx,63411478,Drama|Fantasy|Romance|Sci-Fi,114925,1,USA,PG-13,7.1
Michael Lehmann,110,102,Stephen Collins,42640890,Comedy|Romance,32412,1,USA,PG-13,5.6
Rob Cohen,187,106,Vin Diesel,144512310,Action|Crime|Thriller,272227,2,USA,PG-13,6.7
Tim Burton,370,87,Catherine O'Hara,35287788,Animation|Comedy|Family|Horror|Sci-Fi,73886,0,USA,PG,7.0
Joss Whedon,276,119,Sean Maher,25335935,Action|Adventure|Sci-Fi|Thriller,242599,0,USA,PG-13,8.0
Charles S. Dutton,76,110,Charles S. Dutton,5881504,Biography|Drama|Romance|Sport,5917,2,USA,PG-13,5.3
Richard Lester,95,125,Robert Vaughn,60000000,Action|Comedy|Sci-Fi,49934,1,UK,PG,4.9
Peter Segal,211,113,Sylvester Stallone,29802761,Comedy|Sport,46480,1,USA,PG-13,6.4
John Woo,160,150,Tony Chiu Wai Leung,626809,Action|Adventure|Drama|History|War,36894,4,China,R,7.4
Andy Tennant,97,108,Mary Lynn Rajskub,127214072,Comedy|Romance,83786,1,USA,PG-13,6.1
Robert Luketic,174,96,John Michael Higgins,88915214,Comedy|Romance,163665,2,USA,R,6.5
Jonathan Lynn,23,93,Phil Hartman,30400000,Comedy,17810,2,USA,PG,5.7
Robert Rodriguez,103,100,Alexa PenaVega,85570368,Action|Adventure|Comedy|Family|Sci-Fi,44885,1,USA,PG,5.1
David Carson,98,118,Alan Ruck,75668868,Action|Adventure|Mystery|Sci-Fi|Thriller,60504,0,USA,PG,6.6
Kar-Wai Wong,273,122,Hye-kyo Song,6594136,Action|Biography|Drama,24557,1,Hong Kong,PG-13,6.5
Francis Lawrence,279,120,Christoph Waltz,58700247,Drama|Romance,95367,1,USA,PG-13,6.9
,22,60,Wayne Knight,,Comedy|Family|Sci-Fi,38383,4,USA,TV-PG,7.8
Yuefeng Song,4,88,Bianca Collins,,Adventure|Animation|Family|Fantasy,2169,0,China,,6.4
Norman Jewison,65,146,Vincent Pastore,50668906,Biography|Drama|Sport,76016,0,USA,R,7.6
Michael Apted,98,115,Jeff Kober,39177215,Crime|Drama|Thriller,30667,1,USA,PG-13,5.6
David Mirkin,116,123,Anne Bancroft,40334024,Comedy|Crime|Romance,44168,3,USA,PG-13,6.2
Andy Fickman,76,94,Daniella Alonso,71038190,Action|Comedy|Crime,23473,1,USA,PG,4.4
Luis Mandoki,106,102,Shirley Knight,24044532,Drama|Romance,19686,0,USA,R,5.6
John Pasquin,55,98,Ken Marino,22770864,Comedy|Drama,8433,1,USA,PG,5.5
Roman Polanski,172,133,Frank Langella,18653746,Mystery|Thriller,137722,1,Spain,R,6.7
Michael Apted,47,118,Paul Guilfoyle,17305211,Crime|Drama|Mystery|Thriller,14066,0,USA,R,6.1
Stephen Herek,107,105,Dagmara Dominczyk,16991902,Drama|Music,34592,0,USA,R,6.2
Lee Daniels,323,109,Gabourey Sidibe,47536959,Drama,86955,0,USA,R,7.3
Ridley Scott,37,129,Jason Marsden,10300000,Adventure|Drama,17859,4,USA,PG-13,6.6
John Carpenter,297,109,Richard Masur,13782838,Horror|Mystery|Sci-Fi,258078,0,USA,R,8.2
David Twohy,302,127,Nolan Gerard Funk,41997790,Action|Sci-Fi|Thriller,125305,0,USA,R,6.4
Jeb Stuart,38,118,Claudia Stedelin,6482195,Crime|Mystery|Thriller,9740,1,USA,R,6.4
Steve Miner,31,110,Usher Raymond,623374,Action|Adventure|Drama|Thriller|Western,4757,2,USA,PG-13,5.2
Gil Kenan,118,90,Toby Jones,7871693,Adventure|Family|Fantasy|Sci-Fi,52908,0,USA,PG,6.5
Paul Thomas Anderson,546,144,Jeffrey W. Jenkins,16377274,Drama,105144,31,USA,R,7.1
David Leland,21,97,Ryan Cartwright,,Adventure|Comedy|History|Romance,6691,2,Italy,R,4.8
Gary Fleder,86,130,Nicole Beharie,9589875,Biography|Drama|Sport,16673,0,USA,PG,7.3
J Blakeson,194,112,Maggie Siff,34912982,Action|Adventure|Sci-Fi|Thriller,55617,0,USA,PG-13,5.2
Ryan Coogler,437,133,Phylicia Rashad,109712885,Drama|Sport,146708,1,USA,PG-13,7.7
Ben Affleck,378,150,Jon Hamm,92173235,Crime|Drama|Thriller,280228,7,USA,R,7.6
Kirk Jones,170,110,Dennis Quaid,41102171,Comedy|Drama|Romance,57266,12,USA,PG-13,5.7
Ethan Coen,341,96,Brad Pitt,60338891,Comedy|Drama,248468,0,USA,R,7.0
Jennifer Flackett,139,96,Anthony Simcoe,48006503,Adventure|Comedy|Family|Fantasy,28109,3,USA,PG,6.0
Ron Howard,393,123,Olivia Wilde,26903709,Action|Biography|Drama|Sport,312629,0,UK,R,8.1
Paul Thomas Anderson,224,188,Neil Flynn,22450975,Drama,241030,1,USA,R,8.0
Kevin Smith,203,107,Tracy Morgan,44867349,Action|Comedy|Crime,75347,2,USA,R,5.6
Christian Ditter,148,110,Damon Wayans Jr.,46813366,Comedy|Romance,39440,4,USA,R,6.1
Charles Martin Smith,131,113,Michael Roark,72279690,Drama|Family,17948,5,USA,PG,6.9
Catherine Hardwicke,350,122,Taylor Lautner,191449475,Drama|Fantasy|Romance,348007,1,USA,PG-13,5.2
Nick Cassavetes,129,116,Laura Harring,71026631,Crime|Drama|Thriller,98899,1,USA,PG-13,7.0
Les Mayfield,40,93,Dave Chappelle,68208190,Action|Comedy|Crime|Thriller,60572,1,USA,PG-13,6.3
Rawson Marshall Thurber,289,118,Molly C. Quinn,150368971,Comedy|Crime,316671,4,USA,R,7.0
Fedor Bondarchuk,14,115,Fedor Bondarchuk,,Action|Adventure|Sci-Fi,4387,0,Russia,,5.3
Jonathan Mostow,72,93,M.C. Gainey,50129186,Action|Crime|Drama|Mystery|Thriller,38399,0,USA,R,6.9
Irvin Kershner,89,121,Klaus Maria Brandauer,55500000,Action|Adventure|Thriller,48636,3,UK,PG,6.2
Steve Pink,265,101,Collette Wolfe,50213619,Comedy|Sci-Fi,139184,8,USA,R,6.4
Charles Martin Smith,54,107,Taylor Blackwell,42019483,Drama|Family,6069,0,USA,PG,6.4
John Frankenheimer,126,124,James Frain,23360779,Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller,31113,0,USA,R,5.7
F. Gary Gray,110,109,Jeff Kober,26183197,Action|Crime|Drama|Thriller,38348,0,USA,R,6.1
Cameron Crowe,138,105,Bradley Cooper,20991497,Comedy|Drama|Romance,39778,1,USA,PG-13,5.4
Rob Reiner,31,130,Virginia Madsen,13052741,Drama|History,8531,0,USA,PG-13,6.7
Scott Hicks,95,127,Reeve Carney,14378353,Drama|Mystery|Romance|Thriller,12375,1,USA,PG-13,6.8
Mikael Håfström,267,114,Colin O'Donoghue,33037754,Drama|Horror|Mystery|Thriller,75864,1,USA,PG-13,6.0
Andrew Niccol,175,106,Xander Berkeley,12339633,Drama|Sci-Fi|Thriller,220591,2,USA,PG-13,7.8
Andrew Bergman,63,95,Nathan Lane,2954405,Biography|Comedy|Romance,1977,0,USA,R,5.3
Kirk De Micco,85,81,Kenan Thompson,30105968,Adventure|Animation|Comedy|Family|Sci-Fi,8860,0,USA,G,4.5
Chris Rock,44,95,Dylan Baker,37788228,Comedy,15046,1,USA,PG-13,5.4
Todd Phillips,334,108,Rob Riggle,277313371,Comedy,583341,3,USA,R,7.8
Wilson Yip,78,105,Lynn Hung,2126511,Action|Biography|Drama|History,21912,0,Hong Kong,PG-13,7.2
Jay Roach,199,95,Verne Troyer,205399422,Action|Adventure|Comedy|Crime,181225,1,USA,PG-13,6.6
Tim Burton,186,126,Jack Palance,251188924,Action|Adventure,269033,0,USA,PG-13,7.6
Roland Joffé,77,102,Dougray Scott,1068392,Biography|Drama|War,3865,0,Spain,PG-13,5.9
Richard Donner,68,121,Nick Chinlund,144731527,Action|Crime|Thriller,128010,2,USA,R,6.7
John Lee Hancock,261,129,Quinton Aaron,255950375,Biography|Drama|Sport,223127,0,USA,PG-13,7.7
,5,43,Aimee Garcia,,Action|Comedy|Crime,2185,2,USA,TV-14,5.8
Robert Rodriguez,122,88,Cheech Marin,112692062,Action|Adventure|Comedy|Family|Sci-Fi,84325,0,USA,PG,5.4
Seth Gordon,340,106,Lindsay Sloane,117528646,Comedy|Crime,353442,5,USA,R,6.9
Ethan Coen,493,110,Jeff Bridges,171031347,Adventure|Drama|Western,240962,0,USA,PG-13,7.7
David Frankel,208,109,Anne Hathaway,124732962,Comedy|Drama|Romance,286178,0,USA,PG-13,6.8
Robert Wise,134,143,Nichelle Nichols,82300000,Adventure|Mystery|Sci-Fi,63330,2,USA,PG,6.4
Seth Gordon,275,120,Eric Stonestreet,134455175,Comedy|Crime,97664,2,USA,R,5.7
Martin Scorsese,120,128,Robert Mitchum,79100000,Crime|Thriller,127503,0,USA,R,7.3
Robert Luketic,144,123,Jim Sturgess,81159365,Crime|Drama|Thriller,191470,2,USA,PG-13,6.8
Judd Apatow,332,129,Randall Park,110008260,Comedy|Romance,94241,1,Japan,R,6.3
Kevin Rodney Sullivan,104,105,Nicole Sullivan,67962333,Comedy|Romance,33887,2,USA,PG-13,5.9
Anthony Minghella,116,162,Kristin Scott Thomas,78651430,Drama|Romance|War,142067,0,USA,R,7.4
Curtis Hanson,177,138,Matt McCoy,64604977,Crime|Drama|Mystery|Thriller,414219,2,USA,R,8.3
Mike Mitchell,127,100,Kelly Preston,63939454,Adventure|Comedy|Family|Sci-Fi,61321,3,USA,PG,6.2
Frank Oz,83,90,Wilford Brimley,63826569,Comedy,32416,0,USA,PG-13,6.3
Roger Donaldson,97,108,Marg Helgenberger,60054449,Action|Horror|Sci-Fi|Thriller,61018,0,USA,R,5.8
Wes Craven,256,101,Lin Shaye,26505000,Horror,149285,1,USA,X,7.5
Tarsem Singh,225,109,Jake Weber,61280963,Horror|Sci-Fi|Thriller,79877,1,USA,R,6.3
