num_critic_for_reviews,actor_3_facebook_likes,actor_2_name,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,language,imdb_score,aspect_ratio,movie_facebook_likes
289,651,Molly C. Quinn,150368971,Comedy|Crime,We're the Millers ,316671,3425,Thomas Lennon,4,English,7.0,2.35,35000
14,30,Fedor Bondarchuk,,Action|Adventure|Sci-Fi,Obitaemyy ostrov ,4387,599,Aleksey Serebryakov,0,Russian,5.3,,240
72,263,M.C. Gainey,50129186,Action|Crime|Drama|Mystery|Thriller,Breakdown ,38399,1874,J.T. Walsh,0,English,6.9,2.35,0
89,133,Klaus Maria Brandauer,55500000,Action|Adventure|Thriller,Never Say Never Again ,48636,762,Barbara Carrera,3,English,6.2,2.35,0
265,318,Collette Wolfe,50213619,Comedy|Sci-Fi,Hot Tub Time Machine ,139184,1272,Crystal Lowe,8,English,6.4,1.85,12000
54,631,Taylor Blackwell,42019483,Drama|Family,Dolphin Tale 2 ,6069,13904,Harry Connick Jr.,0,English,6.4,1.85,0
126,475,James Frain,23360779,Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller,Reindeer Games ,31113,10838,Clarence Williams III,0,English,5.7,2.35,852
110,582,Jeff Kober,26183197,Action|Crime|Drama|Thriller,A Man Apart ,38348,16611,Larenz Tate,0,English,6.1,2.35,0
138,13000,Bradley Cooper,20991497,Comedy|Drama|Romance,Aloha ,39778,44037,Bill Murray,1,English,5.4,1.85,11000
31,723,Virginia Madsen,13052741,Drama|History,Ghosts of Mississippi ,8531,3968,Craig T. Nelson,0,English,6.7,1.85,591
95,577,Reeve Carney,14378353,Drama|Mystery|Romance|Thriller,Snow Falling on Cedars ,12375,2393,Daniel von Bargen,1,English,6.8,2.35,846
267,2000,Colin O'Donoghue,33037754,Drama|Horror|Mystery|Thriller,The Rite ,75864,19904,Toby Jones,1,English,6.0,2.35,23000
175,263,Xander Berkeley,12339633,Drama|Sci-Fi|Thriller,Gattaca ,220591,1942,Mason Gamble,2,English,7.8,2.35,17000
63,450,Nathan Lane,2954405,Biography|Comedy|Romance,Isn't She Great ,1977,2928,John Larroquette,0,English,5.3,1.85,133
85,387,Kenan Thompson,30105968,Adventure|Animation|Comedy|Family|Sci-Fi,Space Chimps ,8860,2268,Omid Abtahi,0,English,4.5,2.35,279
44,642,Dylan Baker,37788228,Comedy,Head of State ,15046,4537,Tracy Morgan,1,English,5.4,1.85,638
334,706,Rob Riggle,277313371,Comedy,The Hangover ,583341,17623,Mike Epps,3,English,7.8,2.35,24000
78,51,Lynn Hung,2126511,Action|Biography|Drama|History,Ip Man 3 ,21912,615,Kwok-Kwan Chan,0,Cantonese,7.2,2.35,12000
199,481,Verne Troyer,205399422,Action|Adventure|Comedy|Crime,Austin Powers: The Spy Who Shagged Me ,181225,47203,Robert Wagner,1,English,6.6,2.35,0
186,488,Jack Palance,251188924,Action|Adventure,Batman ,269033,2725,William Hootkins,0,English,7.6,1.85,12000
77,785,Dougray Scott,1068392,Biography|Drama|War,There Be Dragons ,3865,3497,Lily Cole,0,English,5.9,2.35,2000
68,94,Nick Chinlund,144731527,Action|Crime|Thriller,Lethal Weapon 3 ,128010,1446,Stuart Wilson,2,English,6.7,2.35,0
261,624,Quinton Aaron,255950375,Biography|Drama|Sport,The Blind Side ,223127,3389,Kim Dickens,0,English,7.7,1.85,38000
5,452,Aimee Garcia,,Action|Comedy|Crime,Rush Hour             ,2185,2255,Wendie Malick,2,English,5.8,16.0,0
122,640,Cheech Marin,112692062,Action|Adventure|Comedy|Family|Sci-Fi,Spy Kids ,84325,4499,Daryl Sabara,0,English,5.4,1.85,0
340,64,Lindsay Sloane,117528646,Comedy|Crime,Horrible Bosses ,353442,18669,Reginald Ballard,5,English,6.9,2.35,31000
493,538,Jeff Bridges,171031347,Adventure|Drama|Western,True Grit ,240962,25964,Bruce Green,0,English,7.7,2.35,36000
208,505,Anne Hathaway,124732962,Comedy|Drama|Romance,The Devil Wears Prada ,286178,23923,Rebecca Mader,0,English,6.8,2.35,0
134,643,Nichelle Nichols,82300000,Adventure|Mystery|Sci-Fi,Star Trek: The Motion Picture ,63330,16007,Walter Koenig,2,English,6.4,2.35,0
275,680,Eric Stonestreet,134455175,Comedy|Crime,Identity Thief ,97664,5826,T.I.,2,English,5.7,2.35,17000
120,387,Robert Mitchum,79100000,Crime|Thriller,Cape Fear ,127503,24006,Joe Don Baker,0,English,7.3,2.35,0
144,1000,Jim Sturgess,81159365,Crime|Drama|Thriller,21 ,191470,25661,Josh Gad,2,English,6.8,2.35,0
332,213,Randall Park,110008260,Comedy|Romance,Trainwreck ,94241,1450,Josh Segarra,1,English,6.3,2.35,25000
104,278,Nicole Sullivan,67962333,Comedy|Romance,Guess Who ,33887,2689,Sherri Shepherd,2,English,5.9,1.85,919
116,362,Kristin Scott Thomas,78651430,Drama|Romance|War,The English Patient ,142067,15912,Jürgen Prochnow,0,English,7.4,1.85,0
177,210,Matt McCoy,64604977,Crime|Drama|Mystery|Thriller,L.A. Confidential ,414219,19129,Paul Guilfoyle,2,English,8.3,2.35,11000
127,591,Kelly Preston,63939454,Adventure|Comedy|Family|Sci-Fi,Sky High ,61321,2968,Nicholas Braun,3,English,6.2,2.35,0
83,945,Wilford Brimley,63826569,Comedy,In & Out ,32416,23504,Lauren Ambrose,0,English,6.3,1.85,0
97,25,Marg Helgenberger,60054449,Action|Horror|Sci-Fi|Thriller,Species ,61018,1715,Jordan Lund,0,English,5.8,2.35,0
256,574,Lin Shaye,26505000,Horror,A Nightmare on Elm Street ,149285,42918,Amanda Wyss,1,English,7.5,1.85,10000
225,311,Jake Weber,61280963,Horror|Sci-Fi|Thriller,The Cell ,79877,2474,James Gammon,1,English,6.3,2.35,0
83,80,Anne Parillaud,56876365,Action|Adventure,The Man in the Iron Mask ,125219,29265,Judith Godrèche,1,English,6.4,1.85,0
160,426,Kevin Connolly,59699513,Biography|Drama|Family|History|Sport,Secretariat ,20827,2259,Dylan Walsh,0,English,7.2,2.35,0
191,691,Sarah Michelle Gellar,54132596,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,TMNT ,53786,16571,Mako,0,English,6.3,2.35,0
74,568,Riley Smith,52277485,Biography|Drama|Sport,Radio ,32370,4231,Debra Winger,1,English,6.9,1.85,0
238,923,Justin Timberlake,55802754,Comedy|Romance,Friends with Benefits ,270228,20956,Masi Oka,2,English,6.6,2.35,41000
177,190,Ike Barinholtz,55291815,Comedy,Neighbors 2: Sorority Rising ,28041,17860,Kiersey Clemons,0,English,6.0,2.35,0
405,825,Ruth Wilson,83299761,Biography|Comedy|Drama|History|Music,Saving Mr. Banks ,117719,19809,B.J. Novak,2,English,7.5,2.35,39000
61,318,Delroy Lindo,48169908,Biography|Drama|History|Romance,Malcolm X ,63923,20143,Al Freeman Jr.,0,English,7.7,1.85,0
285,120,Maude Apatow,67523385,Comedy,This Is 40 ,104005,1050,Mackenzie Aladjem,2,English,6.2,2.35,18000
124,931,Bernie Mac,49474048,Comedy|Family,Old Dogs ,31191,53370,Ann-Margret,2,English,5.4,1.85,0
164,227,Kevin Grevioux,45802315,Action|Adventure|Fantasy|Sci-Fi|Thriller,Underworld: Rise of the Lycans ,119974,2184,Steven Mackintosh,1,English,6.6,2.35,0
120,766,Christine Taylor,43792641,Comedy|Romance,License to Wed ,32157,52566,Mindy Kaling,3,English,5.3,2.35,913
90,553,Jon Heder,57651794,Comedy|Romance|Sport,The Benchwarmers ,40651,13125,Tim Meadows,2,English,5.6,1.85,0
120,664,Victor Webster,43894863,Comedy|Romance,Must Love Dogs ,25883,4879,Elizabeth Perkins,2,English,5.9,2.35,0
117,646,Al Pacino,41954997,Biography|Crime|Drama,Donnie Brasco ,225122,56014,Anne Heche,2,English,7.8,2.35,0
226,766,Jaymes Butler,39532308,Action|Horror|Sci-Fi,Resident Evil ,198701,17902,Colin Salmon,0,English,6.7,1.85,0
223,723,Zelda Rubinstein,76600000,Fantasy|Horror,Poltergeist ,105446,3876,Craig T. Nelson,0,English,7.4,2.35,11000
193,939,Tom Hanks,39692139,Comedy|Crime|Thriller,The Ladykillers ,84131,41701,Stephen Root,1,English,6.2,1.85,0
228,248,Beau Bridges,40687294,Action|Crime|Drama|Mystery|Thriller,Max Payne ,107772,16249,Jamie Hector,1,English,5.4,2.35,0
360,3000,Olivia Wilde,37553932,Action|Sci-Fi|Thriller,In Time ,304318,34011,Justin Timberlake,2,English,6.7,2.35,52000
148,584,Noureen DeWulf,37481242,Comedy|Romance,The Back-up Plan ,40654,3356,Tom Bosley,0,English,5.3,2.35,0
128,196,Steve Howey,39026186,Comedy|Drama|Romance,Something Borrowed ,48019,2371,Kirsten Day,4,English,5.9,1.85,13000
3,628,Kimberly Elise,,Drama|Romance,Hit the Floor             ,1641,3438,Logan Browning,4,English,7.0,,265
46,447,Marsha Thomason,33422806,Adventure|Comedy|Fantasy,Black Knight ,30771,2643,Vincent Regan,1,English,4.8,2.35,0
40,57,Vic Morrow,,Comedy|Drama|Family|Sport,The Bad News Bears ,16323,677,Joyce Van Patten,1,English,7.3,1.85,0
63,690,Raul Julia,33423521,Action|Adventure|Comedy|Thriller,Street Fighter ,53115,5443,Kylie Minogue,1,English,3.8,2.35,0
193,95,Frank Finlay,32519322,Biography|Drama|War,The Pianist ,497946,1075,Ed Stoppard,0,English,8.5,1.85,21000
208,140,Jason Flemyng,31598308,Horror|Mystery|Thriller,From Hell ,124765,41636,Ian Richardson,1,English,6.8,2.35,0
122,206,Hiam Abbass,37617947,Drama|Family|Fantasy,The Nativity Story ,8143,966,Shaun Toub,0,English,6.8,2.35,0
228,324,Paris Hilton,32048809,Horror,House of Wax ,94456,2178,Brian Van Holt,0,English,5.3,1.85,0
212,23,Julia Roberts,33987757,Drama|Romance,Closer ,168314,28027,Colin Stinton,2,English,7.3,1.85,12000
392,363,Naomi Watts,37304950,Biography|Crime|Drama,J. Edgar ,102728,36258,Kaitlyn Dever,0,English,6.6,2.35,16000
208,844,Cameron Boyce,30691439,Horror|Mystery,Mirrors ,86205,3185,Julian Glover,0,English,6.2,2.35,5000
137,531,Lena Olin,30307804,Drama|Fantasy|Horror,Queen of the Damned ,43991,3001,Bruce Spence,2,English,5.2,2.35,0
119,636,Robert Davi,30669413,Action|Horror|Sci-Fi,Predator 2 ,105478,4722,Kevin Peter Hall,0,English,6.2,1.37,0
195,398,Jesse Tyler Ferguson,28687835,Crime|Drama|Thriller,Untraceable ,40964,3612,Joseph Cross,1,English,6.2,2.35,0
95,480,Sissy Spacek,26494611,Comedy|Drama|Romance|Sci-Fi,Blast from the Past ,48621,5709,Douglas Smith,0,English,6.6,2.35,0
100,455,William Hootkins,,Action|Adventure|Sci-Fi,Flash Gordon ,38017,2603,Sam J. Jones,1,English,6.4,2.35,12000
164,769,Mike Starr,25266129,Comedy|Drama|Romance,Jersey Girl ,54346,3592,George Carlin,5,English,6.2,2.35,0
211,374,Chad Lindberg,25863915,Action|Crime|Mystery|Thriller,Alex Cross ,28257,2471,Carmen Ejogo,0,English,5.1,2.35,11000
91,229,Bob Gunton,25078937,Crime|Drama|Mystery|Thriller,Midnight in the Garden of Good and Evil ,31751,19689,Leon Rippy,2,English,6.6,1.85,0
44,558,Joshua Mikel,,Action|Crime|Thriller,Heist ,16193,24154,D.B. Sweeney,1,English,6.1,2.35,0
97,167,Bill Bailey,28995450,Comedy|Family|Fantasy,Nanny McPhee Returns ,19230,855,Eros Vlahos,5,English,6.1,2.35,0
32,210,J.T. Walsh,24276500,Biography|Crime|Drama,Hoffa ,17124,1394,Paul Guilfoyle,2,English,6.6,2.35,949
270,296,Callum Rennie,20981633,Drama|Mystery|Sci-Fi|Thriller,The X Files: I Want to Believe ,78256,2351,Nicki Aycox,0,English,5.9,2.35,0
89,973,Steve Coogan,22913677,Comedy|Family|Fantasy|Romance,Ella Enchanted ,47800,17292,Joanna Lumley,1,English,6.3,1.85,0
219,745,Eddie Marsan,34531832,Biography|Drama|Sport,Concussion ,44788,13371,Albert Brooks,0,English,7.1,2.35,23000
180,63,Benjamin J. Cain Jr.,28064226,Action|Mystery|Thriller,Abduction ,65044,561,Richard Cetrone,1,English,5.0,2.35,13000
93,72,Olivia Williams,19447478,Adventure|Animation|Comedy|Family|War,Valiant ,15788,1908,Pip Torrens,0,English,5.6,1.85,538
173,549,Rip Torn,19389454,Comedy|Drama,Wonder Boys ,54643,22974,Richard Thomas,5,English,7.4,2.35,0
121,418,Tracy Morgan,25871834,Action|Comedy|Sci-Fi|Thriller,Superhero Movie ,52052,3266,Marion Ross,6,English,4.5,1.85,0
298,344,James Ransone,19692608,Crime|Drama|Thriller,Broken City ,63548,2073,Michael Beach,3,English,6.2,2.35,0
158,520,Portia de Rossi,19294901,Comedy|Horror,Cursed ,26126,2535,Derek Mears,0,English,5.0,2.35,0
248,346,Dania Ramirez,20275446,Action|Crime|Thriller,Premium Rush ,95274,24669,Aasif Mandvi,0,English,6.5,2.35,20000
155,253,Richard T. Jones,34507079,Action|Comedy|Crime,Hot Pursuit ,34948,1679,Michael Mosley,2,English,5.1,2.35,0
105,39,Lucy Gordon,18306166,Adventure|Drama|Romance|War,The Four Feathers ,28130,3142,Alex Jennings,2,English,6.5,2.35,0
224,458,Clifton Collins Jr.,17609982,Action|Crime|Romance|Thriller,Parker ,90046,28479,Wendell Pierce,0,English,6.2,2.35,17000
129,663,Jon Favreau,16831505,Comedy|Romance|Sport,Wimbledon ,51842,9330,Austin Nichols,1,English,6.3,2.35,0
101,734,Brooke Shields,17596256,Comedy|Family,Furry Vengeance ,12399,6327,Matt Prokop,1,English,3.8,1.85,0
145,174,Cariba Heine,,Action|Horror|Sci-Fi,Bait ,11482,1361,Richard Brancatisano,1,English,5.2,1.85,0
57,136,Alun Armstrong,,Action|Adventure|Fantasy,Krull ,23351,14744,Lysette Anthony,1,English,6.0,2.35,0
227,10000,Tom Cruise,14998070,Drama|Thriller|War,Lions for Lambs ,41170,32875,Andrew Garfield,3,English,6.2,2.35,0
13,150,Dann Florek,14587732,Action|Drama|Thriller|War,Flight of the Intruder ,4795,1290,Christopher Rich,3,English,5.7,2.35,452
171,134,Nat Faxon,18317151,Comedy|Music,Walk Hard: The Dewey Cox Story ,55630,1082,Matt Price,1,English,6.7,2.35,0
119,505,Scott Glenn,11405825,Drama,The Shipping News ,28542,19805,Jason Behr,3,English,6.8,2.35,0
44,141,Ronny Cox,13264986,Action|Western,American Outlaws ,12077,1668,Harris Yulin,2,English,6.0,1.85,433
188,919,Jim Broadbent,10991381,Biography|Drama|History|Romance,The Young Victoria ,44931,5890,Thomas Kretschmann,1,English,7.3,2.35,0
166,230,Bashar Rahal,10268846,Action|Crime|Mystery|Thriller,Whiteout ,31918,1947,Shawn Doyle,1,English,5.5,2.35,0
584,687,Tye Sheridan,13303319,Drama|Fantasy,The Tree of Life ,136367,13021,Fiona Shaw,0,English,6.7,1.85,39000
67,105,Lela Rochon,10076136,Action|Comedy|Thriller,Knock Off ,11512,1352,Ray Nicholas,0,English,4.8,2.35,471
233,120,Martin Donovan,10499968,Action|Crime|Drama|Thriller,Sabotage ,47498,1458,Maurice Compte,3,English,5.7,1.85,10000
112,127,Mark Addy,7659747,Action|Mystery|Thriller,The Order ,14962,14165,Benno Fürmann,1,English,5.1,1.85,704
151,766,Wayne Knight,7948159,Action|Crime|Drama|Thriller,Punisher: War Zone ,48999,6563,Colin Salmon,1,English,6.0,2.35,0
63,690,Rip Torn,11631245,Action|Adventure|Family|Sci-Fi,Zoom ,15015,5022,Thomas F. Wilson,5,English,4.2,1.85,494
335,6,Soleyman Pierini,10137502,Adventure|Biography|Drama|Thriller,The Walk ,77394,23031,Jade Kindar-Martin,0,English,7.4,2.35,24000
24,448,Lee Arenberg,6448817,Action|Adventure|Fantasy,Warriors of Virtue ,2189,1993,Angus Macfadyen,0,English,4.6,2.35,0
147,567,Albert Finney,7458269,Comedy|Drama|Romance,A Good Year ,70698,3611,Richard Coyle,1,English,6.9,2.35,9000
51,256,Indira Varma,,Crime|Drama|Mystery|Thriller,Luther             ,70568,3823,Warren Brown,1,English,8.6,16.0,20000
10,697,Thomas Ian Nicholas,4651977,Drama,Radio Flyer ,10410,4334,John Heard,3,English,6.9,2.35,892
12,672,Jesse Borrego,4496583,Crime|Drama,"Blood In, Blood Out ",23181,3227,Raymond Cruz,2,English,8.0,1.66,6000
50,918,Tom Wilkinson,2221994,Action|Drama|Sci-Fi|Thriller,Smilla's Sense of Snow ,11747,3125,Julia Ormond,1,English,6.4,2.35,561
149,115,Gregg Henry,6592103,Crime|Drama|Mystery|Thriller,Femme Fatale ,28584,1005,Rie Rasmussen,1,English,6.3,1.85,675
24,249,Rod Steiger,,Biography|Drama|History|War,Lion of the Desert ,9852,1573,John Gielgud,0,English,8.4,2.35,0
28,45,François Cluzet,1877179,Adventure|Drama|Romance|War,The Horseman on the Roof ,4885,1508,Isabelle Carré,1,French,7.1,2.35,262
95,0,Jeffrey Dover,630779,Drama|Romance|War|Western,Ride with the Devil ,11101,5,Tobey Maguire,0,English,6.8,2.35,633
288,7,Hanaa Bouchaib,5100937,Drama,Biutiful ,68885,50,Eduard Fernández,0,Spanish,7.5,2.35,29000
10,282,Alice Englert,,Action|Adventure|Romance|Sci-Fi,The Lovers ,2138,1980,Bipasha Basu,3,English,4.5,,677
58,324,Sam Shepard,,Action|Comedy|Crime|Western,Bandidas ,28848,5377,Dwight Yoakam,2,English,5.7,2.35,0
,816,Aisha Tyler,,Crime|Drama,Black Water Transit ,219,3874,Beverly D'Angelo,0,English,7.2,,26
297,129,Aml Ameen,102413606,Action|Mystery|Sci-Fi|Thriller,The Maze Runner ,310903,1783,Jacob Latimore,0,English,6.8,2.35,38000
90,141,June Diane Raphael,10214013,Comedy,Unfinished Business ,23072,1564,Melissa McMeekin,2,English,5.4,2.35,0
56,94,Geraldine Chaplin,32000000,Drama|Romance,The Age of Innocence ,36267,1068,Stuart Wilson,3,English,7.2,2.35,0
274,1000,Ellen Burstyn,10139254,Drama|Sci-Fi,The Fountain ,190990,24640,Mark Margolis,0,English,7.3,1.85,23000
68,239,Kevin J. O'Connor,11227940,Action|Adventure|Comedy|Drama|Thriller,Chill Factor ,8367,1274,Hudson Leick,0,English,5.2,2.35,120
98,566,Mark Valley,183125,Action|Crime|Drama|Thriller,Stolen ,36914,14978,Sami Gayle,1,English,5.5,2.35,0
256,2,Yûki Amami,15081783,Adventure|Animation|Family|Fantasy,Ponyo ,85589,13,Yuria Nara,0,Japanese,7.7,1.85,0
117,954,Melissa Benoist,37432299,Drama|Romance,The Longest Ride ,50041,3386,Hayley Lovitt,0,English,7.1,2.35,23000
107,1000,Charlize Theron,10654581,Drama|Sci-Fi|Thriller,The Astronaut's Wife ,45497,52621,Clea DuVall,0,English,5.3,1.85,1000
52,292,Eva Marie Saint,6543194,Adventure|Drama|Romance,I Dreamed of Africa ,3740,1778,Vincent Perez,1,English,5.6,2.35,314
135,2000,Dennis Quaid,13101142,Comedy|Romance|Sport,Playing for Keeps ,23916,23122,Judy Greer,5,English,5.7,2.35,0
211,38,Fana Mokoena,8324748,Biography|Drama|History,Mandela: Long Walk to Freedom ,21223,301,Tony Kgoroge,1,English,7.1,2.35,13000
57,521,Warren Beatty,,Biography|Drama|History|Romance,Reds ,16255,2291,M. Emmet Walsh,0,English,7.5,1.85,0
81,574,Demi Moore,141340178,Drama|Thriller,A Few Good Men ,181879,14619,Kevin Pollak,0,English,7.6,2.35,0
107,655,Bill Duke,51758599,Action|Comedy|Crime|Drama|Thriller,Exit Wounds ,27580,5942,Bruce McGill,0,English,5.5,2.35,742
100,330,Cedric the Entertainer,117559438,Action|Comedy|Crime,Big Momma's House ,66941,1790,Tichina Arnold,1,English,5.1,1.85,1000
60,11,Brianne Brozey,4091,Adventure|Animation|Comedy|Family|Fantasy,Thunder and the House of Magic ,4265,369,Joe Ochman,0,English,6.3,2.35,0
195,48,Veronika Vernadskaya,21426805,Action|Adventure|Horror|Sci-Fi|Thriller,The Darkest Hour ,49312,843,Dato Bakhtadze,0,English,4.9,2.35,0
121,433,Stephen Boss,35057332,Drama|Music|Romance,Step Up Revolution ,45394,4863,Misha Gabriel Hamilton,0,English,6.5,2.35,19000
285,491,Kenan Thompson,34014398,Action|Adventure|Crime|Drama|Thriller,Snakes on a Plane ,115649,2604,Rachel Blanchard,0,English,5.6,2.35,4000
103,178,Joseph Sikora,28927720,Crime|Horror|Mystery|Thriller,The Watcher ,22220,18688,Chris Ellis,0,English,5.3,1.85,463
192,336,Marco St. John,33682273,Action|Crime|Drama|Thriller,The Punisher ,124242,2114,Eddie Jemison,1,English,6.5,2.35,4000
90,577,Kuno Becker,4280577,Drama|Romance|Sport,Goal! The Dream Begins ,50919,2859,Stephen Dillane,0,English,6.8,2.35,0
258,317,Reggie Lee,17120019,Action|Crime|Thriller,Safe ,83097,27759,Robert John Burke,2,English,6.5,2.35,12000
56,551,Kurt Fuller,8406264,Comedy|Drama|Romance,Pushing Tin ,24826,13093,Jake Weber,3,English,6.0,2.35,783
197,504,Ian McDiarmid,309125409,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode VI - Return of the Jedi ,681857,13649,Kenny Baker,0,English,8.4,2.35,14000
254,43,Jason Cope,10955425,Action|Sci-Fi|Thriller,Doomsday ,62770,391,Jeremy Crutchley,1,English,6.0,2.35,0
299,50,David Kross,34180954,Drama|Romance,The Reader ,189812,14504,Susanne Lothar,0,English,7.6,1.85,15000
163,833,Lauren Ambrose,17225675,Comedy,Wanderlust ,62198,4151,Joe Lo Truglio,2,English,5.6,1.85,0
152,8000,Zooey Deschanel,173381405,Comedy|Family|Fantasy|Romance,Elf ,147597,43354,Will Ferrell,1,English,6.9,1.85,21000
53,796,Kyra Sedgwick,104632573,Drama|Fantasy|Romance|Sci-Fi,Phenomenon ,63839,5975,David Gallagher,1,English,6.4,2.35,0
67,521,Nichelle Nichols,81150692,Adventure|Comedy|Family|Sport,Snow Dogs ,20219,2916,M. Emmet Walsh,1,English,5.1,1.85,0
88,1000,Alfre Woodard,60328558,Comedy|Drama|Fantasy,Scrooged ,61396,18734,Robert Mitchum,1,English,7.0,1.85,11000
163,327,Moises Arias,80197993,Comedy|Family|Sport,Nacho Libre ,65551,1729,Héctor Jiménez,1,English,5.7,1.85,0
371,460,Wendi McLendon-Covey,169076745,Comedy|Romance,Bridesmaids ,218711,3229,Steve Bannos,6,English,6.8,2.35,27000
418,9000,James Franco,101470202,Comedy|Fantasy,This Is the End ,310540,38751,Emma Watson,6,English,6.7,2.35,97000
131,573,Enrico Colantoni,50041732,Horror,Stigmata ,54390,3004,Portia de Rossi,0,English,6.2,2.35,0
98,975,Charlize Theron,48814909,Biography|Drama,Men of Honor ,89424,36069,Michael Rapaport,0,English,7.2,2.35,0
119,1000,Hayden Christensen,57744720,Action|Crime|Thriller,Takers ,46961,31529,Jay Hernandez,5,English,6.2,2.35,0
133,2000,Robert De Niro,21784432,Comedy,The Big Wedding ,37493,74181,Topher Grace,8,English,5.6,2.35,0
88,534,Tony Curran,37911876,Action|Comedy|Crime,"Big Mommas: Like Father, Like Son ",19671,3500,Portia Doubleday,2,English,4.4,2.35,0
522,355,Cas Anvar,54696902,Mystery|Sci-Fi|Thriller,Source Code ,379462,16034,Russell Peters,3,English,7.5,1.85,56000
43,240,Danny Nucci,36733909,Adventure|Biography|Drama|Thriller,Alive ,38949,2054,Michael DeLorenzo,3,English,7.1,1.85,0
224,897,Virginia Madsen,35063732,Mystery|Thriller,The Number 23 ,164608,10938,Ed Lauter,1,English,6.4,2.35,10000
122,223,Julian Richings,99462,Action|Adventure|Drama|Family,The Young and Prodigious T.S. Spivet ,11347,1843,Judy Davis,1,English,7.1,2.35,5000
56,642,John Belushi,,Action|Comedy|War,1941 ,25193,20201,Treat Williams,5,English,5.9,2.35,2000
75,83,Freddy Rodríguez,32701088,Drama|Family|Sport,Dreamer: Inspired by a True Story ,10018,1400,Holmes Osborne,1,English,6.9,2.35,0
