director_name,duration,actor_2_name,genres,num_voted_users,actor_3_name,facenumber_in_poster,num_user_for_reviews,content_rating,title_year,actor_2_facebook_likes,imdb_score
John Singleton,130,Snoop Dogg,Crime|Drama|Romance|Thriller,9566,Angell Conwell,2,81,R,2001,881,6.4
Christian E. Christiansen,91,Danneel Ackles,Drama|Horror|Thriller,29147,Frances Fisher,1,115,PG-13,2011,1000,4.8
Dennie Gordon,91,Erik Per Sullivan,Adventure|Comedy|Drama,41664,Fred Ward,0,205,PG-13,2001,593,5.9
Sheldon Lettich,110,Alonna Shaw,Action|Crime,28736,Kamel Krifa,2,72,R,1991,67,5.5
Edgar Wright,121,Joe Cornish,Action|Comedy|Mystery,352695,Billie Whitelaw,1,687,R,2007,115,7.9
Diane English,114,Debi Mazar,Comedy|Drama,16582,Debra Messing,4,125,PG-13,2008,680,4.9
Woody Allen,96,Kevin Dunn,Drama|Romance,198111,Christopher Evan Welch,0,365,PG-13,2008,581,7.2
Peter Flinth,270,Michael Nyqvist,Action|Adventure|Drama|Romance|War,18041,Vincent Perez,1,54,,2007,690,6.6
Jon Lucas,100,Jay Hernandez,Comedy,4654,Jada Pinkett Smith,9,46,R,2016,1000,6.7
Robert Iscove,94,Amanda Detmer,Comedy|Drama|Romance,13661,Tsianina Joelson,3,134,PG-13,2000,240,5.3
Peter Kosminsky,109,Cole Hauser,Drama,25549,Marc Donato,0,171,PG-13,2002,787,7.2
Karyn Kusama,107,Amy Sedaris,Comedy|Fantasy|Horror,92712,Cynthia Stevenson,1,294,R,2009,396,5.1
Nick Gomez,96,Jamie Lee Curtis,Comedy|Crime|Mystery,11768,Tracey Walter,0,148,PG-13,2000,2000,5.6
Woody Allen,88,Don Pardo,Comedy,24256,Julie Kavner,0,91,PG,1987,410,7.6
Vic Armstrong,110,Lea Thompson,Action|Drama|Fantasy|Mystery|Thriller,24854,Quinton Aaron,1,374,PG-13,2014,1000,3.1
Allen Coulter,113,Lena Olin,Drama|Romance,113963,Ruby Jerins,0,361,PG-13,2010,541,7.2
Clare Kilner,101,Alexandra Holden,Comedy|Drama|Romance,8215,Trent Ford,1,95,PG-13,2003,326,5.7
Richard Benjamin,105,Alyson Hannigan,Comedy|Romance|Sci-Fi,21079,Tony Jay,0,55,PG-13,1988,3000,5.2
Jonathan Demme,125,Tom Hanks,Drama,178731,Jason Robards,2,261,PG-13,1993,15000,7.7
Josef Rusnak,100,Craig Bierko,Mystery|Sci-Fi|Thriller,51996,Brad William Henke,0,302,R,1999,380,7.0
Lance Rivera,97,Vincent Pastore,Comedy,2385,Jenifer Lewis,1,20,PG-13,2004,584,3.6
Ronald Neame,108,Karl Malden,Action|Drama|Sci-Fi|Thriller,5237,Brian Keith,7,90,PG,1979,416,4.9
Bruce Paltrow,112,Marian Seldes,Comedy|Drama|Music,8217,Huey Lewis,0,123,R,2000,403,6.0
Woody Allen,112,Debra Messing,Comedy|Romance,21613,Treat Williams,0,148,PG-13,2002,650,6.6
Adam Rifkin,95,Lin Shaye,Comedy|Music,30682,Shannon Tweed,0,194,R,1999,852,6.8
Russell Mulcahy,110,Jon Polito,Action|Adventure|Fantasy,98629,Celia Imrie,1,316,R,1986,309,7.2
Susanne Bier,118,Omar Benson Miller,Drama,24104,Robin Weigert,1,88,R,2007,418,7.2
Kenneth Johnson,97,Annabeth Gish,Action|Crime|Sci-Fi,8687,Hill Harper,1,62,PG-13,1997,489,2.8
James Gray,120,Dagmara Dominczyk,Drama|Romance,20616,Angela Sarafyan,3,70,R,2013,316,6.6
James Ivory,135,Natasha Richardson,Drama|History|Romance|War,5321,Lynn Redgrave,0,78,PG-13,2005,708,6.7
Danny Boyle,101,Spencer Wilding,Crime|Drama|Mystery|Thriller,92640,Tuppence Middleton,0,212,R,2013,1000,7.0
Jessy Terrero,92,Snoop Dogg,Comedy,18271,Tom Arnold,9,150,R,2004,881,4.4
Dany Boon,106,Kad Merad,Comedy|Romance,30587,Michel Galabru,2,49,,2008,55,7.1
Vicente Amorim,92,Jodie Whittaker,Drama|Romance|War,5664,Steven Mackintosh,1,42,R,2008,304,6.2
Gaspar Noé,161,Emily Alyn Lind,Drama|Fantasy,45449,Olly Alexander,0,192,Not Rated,2009,289,7.3
Amy Heckerling,92,Justin Kirk,Comedy|Horror|Romance,7444,Ivan Sergei,2,42,PG-13,2012,945,5.1
Lasse Hallström,93,Sarah Roemer,Drama|Family,155249,Joan Allen,0,304,G,2009,884,8.1
Jérôme Salle,110,Tanya van Graan,Crime|Drama|Thriller,12817,Conrad Kemp,0,43,R,2013,170,6.7
Tommy Lee Jones,122,Tim Blake Nelson,Drama|Western,21370,Miranda Otto,1,132,R,2014,596,6.6
