director_name,duration,director_facebook_likes,actor_3_facebook_likes,movie_title,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,content_rating,budget,title_year,movie_facebook_likes
Deryck Broom,87,11,397,The Lion of Judah ,458,Anupam Kher,0,animal|donkey|lamb|pig|rooster,3,English,PG,15000000,2011,381
Henry Hathaway,92,83,48,Niagara ,11047,Will Wright,0,hitchcockian|husband murders wife|murder|niagara falls|overhead shot,116,English,Approved,1250000,1953,1000
John Ford,118,673,137,How Green Was My Valley ,15840,Barry Fitzgerald,5,coal mine|girl|school|village|wales,124,English,Approved,1250000,1941,0
,27,,201,The Girlfriend Experience             ,3282,Paul Sparks,0,escort|female nudity|friendship|money|sex scene,17,English,TV-MA,,,632
Spike Lee,123,0,161,Da Sweet Blood of Jesus ,794,Felicia Pearson,0,horror movie remake|remake|undead|undead sex|undead sexuality,9,English,,1420000,2014,447
Steven Soderbergh,100,0,65,Sex, Lies, and Videotape ,37785,Steven Brill,2,affair|interview|marriage|sex|videotape,95,English,R,1200000,1989,2000
James Wan,103,0,651,Saw ,299127,Shawnee Smith,0,chained|flashback|killer|serial killer|surprise ending,1509,English,R,1200000,2004,0
Jay Chandrasekhar,100,422,422,Super Troopers ,76151,Jay Chandrasekhar,0,drugs|highway|police|state trooper|vermont,333,English,R,1200000,2001,0
Giovanni Zelko,99,4,434,The Algerian ,101,Ben Youcef,6,algeria|algerian|los angeles california|muslim,1,English,,1300000,2014,221
Claudia Sainte-Luce,89,0,3,The Amazing Catfish ,1229,José Manuel Orozco Angulo,0,actress shares first name with character|appendicitis|hospital|loss of mother|supermarket,2,Spanish,,1300000,2013,407
Scott Derrickson,104,301,71,The Day the Earth Stood Still ,139426,Juan Riedinger,0,alien|earth|giant robot|military|scientist,698,English,PG-13,80000000,2008,0
Mira Nair,114,300,73,Monsoon Wedding ,19397,Lillete Dubey,0,arranged marriage|bride|celebration|marriage|wedding,214,Hindi,R,7000000,2001,0
Kenneth Lonergan,111,50,612,You Can Count on Me ,22145,Gaby Hoffmann,0,bank|car accident|cheating husband|new york|single mother,231,English,R,1200000,2000,756
Alfred Hitchcock,99,13000,232,The Trouble with Harry ,24891,Royal Dano,0,artist|death|hunting|sheriff|vermont,150,English,Approved,1200000,1955,0
Paul McGuigan,110,118,1000,Lucky Number Slevin ,262160,Dorian Missick,3,coroner|death|gay son|love|mistaken identity,507,English,R,27000000,2006,10000
Jamie Babbit,85,91,849,But I'm a Cheerleader ,19986,Eddie Cibrian,1,cheerleader|gay|homosexual|lesbian|lesbian relationship,186,English,R,1200000,1999,0
David Boyd,113,29,449,Home Run ,2417,Scott Elrod,2,addiction|alcoholic|baseball|car accident|reference to god,32,English,PG-13,1200000,2013,0
Quentin Tarantino,99,16000,455,Reservoir Dogs ,664719,Chris Penn,0,gang|heist|heist gone wrong|nonlinear timeline|robbery,931,English,R,1200000,1992,19000
Walter Lang,83,9,51,The Blue Bird ,1047,Gale Sondergaard,1,1800s|bird|blue bird of happiness|foreign language adaptation|past,25,English,Approved,,1940,548
Sergio Leone,142,0,24,The Good, the Bad and the Ugly ,503509,Enzo Petito,3,civil war|hitman|outlaw|shootout|spaghetti western,780,Italian,Approved,1200000,1966,20000
Anna Muylaert,112,9,4,The Second Mother ,7025,Luis Miranda,1,brazil|exam|housekeeper|northeast region of brazil|portuguese language,26,Portuguese,R,4000000,2015,0
Steve Taylor,108,14,274,Blue Like Jazz ,2582,Eric Lange,0,church|college|color in title|philosophy|texas,89,English,PG-13,1200000,2012,0
Kurt Voss,88,0,3,Down and Out with the Dolls ,91,Zoë Poledouris,0,female bassist|female drummer|female guitarist|female singer|portland oregon,4,English,R,1200000,2001,27
Léa Pool,97,4,,Pink Ribbons, Inc. ,591,,0,breast cancer|comma in title|period in title|punctuation in title|three word title,10,English,Not Rated,1200000,2011,5000
James David Pasternak,85,0,924,Certifiably Jonathan ,132,Jonathan Winters,10,las vegas nevada|museum|reference to mr. rogers|reference to vincent van gogh|talking about suicide,2,English,,1200000,2007,87
Laurent Bouhnik,103,0,24,Q ,4068,Yassine Azzouz,1,female explicit nudity|hand job|oral sex|penetration|unsimulated sex,16,French,,1500000,2011,754
Tom Sanchez,110,0,0,The Knife of Don Juan ,27,Juan Carlos Montoya,3,,1,Spanish,,1200000,2013,75
David Caffrey,88,4,95,Grand Theft Parsons ,2953,Jim Cody Williams,1,guitar|hearse|manager|musician|singer,38,English,PG-13,,2003,480
Adam Jay Epstein,76,0,227,Extreme Movie ,9560,Vanessa Lee Chester,6,box office flop|female frontal nudity|pink bra and panties|red bra and panties|sex,35,English,R,,2008,636
Michael Curtiz,100,345,94,The Charge of the Light Brigade ,3418,Spring Byington,3,attack|fort|india|lancer|massacre,52,English,Approved,1200000,1936,204
Justin Thomas Ostensen,99,0,5,Below Zero ,652,Michael Eisner,2,,11,English,R,1200000,2011,161
Brenton Spencer,84,0,63,Crowsnest ,1321,Chelsey Reist,0,forest|found footage|lost|murder|road trip,51,English,R,1200000,2012,238
Rob Bowman,91,38,117,Airborne ,5061,Brittney Powell,0,cincinnati ohio|high school|hockey|jock strap|zoologist,70,English,PG,2600000,1993,0
Ossie Davis,97,282,148,Cotton Comes to Harlem ,1172,Calvin Lockhart,1,black cop|chase|cotton|four word title|new york city,27,English,R,1200000,1970,477
Jay Alaimo,84,2,475,The Wicked Within ,742,Patrick Muldoon,0,after dark horrorfest,7,English,R,1200000,2015,479
Dylan Bank,100,0,312,Bleeding Hearts ,71,Dustin Diamond,1,bare breasts|bra and panties|nudity|syringe,2,English,,1200000,2015,242
Rob McKittrick,94,6,804,Waiting... ,76467,Vanessa Lengies,3,cook|dishwasher|flashing|male frontal nudity|waiter,236,English,R,3000000,2005,0
Shane Meadows,90,222,68,Dead Man's Shoes ,39929,George Newton,0,anger|army veteran|independent film|revenge|sex scene,207,English,,695393,2004,0
,,,206,Wolf Creek             ,726,Lucy Fry,0,based on true story|blood|serial killer|slasher|tv mini series,6,English,,,,954
Jeff Burr,92,155,147,From a Whisper to a Scream ,1324,Susan Tyrrell,0,bathtub|cult film|neck breaking|tennessee|wraparound story,37,English,R,1100000,1987,241
Harry Gantz,105,0,,Sex with Strangers ,285,,0,bisexual|explicit sex|sex|stranger|swing,8,English,,,2002,51
Guy Maddin,73,126,3,Dracula: Pages from a Virgin's Diary ,1555,Brent Neale,1,ballet|cult film|dance|dracula|gothic,32,English,,1600000,2002,131
Regardt van den Bergh,116,12,25,Faith Like Potatoes ,2050,Jeanne Neilson,2,food|food in title|potato,36,Zulu,PG,10000000,2006,0
Panos Cosmatos,110,22,48,Beyond the Black Rainbow ,6555,Eva Bourne,1,exploitation|four word title|hallucinogen|lynchian|telepathy,82,English,R,1100000,2010,0
Gareth Evans,102,338,60,The Raid: Redemption ,148221,Donny Alamsyah,0,apartment|drug lord|gangster|police|swat team,316,Indonesian,R,1100000,2011,51000
Matthew R. Anderson,89,252,252,The Dead Undead ,737,Matthew R. Anderson,1,flashback|immortality|rural setting|vampire|zombie,15,English,R,1100000,2010,444
Joe Marino,76,0,0,The Vatican Exorcisms ,332,Joe Marino,0,,10,English,R,1100000,2013,200
Michael Curtiz,82,345,269,Casablanca ,387508,Conrad Veidt,4,american expatriate|casablanca morocco|gestapo|police|visa,1123,English,PG,950000,1942,23000
Joel Anderson,89,0,5,Lake Mungo ,9465,Martin Sharpe,0,ghost|lake|parapsychologist|psychic|secret,85,English,R,1400000,2008,0
Shimit Amin,150,6,20,Rocket Singh: Salesman of the Year ,11010,Gauhar Khan,1,boss|computer|honesty|sales|salesman,35,Hindi,,,2009,773
Douglas Trumbull,89,136,42,Silent Running ,20678,Jesse Vint,1,forest|greenhouse|plant|robot|space,199,English,GP,1000000,1972,0
John G. Avildsen,145,80,794,Rocky ,375240,Carl Weathers,0,boxer|hometown hero|philadelphia pennsylvania|protective male|training,542,English,PG,960000,1976,0
Mona Fastvold,91,2,9,The Sleepwalker ,512,Gitte Witt,1,female nudity|male nudity|male rear nudity|nudity,2,English,Not Rated,1100000,2014,234
John Carpenter,89,0,606,The Fog ,46493,Janet Leigh,0,california|fog|leper|lighthouse|ship,335,English,R,1000000,1980,7000
Tony Richardson,121,62,69,Tom Jones ,8508,Hugh Griffith,1,18th century|rags to riches|secret letter|squire|tutor,56,English,Unrated,1000000,1963,328
Levan Gabriadze,83,6,142,Unfriended ,44329,Heather Sossaman,0,blender|computer screen|secret|skype|webcam,309,English,R,1000000,2014,13000
Martin Scorsese,110,17000,595,Taxi Driver ,507063,Peter Boyle,1,loner|neo noir|night shift|taxi driver|vigilante,881,English,R,1300000,1976,35000
Joe Dante,91,287,725,The Howling ,22773,Dee Wallace,0,1980s|forest|lycanthrope|shapeshifting|werewolf transformation,195,English,R,1000000,1981,0
Terence Young,110,92,177,Dr. No ,116642,Lois Maxwell,4,british secret service|hand to hand combat|murder|official james bond series|terrorist plot,389,English,Approved,1100000,1962,5000
Bradley Parker,86,18,300,Chernobyl Diaries ,52642,Jonathan Sadowski,0,abandoned building|chernobyl disaster|exploration|tour guide|van,271,English,R,1000000,2012,24000
Clive Barker,86,385,100,Hellraiser ,76407,Clare Higgins,0,blood|cenobites|creature|demon|male full frontal nudity,335,English,R,1000000,1987,0
Harold Cronk,120,18,295,God's Not Dead 2 ,4501,Maria Canals-Barrera,11,alternate universe|christian|christian film|christianity|manipulation,102,English,PG,5000000,2016,0
Jeff Wadlow,90,65,683,Cry_Wolf ,23021,Lindy Booth,0,e mail|game|school|serial killer|student,220,English,PG-13,1000000,2005,816
Takao Okawara,99,2,3,Godzilla 2000 ,5442,Sakae Kimura,0,godzilla|kaiju|monster|orga|ufo,140,Japanese,PG,1000000000,1999,339
Derek Cianfrance,112,310,616,Blue Valentine ,141425,John Doman,0,dog hit by a car|dysfunctional family|falling in love|female in shower|unhappily married woman,283,English,R,3500000,2010,25000
Duncan Tucker,103,2,226,Transamerica ,36321,Paul Borghese,2,bail|male full frontal nudity|sex change|stepfather|transsexual,230,English,R,1000000,2005,0
William Brent Bell,83,19,128,The Devil Inside ,30570,Brian Johnson,0,critically bashed|demonic possession|exorcism|exorcist|found footage,290,English,R,1000000,2012,12000
Russ Meyer,109,199,44,Beyond the Valley of the Dolls ,7584,Harrison Page,8,band|drugs|friendship|hollywood|satire,137,English,X,900000,1970,0
Robert D. Webb,89,0,102,Love Me Tender ,2636,Debra Paget,1,army|civil war|robbery|soldier|train,36,English,,1000000,1956,365
Davis Guggenheim,96,49,,An Inconvenient Truth ,67654,,0,climate|earth|global warming|science|truth,504,English,PG,,2006,0
Allan Dwan,109,23,88,Sands of Iwo Jima ,7346,Forrest Tucker,0,battle|combat|heroic military|sergeant|tarawa,69,English,Approved,1000000,1949,624
Martin Scorsese,122,17000,184,Shine a Light ,9638,Albert Maysles,0,band|concert footage|new york city|rolling stones|three word title,67,English,PG-13,,2008,0
Eli Roth,100,0,389,The Green Inferno ,21468,Magda Apanowicz,0,activist|amazon|color in title|rain|rain forest,164,English,R,6000000,2013,12000
Andrew Steggall,109,0,30,Departure ,162,Niamh Cusack,0,france|gay|language|male masturbation|masturbation,5,English,,1100000,2015,75
Ben Lewin,95,20,365,The Sessions ,36381,Rhea Perlman,3,falling in love|iron lung|priest|sex surrogate|therapist,126,English,R,1000000,2012,11000
Robert Kenner,94,11,2,Food, Inc. ,42389,Barbara Kowalcyk,0,farming|flesh eating|food|food industry|gluttony,183,English,PG,,2008,37000
Andrew Erwin,107,10,245,October Baby ,6110,Jason Burkey,1,abortion|anti choice|christian preach|malpractice|unprofessional conduct,82,English,PG-13,,2011,0
Brad Anderson,104,122,458,Next Stop Wonderland ,4195,Holland Taylor,1,love|marine biologist|nurse|personal ad|plumber,86,English,R,1000000,1998,392
Jason Reitman,96,655,973,Juno ,414345,Rainn Wilson,0,adoption|baby|friend|pregnancy|school,881,English,PG-13,7500000,2007,10000
Craig Johnson,93,7,180,The Skeleton Twins ,31254,Kathleen Rose Perkins,2,adultery|brother sister relationship|estrangement|siblings|suicide attempt,79,English,R,,2014,0
Sean Durkin,102,46,287,Martha Marcy May Marlene ,40425,Brady Corbet,0,connecticut|cult|memory|new york|telephone call,186,English,R,,2011,0
Gillian Robespierre,84,9,313,Obvious Child ,16594,Jake Lacy,1,abortion|divorced parents|one night stand|pregnancy|pregnant,73,English,R,,2014,0
Courtney Hunt,97,33,229,Frozen River ,21746,Misty Upham,1,border|mohawk|money|new york|river,93,English,R,1000000,2008,0
Morgan Neville,91,9,13,20 Feet from Stardom ,9540,Merry Clayton,0,backup singer|band|bechdel test passed|concert footage|singer,80,English,PG-13,1000000,2013,14000
James Toback,84,56,13,Two Girls and a Guy ,5933,Angel David,3,actor|anilingus|double cross|funeral home|two timing,102,English,R,1000000,1997,387
Nicole Holofcener,86,132,584,Walking and Talking ,2629,Vincent Pastore,2,briefs|cancer|cat|cult film|friend,32,English,R,1000000,1996,227
Peter Cattaneo,91,11,121,The Full Monty ,82232,Lesley Sharp,3,dole|male stripper|northern england|steel worker|unemployment,174,English,R,3500000,1997,0
Chris Paine,92,2,5,Who Killed the Electric Car? ,11283,Colette Divine,0,california|car|reference to ralph nader|technology|u.s. president,155,English,PG,1000000,2006,0
Greg Berlanti,94,112,428,The Broken Hearts Club: A Romantic Comedy ,6084,Mary McCormack,1,friend|gay|lesbian|photographer|restaurant,120,English,R,1000000,2000,671
Don Coscarelli,92,152,124,Bubba Ho-Tep ,38893,Ella Joyce,2,cult film|elvis|elvis presley|nursing home|texas,366,English,R,1000000,2002,0
Rob Letterman,103,11,543,Goosebumps ,47988,Ken Marino,4,based on book|blob|ferris wheel|manuscript|monster,154,English,PG,58000000,2015,35000
Marc Levin,100,12,6,Slam ,1976,Bonz Malone,0,gang|independent film|prison|racial slur|urban setting,51,English,R,1000000,1998,603
Richard Dutcher,119,13,25,Brigham City ,983,Rick Macy,0,fbi agent|mormon|prayer|sheriff|utah,63,English,PG-13,1000000,2001,100
Khalid Mohamed,167,10,97,Fiza ,2715,Jaya Bhaduri,3,mumbai riots|politician|riot|suicide|tragic event,19,Hindi,,1000000,2000,92
Mel Brooks,92,0,842,History of the World: Part I ,36559,Dom DeLuise,0,french revolution|old testament|part of an unfinished series|reference to john wayne|roman emperor,131,English,R,11000000,1981,0
Trey Parker,92,406,194,Orgazmo ,30396,Matt Stone,0,book of mormon|fight|mormon|ray gun|sidekick,168,English,NC-17,1000000,1997,0
David Gordon Green,108,234,463,All the Real Girls ,9233,Shea Whigham,0,best friend|lake|love|small town|womanizer,126,English,R,2500000,2003,571
Finn Taylor,97,4,301,Dream with the Fishes ,1524,Kathryn Erbe,0,dying|to do list|twenty something|underwear|voyeur,29,English,R,1000000,1997,166
Karen Moncrieff,88,22,275,Blue Car ,3142,A.J. Buckley,0,contest|poetry|refusing to eat|starving oneself|teenage girl,68,English,R,1000000,2002,115
José Luis Valenzuela,100,0,268,Luminarias ,505,Robert Beltran,1,divorce|friend|jewish|lent|restaurant,32,English,R,1000000,2000,24
Gia Coppola,100,71,145,Palo Alto ,19752,Olivia Crocicchia,0,girls' soccer|high school|high school student|soccer coach|teenager,61,English,R,,2013,0
Scandar Copti,124,13,7,Ajami ,4999,Ranin Karim,6,arab|christian|israeli|palestinian|violence,32,Arabic,,,2009,0
Goran Dukic,88,21,772,Wristcutters: A Love Story ,46076,Chase Ellison,2,afterlife|camping|death|hitchhiker|suicide,88,English,R,1000000,2006,11000
Mike Cahill,106,135,11,I Origins ,75633,Venida Evans,0,buddhism|evolution|eye|reincarnation|stuck in elevator,160,English,R,,2014,32000
Efram Potelle,79,2,551,The Battle of Shaker Heights ,3806,Kathleen Quinlan,2,bully comeuppance|high school|painter|reference to led zeppelin|wetting pants,49,English,PG-13,1000000,2003,150
Peter Jackson,135,0,310,The Lovely Bones ,125114,Tom McCarthy,1,1970s|afterlife|heaven|pedophile|rape,593,English,PG-13,65000000,2009,16000
Joshua Oppenheimer,96,50,0,The Act of Killing ,23836,Syamsul Arifin,1,death squad|mass killing|musical number|reference to guantanamo bay|surrealism,107,Indonesian,Not Rated,1000000,2012,20000
Alex Gibney,53,141,23,Taxi to the Dark Side ,10564,Greg D'Agostino,0,afghanistan|detainee|guantanamo bay|taxi|torture,40,English,R,1000000,2007,0
Paul Crowder,97,10,5,Once in a Lifetime: The Extraordinary Story of the New York Cosmos ,1290,Ahmet Ertegun,0,new york|new york cosmos|professional sports|soccer|soccer team,13,English,PG-13,1000000,2006,587
Rohit Jagessar,120,0,0,Guiana 1838 ,56,Aasheekaa Bathija,0,bare chested male|discipline|imperialism|whipping|white slavery,2,English,Unrated,,2004,32
Griffin Dunne,90,165,679,Lisa Picard Is Famous ,455,Melissa Gilbert,1,actress|fame|inside joke|new york|one man show,16,English,PG-13,,2000,25
Anthony Powell,91,9,9,Antarctica: A Year on Ice ,2482,Anthony Powell,1,antarctica,16,English,PG,1000000,2013,0
Kief Davidson,93,0,0,A Lego Brickumentary ,1220,Jason Bateman,0,artist|denmark|lego|toy|toy company,11,English,G,1000000,2014,0
Johnny Remo,112,74,891,Hardflip ,606,Raquel Elizabeth Ames,3,family relationships|loss of mother|san diego california|single mother|suicide attempt,5,English,PG-13,1000000,2012,706
Vivek Agnihotri,160,5,219,Chocolate: Deep Dark Secrets ,1524,Sunil Shetty,5,chocolate|christmas|christmas eve|death|suspect,30,Hindi,,1500000,2005,31
Ti West,95,243,725,The House of the Devil ,30160,Dee Wallace,0,cult film|eclipse|haunted house|lunar eclipse|secret,193,English,R,900000,2009,0
Nick Tomnay,93,11,271,The Perfect Host ,20176,Nathaniel Parker,1,arm tattoo|bank robbery|cauterizing a wound|dancing on a table|dinner party,73,English,R,500000,2010,0
John Hamburg,88,29,117,Safe Men ,2735,Josh Pais,0,gangster|organized crime|robbery|rosh hashanah|safecracking,52,English,R,1000000,1998,157
Nickolas Perry,105,5,73,Speedway Junky ,1434,Adrienne Frantz,2,car racing|crush|hustler|scam|watching television,43,English,R,1000000,1999,27
Dan Zukovic,98,8,14,The Last Big Thing ,334,James Lorinz,1,actor|magazine|model|rock band|suburb,17,English,R,,1996,43
Craig Mazin,82,82,490,The Specials ,1938,Jamie Kennedy,0,action figure|press conference|superhero|superhero team|toy,54,English,R,1000000,2000,210
Becky Smith,89,32,256,16 to Life ,397,Hallee Hirsh,1,birthday|digit in title|love|masturbation|teenager,6,English,,1000000,2009,143
Eric Nicholas,78,0,61,Alone with Her ,3228,Jonathon Trent,0,female nudity|female pubic hair|masturbation|panties|pubic hair,31,English,Not Rated,1000000,2006,244
Benjamin Dickinson,97,4,150,Creative Control ,1048,Meredith Hagner,1,art exhibition|augmented reality|cocaine|nervous breakdown|speculative fiction,7,English,R,1000000,2015,793
Hal Haberman,81,0,394,Special ,4862,Ian Bohen,0,dream sequence|locked in a room|looking at self in mirror|medication|superhero,37,English,R,1000000,2006,0
Darren Stein,90,18,422,Sparkler ,377,Veronica Cartwright,3,automobile association of america|cheating|psychic|reference to tom jones the singer|trailer park,13,English,R,,1997,17
A. Raven Cruz,97,0,94,The Helix... Loaded ,534,Jennifer Sky,2,cnn reporter|ellipsis in title|matrix|punctuation in title|secret agent,9,English,R,1000000,2005,128
Brian Trenchard-Smith,88,53,176,In Her Line of Fire ,783,Jesse Hutch,2,camp|die hard scenario|female protagonist|island|vice president,12,English,R,1000000,2006,42
Frank Whaley,96,436,4,The Jimmy Show ,480,Heather Bucha,3,based on play|character name in title,21,English,R,1500000,2001,47
Amat Escalante,105,50,8,Heli ,3499,Gabriel Reyes,0,corrupt police|drug cartel|drugs|mexico|police,15,Spanish,Not Rated,1000000,2013,0
Wajahat Rauf,,3,4,Karachi se Lahore ,876,Javed Sheikh,9,pakistan|road trip,15,Urdu,,1000000,2015,259
Katherine Brooks,76,57,228,Loving Annabelle ,9190,Laura Breckenridge,0,older woman younger woman relationship|sex with student|teacher|teacher student relationship|title directed by female,75,English,Not Rated,1000000,2006,501
David Cross,96,0,396,Hits ,1359,Amy Sedaris,1,courtroom|independent film|internet|small town|youtube,8,English,,1000000,2014,903
Randall Rubin,99,0,131,Jimmy and Judy ,1420,James Eckhouse,2,police|revenge|sex|suburb|video camera,26,English,R,1000000,2006,138
Robert Bennett,90,15,106,Frat Party ,1612,Alicia Ziegler,4,erotica|masseuse|sister sister relationship|temptation|threesome,28,English,R,1000000,2009,297
Guy Hamilton,94,82,47,The Party's Over ,340,Louise Sorel,1,beatnik|businessman|necrophilia|party|partying,7,English,,,1965,32
Mary Pat Kelly,87,3,149,Proud ,275,Janet Hubert,2,,22,English,PG,1000000,2004,141
Lori Petty,93,923,904,The Poker House ,3943,Bokeem Woodbine,3,basketball|drug abuse|interracial rape|iowa|tween girl,24,English,R,,2008,599
Charlie Levi,90,0,171,Childless ,33,Diane Venora,5,,,English,R,1000000,2008,3
Kevin Hamedani,89,23,23,ZMD: Zombies of Mass Destruction ,3650,Kevin Hamedani,0,cult|homosexual|island|survival horror|zombie,39,English,R,500000,2009,0
David DeCoteau,83,142,317,Snow White: A Deadly Summer ,634,Tim Abell,1,reference to snow white|sleeping bag|stepmother stepdaughter relationship|strangulation|totem pole,14,English,PG-13,1000000,2012,150
Mikel Rueda,96,0,0,Hidden Away ,955,Joseba Ugalde,0,best friend|deportation|moroccan|unrequited love|xenophobia,7,Spanish,Unrated,,2014,68
Stefan C. Schaefer,90,0,360,My Last Day Without You ,982,Reg E. Cathey,1,business trip|german|love|new york|singer songwriter,12,English,,1000000,2011,370
Michael Taliferro,138,105,110,Steppin: The Movie ,293,Chrystee Pharris,6,,1,English,PG-13,1000000,2009,41
David DeCoteau,84,142,402,Doc Holliday's Revenge ,93,Randy Jay Burrell,3,1880s|cowboy|low budget film|shoot out|wild west,6,English,PG-13,1000000,2014,54
Katie Aselton,83,224,37,Black Rock ,6531,Jay Paulson,1,bare breasts|female frontal nudity|hunter|island|weekend,47,English,R,,2012,0
Robert Heath,96,0,177,Truth or Die ,6513,Jennie Jacques,2,cabin in the woods|drinking acid|introvert|lesbian kiss|truth or dare,41,English,Not Rated,1000000,2012,968
D. Stevens,94,6,0,The Pet ,425,Summer Napoles,0,dominance submissiveness|female nudity|human branding|human pet|power exchange,24,English,,1000000,2006,91
Jeffrey St. Jules,90,0,36,Bang Bang Baby ,137,Kristian Bruun,2,,16,English,,1000000,2014,48
Robert Hall,95,53,253,Fear Clinic ,6256,Fiona Dourif,0,bare breasts|based on web series|claustrophobia|doctor|phobia,19,English,R,1000000,2015,936
K. King,93,3,115,Zombie Hunter ,2057,Jarrod Phillips,2,desert|drifter|seduction|siege|zombie,30,English,Not Rated,1000000,2013,0
Jonathan Meyers,111,0,426,A Fine Step ,207,Leonor Varela,0,,1,,PG,1000000,2014,212
Danny Boyle,101,0,888,Trance ,92640,Tuppence Middleton,0,amnesia|criminal|heist|hypnotherapy|lost painting,212,English,R,20000000,2013,23000
Ralph Nelson,103,17,113,Charly ,4998,Claire Bloom,0,disability|experiment|genius|intelligence|mouse,55,English,PG,,1968,785
Blair Erickson,87,0,302,Banshee Chapter ,6265,Michael McMillian,1,experiment|lsd|missing friend|mk ultra|radio broadcast,56,English,R,950000,2013,2000
,30,,223,Jesse             ,954,Bruno Campos,8,1990s|brother sister relationship|female protagonist|single mother|sitcom,14,English,,,,57
Allison Burnett,100,12,354,Ask Me Anything ,7870,Cathryn de Prume,1,bare breasts|female protagonist,64,English,Not Rated,950000,2014,884
Richard Schenkman,90,29,558,And Then Came Love ,443,Eartha Kitt,1,facebook|imdb|mediaatlarge.com|mediaatlargellc|sperm donor,4,English,,989000,2007,42
Sanjay Rawal,83,0,17,Food Chains ,265,Eve Ensler,0,two word title,3,English,,913000,2014,489
Elia Kazan,108,603,279,On the Waterfront ,100890,Rod Steiger,2,death|dock|longshoreman|murder|union,281,English,Not Rated,910000,1954,0
Kat Coiro,100,28,501,L!fe Happens ,6025,Kristen Johnston,8,friendship|los angeles california|one night stand|roommate|single mother,15,English,R,930000,2011,995
Cristian Mungiu,113,163,27,4 Months, 3 Weeks and 2 Days ,44763,Alexandru Potocean,0,female rear nudity|friend|hotel|rainy night|towel,172,Romanian,Not Rated,590000,2007,14000
Brian Dorton,97,171,76,The Horror Network Vol. 1 ,139,Jan Cornet,0,anthology,3,English,,3000000,2015,52
David Slade,104,171,0,Hard Candy ,131969,Patrick Wilson,0,chatting|missing person poster|online dating|photographer|sexual predator,651,English,R,950000,2005,12000
Jamie Babbit,91,91,659,The Quiet ,13485,Edie Falco,0,deaf|death|dysfunctional family|godparent|secret,90,English,R,900000,2005,698
Maryam Keshavarz,107,32,127,Circumstance ,6277,Sina Amedson,1,closeted lesbian|iranian|islamophobia|propaganda|teenager,43,Persian,R,,2011,0
Ryan Coogler,85,0,88,Fruitvale Station ,53919,Ariana Neal,0,22 year old|b.a.r.t.|bay area|birthday|police,168,English,R,900000,2013,17000
Ramaa Mosley,101,6,727,The Brass Teapot ,11965,Alia Shawkat,2,mini dress|mini skirt|money|voyeur|voyeurism,39,English,R,900000,2012,0
James Algar,70,11,8,Bambi ,94225,Ann Gillis,0,animal|bambi|deer|forest|hunter,136,English,Approved,,1942,0
Charles Herman-Wurmfeld,88,0,102,The Hammer ,5489,Adam Carolla,1,birthday|boxing|coach|gym|olympics,23,English,R,850000,2007,337
Ric Roman Waugh,112,29,874,Snitch ,64748,Nadine Velazquez,1,cigarette smoking|dea|drugs|inspired by true events|undercover,122,English,PG-13,15000000,2013,12000
C. Jay Cox,107,6,522,Latter Days ,14580,Jacqueline Bisset,2,christian|male frontal nudity|mormon|mormon missionary|nudity,252,English,R,850000,2003,0
Mariette Monpierre,78,0,0,Elza ,19,Teddy Doloir,1,foreign|french,2,French,,900000,2011,24
