duration,director_facebook_likes,actor_1_facebook_likes,num_voted_users,cast_total_facebook_likes,actor_3_name,movie_imdb_link,title_year,imdb_score
106,172,172,30587,329,Michel Galabru,http://www.imdb.com/title/tt1064932/?ref_=fn_tt_tt_1,2008,7.1
92,6,10000,5664,11091,Steven Mackintosh,http://www.imdb.com/title/tt0436364/?ref_=fn_tt_tt_1,2008,6.2
161,929,488,45449,943,Olly Alexander,http://www.imdb.com/title/tt1191111/?ref_=fn_tt_tt_1,2009,7.3
92,143,1000,7444,3086,Ivan Sergei,http://www.imdb.com/title/tt1545106/?ref_=fn_tt_tt_1,2012,5.1
93,529,1000,155249,4453,Joan Allen,http://www.imdb.com/title/tt1028532/?ref_=fn_tt_tt_1,2009,8.1
110,22,5000,12817,5273,Conrad Kemp,http://www.imdb.com/title/tt2249221/?ref_=fn_tt_tt_1,2013,6.7
122,0,883,21370,2896,Miranda Otto,http://www.imdb.com/title/tt2398231/?ref_=fn_tt_tt_1,2014,6.6
91,10,890,5312,3104,Kevin Pollak,http://www.imdb.com/title/tt0247444/?ref_=fn_tt_tt_1,2002,4.5
45,,422,19164,537,Tommy Karlsen,http://www.imdb.com/title/tt1958961/?ref_=fn_tt_tt_1,,8.1
115,460,232,8624,699,Charles Aznavour,http://www.imdb.com/title/tt0273435/?ref_=fn_tt_tt_1,2002,6.6
94,4,844,1033,3583,William Shockley,http://www.imdb.com/title/tt0206113/?ref_=fn_tt_tt_1,2001,6.5
93,7,1000,3299,4329,Fisher Stevens,http://www.imdb.com/title/tt0376196/?ref_=fn_tt_tt_1,2005,5.9
94,7,235,29392,303,Michel Muller,http://www.imdb.com/title/tt0281364/?ref_=fn_tt_tt_1,2001,6.6
95,571,499,61912,1120,Tania Saulnier,http://www.imdb.com/title/tt0439815/?ref_=fn_tt_tt_1,2006,6.5
105,102,901,126464,3464,James Russo,http://www.imdb.com/title/tt0086960/?ref_=fn_tt_tt_1,1984,7.3
103,0,3000,311075,7521,Catherine O'Hara,http://www.imdb.com/title/tt0099785/?ref_=fn_tt_tt_1,1990,7.5
102,12000,19000,36918,21499,Steve Guttenberg,http://www.imdb.com/title/tt0094137/?ref_=fn_tt_tt_1,1987,5.9
116,521,13000,77366,14701,Teri Garr,http://www.imdb.com/title/tt0084805/?ref_=fn_tt_tt_1,1982,7.4
110,12000,10000,219171,13069,Adrian Pasdar,http://www.imdb.com/title/tt0092099/?ref_=fn_tt_tt_1,1986,6.9
120,0,103,217740,129,Sihung Lung,http://www.imdb.com/title/tt0190332/?ref_=fn_tt_tt_1,2000,7.9
122,0,18000,822500,19078,Ara Celi,http://www.imdb.com/title/tt0169547/?ref_=fn_tt_tt_1,1999,8.4
118,0,14000,503631,15732,Derek Jacobi,http://www.imdb.com/title/tt1504320/?ref_=fn_tt_tt_1,2010,8.0
107,425,742,87538,2151,Hugh O'Brian,http://www.imdb.com/title/tt0096320/?ref_=fn_tt_tt_1,1988,6.0
45,,460,18058,2380,Jason Wiles,http://www.imdb.com/title/tt3921180/?ref_=fn_tt_tt_1,,7.3
102,4,17000,6723,30978,William Hurt,http://www.imdb.com/title/tt0954990/?ref_=fn_tt_tt_1,2008,6.8
154,14000,852,60988,2592,Dana Ivey,http://www.imdb.com/title/tt0088939/?ref_=fn_tt_tt_1,1985,7.8
103,2,94,2659,213,Kyung-gu Sol,http://www.imdb.com/title/tt1153040/?ref_=fn_tt_tt_1,2009,5.7
141,335,11000,62,13390,Moises Arias,http://www.imdb.com/title/tt2638144/?ref_=fn_tt_tt_1,2016,6.1
114,77,19000,467613,20295,Allen Leech,http://www.imdb.com/title/tt2084970/?ref_=fn_tt_tt_1,2014,8.1
109,6,1000,18140,2419,Alan Oppenheimer,http://www.imdb.com/title/tt0081375/?ref_=fn_tt_tt_1,1980,6.1
124,150,874,12974,2667,Levon Helm,http://www.imdb.com/title/tt0080549/?ref_=fn_tt_tt_1,1980,7.5
94,87,17000,32002,20154,Rachael Harris,http://www.imdb.com/title/tt1196141/?ref_=fn_tt_tt_1,2010,6.2
100,127,1000,134869,1949,Isabelle Nélisse,http://www.imdb.com/title/tt2023587/?ref_=fn_tt_tt_1,2013,6.2
101,0,2000,157857,4400,P.J. Soles,http://www.imdb.com/title/tt0077651/?ref_=fn_tt_tt_1,1978,7.9
98,11000,816,71183,3617,Jane Krakowski,http://www.imdb.com/title/tt0085995/?ref_=fn_tt_tt_1,1983,7.4
102,79,925,77724,1018,Grasie Mercedes,http://www.imdb.com/title/tt3063516/?ref_=fn_tt_tt_1,2013,6.6
94,350,326,85333,486,Alex Jennings,http://www.imdb.com/title/tt0436697/?ref_=fn_tt_tt_1,2006,7.3
92,13000,925,189413,1953,Glenn Shadix,http://www.imdb.com/title/tt0094721/?ref_=fn_tt_tt_1,1988,7.5
113,0,2000,9811,6510,Lamman Rucker,http://www.imdb.com/title/tt0906108/?ref_=fn_tt_tt_1,2007,5.6
115,44,23000,36624,29370,Eric Stoltz,http://www.imdb.com/title/tt0110367/?ref_=fn_tt_tt_1,1994,7.3
95,43,11000,139749,11946,Jessica Raine,http://www.imdb.com/title/tt1596365/?ref_=fn_tt_tt_1,2012,6.4
87,165,1000,34711,2452,Brian Geraghty,http://www.imdb.com/title/tt0455857/?ref_=fn_tt_tt_1,2006,5.0
88,189,934,29008,3707,Lee Majors,http://www.imdb.com/title/tt0265298/?ref_=fn_tt_tt_1,2002,5.4
183,517,22000,232577,34025,John Savage,http://www.imdb.com/title/tt0077416/?ref_=fn_tt_tt_1,1978,8.2
97,272,22000,67604,29252,John Michael Higgins,http://www.imdb.com/title/tt0120885/?ref_=fn_tt_tt_1,1997,7.1
94,13,925,27580,3423,Alex Borstein,http://www.imdb.com/title/tt0306841/?ref_=fn_tt_tt_1,2003,5.3
112,29,12000,64747,15800,Nadine Velazquez,http://www.imdb.com/title/tt0882977/?ref_=fn_tt_tt_1,2013,6.5
98,66,3000,29867,4567,Allison Tolman,http://www.imdb.com/title/tt3850590/?ref_=fn_tt_tt_1,2015,6.2
104,0,4000,92074,12170,Clea DuVall,http://www.imdb.com/title/tt0133751/?ref_=fn_tt_tt_1,1998,6.4
118,13,90,13442,114,Dororthy Thorton,http://www.imdb.com/title/tt0108551/?ref_=fn_tt_tt_1,1993,7.2
120,446,22000,69576,40117,Janeane Garofalo,http://www.imdb.com/title/tt0118887/?ref_=fn_tt_tt_1,1997,6.9
99,11,11000,80305,15369,Mia Kirshner,http://www.imdb.com/title/tt0277371/?ref_=fn_tt_tt_1,2001,5.7
109,453,15000,181025,27788,America Ferrera,http://www.imdb.com/title/tt1855199/?ref_=fn_tt_tt_1,2012,7.7
105,488,15000,39782,44037,Bill Murray,http://www.imdb.com/title/tt1243974/?ref_=fn_tt_tt_1,2015,5.4
106,357,23000,26846,26652,William Petersen,http://www.imdb.com/title/tt0192614/?ref_=fn_tt_tt_1,2000,5.6
123,120,13000,265507,14100,Simon McBurney,http://www.imdb.com/title/tt2980516/?ref_=fn_tt_tt_1,2014,7.7
86,14,833,15939,4435,Blair Underwood,http://www.imdb.com/title/tt0328099/?ref_=fn_tt_tt_1,2003,5.1
120,18,20000,27044,22383,Stockard Channing,http://www.imdb.com/title/tt0198021/?ref_=fn_tt_tt_1,2000,6.8
227,767,607,192775,1076,Jack Hawkins,http://www.imdb.com/title/tt0056172/?ref_=fn_tt_tt_1,1962,8.4
119,0,908,36372,3226,Margot Kidder,http://www.imdb.com/title/tt1311067/?ref_=fn_tt_tt_1,2009,4.9
115,212,2000,86664,4896,Gaby Hoffmann,http://www.imdb.com/title/tt2305051/?ref_=fn_tt_tt_1,2014,7.1
114,29,956,67822,3861,Martha MacIsaac,http://www.imdb.com/title/tt0844708/?ref_=fn_tt_tt_1,2009,6.6
90,6,1000,38248,2666,Holland Taylor,http://www.imdb.com/title/tt0372532/?ref_=fn_tt_tt_1,2005,6.1
94,28,2000,26905,5440,Bianca Kajlich,http://www.imdb.com/title/tt0220506/?ref_=fn_tt_tt_1,2002,4.1
106,255,14000,229687,18003,Alexa Davalos,http://www.imdb.com/title/tt0800320/?ref_=fn_tt_tt_1,2010,5.8
98,0,18000,294163,20060,André the Giant,http://www.imdb.com/title/tt0093779/?ref_=fn_tt_tt_1,1987,8.1
126,18000,18000,47626,22745,John Heard,http://www.imdb.com/title/tt0427309/?ref_=fn_tt_tt_1,2007,7.6
100,0,33000,431578,34337,Russ Tamblyn,http://www.imdb.com/title/tt0780504/?ref_=fn_tt_tt_1,2011,7.8
89,10,811,23408,2167,Glenne Headly,http://www.imdb.com/title/tt0361467/?ref_=fn_tt_tt_1,2004,4.6
111,13,818,15582,1450,Kali Rocha,http://www.imdb.com/title/tt0120772/?ref_=fn_tt_tt_1,1998,6.0
100,35,10000,212167,11471,Catherine McCormack,http://www.imdb.com/title/tt0463854/?ref_=fn_tt_tt_1,2007,7.0
115,49,116,12596,525,Ser'Darius Blain,http://www.imdb.com/title/tt2247476/?ref_=fn_tt_tt_1,2014,6.7
106,61,907,8427,3462,Eva Marie Saint,http://www.imdb.com/title/tt0317132/?ref_=fn_tt_tt_1,2005,6.4
124,107,1000,14322,5135,Omar Epps,http://www.imdb.com/title/tt0199725/?ref_=fn_tt_tt_1,2000,7.2
107,5,893,73347,2044,Mitchell Ryan,http://www.imdb.com/title/tt0119229/?ref_=fn_tt_tt_1,1997,7.4
99,3,14000,33088,16461,Beth Grant,http://www.imdb.com/title/tt0881891/?ref_=fn_tt_tt_1,2009,4.8
90,31,193,28964,608,Kurt Loder,http://www.imdb.com/title/tt0229260/?ref_=fn_tt_tt_1,2000,4.0
101,26,838,57140,1812,Brenda Strong,http://www.imdb.com/title/tt0115963/?ref_=fn_tt_tt_1,1996,6.2
119,11000,19000,166269,20391,Penelope Wilton,http://www.imdb.com/title/tt0416320/?ref_=fn_tt_tt_1,2005,7.7
103,20,512,13874,1002,Jason Spevack,http://www.imdb.com/title/tt0493949/?ref_=fn_tt_tt_1,2010,6.7
134,133,12000,45703,12749,Ben Chaplin,http://www.imdb.com/title/tt0107943/?ref_=fn_tt_tt_1,1993,7.9
155,0,3000,189032,3677,Nina Hartley,http://www.imdb.com/title/tt0118749/?ref_=fn_tt_tt_1,1997,7.9
94,11,1000,17074,2210,Joss Ackland,http://www.imdb.com/title/tt0107711/?ref_=fn_tt_tt_1,1993,5.5
95,15,1000,6095,3845,Tim McGraw,http://www.imdb.com/title/tt0434215/?ref_=fn_tt_tt_1,2006,6.2
89,7,919,49721,2559,Jacob Vargas,http://www.imdb.com/title/tt0800069/?ref_=fn_tt_tt_1,2007,5.1
97,83,912,13048,2682,Jacinda Barrett,http://www.imdb.com/title/tt0192731/?ref_=fn_tt_tt_1,2000,4.1
90,13,882,17983,2661,Jonathan Jackson,http://www.imdb.com/title/tt0283084/?ref_=fn_tt_tt_1,2002,6.7
92,8,472,27486,1045,Drew Powell,http://www.imdb.com/title/tt0419946/?ref_=fn_tt_tt_1,2006,4.7
100,10,826,15385,2958,Keegan-Michael Key,http://www.imdb.com/title/tt4139124/?ref_=fn_tt_tt_1,2016,6.4
117,19,3000,14814,4204,Tim McGraw,http://www.imdb.com/title/tt1555064/?ref_=fn_tt_tt_1,2010,6.3
84,119,989,17328,4660,Katharine Isabelle,http://www.imdb.com/title/tt0134619/?ref_=fn_tt_tt_1,1998,5.5
140,310,33000,187170,34413,Angelo Anthony Pizza,http://www.imdb.com/title/tt1817273/?ref_=fn_tt_tt_1,2012,7.3
108,79,775,50056,3033,Will Patton,http://www.imdb.com/title/tt2402157/?ref_=fn_tt_tt_1,2014,6.3
109,11,471,13320,1069,Geneviève Bujold,http://www.imdb.com/title/tt0120662/?ref_=fn_tt_tt_1,1999,4.9
131,0,10000,332065,11114,Brian Geraghty,http://www.imdb.com/title/tt0887912/?ref_=fn_tt_tt_1,2008,7.6
114,73,695,22797,3444,David Keith,http://www.imdb.com/title/tt0087262/?ref_=fn_tt_tt_1,1984,6.0
97,181,11000,111625,14025,Ben Mendelsohn,http://www.imdb.com/title/tt1764234/?ref_=fn_tt_tt_1,2012,6.2
122,210,22000,57210,22574,Homayoun Ershadi,http://www.imdb.com/title/tt1972571/?ref_=fn_tt_tt_1,2014,6.8
87,374,826,39788,2689,Eddie Kaye Thomas,http://www.imdb.com/title/tt0240515/?ref_=fn_tt_tt_1,2001,4.5
85,12,354,2037,568,Phil Vischer,http://www.imdb.com/title/tt0475998/?ref_=fn_tt_tt_1,2008,5.7
85,0,468,2673,646,Larry Mullen Jr.,http://www.imdb.com/title/tt0892375/?ref_=fn_tt_tt_1,2007,8.4
101,36,1000,16340,2764,Adam Copeland,http://www.imdb.com/title/tt0144964/?ref_=fn_tt_tt_1,2000,4.6
121,16,907,4603,3633,Bobb'e J. Thompson,http://www.imdb.com/title/tt0417225/?ref_=fn_tt_tt_1,2006,6.2
107,92,11000,106111,17627,Rafe Spall,http://www.imdb.com/title/tt1563738/?ref_=fn_tt_tt_1,2011,7.0
111,0,796,55665,2633,Alia Shawkat,http://www.imdb.com/title/tt1172233/?ref_=fn_tt_tt_1,2009,6.9
92,34,14000,19768,15644,Kevin Gage,http://www.imdb.com/title/tt0211465/?ref_=fn_tt_tt_1,2001,6.1
97,164,436,30643,1172,Leland Orser,http://www.imdb.com/title/tt0310910/?ref_=fn_tt_tt_1,2003,6.7
97,745,12000,9294,15209,Albert Brooks,http://www.imdb.com/title/tt0164108/?ref_=fn_tt_tt_1,1999,5.6
125,34,427,9649,729,Sandra Nelson,http://www.imdb.com/title/tt0352277/?ref_=fn_tt_tt_1,2004,6.6
124,11000,11000,13692,12685,Mia Farrow,http://www.imdb.com/title/tt0097965/?ref_=fn_tt_tt_1,1989,6.4
76,9,595,2724,1139,Shirley Douglas,http://www.imdb.com/title/tt0120598/?ref_=fn_tt_tt_1,1998,2.8
107,561,746,53471,2377,Daniel Wu,http://www.imdb.com/title/tt1258972/?ref_=fn_tt_tt_1,2012,5.4
91,23,925,7159,2913,Shelley Duvall,http://www.imdb.com/title/tt0119304/?ref_=fn_tt_tt_1,1998,5.0
96,4,989,7403,3142,Elaine Hendrix,http://www.imdb.com/title/tt0195778/?ref_=fn_tt_tt_1,2000,5.1
142,0,22000,152306,29475,Jim Broadbent,http://www.imdb.com/title/tt0088846/?ref_=fn_tt_tt_1,1985,8.0
103,80,1000,22649,4676,Jason Ritter,http://www.imdb.com/title/tt0361696/?ref_=fn_tt_tt_1,2004,5.9
60,,443,7122,981,Chris Bruno,http://www.imdb.com/title/tt0281432/?ref_=fn_tt_tt_1,,7.5
117,0,22000,537419,47728,Steve Buscemi,http://www.imdb.com/title/tt0118715/?ref_=fn_tt_tt_1,1998,8.2
116,153,3000,52421,5012,S. Epatha Merkerson,http://www.imdb.com/title/tt0462200/?ref_=fn_tt_tt_1,2006,7.0
118,41,556,17261,1873,Michael Michele,http://www.imdb.com/title/tt0279331/?ref_=fn_tt_tt_1,2002,6.6
108,187,11000,24150,12178,Dan Futterman,http://www.imdb.com/title/tt0829459/?ref_=fn_tt_tt_1,2007,6.7
94,9,11000,8055,13524,Marla Sokoloff,http://www.imdb.com/title/tt0202402/?ref_=fn_tt_tt_1,2000,5.5
97,2,890,26598,3161,Bob Gunton,http://www.imdb.com/title/tt0285462/?ref_=fn_tt_tt_1,2002,4.9
97,32,14000,18966,16502,Rupert Everett,http://www.imdb.com/title/tt0278500/?ref_=fn_tt_tt_1,2002,6.9
99,45,1000,1465,2166,Estelle Parsons,http://www.imdb.com/title/tt0140340/?ref_=fn_tt_tt_1,1998,7.4
91,6,8000,6562,10732,Tim Blake Nelson,http://www.imdb.com/title/tt0453494/?ref_=fn_tt_tt_1,2006,5.6
107,454,65,307639,173,Eric Godon,http://www.imdb.com/title/tt0780536/?ref_=fn_tt_tt_1,2008,8.0
95,24,931,4065,3322,Diahann Carroll,http://www.imdb.com/title/tt1699755/?ref_=fn_tt_tt_1,2013,5.3
102,11,15000,32311,33153,Josh Gad,http://www.imdb.com/title/tt1031969/?ref_=fn_tt_tt_1,2008,6.2
88,96,24000,11498,25637,Bobby Coleman,http://www.imdb.com/title/tt1142433/?ref_=fn_tt_tt_1,2009,5.3
106,835,13000,30284,14544,Terry Kinney,http://www.imdb.com/title/tt2091473/?ref_=fn_tt_tt_1,2012,6.6
92,11000,860,58967,2717,Conleth Hill,http://www.imdb.com/title/tt1178663/?ref_=fn_tt_tt_1,2009,7.2
105,52,477,3668,2312,A.J. Buckley,http://www.imdb.com/title/tt0163676/?ref_=fn_tt_tt_1,2000,4.6
107,0,572,34194,1627,Guillermo Arriaga,http://www.imdb.com/title/tt0419294/?ref_=fn_tt_tt_1,2005,7.5
120,0,49000,12601,51657,Michael Jeter,http://www.imdb.com/title/tt0120716/?ref_=fn_tt_tt_1,1999,6.5
103,1000,21000,175962,23932,Larry Miller,http://www.imdb.com/title/tt0373469/?ref_=fn_tt_tt_1,2005,7.6
92,6,890,33745,3654,Elden Henson,http://www.imdb.com/title/tt0138510/?ref_=fn_tt_tt_1,1999,6.2
147,0,6000,235992,8484,Laura Harring,http://www.imdb.com/title/tt0166924/?ref_=fn_tt_tt_1,2001,8.0
98,18,837,15388,1675,Chris Geere,http://www.imdb.com/title/tt0397044/?ref_=fn_tt_tt_1,2007,5.5
98,11000,12000,36145,19310,Ewen Bremner,http://www.imdb.com/title/tt1182350/?ref_=fn_tt_tt_1,2010,6.3
103,132,10000,109873,12867,Charlotte Rampling,http://www.imdb.com/title/tt1334260/?ref_=fn_tt_tt_1,2010,7.2
286,,857,3828,3809,Alessandro Nivola,http://www.imdb.com/title/tt0488352/?ref_=fn_tt_tt_1,,7.9
111,122,918,42792,1252,Mac McDonald,http://www.imdb.com/title/tt0800241/?ref_=fn_tt_tt_1,2008,6.7
98,70,876,4996,1351,Mike Muscat,http://www.imdb.com/title/tt0090848/?ref_=fn_tt_tt_1,1986,5.3
111,0,783,5917,4834,Noah Emmerich,http://www.imdb.com/title/tt0142201/?ref_=fn_tt_tt_1,1999,6.3
111,0,6000,69569,6748,Brady Corbet,http://www.imdb.com/title/tt0808279/?ref_=fn_tt_tt_1,2007,6.5
100,5,192,1933,527,Amber Marie Bollinger,http://www.imdb.com/title/tt3153582/?ref_=fn_tt_tt_1,2014,5.6
116,460,5000,6690,5426,Gerard McSorley,http://www.imdb.com/title/tt0165773/?ref_=fn_tt_tt_1,1999,7.0
145,756,136,111841,203,Rudolf Klein-Rogge,http://www.imdb.com/title/tt0017136/?ref_=fn_tt_tt_1,1927,8.3
84,180,510,55928,962,Dany Verissimo-Petit,http://www.imdb.com/title/tt0414852/?ref_=fn_tt_tt_1,2004,7.2
115,39,12000,22345,14889,Treat Williams,http://www.imdb.com/title/tt0114660/?ref_=fn_tt_tt_1,1995,6.8
105,141,1000,9427,1172,Satoshi Tsumabuki,http://www.imdb.com/title/tt3508840/?ref_=fn_tt_tt_1,2015,6.4
98,34,936,20730,3578,Leon,http://www.imdb.com/title/tt0252299/?ref_=fn_tt_tt_1,2001,6.9
99,445,20,31589,48,Nataliya Vdovina,http://www.imdb.com/title/tt0376968/?ref_=fn_tt_tt_1,2003,8.0
110,0,64,24570,134,Sarunyu Wongkrachang,http://www.imdb.com/title/tt0785035/?ref_=fn_tt_tt_1,2008,6.2
97,197,13000,64777,15293,Dave Legeno,http://www.imdb.com/title/tt1020558/?ref_=fn_tt_tt_1,2010,6.4
88,85,825,2699,1432,Conrad Dunn,http://www.imdb.com/title/tt0117653/?ref_=fn_tt_tt_1,1996,5.6
103,129,14000,47574,18639,Leslie Bibb,http://www.imdb.com/title/tt0805570/?ref_=fn_tt_tt_1,2008,6.1
104,36,549,609,801,Aubrey Poo,http://www.imdb.com/title/tt1551641/?ref_=fn_tt_tt_1,2011,6.0
90,68,17000,14280,32814,Tracy Morgan,http://www.imdb.com/title/tt1535612/?ref_=fn_tt_tt_1,2011,5.1
105,24,776,2236,1732,Edward Fox,http://www.imdb.com/title/tt0252223/?ref_=fn_tt_tt_1,2001,4.5
93,17,1000,7519,1245,Keith Allen,http://www.imdb.com/title/tt0484111/?ref_=fn_tt_tt_1,2007,5.9
141,15,735,3425,2528,Franco Nero,http://www.imdb.com/title/tt0469640/?ref_=fn_tt_tt_1,2008,6.0
85,0,14000,4006,29488,Loretta Devine,http://www.imdb.com/title/tt1487931/?ref_=fn_tt_tt_1,2013,5.8
109,19,1000,41638,2829,Melanie Griffith,http://www.imdb.com/title/tt1971325/?ref_=fn_tt_tt_1,2014,6.1
105,93,179,5018,363,Steven Elder,http://www.imdb.com/title/tt0406728/?ref_=fn_tt_tt_1,2005,4.9
98,6,61,80,192,Ferdinando Vetere,http://www.imdb.com/title/tt3856124/?ref_=fn_tt_tt_1,2015,5.7
119,3,556,9177,996,Yasuaki Kurata,http://www.imdb.com/title/tt1075419/?ref_=fn_tt_tt_1,2009,7.1
124,67,631,695,1585,Linus Roache,http://www.imdb.com/title/tt0210217/?ref_=fn_tt_tt_1,2000,6.6
101,11000,13000,437418,15500,Willie Garson,http://www.imdb.com/title/tt0107048/?ref_=fn_tt_tt_1,1993,8.1
115,13,20000,38202,38963,Kevin Nash,http://www.imdb.com/title/tt2268016/?ref_=fn_tt_tt_1,2015,5.7
120,1000,29000,167750,33791,Brian Dennehy,http://www.imdb.com/title/tt0117509/?ref_=fn_tt_tt_1,1996,6.8
111,15,1000,12937,2140,Arben Bajraktaraj,http://www.imdb.com/title/tt1668200/?ref_=fn_tt_tt_1,2010,7.5
94,5,467,993,994,Bart Shatto,http://www.imdb.com/title/tt2584018/?ref_=fn_tt_tt_1,2014,6.2
131,16000,16000,277505,28544,Frances Fisher,http://www.imdb.com/title/tt0105695/?ref_=fn_tt_tt_1,1992,8.3
139,3000,3000,18646,4211,Jean-Marc Barr,http://www.imdb.com/title/tt0342735/?ref_=fn_tt_tt_1,2005,7.4
120,0,668,641997,820,Ayush Mahesh Khedekar,http://www.imdb.com/title/tt1010048/?ref_=fn_tt_tt_1,2008,8.0
119,213,886,55101,1639,Anne Archer,http://www.imdb.com/title/tt0093010/?ref_=fn_tt_tt_1,1987,6.9
125,0,8000,213476,11135,Jason Alexander,http://www.imdb.com/title/tt0100405/?ref_=fn_tt_tt_1,1990,6.9
65,0,770,10,1125,Joe Flaherty,http://www.imdb.com/title/tt0691996/?ref_=fn_tt_tt_1,,9.5
108,5,442,44096,717,John Meillon,http://www.imdb.com/title/tt0092493/?ref_=fn_tt_tt_1,1988,5.5
101,34,892,1554,2055,Chad Bishop,http://www.imdb.com/title/tt2503954/?ref_=fn_tt_tt_1,2015,5.7
145,0,10000,76842,12098,Stephen Baldwin,http://www.imdb.com/title/tt0096969/?ref_=fn_tt_tt_1,1989,7.2
98,226,953,69733,2496,Malik Yoba,http://www.imdb.com/title/tt0106611/?ref_=fn_tt_tt_1,1993,6.9
101,71,10000,45603,14159,Edi Gathegi,http://www.imdb.com/title/tt1179891/?ref_=fn_tt_tt_1,2009,5.5
92,30,941,47169,2348,Natasha Calis,http://www.imdb.com/title/tt0431021/?ref_=fn_tt_tt_1,2012,5.9
93,270,13000,172493,15192,Chris Mulkey,http://www.imdb.com/title/tt0083944/?ref_=fn_tt_tt_1,1982,7.7
109,41,997,19505,3544,Harry Lennix,http://www.imdb.com/title/tt0775539/?ref_=fn_tt_tt_1,2007,5.2
123,43,456,76477,1326,Barbara Bach,http://www.imdb.com/title/tt0076752/?ref_=fn_tt_tt_1,1977,7.1
60,,155,5563,552,Jason Hawes,http://www.imdb.com/title/tt0426697/?ref_=fn_tt_tt_1,,6.6
99,9,975,47814,3500,Julian Richings,http://www.imdb.com/title/tt0146336/?ref_=fn_tt_tt_1,1998,5.5
119,350,18000,52846,35501,Swoosie Kurtz,http://www.imdb.com/title/tt0094947/?ref_=fn_tt_tt_1,1988,7.7
110,0,849,6352,2226,Jamie Kennedy,http://www.imdb.com/title/tt1885265/?ref_=fn_tt_tt_1,2012,5.4
107,116,327,15730,552,Susan Hogan,http://www.imdb.com/title/tt0103247/?ref_=fn_tt_tt_1,1991,6.7
