director_name,duration,director_facebook_likes,actor_1_facebook_likes,actor_3_name,plot_keywords,movie_imdb_link,num_user_for_reviews,content_rating,budget,actor_2_facebook_likes,imdb_score
Tom Schulman,95,45,578,Dyan Cannon,camera shot of feet|female stockinged feet|female stockinged soles|nude pantyhose|pantyhose,http://www.imdb.com/title/tt0118541/?ref_=fn_tt_tt_1,49,R,3000000,341,5.3
Terrence Malick,94,0,820,Richard Libertini,farm|farm worker|grasshopper|harvest|wealth,http://www.imdb.com/title/tt0077405/?ref_=fn_tt_tt_1,181,PG,3000000,350,8.0
Jill Sprecher,104,11,11000,Amy Irving,attorney|happiness|house cleaner|physics|professor,http://www.imdb.com/title/tt0268690/?ref_=fn_tt_tt_1,115,R,4500000,813,7.1
Darren Stein,87,18,3000,Jeff Conaway,best friend|bitch|friend|popular girl|prom,http://www.imdb.com/title/tt0155776/?ref_=fn_tt_tt_1,183,R,3500000,2000,5.4
Julian Schnabel,108,232,10000,Courtney Love,andy warhol|art|artist|friendship|street artist,http://www.imdb.com/title/tt0115632/?ref_=fn_tt_tt_1,78,R,3300000,721,6.9
Noah Baumbach,86,387,962,Vanessa Ray,best friend|black and white|father daughter relationship|female protagonist|mother daughter relationship,http://www.imdb.com/title/tt2347569/?ref_=fn_tt_tt_1,139,R,,481,7.4
Gavin Hood,94,151,113,Rapulana Seiphemo,baby|bathing a baby|criminal|slum|vomiting,http://www.imdb.com/title/tt0468565/?ref_=fn_tt_tt_1,177,R,3000000,64,7.3
Todd Solondz,134,377,22000,Dylan Baker,ensemble cast|episodic structure|satire|social satire|suburb,http://www.imdb.com/title/tt0147612/?ref_=fn_tt_tt_1,499,,3000000,11000,7.8
George Gallo,89,269,489,Robert Noble,african american|family relationships|stand up comedian|stand up comedy,http://www.imdb.com/title/tt0337996/?ref_=fn_tt_tt_1,14,R,3000000,26,6.6
Kevin Smith,102,0,40000,Michael Parks,canada|human becoming an animal|mad scientist|part of trilogy|walrus,http://www.imdb.com/title/tt3099498/?ref_=fn_tt_tt_1,261,R,3000000,3000,5.4
Chan-wook Park,120,0,717,Hye-jeong Kang,brother sister relationship|hypnosis|imprisonment|love|revenge,http://www.imdb.com/title/tt0364569/?ref_=fn_tt_tt_1,809,R,3000000,78,8.4
David Nixon,110,13,439,Christopher Schmidt,cancer|faith|hope|letter|prayer,http://www.imdb.com/title/tt1462054/?ref_=fn_tt_tt_1,65,PG,3500000,399,6.3
Jason Eisener,86,59,694,Molly Dunsworth,hobo|pedophile|rampage|shotgun|vigilante,http://www.imdb.com/title/tt1640459/?ref_=fn_tt_tt_1,230,Not Rated,3000000,324,6.1
Enrique Begne,101,0,574,Erick Elias,,http://www.imdb.com/title/tt3367294/?ref_=fn_tt_tt_1,8,R,3000000,327,5.0
Matthew Bright,102,9,904,Robert Peters,freeway|nightmare|police|school|trailer park,http://www.imdb.com/title/tt0116361/?ref_=fn_tt_tt_1,196,R,3000000,281,6.9
Michael Landon Jr.,87,84,702,Brianna Brown,19th century|faith|mayor|ranch|sheriff,http://www.imdb.com/title/tt0785025/?ref_=fn_tt_tt_1,18,PG,3000000,366,7.2
Andrea Arnold,123,121,13000,Jason Maza,15 year old|dancing|essex|little sister|suburb,http://www.imdb.com/title/tt1232776/?ref_=fn_tt_tt_1,112,Not Rated,,260,7.3
Whit Stillman,99,89,962,Zach Woods,college|college campus|dance craze|depression|fraternity,http://www.imdb.com/title/tt1667307/?ref_=fn_tt_tt_1,54,PG-13,,476,5.7
,173,,723,Megalyn Echikunwoke,author cameo|family relationships|island|monster|two part tv movie,http://www.imdb.com/title/tt0156205/?ref_=fn_tt_tt_1,33,,,539,5.0
Leslye Headland,87,21,4000,Andrew Rannells,bachelorette party|drug use|high school|overdose|wedding dress,http://www.imdb.com/title/tt1920849/?ref_=fn_tt_tt_1,129,R,3000000,3000,5.3
,44,,786,Zach Grenier,brains|exploding head|politician|swarm behavior|washington d.c.,http://www.imdb.com/title/tt4877736/?ref_=fn_tt_tt_1,28,,,341,7.9
Bobby Roth,120,40,912,Lindsey Haun,based on a book|based on a novel|made for tv movie|music school|support,http://www.imdb.com/title/tt0403118/?ref_=fn_tt_tt_1,27,PG-13,,750,5.0
Tim Heidecker,93,78,536,Bob Ross,film in film|man with glasses|reference to steven spielberg|self referential|shopping mall,http://www.imdb.com/title/tt1855401/?ref_=fn_tt_tt_1,71,R,3000000,317,5.3
Rupert Wyatt,111,81,3000,Griffin Cleveland,dog|gambler|gambling|gangster|professor,http://www.imdb.com/title/tt2039393/?ref_=fn_tt_tt_1,145,R,25000000,571,6.0
,60,,40,Tim Healy,concierge|front desk|hotel|maid|prostitute,http://www.imdb.com/title/tt0118327/?ref_=fn_tt_tt_1,20,,,37,7.6
Marco Kreuzpaintner,98,7,289,Robert Stadlober,friend|friendship|rowing|storm|summer camp,http://www.imdb.com/title/tt0420206/?ref_=fn_tt_tt_1,56,R,2700000,38,7.4
Kate Connor,100,27,1000,Brendan Fehr,,http://www.imdb.com/title/tt1282046/?ref_=fn_tt_tt_1,8,R,3000000,902,5.9
Deon Taylor,88,26,487,Noah Segan,blood splatter|chain|murder|mysterious killer|warning,http://www.imdb.com/title/tt1148200/?ref_=fn_tt_tt_1,48,R,5000000,298,4.1
Jason Alexander,97,700,599,Peter Onorati,1955 chevrolet|nurse|peeping tom|reference to brooklyn dodgers|spying,http://www.imdb.com/title/tt0162236/?ref_=fn_tt_tt_1,25,R,3000000,325,6.7
Xavier Gens,122,87,2000,Rosanna Arquette,doggystyle sex|rough sex|sodomy|torture|violent sex,http://www.imdb.com/title/tt1535616/?ref_=fn_tt_tt_1,226,R,3000000,683,5.8
Conor McPherson,86,0,767,Jim Norton,ghost|irish|kissing|novelist|widower,http://www.imdb.com/title/tt1346961/?ref_=fn_tt_tt_1,31,R,,122,6.2
Will Canon,83,8,798,Aaron Yoo,death|detective|house|missing|supernatural,http://www.imdb.com/title/tt1841642/?ref_=fn_tt_tt_1,39,R,3000000,634,5.3
Philip Zlotorynski,80,0,231,David Douglas,independent film|spoof,http://www.imdb.com/title/tt0385890/?ref_=fn_tt_tt_1,24,R,3000000,27,3.3
Tim Burton,108,13000,40000,Anne Hathaway,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736,PG,200000000,25000,6.5
Lance Kawas,90,66,1000,Talia Shire,actor|italian american|mexico|orphan|usa,http://www.imdb.com/title/tt1390404/?ref_=fn_tt_tt_1,1,PG-13,3000000,975,6.2
Francesca Gregorini,96,15,433,Chris Kattan,boarding school|coming of age|female friendship|lesbian|new england,http://www.imdb.com/title/tt1151410/?ref_=fn_tt_tt_1,14,R,3000000,396,5.9
Marcio Garcia,85,74,652,Emily Nelson,dealer|drugs|killer|police,http://www.imdb.com/title/tt1922679/?ref_=fn_tt_tt_1,9,,3000000,124,5.5
David Wain,83,136,3000,Jack McBrayer,halloween party|new york city|racism|romcom|spoof,http://www.imdb.com/title/tt2398249/?ref_=fn_tt_tt_1,85,R,,1000,5.5
Craig Moss,80,19,319,Olivia Alexander,exorcism|female nudity|haunted house|lesbian kiss|masturbation,http://www.imdb.com/title/tt2417650/?ref_=fn_tt_tt_1,13,R,3000000,302,2.6
Michael Jai White,90,2000,2000,Jillian Murray,bad cop|college|second part|sequel|wrestler,http://www.imdb.com/title/tt1754264/?ref_=fn_tt_tt_1,30,R,3000000,606,5.8
John Boorman,92,128,756,Carroll O'Connor,criminal|gangster|money|revenge|violence,http://www.imdb.com/title/tt0062138/?ref_=fn_tt_tt_1,128,Approved,3000000,754,7.4
Paolo Monico,100,3,1000,Salvatore Santone,number in title|single father,http://www.imdb.com/title/tt1252289/?ref_=fn_tt_tt_1,1,,3000000,810,5.1
Youssef Delara,88,8,2000,Jason Priestley,dubstep|tied feet,http://www.imdb.com/title/tt2229377/?ref_=fn_tt_tt_1,9,,800000,715,5.2
Darin Scott,95,39,1000,John Robinson,eugene oregon|independent film|obsession,http://www.imdb.com/title/tt1327601/?ref_=fn_tt_tt_1,15,R,3000000,747,4.8
Christian Sesma,82,9,904,Brett Wagner,police officer|police officer taken hostage,http://www.imdb.com/title/tt2048865/?ref_=fn_tt_tt_1,8,R,3000000,779,3.9
Monte Hellman,97,96,201,Fabio Testi,19th century|based on novel|disfigurement|harpooner|independent film,http://www.imdb.com/title/tt0095354/?ref_=fn_tt_tt_1,9,,3000000,39,6.2
Kenneth Branagh,105,0,2000,Lily James,dress|duke|fairy godmother|fairy tale|pumpkin,http://www.imdb.com/title/tt1661199/?ref_=fn_tt_tt_1,323,PG,95000000,520,7.0
Brian Caunter,94,0,854,Frank Vincent,detective|killer|police|shootout|thong,http://www.imdb.com/title/tt1085382/?ref_=fn_tt_tt_1,14,R,3000000,602,6.2
Chris D'Arienzo,95,7,2000,Shea Whigham,doctor|letter|paternity|sex|testicles,http://www.imdb.com/title/tt0482461/?ref_=fn_tt_tt_1,20,R,,536,5.9
Walter Salles,113,179,119,Othon Bastos,brazil|letter|rio de janeiro brazil|sertao|teacher,http://www.imdb.com/title/tt0140888/?ref_=fn_tt_tt_1,257,R,2900000,14,8.0
Frank Capra,136,964,931,Thomas Mitchell,1930s|apple|dude|luck|new york city,http://www.imdb.com/title/tt0055312/?ref_=fn_tt_tt_1,40,Approved,2900000,416,7.3
Isaac Florentine,80,81,640,Scott Evans,corrupt sheriff|drug cartel|flash drive|niece|sheriff,http://www.imdb.com/title/tt3511596/?ref_=fn_tt_tt_1,31,,3000000,277,4.9
Susan Seidelman,105,39,267,Brenda Vaccaro,title spoken by character,http://www.imdb.com/title/tt0439478/?ref_=fn_tt_tt_1,27,R,1500000,225,6.5
Michael Polish,90,35,216,Mia Barron,child in peril|electroshock therapy|memory|memory loss|teenage girl,http://www.imdb.com/title/tt2837336/?ref_=fn_tt_tt_1,15,,3000000,158,4.3
Heidi Ewing,93,4,875,Tempestt Bledsoe,cheating|economics|experiment|human nature|sumo wrestling,http://www.imdb.com/title/tt1152822/?ref_=fn_tt_tt_1,23,PG-13,3000000,412,6.4
Richard Donner,107,503,264,Billie Whitelaw,ambassador|death|hospital|priest|stillborn child,http://www.imdb.com/title/tt0075005/?ref_=fn_tt_tt_1,310,R,2800000,139,7.6
Alexandre Aja,89,192,447,Oana Pellea,car chase|plot twist|police van|rear ending a car|slasher,http://www.imdb.com/title/tt0338095/?ref_=fn_tt_tt_1,539,Unrated,2200000,236,6.8
Leon Ford,90,18,130,Kelly Paterniti,alter ego|awkwardness|office|scientist|superhero,http://www.imdb.com/title/tt1509803/?ref_=fn_tt_tt_1,32,PG-13,,96,6.1
Hank Braxtan,89,6,679,Allegra Carpenter,alaska|climate change|global|polar bear|scientific,http://www.imdb.com/title/tt3551400/?ref_=fn_tt_tt_1,17,R,3000000,234,4.0
Craig Brewer,116,153,275,Elise Neal,baby|friend|hip hop|pimp|stripper,http://www.imdb.com/title/tt0410097/?ref_=fn_tt_tt_1,206,R,8000000,247,7.4
Billy Wilder,120,0,105,George Raft,all girl band|band|cross dressing|musician|yacht,http://www.imdb.com/title/tt0053291/?ref_=fn_tt_tt_1,350,Not Rated,2883848,103,8.3
John Carl Buechler,88,152,935,William Butler,death|jason voorhees|massacre|slaughter|telekinesis,http://www.imdb.com/title/tt0095179/?ref_=fn_tt_tt_1,270,R,2800000,448,5.3
Victor Fleming,102,149,695,Billie Burke,evil witch|tornado|witch|wizard|wizard of oz,http://www.imdb.com/title/tt0032138/?ref_=fn_tt_tt_1,533,Passed,2800000,421,8.1
Mel Brooks,106,0,1000,Teri Garr,assistant|castle|experiment|frankenstein's monster|scientist,http://www.imdb.com/title/tt0072431/?ref_=fn_tt_tt_1,315,PG,2800000,595,8.0
George A. Romero,95,0,569,Joe Dinicol,barn|film student|hospital|mummy|video camera,http://www.imdb.com/title/tt0848557/?ref_=fn_tt_tt_1,332,R,2000000,529,5.7
Rajkumar Hirani,144,124,464,Jimmy Shergill,love|professor of history|radio|satyagraha|unscrupulous builder,http://www.imdb.com/title/tt0456144/?ref_=fn_tt_tt_1,106,PG-13,120000000,426,8.2
Victor Nunez,113,9,402,Vanessa Zima,beekeeper|bound and gagged|dysfunctional family|man with glasses|tied to a chair,http://www.imdb.com/title/tt0120402/?ref_=fn_tt_tt_1,57,R,2700000,222,7.1
Carroll Ballard,118,19,481,Hoyt Axton,black horse|boy horse relationship|horse|rescued by a horse|training,http://www.imdb.com/title/tt0078872/?ref_=fn_tt_tt_1,90,G,2700000,81,7.4
Rohit Jugraj,141,2,258,Diljit Dosanjh,,http://www.imdb.com/title/tt4080386/?ref_=fn_tt_tt_1,8,,3000000,85,6.6
Thorbjørn Christoffersen,90,0,122,Casper Christensen,crew|cult film|denmark|earth|wristwatch,http://www.imdb.com/title/tt1095423/?ref_=fn_tt_tt_1,6,Not Rated,,33,5.7
John Ford,109,673,756,Jack Warden,falling into water|medical doctor|priest|roof leak|swimming in the ocean,http://www.imdb.com/title/tt0057007/?ref_=fn_tt_tt_1,65,Not Rated,2686585,370,6.9
Alex van Warmerdam,95,53,20,Henri Garcin,bare breasts|bra|panties|topless female nudity|underwear,http://www.imdb.com/title/tt0116729/?ref_=fn_tt_tt_1,5,,2650000,3,7.0
Victor Fleming,122,149,760,Irene Dunne,heaven|pilot|teacher|training|world war two,http://www.imdb.com/title/tt0035959/?ref_=fn_tt_tt_1,27,Passed,2627000,675,7.0
Mel Brooks,93,0,1000,Harvey Korman,railroad|reference to douglas fairbanks|reference to jesse owens|reference to randolph scott|year 1874,http://www.imdb.com/title/tt0071230/?ref_=fn_tt_tt_1,363,R,2600000,1000,7.8
Joseph Zito,97,17,158,Kimberly Beck,friday the thirteenth|hockey mask|jason voorhees|morgue|slasher,http://www.imdb.com/title/tt0087298/?ref_=fn_tt_tt_1,326,R,1800000,84,5.9
Pawel Pawlikowski,82,84,88,Agata Kulesza,convent|jew|jewish|nun|poland,http://www.imdb.com/title/tt2718492/?ref_=fn_tt_tt_1,123,PG-13,,64,7.4
James Ivory,140,133,443,Simon Callow,homosexuality|love|male full frontal nudity|male rear nudity|one word title,http://www.imdb.com/title/tt0093512/?ref_=fn_tt_tt_1,69,R,2600000,249,7.8
Frank Sebastiano,86,3,833,Seymour Cassel,baseball|baseball movie|beer|slacker|softball,http://www.imdb.com/title/tt0453453/?ref_=fn_tt_tt_1,53,R,2800000,549,6.0
Rand Ravich,109,7,40000,Clea DuVall,astronaut|electrocuted in bathtub|mission|pilot|sister,http://www.imdb.com/title/tt0138304/?ref_=fn_tt_tt_1,260,R,34000000,9000,5.3
Stacy Peralta,105,147,52,Laird John Hamilton,beach|surfing|surfing contest|two word title|wave,http://www.imdb.com/title/tt0389326/?ref_=fn_tt_tt_1,37,PG-13,,52,7.9
Nacho Vigalondo,66,76,123,Bárbara Goenaga,binoculars|hitchcockian|scissors|time machine|woods,http://www.imdb.com/title/tt0480669/?ref_=fn_tt_tt_1,124,R,2600000,76,7.2
Hao Ning,99,0,11,Zheng Xu,color in title,http://www.imdb.com/title/tt0851515/?ref_=fn_tt_tt_1,4,,15000000,4,7.4
Tony Giglio,100,6,331,Beth Broderick,hiking|voyeur|voyeurism|west virginia|woods,http://www.imdb.com/title/tt0857295/?ref_=fn_tt_tt_1,47,R,2600000,272,5.3
Stanley Donen,103,134,804,Cyd Charisse,actress|chorus girl|fan|friend|love,http://www.imdb.com/title/tt0045152/?ref_=fn_tt_tt_1,568,Approved,2540800,786,8.3
Joe Cross,97,65,65,Amy Badberg,fat|food|health|juice|obese,http://www.imdb.com/title/tt1227378/?ref_=fn_tt_tt_1,25,,2500000,2,7.6
Michael Tiddes,86,89,713,J.B. Smoove,hamburger|parody|priest|psychic|woman in a bikini,http://www.imdb.com/title/tt2243537/?ref_=fn_tt_tt_1,107,R,2500000,584,5.1
Dinesh D'Souza,87,67,871,Dinesh D'Souza,critically bashed|partisan commentary|political propoganda|punctuation in title|reenactment,http://www.imdb.com/title/tt2247692/?ref_=fn_tt_tt_1,199,PG,2500000,118,5.1
Rob Zombie,119,0,908,Margot Kidder,halloween|hospital|michael myers|rampage|vomiting,http://www.imdb.com/title/tt1311067/?ref_=fn_tt_tt_1,491,R,15000000,764,4.9
Tom Hanks,149,15000,15000,Ethan Embry,band|drummer|jazz|pennsylvania|song,http://www.imdb.com/title/tt0117887/?ref_=fn_tt_tt_1,212,PG,26000000,9000,6.9
Tommy Lee Wallace,98,24,381,Nancy Kyes,doctor|factory|halloween|holiday horror|stonehenge,http://www.imdb.com/title/tt0085636/?ref_=fn_tt_tt_1,532,R,2500000,128,4.6
Don Taylor,98,11,595,Sal Mineo,ape|fear|future|spacecraft|spaceship,http://www.imdb.com/title/tt0067065/?ref_=fn_tt_tt_1,92,G,2500000,521,6.3
Martin Ritt,112,58,617,Whit Bissell,alcoholism|forename as title|rancher|rodeo cowboy|texas,http://www.imdb.com/title/tt0057163/?ref_=fn_tt_tt_1,120,Approved,2500000,189,7.9
Leslie Small,75,15,1000,Dana Hanna,lying|montreal|reference to twitter|reference to youtube|toronto,http://www.imdb.com/title/tt2609912/?ref_=fn_tt_tt_1,30,R,2500000,309,6.7
Gus Van Sant,104,835,18000,Flea,friend|hustler|italy|narcolepsy|traveling,http://www.imdb.com/title/tt0102494/?ref_=fn_tt_tt_1,153,R,2500000,595,7.1
Zach Braff,102,0,625,Jill Flint,actor|doctor|drugs|home|pain,http://www.imdb.com/title/tt0333766/?ref_=fn_tt_tt_1,978,R,2500000,379,7.6
Richard Linklater,105,0,15,Dominik Castell,american|conversations|kiss|love|train,http://www.imdb.com/title/tt0112471/?ref_=fn_tt_tt_1,395,R,2500000,12,8.1
Éric Tessier,99,0,50,Jean Pierre Bergeron,canadian gothic|hospital|murder|paranormal|supernatural,http://www.imdb.com/title/tt0380732/?ref_=fn_tt_tt_1,5,,3200000,16,6.6
Alison Maclean,107,7,745,Mark Webber,hospital|love|mennonite|shower|song,http://www.imdb.com/title/tt0186253/?ref_=fn_tt_tt_1,87,R,2500000,631,7.0
Alice Wu,96,13,643,Jessica Hecht,chinese|chinese american|lesbian love|mother daughter relationship|surgeon,http://www.imdb.com/title/tt0384504/?ref_=fn_tt_tt_1,84,R,,265,7.6
Sarah Gavron,101,34,56,Tannishtha Chatterjee,arranged marriage|bangladesh|buckingham palace|september 11 2001|title directed by female,http://www.imdb.com/title/tt0940585/?ref_=fn_tt_tt_1,29,PG-13,,41,6.7
Jake Schreier,89,14,902,Ana Gasteyer,burglary|dementia|near future|robot|thief,http://www.imdb.com/title/tt1990314/?ref_=fn_tt_tt_1,84,PG-13,2500000,291,7.1
Isabel Coixet,106,148,900,Amanda Plummer,cancer|death|doctor|drinking|love,http://www.imdb.com/title/tt0314412/?ref_=fn_tt_tt_1,134,R,2000000,648,7.6
James Ponsoldt,95,53,8000,Dayo Okeniyi,crying man|high school|high school senior|men's clothing store|party,http://www.imdb.com/title/tt1714206/?ref_=fn_tt_tt_1,178,R,2500000,1000,7.1
Randall Miller,34,19,882,Michael Bower,student film|wonder years,http://www.imdb.com/title/tt0283465/?ref_=fn_tt_tt_1,2,,34000,577,7.1
Larry Charles,101,119,334,Steve Burg,catholic|christian|jew|muslim|religion,http://www.imdb.com/title/tt0815241/?ref_=fn_tt_tt_1,345,R,2500000,4,7.7
Joshua Tickell,112,9,860,George W. Bush,alternative energy|energy|fuel|green|oil,http://www.imdb.com/title/tt1294164/?ref_=fn_tt_tt_1,34,Not Rated,2500000,130,7.6
Tim Boxell,100,10,655,Tom Bower,,http://www.imdb.com/title/tt0472200/?ref_=fn_tt_tt_1,3,,2500000,157,6.6
Rawson Marshall Thurber,92,43,989,Joel David Moore,dodgeball|gym|las vegas|pirate|ups,http://www.imdb.com/title/tt0364725/?ref_=fn_tt_tt_1,392,PG-13,20000000,939,6.7
Michael D. Sellers,100,0,640,George Harris,dolphin|island|research|tourist|town,http://www.imdb.com/title/tt0465407/?ref_=fn_tt_tt_1,18,PG-13,2500000,261,5.7
Reed Cowan,80,0,191,Gavin Newsom,church|marriage|mormon|mormon church|proposition,http://www.imdb.com/title/tt1484522/?ref_=fn_tt_tt_1,30,R,2500000,12,7.1
James Dodson,106,8,611,Shriya Saran,birthday|call center|fiance|hotel|indian,http://www.imdb.com/title/tt1049405/?ref_=fn_tt_tt_1,26,PG-13,14000000,397,6.2
Stefan Ruzowitzky,103,24,127,Sebastian Blomberg,dissection|male pubic hair|medical school|medical student|train,http://www.imdb.com/title/tt0187696/?ref_=fn_tt_tt_1,110,R,8400000,10,6.1
Alex Rivera,90,8,426,Tenoch Huerta,computer|future|mexican immigrant|network|wilhelm scream,http://www.imdb.com/title/tt0804529/?ref_=fn_tt_tt_1,40,PG-13,2500000,399,5.9
James Gunn,96,571,2000,Paul T. Taylor,drug dealer|superhero|tragedy|tragic hero|tragic love,http://www.imdb.com/title/tt1512235/?ref_=fn_tt_tt_1,203,R,2500000,973,6.8
John Murlowski,89,20,794,Lochlyn Munro,boss|holiday|letter|north pole|santa,http://www.imdb.com/title/tt1663628/?ref_=fn_tt_tt_1,7,TV-PG,2500000,607,5.8
Benni Diez,87,2,968,David Masterson,catering|monster|one word title|party|wasp,http://www.imdb.com/title/tt3300572/?ref_=fn_tt_tt_1,23,Not Rated,2500000,625,5.0
Danny Perez,94,0,1000,Mark Webber,,http://www.imdb.com/title/tt3333870/?ref_=fn_tt_tt_1,2,,3500000,677,6.3
Spike Lee,120,0,1000,Andre Braugher,actor|bus|march|million man march|religion,http://www.imdb.com/title/tt0116404/?ref_=fn_tt_tt_1,35,R,2400000,748,6.8
Robby Henson,101,9,973,Justine Waddell,bound with duct tape|flash forward|number|riddle|stalking,http://www.imdb.com/title/tt0486028/?ref_=fn_tt_tt_1,90,PG-13,2400000,872,5.1
Mike Judge,84,406,586,David Herman,experiment|future|hibernation|stupidity|top secret,http://www.imdb.com/title/tt0387808/?ref_=fn_tt_tt_1,434,R,,497,6.6
Zackary Adler,110,0,490,Kris Sommerville,,http://www.imdb.com/title/tt2945796/?ref_=fn_tt_tt_1,26,R,2500000,159,5.0
Shane Meadows,101,222,1000,Jack O'Connell,england|racism|racist|skinhead|violence,http://www.imdb.com/title/tt0480025/?ref_=fn_tt_tt_1,192,Unrated,1500000,788,7.7
Dominic Burns,101,15,844,Bianca Brigitte VanDamme,acronym in title|period in title|title ends with period,http://www.imdb.com/title/tt2040578/?ref_=fn_tt_tt_1,82,R,2500000,722,3.1
George Sidney,101,24,675,Red Skelton,college|teacher|theatrical producer|tutu|wedding,http://www.imdb.com/title/tt0036628/?ref_=fn_tt_tt_1,28,Passed,2361000,659,6.5
Carmen Marron,105,29,847,Rene Rosado,exclamation point in title|imperative in title|punctuation in title|three word title,http://www.imdb.com/title/tt1307926/?ref_=fn_tt_tt_1,10,PG-13,2450000,618,3.9
Tim McCanlies,97,23,982,Alexandra Holden,best friend|friendship|population|state in title|texas,http://www.imdb.com/title/tt0118925/?ref_=fn_tt_tt_1,63,PG,,599,6.8
George Sidney,108,24,960,Howard Keel,gambling|interracial marriage|love|miscegenation|showboat,http://www.imdb.com/title/tt0044030/?ref_=fn_tt_tt_1,46,Approved,2295429,715,7.0
Mario Van Peebles,95,535,1000,Luke Perry,death of loved one|loss of father|loss of loved one|musician|singer,http://www.imdb.com/title/tt1470020/?ref_=fn_tt_tt_1,9,PG-13,,646,5.9
Jason Stone,108,14,2000,Christopher Heyerdahl,bouquet|house fire|praying|serial killer|tied to a chair,http://www.imdb.com/title/tt1666335/?ref_=fn_tt_tt_1,28,R,,1000,5.8
Jerry Rees,90,115,11000,Mindy Sterling,journey|obsolescence|radio|toaster|vacuum cleaner,http://www.imdb.com/title/tt0092695/?ref_=fn_tt_tt_1,62,Not Rated,2300000,516,7.3
James Algar,120,11,16,,apprentice|classical music|disney|mouse|orchestra,http://www.imdb.com/title/tt0032455/?ref_=fn_tt_tt_1,230,G,2280000,0,7.8
William Friedkin,104,607,813,Tony Lo Bianco,crime boss|drug smuggling|heroin|mafia boss|organized crime,http://www.imdb.com/title/tt0067116/?ref_=fn_tt_tt_1,280,R,1800000,165,7.8
Jaco Booyens,90,37,210,Ivette Alvarez,,http://www.imdb.com/title/tt3111864/?ref_=fn_tt_tt_1,3,PG-13,2500000,0,6.9
Steve Miner,91,49,72,Catherine Parks,defecation|hockey mask|jason voorhees|lake|serial killer,http://www.imdb.com/title/tt0083972/?ref_=fn_tt_tt_1,372,R,4000000,31,5.7
Danny Steinmann,92,13,42,Dominick Brascia,jason voorhees|murder|new jersey|nightmare|teenager,http://www.imdb.com/title/tt0089173/?ref_=fn_tt_tt_1,342,R,2200000,27,4.7
