actor_3_facebook_likes,num_voted_users,facenumber_in_poster,title_year,actor_2_facebook_likes
95,96690,2,2000,110
263,40858,0,1996,780
497,67191,1,2011,549
947,88049,0,2008,962
562,18042,1,2013,591
243,207686,0,1992,273
34,29205,1,1996,40
135,145422,2,1998,2000
163,46239,0,1996,416
594,49207,0,2014,722
537,104066,4,2012,591
215,35830,1,2003,518
241,27191,1,1999,509
327,44453,2,2003,390
490,67005,3,2008,509
591,36877,0,2012,796
539,199056,0,2008,963
581,40346,1,1996,11000
552,38533,3,1996,617
530,96654,0,2004,893
877,54787,1,2007,2000
352,110614,0,2005,460
67,13215,0,2003,640
745,8983,0,1997,879
506,10417,2,2009,605
518,24285,4,2014,2000
287,11148,0,2004,579
676,61680,1,2010,828
46,62607,1,2004,52
177,67822,0,1962,367
534,19706,1,2002,854
845,158267,1,2002,919
835,232710,1,2008,3000
565,39247,3,2012,11000
889,267980,1,1990,1000
2000,58658,0,2005,4000
240,68417,1,2006,245
420,76331,4,1980,467
43,41620,0,2003,62
581,20740,0,2006,12000
577,58416,0,2000,1000
753,86347,1,1997,808
653,224013,1,2001,691
303,21283,1,2001,708
3000,115216,7,2015,19000
310,101221,0,2006,638
963,217480,0,2009,1000
1000,155496,0,2007,3000
466,6082,1,1998,637
681,18310,1,2007,3000
3000,525801,0,2002,15000
304,216032,0,2012,1000
931,102167,1,2006,957
838,145974,1,2008,11000
11000,95437,12,2010,12000
379,66382,5,2005,534
463,138941,0,1998,568
634,136680,2,2011,10000
21,100743,1,1999,27
574,333542,2,1995,721
75,97775,1,2010,135
343,42324,3,2003,691
79,185878,1,2000,624
523,21396,1,2006,560
728,15740,0,2006,1000
12000,220758,2,2009,17000
21,467113,1,2001,50
593,200035,2,2011,963
720,145257,0,1991,11000
597,189923,0,1996,743
1000,471644,1,2012,3000
285,224671,0,1997,440
878,80580,1,1998,22000
7000,131227,2,2013,8000
828,110432,1,2002,11000
417,287822,0,2011,560
658,135246,0,2000,883
651,156717,2,2003,1000
584,258186,2,2014,920
4000,239752,0,1994,10000
1000,271691,1,2008,11000
569,33354,2,2016,919
701,46482,2,1998,818
322,54010,2,2015,2000
10000,101178,1,2014,11000
277,273108,2,2006,412
416,111368,1,1999,495
293,34471,0,1995,387
1000,111003,3,2011,13000
329,186879,0,2009,748
11000,58412,2,2006,11000
874,71153,0,2005,989
7000,375456,7,2011,15000
58,58961,0,2004,258
660,27548,1,2004,843
11000,283563,1,2011,18000
808,91176,3,1995,11000
660,200647,0,2014,664
433,43328,3,2009,536
443,791783,1,2005,979
55,81444,2,2003,131
132,1824,2,,171
1000,12845,0,2006,2000
541,36431,1,2005,651
477,40362,0,2001,912
467,159868,2,2013,520
372,63067,0,2002,593
144,195043,1,2011,348
414,109188,0,2005,903
681,47764,0,2016,726
679,45580,1,2014,995
935,50170,1,2006,11000
826,39529,0,1997,1000
957,60326,1,1997,2000
283,261069,1,1997,294
368,172792,0,2006,495
585,48322,1,2000,4000
1000,172112,7,2012,1000
294,107227,2,1998,822
159,54101,0,2014,298
174,60293,1,1994,289
767,68428,0,1990,823
3000,136973,1,2014,3000
258,46451,2,1997,273
706,151580,1,2004,919
186,74315,1,2004,1000
323,45895,3,2003,886
158,17997,1,1994,643
717,20310,1,2005,722
39,176169,0,2000,414
434,30890,1,2004,508
72,58349,0,2009,119
432,26034,0,1999,743
5,4438,1,,7
210,34896,1,1996,472
1000,11257,0,2010,2000
447,80140,0,2010,563
401,43574,0,2002,455
282,62981,0,1995,13000
163,86374,0,2007,184
323,18404,1,1999,559
201,92461,3,2013,329
511,49926,0,2003,631
581,34356,1,2002,1000
294,80196,0,2009,450
764,54021,0,1996,898
398,7945,2,,512
521,128455,1,1999,631
639,139535,8,2004,1000
303,3077,1,2016,552
256,88270,0,2003,14000
730,19829,5,2005,923
655,76010,2,2015,988
509,189249,1,2007,6000
795,63599,3,2005,1000
15,55889,0,1999,40
11000,85237,3,2011,11000
692,46239,0,2011,694
317,16562,2,1997,713
479,33186,1,1994,619
2000,12037,1,1995,3000
405,38513,2,2010,3000
600,33535,3,,845
897,58015,0,2005,940
602,9227,0,1995,979
1000,113483,1,2009,8000
592,67796,7,2013,852
809,34730,2,2002,811
1000,34964,4,2016,8000
338,15880,5,2004,387
591,8070,0,2000,602
982,81800,1,2011,2000
77,19824,2,2009,342
848,77684,1,2001,5000
184,50391,8,,531
380,14429,5,1990,560
830,90932,2,2009,882
215,170684,0,2000,399
440,515306,5,1989,844
0,70886,1,2012,35
502,172965,0,2015,2000
308,120202,2,1999,11000
237,206104,0,2002,324
235,1263,0,2006,555
393,137854,1,1999,490
194,40568,3,2015,254
261,93367,8,2001,629
1000,148490,1,2001,12000
821,64595,1,2001,1000
484,81888,2,2000,575
886,12771,1,1984,5000
600,237872,1,2007,8000
482,133436,0,2014,794
23,71708,1,1998,745
302,122347,1,1996,1000
59,5639,0,1998,102
327,47819,1,1990,631
835,73068,0,1999,977
807,22447,1,2001,811
535,172489,1,1982,954
12,54057,0,1972,29
677,8693,3,2006,769
77,11913,1,1996,115
692,98199,1,1997,1000
135,47573,4,2001,973
319,218771,0,2002,509
906,97838,2,1996,1000
364,45729,1,2010,541
826,40126,1,1996,13000
255,220392,1,1997,418
345,2581,1,2016,423
522,491,1,1981,623
628,60884,2,1994,664
558,238671,0,2012,935
750,111526,7,2003,780
213,137377,1,2000,337
311,85323,0,2008,3000
995,53687,2,2004,1000
956,59569,0,1993,8000
551,45798,3,1994,577
760,184795,1,2007,2000
308,81442,1,1992,530
586,43358,0,2005,949
1000,383591,2,2013,15000
854,305929,2,2001,881
436,123558,3,1999,724
179,119590,7,2001,422
84,75176,3,2011,91
595,191437,1,1998,650
730,92702,0,2005,807
67,57281,0,2002,108
514,73539,0,1997,902
560,90539,5,2000,625
548,318634,9,2003,14000
1000,211226,0,1998,1000
140,124765,1,2001,1000
20,50148,2,1994,279
808,37911,0,1996,843
559,5888,0,1968,584
3000,30255,1,2005,8000
651,155745,0,2005,2000
631,9380,1,2004,641
443,149549,1,2007,706
734,87165,0,2014,11000
501,21215,1,2006,976
132,32544,1,1994,894
563,20688,1,1995,845
404,104301,4,2012,463
167,79141,1,2004,216
252,114692,1,2003,304
8000,30055,1,2006,11000
202,97087,3,1984,362
107,91860,0,2007,117
10000,152591,0,2008,14000
795,112769,2,2006,929
510,81523,0,2008,844
322,15455,1,1996,461
451,24757,0,1996,484
553,16580,3,2009,701
19,42621,0,2001,44
2000,35140,3,2005,8000
20,203461,0,2012,107
579,27648,0,1996,642
820,11388,2,2000,861
805,23996,0,1995,5000
501,132423,2,2010,766
855,26551,0,1998,1000
826,15697,0,2008,1000
10,36455,2,2006,52
61,48245,1,2008,68
865,17307,2,2002,1000
50,19114,0,2007,202
114,15762,9,,116
269,3803,2,1997,623
104,89568,1,2011,141
500,4377,0,2012,611
650,452465,1,2012,660
812,213668,1,1993,1000
789,96565,1,2010,1000
893,154487,3,1996,11000
668,117606,0,1985,738
643,13995,1,1996,2000
40,90360,0,1940,48
678,9830,0,1980,849
520,156225,1,2006,845
287,28618,2,2015,1000
225,73006,1,2000,370
664,34597,1,2000,10000
5000,85198,1,2005,5000
16,46158,3,2002,28
957,88844,0,1993,1000
135,47364,1,2010,268
350,117999,0,2011,956
839,408302,2,2012,971
427,203269,1,1999,437
206,140499,0,2000,530
650,106909,1,2004,923
547,20183,1,1992,558
749,133177,7,2013,815
595,21554,2,1963,726
491,74169,2,2012,828
505,30077,1,2002,3000
292,11453,0,1996,592
395,63677,0,2002,537
412,119622,1,2009,442
275,74009,0,1989,349
913,91151,2,2011,2000
808,42547,1,2001,9000
687,38203,0,1993,922
16,248123,2,2005,43
576,149414,4,2002,643
497,34203,1,2012,786
365,247020,4,2014,392
433,22309,1,2010,489
253,1558,1,,284
52,24657,4,2009,172
196,187181,0,2002,418
6,590,0,2015,152
996,137003,1,2001,3000
96,29861,1,2003,312
766,704766,0,1999,3000
54,125198,6,2012,81
296,34809,0,2011,574
225,126907,0,1984,641
14000,358416,5,2013,23000
723,227824,1,2009,896
298,56646,0,1999,489
690,340085,0,1989,869
903,327367,0,2014,11000
716,220020,0,2015,935
2000,40227,3,2003,4000
1000,99558,3,1996,11000
597,75152,15,2003,2000
127,203963,0,2013,449
251,71754,3,1992,923
336,64989,0,2016,575
81,479453,0,2010,349
49,132048,7,2009,50
807,93748,8,2006,869
71,98535,4,2000,157
690,283480,0,1990,869
