actor_1_facebook_likes,actor_3_name,facenumber_in_poster,country,budget
11000,Denis O'Hare,0,USA,5000000
10000,Donald Glover,0,USA,3300000
716,Jorja Fox,0,USA,9000000
972,Garrett Ryan,0,USA,5000000
1000,Brian O'Halloran,3,USA,5000000
838,Jamie Draven,0,UK,5000000
7000,Jim Rash,1,USA,5000000
901,Helen Martin,0,USA,5000000
492,Tom Burlinson,0,Australia,3500000
2000,Alice Playten,1,USA,5000000
205,June Carter Cash,1,USA,5000000
977,Diana Scarwid,1,USA,5000000
11000,Steve Coogan,1,USA,5000000
882,David Kross,0,Canada,
