num_critic_for_reviews,duration,actor_3_facebook_likes,actor_1_facebook_likes,actor_1_name,movie_title,cast_total_facebook_likes,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,budget,title_year,actor_2_facebook_likes,aspect_ratio
9,96,0,90,Álex Angulo,Hidden Away ,90,0,best friend|deportation|moroccan|unrequited love|xenophobia,http://www.imdb.com/title/tt3289362/?ref_=fn_tt_tt_1,7,Spanish,Spain,,2014,0,2.35
21,90,360,898,Nicole Beharie,My Last Day Without You ,2116,1,business trip|german|love|new york|singer songwriter,http://www.imdb.com/title/tt1679248/?ref_=fn_tt_tt_1,12,English,USA,1000000,2011,395,1.66
,138,110,592,Wesley Jonathan,Steppin: The Movie ,1350,6,,http://www.imdb.com/title/tt0826751/?ref_=fn_tt_tt_1,1,English,USA,1000000,2009,207,
1,84,402,10000,William McNamara,Doc Holliday's Revenge ,11466,3,1880s|cowboy|low budget film|shoot out|wild west,http://www.imdb.com/title/tt3359872/?ref_=fn_tt_tt_1,6,English,USA,1000000,2014,854,1.78
95,83,37,224,Katie Aselton,Black Rock ,344,1,bare breasts|female frontal nudity|hunter|island|weekend,http://www.imdb.com/title/tt1930294/?ref_=fn_tt_tt_1,47,English,USA,,2012,59,1.85
40,96,177,335,David Oakes,Truth or Die ,1226,2,cabin in the woods|drinking acid|introvert|lesbian kiss|truth or dare,http://www.imdb.com/title/tt1838722/?ref_=fn_tt_tt_1,41,English,UK,1000000,2012,334,2.35
6,94,0,92,Magi Avila,The Pet ,109,0,dominance submissiveness|female nudity|human branding|human pet|power exchange,http://www.imdb.com/title/tt0825728/?ref_=fn_tt_tt_1,24,English,USA,1000000,2006,17,
16,90,36,57,Boyd Banks,Bang Bang Baby ,231,2,,http://www.imdb.com/title/tt2655734/?ref_=fn_tt_tt_1,16,English,Canada,1000000,2014,40,
39,95,253,677,Angelina Armani,Fear Clinic ,1825,0,bare breasts|based on web series|claustrophobia|doctor|phobia,http://www.imdb.com/title/tt2165765/?ref_=fn_tt_tt_1,19,English,USA,1000000,2015,366,2.35
150,93,115,214,Jason K. Wixom,Zombie Hunter ,656,2,desert|drifter|seduction|siege|zombie,http://www.imdb.com/title/tt2446502/?ref_=fn_tt_tt_1,30,English,USA,1000000,2013,211,2.35
1,111,426,657,Justin Baldoni,A Fine Step ,2677,0,,http://www.imdb.com/title/tt1604100/?ref_=fn_tt_tt_1,1,,USA,1000000,2014,608,
393,101,888,3000,Rosario Dawson,Trance ,5056,0,amnesia|criminal|heist|hypnotherapy|lost painting,http://www.imdb.com/title/tt1924429/?ref_=fn_tt_tt_1,212,English,UK,20000000,2013,1000,2.35
32,103,113,754,Cliff Robertson,Charly ,1567,0,disability|experiment|genius|intelligence|mouse,http://www.imdb.com/title/tt0062794/?ref_=fn_tt_tt_1,55,English,USA,,1968,605,2.35
78,87,302,696,Monique Candelaria,Banshee Chapter ,1618,1,experiment|lsd|missing friend|mk ultra|radio broadcast,http://www.imdb.com/title/tt2011276/?ref_=fn_tt_tt_1,56,English,Germany,950000,2013,371,
,30,223,775,Eric Lloyd,Jesse             ,1713,8,1990s|brother sister relationship|female protagonist|single mother|sitcom,http://www.imdb.com/title/tt0156196/?ref_=fn_tt_tt_1,14,English,USA,,,275,
8,100,354,529,Kimberly Williams-Paisley,Ask Me Anything ,2468,1,bare breasts|female protagonist,http://www.imdb.com/title/tt2505294/?ref_=fn_tt_tt_1,64,English,USA,950000,2014,413,
6,90,558,1000,Vanessa Williams,And Then Came Love ,2504,1,facebook|imdb|mediaatlarge.com|mediaatlargellc|sperm donor,http://www.imdb.com/title/tt0825346/?ref_=fn_tt_tt_1,4,English,USA,989000,2007,569,
9,83,17,56,Alma Martinez,Food Chains ,104,0,two word title,http://www.imdb.com/title/tt2141739/?ref_=fn_tt_tt_1,3,English,USA,913000,2014,28,
134,108,279,10000,Marlon Brando,On the Waterfront ,11094,2,death|dock|longshoreman|murder|union,http://www.imdb.com/title/tt0047296/?ref_=fn_tt_tt_1,281,English,USA,910000,1954,416,1.85
18,100,501,945,Justin Kirk,L!fe Happens ,2924,8,friendship|los angeles california|one night stand|roommate|single mother,http://www.imdb.com/title/tt1726589/?ref_=fn_tt_tt_1,15,English,USA,930000,2011,756,2.35
233,113,27,131,Anamaria Marinca,4 Months, 3 Weeks and 2 Days ,264,0,female rear nudity|friend|hotel|rainy night|towel,http://www.imdb.com/title/tt1032846/?ref_=fn_tt_tt_1,172,Romanian,Romania,590000,2007,60,1.85
10,97,76,1000,Javier Botet,The Horror Network Vol. 1 ,1343,0,anthology,http://www.imdb.com/title/tt3034146/?ref_=fn_tt_tt_1,3,English,USA,3000000,2015,171,
231,104,0,109,Odessa Rae,Hard Candy ,117,0,chatting|missing person poster|online dating|photographer|sexual predator,http://www.imdb.com/title/tt0424136/?ref_=fn_tt_tt_1,651,English,USA,950000,2005,8,2.35
65,91,659,982,Katy Mixon,The Quiet ,3299,0,deaf|death|dysfunctional family|godparent|secret,http://www.imdb.com/title/tt0414951/?ref_=fn_tt_tt_1,90,English,USA,900000,2005,796,2.35
76,107,127,144,Sarah Kazemy,Circumstance ,509,1,closeted lesbian|iranian|islamophobia|propaganda|teenager,http://www.imdb.com/title/tt1684628/?ref_=fn_tt_tt_1,43,Persian,France,,2011,127,2.35
327,85,88,282,Ahna O'Reilly,Fruitvale Station ,687,0,22 year old|b.a.r.t.|bay area|birthday|police,http://www.imdb.com/title/tt2334649/?ref_=fn_tt_tt_1,168,English,USA,900000,2013,270,1.85
62,101,727,975,Jack McBrayer,The Brass Teapot ,4184,2,mini dress|mini skirt|money|voyeur|voyeurism,http://www.imdb.com/title/tt1935902/?ref_=fn_tt_tt_1,39,English,USA,900000,2012,947,2.35
116,70,8,16,Sam Edwards,Bambi ,63,0,animal|bambi|deer|forest|hunter,http://www.imdb.com/title/tt0034492/?ref_=fn_tt_tt_1,136,English,USA,,1942,12,1.33
73,88,102,465,John Enos III,The Hammer ,897,1,birthday|boxing|coach|gym|olympics,http://www.imdb.com/title/tt0814130/?ref_=fn_tt_tt_1,23,English,USA,850000,2007,140,
238,112,874,12000,Dwayne Johnson,Snitch ,15800,1,cigarette smoking|dea|drugs|inspired by true events|undercover,http://www.imdb.com/title/tt0882977/?ref_=fn_tt_tt_1,122,English,USA,15000000,2013,1000,2.35
35,107,522,23000,Joseph Gordon-Levitt,Latter Days ,26017,2,christian|male frontal nudity|mormon|mormon missionary|nudity,http://www.imdb.com/title/tt0345551/?ref_=fn_tt_tt_1,252,English,USA,850000,2003,813,1.85
2,78,0,0,Stana Roumillac,Elza ,0,1,foreign|french,http://www.imdb.com/title/tt1852001/?ref_=fn_tt_tt_1,2,French,France,900000,2011,0,16.0
6,90,734,904,Bokeem Woodbine,1982 ,5435,4,number in title|semi autobiographical,http://www.imdb.com/title/tt2388621/?ref_=fn_tt_tt_1,3,English,USA,1000000,2013,782,
115,88,567,938,James Wolk,For a Good Time, Call... ,3770,0,friend|friendship|gay|phone sex|sex,http://www.imdb.com/title/tt1996264/?ref_=fn_tt_tt_1,34,English,USA,850000,2012,904,2.35
193,92,172,904,Ari Graynor,Celeste & Jesse Forever ,1751,2,best friends|friendship|masturbation|reference to matthias steiner|single,http://www.imdb.com/title/tt1405365/?ref_=fn_tt_tt_1,61,English,USA,,2012,517,2.35
16,95,221,284,Gavin MacLeod,Time Changer ,1185,1,bible|christian propaganda|christianity|time machine|zealot,http://www.imdb.com/title/tt0295725/?ref_=fn_tt_tt_1,158,English,USA,825000,2002,234,1.85
68,85,141,418,Lorraine Stanley,London to Brighton ,926,0,bathroom|chase|girl|pimp|toilet,http://www.imdb.com/title/tt0490166/?ref_=fn_tt_tt_1,72,English,UK,500000,2006,146,2.35
16,86,175,489,Eddie Griffin,American Hero ,1278,2,father son relationship|female nudity|mother daughter relationship|reconciliation|superhero,http://www.imdb.com/title/tt4733536/?ref_=fn_tt_tt_1,23,English,USA,990000,2015,207,
7,90,487,1000,Tommy O'Reilly,Windsor Drive ,3336,1,,http://www.imdb.com/title/tt2311428/?ref_=fn_tt_tt_1,6,English,USA,100000,2015,806,
354,123,620,786,Shahab Hosseini,A Separation ,2501,2,alzheimer's disease|caregiver|divorce|iran|iranian,http://www.imdb.com/title/tt1832382/?ref_=fn_tt_tt_1,264,Persian,Iran,500000,2011,712,1.85
16,93,10,49,Jo Hartley,Crying with Laughter ,81,1,cocaine|edinburgh scotland|stand up comedian,http://www.imdb.com/title/tt1349478/?ref_=fn_tt_tt_1,6,English,UK,,2009,11,
74,88,236,529,Heather Matarazzo,Welcome to the Dollhouse ,1502,1,bully|first crush|school|social outcast|taunting,http://www.imdb.com/title/tt0114906/?ref_=fn_tt_tt_1,174,English,USA,800000,1995,502,1.85
11,114,86,159,Allison Dean,Ruby in Paradise ,423,1,desire|florida|identity|resort town|sales,http://www.imdb.com/title/tt0108000/?ref_=fn_tt_tt_1,28,English,USA,800000,1993,143,1.85
59,88,68,302,Victor Rasuk,Raising Victor Vargas ,663,1,based on short film|manhattan new york city|urination|vomiting|watching television,http://www.imdb.com/title/tt0316188/?ref_=fn_tt_tt_1,135,English,France,800000,2002,270,1.85
71,110,3,426,Louise Brooks,Pandora's Box ,455,1,escape|femme fatale|german expressionism|lust|violence,http://www.imdb.com/title/tt0018737/?ref_=fn_tt_tt_1,84,German,Germany,,1929,20,1.33
5,95,167,940,Martin Landau,Harrison Montgomery ,1484,2,abusive relationship|character name in title|magic|san francisco california|tenderloin san francisco,http://www.imdb.com/title/tt0870118/?ref_=fn_tt_tt_1,1,English,USA,850000,2008,188,1.78
25,83,0,24,Norma Aleandro,Live-In Maid ,29,0,buenos aires argentina|economics|housekeeper|maid|servant,http://www.imdb.com/title/tt0356453/?ref_=fn_tt_tt_1,11,Spanish,Argentina,800000,2004,5,
29,104,501,574,Kevin Pollak,Deterrence ,1983,0,colorado|diner|iraq|nuclear missile|president,http://www.imdb.com/title/tt0158583/?ref_=fn_tt_tt_1,79,English,France,800000,1999,573,1.85
17,94,181,262,Zachary Knighton,The Mudge Boy ,991,1,death|farm|fur coat|grief|misfit,http://www.imdb.com/title/tt0339419/?ref_=fn_tt_tt_1,30,English,USA,800000,2003,262,
13,87,258,1000,Leslie Bibb,The Young Unknowns ,2359,0,based on play|independent film,http://www.imdb.com/title/tt0186719/?ref_=fn_tt_tt_1,3,English,USA,,2000,749,
6,93,152,247,Shane Dawson,Not Cool ,954,4,,http://www.imdb.com/title/tt3569356/?ref_=fn_tt_tt_1,72,English,USA,600000,2014,217,
224,91,13,35,Bjørn Sundquist,Dead Snow ,116,0,medical student|nazi|snow|snowmobile|zombie,http://www.imdb.com/title/tt1278340/?ref_=fn_tt_tt_1,200,Norwegian,Norway,800000,2009,16,1.85
33,90,69,214,Corbin Allred,Saints and Soldiers ,587,0,ardennes forest|battle of the bulge|behind enemy lines|winter|world war two in belgium,http://www.imdb.com/title/tt0373283/?ref_=fn_tt_tt_1,157,English,USA,780000,2003,115,
1,14,37,134,Taylor Pigeon,Vessel ,315,1,alien|flight attendant|monster|pilot|tentacle,http://www.imdb.com/title/tt2164708/?ref_=fn_tt_tt_1,3,English,USA,,2012,93,
100,112,425,11000,Harrison Ford,American Graffiti ,14954,1,california|car|drag racing|high school|rock 'n' roll,http://www.imdb.com/title/tt0069704/?ref_=fn_tt_tt_1,238,English,USA,777000,1973,2000,2.35
21,75,0,25,Scott Helvenston,Iraq for Sale: The War Profiteers ,25,0,american politics|armed forces|political corruption|shady|war profiteer,http://www.imdb.com/title/tt0815181/?ref_=fn_tt_tt_1,24,English,USA,750000,2006,0,1.78
82,86,357,2000,Tina Fey,Aqua Teen Hunger Force Colon Movie Film for Theaters ,3071,0,based on cult tv series|critically acclaimed|exercise machine|midnight movie|robot,http://www.imdb.com/title/tt0455326/?ref_=fn_tt_tt_1,73,English,USA,750000,2007,424,1.85
271,86,522,934,Mary Lynn Rajskub,Safety Not Guaranteed ,2714,0,classified ad|intern|magazine|time machine|time travel,http://www.imdb.com/title/tt1862079/?ref_=fn_tt_tt_1,260,English,USA,750000,2012,830,2.35
5,89,95,312,Isaac C. Singleton Jr.,Kevin Hart: Laugh at My Pain ,548,1,stand up comedy,http://www.imdb.com/title/tt1999192/?ref_=fn_tt_tt_1,8,English,USA,,2011,135,1.85
255,95,246,513,MyAnna Buring,Kill List ,1269,0,female full frontal nudity|hitman|knee breaking|male full frontal nudity|sniper,http://www.imdb.com/title/tt1788391/?ref_=fn_tt_tt_1,209,English,UK,500000,2011,257,2.35
292,101,74,969,Lena Dunham,The Innkeepers ,1252,0,bathtub|dead body in a bathtub|dead body in bathtub|hotel|inn,http://www.imdb.com/title/tt1594562/?ref_=fn_tt_tt_1,247,English,USA,750000,2011,128,2.35
178,89,389,10000,Gary Oldman,The Unborn ,12183,1,babysitting|experiment|nightmare|possession|twin,http://www.imdb.com/title/tt1139668/?ref_=fn_tt_tt_1,230,English,USA,16000000,2009,787,2.35
120,106,48,319,Jean-Louis Trintignant,The Conformist ,500,1,fascist|gun|italy|nudity|sexuality,http://www.imdb.com/title/tt0065571/?ref_=fn_tt_tt_1,101,Italian,Italy,750000,1970,90,1.66
31,88,21,108,Raymond J. Barry,Interview with the Assassin ,243,0,conspiracy theory|kennedy assassination|mock documentary|paranoia,http://www.imdb.com/title/tt0308411/?ref_=fn_tt_tt_1,31,English,USA,750000,2002,72,1.78
114,99,201,1000,Julian Morris,Donkey Punch ,1558,0,male frontal nudity|male nudity|male pubic hair|male rear nudity|spain,http://www.imdb.com/title/tt0988849/?ref_=fn_tt_tt_1,74,English,UK,900000,2008,233,1.85
233,90,280,935,Luke Grimes,All the Boys Love Mandy Lane ,2170,1,drugs|female nudity|party|voyeur|voyeurism,http://www.imdb.com/title/tt0490076/?ref_=fn_tt_tt_1,129,English,USA,750000,2006,611,2.35
8,95,118,717,Dichen Lachman,Bled ,1117,0,artist|blood|drug|tree sap|vampire,http://www.imdb.com/title/tt0997143/?ref_=fn_tt_tt_1,30,English,USA,750000,2009,134,1.85
153,85,433,998,Gary Cooper,High Noon ,2496,0,appeasement|frontier justice|justice|one against many|street shootout,http://www.imdb.com/title/tt0044706/?ref_=fn_tt_tt_1,333,English,USA,750000,1952,575,1.37
53,170,2,7,William Gates,Hoop Dreams ,15,0,athlete|basketball|high school|high school student|school,http://www.imdb.com/title/tt0110057/?ref_=fn_tt_tt_1,74,English,USA,700000,1994,6,1.33
49,86,14,262,Kevin Scott Richardson,Rize ,321,0,clown|clowning|dance|gang|south central los angeles,http://www.imdb.com/title/tt0436724/?ref_=fn_tt_tt_1,46,English,USA,,2005,23,1.33
4,,567,22000,Peter Dinklage,Destiny ,26578,0,first person shooter,http://www.imdb.com/title/tt2983582/?ref_=fn_tt_tt_1,11,English,USA,,2014,4000,
64,97,36,80,Adam LeFevre,L.I.E. ,209,1,ephebophile|pederasty|pedophilia|playing hooky|shaving,http://www.imdb.com/title/tt0242587/?ref_=fn_tt_tt_1,109,English,USA,700000,2001,67,1.85
23,104,195,601,Laura Fraser,The Sisterhood of Night ,1581,,accused of witchcraft|based on short story,http://www.imdb.com/title/tt1015471/?ref_=fn_tt_tt_1,17,English,USA,1000000,2014,524,2.35
8,88,311,618,Aimee Garcia,B-Girl ,2476,0,brooklyn new york city|los angeles california|teacher|trauma|violence,http://www.imdb.com/title/tt0964179/?ref_=fn_tt_tt_1,10,English,USA,,2009,592,
446,201,84,6000,Naomi Watts,King Kong ,7122,0,animal name in title|ape abducts a woman|gorilla|island|king kong,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2618,English,New Zealand,207000000,2005,918,2.35
