actor_2_name,gross,genres,actor_3_name,language,content_rating,movie_facebook_likes
Richard T. Jones,34507079,Action|Comedy|Crime,Michael Mosley,English,PG-13,0
Lucy Gordon,18306166,Adventure|Drama|Romance|War,Alex Jennings,English,PG-13,0
Clifton Collins Jr.,17609982,Action|Crime|Romance|Thriller,Wendell Pierce,English,R,17000
Jon Favreau,16831505,Comedy|Romance|Sport,Austin Nichols,English,PG-13,0
Brooke Shields,17596256,Comedy|Family,Matt Prokop,English,PG,0
Cariba Heine,,Action|Horror|Sci-Fi,Richard Brancatisano,English,R,0
Alun Armstrong,,Action|Adventure|Fantasy,Lysette Anthony,English,PG,0
Tom Cruise,14998070,Drama|Thriller|War,Andrew Garfield,English,R,0
Dann Florek,14587732,Action|Drama|Thriller|War,Christopher Rich,English,PG-13,452
Nat Faxon,18317151,Comedy|Music,Matt Price,English,R,0
Scott Glenn,11405825,Drama,Jason Behr,English,R,0
Ronny Cox,13264986,Action|Western,Harris Yulin,English,PG-13,433
Jim Broadbent,10991381,Biography|Drama|History|Romance,Thomas Kretschmann,English,PG,0
Bashar Rahal,10268846,Action|Crime|Mystery|Thriller,Shawn Doyle,English,R,0
Tye Sheridan,13303319,Drama|Fantasy,Fiona Shaw,English,PG-13,39000
Lela Rochon,10076136,Action|Comedy|Thriller,Ray Nicholas,English,R,471
Martin Donovan,10499968,Action|Crime|Drama|Thriller,Maurice Compte,English,R,10000
Mark Addy,7659747,Action|Mystery|Thriller,Benno Fürmann,English,R,704
