director_name,num_critic_for_reviews,director_facebook_likes,actor_3_facebook_likes,gross,actor_1_name,movie_title,num_voted_users,facenumber_in_poster,country,content_rating,budget,imdb_score,aspect_ratio
,51,,256,,Ruth Wilson,Luther             ,70568,1,UK,TV-MA,,8.6,16.0
Richard Donner,10,503,697,4651977,Adam Baldwin,Radio Flyer ,10410,3,USA,PG-13,35000000,6.9,2.35
Taylor Hackford,12,138,672,4496583,Delroy Lindo,Blood In, Blood Out ,23181,2,USA,R,35000000,8.0,1.66
Bille August,50,55,918,2221994,Jim Broadbent,Smilla's Sense of Snow ,11747,1,Denmark,R,35000000,6.4,2.35
Brian De Palma,149,0,115,6592103,Peter Coyote,Femme Fatale ,28584,1,France,R,35000000,6.3,1.85
Moustapha Akkad,24,278,249,,Oliver Reed,Lion of the Desert ,9852,0,Libya,PG,35000000,8.4,2.35
Jean-Paul Rappeneau,28,22,45,1877179,Olivier Martinez,The Horseman on the Roof ,4885,1,France,R,,7.1,2.35
Ang Lee,95,0,0,630779,Jeremy W. Auman,Ride with the Devil ,11101,0,USA,R,35000000,6.8,2.35
Alejandro G. Iñárritu,288,0,7,5100937,Maricel Álvarez,Biutiful ,68885,0,Mexico,R,,7.5,2.35
Roland Joffé,10,596,282,,Tamsin Egerton,The Lovers ,2138,3,Belgium,R,,4.5,
Joachim Rønning,58,18,324,,Salma Hayek,Bandidas ,28848,2,France,PG-13,32000000,5.7,2.35
Tony Kaye,,194,816,,Bill Cobbs,Black Water Transit ,219,0,USA,,23000000,7.2,
Wes Ball,297,47,129,102413606,Ki Hong Lee,The Maze Runner ,310903,0,USA,PG-13,34000000,6.8,2.35
Ken Scott,90,31,141,10214013,Tom Wilkinson,Unfinished Business ,23072,2,USA,R,35000000,5.4,2.35
Martin Scorsese,56,17000,94,32000000,Richard E. Grant,The Age of Innocence ,36267,3,USA,PG,30000000,7.2,2.35
Darren Aronofsky,274,0,1000,10139254,Hugh Jackman,The Fountain ,190990,0,USA,PG-13,35000000,7.3,1.85
Hugh Johnson,68,3,239,11227940,David Paymer,Chill Factor ,8367,0,USA,R,34000000,5.2,2.35
Simon West,98,165,566,183125,Nicolas Cage,Stolen ,36914,1,USA,R,35000000,5.5,2.35
Hayao Miyazaki,256,6000,2,15081783,Rumi Hiiragi,Ponyo ,85589,0,Japan,G,34000000,7.7,1.85
George Tillman Jr.,117,88,954,37432299,Tiago Riani,The Longest Ride ,50041,0,USA,PG-13,34000000,7.1,2.35
Rand Ravich,107,7,1000,10654581,Johnny Depp,The Astronaut's Wife ,45497,0,USA,R,34000000,5.3,1.85
Hugh Hudson,52,46,292,6543194,Liam Aiken,I Dreamed of Africa ,3740,1,USA,PG-13,34000000,5.6,2.35
Gabriele Muccino,135,125,2000,13101142,Gerard Butler,Playing for Keeps ,23916,5,USA,PG-13,35000000,5.7,2.35
Justin Chadwick,211,56,38,8324748,Terry Pheto,Mandela: Long Walk to Freedom ,21223,1,UK,PG-13,35000000,7.1,2.35
Warren Beatty,57,631,521,,Paul Sorvino,Reds ,16255,0,USA,PG,35000000,7.5,1.85
Rob Reiner,81,0,574,141340178,Tom Cruise,A Few Good Men ,181879,0,USA,R,40000000,7.6,2.35
Andrzej Bartkowiak,107,43,655,51758599,Michael Jai White,Exit Wounds ,27580,0,USA,R,33000000,5.5,2.35
Raja Gosnell,100,67,330,117559438,Nia Long,Big Momma's House ,66941,1,USA,PG-13,30000000,5.1,1.85
Jeremy Degruson,60,0,11,4091,Kyle Hebert,Thunder and the House of Magic ,4265,0,Belgium,,34000000,6.3,2.35
Chris Gorak,195,21,48,21426805,Max Minghella,The Darkest Hour ,49312,0,USA,PG-13,30000000,4.9,2.35
Scott Speer,121,35,433,35057332,Ryan Guzman,Step Up Revolution ,45394,0,USA,PG-13,33000000,6.5,2.35
David R. Ellis,285,160,491,34014398,Lin Shaye,Snakes on a Plane ,115649,0,Germany,R,33000000,5.6,2.35
Joe Charbanic,103,10,178,28927720,Keanu Reeves,The Watcher ,22220,0,USA,R,33000000,5.3,1.85
Jonathan Hensleigh,192,36,336,33682273,Laura Harring,The Punisher ,124242,1,USA,R,33000000,6.5,2.35
Danny Cannon,90,41,577,4280577,Sean Pertwee,Goal! The Dream Begins ,50919,0,USA,PG-13,10000000,6.8,2.35
Boaz Yakin,258,132,317,17120019,Jason Statham,Safe ,83097,2,USA,R,30000000,6.5,2.35
Mike Newell,56,179,551,8406264,Angelina Jolie Pitt,Pushing Tin ,24826,3,USA,R,38000000,6.0,2.35
Richard Marquand,197,37,504,309125409,Harrison Ford,Star Wars: Episode VI - Return of the Jedi ,681857,0,USA,PG,32500000,8.4,2.35
Neil Marshall,254,197,43,10955425,Ryan Kruger,Doomsday ,62770,1,UK,R,30000000,6.0,2.35
Stephen Daldry,299,335,50,34180954,Kate Winslet,The Reader ,189812,0,USA,R,32000000,7.6,1.85
David Wain,163,136,833,17225675,Justin Theroux,Wanderlust ,62198,2,USA,R,,5.6,1.85
Jon Favreau,152,4000,8000,173381405,Peter Dinklage,Elf ,147597,1,USA,PG,33000000,6.9,1.85
Jon Turteltaub,53,226,796,104632573,Robert Duvall,Phenomenon ,63839,1,USA,PG,32000000,6.4,2.35
Brian Levant,67,32,521,81150692,James Coburn,Snow Dogs ,20219,1,Canada,PG,35000000,5.1,1.85
Richard Donner,88,503,1000,60328558,Bill Murray,Scrooged ,61396,1,USA,PG-13,32000000,7.0,1.85
Jared Hess,163,100,327,80197993,Ana de la Reguera,Nacho Libre ,65551,1,Germany,PG,32000000,5.7,1.85
Paul Feig,371,176,460,169076745,Matt Lucas,Bridesmaids ,218711,6,USA,R,32500000,6.8,2.35
Evan Goldberg,418,133,9000,101470202,Channing Tatum,This Is the End ,310540,6,USA,R,32000000,6.7,2.35
Rupert Wainwright,131,9,573,50041732,Nia Long,Stigmata ,54390,0,USA,R,29000000,6.2,2.35
George Tillman Jr.,98,88,975,48814909,Robert De Niro,Men of Honor ,89424,0,USA,R,32000000,7.2,2.35
John Luessenhop,119,34,1000,57744720,Paul Walker,Takers ,46961,5,USA,PG-13,20000000,6.2,2.35
Justin Zackham,133,16,2000,21784432,Robin Williams,The Big Wedding ,37493,8,USA,R,35000000,5.6,2.35
John Whitesell,88,14,534,37911876,Brandon T. Jackson,Big Mommas: Like Father, Like Son ,19671,2,USA,PG-13,32000000,4.4,2.35
Duncan Jones,522,0,355,54696902,Jake Gyllenhaal,Source Code ,379462,3,USA,PG-13,32000000,7.5,1.85
Frank Marshall,43,155,240,36733909,Illeana Douglas,Alive ,38949,3,USA,R,32000000,7.1,1.85
Joel Schumacher,224,541,897,35063732,Logan Lerman,The Number 23 ,164608,1,USA,R,32000000,6.4,2.35
Jean-Pierre Jeunet,122,0,223,99462,Callum Rennie,The Young and Prodigious T.S. Spivet ,11347,1,France,PG,33000000,7.1,2.35
Steven Spielberg,56,14000,642,,Christopher Lee,1941 ,25193,5,USA,PG,35000000,5.9,2.35
John Gatins,75,61,83,32701088,Ken Howard,Dreamer: Inspired by a True Story ,10018,1,USA,PG,32000000,6.9,2.35
David Cronenberg,441,0,882,31493782,Viggo Mortensen,A History of Violence ,186606,1,USA,R,32000000,7.5,1.85
Louis Leterrier,163,255,810,43095600,Jason Statham,Transporter 2 ,156267,1,France,PG-13,32000000,6.3,2.35
Sam Raimi,63,0,159,18636537,Leonardo DiCaprio,The Quick and the Dead ,69197,0,Japan,R,32000000,6.4,1.85
Peter Howitt,90,29,142,17848322,Frances Fisher,Laws of Attraction ,18771,1,Ireland,PG-13,28000000,5.9,2.35
Martin Scorsese,163,17000,245,16640210,Nicolas Cage,Bringing Out the Dead ,53028,0,USA,R,55000000,6.8,2.35
Miguel Sapochnik,197,238,447,13763130,Alice Braga,Repo Men ,87768,0,USA,R,32000000,6.3,2.35
Hyung-rae Shim,93,26,535,10956379,Robert Forster,Dragon Wars: D-War ,21506,0,South Korea,PG-13,35000000,3.6,2.35
Norman Jewison,15,278,179,4357000,Haley Joel Osment,Bogus ,5176,3,USA,PG,30000000,5.3,1.85
Don Scardino,260,35,7000,22525921,Steve Buscemi,The Incredible Burt Wonderstone ,60596,4,USA,PG-13,30000000,5.9,2.35
Mark Dindal,18,10,826,3562749,George Kennedy,Cats Don't Dance ,5600,0,USA,G,32000000,6.9,1.33
Tim Robbins,70,0,876,2899970,Bill Murray,Cradle Will Rock ,8039,2,USA,R,32000000,6.9,2.35
Steven Soderbergh,183,0,308,1304837,Tony Curran,The Good German ,21481,2,USA,R,32000000,6.1,1.66
Tom Reeve,12,0,239,,Joan Plowright,George and the Dragon ,3088,4,USA,PG,32000000,5.7,2.35
Francis Ford Coppola,261,0,3000,78800000,Harrison Ford,Apocalypse Now ,450676,1,USA,R,31500000,8.5,2.35
Nanette Burstein,167,8,472,17797316,Rob Riggle,Going the Distance ,50523,0,USA,R,32000000,6.3,2.35
Stephen Herek,42,65,320,82528097,Alicia Witt,Mr. Holland's Opus ,30230,1,USA,PG,6500000,7.3,2.35
Ariel Vromen,130,34,24,14268533,Gary Oldman,Criminal ,17319,2,UK,R,31500000,6.3,2.35
Sydney Pollack,66,521,184,87100000,Meryl Streep,Out of Africa ,52339,0,USA,PG,31000000,7.2,1.85
Robert Zemeckis,449,0,874,93749203,Denzel Washington,Flight ,264047,0,USA,R,31000000,7.3,2.35
Lewis Gilbert,121,43,177,62700000,Desmond Llewelyn,Moonraker ,69534,2,UK,PG,34000000,6.3,2.35
Wes Anderson,536,0,670,59073773,Bill Murray,The Grand Budapest Hotel ,475518,0,USA,R,25000000,8.1,1.37
Scott Hicks,135,96,442,24185781,Anthony Hopkins,Hearts in Atlantis ,30339,1,USA,PG-13,31000000,6.9,2.35
Frank Marshall,74,155,125,53133888,Julian Sands,Arachnophobia ,50389,0,USA,PG-13,31000000,6.3,1.85
Gregory Hoblit,168,40,617,44983704,Dennis Quaid,Frequency ,81866,0,USA,PG-13,31000000,7.3,2.35
Paul Feig,464,176,322,118099659,Ed Begley Jr.,Ghostbusters ,69790,4,USA,PG-13,144000000,5.5,2.35
John Francis Daley,204,0,816,58879132,Chris Hemsworth,Vacation ,66123,4,USA,R,31000000,6.1,2.35
Barry Sonnenfeld,96,188,482,72077000,Delroy Lindo,Get Shorty ,62986,4,USA,R,30250000,6.9,1.85
Rob Marshall,223,252,90,170684505,Colm Feore,Chicago ,172080,0,USA,PG-13,45000000,7.2,1.85
Dennis Dugan,112,221,781,163479795,Steve Buscemi,Big Daddy ,161858,0,USA,PG-13,34200000,6.4,1.85
J.B. Rogers,142,6,1000,145096820,Alyson Hannigan,American Pie 2 ,200260,0,USA,R,30000000,6.4,1.85
John Lasseter,166,487,802,191796233,Tom Hanks,Toy Story ,623757,1,USA,G,30000000,8.3,1.85
Jan de Bont,114,101,780,121248145,Keanu Reeves,Speed ,260981,0,USA,R,25000000,7.2,2.35
Michael Sucsy,214,23,281,125014030,Channing Tatum,The Vow ,145852,0,USA,PG-13,30000000,6.8,2.35
Tom Vaughan,126,12,946,11854694,Harrison Ford,Extraordinary Measures ,14281,2,USA,PG,31000000,6.5,1.85
Boaz Yakin,157,132,1000,115648585,Ryan Gosling,Remember the Titans ,160776,1,USA,PG,30000000,7.8,2.35
John McTiernan,104,323,495,122012643,Scott Glenn,The Hunt for Red October ,143696,1,USA,PG,30000000,7.6,2.35
Lee Daniels,304,304,898,116631310,Alex Pettyfer,Lee Daniels' The Butler ,87665,0,USA,PG-13,30000000,7.2,1.85
Rawson Marshall Thurber,191,43,936,114324072,Gary Cole,Dodgeball: A True Underdog Story ,185338,0,USA,PG-13,20000000,6.7,2.35
Barry Sonnenfeld,55,188,436,113502246,Anjelica Huston,The Addams Family ,96607,0,USA,PG-13,38000000,6.8,1.85
Steve Oedekerk,59,176,460,108360000,Bruce Spence,Ace Ventura: When Nature Calls ,160321,0,USA,PG-13,30000000,6.3,2.35
Garry Marshall,108,0,529,108244774,Anne Hathaway,The Princess Diaries ,94049,2,USA,G,37000000,6.2,1.85
Hugh Wilson,50,37,452,105444419,Stockard Channing,The First Wives Club ,31817,3,USA,PG,26000000,6.2,1.85
David Fincher,216,21000,360,100125340,Morgan Freeman,Se7en ,1023511,0,USA,R,33000000,8.6,2.35
Neill Blomkamp,472,662,107,115646235,Sharlto Copley,District 9 ,531737,0,South Africa,R,30000000,8.0,1.85
Stephen Hillenburg,89,47,217,85416609,Scarlett Johansson,The SpongeBob SquarePants Movie ,58906,0,USA,PG,30000000,7.0,1.85
Clint Eastwood,229,16000,262,90135191,John Doman,Mystic River ,338415,0,USA,R,25000000,8.0,2.35
Clint Eastwood,268,16000,567,100422786,Clint Eastwood,Million Dollar Baby ,482064,1,USA,PG-13,30000000,8.1,2.35
Harold Ramis,145,11000,636,106694016,Robert De Niro,Analyze This ,123940,2,USA,R,30000000,6.7,1.85
Nick Cassavetes,177,415,545,64286,Ryan Gosling,The Notebook ,396396,0,USA,PG-13,29000000,7.9,2.35
Anne Fletcher,175,98,71,76806312,Judy Greer,27 Dresses ,124501,1,USA,PG-13,30000000,6.1,2.35
Peter Chelsom,131,23,635,79566871,Emily Osment,Hannah Montana: The Movie ,31760,2,USA,G,30000000,4.2,1.85
Stig Bergqvist,41,0,786,76501438,Elizabeth Daily,Rugrats in Paris: The Movie ,8146,0,Germany,G,30000000,6.1,1.85
Barbra Streisand,30,0,252,74787599,George Carlin,The Prince of Tides ,12549,1,USA,R,30000000,6.6,1.85
Edward Zwick,57,380,918,66528842,Anthony Hopkins,Legends of the Fall ,112175,2,USA,R,30000000,7.5,1.85
Jason Reitman,391,655,940,83813460,J.K. Simmons,Up in the Air ,270238,0,USA,R,25000000,7.4,1.85
Alexander Payne,217,729,322,65010106,Hope Davis,About Schmidt ,107557,1,USA,R,30000000,7.2,1.85
Jonathan Levine,452,129,7,66359959,Cory Hardrict,Warm Bodies ,184641,0,USA,PG-13,35000000,6.9,2.35
Rian Johnson,589,0,502,66468315,Joseph Gordon-Levitt,Looper ,428916,0,USA,R,30000000,7.4,2.35
Chris Weitz,61,129,560,64172251,Chazz Palminteri,Down to Earth ,19079,1,USA,PG-13,30000000,5.4,1.85
Chris Noonan,79,108,204,66600000,Miriam Margolyes,Babe ,94435,0,Australia,G,30000000,6.8,1.85
David Frankel,234,64,329,63536011,Meryl Streep,Hope Springs ,34258,2,USA,PG-13,30000000,6.3,2.35
Nicholas Stoller,253,89,344,62877175,Mila Kunis,Forgetting Sarah Marshall ,217507,1,USA,R,30000000,7.2,1.85
,51,,690,,Zach Gilford,Friday Night Lights             ,42746,1,USA,TV-14,,8.7,1.78
