director_name,duration,director_facebook_likes,actor_1_facebook_likes,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,plot_keywords,movie_imdb_link,language,country,title_year,actor_2_facebook_likes,aspect_ratio
Hideo Nakata,128,62,6000,Naomi Watts,The Ring Two ,71153,10163,cartoon on tv|foreign language adaptation|second part|videotape|writer,http://www.imdb.com/title/tt0377109/?ref_=fn_tt_tt_1,English,USA,2005,989,1.85
Glenn Ficarra,118,43,33000,Ryan Gosling,"Crazy, Stupid, Love. ",375456,57426,bar|divorce|friend|girl|male objectification,http://www.imdb.com/title/tt1570728/?ref_=fn_tt_tt_1,English,USA,2011,15000,2.39
Peter Hewitt,80,12,13000,Bill Murray,Garfield ,58961,13430,cat|dog|first part|lasagna|veterinarian,http://www.imdb.com/title/tt0356634/?ref_=fn_tt_tt_1,English,USA,2004,258,1.85
Joe Roth,99,148,2000,Jamie Lee Curtis,Christmas with the Kranks ,27548,6729,act of kindness|christmas|christmas eve|neighbor|vacation,http://www.imdb.com/title/tt0388419/?ref_=fn_tt_tt_1,English,USA,2004,843,2.35
Bennett Miller,133,152,22000,Philip Seymour Hoffman,Moneyball ,283563,53094,baseball|meeting|statistics|strategy|voice over,http://www.imdb.com/title/tt1210166/?ref_=fn_tt_tt_1,English,USA,2011,18000,1.85
Wolfgang Petersen,127,249,18000,Kevin Spacey,Outbreak ,91176,30383,disease|epidemic|monkey|quarantine|virus,http://www.imdb.com/title/tt0114069/?ref_=fn_tt_tt_1,English,USA,1995,11000,1.85
Jaume Collet-Serra,106,174,14000,Liam Neeson,Non-Stop ,200647,16967,air marshal|death|passenger|terrorist|transatlantic flight,http://www.imdb.com/title/tt2024469/?ref_=fn_tt_tt_1,English,UK,2014,664,2.35
Andy Fickman,98,99,12000,Dwayne Johnson,Race to Witch Mountain ,43328,14007,alien|military|mountain|spacecraft|ufo,http://www.imdb.com/title/tt1075417/?ref_=fn_tt_tt_1,English,USA,2009,536,2.35
James McTeigue,132,160,20000,Natalie Portman,V for Vendetta ,791783,22417,dystopia|freedom|government|revolution|terrorist,http://www.imdb.com/title/tt0434409/?ref_=fn_tt_tt_1,English,USA,2005,979,2.35
David Dobkin,114,71,154,Fann Wong,Shanghai Knights ,81444,428,1880s|arrow|imperial seal|murder|revenge,http://www.imdb.com/title/tt0300471/?ref_=fn_tt_tt_1,English,USA,2003,131,2.35
,45,,416,Bernard Hill,Unforgotten             ,1824,1816,,http://www.imdb.com/title/tt4192812/?ref_=fn_tt_tt_1,English,UK,,171,
Matthew O'Callaghan,78,5,8000,Will Ferrell,Curious George ,12845,11124,hat|monkey|museum|shrine|yellow,http://www.imdb.com/title/tt0381971/?ref_=fn_tt_tt_1,English,USA,2006,2000,1.85
Angela Robinson,101,23,660,Scoot McNairy,Herbie Fully Loaded ,36431,2177,automobile racing|car|mechanic|nascar|street racing,http://www.imdb.com/title/tt0400497/?ref_=fn_tt_tt_1,English,USA,2005,651,1.85
Gary Fleder,113,39,1000,Oliver Platt,Don't Say a Word ,40362,3341,mental institution|post traumatic stress|psychiatrist|vomiting|voyeur,http://www.imdb.com/title/tt0260866/?ref_=fn_tt_tt_1,English,USA,2001,912,2.35
Tommy Wirkola,98,75,10000,Jeremy Renner,Hansel & Gretel: Witch Hunters ,159868,11946,bounty hunter|brother sister team|death of loved one|hansel and gretel|supernatural power,http://www.imdb.com/title/tt1428538/?ref_=fn_tt_tt_1,English,Germany,2013,520,2.35
Adrian Lyne,124,213,838,Olivier Martinez,Unfaithful ,63067,2583,erotic thriller|infidelity|marital infidelity|unfaithfulness|wife's lover murdered by husband,http://www.imdb.com/title/tt0250797/?ref_=fn_tt_tt_1,English,USA,2002,593,1.85
D.J. Caruso,109,154,15000,Alex Pettyfer,I Am Number Four ,195043,15608,based on young adult novel|good versus evil|guardian|human alien|ohio,http://www.imdb.com/title/tt1464540/?ref_=fn_tt_tt_1,English,USA,2011,348,1.85
Stephen Gaghan,128,79,13000,Matt Damon,Syriana ,109188,14747,cia|hezbollah|lebanon|oil|prince,http://www.imdb.com/title/tt0365737/?ref_=fn_tt_tt_1,English,USA,2005,903,2.35
Michael Bay,144,0,769,Toby Stephens,13 Hours ,47764,3580,based on true story|cia agent|libya|mercenary|u.s. ambassador,http://www.imdb.com/title/tt4172430/?ref_=fn_tt_tt_1,English,USA,2016,726,2.35
Jorge R. Gutiérrez,95,34,17000,Channing Tatum,The Book of Life ,45580,19513,afterlife|bullfight|bullfighting|love triangle|mexico,http://www.imdb.com/title/tt2262227/?ref_=fn_tt_tt_1,English,USA,2014,995,2.35
Richard Loncraine,105,12,87000,Jimmy Bennett,Firewall ,50170,101383,architect|bank|cayman islands|meeting|murder,http://www.imdb.com/title/tt0408345/?ref_=fn_tt_tt_1,English,USA,2006,11000,2.35
Clint Eastwood,121,16000,16000,Clint Eastwood,Absolute Power ,39529,19139,death|death of wife|murder|thief|violence,http://www.imdb.com/title/tt0118548/?ref_=fn_tt_tt_1,English,USA,1997,1000,2.35
Ridley Scott,125,0,10000,Viggo Mortensen,G.I. Jane ,60326,15569,feminism|hit in the crotch|kicked in the crotch|kicked in the testicles|navy,http://www.imdb.com/title/tt0119173/?ref_=fn_tt_tt_1,English,USA,1997,2000,2.35
David Fincher,129,21000,495,Deborah Kara Unger,The Game ,261069,1397,birthday|falling through a glass roof|game|hitchcockian|suicide,http://www.imdb.com/title/tt0119174/?ref_=fn_tt_tt_1,English,USA,1997,294,2.35
Christophe Gans,132,50,992,Radha Mitchell,Silent Hill ,172792,1933,gothic|police|police officer|silent hill|sleepwalking,http://www.imdb.com/title/tt0384537/?ref_=fn_tt_tt_1,English,Canada,2006,495,2.35
Howard Deutch,118,41,18000,Keanu Reeves,The Replacements ,48322,24024,coach|football player|misfits|strike|sumo wrestler,http://www.imdb.com/title/tt0191397/?ref_=fn_tt_tt_1,English,USA,2000,4000,1.85
Jon Hurwitz,113,22,3000,Alyson Hannigan,American Reunion ,172112,8398,bikini|female female kiss|high school reunion|outdoor sex|upskirt,http://www.imdb.com/title/tt1605630/?ref_=fn_tt_tt_1,English,USA,2012,1000,1.85
F. Gary Gray,140,473,18000,Kevin Spacey,The Negotiator ,107227,20152,hostage|innocence|murder|negotiator|police,http://www.imdb.com/title/tt0120768/?ref_=fn_tt_tt_1,English,Germany,1998,822,2.35
Steven Quale,89,77,490,Matt Walsh,Into the Storm ,54101,1367,danger|graduation|storm|teenage boy|tornado,http://www.imdb.com/title/tt2106361/?ref_=fn_tt_tt_1,English,USA,2014,298,1.85
John Landis,104,644,437,Louis Lombardi,Beverly Hills Cop III ,60293,1093,california|counterfeit|counterfeit money|money|theme park,http://www.imdb.com/title/tt0109254/?ref_=fn_tt_tt_1,English,USA,1994,289,1.85
Joe Dante,106,287,16000,Christopher Lee,Gremlins 2: The New Batch ,68428,19610,gremlin|horror host|hulk hogan|monster|skyscraper,http://www.imdb.com/title/tt0099700/?ref_=fn_tt_tt_1,English,USA,1990,823,1.85
David Dobkin,141,71,21000,Robert Downey Jr.,The Judge ,136973,30183,courtroom|dysfunctional family|indiana|lawyer|trial,http://www.imdb.com/title/tt1872194/?ref_=fn_tt_tt_1,English,USA,2014,3000,2.35
Mimi Leder,124,75,294,Armin Mueller-Stahl,The Peacemaker ,46451,1289,nuclear explosion|nuclear weapon|russia|train|train crash,http://www.imdb.com/title/tt0119874/?ref_=fn_tt_tt_1,English,USA,1997,273,2.35
Alexander Witt,98,38,14000,Milla Jovovich,Resident Evil: Apocalypse ,151580,16791,cover up|monster|strong female character|strong female lead|zombie apocalypse,http://www.imdb.com/title/tt0318627/?ref_=fn_tt_tt_1,English,Germany,2004,919,2.35
Beeban Kidron,108,17,14000,Colin Firth,Bridget Jones: The Edge of Reason ,74315,15634,american actress playing british character|intern|prison|six word title|thailand,http://www.imdb.com/title/tt0317198/?ref_=fn_tt_tt_1,English,UK,2004,1000,2.35
Carl Franklin,114,73,18000,Denzel Washington,Out of Time ,45895,19739,cancer|florida|insurance|life insurance policy|small town,http://www.imdb.com/title/tt0313443/?ref_=fn_tt_tt_1,English,USA,2003,886,2.35
Steven Seagal,101,0,854,Mike Starr,On Deadly Ground ,17997,1860,environmental|murder|oil|oil spill|tribe,http://www.imdb.com/title/tt0110725/?ref_=fn_tt_tt_1,English,USA,1994,643,2.35
Robert Rodriguez,93,0,12000,Taylor Lautner,The Adventures of Sharkboy and Lavagirl 3-D ,20310,14899,boy|bully|dream|dream sequence|planet,http://www.imdb.com/title/tt0424774/?ref_=fn_tt_tt_1,English,USA,2005,722,1.85
Danny Boyle,119,0,29000,Leonardo DiCaprio,The Beach ,176169,29461,love|map|paradise|thailand|travel,http://www.imdb.com/title/tt0163978/?ref_=fn_tt_tt_1,English,USA,2000,414,2.35
Garry Marshall,119,0,627,Amber Valletta,Raising Helen ,30890,2052,fashion show|female protagonist|love|pastor|queens new york city,http://www.imdb.com/title/tt0350028/?ref_=fn_tt_tt_1,English,USA,2004,508,1.85
James McTeigue,99,160,330,Shô Kosugi,Ninja Assassin ,58349,701,critically bashed|kung fu|martial artist|martial arts|ninja,http://www.imdb.com/title/tt1186367/?ref_=fn_tt_tt_1,English,USA,2009,119,2.35
Sam Raimi,137,0,24000,J.K. Simmons,For Love of the Game ,26034,25469,baseball|baseball movie|detroit tigers|perfect game|pitcher,http://www.imdb.com/title/tt0126916/?ref_=fn_tt_tt_1,English,USA,1999,743,2.35
,105,,325,David Jason,A Touch of Frost             ,4438,344,cult tv|death|detective inspector|four word title|internal affairs,http://www.imdb.com/title/tt0108967/?ref_=fn_tt_tt_1,English,UK,,7,1.33
Andrew Bergman,117,31,2000,Demi Moore,Striptease ,34896,3016,bouncer|breasts|congressman|private dancer|stripper,http://www.imdb.com/title/tt0117765/?ref_=fn_tt_tt_1,English,USA,1996,472,1.85
Tom Dey,87,9,15000,Emma Stone,Marmaduke ,11257,20061,dog|great dane|rivalry|talking animal|talking cat,http://www.imdb.com/title/tt1392197/?ref_=fn_tt_tt_1,English,USA,2010,2000,2.35
Clint Eastwood,129,16000,13000,Matt Damon,Hereafter ,80140,14344,death|france|near death experience|tsunami|twin brother,http://www.imdb.com/title/tt1212419/?ref_=fn_tt_tt_1,English,USA,2010,563,2.35
Barbet Schroeder,115,58,33000,Ryan Gosling,Murder by Numbers ,43574,34606,disposing of a dead body|high school student|murder|sociopath|teenage boy,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1,English,USA,2002,455,1.85
Richard Donner,132,503,45000,Muse Watson,Assassins ,62981,58528,assassin|floppy disk|modem|rival|russian,http://www.imdb.com/title/tt0112401/?ref_=fn_tt_tt_1,English,France,1995,13000,1.85
Peter Webber,131,73,879,Li Gong,Hannibal Rising ,86374,1344,aunt|cannibalism|faked death|medical student|revenge,http://www.imdb.com/title/tt0367959/?ref_=fn_tt_tt_1,English,UK,2007,184,2.35
Rob Reiner,95,0,13000,Bruce Willis,The Story of Us ,18404,14706,four word title|husband wife relationship|male rear nudity|marriage|summer camp,http://www.imdb.com/title/tt0160916/?ref_=fn_tt_tt_1,English,USA,1999,559,1.85
Andrew Niccol,125,487,430,J.D. Evermore,The Host ,92461,1300,alien|alien creature|body snatching|desert|parasite,http://www.imdb.com/title/tt1517260/?ref_=fn_tt_tt_1,English,USA,2013,329,2.35
John McTiernan,98,323,933,Connie Nielsen,Basic ,49926,3357,2000s|army|military crime|necklace yanked off|panama,http://www.imdb.com/title/tt0264395/?ref_=fn_tt_tt_1,English,Germany,2003,631,2.35
Clint Eastwood,110,16000,16000,Clint Eastwood,Blood Work ,34356,18635,boat|heart transplant|murder|serial killer|sister,http://www.imdb.com/title/tt0309377/?ref_=fn_tt_tt_1,English,USA,2002,1000,2.35
Tom Tykwer,118,670,6000,Naomi Watts,The International ,80196,7654,bank|chase|district attorney|interpol|murder,http://www.imdb.com/title/tt0963178/?ref_=fn_tt_tt_1,English,USA,2009,450,2.35
John Carpenter,101,0,12000,Steve Buscemi,Escape from L.A. ,54021,15935,escape|island|los angeles california|machismo|president's daughter,http://www.imdb.com/title/tt0116225/?ref_=fn_tt_tt_1,English,USA,1996,898,2.35
,60,,629,Grey Damon,Twisted             ,7945,2758,,http://www.imdb.com/title/tt2355844/?ref_=fn_tt_tt_1,English,USA,,512,16.0
Brad Bird,90,663,14000,Vin Diesel,The Iron Giant ,128455,16358,boy|friend|government agent|maine|robot,http://www.imdb.com/title/tt0129167/?ref_=fn_tt_tt_1,English,USA,1999,631,2.35
Wes Anderson,119,0,13000,Bill Murray,The Life Aquatic with Steve Zissou ,139535,15757,expedition|oceanographer|sea|shark|team,http://www.imdb.com/title/tt0362270/?ref_=fn_tt_tt_1,English,USA,2004,1000,2.35
Gary Ross,139,378,11000,Matthew McConaughey,Free State of Jones ,3077,12786,american civil war|civil war|u.s. civil war,http://www.imdb.com/title/tt1124037/?ref_=fn_tt_tt_1,English,USA,2016,552,1.85
Alan Parker,130,317,18000,Kevin Spacey,The Life of David Gale ,88270,32637,activist|death|death row|murder|texas,http://www.imdb.com/title/tt0289992/?ref_=fn_tt_tt_1,English,USA,2003,14000,2.35
Stephen Herek,100,65,1000,Christina Milian,Man of the House ,19829,6171,cheerleader|cheerleading movie|neo noir|neo western|texas ranger,http://www.imdb.com/title/tt0331933/?ref_=fn_tt_tt_1,English,USA,2005,923,2.35
Jaume Collet-Serra,114,174,14000,Liam Neeson,Run All Night ,76010,16992,death|drug dealer|limousine|limousine driver|one night,http://www.imdb.com/title/tt2199571/?ref_=fn_tt_tt_1,English,USA,2015,988,2.35
David Cronenberg,96,0,10000,Viggo Mortensen,Eastern Promises ,189249,17211,male pubic hair|pubic hair|russian|sex scene|turkish bath,http://www.imdb.com/title/tt0765443/?ref_=fn_tt_tt_1,English,USA,2007,6000,1.85
John Stockwell,110,134,23000,Paul Walker,Into the Blue ,63599,25049,bahamas|blood splatter|cocaine|hairy chest|shark,http://www.imdb.com/title/tt0378109/?ref_=fn_tt_tt_1,English,USA,2005,1000,2.35
Luc Besson,158,0,51,Paul Brooke,The Messenger: The Story of Joan of Arc ,55889,144,cathedral|dauphin|france|trial|wartime rape,http://www.imdb.com/title/tt0151137/?ref_=fn_tt_tt_1,English,France,1999,40,2.35
David Gordon Green,102,234,20000,Natalie Portman,Your Highness ,85237,45202,knight|prince|quest|rescue|thong bikini,http://www.imdb.com/title/tt1240982/?ref_=fn_tt_tt_1,English,USA,2011,11000,2.35
Jim Sheridan,84,260,6000,Naomi Watts,Dream House ,46239,8018,closet|father daughter relationship|psychiatric hospital|real life sisters playing sisters|train,http://www.imdb.com/title/tt1462041/?ref_=fn_tt_tt_1,English,USA,2011,694,2.35
Costa-Gavras,115,333,972,Mia Kirshner,Mad City ,16562,2606,hostage|museum|natural history museum|news reporter|reporter,http://www.imdb.com/title/tt0119592/?ref_=fn_tt_tt_1,English,USA,1997,713,2.35
Patrick Read Johnson,99,32,1000,Joe Mantegna,Baby's Day Out ,33186,2949,baby|baby boy|kidnapping|kidnapping a child|taxi,http://www.imdb.com/title/tt0109190/?ref_=fn_tt_tt_1,English,USA,1994,619,1.85
Roland Joffé,135,596,10000,Gary Oldman,The Scarlet Letter ,12037,15820,17th century|adultery|letter|pubic hair|swimming,http://www.imdb.com/title/tt0114345/?ref_=fn_tt_tt_1,English,USA,1995,3000,2.35
Doug Liman,108,218,6000,Naomi Watts,Fair Game ,38513,10191,bush administration|cia|interview|iraq|new york times,http://www.imdb.com/title/tt0977855/?ref_=fn_tt_tt_1,English,USA,2010,3000,2.35
,43,,3000,Julie Benz,Defiance             ,33535,5381,alien|alien invasion|planet invasion|post apocalypse|year 2046,http://www.imdb.com/title/tt2189221/?ref_=fn_tt_tt_1,English,USA,,845,1.78
Tony Scott,127,12000,984,Ian Ziering,Domino ,58015,5702,bounty hunter|fbi|female bounty hunter|female nudity|reality show,http://www.imdb.com/title/tt0421054/?ref_=fn_tt_tt_1,English,France,2005,940,2.35
William Friedkin,107,607,2000,Michael Biehn,Jade ,9227,5461,blackmail|investigation|murder|panties pulled down|prostitution,http://www.imdb.com/title/tt0113451/?ref_=fn_tt_tt_1,English,USA,1995,979,1.85
Mark Neveldine,95,83,18000,Gerard Butler,Gamer ,113483,29926,battle|convict|death|mind control|role playing,http://www.imdb.com/title/tt1034032/?ref_=fn_tt_tt_1,English,USA,2009,8000,1.85
Richard LaGravenese,124,98,1000,Alden Ehrenreich,Beautiful Creatures ,67796,3580,dream|escape|magic|magic spell|small town,http://www.imdb.com/title/tt1559547/?ref_=fn_tt_tt_1,English,USA,2013,852,2.35
Danny DeVito,109,0,49000,Robin Williams,Death to Smoochy ,34730,52885,children|children's tv show|money|revenge|scandal,http://www.imdb.com/title/tt0266452/?ref_=fn_tt_tt_1,English,UK,2002,811,1.85
Ben Stiller,102,0,14000,Milla Jovovich,Zoolander 2 ,34964,24107,chosen one|fashion|fashion model|model|retired,http://www.imdb.com/title/tt1608290/?ref_=fn_tt_tt_1,English,USA,2016,8000,2.35
George Armitage,88,5,11000,Morgan Freeman,The Big Bounce ,15880,11972,breasts|consensual sex|female nudity|judge|surfer,http://www.imdb.com/title/tt0315824/?ref_=fn_tt_tt_1,English,USA,2004,387,2.35
Mike Nichols,87,0,2000,Judy Greer,What Planet Are You From? ,8070,3954,alien|baby|banker|pregnancy|question in title,http://www.imdb.com/title/tt0181151/?ref_=fn_tt_tt_1,English,USA,2000,602,1.85
Patrick Lussier,104,71,12000,Nicolas Cage,Drive Angry ,81800,16481,baby|cult|oklahoma|sex scene|waitress,http://www.imdb.com/title/tt1502404/?ref_=fn_tt_tt_1,English,USA,2011,2000,1.85
Andrzej Bartkowiak,96,43,841,Chris Klein,Street Fighter: The Legend of Chun-Li ,19824,1385,chun li|crime fighter|gangster|mobster|rescue,http://www.imdb.com/title/tt0891592/?ref_=fn_tt_tt_1,English,Canada,2009,342,2.35
James Wong,85,70,26000,Jason Statham,The One ,77684,32831,fight|multiverse|police|police officer|prison,http://www.imdb.com/title/tt0267804/?ref_=fn_tt_tt_1,English,USA,2001,5000,2.35
,64,,1000,Tobias Menzies,Outlander             ,50391,1863,based on novel|clan|scotland|scottish highlands|year 1743,http://www.imdb.com/title/tt3006802/?ref_=fn_tt_tt_1,English,USA,,531,16.0
Renny Harlin,104,212,879,Lauren Holly,The Adventures of Ford Fairlane ,14429,2795,detective|groupie|murder|music industry|rock n roll,http://www.imdb.com/title/tt0098987/?ref_=fn_tt_tt_1,English,USA,1990,560,2.35
Richard Curtis,135,628,22000,Philip Seymour Hoffman,Pirate Radio ,90932,24316,inspired by radio program|inspired by true events|pirate broadcasting|pirate radio|pirate radio station,http://www.imdb.com/title/tt1131729/?ref_=fn_tt_tt_1,English,UK,2009,882,2.35
Steven Soderbergh,190,0,599,Michael O'Neill,Traffic ,170684,1418,cocaine|drug smuggling|interlinked stories|judge|mexico,http://www.imdb.com/title/tt0181865/?ref_=fn_tt_tt_1,English,USA,2000,399,1.85
Steven Spielberg,127,14000,11000,Harrison Ford,Indiana Jones and the Last Crusade ,515306,12884,castle|diary|holy grail|map|nazi,http://www.imdb.com/title/tt0097576/?ref_=fn_tt_tt_1,English,USA,1989,844,2.35
Joe Wright,129,456,2000,Kelly Macdonald,Anna Karenina ,70886,2035,dance|infidelity|marriage|russia|russian,http://www.imdb.com/title/tt1781769/?ref_=fn_tt_tt_1,English,UK,2012,35,2.35
Neill Blomkamp,120,662,20000,Hugh Jackman,Chappie ,172965,23051,artificial intelligence|consciousness|future|mind uploading|robot,http://www.imdb.com/title/tt1823672/?ref_=fn_tt_tt_1,English,USA,2015,2000,2.35
Phillip Noyce,118,176,18000,Denzel Washington,The Bone Collector ,120202,29748,new york city|police|quadriplegic|serial killer|suicide,http://www.imdb.com/title/tt0145681/?ref_=fn_tt_tt_1,English,USA,1999,11000,2.35
David Fincher,112,21000,17000,Kristen Stewart,Panic Room ,206104,18141,brownstone|burglar|money|panic|panic room,http://www.imdb.com/title/tt0258000/?ref_=fn_tt_tt_1,English,USA,2002,324,2.35
Chuck Bowman,89,42,598,P.J. Soles,The Tooth Fairy ,1263,2353,bare breasts|genital dismemberment|mulching someone|tooth fairy|woodchipper,http://www.imdb.com/title/tt0473553/?ref_=fn_tt_tt_1,English,USA,2006,555,1.78
David O. Russell,114,737,2000,Judy Greer,Three Kings ,137854,3743,gold|gulf war|iraq|kuwait|map,http://www.imdb.com/title/tt0120188/?ref_=fn_tt_tt_1,English,USA,1999,490,2.35
Daniel Espinosa,137,79,27000,Tom Hardy,Child 44 ,40568,27666,child murderer|murder|sex|soviet union|woman slaps a man,http://www.imdb.com/title/tt1014763/?ref_=fn_tt_tt_1,English,Czech Republic,2015,254,2.35
Jerry Zucker,112,109,779,Corinna Harney,Rat Race ,93367,1823,casino|locker|money|museum|race,http://www.imdb.com/title/tt0250687/?ref_=fn_tt_tt_1,English,Canada,2001,629,2.35
Iain Softley,120,34,18000,Kevin Spacey,K-PAX ,148490,33615,extraterrestrial|hospital|patient|planet|science,http://www.imdb.com/title/tt0272152/?ref_=fn_tt_tt_1,English,USA,2001,12000,2.35
James Mangold,123,446,20000,Hugh Jackman,Kate & Leopold ,64595,22209,bridge|brooklyn bridge|falling down an elevator shaft|time travel|time travel romance,http://www.imdb.com/title/tt0035423/?ref_=fn_tt_tt_1,English,USA,2001,1000,1.85
Harold Ramis,93,11000,3000,Brendan Fraser,Bedazzled ,81888,5390,contract|devil|dream|soul|wish,http://www.imdb.com/title/tt0230030/?ref_=fn_tt_tt_1,English,USA,2000,575,2.35
Francis Ford Coppola,123,0,12000,Nicolas Cage,The Cotton Club ,12771,18793,brothers hugging|jazz|jealousy|nudity|parole violation,http://www.imdb.com/title/tt0087089/?ref_=fn_tt_tt_1,English,USA,1984,5000,1.85
James Mangold,122,446,23000,Christian Bale,3:10 to Yuma ,237872,33548,outlaw|rancher|small western town|stagecoach|train,http://www.imdb.com/title/tt0381849/?ref_=fn_tt_tt_1,English,USA,2007,8000,2.35
Olivier Megaton,115,118,14000,Liam Neeson,Taken 3 ,133436,16967,betrayal|death|final showdown|murder|on the run,http://www.imdb.com/title/tt2446042/?ref_=fn_tt_tt_1,English,France,2014,794,2.35
Steven Soderbergh,123,0,3000,Don Cheadle,Out of Sight ,71708,3768,heist|neo noir|one last job|opposites attract|u.s. marshal,http://www.imdb.com/title/tt0120780/?ref_=fn_tt_tt_1,English,USA,1998,745,1.85
Ben Stiller,96,0,2000,Matthew Broderick,The Cable Guy ,122347,3718,cable guy|foreplay|friend|kissing|television,http://www.imdb.com/title/tt0115798/?ref_=fn_tt_tt_1,English,USA,1996,1000,2.35
Deepa Mehta,110,375,113,Nandita Das,Earth ,5639,371,friend|hindu|india|muslim|sikh,http://www.imdb.com/title/tt0150433/?ref_=fn_tt_tt_1,Hindi,India,1998,102,
Warren Beatty,105,631,678,Charlie Korsmo,Dick Tracy ,47819,2096,crime boss|detective|dick tracy|gangster|orphan,http://www.imdb.com/title/tt0099422/?ref_=fn_tt_tt_1,English,USA,1990,631,1.85
