content_rating,imdb_score
PG-13,5.3
PG-13,4.4
PG-13,4.7
PG-13,6.7
PG-13,6.7
R,5.7
R,7.4
PG-13,6.1
PG-13,6.4
G,6.2
R,6.2
PG-13,5.9
PG-13,4.0
R,6.2
NC-17,4.6
PG-13,6.4
R,5.9
R,5.1
PG-13,7.6
PG-13,4.2
PG,7.8
PG-13,5.8
PG-13,5.9
R,8.4
PG,4.8
R,6.2
PG,6.5
PG-13,6.3
R,3.3
PG-13,5.9
PG-13,6.0
PG-13,5.8
R,6.5
PG,4.7
R,4.1
R,6.8
R,6.2
PG-13,4.5
PG-13,5.8
R,7.3
PG-13,5.9
PG,4.4
R,5.8
PG,5.1
PG-13,6.9
PG-13,6.2
R,6.9
PG,7.3
R,7.1
R,6.0
R,7.0
PG,6.8
R,5.7
R,7.6
,8.4
PG-13,7.1
PG-13,5.6
PG-13,6.7
PG,7.0
PG-13,8.0
PG-13,5.3
PG,4.9
PG-13,6.4
R,7.4
PG-13,6.1
R,6.5
PG,5.7
PG,5.1
PG,6.6
PG-13,6.5
PG-13,6.9
TV-PG,7.8
,6.4
R,7.6
PG-13,5.6
PG-13,6.2
PG,4.4
R,5.6
PG,5.5
R,6.7
R,6.1
R,6.2
R,7.3
PG-13,6.6
R,8.2
R,6.4
R,6.4
PG-13,5.2
PG,6.5
R,7.1
R,4.8
PG,7.3
PG-13,5.2
