num_critic_for_reviews,duration,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,content_rating,budget,actor_2_facebook_likes,imdb_score,movie_facebook_likes
77,126,497,22000,38413606,Action|Comedy|Crime|Thriller,Robert De Niro,Midnight Run ,Philip Baker Hall,1,accountant|bounty hunter|fbi|mafia|mob,http://www.imdb.com/title/tt0095631/?ref_=fn_tt_tt_1,215,English,R,30000000,581,7.6,0
120,101,384,581,38122105,Action|Crime|Sci-Fi|Thriller,Yaphet Kotto,The Running Man ,Richard Dawson,1,game of death|government conspiracy|latina|oppression|police,http://www.imdb.com/title/tt0093894/?ref_=fn_tt_tt_1,226,English,R,27000000,571,6.6,0
63,102,413,13000,38747385,Comedy|Horror|Musical|Sci-Fi,Bill Murray,Little Shop of Horrors ,Tisha Campbell-Martin,2,eclipse|florist|nerd|plant|shop,http://www.imdb.com/title/tt0091419/?ref_=fn_tt_tt_1,165,English,PG-13,25000000,854,6.9,0
417,111,21,157,40247512,Action|Drama|Thriller,Jessica Barden,Hanna ,John Macmillan,0,assassin|female warrior|martial arts|playground|training,http://www.imdb.com/title/tt0993842/?ref_=fn_tt_tt_1,438,English,PG-13,30000000,33,6.8,38000
9,60,468,971,,Drama|Mystery,Zach Gilford,The Family             ,Liam James,4,family drama|lie|missing child|political campaign|secret,http://www.imdb.com/title/tt4428038/?ref_=fn_tt_tt_1,30,English,TV-PG,,805,7.5,0
59,95,342,663,35927406,Action|Adventure|Fantasy|Sci-Fi|Thriller,Brian Thompson,Mortal Kombat: Annihilation ,Robin Shou,0,alternate reality|battle|martial arts|mortal kombat|warrior,http://www.imdb.com/title/tt0119707/?ref_=fn_tt_tt_1,256,English,PG-13,30000000,349,3.7,1000
218,98,392,15000,35565975,Comedy|Drama|Romance,Tom Hanks,Larry Crowne ,Randall Park,0,bus stop|college|community college|scooter|speech class,http://www.imdb.com/title/tt1583420/?ref_=fn_tt_tt_1,184,English,PG-13,30000000,839,6.1,0
359,100,534,17000,35266619,Drama|Fantasy|Horror,Chloë Grace Moretz,Carrie ,Portia Doubleday,1,outcast|prom|self injury|telekinesis|tragic event,http://www.imdb.com/title/tt1939659/?ref_=fn_tt_tt_1,371,English,R,30000000,2000,5.9,39000
101,118,439,1000,34703228,Drama|Music,Alfre Woodard,Take the Lead ,Jasika Nicole,0,ballroom|dance|dance teacher|student|teacher,http://www.imdb.com/title/tt0446046/?ref_=fn_tt_tt_1,127,English,PG-13,30000000,712,6.7,0
52,28,576,680,,Comedy|Drama,Debi Mazar,Entourage             ,Kevin Dillon,2,actor|fame|friendship between men|hollywood california|sitcom,http://www.imdb.com/title/tt0387199/?ref_=fn_tt_tt_1,145,English,TV-MA,,638,8.5,0
85,125,581,12000,38432823,Crime|Drama|Sport,Dwayne Johnson,Gridiron Gang ,Kevin Dunn,1,alliterative title|football|football coach|football practice|football team,http://www.imdb.com/title/tt0421206/?ref_=fn_tt_tt_1,134,English,PG-13,30000000,2000,6.9,0
64,94,506,1000,32095318,Comedy|Crime,Bernie Mac,What's the Worst That Could Happen? ,Richard Schiff,0,businessman|ring|thief|vulgarity|washington d.c.,http://www.imdb.com/title/tt0161083/?ref_=fn_tt_tt_1,84,English,PG-13,45000000,611,5.5,304
