director_name,duration,actor_3_facebook_likes,actor_2_name,gross,genres,actor_1_name,num_voted_users,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,country,content_rating,title_year,aspect_ratio
Josh Gordon,101,110,Scott Elrod,27758465,Comedy|Drama|Romance,Caroline Dhavernas,77987,Kelli Barrett,2,artificial insemination|best friend|new york city|sperm|sperm donor,http://www.imdb.com/title/tt0889573/?ref_=fn_tt_tt_1,USA,PG-13,2010,2.35
Shawn Levy,95,306,David Agranov,56127162,Comedy|Romance,Taran Killam,57479,David Moscow,2,fall|honeymoon|love|marriage|newlywed,http://www.imdb.com/title/tt0305711/?ref_=fn_tt_tt_1,USA,PG-13,2003,1.85
Lee Tamahori,109,521,Dominic Cooper,1357042,Biography|Drama|Thriller,Mem Ferda,53977,Ludivine Sagnier,1,betrayal|debauchery|lust|palace|saddam hussein,http://www.imdb.com/title/tt1270262/?ref_=fn_tt_tt_1,Belgium,R,2011,2.35
,43,211,Jenni 'Jwoww' Farley,,Comedy|Drama|Reality-TV|Romance,Nicole 'Snooki' Polizzi,29,Paul 'Pauly D' DelVecchio,1,lifestyle,http://www.imdb.com/title/tt1697237/?ref_=fn_tt_tt_1,,TV-14,,1.33
Britt Allcroft,85,402,Colm Feore,15911333,Adventure|Comedy|Drama|Family|Fantasy,Mara Wilson,2855,Peter Fonda,1,locomotive|magic|mountain|railroad|steam locomotive,http://www.imdb.com/title/tt0205461/?ref_=fn_tt_tt_1,UK,G,2000,1.85
Breck Eisner,101,219,Glenn Morshower,39103378,Horror|Thriller,Radha Mitchell,93272,John Aylward,0,deputy|iowa|rural setting|sheriff|survival,http://www.imdb.com/title/tt0455407/?ref_=fn_tt_tt_1,USA,R,2010,2.35
Hayao Miyazaki,125,7,Ryûnosuke Kamiki,10049886,Adventure|Animation|Family|Fantasy,Bunta Sugawara,417971,Miyu Irino,0,anime|bathhouse|pig|spirit|work,http://www.imdb.com/title/tt0245429/?ref_=fn_tt_tt_1,Japan,PG,2001,1.85
Alan Yuen,118,30,Michael Wong,,Action|Crime|Thriller,Andy Lau,1904,Terence Yin,1,die hard scenario|gunfight|hong kong police|police escort attacked|shootout,http://www.imdb.com/title/tt3341072/?ref_=fn_tt_tt_1,China,,2013,2.35
Roger Donaldson,132,1000,Anthony Hopkins,8600000,Action|Adventure|Drama|History|Romance,Liam Neeson,17982,Laurence Olivier,2,lieutenant|lifeboat|mutiny|sailing ship|ship,http://www.imdb.com/title/tt0086993/?ref_=fn_tt_tt_1,UK,PG,1984,2.35
Brian Percival,131,326,Sophie Nélisse,21483154,Drama|War,Emily Watson,98741,Roger Allam,1,basement|book|girl|library|track,http://www.imdb.com/title/tt0816442/?ref_=fn_tt_tt_1,USA,PG-13,2013,2.35
Sean Anders,129,630,Michael Cudlitz,8396942,Adventure|Comedy|Romance,Katrina Bowden,72715,Alice Greczyn,1,amish|friend|friendship|high school|virgin,http://www.imdb.com/title/tt1135985/?ref_=fn_tt_tt_1,USA,R,2008,1.85
Anand Tucker,100,356,Kaitlin Olson,12561,Comedy|Romance,Adam Scott,71276,Dominique McElligott,2,ireland|irish|journey|tradition|travel,http://www.imdb.com/title/tt1216492/?ref_=fn_tt_tt_1,USA,PG,2010,2.35
Anthony Mann,172,102,Mel Ferrer,,Drama|History|War,James Mason,6156,Stephen Boyd,0,2nd century|emperor|european history|loosely based on historical events|roman empire,http://www.imdb.com/title/tt0058085/?ref_=fn_tt_tt_1,USA,Approved,1964,2.2
Michael Dowse,97,562,Michael Biehn,6923891,Comedy|Drama|Romance,Topher Grace,43867,Dan Fogler,4,friend|night|party|sex scene|sister,http://www.imdb.com/title/tt0810922/?ref_=fn_tt_tt_1,USA,R,2011,2.35
Daniel Barnz,121,505,Rosie Perez,5308553,Drama,Holly Hunter,5147,Dante Brown,2,children|inner city|parent|school|teacher,http://www.imdb.com/title/tt1870529/?ref_=fn_tt_tt_1,USA,PG,2012,2.35
Emile Ardolino,92,0,Kyra Nichols,2119994,Family|Fantasy|Music,Darci Kistler,1153,Margaret Tracey,0,christmas|lifting female in air|lifting male in air|lifting someone into the air|little girl,http://www.imdb.com/title/tt0107719/?ref_=fn_tt_tt_1,USA,G,1993,1.85
Robert Altman,116,530,Jennifer Jason Leigh,1292527,Crime|Drama|Music|Thriller,Steve Buscemi,3536,Miranda Richardson,2,1930s|election|female frontal nudity|kansas city|politician,http://www.imdb.com/title/tt0116745/?ref_=fn_tt_tt_1,France,R,1996,1.85
James Schamus,110,85,Sarah Gadon,560512,Drama,Logan Lerman,550,Tracy Letts,0,based on novel,http://www.imdb.com/title/tt4193394/?ref_=fn_tt_tt_1,USA,R,2016,2.0
Andrew Douglas,90,16000,Chloë Grace Moretz,64255243,Drama|Horror|Mystery|Thriller,Jimmy Bennett,80903,Ryan Reynolds,0,ghost|haunted house|murder|nightmare|priest,http://www.imdb.com/title/tt0384806/?ref_=fn_tt_tt_1,USA,R,2005,2.35
Spike Jonze,81,836,Meryl Streep,22245861,Comedy|Drama,Nicolas Cage,143251,Roger Willie,0,book|orchid|screenwriter|thief|twin,http://www.imdb.com/title/tt0268126/?ref_=fn_tt_tt_1,USA,R,2002,1.85
George A. Romero,97,233,Shawn Roberts,20433940,Horror,Tony Nappo,78883,Pedro Miguel Arce,8,apocalypse|mercenary|skyscraper|urban setting|zombie apocalypse,http://www.imdb.com/title/tt0418819/?ref_=fn_tt_tt_1,Canada,R,2005,2.35
Danny Pang,107,27,Angelica Lee,,Action,Louis Koo,625,Ching Wan Lau,2,,http://www.imdb.com/title/tt2957680/?ref_=fn_tt_tt_1,China,PG-13,2013,1.85
Terry Gilliam,118,551,Michael Jeter,10562387,Adventure|Comedy|Drama,Johnny Depp,213226,Ellen Barkin,0,american dream|convertible|drugs|journalist|lawyer,http://www.imdb.com/title/tt0120669/?ref_=fn_tt_tt_1,USA,R,1998,2.35
Ricky Gervais,100,985,Tina Fey,18439082,Comedy|Fantasy|Romance,Jennifer Garner,94292,Martin Starr,3,genetics|heaven|lie|screenwriter|truth,http://www.imdb.com/title/tt1058017/?ref_=fn_tt_tt_1,USA,PG-13,2009,1.85
Nicholas Stoller,97,329,Carla Gallo,150056505,Comedy,Craig Roberts,216581,Ike Barinholtz,3,broken leg|friendship|jewish|topless female nudity|urination,http://www.imdb.com/title/tt2004420/?ref_=fn_tt_tt_1,USA,R,2014,2.35
Chuck Russell,114,360,Amy Yasbeck,119938730,Action|Comedy|Crime|Fantasy,Peter Greene,265818,Reg E. Cathey,0,bank|bank clerk|gangster|loki|mask,http://www.imdb.com/title/tt0110475/?ref_=fn_tt_tt_1,USA,PG-13,1994,1.85
Penny Marshall,130,697,Jon Lovitz,114968774,Comedy|Drama|Family|Fantasy|Romance,Tom Hanks,153468,John Heard,1,friend|job|new york city|toy|wish,http://www.imdb.com/title/tt0094737/?ref_=fn_tt_tt_1,USA,PG,1988,1.85
Larry Charles,82,6,Ken Davitian,128505958,Comedy,Luenell,297014,Chester,1,california|city|kazakhstan|travel|tv reporter,http://www.imdb.com/title/tt0443453/?ref_=fn_tt_tt_1,USA,R,2006,1.85
Robert Luketic,96,584,Raquel Welch,95001351,Comedy|Romance,Linda Cardellini,131801,Alanna Ubach,1,blonde|harvard|law|law school|sorority,http://www.imdb.com/title/tt0250494/?ref_=fn_tt_tt_1,USA,PG-13,2001,2.35
Leonard Nimoy,105,643,Nichelle Nichols,76400000,Action|Adventure|Sci-Fi,Leonard Nimoy,58743,Walter Koenig,1,dying planet|planet|regaining one's memory|sacrifice|stabbed to death,http://www.imdb.com/title/tt0088170/?ref_=fn_tt_tt_1,USA,PG,1984,2.35
Scott Derrickson,122,457,Colm Feore,75072454,Drama|Horror|Thriller,Tom Wilkinson,96569,JR Bourne,0,death|demonic possession|exorcism|lawyer|priest,http://www.imdb.com/title/tt0404032/?ref_=fn_tt_tt_1,USA,PG-13,2005,2.35
Mike Mitchell,88,489,Eddie Griffin,65535067,Comedy|Romance,Amy Poehler,59380,Bree Turner,1,aquarium|fish|fish tank|gigolo|norwegian,http://www.imdb.com/title/tt0205000/?ref_=fn_tt_tt_1,USA,R,1999,1.85
Vic Armstrong,110,734,Lea Thompson,13998282,Action|Drama|Fantasy|Mystery|Thriller,Nicolas Cage,24854,Quinton Aaron,1,bible quote|chaos|faith|riot|shrine,http://www.imdb.com/title/tt2467046/?ref_=fn_tt_tt_1,USA,PG-13,2014,2.35
Thomas Bezucha,103,172,Paul Schneider,6061759,Comedy|Drama|Romance,Craig T. Nelson,49077,Tyrone Giordano,0,christmas|cruelty|ring|secret|tension,http://www.imdb.com/title/tt0356680/?ref_=fn_tt_tt_1,USA,PG-13,2005,1.85
Kevin Rodney Sullivan,106,521,Sean Patrick Thomas,64955956,Comedy|Drama,Harry Lennix,10104,Kenan Thompson,4,barbecue|barbershop|blaxploitation|marriage|politics,http://www.imdb.com/title/tt0337579/?ref_=fn_tt_tt_1,USA,PG-13,2004,1.85
Terry Zwigoff,98,566,Tony Cox,60057639,Comedy|Crime|Drama,Bernie Mac,107815,Alex Borstein,2,bartender|christmas|christmas eve|department store|drink,http://www.imdb.com/title/tt0307987/?ref_=fn_tt_tt_1,USA,R,2003,1.85
Jay Roach,68,481,Charles Napier,53868030,Comedy|Crime,Will Ferrell,183425,Robert Wagner,2,cartoon on tv|reference to frankenstein|reference to jimi hendrix|scene during end credits|surrealism,http://www.imdb.com/title/tt0118655/?ref_=fn_tt_tt_1,USA,PG-13,1997,2.35
Kirk Jones,94,261,Louis Mandylor,59573085,Comedy|Family|Romance,Nia Vardalos,13562,Joey Fatone,10,family restaurant|greek|remarriage|suburb|wedding,http://www.imdb.com/title/tt3760922/?ref_=fn_tt_tt_1,USA,PG-13,2016,2.35
David Bowers,99,557,Rachael Harris,52691009,Comedy|Family,Zachary Gordon,18727,Fran Kranz,2,brother|middle school|no opening credits|photograph|school,http://www.imdb.com/title/tt1650043/?ref_=fn_tt_tt_1,USA,PG,2011,2.35
John McTiernan,107,794,Bill Duke,59735548,Action|Horror|Sci-Fi,Shane Black,290949,Carl Weathers,1,box office hit|commando|death of friend|jungle|severed arm,http://www.imdb.com/title/tt0093773/?ref_=fn_tt_tt_1,USA,R,1987,1.85
Milos Forman,180,521,F. Murray Abraham,51600000,Biography|Drama|History|Music,Jeffrey Jones,270790,Tom Hulce,0,1800s|classical composer|composer|first person narration|opera,http://www.imdb.com/title/tt0086879/?ref_=fn_tt_tt_1,USA,R,1984,2.35
Nelson McCormick,89,458,Scott Porter,43818159,Horror|Mystery,Ming-Na Wen,27664,Collins Pennie,0,friend|hotel|killer|murder|prom,http://www.imdb.com/title/tt0926129/?ref_=fn_tt_tt_1,USA,PG-13,2008,2.35
Mark Waters,97,625,Amy Poehler,86049418,Comedy,Tina Fey,245989,Neil Flynn,4,bully|clique|high school|high school girl|secret,http://www.imdb.com/title/tt0377092/?ref_=fn_tt_tt_1,USA,PG-13,2004,1.85
Audrey Wells,113,148,Lindsay Duncan,43601508,Comedy|Drama|Romance,Raoul Bova,35718,Mario Monicelli,1,author|book|vacation|villa|writer,http://www.imdb.com/title/tt0328589/?ref_=fn_tt_tt_1,USA,PG-13,2003,1.85
Robert Altman,131,555,Bob Balaban,41300105,Drama|Mystery,Kristin Scott Thomas,65201,Tom Hollander,0,country house|murder|producer|servant|shooting party,http://www.imdb.com/title/tt0280707/?ref_=fn_tt_tt_1,UK,R,2001,2.35
,44,650,Melinda Clarke,,Comedy|Drama|Romance,Peter Gallagher,65785,Tate Donovan,8,california|lawyer|love|orange county california|wealth,http://www.imdb.com/title/tt0362359/?ref_=fn_tt_tt_1,USA,TV-PG,,1.78
Francis Ford Coppola,103,805,Kathleen Turner,41382841,Comedy|Drama|Fantasy|Romance,Nicolas Cage,27149,Joan Allen,0,alternate history|alternate timeline|divorce|high school|reunion,http://www.imdb.com/title/tt0091738/?ref_=fn_tt_tt_1,USA,PG-13,1986,1.85
Alejandro G. Iñárritu,119,529,Naomi Watts,42335698,Comedy|Drama|Romance,Emma Stone,395087,Merritt Wever,8,actor|artist|broadway play|replacement|stage,http://www.imdb.com/title/tt2562232/?ref_=fn_tt_tt_1,USA,R,2014,1.85
Woody Allen,98,218,Charlie Tahan,33404871,Drama,Sally Hawkins,150082,Andrew Dice Clay,1,congenital liar|mental breakdown|self deception|snob|talking to oneself,http://www.imdb.com/title/tt2334873/?ref_=fn_tt_tt_1,USA,PG-13,2013,2.35
Paul Greengrass,111,64,David Alan Basche,31471430,Drama|History|Thriller,Christian Clemenson,83374,Susan Blommaert,0,flight|passenger|plane|september 11 2001|terrorist,http://www.imdb.com/title/tt0475276/?ref_=fn_tt_tt_1,USA,R,2006,2.35
Bille Woodruff,94,582,Mekhi Phifer,30222640,Drama|Music|Romance,Christian Monzon,36666,Romeo Miller,2,choreographer|dance|dancer|dancing|hip hop,http://www.imdb.com/title/tt0322589/?ref_=fn_tt_tt_1,USA,PG-13,2003,1.85
Edward Zwick,122,2000,Morgan Freeman,26830000,Drama|History|War,Denzel Washington,101889,Matthew Broderick,3,army|black soldier|military uniform|prejudice|u.s. civil war,http://www.imdb.com/title/tt0097441/?ref_=fn_tt_tt_1,USA,R,1989,1.85
Rick Friedberg,81,341,Barry Bostwick,26906039,Action|Comedy,Hulk Hogan,29621,Nicollette Sheridan,2,1990s|dentist|hit with a door|martial arts|museum,http://www.imdb.com/title/tt0117723/?ref_=fn_tt_tt_1,USA,PG-13,1996,1.85
John Carpenter,89,606,Hal Holbrook,21378000,Fantasy|Horror,Jamie Lee Curtis,46492,Janet Leigh,0,california|fog|leper|lighthouse|ship,http://www.imdb.com/title/tt0080749/?ref_=fn_tt_tt_1,USA,R,1980,2.35
Sean McNamara,106,723,Chris Brochu,43853424,Biography|Drama|Family|Sport,Dennis Quaid,35514,Craig T. Nelson,1,christian|christian film|shark|surfer|surfing,http://www.imdb.com/title/tt1596346/?ref_=fn_tt_tt_1,USA,PG,2011,2.35
Mike Nichols,122,191,Bob Balaban,,Comedy|Drama|War,Bob Newhart,17277,Martin Balsam,0,catch 22|friend|insanity|kneed in the groin|military,http://www.imdb.com/title/tt0065528/?ref_=fn_tt_tt_1,USA,R,1970,2.35
Jody Hill,86,59,Celia Weston,23993605,Comedy|Crime|Drama,Collette Wolfe,52467,Dan Bakkedahl,1,male pubic hair|mall|police detective|pubic hair|security guard,http://www.imdb.com/title/tt1197628/?ref_=fn_tt_tt_1,USA,R,2009,2.35
Richard Fleischer,103,406,Olivia d'Abo,26400000,Action|Adventure|Fantasy,Mako,62009,Grace Jones,1,gods|princess|queen|rescue|wizard,http://www.imdb.com/title/tt0087078/?ref_=fn_tt_tt_1,USA,PG,1984,2.35
Martin Scorsese,121,356,Cathy Moriarty,45250,Biography|Drama|Sport,Robert De Niro,235133,Frank Vincent,1,boxing|domestic violence|hot temper|jealousy|rage,http://www.imdb.com/title/tt0081398/?ref_=fn_tt_tt_1,USA,R,1980,1.85
Brandon Camp,109,827,Sasha Alexander,22927390,Drama|Romance,Judy Greer,25344,Frances Conroy,0,florist|motivational speaker|self help guru|seminar|widower,http://www.imdb.com/title/tt0899106/?ref_=fn_tt_tt_1,USA,PG-13,2009,1.85
Barry Levinson,109,124,Roger Ashton-Griffiths,4250320,Adventure|Fantasy|Mystery|Thriller,Nicholas Rowe,14870,Freddie Jones,1,cult|death|delusion|girl|sherlock holmes,http://www.imdb.com/title/tt0090357/?ref_=fn_tt_tt_1,USA,PG-13,1985,1.85
Kevin Tancharoen,123,637,Kay Panabaker,22452209,Comedy|Drama|Musical|Romance,Kelsey Grammer,14062,Megan Mullally,0,new york|performing arts|school|student|teacher,http://www.imdb.com/title/tt1016075/?ref_=fn_tt_tt_1,USA,PG,2009,2.35
Danny Boyle,94,223,Treat Williams,18329466,Adventure|Biography|Drama|Thriller,James Franco,279179,Kate Burton,0,alone|aron ralston|based on autobiography|canyon|survival,http://www.imdb.com/title/tt1542344/?ref_=fn_tt_tt_1,USA,R,2010,1.85
Woody Allen,94,975,Jon Lovitz,17071230,Comedy|Crime,Woody Allen,31169,Michael Rapaport,0,apartment building|crook|new york city|three word title|written and directed by cast member,http://www.imdb.com/title/tt0196216/?ref_=fn_tt_tt_1,USA,PG,2000,1.85
Nicholas Hytner,115,111,Susan May Pratt,17174870,Drama|Music|Romance,Amanda Schull,15817,Ethan Stiefel,2,ballet|dance|dancer|dancing|love,http://www.imdb.com/title/tt0210616/?ref_=fn_tt_tt_1,USA,PG-13,2000,2.35
Jessie Nelson,107,85,Alex Borstein,26284475,Comedy,Olivia Wilde,9051,Timothée Chalamet,13,christmas|family dinner|husband wife conflict|husband wife kiss|large family,http://www.imdb.com/title/tt2279339/?ref_=fn_tt_tt_1,USA,PG-13,2015,2.35
Bart Freundlich,91,362,Corbin Bleu,16702864,Comedy|Crime,Kristen Stewart,8023,Kevin G. Schmidt,0,caper|computer genius|dog|heist|security chief,http://www.imdb.com/title/tt0337917/?ref_=fn_tt_tt_1,USA,PG,2004,1.85
Irwin Winkler,125,1000,Hayden Christensen,15561627,Drama,Ian Somerhalder,39105,Kristin Scott Thomas,0,cancer|construction|house|house construction|neighbor,http://www.imdb.com/title/tt0264796/?ref_=fn_tt_tt_1,USA,R,2001,2.35
Danny Boyle,122,816,Michael Fassbender,17750583,Biography|Drama,Kate Winslet,93548,Michael Stuhlbarg,0,apple computer|box office flop|computer|dialogue driven|father daughter relationship,http://www.imdb.com/title/tt2080374/?ref_=fn_tt_tt_1,UK,R,2015,2.35
Chris Columbus,102,529,Marie Avgeropoulos,14793904,Comedy|Romance,Alan Ruck,28209,Shawn Roberts,1,cheerleader|party|popular girl|speech|valedictorian,http://www.imdb.com/title/tt1032815/?ref_=fn_tt_tt_1,Canada,PG-13,2009,1.85
Miguel Arteta,90,729,Ari Graynor,15281286,Comedy|Drama|Romance,Steve Buscemi,64646,Fred Willard,2,alter ego|boarding school|love|masturbation|teen movie,http://www.imdb.com/title/tt0403702/?ref_=fn_tt_tt_1,USA,R,2009,1.85
William A. Fraker,98,102,Richard Farnsworth,8000000,Action|Adventure|Western,Jason Robards,1400,Michael Horse,0,ambush|hero|masked hero|outlaw|texas ranger,http://www.imdb.com/title/tt0082648/?ref_=fn_tt_tt_1,USA,PG,1981,2.35
John Boorman,109,1000,Jamie Lee Curtis,13491653,Drama|Thriller,Daniel Radcliffe,23728,Mark Margolis,0,canal|panama|president|spy|tailor,http://www.imdb.com/title/tt0236784/?ref_=fn_tt_tt_1,USA,R,2001,2.35
Brian De Palma,107,101,Dennis Franz,,Mystery|Thriller,Nancy Allen,27629,John McMartin,0,conspiracy|political conspiracy|recording|sound|truth,http://www.imdb.com/title/tt0082085/?ref_=fn_tt_tt_1,USA,R,1981,2.35
Courtney Solomon,90,179,Paul Freeman,10494494,Action|Crime|Thriller,Rebecca Budig,19586,Bruce Payne,1,die hard scenario|earth viewed from space|race against time|race car driver|title at the end,http://www.imdb.com/title/tt2167202/?ref_=fn_tt_tt_1,USA,PG-13,2013,2.35
Ang Lee,112,177,Kate Burton,7837632,Drama,Joan Allen,46396,Henry Czerny,0,ice|ice storm|storm|thanksgiving|virgin,http://www.imdb.com/title/tt0119349/?ref_=fn_tt_tt_1,USA,R,1997,1.85
Rob Reiner,94,197,Annie Parisse,15155772,Comedy|Drama|Romance,Yaya DaCosta,8895,Frankie Valli,2,four word title|grandparent grandchild relationship|reference to facebook|reference to the internet|singer,http://www.imdb.com/title/tt2465146/?ref_=fn_tt_tt_1,USA,PG-13,2014,2.35
Jeff Kanew,105,371,Shelley Long,8508843,Adventure|Comedy,Craig T. Nelson,7470,Kellie Martin,1,beverly hills hotel|divorce|girl|troop|wilderness,http://www.imdb.com/title/tt0098519/?ref_=fn_tt_tt_1,USA,PG,1989,1.37
István Szabó,104,202,Shaun Evans,7739049,Comedy|Drama|Romance,Miriam Margolyes,10680,Juliet Stevenson,2,diva|marriage|open marriage|revenge|social climber,http://www.imdb.com/title/tt0340012/?ref_=fn_tt_tt_1,Canada,R,2004,1.85
Adrian Lyne,112,45,Karen Young,6734844,Drama|Romance,David Margulies,29591,Kim Chan,0,blindfolded woman|control|male dominance|sex game|sex in public,http://www.imdb.com/title/tt0091635/?ref_=fn_tt_tt_1,USA,R,1986,1.85
Matthew Robbins,108,94,Ralph Richardson,6000000,Action|Adventure|Fantasy,Ian McDiarmid,10832,Albert Salmi,0,apprentice|dragon|king|kingdom|wizard,http://www.imdb.com/title/tt0082288/?ref_=fn_tt_tt_1,USA,PG,1981,2.35
Michael Hoffman,112,231,Kerry Condon,6615578,Biography|Drama|Romance,David Masterson,15352,Anne-Marie Duff,2,countess|leo tolstoy|russian|wealth|writing,http://www.imdb.com/title/tt0824758/?ref_=fn_tt_tt_1,Germany,R,2009,2.35
Tim Burton,127,940,Bill Murray,5887457,Biography|Comedy|Drama,Johnny Depp,142416,Martin Landau,1,1950s|director|friend|friendship|transvestism,http://www.imdb.com/title/tt0109707/?ref_=fn_tt_tt_1,USA,R,1994,1.85
Jason Reitman,111,405,Kate Winslet,13362308,Drama,J.K. Simmons,31898,Brooke Smith,1,baseball|baseball practice|escaped convict|neighbor|tied to a chair,http://www.imdb.com/title/tt1967545/?ref_=fn_tt_tt_1,USA,PG-13,2013,2.35
Sergey Bodrov,126,9,Khulan Chuluun,5701643,Adventure|Biography|Drama|History|War,Tadanobu Asano,37635,Honglei Sun,0,epic|genghis khan|one word title|slave|starving,http://www.imdb.com/title/tt0416044/?ref_=fn_tt_tt_1,Russia,R,2007,2.35
Guy Ritchie,114,1000,Gerard Butler,5694401,Action|Crime|Thriller,Tom Hardy,194489,Tom Wilkinson,4,accountant|finger gun|homosexual|killed in an elevator|painting,http://www.imdb.com/title/tt1032755/?ref_=fn_tt_tt_1,UK,R,2008,2.35
Hal Needham,99,251,Michael Beck,5333658,Action|Sci-Fi,Barry Bostwick,2541,Henry Silva,2,dictator|electronic music score|one word title|secret headquarters|soldier,http://www.imdb.com/title/tt0084316/?ref_=fn_tt_tt_1,USA,PG,1982,1.85
Kenneth Branagh,150,401,Brian Blessed,4414535,Drama,Julie Christie,30618,Richard Briers,0,classic literature|denmark|funeral|madness|prince,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1,UK,PG-13,1996,2.2
Bruce Beresford,117,238,Suzie Steen,4806750,Biography|Drama|Music|Romance,Bruce Greenwood,6091,Aden Young,0,ballet|beijing|dancer|love|village,http://www.imdb.com/title/tt1071812/?ref_=fn_tt_tt_1,Australia,PG,2009,1.85
Jeff Nichols,112,201,Sam Shepard,3707794,Adventure|Drama|Sci-Fi|Thriller,Kirsten Dunst,31359,Paul Sparks,0,cult|father son relationship|gas station|on the run|supernatural ability,http://www.imdb.com/title/tt2649554/?ref_=fn_tt_tt_1,Greece,PG-13,2016,2.35
Woody Allen,108,922,Stockard Channing,3203044,Comedy|Romance,Woody Allen,25165,Fisher Stevens,2,love at first sight|new york city|sex|teacher|writer,http://www.imdb.com/title/tt0313792/?ref_=fn_tt_tt_1,USA,R,2003,2.35
