director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,gross,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,language,content_rating,budget,imdb_score,aspect_ratio
Oliver Stone,72,145,0,560,70001698,12098,Stephen Baldwin,0,desert|drunkenness|religious mother|strict mother|vietnam war,http://www.imdb.com/title/tt0096969/?ref_=fn_tt_tt_1,English,R,14000000,7.2,2.35
Jon Turteltaub,39,98,226,496,68856263,2496,Malik Yoba,1,bobsled|coach|jamaica|olympic games|olympics,http://www.imdb.com/title/tt0106611/?ref_=fn_tt_tt_1,English,PG,15000000,6.9,1.85
Patrick Lussier,264,101,71,725,51527787,14159,Edi Gathegi,0,coma|death|miner|valentine|valentine's day,http://www.imdb.com/title/tt1179891/?ref_=fn_tt_tt_1,English,R,15000000,5.5,1.85
Ole Bornedal,264,92,30,309,49122319,2348,Natasha Calis,0,basketball coach|box|jewish|rabbi|yard sale,http://www.imdb.com/title/tt0431021/?ref_=fn_tt_tt_1,English,PG-13,14000000,5.9,2.35
Ted Kotcheff,145,93,270,535,,15192,Chris Mulkey,1,1980s|colonel|deputy|rambo|sheriff,http://www.imdb.com/title/tt0083944/?ref_=fn_tt_tt_1,English,R,14000000,7.7,2.35
Sylvain White,86,109,41,748,61356221,3544,Harry Lennix,0,atlanta georgia|competition|dancer|death|fraternity,http://www.imdb.com/title/tt0775539/?ref_=fn_tt_tt_1,English,PG-13,14000000,5.2,2.35
Lewis Gilbert,112,123,43,238,46800000,1326,Barbara Bach,2,1970s|cult film|official james bond series|submarine|world war three,http://www.imdb.com/title/tt0076752/?ref_=fn_tt_tt_1,English,PG,14000000,7.1,2.35
,17,60,,84,,552,Jason Hawes,0,ghost|paranormal|paranormal research|shaky cam,http://www.imdb.com/title/tt0426697/?ref_=fn_tt_tt_1,English,,,6.6,
Jamie Blanks,101,99,9,648,38048637,3500,Julian Richings,4,campus|death|friend|professor|urban legend,http://www.imdb.com/title/tt0146336/?ref_=fn_tt_tt_1,English,R,14000000,5.5,2.35
Stephen Frears,51,119,350,418,34700000,35501,Swoosie Kurtz,2,catholic|corruption|emotional abuse|france|seduction,http://www.imdb.com/title/tt0094947/?ref_=fn_tt_tt_1,English,R,14000000,7.7,1.85
Tyler Perry,42,110,0,490,35010192,2226,Jamie Kennedy,1,businessman|fight|mean brother|narrated by character|wordplay in title,http://www.imdb.com/title/tt1885265/?ref_=fn_tt_tt_1,English,PG-13,,5.4,2.35
Randal Kleiser,10,107,116,25,34793160,552,Susan Hogan,1,alaska|dog|friendship|gold|yukon,http://www.imdb.com/title/tt0103247/?ref_=fn_tt_tt_1,English,PG,14000000,6.7,1.85
Bruce McCulloch,43,81,54,636,30628981,10792,Molly Shannon,1,dancing|orphan|school|special education|student,http://www.imdb.com/title/tt0167427/?ref_=fn_tt_tt_1,English,PG-13,14000000,5.0,1.85
Phyllida Lloyd,331,105,58,583,29959436,12894,Olivia Colman,1,british prime minister|female prime minister|politics|prime minister|told in flashback,http://www.imdb.com/title/tt1007029/?ref_=fn_tt_tt_1,English,PG-13,13000000,6.4,2.35
Mike Nawrocki,38,82,12,8,25571351,49,Shelby Vischer,0,anthropomorphism|pirate|pirate ship|tomato|whale,http://www.imdb.com/title/tt0298388/?ref_=fn_tt_tt_1,English,G,14000000,6.6,1.85
John Singleton,12,109,309,279,27515786,1620,Maya Angelou,0,african american|mail carrier|poetry|postal worker|south central los angeles,http://www.imdb.com/title/tt0107840/?ref_=fn_tt_tt_1,English,R,14000000,5.9,1.85
Kevin Bray,40,95,10,111,25482931,1421,Gino Salvano,2,black comedy|bounty hunter|diamond|machismo|money,http://www.imdb.com/title/tt0278295/?ref_=fn_tt_tt_1,English,R,14000000,5.7,2.35
Wes Craven,34,100,0,364,19900000,2348,Allen Payne,1,blood|destiny|nightmare|partner|vampire,http://www.imdb.com/title/tt0114825/?ref_=fn_tt_tt_1,English,R,20000000,4.5,1.85
John Boorman,82,118,128,467,,2704,Ned Beatty,7,demon|exorcism|locust|priest|repressed memory,http://www.imdb.com/title/tt0076009/?ref_=fn_tt_tt_1,English,R,14000000,3.7,1.85
Courtney Solomon,125,91,31,50,16298046,1608,Vernon Dobtcheff,0,flashback|lifting someone into the air|paranormal phenomena|voice over letter|year 1818,http://www.imdb.com/title/tt0429573/?ref_=fn_tt_tt_1,English,PG-13,14000000,5.0,2.35
David Zucker,56,90,119,636,15549702,3007,Molly Shannon,2,boss' daughter|crush|house sitter|housesitting|love interest,http://www.imdb.com/title/tt0270980/?ref_=fn_tt_tt_1,English,PG-13,14000000,4.6,1.85
David Twohy,160,108,123,690,15483540,41359,Marley Shelton,4,cliff|hawaii|island|newlywed|waterfall,http://www.imdb.com/title/tt0971209/?ref_=fn_tt_tt_1,English,R,14000000,6.5,2.35
Rick Famuyiwa,71,103,44,625,20246959,3299,Lupe Ontiveros,2,california|love|marriage|wedding|wedding dress,http://www.imdb.com/title/tt1305583/?ref_=fn_tt_tt_1,English,PG-13,14000000,4.9,2.35
Alan Cohn,37,96,0,654,15062898,6861,Poppy Montgomery,0,college|college roommate|party|roommate|student,http://www.imdb.com/title/tt0118301/?ref_=fn_tt_tt_1,English,R,14000000,6.0,1.85
Franco Zeffirelli,62,117,160,55,14348123,1148,Paolo Seganti,6,ambassador|american|art|english|italy,http://www.imdb.com/title/tt0120857/?ref_=fn_tt_tt_1,English,PG,12000000,6.9,1.85
Tom Holland,73,93,85,514,15171475,2777,Kari Wuhrer,0,death|doctor|gypsy|judge|lawyer,http://www.imdb.com/title/tt0117894/?ref_=fn_tt_tt_1,English,R,8500000,5.7,1.85
Martin Scorsese,59,136,17000,213,,23378,Mary Kay Place,0,love|musician|saxophonist|singer|songwriter,http://www.imdb.com/title/tt0076451/?ref_=fn_tt_tt_1,English,PG,14000000,6.7,1.66
Spike Lee,25,115,0,534,13640000,3267,Isaiah Washington,0,argument|birthday|bully|coming of age|semi autobiographical,http://www.imdb.com/title/tt0109504/?ref_=fn_tt_tt_1,English,PG-13,14000000,6.9,1.85
Chris Rock,97,94,0,458,12550242,13446,Wendell Pierce,3,banker|investment|investment banker|marriage|sex,http://www.imdb.com/title/tt0770772/?ref_=fn_tt_tt_1,English,R,,5.5,1.85
James Isaac,205,85,52,489,12610731,3050,Lexa Doig,1,jason voorhees|lake|machete|scientist|slasher,http://www.imdb.com/title/tt0211443/?ref_=fn_tt_tt_1,English,R,11000000,4.4,1.85
Shawn Levy,69,88,189,799,47811275,3707,Lee Majors,1,brunette|film producer|liar|prank|stunt,http://www.imdb.com/title/tt0265298/?ref_=fn_tt_tt_1,English,PG,15000000,5.4,1.85
Emilio Estevez,195,112,0,383,11204499,13528,Brian Geraghty,0,campaign|chess|friend|hotel|senator,http://www.imdb.com/title/tt0308055/?ref_=fn_tt_tt_1,English,R,14000000,7.0,2.35
Mark Waters,61,86,70,169,10397365,2165,China Chow,5,apartment|fast motion scene|model|private investigation|suspected murder,http://www.imdb.com/title/tt0192111/?ref_=fn_tt_tt_1,English,PG-13,14000000,5.4,2.35
Josh Schwartz,77,86,90,635,9402410,3715,Osric Chau,1,adult humor|best friend|friend|halloween|teenage girl,http://www.imdb.com/title/tt1663143/?ref_=fn_tt_tt_1,English,PG-13,14000000,5.4,2.35
Julian Schnabel,259,112,232,177,5990075,1372,Isaach De Bankolé,1,arc de triomphe paris|based on autobiography|coma|elle magazine|male frontal nudity,http://www.imdb.com/title/tt0401383/?ref_=fn_tt_tt_1,French,PG-13,,8.0,1.85
Todd Field,251,137,143,280,5459824,15337,Jane Adams,0,adulterous wife|bar|dysfunctional marriage|sex offender|suburb,http://www.imdb.com/title/tt0404203/?ref_=fn_tt_tt_1,English,R,26000000,7.6,2.35
Davis Guggenheim,63,90,49,191,5108820,12776,Noam Jenkins,5,college|college campus|gossip|rape|sex,http://www.imdb.com/title/tt0176783/?ref_=fn_tt_tt_1,English,R,24000000,5.9,2.35
Tony Goldwyn,47,107,956,113,4741987,10368,Tovah Feldshuh,1,adulterous wife|cheating wife|summer|unfaithfulness|woodstock,http://www.imdb.com/title/tt0120613/?ref_=fn_tt_tt_1,English,R,14000000,6.6,1.85
Phillip Noyce,108,98,176,15,4291965,678,Bonnie Henna,3,attack|coach|colonel|jail|oil refinery,http://www.imdb.com/title/tt0437232/?ref_=fn_tt_tt_1,English,PG-13,14000000,6.7,2.35
Stephen Carpenter,64,84,12,102,3100650,417,Candace Kroslak,4,car accident|college|ghost|girl in panties|white panties,http://www.imdb.com/title/tt0218619/?ref_=fn_tt_tt_1,English,PG-13,14000000,3.9,1.85
James Ivory,20,139,133,5,2474000,446,Nigel Whitmey,1,18th century|ambassador|french revolution|friendship|thomas jefferson,http://www.imdb.com/title/tt0113463/?ref_=fn_tt_tt_1,English,PG-13,14000000,5.7,1.85
Stephan Elliott,135,97,11,548,2656324,16431,Kris Marshall,4,estate|female frontal nudity|female nudity|no panties|unhappy marriage,http://www.imdb.com/title/tt0808244/?ref_=fn_tt_tt_1,English,PG-13,,6.7,2.35
James Fargo,2,127,109,324,1000000,17250,Behrouz Vossoughi,0,afghanistan|caravan|rebel|russian|tribe,http://www.imdb.com/title/tt0077296/?ref_=fn_tt_tt_1,English,PG,14000000,6.5,2.35
Mike Leigh,262,150,608,43,3958500,390,Karl Johnson,0,prism|rented room|scrofula|sketching|sunrise,http://www.imdb.com/title/tt2473794/?ref_=fn_tt_tt_1,English,R,8200000,6.8,2.35
Alain Resnais,129,104,752,59,403649,799,Edouard Baer,0,dentist|letter|pilot|skateboard|wallet,http://www.imdb.com/title/tt1156143/?ref_=fn_tt_tt_1,French,PG,,6.3,2.35
Costa-Gavras,69,132,333,284,274299,1429,Ulrich Mühe,2,jesuit|jew|pope|priest|ss,http://www.imdb.com/title/tt0280653/?ref_=fn_tt_tt_1,English,Unrated,103000000,7.3,1.85
Chao-Bin Su,50,117,2,21,,243,Kelly Lin,2,martial arts|sword fight|wuxia,http://www.imdb.com/title/tt1460743/?ref_=fn_tt_tt_1,Mandarin,R,12000000,6.9,2.35
Neil Burger,57,115,168,322,183088,2243,Mark L. Young,0,college tuition|guitar|road trip|soldier|stranded,http://www.imdb.com/title/tt0981072/?ref_=fn_tt_tt_1,English,R,15000000,7.0,1.85
Kenneth Lonergan,116,186,50,338,46495,14638,John Gallagher Jr.,1,accident|bus|loss of virginity|new york city|virginity,http://www.imdb.com/title/tt0466893/?ref_=fn_tt_tt_1,English,R,14000000,6.5,1.85
Bo Zenga,45,90,10,378,,2207,Diora Baird,7,dollar bill|double entendre|escaped convict|halloween|striptease,http://www.imdb.com/title/tt1185266/?ref_=fn_tt_tt_1,English,R,,3.6,1.85
Rob Reiner,87,90,0,767,1752214,4377,Aidan Quinn,0,apology|falling in love|multiple perspectives|narrated by a girl|younger version of character,http://www.imdb.com/title/tt0817177/?ref_=fn_tt_tt_1,English,PG,14000000,7.7,1.85
Ang Lee,357,134,0,11000,83025853,39789,Anne Hathaway,0,gay relationship|homosexuality|mountain|ranch|rodeo,http://www.imdb.com/title/tt0388795/?ref_=fn_tt_tt_1,English,R,14000000,7.7,1.85
Jonathan Liebesman,348,101,473,429,190871240,2690,Jeremy Howard,0,18 wheeler|mutant|ninja|sewer|turtle,http://www.imdb.com/title/tt1291150/?ref_=fn_tt_tt_1,English,PG-13,125000000,5.9,2.35
Amy Heckerling,88,97,143,201,56631572,1724,Elisa Donovan,1,female protagonist|high school|makeover|matchmaker|popularity,http://www.imdb.com/title/tt0112697/?ref_=fn_tt_tt_1,English,PG-13,12000000,6.8,1.85
Todd Haynes,181,107,162,135,15854988,2447,Michael Gaston,2,african american|catastrophe|family relationships|farewell scene|therapy,http://www.imdb.com/title/tt0297884/?ref_=fn_tt_tt_1,English,PG-13,13500000,7.4,1.85
Steve Pink,107,99,38,390,12282677,4702,Collette Wolfe,4,acid trip|gameshow|hot tub|time lord|time machine,http://www.imdb.com/title/tt2637294/?ref_=fn_tt_tt_1,English,R,14000000,5.1,1.85
,53,55,,2,447093,25,Olgierd Lukaszewicz,0,meaning of life|moral challenge|morality|search for meaning|ten commandments,http://www.imdb.com/title/tt0092337/?ref_=fn_tt_tt_1,Polish,TV-MA,,9.1,1.33
Philip Kaufman,132,124,133,170,7060876,14726,Amelia Warner,1,asylum|lust|male pubic hair|penis|pubic hair,http://www.imdb.com/title/tt0180073/?ref_=fn_tt_tt_1,English,R,13500000,7.4,1.85
Martin McDonagh,401,110,454,816,14989761,4757,Michael Stuhlbarg,7,dognapping|gangster|misfiring gun|screenwriter|shih tzu,http://www.imdb.com/title/tt1931533/?ref_=fn_tt_tt_1,English,R,15000000,7.2,2.35
Kasi Lemmons,58,105,148,400,687081,1767,Aunjanue Ellis,0,chrysler building manhattan new york city|delusion|manhattan new york city|new york city|title directed by female,http://www.imdb.com/title/tt0182000/?ref_=fn_tt_tt_1,English,R,,6.0,1.85
,1,41,,2,,74,Jaroslaw Boberek,4,,http://www.imdb.com/title/tt4048942/?ref_=fn_tt_tt_1,Polish,,,7.4,
Oliver Hirschbiegel,192,178,101,471,5501940,2334,Alexandra Maria Lara,0,bunker|hitler|nazi|no exit|war ruins,http://www.imdb.com/title/tt0363163/?ref_=fn_tt_tt_1,German,R,13500000,8.3,1.85
Alejandro Amenábar,157,125,448,93,2086345,529,Tamar Novas,1,dignity|euthanasia|freedom|lawyer|sailor,http://www.imdb.com/title/tt0369702/?ref_=fn_tt_tt_1,Spanish,PG-13,10000000,8.1,2.35
Jonathan Glazer,454,108,143,21,2605039,19086,Alison Chand,0,alien|desire|female nudity|male frontal nudity|scotland,http://www.imdb.com/title/tt1441395/?ref_=fn_tt_tt_1,English,R,,6.3,1.85
Barry Levinson,62,121,272,227,123922370,50141,Bruno Kirby,1,disc jockey|friendship|radio|vietnam|vietnamese,http://www.imdb.com/title/tt0093105/?ref_=fn_tt_tt_1,English,R,13000000,7.3,1.85
Hyung-rae Shim,4,100,26,385,163591,2895,Michael Rispoli,5,mafia|mafia boss|mafiosi|mafioso|three word title,http://www.imdb.com/title/tt1584131/?ref_=fn_tt_tt_1,English,PG-13,13400000,3.6,1.78
Jon M. Chu,84,115,209,41,73000942,714,Boys II Men,1,boyhood friend|manager|plasma tv|prodigy|star,http://www.imdb.com/title/tt1702443/?ref_=fn_tt_tt_1,English,G,13000000,1.6,1.85
Darren Aronofsky,669,108,0,1000,106952327,38072,Mark Margolis,1,ballerina|ballet|fear|female protagonist|madness,http://www.imdb.com/title/tt0947798/?ref_=fn_tt_tt_1,English,R,13000000,8.0,2.35
José Padilha,492,117,294,1000,58607007,14160,Jennifer Ehle,0,law enforcement|police|robocop|robot|technology,http://www.imdb.com/title/tt1234721/?ref_=fn_tt_tt_1,English,PG-13,100000000,6.2,2.35
Francis Ford Coppola,149,220,0,3000,57300000,39960,Robert Duvall,1,1950s|corrupt politician|lake tahoe nevada|melancholy|revenge,http://www.imdb.com/title/tt0071562/?ref_=fn_tt_tt_1,English,R,13000000,9.0,1.85
Thomas Carter,101,112,49,237,91038276,1307,Fredro Starr,0,dance|dancing|ghetto|hip hop|imperative in title,http://www.imdb.com/title/tt0206275/?ref_=fn_tt_tt_1,English,PG-13,13000000,6.1,1.85
Renny Harlin,102,99,212,54,49369900,450,Brooke Bundy,0,demon|dream|elm street|freddy krueger|nightmare,http://www.imdb.com/title/tt0095742/?ref_=fn_tt_tt_1,English,R,7000000,5.7,1.85
Patricia Riggen,63,109,36,579,61693523,7833,Martin Henderson,0,child cancer|christian film|christianity|falling into a hole|inspiring,http://www.imdb.com/title/tt4257926/?ref_=fn_tt_tt_1,English,PG,13000000,6.8,1.85
Danny Leiner,106,83,8,612,46729374,6454,Marla Sokoloff,2,bare chested male|gay kiss|homoeroticism|lesbian kiss|transsexual,http://www.imdb.com/title/tt0242423/?ref_=fn_tt_tt_1,English,PG-13,13000000,5.5,1.37
Christopher Cain,50,107,58,316,44726644,1747,Brian Keith,5,army|cattle|deputy|new mexico|rancher,http://www.imdb.com/title/tt0096487/?ref_=fn_tt_tt_1,English,R,13000000,6.8,1.85
Theodore Melfi,275,102,51,360,44134898,20330,Reg E. Cathey,3,bullying|grumpy old man|school presentation|stroke|stroke recovery,http://www.imdb.com/title/tt2170593/?ref_=fn_tt_tt_1,English,PG-13,13000000,7.3,1.85
Steve Pink,90,100,38,460,48637684,2800,Bryan Callen,4,bedroom|boyfriend girlfriend relationship|hug|interrupted sex|urban setting,http://www.imdb.com/title/tt1826590/?ref_=fn_tt_tt_1,English,R,12500000,6.1,2.35
Gil Junger,133,97,19,835,38176108,37907,Andrew Keegan,6,dating|protective father|school|shrew|teen movie,http://www.imdb.com/title/tt0147800/?ref_=fn_tt_tt_1,English,PG-13,16000000,7.2,1.85
Ed Decter,49,92,13,301,28972187,12687,Gene Simmons,1,cheerleader|geek|high school|prison|reference to janet jackson,http://www.imdb.com/title/tt0241760/?ref_=fn_tt_tt_1,English,PG-13,13000000,5.9,1.85
Gene Quintano,19,84,0,182,27979400,12322,Bill Nunn,2,cookie|detective|microfilm|parody|sergeant,http://www.imdb.com/title/tt0107659/?ref_=fn_tt_tt_1,English,PG-13,8200000,6.1,1.85
Jaume Collet-Serra,186,86,174,2,54257433,971,Sedona Legge,0,beach|island|mexico|prey|trapped,http://www.imdb.com/title/tt4052882/?ref_=fn_tt_tt_1,English,PG-13,17000000,6.8,2.35
Eric Bress,185,120,19,829,23947,12755,Cameron Bright,0,blackout|child pornography|memory|surprise ending|time travel,http://www.imdb.com/title/tt0289879/?ref_=fn_tt_tt_1,English,R,13000000,7.7,1.85
Chris Koch,42,89,13,329,60008303,2241,Jean Smart,1,meteorologist|snow|snowed in|snowplow|weather,http://www.imdb.com/title/tt0184907/?ref_=fn_tt_tt_1,English,PG,13000000,4.9,1.85
Preston A. Whitmore II,37,117,17,912,49121934,6554,Loretta Devine,9,christmas|family home|musician|piano|secret,http://www.imdb.com/title/tt0937375/?ref_=fn_tt_tt_1,English,PG-13,13000000,6.1,2.35
Bob Clark,45,97,84,782,27141959,2936,Ruby Dee,2,baby|boy|science|scientist|toddler,http://www.imdb.com/title/tt0118665/?ref_=fn_tt_tt_1,English,PG,18000000,2.5,1.85
Kirk Wong,57,91,6,459,27052167,3353,Antonio Sabato Jr.,5,hitman|kidnapping|kosher|vhs|video store,http://www.imdb.com/title/tt0120609/?ref_=fn_tt_tt_1,English,R,13000000,6.1,1.85
Bronwen Hughes,25,100,15,388,26539321,2486,Charlotte Sullivan,1,binoculars|child spy|notebook|secret|spy,http://www.imdb.com/title/tt0116493/?ref_=fn_tt_tt_1,English,PG,13000000,5.9,1.85
John Lafia,59,72,5,435,28501605,2646,Greg Germann,0,boy|doll|foster home|killer doll|serial killer,http://www.imdb.com/title/tt0099253/?ref_=fn_tt_tt_1,English,R,13000000,5.7,1.85
Sam Miller,58,84,12,334,52543632,2297,Henry Simmons,2,home invasion|police officer shot|police officer shot in the chest|psychopath|three word title,http://www.imdb.com/title/tt2011159/?ref_=fn_tt_tt_1,English,PG-13,13200000,5.6,2.35
Frank Darabont,330,126,0,745,25592632,5371,Jeffrey DeMunn,0,desperation|fog|giant insect|survival|survival horror,http://www.imdb.com/title/tt0884328/?ref_=fn_tt_tt_1,English,R,18000000,7.2,1.85
Alex Garland,489,108,232,123,25440971,430,Corey Johnson,0,artificial intelligence|robot|robot human relationship|turing test|video surveillance,http://www.imdb.com/title/tt0470752/?ref_=fn_tt_tt_1,English,R,15000000,7.7,2.35
Spike Jonze,242,112,0,213,22858926,1171,Mary Kay Place,2,body swap|magical realism|portal|puppeteer|surrealism,http://www.imdb.com/title/tt0120601/?ref_=fn_tt_tt_1,English,R,13000000,7.8,1.85
Mark Brown,40,90,7,405,22235901,2815,Tamala Jones,2,advice|battle of the sexes|lingerie|romantic rivalry|rule,http://www.imdb.com/title/tt0269341/?ref_=fn_tt_tt_1,English,R,6000000,6.1,1.85
Dave Green,112,91,13,140,38916903,1921,Jason Gray-Stanford,0,alien|bar|construction worker|no opening credits|no title at beginning,http://www.imdb.com/title/tt2183034/?ref_=fn_tt_tt_1,English,PG,13000000,5.8,1.85
John Stockwell,84,135,134,525,16929123,6214,Rolando Molina,2,congressman|high school|latino|pacific palisades|school,http://www.imdb.com/title/tt0250224/?ref_=fn_tt_tt_1,English,PG-13,14000000,6.5,1.85
Clint Eastwood,251,141,16000,78,13753931,751,Shidô Nakamura,0,blood splatter|general|island|japan|world war two,http://www.imdb.com/title/tt0498380/?ref_=fn_tt_tt_1,Japanese,R,19000000,7.9,2.35
Michael Polish,113,104,35,844,10996440,27806,Bruce Dern,0,bank|fbi|fuel|rocket|space travel,http://www.imdb.com/title/tt0469263/?ref_=fn_tt_tt_1,English,PG,13000000,6.3,2.35
Daisy von Scherler Mayer,23,84,18,744,8026971,3352,Dave Chappelle,0,blind date|law clerk|love|manhattan new york city|world trade center manhattan new york city,http://www.imdb.com/title/tt0120531/?ref_=fn_tt_tt_1,English,R,13000000,3.8,
Lenny Abrahamson,421,118,412,491,14677654,2499,Cas Anvar,0,based on novel|escape|imprisonment|kidnapping|mother son relationship,http://www.imdb.com/title/tt3170832/?ref_=fn_tt_tt_1,English,R,13000000,8.3,2.35
Bob Saget,32,82,799,294,9975684,1805,Traylor Howard,0,cult film|gambling debt|job|off screen murder|revenge,http://www.imdb.com/title/tt0120654/?ref_=fn_tt_tt_1,English,PG-13,13000000,6.4,1.85
John Waters,52,95,0,650,7881335,3092,Traci Lords,4,dentist|housewife|howie scream|murder|perfection,http://www.imdb.com/title/tt0111127/?ref_=fn_tt_tt_1,English,R,13000000,6.7,1.66
Andrew Fleming,81,94,26,4000,6241697,31005,Kirsten Dunst,2,political cover up|political satire|teenage girl|white house|witness,http://www.imdb.com/title/tt0144168/?ref_=fn_tt_tt_1,English,PG-13,13000000,6.1,1.85
Niels Arden Oplev,,88,76,75,,998,Lena Endre,0,,http://www.imdb.com/title/tt1639008/?ref_=fn_tt_tt_1,Swedish,,,8.1,
Craig Bolotin,39,99,7,730,5871603,6485,Robert Ri'chard,3,black cop|die hard scenario|hostage negotiator|police|police brutality,http://www.imdb.com/title/tt0172726/?ref_=fn_tt_tt_1,English,R,13000000,6.0,1.85
Mark Christopher,63,121,15,812,16574731,6910,Sela Ward,4,angel dust the drug|disco|new york city|quaalude|reference to princess grace of monaco,http://www.imdb.com/title/tt0120577/?ref_=fn_tt_tt_1,English,R,13000000,5.8,1.85
Blair Hayes,47,84,2,690,5002310,18864,Marley Shelton,0,cigarette smoking|hand on butt|niagara falls|plastic bubble|wedding,http://www.imdb.com/title/tt0258470/?ref_=fn_tt_tt_1,English,PG-13,13000000,5.6,2.35
Jez Butterworth,111,93,16,258,4919896,1775,Ben Chaplin,1,bank|bank clerk|birthday|mail order bride|russian,http://www.imdb.com/title/tt0188453/?ref_=fn_tt_tt_1,English,R,13000000,6.1,2.35
Jon Lucas,168,93,24,499,25675765,2730,Sarah Wright,0,21st birthday|college student|drunken man|pubic hair|standing up to father,http://www.imdb.com/title/tt1711425/?ref_=fn_tt_tt_1,English,R,13000000,5.9,2.35
Olivier Assayas,165,120,107,280,4857376,13208,Catalina Sandino Moreno,0,baby|divorce|oscar wilde|pigalle|tourist,http://www.imdb.com/title/tt0401711/?ref_=fn_tt_tt_1,French,R,13000000,7.3,1.85
Rod Lurie,104,112,37,548,3169424,2417,Peter Coyote,1,boxing|colosseum|homeless man|reporter|writer,http://www.imdb.com/title/tt0416185/?ref_=fn_tt_tt_1,English,PG-13,13000000,6.8,2.35
Paul Weitz,150,107,80,252,18004225,3004,Christopher Evan Welch,2,adoption|female protagonist|princeton university|wedding|working women,http://www.imdb.com/title/tt1814621/?ref_=fn_tt_tt_1,English,PG-13,13000000,5.7,2.35
Patrice Leconte,61,112,83,8,3058380,2389,Yves Jacques,1,archipelago|guillotine|island|prison|redemption,http://www.imdb.com/title/tt0191636/?ref_=fn_tt_tt_1,French,R,100000000,7.3,2.35
Atom Egoyan,226,96,460,73,3074838,14372,Natalie Lisinska,2,bare chested boy|doctor|escort|infidelity|prostitute,http://www.imdb.com/title/tt1352824/?ref_=fn_tt_tt_1,English,R,11000000,6.3,1.85
Paul Mazursky,21,91,150,150,2104000,1679,Paul Mazursky,3,bathroom|bathtub|female protagonist|flashback|kitchen,http://www.imdb.com/title/tt0116269/?ref_=fn_tt_tt_1,English,R,13000000,5.9,1.85
Jim Sheridan,217,105,260,1000,28501651,39473,Ethan Suplee,0,afghanistan|death of soldier|presumed dead|prisoner|war trauma,http://www.imdb.com/title/tt0765010/?ref_=fn_tt_tt_1,English,R,26000000,7.1,2.35
Sidney Lumet,94,125,0,968,1172769,37606,Alex Rocco,2,court|drugs|judge|mafia|mobster,http://www.imdb.com/title/tt0419749/?ref_=fn_tt_tt_1,English,R,13000000,7.1,1.85
Stephen Chbosky,364,102,139,850,17738570,13631,Kate Walsh,2,coming of age|depression|gay|high school|mental illness,http://www.imdb.com/title/tt1659337/?ref_=fn_tt_tt_1,English,PG-13,13000000,8.0,1.85
Jon Hess,19,87,29,147,1200000,1139,Thomas Ian Griffith,1,exercise bicycle|face in food|police|police brutality|policeman,http://www.imdb.com/title/tt0104215/?ref_=fn_tt_tt_1,English,R,3000000,5.1,1.85
Douglas McGrath,129,118,41,442,1150403,3474,Hope Davis,4,blood|book|cold calculation|murder|writer,http://www.imdb.com/title/tt0420609/?ref_=fn_tt_tt_1,English,R,13000000,7.1,1.85
