director_name,duration,director_facebook_likes,actor_3_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,facenumber_in_poster,movie_imdb_link,country,content_rating,budget,movie_facebook_likes
Shawn Levy,95,189,306,56127162,Comedy|Romance,Taran Killam,Just Married ,57479,2,http://www.imdb.com/title/tt0305711/?ref_=fn_tt_tt_1,USA,PG-13,18000000,0
Lee Tamahori,109,93,521,1357042,Biography|Drama|Thriller,Mem Ferda,The Devil's Double ,53977,1,http://www.imdb.com/title/tt1270262/?ref_=fn_tt_tt_1,Belgium,R,15000000,14000
,43,,211,,Comedy|Drama|Reality-TV|Romance,Nicole 'Snooki' Polizzi,"Gone, Baby, Gone             ",29,1,http://www.imdb.com/title/tt1697237/?ref_=fn_tt_tt_1,,TV-14,,0
Britt Allcroft,85,2,402,15911333,Adventure|Comedy|Drama|Family|Fantasy,Mara Wilson,Thomas and the Magic Railroad ,2855,1,http://www.imdb.com/title/tt0205461/?ref_=fn_tt_tt_1,UK,G,19000000,663
Breck Eisner,101,42,219,39103378,Horror|Thriller,Radha Mitchell,The Crazies ,93272,0,http://www.imdb.com/title/tt0455407/?ref_=fn_tt_tt_1,USA,R,20000000,0
Hayao Miyazaki,125,6000,7,10049886,Adventure|Animation|Family|Fantasy,Bunta Sugawara,Spirited Away ,417971,0,http://www.imdb.com/title/tt0245429/?ref_=fn_tt_tt_1,Japan,PG,19000000,28000
Alan Yuen,118,0,30,,Action|Crime|Thriller,Andy Lau,Firestorm ,1904,1,http://www.imdb.com/title/tt3341072/?ref_=fn_tt_tt_1,China,,,332
Roger Donaldson,132,79,1000,8600000,Action|Adventure|Drama|History|Romance,Liam Neeson,The Bounty ,17982,2,http://www.imdb.com/title/tt0086993/?ref_=fn_tt_tt_1,UK,PG,25000000,1000
Brian Percival,131,33,326,21483154,Drama|War,Emily Watson,The Book Thief ,98741,1,http://www.imdb.com/title/tt0816442/?ref_=fn_tt_tt_1,USA,PG-13,19000000,53000
Sean Anders,129,51,630,8396942,Adventure|Comedy|Romance,Katrina Bowden,Sex Drive ,72715,1,http://www.imdb.com/title/tt1135985/?ref_=fn_tt_tt_1,USA,R,19000000,0
Anand Tucker,100,14,356,12561,Comedy|Romance,Adam Scott,Leap Year ,71276,2,http://www.imdb.com/title/tt1216492/?ref_=fn_tt_tt_1,USA,PG,19000000,13000
Anthony Mann,172,75,102,,Drama|History|War,James Mason,The Fall of the Roman Empire ,6156,0,http://www.imdb.com/title/tt0058085/?ref_=fn_tt_tt_1,USA,Approved,19000000,560
Michael Dowse,97,31,562,6923891,Comedy|Drama|Romance,Topher Grace,Take Me Home Tonight ,43867,4,http://www.imdb.com/title/tt0810922/?ref_=fn_tt_tt_1,USA,R,23000000,0
Daniel Barnz,121,33,505,5308553,Drama,Holly Hunter,Won't Back Down ,5147,2,http://www.imdb.com/title/tt1870529/?ref_=fn_tt_tt_1,USA,PG,,0
Emile Ardolino,92,22,0,2119994,Family|Fantasy|Music,Darci Kistler,The Nutcracker ,1153,0,http://www.imdb.com/title/tt0107719/?ref_=fn_tt_tt_1,USA,G,19000000,238
Robert Altman,116,500,530,1292527,Crime|Drama|Music|Thriller,Steve Buscemi,Kansas City ,3536,2,http://www.imdb.com/title/tt0116745/?ref_=fn_tt_tt_1,France,R,19000000,228
James Schamus,110,44,85,560512,Drama,Logan Lerman,Indignation ,550,0,http://www.imdb.com/title/tt4193394/?ref_=fn_tt_tt_1,USA,R,,599
Andrew Douglas,90,15,16000,64255243,Drama|Horror|Mystery|Thriller,Jimmy Bennett,The Amityville Horror ,80903,0,http://www.imdb.com/title/tt0384806/?ref_=fn_tt_tt_1,USA,R,19000000,0
Spike Jonze,81,0,836,22245861,Comedy|Drama,Nicolas Cage,Adaptation. ,143251,0,http://www.imdb.com/title/tt0268126/?ref_=fn_tt_tt_1,USA,R,19000000,0
George A. Romero,97,0,233,20433940,Horror,Tony Nappo,Land of the Dead ,78883,8,http://www.imdb.com/title/tt0418819/?ref_=fn_tt_tt_1,Canada,R,15000000,0
Danny Pang,107,15,27,,Action,Louis Koo,Out of Inferno ,625,2,http://www.imdb.com/title/tt2957680/?ref_=fn_tt_tt_1,China,PG-13,,124
Terry Gilliam,118,0,551,10562387,Adventure|Comedy|Drama,Johnny Depp,Fear and Loathing in Las Vegas ,213226,0,http://www.imdb.com/title/tt0120669/?ref_=fn_tt_tt_1,USA,R,18500000,15000
Ricky Gervais,100,0,985,18439082,Comedy|Fantasy|Romance,Jennifer Garner,The Invention of Lying ,94292,3,http://www.imdb.com/title/tt1058017/?ref_=fn_tt_tt_1,USA,PG-13,18500000,13000
Nicholas Stoller,97,89,329,150056505,Comedy,Craig Roberts,Neighbors ,216581,3,http://www.imdb.com/title/tt2004420/?ref_=fn_tt_tt_1,USA,R,18000000,21000
Chuck Russell,114,55,360,119938730,Action|Comedy|Crime|Fantasy,Peter Greene,The Mask ,265818,0,http://www.imdb.com/title/tt0110475/?ref_=fn_tt_tt_1,USA,PG-13,18000000,0
Penny Marshall,130,545,697,114968774,Comedy|Drama|Family|Fantasy|Romance,Tom Hanks,Big ,153468,1,http://www.imdb.com/title/tt0094737/?ref_=fn_tt_tt_1,USA,PG,18000000,0
Larry Charles,82,119,6,128505958,Comedy,Luenell,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,297014,1,http://www.imdb.com/title/tt0443453/?ref_=fn_tt_tt_1,USA,R,18000000,0
Robert Luketic,96,126,584,95001351,Comedy|Romance,Linda Cardellini,Legally Blonde ,131801,1,http://www.imdb.com/title/tt0250494/?ref_=fn_tt_tt_1,USA,PG-13,18000000,0
Leonard Nimoy,105,12000,643,76400000,Action|Adventure|Sci-Fi,Leonard Nimoy,Star Trek III: The Search for Spock ,58743,1,http://www.imdb.com/title/tt0088170/?ref_=fn_tt_tt_1,USA,PG,17000000,0
Scott Derrickson,122,301,457,75072454,Drama|Horror|Thriller,Tom Wilkinson,The Exorcism of Emily Rose ,96569,0,http://www.imdb.com/title/tt0404032/?ref_=fn_tt_tt_1,USA,PG-13,20000000,0
Mike Mitchell,88,31,489,65535067,Comedy|Romance,Amy Poehler,Deuce Bigalow: Male Gigolo ,59380,1,http://www.imdb.com/title/tt0205000/?ref_=fn_tt_tt_1,USA,R,17000000,0
Vic Armstrong,110,179,734,13998282,Action|Drama|Fantasy|Mystery|Thriller,Nicolas Cage,Left Behind ,24854,1,http://www.imdb.com/title/tt2467046/?ref_=fn_tt_tt_1,USA,PG-13,16000000,31000
Thomas Bezucha,103,15,172,6061759,Comedy|Drama|Romance,Craig T. Nelson,The Family Stone ,49077,0,http://www.imdb.com/title/tt0356680/?ref_=fn_tt_tt_1,USA,PG-13,17000000,0
Kevin Rodney Sullivan,106,8,521,64955956,Comedy|Drama,Harry Lennix,Barbershop 2: Back in Business ,10104,4,http://www.imdb.com/title/tt0337579/?ref_=fn_tt_tt_1,USA,PG-13,18000000,265
Terry Zwigoff,98,72,566,60057639,Comedy|Crime|Drama,Bernie Mac,Bad Santa ,107815,2,http://www.imdb.com/title/tt0307987/?ref_=fn_tt_tt_1,USA,R,18000000,10000
Jay Roach,68,116,481,53868030,Comedy|Crime,Will Ferrell,Austin Powers: International Man of Mystery ,183425,2,http://www.imdb.com/title/tt0118655/?ref_=fn_tt_tt_1,USA,PG-13,17000000,0
Kirk Jones,94,52,261,59573085,Comedy|Family|Romance,Nia Vardalos,My Big Fat Greek Wedding 2 ,13562,10,http://www.imdb.com/title/tt3760922/?ref_=fn_tt_tt_1,USA,PG-13,18000000,19000
David Bowers,99,42,557,52691009,Comedy|Family,Zachary Gordon,Diary of a Wimpy Kid: Rodrick Rules ,18727,2,http://www.imdb.com/title/tt1650043/?ref_=fn_tt_tt_1,USA,PG,21000000,0
John McTiernan,107,323,794,59735548,Action|Horror|Sci-Fi,Shane Black,Predator ,290949,1,http://www.imdb.com/title/tt0093773/?ref_=fn_tt_tt_1,USA,R,15000000,13000
Milos Forman,180,869,521,51600000,Biography|Drama|History|Music,Jeffrey Jones,Amadeus ,270790,0,http://www.imdb.com/title/tt0086879/?ref_=fn_tt_tt_1,USA,R,18000000,16000
Nelson McCormick,89,29,458,43818159,Horror|Mystery,Ming-Na Wen,Prom Night ,27664,0,http://www.imdb.com/title/tt0926129/?ref_=fn_tt_tt_1,USA,PG-13,20000000,1000
Mark Waters,97,70,625,86049418,Comedy,Tina Fey,Mean Girls ,245989,4,http://www.imdb.com/title/tt0377092/?ref_=fn_tt_tt_1,USA,PG-13,17000000,0
Audrey Wells,113,22,148,43601508,Comedy|Drama|Romance,Raoul Bova,Under the Tuscan Sun ,35718,1,http://www.imdb.com/title/tt0328589/?ref_=fn_tt_tt_1,USA,PG-13,18000000,0
Robert Altman,131,500,555,41300105,Drama|Mystery,Kristin Scott Thomas,Gosford Park ,65201,0,http://www.imdb.com/title/tt0280707/?ref_=fn_tt_tt_1,UK,R,19800000,0
,44,,650,,Comedy|Drama|Romance,Peter Gallagher,The O.C.             ,65785,8,http://www.imdb.com/title/tt0362359/?ref_=fn_tt_tt_1,USA,TV-PG,,0
Francis Ford Coppola,103,0,805,41382841,Comedy|Drama|Fantasy|Romance,Nicolas Cage,Peggy Sue Got Married ,27149,0,http://www.imdb.com/title/tt0091738/?ref_=fn_tt_tt_1,USA,PG-13,18000000,0
Alejandro G. Iñárritu,119,0,529,42335698,Comedy|Drama|Romance,Emma Stone,Birdman or (The Unexpected Virtue of Ignorance) ,395087,8,http://www.imdb.com/title/tt2562232/?ref_=fn_tt_tt_1,USA,R,18000000,114000
Woody Allen,98,11000,218,33404871,Drama,Sally Hawkins,Blue Jasmine ,150082,1,http://www.imdb.com/title/tt2334873/?ref_=fn_tt_tt_1,USA,PG-13,18000000,36000
Paul Greengrass,111,521,64,31471430,Drama|History|Thriller,Christian Clemenson,United 93 ,83374,0,http://www.imdb.com/title/tt0475276/?ref_=fn_tt_tt_1,USA,R,15000000,0
Bille Woodruff,94,23,582,30222640,Drama|Music|Romance,Christian Monzon,Honey ,36666,2,http://www.imdb.com/title/tt0322589/?ref_=fn_tt_tt_1,USA,PG-13,25000000,0
Edward Zwick,122,380,2000,26830000,Drama|History|War,Denzel Washington,Glory ,101889,3,http://www.imdb.com/title/tt0097441/?ref_=fn_tt_tt_1,USA,R,18000000,0
Rick Friedberg,81,8,341,26906039,Action|Comedy,Hulk Hogan,Spy Hard ,29621,2,http://www.imdb.com/title/tt0117723/?ref_=fn_tt_tt_1,USA,PG-13,18000000,588
John Carpenter,89,0,606,21378000,Fantasy|Horror,Jamie Lee Curtis,The Fog ,46492,0,http://www.imdb.com/title/tt0080749/?ref_=fn_tt_tt_1,USA,R,1000000,7000
Sean McNamara,106,80,723,43853424,Biography|Drama|Family|Sport,Dennis Quaid,Soul Surfer ,35514,1,http://www.imdb.com/title/tt1596346/?ref_=fn_tt_tt_1,USA,PG,18000000,15000
Mike Nichols,122,0,191,,Comedy|Drama|War,Bob Newhart,Catch-22 ,17277,0,http://www.imdb.com/title/tt0065528/?ref_=fn_tt_tt_1,USA,R,18000000,0
Jody Hill,86,62,59,23993605,Comedy|Crime|Drama,Collette Wolfe,Observe and Report ,52467,1,http://www.imdb.com/title/tt1197628/?ref_=fn_tt_tt_1,USA,R,18000000,0
Richard Fleischer,103,130,406,26400000,Action|Adventure|Fantasy,Mako,Conan the Destroyer ,62009,1,http://www.imdb.com/title/tt0087078/?ref_=fn_tt_tt_1,USA,PG,18000000,2000
Martin Scorsese,121,17000,356,45250,Biography|Drama|Sport,Robert De Niro,Raging Bull ,235133,1,http://www.imdb.com/title/tt0081398/?ref_=fn_tt_tt_1,USA,R,18000000,0
Brandon Camp,109,7,827,22927390,Drama|Romance,Judy Greer,Love Happens ,25344,0,http://www.imdb.com/title/tt0899106/?ref_=fn_tt_tt_1,USA,PG-13,18000000,0
Barry Levinson,109,272,124,4250320,Adventure|Fantasy|Mystery|Thriller,Nicholas Rowe,Young Sherlock Holmes ,14870,1,http://www.imdb.com/title/tt0090357/?ref_=fn_tt_tt_1,USA,PG-13,18000000,0
Kevin Tancharoen,123,64,637,22452209,Comedy|Drama|Musical|Romance,Kelsey Grammer,Fame ,14062,0,http://www.imdb.com/title/tt1016075/?ref_=fn_tt_tt_1,USA,PG,18000000,0
Danny Boyle,94,0,223,18329466,Adventure|Biography|Drama|Thriller,James Franco,127 Hours ,279179,0,http://www.imdb.com/title/tt1542344/?ref_=fn_tt_tt_1,USA,R,18000000,63000
Woody Allen,94,11000,975,17071230,Comedy|Crime,Woody Allen,Small Time Crooks ,31169,0,http://www.imdb.com/title/tt0196216/?ref_=fn_tt_tt_1,USA,PG,18000000,812
Nicholas Hytner,115,13,111,17174870,Drama|Music|Romance,Amanda Schull,Center Stage ,15817,2,http://www.imdb.com/title/tt0210616/?ref_=fn_tt_tt_1,USA,PG-13,18000000,0
Jessie Nelson,107,24,85,26284475,Comedy,Olivia Wilde,Love the Coopers ,9051,13,http://www.imdb.com/title/tt2279339/?ref_=fn_tt_tt_1,USA,PG-13,17000000,0
Bart Freundlich,91,38,362,16702864,Comedy|Crime,Kristen Stewart,Catch That Kid ,8023,0,http://www.imdb.com/title/tt0337917/?ref_=fn_tt_tt_1,USA,PG,18000000,591
Irwin Winkler,125,34,1000,15561627,Drama,Ian Somerhalder,Life as a House ,39105,0,http://www.imdb.com/title/tt0264796/?ref_=fn_tt_tt_1,USA,R,18000000,0
Danny Boyle,122,0,816,17750583,Biography|Drama,Kate Winslet,Steve Jobs ,93548,0,http://www.imdb.com/title/tt2080374/?ref_=fn_tt_tt_1,UK,R,30000000,23000
Chris Columbus,102,0,529,14793904,Comedy|Romance,Alan Ruck,"I Love You, Beth Cooper ",28209,1,http://www.imdb.com/title/tt1032815/?ref_=fn_tt_tt_1,Canada,PG-13,18000000,0
Miguel Arteta,90,44,729,15281286,Comedy|Drama|Romance,Steve Buscemi,Youth in Revolt ,64646,2,http://www.imdb.com/title/tt0403702/?ref_=fn_tt_tt_1,USA,R,18000000,0
William A. Fraker,98,28,102,8000000,Action|Adventure|Western,Jason Robards,The Legend of the Lone Ranger ,1400,0,http://www.imdb.com/title/tt0082648/?ref_=fn_tt_tt_1,USA,PG,18000000,346
John Boorman,109,128,1000,13491653,Drama|Thriller,Daniel Radcliffe,The Tailor of Panama ,23728,0,http://www.imdb.com/title/tt0236784/?ref_=fn_tt_tt_1,USA,R,18000000,813
Brian De Palma,107,0,101,,Mystery|Thriller,Nancy Allen,Blow Out ,27629,0,http://www.imdb.com/title/tt0082085/?ref_=fn_tt_tt_1,USA,R,18000000,2000
Courtney Solomon,90,31,179,10494494,Action|Crime|Thriller,Rebecca Budig,Getaway ,19586,1,http://www.imdb.com/title/tt2167202/?ref_=fn_tt_tt_1,USA,PG-13,18000000,4000
Ang Lee,112,0,177,7837632,Drama,Joan Allen,The Ice Storm ,46396,0,http://www.imdb.com/title/tt0119349/?ref_=fn_tt_tt_1,USA,R,18000000,0
Rob Reiner,94,0,197,15155772,Comedy|Drama|Romance,Yaya DaCosta,And So It Goes ,8895,2,http://www.imdb.com/title/tt2465146/?ref_=fn_tt_tt_1,USA,PG-13,18000000,3000
Jeff Kanew,105,6,371,8508843,Adventure|Comedy,Craig T. Nelson,Troop Beverly Hills ,7470,1,http://www.imdb.com/title/tt0098519/?ref_=fn_tt_tt_1,USA,PG,18000000,0
István Szabó,104,109,202,7739049,Comedy|Drama|Romance,Miriam Margolyes,Being Julia ,10680,2,http://www.imdb.com/title/tt0340012/?ref_=fn_tt_tt_1,Canada,R,18000000,562
Adrian Lyne,112,213,45,6734844,Drama|Romance,David Margulies,9½ Weeks ,29591,0,http://www.imdb.com/title/tt0091635/?ref_=fn_tt_tt_1,USA,R,17000000,0
Matthew Robbins,108,25,94,6000000,Action|Adventure|Fantasy,Ian McDiarmid,Dragonslayer ,10832,0,http://www.imdb.com/title/tt0082288/?ref_=fn_tt_tt_1,USA,PG,18000000,0
Michael Hoffman,112,97,231,6615578,Biography|Drama|Romance,David Masterson,The Last Station ,15352,2,http://www.imdb.com/title/tt0824758/?ref_=fn_tt_tt_1,Germany,R,13000000,0
Tim Burton,127,13000,940,5887457,Biography|Comedy|Drama,Johnny Depp,Ed Wood ,142416,1,http://www.imdb.com/title/tt0109707/?ref_=fn_tt_tt_1,USA,R,18000000,0
Jason Reitman,111,655,405,13362308,Drama,J.K. Simmons,Labor Day ,31898,1,http://www.imdb.com/title/tt1967545/?ref_=fn_tt_tt_1,USA,PG-13,18000000,0
Sergey Bodrov,126,44,9,5701643,Adventure|Biography|Drama|History|War,Tadanobu Asano,Mongol: The Rise of Genghis Khan ,37635,0,http://www.imdb.com/title/tt0416044/?ref_=fn_tt_tt_1,Russia,R,20000000,0
Guy Ritchie,114,0,1000,5694401,Action|Crime|Thriller,Tom Hardy,RocknRolla ,194489,4,http://www.imdb.com/title/tt1032755/?ref_=fn_tt_tt_1,UK,R,18000000,12000
Hal Needham,99,379,251,5333658,Action|Sci-Fi,Barry Bostwick,Megaforce ,2541,2,http://www.imdb.com/title/tt0084316/?ref_=fn_tt_tt_1,USA,PG,20000000,0
Kenneth Branagh,150,0,401,4414535,Drama,Julie Christie,Hamlet ,30618,0,http://www.imdb.com/title/tt0116477/?ref_=fn_tt_tt_1,UK,PG-13,18000000,0
Bruce Beresford,117,78,238,4806750,Biography|Drama|Music|Romance,Bruce Greenwood,Mao's Last Dancer ,6091,0,http://www.imdb.com/title/tt1071812/?ref_=fn_tt_tt_1,Australia,PG,,0
Jeff Nichols,112,337,201,3707794,Adventure|Drama|Sci-Fi|Thriller,Kirsten Dunst,Midnight Special ,31359,0,http://www.imdb.com/title/tt2649554/?ref_=fn_tt_tt_1,Greece,PG-13,18000000,0
Woody Allen,108,11000,922,3203044,Comedy|Romance,Woody Allen,Anything Else ,25165,2,http://www.imdb.com/title/tt0313792/?ref_=fn_tt_tt_1,USA,R,18000000,827
Jonathan Teplitzky,116,6,212,4435083,Biography|Drama|Romance|War,Jeremy Irvine,The Railway Man ,27882,2,http://www.imdb.com/title/tt2058107/?ref_=fn_tt_tt_1,Australia,R,18000000,18000
,60,,405,,Drama|Mystery,Poppy Montgomery,Unforgettable             ,12854,1,http://www.imdb.com/title/tt1842530/?ref_=fn_tt_tt_1,USA,,,0
Michael Haneke,144,0,16,2222647,Drama|Mystery,Ulrich Tukur,The White Ribbon ,52958,0,http://www.imdb.com/title/tt1149362/?ref_=fn_tt_tt_1,Germany,R,12000000,0
Zack Ward,92,662,161,,Horror,Zack Ward,Restoration ,436,0,http://www.imdb.com/title/tt4517738/?ref_=fn_tt_tt_1,USA,,,378
Mike Marvin,93,28,415,3500000,Action|Horror|Romance|Sci-Fi|Thriller,Clint Howard,The Wraith ,10082,2,http://www.imdb.com/title/tt0092240/?ref_=fn_tt_tt_1,USA,R,2700000,0
D.J. Caruso,103,154,576,676698,Crime|Drama|Mystery|Thriller,Adam Goldberg,The Salton Sea ,26730,0,http://www.imdb.com/title/tt0235737/?ref_=fn_tt_tt_1,USA,R,18000000,2000
Nimród Antal,93,190,151,3419967,Music,James Hetfield,Metallica Through the Never ,13359,0,http://www.imdb.com/title/tt2172935/?ref_=fn_tt_tt_1,USA,R,,19000
Gregor Jordan,98,34,394,,Crime|Drama|Thriller,Austin Nichols,The Informers ,14324,1,http://www.imdb.com/title/tt0865554/?ref_=fn_tt_tt_1,Germany,R,18000000,1000
