num_critic_for_reviews,actor_2_name,language,country,title_year,imdb_score
108,Enrico Colantoni,English,USA,2002,4.7
65,Tawny Kitaen,English,UK,1986,5.7
8,Amy Sedaris,English,USA,,8.1
85,Brian Blessed,English,UK,1996,7.8
160,Peter Stickles,English,USA,2006,6.5
231,Ronny Dayag,Hebrew,Israel,2008,8.0
7,Kirby Heyborne,English,USA,2003,3.3
79,Dick Cheney,English,USA,2007,8.3
168,David Fine,English,USA,2015,6.9
1,Jon Tenney,English,USA,,7.3
107,Buzz Aldrin,English,UK,2007,8.1
200,Zoe Kazan,English,USA,2010,6.5
123,Bill Maher,English,USA,2005,6.8
39,Manny Perez,English,USA,2000,7.3
41,Bob Balaban,English,UK,1997,6.4
46,Krysta Rodriguez,English,USA,2010,4.6
30,Isabelle Adjani,French,France,1985,6.5
46,Mark Margolis,English,USA,2004,7.0
221,Nathan Parsons,English,USA,2007,5.4
51,Stephane Gauger,English,USA,1998,6.7
1,Bobby Deol,Hindi,India,2000,2.8
58,Neil Maskell,English,UK,2004,7.4
45,Steve Buscemi,English,USA,2009,5.8
44,Annette Badland,English,UK,1997,7.1
74,Caleb Landry Jones,English,USA,2015,4.5
20,Colin Ferguson,English,USA,,7.9
6,Sanjay Mishra,Hindi,India,2008,5.3
5,Frank Vincent,English,USA,2003,5.4
10,Jansen Panettiere,English,Thailand,2013,4.8
81,Jeremy Jordan,English,USA,2014,5.9
66,Amy Ryan,English,USA,2009,6.2
46,Kent McCord,English,USA,1993,5.9
34,Chris Evans,English,UK,2005,6.6
78,Kate Burton,English,USA,2006,6.6
52,Megan Mullally,English,USA,2002,5.1
29,Michael McLafferty,English,USA,2015,6.0
161,Jack O'Connell,English,UK,2008,6.8
18,James Kyson,English,USA,2013,5.4
107,James Corden,English,UK,2009,5.2
30,Kenneth Nkosi,English,South Africa,2008,7.8
24,Lee Evans,English,UK,2004,6.4
116,Sean Rogerson,English,Canada,2011,6.1
98,Tommy Knight,English,Ireland,2012,5.7
25,William Lee Scott,English,USA,2010,5.5
,Tim Rice,English,UK,2015,7.4
40,Charlotte Rae,English,USA,1971,7.1
20,Linus Roache,English,USA,2012,3.9
8,Mario Cimarro,English,USA,2007,4.6
19,Tim Daly,English,USA,,7.3
90,Everett Sloane,English,USA,1947,7.7
21,Lew Temple,English,USA,2008,4.9
12,M.C. Gainey,English,USA,2002,6.3
33,Saffron Burrows,English,USA,2012,6.1
9,Ben Schwartz,English,USA,2013,6.6
94,Kevin McCarthy,English,USA,2012,5.7
41,Curtiss Cook,English,USA,2013,5.6
38,Lex Barker,German,West Germany,1967,6.0
12,Powers Boothe,English,USA,2013,5.7
25,Zero Mostel,English,USA,1966,7.0
27,Eddie Vedder,English,USA,2007,5.3
2,Kevin Alejandro,English,USA,2011,4.4
23,Wray Crawford,English,USA,2015,3.4
32,Bella Heathcote,English,USA,2015,4.5
18,Michael Aaron Milligan,English,USA,2015,3.4
45,Daniel Roebuck,English,USA,1986,7.1
60,Anthony Edwards,English,USA,2003,6.4
23,Mike 'The Miz' Mizanin,English,USA,2015,5.2
363,Samantha Mathis,English,Spain,2010,7.0
249,Paddy Considine,English,UK,2010,7.3
68,Ahmed Hassan,Arabic,Egypt,2013,8.1
14,Lizzie Brocheré,French,France,2006,5.8
359,Judy Greer,English,USA,2013,5.9
15,Remo,Hindi,India,2013,6.4
256,Lin Shaye,English,USA,1984,7.5
194,Philippe Petit,English,UK,2008,7.8
,Peter Feeney,English,New Zealand,2015,6.3
10,Adam Ratcliffe,English,USA,2015,7.2
311,Ashley Bell,English,France,2010,5.6
205,Ophelia Lovibond,English,UK,2009,7.2
94,Karl Malden,English,USA,1951,8.0
192,Slim Pickens,English,USA,1964,8.5
85,Ana Claudia Talancón,Spanish,Mexico,2002,6.8
663,Gina Montana,English,USA,2012,7.3
62,Paul Williams,English,USA,1973,5.5
39,David Patrick Kelly,English,USA,2000,7.3
68,Bill Irwin,English,USA,2011,6.3
3,T.R. Silambarasan,Tamil,India,2015,5.1
130,J.J. Abrams,English,USA,2011,6.6
13,Gary Farmer,English,USA,1993,6.1
44,Lhakpa Dorji,Dzongkha,Australia,2003,7.5
26,Bruce Dern,English,USA,1968,7.0
27,Jim Backus,English,USA,1952,7.2
53,Tom Cavanagh,English,USA,2007,5.3
,Luke Edwards,English,USA,2016,8.7
10,Keenan Tracey,English,Canada,2013,3.4
4,Essence Atkins,English,USA,2012,5.4
181,Ludger Pistor,German,Germany,1998,7.8
114,Will Estes,English,USA,2002,6.7
11,CJ Adams,English,Canada,2013,4.7
1,Chris Cleveland,English,USA,2013,6.3
75,Eugenio Derbez,Spanish,Mexico,2007,7.4
80,Gordon Jump,English,USA,1972,6.1
179,Sissy Spacek,English,USA,2001,7.5
225,Chad Lindberg,English,USA,2010,6.3
77,Illeana Douglas,English,USA,1999,6.3
124,Natalie Press,English,UK,2004,6.8
195,Nimrat Kaur,Hindi,India,2013,7.8
76,Joan Allen,English,UK,2004,6.9
51,Ann Miller,English,USA,1938,8.0
101,Donna Reed,English,USA,1953,7.8
55,Ben Johnson,English,USA,1949,7.4
15,Michael Welch,English,USA,2013,6.1
16,Clifton Powell,English,USA,1999,4.3
5,Lamman Rucker,English,USA,2010,3.5
109,Adel Karam,Arabic,France,2007,7.2
40,Pixie Davies,English,USA,2014,4.7
51,Lior Ashkenazi,Hebrew,Israel,2006,7.3
149,Teri Garr,English,USA,1974,7.9
4,Revathy,English,India,2005,5.1
35,Jean-Paul Belmondo,French,France,1969,7.2
22,Marisa Coughlan,English,USA,2003,5.4
68,Gage Golightly,English,USA,2016,3.7
287,Kevin Zegers,English,USA,2004,7.4
173,Cheryl Hines,English,USA,2007,7.1
61,Donald Gibb,English,USA,1988,6.8
96,Jean Arthur,English,USA,1939,8.2
71,Leo Fitzpatrick,English,USA,1995,7.0
110,Elizabeth Meriwether,English,USA,2005,7.4
110,Jennifer Westfeldt,English,USA,2001,6.7
101,Ni Yan,Mandarin,China,2009,5.7
2,T.J. Storm,,USA,2016,9.1
97,Rhonda Fleming,English,USA,1945,7.6
53,Mia Kirshner,English,Canada,1994,7.2
106,Vincent Gallo,English,USA,1998,7.5
445,Barbara Hershey,English,USA,2010,6.8
131,Tracey Walter,English,USA,1984,6.9
94,Gastón Pauls,Spanish,Argentina,2000,7.9
105,Yuval Diskin,Hebrew,Israel,2012,7.6
75,Susanna Thompson,English,USA,2005,6.7
97,Alia Shawkat,English,USA,2013,5.8
37,Salvator Xuereb,English,France,1993,6.5
84,Theresa Russell,English,USA,2001,7.2
88,Connor Paolo,English,USA,2007,6.9
6,Lisa Brave,English,USA,2014,5.5
127,Brendan Sexton III,English,USA,2001,6.5
32,Jeff Garlin,English,USA,2006,6.2
8,Nia Long,English,USA,2010,6.7
229,Kane Hodder,English,USA,2006,5.7
120,Stanley Blystone,English,USA,1936,8.6
31,Aidan Quinn,English,USA,2002,6.5
100,Dan Hicks,English,USA,2007,6.3
14,Monica Calhoun,English,USA,2005,4.3
14,Jim O'Heir,English,USA,2015,6.1
39,Jenny O'Hara,English,USA,2005,6.0
35,John Arcilla,English,USA,2010,5.8
178,Georgina Reilly,English,Canada,2008,6.7
46,Joey Lauren Adams,English,USA,2008,6.7
,Jaime Zevallos,English,USA,2015,7.6
234,Dee Wallace,English,USA,2012,5.1
166,Bruce Hopkins,English,New Zealand,2014,6.8
56,Jon Hunter,English,USA,2005,6.8
16,Sarah Lind,English,Canada,2005,6.8
9,Michael Rapaport,English,USA,2013,6.3
18,Joe Armstrong,English,Romania,2014,7.1
