genres,imdb_score
Western,8.9
Comedy|Drama,7.9
Comedy|Drama,6.0
Comedy|Music,6.1
Documentary,7.4
Comedy|Documentary,6.2
Drama,5.6
Comedy|Drama,7.2
Adventure|Comedy|Drama,6.1
Comedy,3.8
Action|Adventure|Romance|War,7.1
Thriller,4.5
Action|Horror|Mystery|Thriller,3.8
Adventure|Comedy|Sport,6.2
Action|Comedy,6.6
Horror,4.6
Horror,4.2
Comedy,6.8
Crime|Drama|Thriller,7.7
Drama|Horror|Thriller,7.1
Action|Drama|Horror|Thriller,5.9
Documentary|Drama,4.7
Comedy|Horror|Musical,7.0
Drama,6.9
Sci-Fi|Thriller,6.1
Action|Crime|Thriller,7.6
Action|Horror|Sci-Fi,3.0
Horror,2.6
Drama|Romance|War,8.6
Drama|Horror|Mystery|Thriller,6.1
Comedy|Drama,7.5
Drama|Sci-Fi,6.7
Drama|Sport,8.1
Drama,4.9
Fantasy|Horror,6.8
Adventure|Comedy|History,6.8
Horror|Mystery|Thriller,5.7
Crime|Drama,8.3
Horror,6.6
Action|Adventure|Thriller,7.3
Horror|Mystery|Sci-Fi|Thriller,5.0
Fantasy|Horror,7.0
Drama,3.4
Drama|Horror|Mystery|Thriller,5.9
Action|Adventure|Drama|Sci-Fi|Thriller,6.0
Drama|Romance,7.4
Adventure|Comedy|Drama,7.4
Horror,4.2
Comedy|Drama|Music,6.2
Drama|Romance|Western,6.2
Documentary,7.5
Action|Drama|Romance|War,7.2
Biography|Documentary|Music,7.2
Adventure|Horror,5.4
Drama|Family|Romance,7.0
Biography|Comedy|Drama|Romance,7.2
Documentary,7.9
Drama,6.8
Comedy|Drama|Romance,6.7
Comedy|Drama|Romance,7.5
Comedy|Drama,6.8
Drama|Mystery|Thriller,6.9
Comedy|Drama,6.8
Crime|Drama,7.2
Documentary|Music,7.4
Comedy|Drama,5.6
Comedy|Drama|Romance,6.8
Comedy|Drama|Music,7.2
Documentary,7.7
Comedy|Drama|Romance|Sport,7.0
Comedy|Fantasy|Mystery,7.2
Adventure|Comedy|Family|Fantasy|Horror,6.4
Drama,7.2
Crime|Drama|Mystery,7.2
Drama|Romance,6.2
Comedy,6.9
Comedy|Sci-Fi,6.2
Drama|Romance,6.9
Comedy|Drama,7.0
Drama,6.7
Comedy|Romance,3.6
Drama,6.3
Crime|Drama,7.4
Comedy|Drama|Fantasy|Romance,7.4
Drama|Romance|Sci-Fi,7.3
Comedy|Drama|Romance,6.1
Drama|Fantasy|Thriller,6.7
Biography|Crime|Documentary|History,8.2
Crime|Documentary|War,7.7
Documentary|Sport,7.3
Drama,7.4
Comedy|Drama,5.7
Adventure|Biography|Documentary|Drama,7.6
Documentary,6.8
Action|Drama,5.6
Thriller,4.8
Horror,6.4
Comedy|Crime|Thriller,6.8
Comedy|Crime,6.1
Crime|Drama|Romance,5.2
Comedy|Drama,6.9
Action|Comedy|Fantasy|Sci-Fi,6.0
Comedy|Romance,6.3
Crime|Drama|Thriller,6.1
Drama|Sci-Fi,5.5
Comedy|Drama|Sci-Fi,6.9
Comedy|Drama,5.6
Action|Adventure|Comedy|Fantasy|Sci-Fi,1.9
Action|Drama,4.1
Comedy|Drama,5.4
Crime|Drama|Romance,6.8
Comedy|Family,7.0
Drama|Romance,6.7
Comedy|Drama,5.8
Crime|Drama|Thriller,6.2
Comedy,2.8
Drama,7.3
Drama,5.8
Drama,6.5
Drama,6.1
Comedy|Horror|Sci-Fi,5.1
Horror,2.2
Drama|Romance,7.2
Comedy|Drama|Romance,5.7
Comedy|Music,3.4
Western,3.8
Horror|Thriller,4.7
Horror|Mystery,5.6
Drama|Thriller,3.9
Drama|Musical|Sci-Fi,5.4
Horror,5.2
Action|Comedy|Horror,3.5
Drama,5.3
Crime|Drama|Mystery|Thriller,7.0
Drama|Romance|Sci-Fi,7.1
Horror|Thriller,5.5
Comedy,5.9
Drama,6.0
Comedy|Romance,4.8
Documentary|News,7.1
Crime|Drama|Romance,8.2
Comedy,5.7
Drama,7.9
Horror,7.3
Crime|Drama|Thriller,7.1
Drama|Thriller,6.4
Drama,5.9
Biography|Drama|Romance,7.5
Comedy|Fantasy|Thriller,6.4
Animation|Drama|Family,7.4
Comedy|Romance|Sport,7.3
Action|Drama|Thriller,6.5
Comedy|Drama|Romance,7.2
Drama,6.7
Drama,7.1
Comedy,6.0
Comedy|Drama|Romance,6.7
Drama|Fantasy|Sci-Fi,5.6
Crime|Drama|Thriller,7.0
Action|Comedy|Drama|Sci-Fi,4.9
Mystery|Thriller,3.2
Drama|Mystery,8.4
Thriller,6.9
Comedy|Drama,7.5
Drama|Romance,7.2
Drama|Romance,7.2
Crime|Drama|Romance,8.0
Drama,7.4
Drama,7.2
Drama|Thriller,6.5
Crime|Drama|Romance,7.2
Drama,4.2
Comedy,5.1
Comedy|Horror,6.4
Action|Adventure|Drama|War,6.8
Horror|Sci-Fi|Short|Thriller,6.2
Comedy|Drama|Music,7.5
Documentary|War,7.7
Action|Adventure|Animation|Comedy|Fantasy|Sci-Fi,6.9
Comedy|Drama|Romance,7.0
Comedy|Documentary,7.5
Crime|Horror|Thriller,6.3
Horror,5.5
Drama|Fantasy|Horror|Mystery|Thriller,4.8
Drama,8.1
Drama,6.6
Crime|Drama|Horror|Thriller,5.2
Horror,5.6
Horror,3.1
Thriller|Western,8.1
Documentary|Drama|Sport,8.3
Documentary|Music,7.1
Action|Adventure|Fantasy|Sci-Fi,8.1
Crime|Drama,7.2
Drama|Mystery|Thriller,6.3
Drama|Music|Romance,4.0
Action|Adventure|Drama|Romance,7.2
Horror,5.3
Drama,7.2
Drama,6.5
Comedy,6.5
Crime|Drama|Thriller,4.9
Fantasy|Horror,5.2
Documentary,7.4
Documentary,7.4
Fantasy|Horror|Mystery|Thriller,5.4
Drama|Thriller,3.9
Comedy|Drama,5.3
Comedy|Musical|Romance,7.8
Horror,6.4
Documentary|History|Music,8.1
Comedy,6.5
Action|Crime|Drama,5.6
Mystery|Thriller,5.6
Drama,6.6
Crime|Drama,6.3
Documentary,7.7
Documentary,7.0
Action|Drama|Thriller,8.0
Comedy|Drama,7.2
Thriller,4.5
Comedy|Musical,7.7
Documentary,7.2
Drama|Romance,6.1
Comedy,6.4
Drama|Romance,6.5
Biography|Documentary|Drama,7.0
Adventure|Family|Romance,6.1
Adventure|Biography|Drama|Horror|Thriller,5.7
Comedy,5.4
Horror|Sci-Fi,5.9
Documentary|Family|Music,7.5
Comedy|Drama,7.7
Drama,7.1
Documentary,7.4
Biography|Documentary|Sport,7.6
Comedy|Drama|Romance,6.4
Drama,7.4
Documentary,6.8
Drama|Music,6.5
Comedy|Crime|Family,6.0
Drama,7.3
Crime|Drama,7.3
Crime|Drama|Romance,6.5
Comedy|Romance,6.0
Crime|Drama|Thriller,5.3
Comedy|Drama,6.6
Comedy|Drama|Romance,6.1
Documentary,7.1
Action|Adventure|Drama,8.7
Documentary|Sport,8.4
Comedy|Music|Romance,5.8
Comedy,6.2
Comedy|Fantasy|Horror,5.8
Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,6.7
Comedy|Romance,5.7
Drama|Sport,6.1
Drama|Sci-Fi|Thriller,6.4
Drama,5.0
Comedy,6.5
Comedy|Horror,4.6
Comedy|Crime,7.7
Biography|Documentary|Music,7.3
Drama,6.6
Drama|Thriller,6.4
Thriller,5.8
Documentary,7.2
Drama|Romance,7.2
Comedy|Horror,3.5
History,7.5
Action|Mystery|Thriller,2.2
Comedy|Drama,3.3
Mystery|Thriller,6.6
Crime|Drama,6.9
Action|Romance|Sport,4.0
Horror|Musical,7.4
Comedy|Mystery|Thriller,8.3
Family,5.7
Action|Biography|Documentary|Sport,6.8
Family,5.2
Adventure|Family|Fantasy,6.4
Action|Comedy|Horror|Sci-Fi,6.2
Crime|Drama,5.9
Drama|History|War,7.7
Action,4.3
Comedy|Drama|Romance,7.1
Comedy|Horror|Musical,6.2
Comedy|Romance,6.8
Comedy|Musical|Romance,7.7
Documentary,8.2
Comedy|Drama|Romance,7.5
Comedy|Drama|Music|Romance,7.6
Drama|Horror|Mystery|Thriller,4.1
Comedy,6.9
Crime|Drama|Thriller,7.1
Horror,6.3
Documentary|Sport,7.7
Adventure|Comedy|Fantasy,8.3
Drama,7.1
Comedy|Fantasy|Horror|Musical,4.7
Drama|Fantasy|Sci-Fi|Thriller,7.7
Biography|Documentary,7.2
Documentary,5.1
Comedy|Horror,5.4
Horror,6.9
Animation|Comedy|Drama,8.2
Comedy|Romance,6.1
Horror|Thriller,6.1
Comedy|Drama|Romance,6.9
Drama|Horror|Mystery|Thriller,5.8
Drama|Thriller,6.0
Drama,8.2
Drama|History|War,8.0
Documentary,7.0
Musical|Romance,6.3
Fantasy|Horror,7.6
Horror|Thriller,6.1
Documentary|History,7.2
Documentary|Sport,7.8
Action|Drama,4.7
Documentary,7.5
Action|Adventure|Drama|Sci-Fi,6.7
Family|Sci-Fi,3.4
Horror|Thriller,7.9
Crime|Drama,8.9
Animation|Drama,6.9
Comedy|Romance,8.2
Drama|Thriller,7.3
Biography|Documentary|Music,8.0
Comedy|Drama,6.7
