director_name,duration,director_facebook_likes,actor_3_facebook_likes,genres,actor_1_name,cast_total_facebook_likes,actor_3_name,num_user_for_reviews,country,budget,actor_2_facebook_likes,movie_facebook_likes
Steve Miner,103,49,304,Action|Fantasy|Horror|Thriller,Julian Sands,1990,Lori Singer,79,USA,7000000,554,0
Gina Prince-Bythewood,116,107,658,Drama|Music,Minnie Driver,3110,Darryl Stephens,37,USA,7000000,664,0
Tom Ford,99,192,292,Drama|Romance,Colin Firth,14816,Keri Lynn Pratt,247,USA,7000000,343,16000
Martin Scorsese,164,17000,159,Drama,Irvin Kershner,1934,Roberts Blossom,308,USA,7000000,618,0
Michael Corrente,96,30,407,Comedy|Drama|Romance,Jonathan Brandis,2018,Shawn Hatosy,100,USA,7000000,412,0
Gurinder Chadha,122,98,397,Comedy|Drama|Musical|Romance,Indira Varma,2321,Anupam Kher,276,UK,7000000,579,0
Phillip Noyce,94,176,46,Adventure|Biography|Drama|History,Roy Billing,312,Deborah Mailman,249,Australia,6000000,93,0
Don Michael Paul,93,70,442,Comedy|Sport,Jeffrey Jones,3128,Lil' Wayne,46,USA,7000000,585,446
Tony Maylam,96,6,38,Action|Crime|Horror|Sci-Fi|Thriller,Michael J. Pollard,493,Alastair Duncan,75,UK,7000000,192,0
,60,,346,Action|Crime|Drama|Thriller,Melinda Clarke,2352,Aaron Stanford,83,USA,,485,0
Mitch Davis,113,7,35,Adventure|Biography|Drama,Anne Hathaway,11116,Miriama Smith,85,USA,7000000,43,650
,60,,652,Action|Drama|Mystery|Sci-Fi,Jensen Ackles,12051,John Savage,160,USA,,794,0
Yash Chopra,192,147,397,Drama|Musical|Romance,Shah Rukh Khan,9984,Anupam Kher,119,India,7000000,860,2000
David Mamet,99,342,501,Drama|Sport,Alice Braga,2158,Jose Pablo Cantillo,119,USA,7000000,518,0
Jay Duplass,91,157,224,Comedy|Drama|Romance,Matt Walsh,1136,Katie Aselton,126,USA,7000000,259,0
Kevin Brodie,100,0,359,Drama|Family,Bruce McGill,1906,Jack Warden,20,USA,7000000,476,157
Paul Schrader,105,261,617,Biography|Crime|Drama,Ed Begley Jr.,2684,Kurt Fuller,147,USA,7000000,658,357
George Hickenlooper,99,60,628,Biography|Drama,Hayden Christensen,6526,Beth Grant,106,USA,7000000,787,3000
Lynne Ramsay,112,159,77,Drama|Thriller,Ezra Miller,3547,Ashley Gerasimovich,301,UK,7000000,294,38000
John Stephenson,100,0,149,Drama|Family,Samantha Barks,2909,Lesley Manville,34,UK,,627,962
Tim Chambers,99,2,455,Drama|Sport,Ellen Burstyn,2589,Jennifer Butler,12,USA,7000000,690,797
Curtis Hanson,100,161,172,Comedy|Drama|Family,Tom Cruise,11059,Rick Rossovich,16,Canada,7000000,422,168
Rodrigo García,125,127,798,Drama|Romance,Naomi Watts,8876,Carla Gallo,65,USA,4825000,941,0
Dick Richards,107,6,375,Adventure|Drama|Romance|War,Catherine Deneuve,2209,Jack O'Halloran,26,UK,9000000,750,122
Jean-Marie Poiré,107,8,39,Comedy|Fantasy|Sci-Fi,Christian Clavier,215,Valérie Lemercier,78,France,50000000,54,0
Sofia Coppola,97,0,106,Comedy|Drama,Nathalie Fay,684,Erin Wasson,198,USA,7000000,218,0
Bob Gosse,105,10,184,Comedy,Geoff Stults,1417,Derek Wayne Johnson,72,USA,,216,0
Alex Zamm,95,43,611,Comedy,Taylor Negron,5213,Larry Miller,62,USA,10000000,788,724
Spencer Susser,106,58,973,Drama,Joseph Gordon-Levitt,44969,Rainn Wilson,99,USA,7000000,20000,19000
Richard Shepard,93,47,13,Comedy|Crime|Drama,Richard E. Grant,1105,Richard Graham,66,UK,,524,0
Gus Van Sant,103,835,,Adventure|Drama|Mystery,Matt Damon,13000,,290,USA,3500000,0,0
Thaddeus O'Sullivan,96,5,52,Drama|Romance,Olivia Williams,1251,Eleanor Bron,25,UK,7000000,358,97
Peter Sollett,103,6,935,Biography|Drama|Romance,Steve Carell,9660,Luke Grimes,25,USA,7000000,1000,0
Shari Springer Berman,108,30,281,Comedy,Lynn Cohen,2029,Dan Hedaya,29,USA,7000000,403,916
Aleksey German,177,23,0,Drama|Sci-Fi,Leonid Yarmolnik,8,Valentin Golubenko,28,Russia,7000000,4,1000
Stephen Milburn Anderson,118,0,410,Comedy|Crime|Thriller,Chris Hemsworth,27756,Paul Sanchez,38,USA,7000000,854,694
Richard E. Grant,97,554,530,Drama,Emily Watson,2544,Miranda Richardson,50,UK,7000000,838,311
Troy Duffy,102,78,184,Action|Crime|Thriller,Norman Reedus,12680,Bob Marley,876,Canada,7000000,333,16000
David Lam,92,4,4,Action|Crime,Michael Wong,198,Stephen Au,1,Hong Kong,7000000,82,55
Francis Ford Coppola,88,0,507,Comedy|Fantasy|Horror|Mystery,Alden Ehrenreich,3150,Joanne Whalley,70,USA,7000000,844,0
Vladlen Barbe,80,0,26,Adventure|Animation|Family,Erin Fitzgerald,218,Ivan Okhlobystin,9,Russia,7000000,62,453
Richard Rich,45,24,29,Action|Adventure|Animation|Comedy|Drama|Family|Fantasy|Thriller,Debi Derryberry,236,Cindy Robinson,6,USA,7000000,35,41
Clint Eastwood,115,16000,240,Western,Clint Eastwood,17209,Sydney Penny,138,USA,6900000,455,0
Robert C. Cooper,97,49,687,Action|Adventure|Drama|Fantasy|Sci-Fi,Ben Browder,4334,Julian Sands,42,USA,,847,389
Richard Linklater,102,0,787,Comedy,Milla Jovovich,18643,Cole Hauser,408,USA,6900000,1000,10000
Kenny Ortega,111,197,578,Comedy|Drama|Family|Music|Musical|Romance,Lucas Grabeel,3009,Olesya Rulin,162,USA,7000000,632,586
Kim Nguyen,96,16,63,Drama|Romance,Gordon Pinsent,414,John Ralston,6,Canada,8700000,147,187
Jackie Earle Haley,94,0,493,Crime|Drama|Thriller,Rex Baker,17377,Travis Aaron Wade,38,USA,7000000,725,0
Max Färberböck,125,4,36,Biography|Drama|Romance|War,Heike Makatsch,333,Maria Schrader,51,Germany,15000000,66,687
Arie Posin,108,3,436,Comedy|Drama,Rory Culkin,2119,Tim DeKay,129,USA,6800000,697,1000
Damian Nieman,101,0,83,Crime|Thriller,Glenn Plummer,490,Mark De Alessandro,65,USA,6800000,83,413
Mark Tonderai,101,13,261,Drama|Horror|Thriller,Jennifer Lawrence,35717,Gil Bellows,160,Canada,6900000,924,10000
Denis Villeneuve,139,777,58,Drama|Mystery|War,Lubna Azabal,343,Ahmad Massad,156,Canada,6800000,66,37000
Gabriele Muccino,125,125,11,Comedy|Drama|Romance,Laura Morante,132,Giulia Michelini,21,Italy,5000000,29,282
Ian Fitzgibbon,88,11,415,Action|Comedy|Crime|Drama|Romance|Thriller,Jim Broadbent,2728,Michael McElhatton,31,Ireland,,418,663
José Padilha,115,294,15,Action|Crime|Drama|Thriller,Wagner Moura,666,André Ramiro,107,Brazil,4000000,39,11000
John R. Leonetti,99,40,300,Horror|Mystery,Alfre Woodard,2323,Gabriel Bateman,291,USA,6500000,421,45000
Rachel Perkins,88,3,38,Comedy|Drama|Musical,Deborah Mailman,225,Jessica Mauboy,31,Australia,6500000,46,479
John Singleton,112,309,15,Crime|Drama,John Cothran,106,Na'Blonka Durden,183,USA,6000000,26,0
Luis Valdez,108,7,51,Biography|Drama|Music,Esai Morales,936,Danielle von Zerneck,63,USA,6500000,63,0
Alan Alda,107,0,146,Comedy|Drama,Rita Moreno,1285,Sandy Dennis,33,USA,,167,337
Brian De Palma,104,0,517,Mystery|Romance|Thriller,Angie Dickinson,2442,Nancy Allen,201,USA,6500000,567,0
Stephen Sommers,108,208,689,Adventure|Comedy|Drama|Family,Curtis Armstrong,4840,Anne Heche,54,USA,6500000,827,391
Doug Liman,102,218,376,Comedy|Crime,Sarah Polley,2475,Scott Wolf,418,USA,6500000,563,0
Nicole Holofcener,88,132,180,Comedy|Drama|Romance,Greg Germann,1140,Jake Cherry,166,USA,6500000,230,515
Robert Wise,115,338,45,Sci-Fi|Thriller,David Wayne,394,Eric Christmas,171,USA,6500000,112,0
Louis Morneau,91,38,91,Horror|Sci-Fi|Thriller,Leon,1405,Ned Bellamy,160,USA,6500000,461,342
Caroline Link,141,11,8,Biography|Drama,Merab Ninidze,105,Matthias Habich,84,Germany,7000000,36,802
Steve McQueen,101,0,726,Drama,Michael Fassbender,15230,James Badge Dale,375,UK,6500000,898,23000
Matthew Vaughn,105,905,466,Crime|Drama|Thriller,Tom Hardy,29277,Jamie Foreman,263,UK,4000000,594,0
Sterling Van Wagenen,100,0,266,Drama|Western,Emily Podleski,1942,Brenda Strong,21,USA,6500000,373,19
Zal Batmanglij,116,129,782,Drama|Thriller,Alexander Skarsgård,13180,Jason Ritter,119,UK,6500000,918,12000
Michael Mayer,97,15,874,Drama|Romance,Robin Wright,21107,Sissy Spacek,135,USA,6500000,986,1000
Hans Petter Moland,106,19,0,Drama,Charlotte Rampling,846,Stellan Skarsgård,35,UK,6500000,2,260
Oren Moverman,105,38,706,Drama|Romance|War,Steve Buscemi,14462,Eamonn Walker,92,USA,6500000,712,0
Ian Sharp,102,9,368,Action|Adventure|Drama|Western,Ray Winstone,1904,Temuera Morrison,18,New Zealand,6500000,433,830
Anton Corbijn,122,210,471,Biography|Drama|Music,Sam Riley,2614,Alexandra Maria Lara,143,UK,4500000,631,13000
James Cameron,107,0,255,Action|Sci-Fi,Michael Biehn,3582,Paul Winfield,692,UK,6500000,663,13000
Wolfgang Becker,121,31,43,Drama|Romance,Florian Lukas,200,Burghart Klaußner,225,Germany,4800000,51,11000
Tom Hooper,98,0,27,Biography|Drama|Sport,Stephen Graham,1163,Maurice Roëves,75,UK,10000000,54,0
Dan O'Bannon,108,228,358,Comedy|Horror|Sci-Fi,Linnea Quigley,2020,Beverly Randolph,300,USA,4000000,426,0
,55,,5,Crime|Drama|Thriller,Maria Pia Calzone,39,Marco D'Amore,25,Italy,,9,0
Kevin Smith,123,0,781,Comedy|Romance,Ethan Suplee,3254,Joey Lauren Adams,434,USA,6000000,898,0
Randal Kleiser,110,116,898,Musical|Romance,Olivia Newton-John,5127,Sid Caesar,350,USA,6000000,944,13000
Oliver Stone,120,0,576,Drama|War,Johnny Depp,42028,Kevin Dillon,505,UK,6000000,854,9000
Michael Moore,122,909,282,Documentary|Drama|War,Osama bin Laden,1448,Ricky Martin,1416,USA,6000000,328,0
George Roy Hill,110,131,399,Biography|Crime|Drama|Western,Katharine Ross,2169,Kenneth Mars,309,USA,6000000,566,0
Robert Stevenson,139,55,266,Comedy|Family|Fantasy|Musical,Ed Wynn,2045,Elsa Lanchester,259,USA,6000000,279,0
Robert Redford,124,0,535,Drama,Adam Baldwin,5122,Judd Hirsch,283,USA,6000000,553,0
Frank Coraci,120,153,447,Action|Adventure|Comedy,Jim Broadbent,3175,Cécile De France,191,USA,110000000,1000,0
Jerome Robbins,152,34,249,Crime|Drama|Musical|Romance|Thriller,Rita Moreno,1802,Richard Beymer,316,USA,6000000,271,0
Harold Ramis,98,11000,484,Comedy|Sport,Bill Murray,14921,Brian Doyle-Murray,250,USA,6000000,573,0
Gary Hardwick,106,10,578,Comedy|Drama,Julie Benz,6419,Jenifer Lewis,43,USA,6000000,685,478
Rick Famuyiwa,106,44,328,Comedy|Drama|Romance,Omar Epps,2724,Richard T. Jones,50,USA,6000000,405,990
Bryan Singer,106,0,574,Crime|Drama|Mystery|Thriller,Kevin Spacey,20821,Kevin Pollak,1182,USA,6000000,979,28000
Stephen Hopkins,89,81,92,Fantasy|Horror|Romance|Thriller,Lisa Wilcox,584,Matthew Borlenghi,227,USA,8000000,101,1000
Walt Becker,94,12,583,Comedy|Romance,Ryan Reynolds,19341,Erik Estrada,258,Germany,6000000,876,0
Darren Aronofsky,109,0,120,Drama|Sport,Mark Margolis,1582,Ajay Naidu,547,USA,6000000,245,10000
King Vidor,144,54,332,Drama|Romance|Western,Joseph Cotten,2037,Jennifer Jones,87,USA,8000000,436,403
Christopher Guest,90,378,658,Comedy,John Michael Higgins,4611,Michael McKean,340,USA,6000000,925,0
John Carpenter,106,0,381,Action|Sci-Fi,Donald Pleasence,2270,Tom Atkins,284,UK,6000000,602,0
Spike Lee,121,0,182,Comedy|Drama|Musical,Tisha Campbell-Martin,1284,Bill Nunn,38,USA,6500000,282,624
Fred Savage,89,0,405,Comedy|Family,Lochlyn Munro,1752,Tamala Jones,32,USA,6000000,484,256
Sammo Kam-Bo Hung,86,472,64,Action|Comedy|Crime,Sammo Kam-Bo Hung,773,Rachel Blakely,70,Hong Kong,,155,355
