director_name,duration,actor_1_name,num_voted_users,movie_imdb_link,language,country,content_rating,actor_2_facebook_likes,imdb_score
Roger Allers,73,Matthew Broderick,644348,http://www.imdb.com/title/tt0110357/?ref_=fn_tt_tt_1,English,USA,G,886,8.5
Brad Peyton,94,Josh Hutcherson,67296,http://www.imdb.com/title/tt1397514/?ref_=fn_tt_tt_1,English,USA,PG,12000,5.8
Cody Cameron,95,Will Forte,64387,http://www.imdb.com/title/tt1985966/?ref_=fn_tt_tt_1,English,USA,PG,161,6.5
Brett Ratner,124,Philip Seymour Hoffman,204063,http://www.imdb.com/title/tt0289765/?ref_=fn_tt_tt_1,English,Germany,R,12000,7.2
Joe Johnston,136,J.K. Simmons,67856,http://www.imdb.com/title/tt0317648/?ref_=fn_tt_tt_1,English,USA,PG-13,10000,6.7
Dennis Dugan,91,Al Pacino,60370,http://www.imdb.com/title/tt0810913/?ref_=fn_tt_tt_1,English,USA,PG,11000,3.4
John Singleton,107,Paul Walker,191912,http://www.imdb.com/title/tt0322259/?ref_=fn_tt_tt_1,English,USA,PG-13,787,5.9
Mark Osborne,108,Jeff Bridges,28276,http://www.imdb.com/title/tt1754656/?ref_=fn_tt_tt_1,English,France,PG,11000,7.8
Oliver Hirschbiegel,99,Roger Rees,65037,http://www.imdb.com/title/tt0427392/?ref_=fn_tt_tt_1,English,USA,PG-13,422,5.9
Des McAnuff,92,Robert De Niro,16611,http://www.imdb.com/title/tt0131704/?ref_=fn_tt_tt_1,English,USA,PG,1000,4.1
Yarrow Cheney,87,Steve Coogan,24407,http://www.imdb.com/title/tt2709768/?ref_=fn_tt_tt_1,English,Japan,PG,904,6.8
Stephen Norrington,110,Jason Flemyng,141533,http://www.imdb.com/title/tt0311429/?ref_=fn_tt_tt_1,English,USA,PG-13,872,5.8
Pierre Coffin,98,Steve Carell,286877,http://www.imdb.com/title/tt1690953/?ref_=fn_tt_tt_1,English,USA,PG,2000,7.5
Roland Emmerich,154,Will Smith,430055,http://www.imdb.com/title/tt0116629/?ref_=fn_tt_tt_1,English,USA,PG-13,2000,6.9
Steven Spielberg,129,Ariana Richards,278362,http://www.imdb.com/title/tt0119567/?ref_=fn_tt_tt_1,English,USA,PG-13,506,6.5
Eric Darnell,86,Jada Pinkett Smith,266636,http://www.imdb.com/title/tt0351283/?ref_=fn_tt_tt_1,English,USA,PG,436,6.9
Alfonso Cuarón,109,Charlie Hunnam,361767,http://www.imdb.com/title/tt0206634/?ref_=fn_tt_tt_1,English,USA,R,430,7.9
Bryan Singer,104,Hugh Jackman,452928,http://www.imdb.com/title/tt0120903/?ref_=fn_tt_tt_1,English,USA,PG-13,764,7.4
Timur Bekmambetov,110,Angelina Jolie Pitt,299852,http://www.imdb.com/title/tt0493464/?ref_=fn_tt_tt_1,English,USA,R,11000,6.7
Michael Bay,136,Nicolas Cage,259492,http://www.imdb.com/title/tt0117500/?ref_=fn_tt_tt_1,English,USA,R,2000,7.4
Carlos Saldanha,115,Denis Leary,194249,http://www.imdb.com/title/tt0438097/?ref_=fn_tt_tt_1,English,USA,PG,590,6.9
Peter Segal,99,Adam Sandler,266103,http://www.imdb.com/title/tt0343660/?ref_=fn_tt_tt_1,English,USA,PG-13,427,6.8
Adam Shankman,117,Jerry Stiller,98693,http://www.imdb.com/title/tt0427327/?ref_=fn_tt_tt_1,English,USA,PG,339,6.7
Renny Harlin,125,James D'Arcy,28635,http://www.imdb.com/title/tt0204313/?ref_=fn_tt_tt_1,English,USA,R,422,5.1
David Kellogg,110,Matthew Broderick,36491,http://www.imdb.com/title/tt0141369/?ref_=fn_tt_tt_1,English,USA,PG,710,4.1
Louis Leterrier,125,Morgan Freeman,447979,http://www.imdb.com/title/tt1670345/?ref_=fn_tt_tt_1,English,USA,PG-13,988,7.3
Dennis Dugan,102,Steve Buscemi,181443,http://www.imdb.com/title/tt1375670/?ref_=fn_tt_tt_1,English,USA,PG-13,11000,6.0
Steven Spielberg,128,Tom Hanks,303864,http://www.imdb.com/title/tt0362227/?ref_=fn_tt_tt_1,English,USA,PG-13,466,7.3
,43,Harold Perrineau,36919,http://www.imdb.com/title/tt3489184/?ref_=fn_tt_tt_1,English,USA,TV-14,560,7.5
Thor Freudenthal,100,Don Cheadle,16271,http://www.imdb.com/title/tt0785006/?ref_=fn_tt_tt_1,English,USA,PG,576,5.4
Martin Campbell,124,Nicholas Lea,49536,http://www.imdb.com/title/tt0190865/?ref_=fn_tt_tt_1,English,USA,PG-13,826,5.9
Mike Nichols,102,Philip Seymour Hoffman,88451,http://www.imdb.com/title/tt0472062/?ref_=fn_tt_tt_1,English,USA,R,15000,7.1
Bibo Bergeron,90,Robert De Niro,132415,http://www.imdb.com/title/tt0307453/?ref_=fn_tt_tt_1,English,USA,PG,17000,6.0
Bill Condon,130,Loretta Devine,55901,http://www.imdb.com/title/tt0443489/?ref_=fn_tt_tt_1,English,USA,PG-13,549,6.5
,45,Adam Arkin,29450,http://www.imdb.com/title/tt0874936/?ref_=fn_tt_tt_1,English,USA,,130,8.3
F. Gary Gray,118,Dwayne Johnson,59435,http://www.imdb.com/title/tt0377471/?ref_=fn_tt_tt_1,English,USA,PG-13,1000,5.7
Steven Spielberg,163,Ayelet Zurer,176936,http://www.imdb.com/title/tt0408306/?ref_=fn_tt_tt_1,English,France,R,486,7.6
Antoine Fuqua,142,Bruce Willis,93494,http://www.imdb.com/title/tt0314353/?ref_=fn_tt_tt_1,English,USA,R,1000,6.6
Robert Luketic,100,Tom Selleck,72867,http://www.imdb.com/title/tt1103153/?ref_=fn_tt_tt_1,English,USA,PG-13,1000,5.4
Guy Ritchie,116,Henry Cavill,175960,http://www.imdb.com/title/tt1638355/?ref_=fn_tt_tt_1,English,USA,PG-13,509,7.3
James L. Brooks,131,Adam Sandler,65668,http://www.imdb.com/title/tt0371246/?ref_=fn_tt_tt_1,English,USA,PG-13,964,6.5
Gil Kenan,91,Steve Buscemi,71137,http://www.imdb.com/title/tt0385880/?ref_=fn_tt_tt_1,English,USA,PG,970,6.6
Barry Levinson,123,Bruce Willis,57038,http://www.imdb.com/title/tt0219965/?ref_=fn_tt_tt_1,English,USA,PG-13,450,6.6
Jerry Zucker,134,Julia Ormond,55350,http://www.imdb.com/title/tt0113071/?ref_=fn_tt_tt_1,English,USA,PG-13,303,5.9
Andy Tennant,148,Bai Ling,31080,http://www.imdb.com/title/tt0166485/?ref_=fn_tt_tt_1,English,USA,PG-13,103,6.7
Tarsem Singh,110,Henry Cavill,138190,http://www.imdb.com/title/tt1253864/?ref_=fn_tt_tt_1,English,USA,R,1000,6.1
Florent-Emilio Siri,113,Jimmy Bennett,93790,http://www.imdb.com/title/tt0340163/?ref_=fn_tt_tt_1,English,USA,R,13000,6.6
Don Bluth,94,Matt Damon,52244,http://www.imdb.com/title/tt0120913/?ref_=fn_tt_tt_1,English,USA,PG,1000,6.6
Ron Shelton,116,Harrison Ford,31293,http://www.imdb.com/title/tt0329717/?ref_=fn_tt_tt_1,English,USA,PG-13,982,5.3
Paul W.S. Anderson,99,Connie Nielsen,44248,http://www.imdb.com/title/tt0120157/?ref_=fn_tt_tt_1,English,UK,R,722,6.0
David Pastor,84,Christopher Meloni,35510,http://www.imdb.com/title/tt0806203/?ref_=fn_tt_tt_1,English,USA,PG-13,552,6.0
Henry Selick,93,Brendan Fraser,14280,http://www.imdb.com/title/tt0166276/?ref_=fn_tt_tt_1,English,USA,PG-13,889,4.7
John Moore,113,Dennis Quaid,45815,http://www.imdb.com/title/tt0377062/?ref_=fn_tt_tt_1,English,USA,PG-13,845,6.1
M. Night Shyamalan,106,Robin Wright,245152,http://www.imdb.com/title/tt0217869/?ref_=fn_tt_tt_1,English,USA,PG-13,13000,7.2
Kyle Balda,91,Steve Carell,142403,http://www.imdb.com/title/tt2293640/?ref_=fn_tt_tt_1,English,USA,PG,4000,6.4
Zack Snyder,128,Jon Hamm,197584,http://www.imdb.com/title/tt0978764/?ref_=fn_tt_tt_1,English,USA,PG-13,2000,6.1
Brian De Palma,98,Nicolas Cage,64121,http://www.imdb.com/title/tt0120832/?ref_=fn_tt_tt_1,English,USA,R,854,5.9
Barry Levinson,134,Peter Coyote,81611,http://www.imdb.com/title/tt0120184/?ref_=fn_tt_tt_1,English,USA,PG-13,270,6.0
Clay Kaytis,97,Peter Dinklage,27130,http://www.imdb.com/title/tt1985949/?ref_=fn_tt_tt_1,English,USA,PG,1000,6.3
Andy Tennant,112,Matthew McConaughey,59352,http://www.imdb.com/title/tt0770752/?ref_=fn_tt_tt_1,English,USA,PG-13,1000,5.6
Judd Apatow,153,Adam Sandler,100837,http://www.imdb.com/title/tt1201167/?ref_=fn_tt_tt_1,English,USA,R,561,6.4
Peter Berg,110,Jennifer Garner,101386,http://www.imdb.com/title/tt0431197/?ref_=fn_tt_tt_1,English,USA,R,638,7.1
Adam McKay,122,Will Ferrell,130776,http://www.imdb.com/title/tt0415306/?ref_=fn_tt_tt_1,English,USA,PG-13,1000,6.6
Steve Carr,87,Raven-Symoné,33884,http://www.imdb.com/title/tt0240462/?ref_=fn_tt_tt_1,English,USA,PG,692,4.6
Mel Gibson,178,Mhairi Calvey,736638,http://www.imdb.com/title/tt0112573/?ref_=fn_tt_tt_1,English,USA,R,466,8.4
Sam Mendes,125,Jake Gyllenhaal,143525,http://www.imdb.com/title/tt0418763/?ref_=fn_tt_tt_1,English,Germany,R,383,7.1
David Silverman,87,Albert Brooks,259083,http://www.imdb.com/title/tt0462538/?ref_=fn_tt_tt_1,English,USA,PG-13,440,7.4
Frank Darabont,152,Martin Landau,45031,http://www.imdb.com/title/tt0268995/?ref_=fn_tt_tt_1,English,USA,PG,826,6.9
Renny Harlin,116,Sylvester Stallone,34435,http://www.imdb.com/title/tt0132245/?ref_=fn_tt_tt_1,English,USA,PG-13,658,4.5
Jean-Jacques Annaud,109,David Gant,11798,http://www.imdb.com/title/tt0338512/?ref_=fn_tt_tt_1,English,France,PG,17,7.1
M. Night Shyamalan,108,Bryce Dallas Howard,193770,http://www.imdb.com/title/tt0368447/?ref_=fn_tt_tt_1,English,USA,PG-13,2000,6.5
Betty Thomas,85,Oliver Platt,74343,http://www.imdb.com/title/tt0118998/?ref_=fn_tt_tt_1,English,USA,PG-13,1000,5.3
M. Night Shyamalan,106,Rory Culkin,271592,http://www.imdb.com/title/tt0286106/?ref_=fn_tt_tt_1,English,USA,PG-13,529,6.7
Andrew Adamson,93,Rupert Everett,314630,http://www.imdb.com/title/tt0298148/?ref_=fn_tt_tt_1,English,USA,PG,309,7.2
John Lasseter,117,John Ratzenberger,263853,http://www.imdb.com/title/tt0317219/?ref_=fn_tt_tt_1,English,USA,G,843,7.2
Garry Marshall,116,Julia Roberts,74274,http://www.imdb.com/title/tt0163187/?ref_=fn_tt_tt_1,English,USA,PG,3000,5.5
Rob Cohen,132,Vin Diesel,142569,http://www.imdb.com/title/tt0295701/?ref_=fn_tt_tt_1,English,USA,PG-13,223,5.8
Paul Tibbitt,92,Tim Conway,34359,http://www.imdb.com/title/tt2279373/?ref_=fn_tt_tt_1,English,USA,PG,861,6.0
Ron Howard,139,Lili Taylor,98989,http://www.imdb.com/title/tt0117438/?ref_=fn_tt_tt_1,English,USA,R,848,6.6
Quentin Tarantino,153,Michael Fassbender,885175,http://www.imdb.com/title/tt0361748/?ref_=fn_tt_tt_1,English,USA,R,11000,8.3
Steven Spielberg,142,Robin Williams,182802,http://www.imdb.com/title/tt0102057/?ref_=fn_tt_tt_1,English,USA,PG,8000,6.7
Brett Ratner,101,Dwayne Johnson,115687,http://www.imdb.com/title/tt1267297/?ref_=fn_tt_tt_1,English,USA,PG-13,3000,6.0
Renny Harlin,124,Bruce Willis,269858,http://www.imdb.com/title/tt0099423/?ref_=fn_tt_tt_1,English,USA,R,982,7.1
Clark Johnson,117,Jeremy Renner,119807,http://www.imdb.com/title/tt0257076/?ref_=fn_tt_tt_1,English,USA,PG-13,1000,6.0
,45,Nicole Beharie,49049,http://www.imdb.com/title/tt2647544/?ref_=fn_tt_tt_1,English,USA,TV-14,372,7.5
Cameron Crowe,141,Tom Cruise,206776,http://www.imdb.com/title/tt0259711/?ref_=fn_tt_tt_1,English,USA,R,834,6.9
M. Night Shyamalan,110,Bryce Dallas Howard,78635,http://www.imdb.com/title/tt0452637/?ref_=fn_tt_tt_1,English,USA,PG-13,579,5.6
Paul W.S. Anderson,109,Sanaa Lathan,143628,http://www.imdb.com/title/tt0370263/?ref_=fn_tt_tt_1,English,USA,PG-13,766,5.6
Betty Thomas,88,Amy Poehler,31649,http://www.imdb.com/title/tt1231580/?ref_=fn_tt_tt_1,English,USA,PG,1000,4.5
Randall Wallace,124,Jon Hamm,103241,http://www.imdb.com/title/tt0277434/?ref_=fn_tt_tt_1,English,USA,R,973,7.1
Antoine Fuqua,119,Gerard Butler,203154,http://www.imdb.com/title/tt2302755/?ref_=fn_tt_tt_1,English,USA,R,11000,6.5
Jonathan Frakes,103,LeVar Burton,56741,http://www.imdb.com/title/tt0120844/?ref_=fn_tt_tt_1,English,USA,PG,906,6.4
Jonathan Liebesman,116,Noel Fisher,154955,http://www.imdb.com/title/tt1217613/?ref_=fn_tt_tt_1,English,USA,PG-13,697,5.8
Tim Burton,125,Steve Buscemi,350698,http://www.imdb.com/title/tt0319061/?ref_=fn_tt_tt_1,English,USA,PG-13,1000,8.0
Mike Nichols,125,David Hyde Pierce,43559,http://www.imdb.com/title/tt0111742/?ref_=fn_tt_tt_1,English,USA,R,277,6.2
Steven Spielberg,146,Jeremy Irvine,116159,http://www.imdb.com/title/tt1568911/?ref_=fn_tt_tt_1,English,USA,PG-13,19000,7.2
George Clooney,118,Bill Murray,102248,http://www.imdb.com/title/tt2177771/?ref_=fn_tt_tt_1,English,USA,PG-13,13000,6.1
James Cameron,171,Michael Biehn,131217,http://www.imdb.com/title/tt0096754/?ref_=fn_tt_tt_1,English,USA,PG-13,650,7.6
Oliver Stone,136,Frank Langella,84118,http://www.imdb.com/title/tt1027718/?ref_=fn_tt_tt_1,English,USA,PG-13,592,6.3
Gary Shore,92,Dominic Cooper,138582,http://www.imdb.com/title/tt0829150/?ref_=fn_tt_tt_1,English,USA,PG-13,692,6.3
Edward Zwick,116,Denzel Washington,58023,http://www.imdb.com/title/tt0133952/?ref_=fn_tt_tt_1,English,USA,R,13000,6.3
Matthew Vaughn,127,Henry Cavill,212085,http://www.imdb.com/title/tt0486655/?ref_=fn_tt_tt_1,English,UK,PG-13,588,7.7
Jean-Jacques Annaud,136,Brad Pitt,96385,http://www.imdb.com/title/tt0120102/?ref_=fn_tt_tt_1,English,USA,PG-13,691,7.0
Ron Howard,111,Channing Tatum,43709,http://www.imdb.com/title/tt1578275/?ref_=fn_tt_tt_1,English,USA,PG-13,1000,5.3
Joel Schumacher,116,Anthony Hopkins,39659,http://www.imdb.com/title/tt0280486/?ref_=fn_tt_tt_1,English,USA,PG-13,405,5.6
Andrzej Bartkowiak,113,Dwayne Johnson,88146,http://www.imdb.com/title/tt0419706/?ref_=fn_tt_tt_1,English,UK,R,585,5.2
Betty Thomas,97,Gary Cole,41663,http://www.imdb.com/title/tt0297181/?ref_=fn_tt_tt_1,English,USA,PG-13,229,5.4
Måns Mårlind,88,Theo James,117096,http://www.imdb.com/title/tt1496025/?ref_=fn_tt_tt_1,English,USA,R,327,6.4
Adam Shankman,136,James Martin Kelly,61995,http://www.imdb.com/title/tt1336608/?ref_=fn_tt_tt_1,English,USA,PG-13,217,5.9
Gregory Hoblit,125,Bruce Willis,43651,http://www.imdb.com/title/tt0251114/?ref_=fn_tt_tt_1,English,USA,R,787,6.3
Gary McKendry,116,Jason Statham,105556,http://www.imdb.com/title/tt1448755/?ref_=fn_tt_tt_1,English,UK,R,22000,6.5
John McTiernan,98,LL Cool J,22264,http://www.imdb.com/title/tt0246894/?ref_=fn_tt_tt_1,English,USA,R,841,3.0
Wych Kaosayananda,91,Talisa Soto,16761,http://www.imdb.com/title/tt0308208/?ref_=fn_tt_tt_1,English,USA,R,324,3.6
Mikael Salomon,97,Morgan Freeman,26893,http://www.imdb.com/title/tt0120696/?ref_=fn_tt_tt_1,English,USA,R,893,5.8
Bobby Farrelly,95,Ron Howard,25572,http://www.imdb.com/title/tt0181739/?ref_=fn_tt_tt_1,English,USA,PG,509,6.2
Will Finn,88,Lea Michele,5116,http://www.imdb.com/title/tt0884726/?ref_=fn_tt_tt_1,English,USA,PG,1000,5.6
Michael Mann,133,Chris Hemsworth,38983,http://www.imdb.com/title/tt2717822/?ref_=fn_tt_tt_1,English,USA,R,326,5.4
Kerry Conran,106,Angelina Jolie Pitt,72868,http://www.imdb.com/title/tt0346156/?ref_=fn_tt_tt_1,English,USA,PG,1000,6.1
Michael Caton-Jones,116,Charlotte Rampling,31124,http://www.imdb.com/title/tt0430912/?ref_=fn_tt_tt_1,English,UK,R,729,4.2
Mikael Håfström,115,Sylvester Stallone,177653,http://www.imdb.com/title/tt1211956/?ref_=fn_tt_tt_1,English,USA,R,1000,6.7
Renny Harlin,99,Roxanne McKee,44891,http://www.imdb.com/title/tt1043726/?ref_=fn_tt_tt_1,English,USA,PG-13,358,4.2
Phil Alden Robinson,124,Morgan Freeman,86504,http://www.imdb.com/title/tt0164184/?ref_=fn_tt_tt_1,English,USA,PG-13,655,6.4
David Slade,124,Robert Pattinson,184637,http://www.imdb.com/title/tt1325004/?ref_=fn_tt_tt_1,English,USA,PG-13,17000,4.9
Frank Oz,124,Robert De Niro,101899,http://www.imdb.com/title/tt0227445/?ref_=fn_tt_tt_1,English,USA,R,10000,6.8
Pierre Coffin,87,Steve Carell,385943,http://www.imdb.com/title/tt1323594/?ref_=fn_tt_tt_1,English,USA,PG,2000,7.7
Joseph Ruben,105,Vincent Pastore,32224,http://www.imdb.com/title/tt0113845/?ref_=fn_tt_tt_1,English,USA,R,220,5.6
Seth MacFarlane,125,Liam Neeson,117739,http://www.imdb.com/title/tt2637276/?ref_=fn_tt_tt_1,English,USA,R,11000,6.4
Alejandro Amenábar,141,Max Minghella,52496,http://www.imdb.com/title/tt1186830/?ref_=fn_tt_tt_1,English,Spain,R,451,7.2
Kinka Usher,121,Janeane Garofalo,53970,http://www.imdb.com/title/tt0132347/?ref_=fn_tt_tt_1,English,USA,PG-13,855,6.0
Bobby Farrelly,111,Jenna Fischer,103230,http://www.imdb.com/title/tt0480687/?ref_=fn_tt_tt_1,English,USA,R,919,5.9
Michael Mann,157,Al Pacino,133526,http://www.imdb.com/title/tt0140352/?ref_=fn_tt_tt_1,English,USA,R,826,7.9
Craig Gillespie,117,Michael Raymond-James,27481,http://www.imdb.com/title/tt2025690/?ref_=fn_tt_tt_1,English,USA,PG-13,562,6.8
Ridley Scott,128,Leonardo DiCaprio,174248,http://www.imdb.com/title/tt0758774/?ref_=fn_tt_tt_1,English,USA,R,149,7.1
Jay Roach,114,Steve Carell,80338,http://www.imdb.com/title/tt0427152/?ref_=fn_tt_tt_1,English,USA,PG-13,1000,5.9
Timur Bekmambetov,105,Rufus Sewell,128629,http://www.imdb.com/title/tt1611224/?ref_=fn_tt_tt_1,English,USA,R,3000,5.9
Jon Amiel,113,Will Patton,88132,http://www.imdb.com/title/tt0137494/?ref_=fn_tt_tt_1,English,USA,PG-13,427,6.2
,30,Hector Elizondo,15114,http://www.imdb.com/title/tt1828327/?ref_=fn_tt_tt_1,English,USA,TV-PG,363,7.4
Rob Bowman,121,Martin Landau,85720,http://www.imdb.com/title/tt0120902/?ref_=fn_tt_tt_1,English,USA,PG-13,826,7.0
Doug Lefler,102,Colin Firth,29285,http://www.imdb.com/title/tt0462396/?ref_=fn_tt_tt_1,English,UK,PG-13,394,5.4
Steven Spielberg,169,Tom Hanks,881236,http://www.imdb.com/title/tt0120815/?ref_=fn_tt_tt_1,English,USA,R,14000,8.6
Scott Waugh,132,Rami Malek,136954,http://www.imdb.com/title/tt2369135/?ref_=fn_tt_tt_1,English,USA,PG-13,3000,6.5
Nancy Meyers,127,Judy Greer,158864,http://www.imdb.com/title/tt0207201/?ref_=fn_tt_tt_1,English,USA,PG-13,955,6.4
Chris Wedge,103,Goran Visnjic,328159,http://www.imdb.com/title/tt0268380/?ref_=fn_tt_tt_1,English,USA,PG,939,7.6
Lawrence Kasdan,136,Morgan Freeman,75573,http://www.imdb.com/title/tt0285531/?ref_=fn_tt_tt_1,English,USA,R,599,5.5
Steven Spielberg,150,Joseph Gordon-Levitt,197412,http://www.imdb.com/title/tt0443272/?ref_=fn_tt_tt_1,English,USA,PG-13,826,7.4
Lana Wachowski,136,Keanu Reeves,1217752,http://www.imdb.com/title/tt0133093/?ref_=fn_tt_tt_1,English,USA,R,145,8.7
Ron Howard,140,Tom Hanks,208817,http://www.imdb.com/title/tt0112384/?ref_=fn_tt_tt_1,English,USA,PG,968,7.6
Paul Verhoeven,113,Ronny Cox,240241,http://www.imdb.com/title/tt0100802/?ref_=fn_tt_tt_1,English,USA,R,308,7.5
Michael Lembeck,104,Judge Reinhold,34561,http://www.imdb.com/title/tt0304669/?ref_=fn_tt_tt_1,English,USA,G,857,5.5
Tom Hooper,158,Hugh Jackman,243834,http://www.imdb.com/title/tt1707386/?ref_=fn_tt_tt_1,English,USA,PG-13,13000,7.6
Nora Ephron,119,Tom Hanks,151812,http://www.imdb.com/title/tt0128853/?ref_=fn_tt_tt_1,English,USA,PG,793,6.5
Adam McKay,106,Will Ferrell,212499,http://www.imdb.com/title/tt0838283/?ref_=fn_tt_tt_1,English,USA,R,3000,6.9
Martin Campbell,136,Anthony Hopkins,135404,http://www.imdb.com/title/tt0120746/?ref_=fn_tt_tt_1,English,USA,PG-13,174,6.7
Todd Phillips,95,Robert Downey Jr.,272789,http://www.imdb.com/title/tt1231583/?ref_=fn_tt_tt_1,English,USA,R,561,6.6
Angelina Jolie Pitt,137,Finn Wittrock,103589,http://www.imdb.com/title/tt1809398/?ref_=fn_tt_tt_1,English,USA,PG-13,698,7.2
Clint Eastwood,130,Clint Eastwood,60165,http://www.imdb.com/title/tt0186566/?ref_=fn_tt_tt_1,English,USA,PG-13,495,6.4
