director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_2_name,gross,genres,actor_1_name,movie_title,actor_3_name,movie_imdb_link,num_user_for_reviews,language,country,imdb_score,movie_facebook_likes
Aki Kaurismäki,205,93,592,Kati Outinen,611709,Comedy|Drama,Jean-Pierre Léaud,Le Havre ,Jean-Pierre Darroussin,http://www.imdb.com/title/tt1508675/?ref_=fn_tt_tt_1,41,French,Finland,7.2,0
Gaspar Noé,192,99,929,Albert Dupontel,753501,Crime|Drama|Mystery|Thriller,Philippe Nahon,Irreversible ,Jo Prestia,http://www.imdb.com/title/tt0290673/?ref_=fn_tt_tt_1,664,French,France,7.4,13000
Hitoshi Matsumoto,72,99,17,Hitoshi Matsumoto,22770,Comedy|Drama,Lindsay Kay Hayward,R100 ,Shinobu Terajima,http://www.imdb.com/title/tt2914838/?ref_=fn_tt_tt_1,12,Japanese,Japan,6.1,543
Rakeysh Omprakash Mehra,33,157,85,Steven Mackintosh,2197331,Comedy|Drama|History|Romance,Anupam Kher,Rang De Basanti ,Madhavan,http://www.imdb.com/title/tt0405508/?ref_=fn_tt_tt_1,321,Hindi,India,8.4,0
Collin Schiffli,22,90,4,John Heard,,Drama,Kim Shaw,Animals ,David Dastmalchian,http://www.imdb.com/title/tt3297554/?ref_=fn_tt_tt_1,8,English,USA,6.2,679
George Ratliff,48,96,3,Cree Kelly,27445,Action|Comedy|Drama|Thriller,Jim Gaffigan,Salvation Boulevard ,Mike Eshaq,http://www.imdb.com/title/tt1251743/?ref_=fn_tt_tt_1,31,English,USA,5.3,1000
David Wain,65,96,136,Ken Marino,766487,Comedy|Romance,Jon Hamm,The Ten ,Ron Silver,http://www.imdb.com/title/tt0811106/?ref_=fn_tt_tt_1,117,English,USA,5.0,915
Shane Meadows,29,90,222,Paddy Considine,18434,Comedy|Drama,Bob Hoskins,A Room for Romeo Brass ,Shane Meadows,http://www.imdb.com/title/tt0202559/?ref_=fn_tt_tt_1,47,English,UK,7.7,484
Morten Tyldum,284,100,77,Synnøve Macody Lund,1196752,Crime|Drama|Thriller,Aksel Hennie,Headhunters ,Julie R. Ølgaard,http://www.imdb.com/title/tt1614989/?ref_=fn_tt_tt_1,121,Norwegian,Norway,7.6,23000
Jon Wright,187,94,4,Richard Coyle,,Comedy|Horror|Sci-Fi|Thriller,Russell Tovey,Grabbers ,Bronagh Gallagher,http://www.imdb.com/title/tt1525366/?ref_=fn_tt_tt_1,70,English,UK,6.3,11000
Michael McGowan,47,98,12,Adam Butcher,795126,Comedy|Drama|Sport,Campbell Scott,Saint Ralph ,Gordon Pinsent,http://www.imdb.com/title/tt0384488/?ref_=fn_tt_tt_1,52,English,Canada,7.6,989
Liv Ullmann,88,129,440,Jessica Chastain,,Drama|Romance,Samantha Morton,Miss Julie ,Colin Farrell,http://www.imdb.com/title/tt2667960/?ref_=fn_tt_tt_1,14,English,Norway,5.6,0
Jeannot Szwarc,41,103,82,Bill Erwin,,Drama|Fantasy|Romance,Teresa Wright,Somewhere in Time ,George Voskovec,http://www.imdb.com/title/tt0081534/?ref_=fn_tt_tt_1,249,English,USA,7.3,0
Rohan Sippy,24,128,4,Bipasha Basu,563699,Action|Crime|Drama|Thriller,Abhishek Bachchan,Dum Maaro Dum ,Prateik,http://www.imdb.com/title/tt1618430/?ref_=fn_tt_tt_1,27,Hindi,India,6.2,421
James Wan,318,106,0,Barbara Hershey,83574831,Fantasy|Horror|Thriller,Lin Shaye,Insidious: Chapter 2 ,Leigh Whannell,http://www.imdb.com/title/tt2226417/?ref_=fn_tt_tt_1,269,English,USA,6.6,35000
Darren Lynn Bousman,250,95,163,Tony Nappo,87025093,Horror|Mystery,Emmanuelle Vaugier,Saw II ,Shawnee Smith,http://www.imdb.com/title/tt0432348/?ref_=fn_tt_tt_1,864,English,USA,6.6,0
Dan Trachtenberg,411,104,16,John Gallagher Jr.,71897215,Drama|Horror|Mystery|Sci-Fi|Thriller,Bradley Cooper,10 Cloverfield Lane ,Sumalee Montano,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1,440,English,USA,7.3,33000
Jeff Tremaine,106,87,79,Steve-O,64267897,Comedy|Documentary,Bam Margera,Jackass: The Movie ,Chris Pontius,http://www.imdb.com/title/tt0322802/?ref_=fn_tt_tt_1,327,English,USA,6.6,0
David F. Sandberg,159,81,26,Amiah Miller,56536016,Horror,Billy Burke,Lights Out ,Gabriel Bateman,http://www.imdb.com/title/tt4786282/?ref_=fn_tt_tt_1,95,English,USA,6.9,0
Henry Joost,251,94,24,Sprague Grayden,104007828,Horror,Johanna Braddy,Paranormal Activity 3 ,Christopher Nicholas Smith,http://www.imdb.com/title/tt1778304/?ref_=fn_tt_tt_1,314,English,USA,5.8,24000
Stiles White,183,89,10,Shelley Hennig,50820940,Fantasy|Horror,Lin Shaye,Ouija ,Daren Kagasoff,http://www.imdb.com/title/tt1204977/?ref_=fn_tt_tt_1,159,English,USA,4.4,18000
Chuck Russell,131,88,55,Heather Langenkamp,44793200,Action|Fantasy|Horror|Thriller,John Saxon,A Nightmare on Elm Street 3: Dream Warriors ,Jennifer Rubin,http://www.imdb.com/title/tt0093629/?ref_=fn_tt_tt_1,311,English,USA,6.6,0
Joel Edgerton,297,108,0,Allison Tolman,43771291,Mystery|Thriller,Busy Philipps,The Gift ,Wendell Pierce,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1,279,English,USA,7.1,15000
Eugenio Derbez,41,115,399,Jessica Lindsey,44456509,Comedy|Drama,Eugenio Derbez,Instructions Not Included ,Hugo Stiglitz,http://www.imdb.com/title/tt2378281/?ref_=fn_tt_tt_1,81,Spanish,Mexico,7.6,14000
Henry Joost,248,96,24,Brendon Eggertsen,53884821,Horror,Matt Shively,Paranormal Activity 4 ,Alisha Boe,http://www.imdb.com/title/tt2109184/?ref_=fn_tt_tt_1,247,English,USA,4.6,26000
Henry Koster,42,135,28,Jean Simmons,36000000,Drama|History,Richard Burton,The Robe ,Victor Mature,http://www.imdb.com/title/tt0046247/?ref_=fn_tt_tt_1,69,English,USA,6.8,0
Blake Edwards,33,113,688,Herbert Lom,,Comedy|Crime|Mystery,Burt Kwouk,The Return of the Pink Panther ,Catherine Schell,http://www.imdb.com/title/tt0072081/?ref_=fn_tt_tt_1,73,English,UK,7.1,620
Rachel Talalay,91,93,54,Tom Arnold,34872293,Comedy|Fantasy|Horror|Thriller,Johnny Depp,Freddy's Dead: The Final Nightmare ,Yaphet Kotto,http://www.imdb.com/title/tt0101917/?ref_=fn_tt_tt_1,252,English,USA,4.9,963
Patty Jenkins,185,109,260,Bruce Dern,34468224,Biography|Crime|Drama|Thriller,Charlize Theron,Monster ,Pruitt Taylor Vince,http://www.imdb.com/title/tt0340855/?ref_=fn_tt_tt_1,533,English,USA,7.3,0
Richard Fleischer,69,127,130,Robert J. Wilke,,Adventure|Drama|Family|Fantasy|Sci-Fi,James Mason,20,000 Leagues Under the Sea ,Paul Lukas,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,108,English,USA,7.2,0
Christopher Landon,220,101,52,Gloria Sandoval,32453345,Fantasy|Horror|Thriller,Richard Cabral,Paranormal Activity: The Marked Ones ,Molly Ephraim,http://www.imdb.com/title/tt2473682/?ref_=fn_tt_tt_1,155,English,USA,5.0,10000
David Lynch,117,124,0,Anne Bancroft,,Biography|Drama,Anthony Hopkins,The Elephant Man ,Dexter Fletcher,http://www.imdb.com/title/tt0080678/?ref_=fn_tt_tt_1,356,English,USA,8.2,9000
Jean-Marc Vallée,471,117,212,Jennifer Garner,27296514,Biography|Drama,Matthew McConaughey,Dallas Buyers Club ,Denis O'Hare,http://www.imdb.com/title/tt0790636/?ref_=fn_tt_tt_1,340,English,USA,8.0,65000
David Gelb,152,83,26,Mark Duplass,25799043,Horror|Sci-Fi|Thriller,Olivia Wilde,The Lazarus Effect ,Donald Glover,http://www.imdb.com/title/tt2918436/?ref_=fn_tt_tt_1,126,English,USA,5.2,0
Christopher Nolan,274,113,22000,Thomas Lennon,25530884,Mystery|Thriller,Callum Rennie,Memento ,Jorja Fox,http://www.imdb.com/title/tt0209144/?ref_=fn_tt_tt_1,2067,English,USA,8.5,40000
Mike Flanagan,336,104,59,Rory Cochrane,27689474,Horror|Mystery,James Lafferty,Oculus ,Garrett Ryan,http://www.imdb.com/title/tt2388715/?ref_=fn_tt_tt_1,339,English,USA,6.5,23000
Kevin Smith,174,97,0,Jason Mewes,24138847,Comedy,Ethan Suplee,Clerks II ,Brian O'Halloran,http://www.imdb.com/title/tt0424345/?ref_=fn_tt_tt_1,472,English,USA,7.4,0
Stephen Daldry,151,110,335,Gary Lewis,21994911,Drama|Music,Julie Walters,Billy Elliot ,Jamie Draven,http://www.imdb.com/title/tt0249462/?ref_=fn_tt_tt_1,433,English,UK,7.7,0
Nat Faxon,276,103,214,Liam James,21501098,Comedy|Drama,Steve Carell,The Way Way Back ,Jim Rash,http://www.imdb.com/title/tt1727388/?ref_=fn_tt_tt_1,216,English,USA,7.4,22000
George Jackson,12,94,0,Tisha Campbell-Martin,19281235,Comedy|Drama|Music|Romance,William Schallert,House Party 2 ,Helen Martin,http://www.imdb.com/title/tt0102065/?ref_=fn_tt_tt_1,11,English,USA,5.1,232
George Miller,18,102,18,Jack Thompson,,Adventure|Drama|Family|Romance|Western,Tony Bonner,The Man from Snowy River ,Tom Burlinson,http://www.imdb.com/title/tt0084296/?ref_=fn_tt_tt_1,56,English,Australia,7.3,0
Maurice Joyce,28,77,0,Constance Shulman,19421271,Animation|Comedy|Family,Frank Welker,Doug's 1st Movie ,Alice Playten,http://www.imdb.com/title/tt0187819/?ref_=fn_tt_tt_1,18,English,USA,5.0,122
Robert Duvall,95,134,3000,Todd Allen,20733485,Drama,John Beasley,The Apostle ,June Carter Cash,http://www.imdb.com/title/tt0118632/?ref_=fn_tt_tt_1,157,English,USA,7.2,1000
Frank Perry,74,129,24,Xander Berkeley,,Biography|Drama,Faye Dunaway,Mommie Dearest ,Diana Scarwid,http://www.imdb.com/title/tt0082766/?ref_=fn_tt_tt_1,161,English,USA,6.7,0
Jesse Peretz,179,90,37,Adam Scott,24809547,Comedy|Drama,Zooey Deschanel,Our Idiot Brother ,Steve Coogan,http://www.imdb.com/title/tt1637706/?ref_=fn_tt_tt_1,115,English,USA,6.4,11000
Stephen Hopkins,125,134,81,Tony Curran,19097994,Biography|Drama|Sport,William Hurt,Race ,David Kross,http://www.imdb.com/title/tt3499096/?ref_=fn_tt_tt_1,49,English,Canada,7.1,0
Ice Cube,22,104,0,Monica Calhoun,23031390,Comedy|Drama,Bernie Mac,The Players Club ,Chrystale Wilson,http://www.imdb.com/title/tt0119905/?ref_=fn_tt_tt_1,26,English,USA,5.6,575
Tim Blake Nelson,92,95,596,Andrew Keegan,16017403,Drama|Romance|Thriller,Mekhi Phifer,O ,John Heard,http://www.imdb.com/title/tt0184791/?ref_=fn_tt_tt_1,153,English,USA,6.2,0
John Erick Dowdle,196,93,66,Edwin Hodge,21197315,Horror|Mystery|Thriller,Ben Feldman,As Above, So Below ,Perdita Weeks,http://www.imdb.com/title/tt2870612/?ref_=fn_tt_tt_1,211,English,USA,6.1,14000
Bille Woodruff,9,106,23,Cameron Mills,17382982,Drama|Thriller,Boris Kodjoe,Addicted ,Sharon Leal,http://www.imdb.com/title/tt2205401/?ref_=fn_tt_tt_1,33,Spanish,USA,5.2,0
Kasi Lemmons,31,109,148,Lynn Whitfield,14821531,Drama,Jurnee Smollett-Bell,Eve's Bayou ,Diahann Carroll,http://www.imdb.com/title/tt0119080/?ref_=fn_tt_tt_1,209,English,USA,7.3,599
Richard Glatzer,309,101,25,Hunter Parrish,18656400,Drama,Kristen Stewart,Still Alice ,Seth Gilliam,http://www.imdb.com/title/tt3316960/?ref_=fn_tt_tt_1,195,English,USA,7.5,45000
Michael Curtiz,15,139,345,Peter Ustinov,,Drama|History,Gene Tierney,The Egyptian ,Jean Simmons,http://www.imdb.com/title/tt0046949/?ref_=fn_tt_tt_1,67,English,USA,6.6,376
Bruce Malmuth,36,99,6,Lindsay Wagner,,Action|Crime|Thriller,Sylvester Stallone,Nighthawks ,Persis Khambatta,http://www.imdb.com/title/tt0082817/?ref_=fn_tt_tt_1,107,English,USA,6.4,0
Rob Hedden,129,100,6,Peter Mark Richman,14343976,Adventure|Horror,Kane Hodder,Friday the 13th Part VIII: Jason Takes Manhattan ,Scott Reeves,http://www.imdb.com/title/tt0097388/?ref_=fn_tt_tt_1,291,English,USA,4.5,1000
Joel Zwick,168,95,38,Louis Mandylor,241437427,Comedy|Family|Romance,Nia Vardalos,My Big Fat Greek Wedding ,Lainie Kazan,http://www.imdb.com/title/tt0259446/?ref_=fn_tt_tt_1,756,English,USA,6.6,5000
Harmony Korine,444,94,520,Heather Morris,14123773,Crime|Drama,James Franco,Spring Breakers ,Rachel Korine,http://www.imdb.com/title/tt2101441/?ref_=fn_tt_tt_1,561,English,USA,5.3,25000
Joe Chappelle,123,93,13,Kim Darby,15126948,Horror|Thriller,Donald Pleasence,Halloween: The Curse of Michael Myers ,Mitchell Ryan,http://www.imdb.com/title/tt0113253/?ref_=fn_tt_tt_1,335,English,USA,4.9,0
Alfonso Cuarón,173,106,0,Daniel Giménez Cacho,13622333,Adventure|Comedy|Drama|Romance,Maribel Verdú,Y Tu Mamá También ,María Aura,http://www.imdb.com/title/tt0245574/?ref_=fn_tt_tt_1,385,Spanish,Mexico,7.7,0
Edgar Wright,246,99,1000,Dylan Moran,13464388,Comedy|Horror,Peter Serafinowicz,Shaun of the Dead ,Rafe Spall,http://www.imdb.com/title/tt0365748/?ref_=fn_tt_tt_1,859,English,UK,8.0,19000
Mickey Liddell,74,82,7,Randy Wayne,13350177,Drama|Horror|Thriller,Jessica Lowndes,The Haunting of Molly Hartley ,Haley Bennett,http://www.imdb.com/title/tt1045655/?ref_=fn_tt_tt_1,113,English,USA,3.8,562
John Sayles,68,135,407,Clifton James,13269963,Drama|Mystery,Matthew McConaughey,Lone Star ,Miriam Colon,http://www.imdb.com/title/tt0116905/?ref_=fn_tt_tt_1,173,English,USA,7.6,0
Dwight H. Little,144,88,27,Kathleen Kinmont,17768000,Horror|Thriller,Donald Pleasence,Halloween 4: The Return of Michael Myers ,Ellie Cornell,http://www.imdb.com/title/tt0095271/?ref_=fn_tt_tt_1,374,English,USA,5.9,0
Fred Walton,96,89,17,Deborah Foreman,12947763,Horror|Mystery,Thomas F. Wilson,April Fool's Day ,Clayton Rohner,http://www.imdb.com/title/tt0090655/?ref_=fn_tt_tt_1,125,English,USA,6.2,0
Barry Levinson,42,110,272,Daniel Stern,14100000,Comedy|Drama,Steve Guttenberg,Diner ,Ellen Barkin,http://www.imdb.com/title/tt0083833/?ref_=fn_tt_tt_1,87,English,USA,7.2,0
Steve Carver,29,107,8,William Sanderson,12200000,Action|Crime|Drama|Thriller|Western,David Carradine,Lone Wolf McQuade ,Robert Beltran,http://www.imdb.com/title/tt0085862/?ref_=fn_tt_tt_1,65,English,USA,6.3,0
Gonzalo López-Gallego,228,86,17,Ryan Robbins,17683670,Horror|Mystery|Sci-Fi|Thriller,Warren Christie,Apollo 18 ,Andrew Airlie,http://www.imdb.com/title/tt1772240/?ref_=fn_tt_tt_1,323,English,USA,5.2,0
Christine Jeffs,195,91,19,Mary Lynn Rajskub,12055108,Comedy|Drama,Clifton Collins Jr.,Sunshine Cleaning ,Paul Dooley,http://www.imdb.com/title/tt0862846/?ref_=fn_tt_tt_1,134,English,USA,6.9,0
John Erick Dowdle,203,103,66,Claire Geare,27285953,Action|Thriller,Sterling Jerins,No Escape ,Sahajak Boonthanakit,http://www.imdb.com/title/tt1781922/?ref_=fn_tt_tt_1,214,English,USA,6.8,16000
Don Coscarelli,44,90,152,John Amos,,Action|Adventure|Fantasy,Vanna Bonta,The Beastmaster ,Rip Torn,http://www.imdb.com/title/tt0083630/?ref_=fn_tt_tt_1,87,English,USA,6.2,0
King Vidor,14,141,54,George Sanders,,Drama|History|Romance|War,Gina Lollobrigida,Solomon and Sheba ,Finlay Currie,http://www.imdb.com/title/tt0053290/?ref_=fn_tt_tt_1,33,English,USA,6.2,270
Michael Tiddes,59,92,89,Mike Epps,11675178,Comedy,Fred Willard,Fifty Shades of Black ,Russell Peters,http://www.imdb.com/title/tt4667094/?ref_=fn_tt_tt_1,53,English,USA,3.5,11000
Bill Duke,45,99,1000,Jenifer Lewis,10572742,Drama|Romance,Eddie Cibrian,Not Easily Broken ,Wood Harris,http://www.imdb.com/title/tt0795438/?ref_=fn_tt_tt_1,21,English,USA,6.1,738
Frank Borzage,42,79,57,Helen Hayes,,Drama|Romance|War,Gary Cooper,A Farewell to Arms ,Adolphe Menjou,http://www.imdb.com/title/tt0022879/?ref_=fn_tt_tt_1,46,English,USA,6.6,213
Bille Woodruff,12,96,23,Brandy Norwood,9658370,Comedy|Romance,Donald Faison,The Perfect Match ,Lauren London,http://www.imdb.com/title/tt4871980/?ref_=fn_tt_tt_1,9,English,USA,4.5,740
Mamoru Hosoda,29,82,99,Colleen O'Shaughnessey,9628751,Action|Adventure|Animation|Family|Sci-Fi,Lara Jill Miller,Digimon: The Movie ,Mona Marshall,http://www.imdb.com/title/tt0259974/?ref_=fn_tt_tt_1,65,English,USA,5.9,207
Brian Dannelly,121,92,12,Patrick Fugit,8786715,Comedy|Drama,Macaulay Culkin,Saved! ,Eva Amurri Martino,http://www.imdb.com/title/tt0332375/?ref_=fn_tt_tt_1,324,English,USA,6.9,0
Denys Arcand,135,112,66,Stéphane Rousseau,3432342,Comedy|Crime|Drama|Mystery|Romance,Marie-Josée Croze,The Barbarian Invasions ,Marina Hands,http://www.imdb.com/title/tt0338135/?ref_=fn_tt_tt_1,166,French,Canada,7.7,0
Richard Lester,27,106,44,Denholm Elliott,,Adventure|Drama|Romance,Robert Shaw,Robin and Marian ,Nicol Williamson,http://www.imdb.com/title/tt0075147/?ref_=fn_tt_tt_1,90,English,USA,6.6,672
J.S. Cardone,56,90,23,Kerr Smith,6755271,Horror|Thriller,Brendan Fehr,The Forsaken ,Izabella Miko,http://www.imdb.com/title/tt0245120/?ref_=fn_tt_tt_1,131,English,USA,5.3,327
Guy Hamilton,22,126,82,Carl Weathers,,Action|Drama|War,Harrison Ford,Force 10 from Navarone ,Franco Nero,http://www.imdb.com/title/tt0077572/?ref_=fn_tt_tt_1,80,English,UK,6.3,729
Jay Levey,59,150,3,Gedde Watanabe,6157157,Comedy|Drama,Fran Drescher,UHF ,Michael Richards,http://www.imdb.com/title/tt0098546/?ref_=fn_tt_tt_1,198,English,USA,7.0,0
Nicholaus Goossen,61,90,4,Joel David Moore,6088249,Comedy,Linda Cardellini,Grandma's Boy ,Shirley Jones,http://www.imdb.com/title/tt0456554/?ref_=fn_tt_tt_1,202,English,USA,7.0,0
Tamara Jenkins,60,91,84,Kevin Corrigan,5480318,Comedy|Drama,Natasha Lyonne,Slums of Beverly Hills ,Jessica Walter,http://www.imdb.com/title/tt0120831/?ref_=fn_tt_tt_1,79,English,USA,6.6,462
Sergio Leone,164,145,0,Woody Strode,,Western,Claudia Cardinale,Once Upon a Time in the West ,Jack Elam,http://www.imdb.com/title/tt0064116/?ref_=fn_tt_tt_1,565,English,Italy,8.6,10000
Jon Favreau,81,95,4000,Faizon Love,5308707,Comedy|Crime|Drama|Thriller,Jon Favreau,Made ,Jonathan Silverman,http://www.imdb.com/title/tt0227005/?ref_=fn_tt_tt_1,165,English,USA,6.4,393
Duncan Jones,415,97,0,Matt Berry,5009677,Drama|Mystery|Sci-Fi,Kevin Spacey,Moon ,Benedict Wong,http://www.imdb.com/title/tt1182345/?ref_=fn_tt_tt_1,485,English,UK,7.9,47000
Scott Marshall,43,90,7,Jami Gertz,4328294,Comedy,Miranda Cosgrove,Keeping Up with the Steins ,Carter Jenkins,http://www.imdb.com/title/tt0415949/?ref_=fn_tt_tt_1,41,English,USA,5.4,249
Ronan Chapalain,7,41,0,Guillaume Denaiffe,4074023,Documentary,Norbert Ferrer,Sea Rex 3D: Journey to a Prehistoric World ,Chloe Hollings,http://www.imdb.com/title/tt1529567/?ref_=fn_tt_tt_1,4,English,UK,6.9,89
Atom Egoyan,120,112,460,Sarah Polley,4306697,Drama,Bruce Greenwood,The Sweet Hereafter ,Simon Baker,http://www.imdb.com/title/tt0120255/?ref_=fn_tt_tt_1,196,English,Canada,7.7,920
Xavier Beauvois,195,122,22,Michael Lonsdale,3950029,Drama,Lambert Wilson,Of Gods and Men ,Olivier Rabourdin,http://www.imdb.com/title/tt1588337/?ref_=fn_tt_tt_1,89,French,France,7.2,0
Randall Miller,109,110,19,Freddy Rodríguez,4040588,Comedy|Drama,Alan Rickman,Bottle Shock ,Greg Collins,http://www.imdb.com/title/tt0914797/?ref_=fn_tt_tt_1,89,English,USA,6.8,0
Jerry Belson,21,87,3,Tim Thomerson,,Comedy|Music|Sci-Fi,Cassandra Peterson,Jekyll and Hyde... Together Again ,Bess Armstrong,http://www.imdb.com/title/tt0084171/?ref_=fn_tt_tt_1,32,English,USA,6.2,323
Peter Jackson,93,108,0,Jed Brophy,3049135,Biography|Crime|Drama|Romance|Thriller,Kate Winslet,Heavenly Creatures ,Liz Mullane,http://www.imdb.com/title/tt0110005/?ref_=fn_tt_tt_1,265,English,New Zealand,7.4,0
Michael Polish,12,121,35,Bobby Batson,4700361,Drama,Hayden Christensen,90 Minutes in Heaven ,Cynthia Barrett,http://www.imdb.com/title/tt4337690/?ref_=fn_tt_tt_1,29,English,USA,4.6,0
Dan Rush,155,97,7,Scott Takeda,2711210,Comedy|Drama,Will Ferrell,Everything Must Go ,Stephen Root,http://www.imdb.com/title/tt1531663/?ref_=fn_tt_tt_1,86,English,USA,6.4,0
Jake Kasdan,81,116,52,Ryan O'Neal,1980338,Comedy|Crime|Drama|Mystery|Thriller,Kim Dickens,Zero Effect ,Angela Featherstone,http://www.imdb.com/title/tt0120906/?ref_=fn_tt_tt_1,151,English,USA,7.0,507
Brad Anderson,204,94,122,Jennifer Jason Leigh,1082044,Drama|Thriller,Christian Bale,The Machinist ,Reg E. Cathey,http://www.imdb.com/title/tt0361862/?ref_=fn_tt_tt_1,458,English,Spain,7.7,21000
Paul Schrader,19,103,261,Jane Adams,1100000,Crime|Drama,Dana Delany,Light Sleeper ,David Clennon,http://www.imdb.com/title/tt0102307/?ref_=fn_tt_tt_1,39,English,USA,6.8,247
Michael Cuesta,163,112,52,Paz Vega,2445646,Biography|Crime|Drama|Mystery|Thriller,Jeremy Renner,Kill the Messenger ,Robert Pralgo,http://www.imdb.com/title/tt1216491/?ref_=fn_tt_tt_1,99,English,USA,7.0,13000
John Cameron Mitchell,248,91,263,Jon Tenney,2221809,Drama,Dianne Wiest,Rabbit Hole ,Tammy Blanchard,http://www.imdb.com/title/tt0935075/?ref_=fn_tt_tt_1,144,English,USA,7.0,0
Fenton Bailey,39,98,13,Mia Kirshner,296665,Biography|Crime|Drama|Thriller,Macaulay Culkin,Party Monster ,Marilyn Manson,http://www.imdb.com/title/tt0320244/?ref_=fn_tt_tt_1,158,English,USA,6.3,0
Jeremy Saulnier,322,95,57,Mark Webber,3219029,Crime|Horror|Music|Thriller,Alia Shawkat,Green Room ,Joe Cole,http://www.imdb.com/title/tt4062536/?ref_=fn_tt_tt_1,125,English,USA,7.1,10000
Billy Kent,50,88,0,Tim Russ,,Comedy|Drama|Romance,Liza Minnelli,The Oh in Ohio ,Winter Ave Zoli,http://www.imdb.com/title/tt0422861/?ref_=fn_tt_tt_1,56,English,USA,5.6,255
James Manera,12,99,0,Greg Germann,830210,Drama|Mystery|Sci-Fi,Joaquim de Almeida,Atlas Shrugged: Who Is John Galt? ,Kristoffer Polaha,http://www.imdb.com/title/tt2800038/?ref_=fn_tt_tt_1,56,English,USA,4.4,0
Wes Anderson,83,91,0,Darryl Cox,1040879,Comedy|Crime|Drama,Andrew Wilson,Bottle Rocket ,Lumi Cavazos,http://www.imdb.com/title/tt0115734/?ref_=fn_tt_tt_1,184,English,USA,7.1,0
Kevin Spacey,37,97,18000,Joe Mantegna,326308,Crime|Drama|Thriller,Viggo Mortensen,Albino Alligator ,Faye Dunaway,http://www.imdb.com/title/tt0115495/?ref_=fn_tt_tt_1,69,English,USA,6.1,225
Feroz Abbas Khan,16,136,0,Bhoomika Chawla,240425,Biography|Drama|History,Akshaye Khanna,Gandhi, My Father ,Darshan Jariwala,http://www.imdb.com/title/tt0459293/?ref_=fn_tt_tt_1,25,Hindi,India,7.4,133
