director_name,num_critic_for_reviews,actor_1_facebook_likes,actor_1_name,cast_total_facebook_likes,actor_3_name,plot_keywords,num_user_for_reviews,country,budget,imdb_score,movie_facebook_likes
Simon Curtis,203,16000,Ryan Reynolds,17866,Elizabeth McGovern,art|jewish|justice|nazi|theft,147,UK,11000000,7.3,34000
Bill Condon,188,14000,Liam Neeson,17490,Dylan Baker,professor|research|sex|sexuality|student,204,USA,11000000,7.1,0
Sam Raimi,221,901,Patricia Tallman,3913,Embeth Davidtz,army of the dead|battle|necronomicon|reluctant hero|skeleton soldier,604,USA,13000000,7.6,10000
Dewey Nicks,66,960,Jaime King,2415,Jim Rash,blackmail|fall|love|nerd|scam,107,Canada,11000000,5.3,405
Lasse Hallström,80,40000,Johnny Depp,69746,Kevin Tighe,apostrophe in title|face slap|four word title|grocery store|police,292,USA,11000000,7.8,14000
Philip Saville,25,866,Henry Ian Cusick,1281,Scott Handy,1st century|based on the bible|miracle|religion|resurrection,74,Canada,17000000,7.7,0
Mike Leigh,169,979,Eddie Marsan,3133,Imelda Staunton,1950s|miscarriage|neighbor|pregnancy|tailor,165,UK,11000000,7.7,0
Daisy von Scherler Mayer,70,658,Michael McKean,1559,Jimi Mistry,bollywood|illegal immigrant|live television|restaurant|waiter,128,UK,11000000,5.4,550
Mira Nair,15,1000,Anjelica Huston,3072,Vincent Gallo,immigration|love|political prisoner|reference to john wayne|title directed by female,19,USA,11000000,6.2,174
Ethan Coen,535,3000,Justin Timberlake,4082,Alex Karpovsky,1960s|car hitting an animal|folk singer|friend|singer,313,USA,11000000,7.4,26000
Tim Blake Nelson,92,1000,Mekhi Phifer,3300,John Heard,basketball|basketball player|boarding school|love|shakespeare's othello,153,USA,5000000,6.2,0
William A. Graham,14,14000,Milla Jovovich,14281,Lisa Pelikan,baby|desert island|island|sequel|teenage girl,39,USA,11000000,5.1,967
Martin Ritt,13,338,Frank Finlay,800,Samantha Eggar,coal|detective|irish|irish immigrant|pennsylvania,36,USA,11000000,6.9,608
John Turturro,87,14000,Kate Winslet,28004,Eddie Izzard,anal sex|death|dream|poem|sex,69,USA,,6.3,0
Agnieszka Holland,78,60,Phyllida Law,150,Angus Barnett,music copyist|music student|musical composition|student|symphony,86,USA,11000000,6.8,0
Tobe Hooper,223,887,Heather O'Rourke,3876,Craig T. Nelson,ghost|haunted|haunting|house|paranormal investigator,321,USA,10700000,7.4,11000
Rowan Joffe,136,845,Sam Riley,3117,Geoff Bell,brighton|catholic|gang|prayer|waitress,59,UK,12000000,5.7,0
David Hackl,160,3000,Julie Benz,5286,Scott Patterson,blood splatter|jigsaw|nazi|serial killer|swastika tattoo,262,USA,10800000,5.8,0
Giuliano Montaldo,28,917,John Cassavetes,1827,Britt Ekland,casino|gang violence|robbery|suicide|violence,12,Italy,,6.2,85
Lisa Azuelos,54,142,Nora Dunn,248,Alix Freihage,best friend|girl in panties|high school|high school romance|pink panties,111,USA,11000000,4.3,18000
Ray Lawrence,75,172,John Howard,378,Max Cullen,camp|fishing|fishing trip|river|town,115,Australia,15000000,6.4,302
Karan Johar,20,8000,Shah Rukh Khan,10822,Preity Zinta,extramarital affair|fashion magazine editor|marriage|new york|teacher,264,India,700000000,6.0,659
Oliver Parker,105,893,Minnie Driver,2640,Jeremy Northam,bachelor|blackmail|character says i love you|flirting|social satire,132,UK,14000000,6.9,646
Ruairi Robinson,120,805,Romola Garai,2271,Tom Cullen,alien infection|astronaut|mars|mission|zombie,160,UK,7000000,5.5,0
Jaume Balagueró,108,541,Lena Olin,1228,Francesc Pagès,9 year old|blood|gramophone|house|missing children,349,USA,10600000,5.4,1000
Stanley Kubrick,285,273,Keir Dullea,727,Glenn Beck,ancient astronaut|famous line|message from outer space|monolith|star child,1736,UK,12000000,8.3,24000
Steven Spielberg,215,861,Henry Thomas,2811,Peter Coyote,bicyclist|boy|doll|star wars reference|voice impersonation,515,USA,10500000,7.9,34000
Jon Kasdan,81,17000,Kristen Stewart,20312,Dustin Milligan,actress|love|michigan|neighbor|writer,74,USA,10000000,6.5,1000
Léa Pool,17,882,William Hurt,1554,Raoul Max Trujillo,butterfly|entomologist|morpho butterfly|rain|rain forest,28,Canada,12500000,6.3,392
Floyd Mutrux,5,665,Ricky Schroder,2272,Seymour Cassel,high school|love|police|showdown|surfer,31,USA,10500000,6.4,119
,3,381,Antonia Thomas,592,Hannah Britland,blond boy|chlamydia|list|male rear nudity|young couple,18,UK,,7.9,0
Sajid Khan,10,564,Arjun Rampal,1121,Riteish Deshmukh,bad luck|casino|lie|mix up|stutter,43,India,,5.3,250
Christopher Cain,43,482,Jon Gries,1526,Trent Ford,massacre|mormon|settler|utah|wagon train,111,USA,11000000,5.8,411
Dean Wright,43,639,Santiago Cabrera,1807,Catalina Sandino Moreno,catholic|hanging|mexico|rebellion|soldier,57,Mexico,10818775,6.6,0
Eric Lartigau,94,68,Karin Viard,175,François Damiens,audition|deaf|family relationships|love|singing,27,France,11000000,7.4,0
Gus Van Sant,161,49000,Robin Williams,63710,Minnie Driver,friend|genius|janitor|loss of wife|professor,682,USA,10000000,8.3,31000
Shintaro Shimosawa,38,14000,Al Pacino,27660,Glen Powell,black panties|lust|sexual attraction|voyeur|voyeurism,50,USA,11000000,5.3,0
Darren Lynn Bousman,210,723,Costas Mandylor,3189,Leigh Whannell,brutality|female full frontal nudity|female nudity|torture|trap,614,USA,10000000,6.2,0
Ivan Reitman,52,13000,Bill Murray,27378,Judge Reinhold,army|boot camp|breasts|graduation|rescue,134,USA,10000000,6.9,0
Peyton Reed,139,4000,Kirsten Dunst,5270,Clare Kramer,championship|cheerleading|high school|teen comedy|teenage romance,385,USA,10000000,5.9,0
James DeMonaco,165,798,Frank Grillo,2480,Mykelti Williamson,cathedral|minister|presidential election|reference to george washington|ritual sacrifice,94,France,10000000,6.1,0
Robert Iscove,96,23000,Paul Walker,28734,Kieran Culkin,bet|friend|high school|prom|prom queen,389,USA,10000000,5.8,0
Lee Daniels,323,939,Mo'Nique,3276,Mariah Carey,abuse|african american lesbian|lesbian|lesbian couple|school,275,USA,10000000,7.3,12000
Darren Lynn Bousman,190,723,Costas Mandylor,3492,Angus Macfadyen,detective|fbi|rape|rapist|serial rapist,319,USA,10000000,5.9,0
Geoffrey Sax,173,494,Deborah Kara Unger,2013,Mike Dopud,architect|grave|obsession|river|voice,403,UK,10000000,5.5,0
Tyler Perry,46,1000,Boris Kodjoe,5264,Blair Underwood,cross dressing|family reunion|madea series|reflective|sister sister relationship,137,USA,6000000,5.0,676
Martin Scorsese,59,10000,Tom Cruise,11895,Mary Elizabeth Mastrantonio,hustler|losing|pool|pool player|tournament,115,USA,13800000,7.0,0
Ken Annakin,53,726,Richard Burton,1554,Eddie Albert,allies|d day|invasion|normandy|world war two,192,USA,10000000,7.8,0
Stephen Herek,22,633,Lane Smith,3362,Elden Henson,coach|hockey team|lawyer|respect|team,46,USA,10000000,6.4,0
Takashi Shimizu,203,4000,Sarah Michelle Gellar,7461,Ted Raimi,american|curse|japan|nurse|rage,911,USA,10000000,5.9,4000
Dennis Dugan,77,11000,Adam Sandler,13162,Frances Bay,golf|golf ball|golfer|grandmother's house|tournament,289,USA,12000000,7.0,0
Victor Salva,190,1000,Eileen Brennan,1982,Jonathan Breck,demon|gore|record player|tattoo|wings,985,Germany,10000000,6.1,0
Stephen Herek,81,18000,Keanu Reeves,20795,Al Leong,failing student|high school|payphone|teenager|telephone booth,181,USA,10000000,6.9,0
Carol Reed,56,695,Oliver Reed,1593,Jack Wild,abuse|child|orphan|orphanage|pickpocket,138,UK,10000000,7.5,0
John Madden,264,1000,Tom Wilkinson,1898,Celia Imrie,hotel|india|marigold|retiree|retirement,266,UK,10000000,7.3,48000
Chuck Sheetz,44,759,Diedrich Bader,2197,Dabney Coleman,friend|principal|summer|summer camp|summer vacation,38,USA,23000000,6.5,227
George Miller,117,794,Tina Turner,1529,Angelo Rossitto,arena|desert|fight|mad max|post apocalypse,193,Australia,12305523,6.2,0
Mark L. Lester,124,1000,Bill Duke,3192,Rae Dawn Chong,body count|dictator|jumping from an airplane|knife fight|one man army,437,USA,10000000,6.7,0
William Brent Bell,159,4000,Lauren Cohan,4687,Stephanie Lemelin,animate doll|doll|england|nanny|surprise ending,155,USA,10000000,6.0,20000
John Erick Dowdle,273,2000,Bojana Novakovic,5628,Geoffrey Arend,devil|elevator|hit and run|throat slitting|trapped in an elevator,319,USA,10000000,6.3,16000
Marcus Raboy,26,723,John Witherspoon,3712,Katt Williams,apartment|christmas|christmas present|rent|security guard,66,USA,20000000,5.8,981
Leigh Whannell,242,852,Lin Shaye,2426,Leigh Whannell,demon|possession|psychic|supernatural|teenager,183,Canada,10000000,6.1,29000
Michael Schultz,55,854,Mike Starr,3394,Keshia Knight Pulliam,cult film|kung fu|kung fu classic|martial arts|title spoken by character,109,USA,10000000,6.9,0
Guy Ritchie,151,26000,Jason Statham,39175,Jason Flemyng,boxer|boxing|diamond|fight|gypsy,726,UK,6000000,8.3,27000
Brett Leonard,48,535,Jeff Fahey,1109,Troy Evans,intelligence|science runs amok|scientist|supernatural power|virtual reality,96,UK,10000000,5.4,0
Peter Sollett,166,904,Ari Graynor,2807,Aaron Yoo,band|gay|gay friend|love|night,129,USA,9000000,6.7,0
Kevin Smith,206,13000,Matt Damon,16693,George Carlin,abortion|abortion clinic|angel|church|clinic,1015,USA,10000000,7.4,10000
Bob Dolman,92,931,Erika Christensen,1917,Sal Lopez,bartender|groupie|lawyer|road trip|writer,147,USA,10000000,5.6,744
Joe Dante,78,745,Albert Brooks,1954,Vic Morrow,1940s|1960s|bar|kick the can|remake,121,USA,10000000,6.5,0
Rowdy Herrington,83,623,Ben Gazzara,2484,Kelly Lynch,bikini|cult film|fired from the job|martial arts|violence,201,USA,17000000,6.5,0
Keenen Ivory Wayans,8,851,Jada Pinkett Smith,3190,Charles S. Dutton,drugs|ex cop|gun fu|machismo|shootout,26,USA,10000000,5.8,368
John Polson,86,931,Erika Christensen,3819,Jason Ritter,high school|hospital|new jersey|stanford university|swimming,217,USA,8500000,5.0,720
Greg Coolidge,85,1000,Dane Cook,4441,Jessica Simpson,competition|date|employee|laser in eyes|slacker,151,USA,12000000,5.5,0
Harry Elfont,76,982,Ethan Embry,4259,Charlie Korsmo,graduation|high school|letter|nerd|party,247,USA,10000000,6.5,0
Francis Ford Coppola,60,10000,Tom Cruise,12097,Tom Waits,dysfunctional family|gang|greaser|holding someone's head underwater|rivalry,308,USA,10000000,7.2,10000
David Lowery,78,3000,Bryce Dallas Howard,3691,Isiah Whitlock Jr.,,6,USA,65000000,7.3,21000
David Cronenberg,112,1000,Tom Skerritt,2013,Anthony Zerbe,car accident|coma|evil politician|psychic|vision,182,USA,10000000,7.2,0
Ciarán Foy,189,1000,Laila Haley,2403,Jaden Klein,deputy|farmhouse|nightmare|private investigator|rural,126,USA,10000000,5.2,13000
Salim Akil,82,1000,Omari Hardwick,5804,Mike Epps,1960s|death|girl group|nightclub|sister,48,USA,17000000,5.7,0
Jamie Blanks,120,690,Marley Shelton,2402,Johnny Whitworth,dance|nosebleed|revenge|valentine|valentine's day,371,USA,10000000,4.7,0
Olatunde Osunsanmi,183,14000,Milla Jovovich,15251,Hakeem Kae-Kazim,abduction|alaska|alien|owl|patient,330,USA,10000000,5.9,15000
Robert Altman,211,11000,Meryl Streep,12946,Lily Tomlin,backstage|country music|cowboy|radio|singing,280,USA,10000000,6.8,683
Leon Ichaso,14,556,Khandi Alexander,2149,Steve Harris,african american|harlem manhattan new york city|manhattan new york city|new york city|urination,35,USA,10000000,5.9,331
Joseph Zito,54,371,Billy Drago,857,Eddie Jones,army|nightmare|one man army|rescue|spy,90,USA,10000000,5.3,0
Malcolm D. Lee,55,2000,Jurnee Smollett-Bell,7552,Shad Moss,1970s|boy|competition|roller skates|tubesocks,75,USA,,6.0,997
Wes Anderson,179,13000,Bill Murray,15716,Olivia Williams,coming of age|friendship|private school|student|teacher,640,USA,9000000,7.7,5000
Colin Strause,221,929,David Zayas,3679,Brittany Daniel,apartment|blue light|drawing|group of friends|light,944,USA,10000000,4.4,13000
John Madden,158,220,Tina Desai,583,Ronald Pickup,sequel,100,UK,10000000,6.6,21000
Patricia Rozema,73,918,Julia Ormond,3317,Willow Smith,boarding house|girl|great depression|house|ohio,24,USA,10000000,6.7,851
Mark Rosman,65,1000,Ben Feldman,4789,Vanessa Lengies,e mail|moving|perfect man|secret admirer|suitor,104,USA,25000000,5.5,767
Spike Lee,23,18000,Denzel Washington,19065,Charlie Murphy,comeback|friend|jazz|stage|trumpet,30,USA,10000000,6.5,720
Steve Oedekerk,63,176,Steve Oedekerk,361,Jennifer Tung,chosen one|comic violence|intentionally bad|kung fu|stylized violence,518,USA,10000000,6.2,0
Ron Underwood,132,651,Reba McEntire,3119,Michael Gross,desert|giant worm|monster|pipe bomb|small town,248,USA,11000000,7.1,11000
Rob Schmidt,191,2000,Kevin Zegers,3416,Julian Richings,forest|mountain|road|stupid victim|west virginia,540,USA,12600000,6.1,0
Walter Hill,52,2000,Dennis Quaid,6296,Randy Quaid,bank|breasts|famous score|last man standing|revenge,78,USA,10000000,7.1,680
James Foley,91,258,Byron Mann,571,Kim Chan,chinatown|illegal immigrant|new york|police|triad,131,USA,30000000,6.0,328
Jeff Nichols,368,11000,Matthew McConaughey,13960,Sam Shepard,14 year old|boat|bounty hunter|boy|river,261,USA,10000000,7.4,27000
Robert Ben Garant,89,655,Wendi McLendon-Covey,2737,Carlos Alazraqui,beach|police|sex scene|spring break|vomiting,73,USA,10000000,5.9,441
Morgan Spurlock,83,773,Harry Styles,2787,Niall Horan,3 dimensional|concert footage|englishman abroad|reference to keith richards|reference to the doors,68,USA,10000000,4.1,0
Neal Brennan,83,839,Rob Riggle,3973,Charles Napier,fourth of july|looking at one's self in a mirror|mirror|sex toy|young version of character,59,USA,,5.8,0
Tuck Tucker,33,1000,Jennifer Jason Leigh,3752,Paul Sorvino,castle thunder|document|neighborhood|punctuation in title|villain arrested,43,USA,3000000,5.9,227
Simon Curtis,386,13000,Eddie Redmayne,17204,Julia Ormond,actress|assistant director|blonde bombshell|movie star|wardrobe,216,UK,6400000,7.0,17000
Richard Shepard,191,3000,Adam Scott,4053,Hope Davis,bar|hitman|luck|mexico|mexico city,234,USA,10000000,6.8,808
Theodore Witcher,16,962,Leonard Roberts,3871,Larenz Tate,african american|cult film|ex boyfriend|middle class|sex,28,USA,10000000,7.4,1000
Joel Edgerton,297,1000,Busy Philipps,3215,Wendell Pierce,compulsive liar|fired from a job|gift|rape|substance abuse,279,USA,5000000,7.1,15000
Jim Hanon,47,772,Chase Ellison,1058,Jack Guzman,death|missionary|spear|speared to death|tribe,148,USA,10000000,7.0,1000
Tommy O'Haver,63,15000,Mila Kunis,22485,Carmen Electra,basketball|dancer|high school|love triangle|shakespeare's a midsummer night's dream,180,USA,22000000,5.8,0
Mike Judge,144,989,Gary Cole,3462,Diedrich Bader,boss|computer|downsizing|neighbor|office,621,USA,10000000,7.8,16000
Michael Patrick Jann,77,4000,Kirsten Dunst,6388,Ellen Barkin,beauty pageant|blonde|cheerleader uniform|small town|upskirt,321,Germany,10000000,6.5,0
Tim Burton,325,11000,Christoph Waltz,12418,Jon Polito,1950s|abusive husband|artist|painting|secret,147,USA,10000000,7.0,20000
Peter Berg,100,4000,Jon Favreau,6046,Jeanne Tripplehorn,bachelor party|breasts|friend|prostitute|wedding,481,USA,10000000,6.3,0
Joe Nussbaum,52,7000,Steve Carell,13626,Hunter Parrish,best friend|party|rival|scavenger hunt|sleepover,75,USA,10000000,5.3,0
Brian De Palma,98,537,Melanie Griffith,1856,Gregg Henry,actor|neighbor|police|thief|tunnel,178,USA,10000000,6.8,0
Jorma Taccone,163,1000,Jasper Cole,2618,Powers Boothe,colonel|lieutenant|nuclear warhead|team|washington d.c.,125,USA,10000000,5.5,0
Stephen Frears,137,460,Sophie Okonedo,1334,Sergi López,hotel|immigrant|nigerian|surgery|underwear,203,UK,10000000,7.4,0
Elizabeth Banks,180,20000,Hugh Jackman,41059,Seth MacFarlane,awkwardness|embarrassment|gross out|irreverence|shame,352,USA,6000000,4.3,25000
Florian Henckel von Donnersmarck,321,40000,Johnny Depp,55175,Rufus Sewell,police surveillance|surveillance van|tailing a suspect|tourist|venice italy,374,USA,100000000,6.0,25000
Jeff Lowell,100,939,Stephen Root,3651,Wendi McLendon-Covey,accident|diary|ghost|psychic|veterinarian,53,USA,10000000,5.2,518
Lorene Scafaria,265,7000,Steve Carell,7747,Rob Huebel,candle|end of the world|letter|record|road trip,221,USA,10000000,6.7,25000
Miguel Arteta,212,1000,Kurtwood Smith,4769,Alia Shawkat,award|cedar rapids iowa|convention|hotel|insurance,85,USA,,6.3,0
,68,1000,Michaela Conlin,2198,Tamara Taylor,anthropologist|fbi|fbi agent|forensics|investigation,173,USA,,7.9,0
Tony Kaye,162,1000,Ethan Suplee,3858,Stacy Keach,curb stomping|neo nazi|prison|son dislikes mother's boyfriend|white supremacist,1420,USA,7500000,8.6,35000
Marcus Dunstan,147,1000,Daniel Sharman,3818,Lee Tergesen,booby trap|brainwashing|mercenary|serial killer|trap,99,USA,10000000,6.1,14000
Timothy Björklund,33,886,Nathan Lane,5139,Jerry Stiller,dog|florida|mad scientist|school|teacher,26,USA,10000000,5.8,49
François Girard,94,24,Johannes Silberschneider,29,Carlo Cecchi,auction|montreal|secret|violin|violinist,247,Canada,10000000,7.7,0
David Lynch,143,874,Sissy Spacek,1351,Everett McGill,cane|iowa|lawn mower|tractor|wisconsin,414,France,10000000,8.0,0
Scott Kalvert,38,12000,Norman Reedus,26961,Frankie Muniz,1950s|drug overdose|gang|gang war|new york city,92,USA,10000000,5.6,398
Jason Bateman,126,628,Beth Grant,2061,Patricia Belcher,directed by star|indian american|spelling|spelling bee|two word title,119,USA,10000000,6.7,0
David Schwimmer,168,427,Dylan Moran,1022,India de Beaufort,blister|gym|marathon|training|wedding,143,UK,,6.6,0
Allan Arkush,19,753,Bernadette Peters,2791,Christopher Guest,escape|fish out of water|love|robot|servant,31,USA,10000000,4.2,425
Mike Binder,91,1000,Jennifer Ehle,3745,Jillian Estell,color in title,57,USA,9000000,6.6,0
Eric Bross,46,719,Jerry Stiller,2446,Dave Foley,based on short film|chicago illinois|el train|love|train,79,USA,16000000,4.1,0
Werner Herzog,198,23000,Christian Bale,24270,François Chau,bombing|guard|jungle|laos|prisoner,205,USA,10000000,7.3,0
Dan Fogelman,139,14000,Al Pacino,18712,Melissa Benoist,entertainer|inspiration|lost opportunity|pregnant mother|rock star,100,USA,10000000,7.1,0
Jay Duplass,182,2000,Judy Greer,3374,Rae Dawn Chong,basement|errand|secret admirer|slacker|wrong number,112,USA,10000000,6.5,0
Luca Guadagnino,181,144,Flavio Parenti,474,Alba Rohrwacher,chef|friend|italy|restaurant|russian,114,Italy,10000000,7.0,0
John Putch,23,823,Robert Picardo,5262,Esai Morales,box office flop|critically bashed|government|industrialist|railroad,122,USA,10000000,5.5,0
Peter Medak,30,10000,Gary Oldman,13160,Lena Olin,detective|police|protection|russian|sergeant,88,UK,11500000,6.6,561
Steven Soderbergh,111,402,Peter Fonda,1335,William Lucking,daughter|englishman|ex con|revenge|young woman,240,USA,9000000,7.1,944
Paul Haggis,287,3000,Don Cheadle,5732,Jennifer Esposito,race relations|racism|racist|social problem|stereotype,1624,Germany,6500000,7.9,18000
Terence Davies,96,902,Eric Stoltz,2735,Elizabeth McGovern,high society|love|money|reputation|wealth,181,UK,10000000,7.1,345
Harley Cokeliss,27,754,Cliff Robertson,1891,Dennis Burkley,assassin|box office flop|cia|farmer|power,37,USA,10000000,5.6,208
Victor Salva,44,634,Scott Mechlowicz,2673,Agnes Bruckner,college|college athlete|comeback|gymnast|olympics,175,Germany,10000000,7.3,0
Tom Brady,49,982,Don Johnson,2603,Nicholas Turturro,diner|eating a banana|masturbation|porn star|shooting a pornographic movie,64,USA,10000000,3.3,0
Spike Lee,57,1000,Gillian White,4266,Jada Pinkett Smith,actor|minstrel show|protest|success|writer,186,USA,10000000,6.5,1000
Jason Zada,185,533,Eoin Macken,578,Gen Seto,forest|japan|suicide|suicide forest|supernatural,127,USA,10000000,4.8,10000
Franklin J. Schaffner,2,902,Frank Langella,2079,John Gielgud,bat|curse|egyptologist|mummy|murder,21,USA,14000000,5.2,106
Noah Baumbach,270,6000,Naomi Watts,6322,Dree Hemingway,documentary filmmaker|documentary filmmaking|father in law|generation z|hipster,96,USA,10000000,6.3,0
Chris Weitz,94,749,Demián Bichir,2214,Robert Peters,gang|gardener|money|police|truck,81,USA,10000000,7.2,0
David Cronenberg,157,530,Miranda Richardson,1381,Lynn Redgrave,halfway house|key|reality|schizophrenia|spider,213,Canada,8000000,6.8,0
