director_name,num_critic_for_reviews,duration,actor_2_name,gross,movie_title,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,budget,actor_2_facebook_likes,imdb_score
Harry Elfont,76,100,Lauren Ambrose,25339117,Can't Hardly Wait ,4259,Charlie Korsmo,4,10000000,945,6.5
Francis Ford Coppola,60,114,William Smith,25600000,The Outsiders ,12097,Tom Waits,0,10000000,919,7.2
David Lowery,78,102,Oona Laurence,,Pete's Dragon ,3691,Isiah Whitlock Jr.,0,65000000,424,7.3
David Cronenberg,112,103,Herbert Lom,,The Dead Zone ,2013,Anthony Zerbe,0,10000000,278,7.2
Ciarán Foy,189,97,James Ransone,27736779,Sinister 2 ,2403,Jaden Klein,0,10000000,412,5.2
Salim Akil,82,116,Curtis Armstrong,24397469,Sparkle ,5804,Mike Epps,7,17000000,876,5.7
Jamie Blanks,120,96,Jessica Capshaw,20384136,Valentine ,2402,Johnny Whitworth,1,10000000,533,4.7
Olatunde Osunsanmi,183,98,Will Patton,25464480,The Fourth Kind ,15251,Hakeem Kae-Kazim,0,10000000,537,5.9
Robert Altman,211,105,Virginia Madsen,20338609,A Prairie Home Companion ,12946,Lily Tomlin,8,10000000,912,6.8
Leon Ichaso,14,123,Clarence Williams III,18272447,Sugar Hill ,2149,Steve Harris,1,10000000,475,5.9
Joseph Zito,54,107,Richard Lynch,,Invasion U.S.A. ,857,Eddie Jones,1,10000000,324,5.3
Malcolm D. Lee,55,112,Brandon T. Jackson,17378977,Roll Bounce ,7552,Shad Moss,0,,918,6.0
Wes Anderson,179,93,Connie Nielsen,17096053,Rushmore ,15716,Olivia Williams,2,9000000,933,7.7
Colin Strause,221,97,Donald Faison,21371425,Skyline ,3679,Brittany Daniel,0,10000000,927,4.4
John Madden,158,122,Celia Imrie,33071558,The Second Best Exotic Marigold Hotel ,583,Ronald Pickup,6,10000000,186,6.6
Patricia Rozema,73,101,Jane Krakowski,17655201,Kit Kittredge: An American Girl ,3317,Willow Smith,1,10000000,624,6.7
Mark Rosman,65,100,Chris Noth,16247775,The Perfect Man ,4789,Vanessa Lengies,3,25000000,962,5.5
Spike Lee,23,129,Nicholas Turturro,16153600,Mo' Better Blues ,19065,Charlie Murphy,1,10000000,269,6.5
Steve Oedekerk,63,81,Simon Rhee,16033556,Kung Pow: Enter the Fist ,361,Jennifer Tung,1,10000000,67,6.2
Ron Underwood,132,96,Ariana Richards,16667084,Tremors ,3119,Michael Gross,0,11000000,610,7.1
Rob Schmidt,191,84,Lindy Booth,15417771,Wrong Turn ,3416,Julian Richings,1,12600000,683,6.1
Walter Hill,52,100,David Carradine,,The Long Riders ,6296,Randy Quaid,0,10000000,926,7.1
James Foley,91,110,Paul Ben-Victor,15156200,The Corruptor ,571,Kim Chan,2,30000000,218,6.0
Jeff Nichols,368,130,Tye Sheridan,21589307,Mud ,13960,Sam Shepard,1,10000000,1000,7.4
Robert Ben Garant,89,84,Thomas Lennon,20339754,Reno 911!: Miami ,2737,Carlos Alazraqui,2,10000000,651,5.9
Morgan Spurlock,83,106,Zayn Malik,28873374,One Direction: This Is Us ,2787,Niall Horan,11,10000000,734,4.1
Neal Brennan,83,89,Noureen DeWulf,15102127,"The Goods: Live Hard, Sell Hard ",3973,Charles Napier,5,,700,5.8
Tuck Tucker,33,76,Vincent Schiavelli,13684949,Hey Arnold! The Movie ,3752,Paul Sorvino,0,3000000,811,5.9
Simon Curtis,386,99,Toby Jones,14597405,My Week with Marilyn ,17204,Julia Ormond,1,6400000,2000,7.0
Richard Shepard,191,96,Philip Baker Hall,12570442,The Matador ,4053,Hope Davis,0,10000000,497,6.8
Theodore Witcher,16,104,Nia Long,12514138,Love Jones ,3871,Larenz Tate,0,10000000,826,7.4
Joel Edgerton,297,108,Allison Tolman,43771291,The Gift ,3215,Wendell Pierce,1,5000000,562,7.1
Jim Hanon,47,108,Chad Allen,11703287,End of the Spear ,1058,Jack Guzman,3,10000000,232,7.0
Tommy O'Haver,63,87,Kirsten Dunst,11560259,Get Over It ,22485,Carmen Electra,1,22000000,4000,5.8
Mike Judge,144,89,Stephen Root,10824921,Office Space ,3462,Diedrich Bader,0,10000000,939,7.8
Michael Patrick Jann,77,97,Kirstie Alley,10561238,Drop Dead Gorgeous ,6388,Ellen Barkin,0,10000000,980,6.5
Tim Burton,325,106,Danny Huston,14479776,Big Eyes ,12418,Jon Polito,3,10000000,430,7.0
Peter Berg,100,100,Daniel Stern,9801782,Very Bad Things ,6046,Jeanne Tripplehorn,0,10000000,796,6.3
Joe Nussbaum,52,89,Alexa PenaVega,8070311,Sleepover ,13626,Hunter Parrish,9,10000000,2000,5.3
Brian De Palma,98,114,Dennis Franz,,Body Double ,1856,Gregg Henry,0,10000000,376,6.8
Jorma Taccone,163,95,Will Forte,8460995,MacGruber ,2618,Powers Boothe,3,10000000,622,5.5
Stephen Frears,137,97,Benedict Wong,8111360,Dirty Pretty Things ,1334,Sergi López,1,10000000,372,7.4
Elizabeth Banks,180,94,Kate Winslet,8828771,Movie 43 ,41059,Seth MacFarlane,10,6000000,14000,4.3
Florian Henckel von Donnersmarck,321,103,Angelina Jolie Pitt,67631157,The Tourist ,55175,Rufus Sewell,0,100000000,11000,6.0
Jeff Lowell,100,95,William Morgan Sheppard,7563670,Over Her Dead Body ,3651,Wendi McLendon-Covey,0,10000000,702,5.2
Lorene Scafaria,265,101,Mark Moses,6619173,Seeking a Friend for the End of the World ,7747,Rob Huebel,2,10000000,353,6.7
Miguel Arteta,212,87,Stephen Root,6857503,Cedar Rapids ,4769,Alia Shawkat,1,,939,6.3
,68,40,T.J. Thyne,,Bones             ,2198,Tamara Taylor,2,,722,7.9
Tony Kaye,162,101,Beverly D'Angelo,6712241,American History X ,3858,Stacy Keach,2,7500000,816,8.6
Marcus Dunstan,147,82,Johanna Braddy,6842058,The Collection ,3818,Lee Tergesen,0,10000000,581,6.1
Timothy Björklund,33,74,Kelsey Grammer,6491350,Teacher's Pet ,5139,Jerry Stiller,0,10000000,808,5.8
François Girard,94,130,Clotilde Mollet,9473382,The Red Violin ,29,Carlo Cecchi,3,10000000,3,7.7
David Lynch,143,112,Richard Farnsworth,6197866,The Straight Story ,1351,Everett McGill,0,10000000,262,8.0
Scott Kalvert,38,96,James Franco,6044618,Deuces Wild ,26961,Frankie Muniz,1,10000000,11000,5.6
Jason Bateman,126,89,Philip Baker Hall,7764027,Bad Words ,2061,Patricia Belcher,0,10000000,497,6.7
David Schwimmer,168,100,Iddo Goldberg,5998971,"Run, Fatboy, Run ",1022,India de Beaufort,0,,269,6.6
Allan Arkush,19,78,Randy Quaid,,Heartbeeps ,2791,Christopher Guest,0,10000000,695,4.2
Mike Binder,91,121,Gillian Jacobs,21569041,Black or White ,3745,Jillian Estell,2,9000000,837,6.6
Eric Bross,46,85,Tamala Jones,4356743,On the Line ,2446,Dave Foley,2,16000000,405,4.1
Werner Herzog,198,120,Toby Huss,5484375,Rescue Dawn ,24270,François Chau,0,10000000,342,7.3
Dan Fogelman,139,106,Jennifer Garner,5348317,Danny Collins ,18712,Melissa Benoist,0,10000000,3000,7.1
Jay Duplass,182,83,Evan Ross,4244155,"Jeff, Who Lives at Home ",3374,Rae Dawn Chong,5,10000000,616,6.5
Luca Guadagnino,181,120,Waris Ahluwalia,5004648,I Am Love ,474,Alba Rohrwacher,1,10000000,110,7.0
John Putch,23,111,Diedrich Bader,3333823,Atlas Shrugged II: The Strike ,5262,Esai Morales,0,10000000,759,5.5
Peter Medak,30,100,Michael Wincott,3275585,Romeo Is Bleeding ,13160,Lena Olin,1,11500000,721,6.6
Steven Soderbergh,111,89,Lesley Ann Warren,3193102,The Limey ,1335,William Lucking,0,9000000,296,7.1
Paul Haggis,287,115,Loretta Devine,54557348,Crash ,5732,Jennifer Esposito,0,6500000,912,7.9
Terence Davies,96,135,Anthony LaPaglia,3041803,The House of Mirth ,2735,Elizabeth McGovern,0,10000000,576,7.1
Harley Cokeliss,27,92,Tracey Walter,3060858,Malone ,1891,Dennis Burkley,4,10000000,324,5.6
Victor Salva,44,120,Tim DeKay,1055654,Peaceful Warrior ,2673,Agnes Bruckner,1,10000000,436,7.3
Tom Brady,49,97,Kevin Nealon,2331318,Bucky Larson: Born to Be a Star ,2603,Nicholas Turturro,1,10000000,503,3.3
Spike Lee,57,135,Michael Rapaport,2185266,Bamboozled ,4266,Jada Pinkett Smith,0,10000000,975,6.5
Jason Zada,185,93,Stephanie Vogt,26583369,The Forest ,578,Gen Seto,1,10000000,35,4.8
Franklin J. Schaffner,2,118,William Hootkins,800000,Sphinx ,2079,John Gielgud,0,14000000,488,5.2
Noah Baumbach,270,97,Maria Dizzia,7574066,While We're Young ,6322,Dree Hemingway,2,10000000,139,6.3
Chris Weitz,94,98,Eddie 'Piolin' Sotelo,1754319,A Better Life ,2214,Robert Peters,0,10000000,252,7.2
David Cronenberg,157,98,John Neville,1641788,Spider ,1381,Lynn Redgrave,0,8000000,387,6.8
Eric Blakeney,49,101,Oliver Platt,1631839,Gun Shy ,17665,Mitch Pileggi,0,10000000,1000,5.7
Douglas McGrath,80,132,Anne Hathaway,1309849,Nicholas Nickleby ,29177,Jim Broadbent,1,10000000,11000,7.2
Ariel Vromen,221,106,James Franco,1939441,The Iceman ,23187,Robert Davi,1,10000000,11000,6.9
,53,55,Olaf Lubaszenko,447093,Dekalog             ,25,Olgierd Lukaszewicz,0,,3,9.1
Rakesh Roshan,20,168,Rekha,,Krrish ,616,Sharat Saxena,0,10000000,200,6.3
John Waters,90,87,Melanie Griffith,1276984,Cecil B. DeMented ,3059,Kevin Nealon,2,10000000,537,6.2
William Friedkin,376,98,Scott A. Martin,1987762,Killer Joe ,11853,Carol Sutton,0,11000000,414,6.7
Derrick Borte,144,96,Gary Cole,1474508,The Joneses ,4607,Robert Pralgo,4,5000000,989,6.5
Richard Kwietniowski,82,104,Minnie Driver,1011054,Owning Mahowny ,23513,Maury Chaykin,1,10000000,893,7.2
Bob Odenkirk,51,93,Lee Majors,900926,The Brothers Solomon ,3307,Will Forte,2,10000000,799,5.3
Kar-Wai Wong,192,95,Norah Jones,866778,My Blueberry Nights ,20364,Adriane Lenox,3,10000000,329,6.7
John Turturro,36,119,Ben Gazzara,836641,Illuminata ,1585,George DiCenzo,0,,623,6.2
Guy Ritchie,71,89,Jeanne Tripplehorn,598645,Swept Away ,2006,David Thornton,0,10000000,711,3.6
Joshua Seftel,79,107,Sergej Trifunovic,578527,"War, Inc. ",988,Ned Bellamy,3,10000000,175,5.7
Stephen Chow,246,85,Karen Mok,488872,Shaolin Soccer ,700,Kwok-Kwan Chan,2,10000000,83,7.3
Vincent Gallo,115,93,Cheryl Tiegs,365734,The Brown Bunny ,883,Anna Vareschi,0,10000000,96,5.0
Claude Chabrol,34,101,François Cluzet,231417,The Swindle ,1256,Michel Serrault,0,60000000,541,6.6
Jon Stewart,129,103,Claire Foy,3093491,Rosewater ,1283,Haluk Bilginer,0,5000000,362,6.6
Bigas Luna,22,101,Aitana Sánchez-Gijón,244465,The Chambermaid on the Titanic ,1019,Romane Bohringer,1,,130,6.8
Ralph Fiennes,196,123,Ashraf Barhom,756452,Coriolanus ,18652,Lubna Azabal,0,,451,6.2
Dan Harris,73,111,Ryan Donowho,228524,Imaginary Heroes ,768,Larry Fessenden,2,4000000,181,7.3
Mel Smith,43,86,Danny Dyer,226792,High Heels and Low Lifes ,3049,Mary McCormack,2,10000000,798,6.2
Bobcat Goldthwait,129,99,Daryl Sabara,221210,World's Greatest Dad ,50542,Henry Simmons,1,,640,6.9
Christopher Smith,200,90,Toby Stephens,136432,Severance ,2217,Laura Harris,0,5000000,769,6.6
Stuart Gordon,79,82,Dulé Hill,131617,Edmond ,5761,Jeffrey Combs,1,10000000,922,6.3
Jake Scott,112,110,Ally Sheedy,152857,Welcome to the Rileys ,18236,Kerry Cahill,3,,793,7.0
Alan Metter,17,83,Michael Winslow,126247,Police Academy: Mission to Moscow ,17469,G.W. Bailey,0,6200000,542,3.3
Jeb Stuart,20,128,Nate Parker,82739,Blood Done Sign My Name ,4579,Lee Norris,0,,664,6.7
Rafa Lara,12,125,Andrés Montiel,169379,"Cinco de Mayo, La Batalla ",221,William Miller,1,10000000,61,6.2
Michael Radford,59,97,Jared Gilman,,Elsa & Fred ,3465,James Brolin,0,10000000,545,6.5
Arthur Hiller,29,86,Harvey Weinstein,15447,An Alan Smithee Film: Burn Hollywood Burn ,2655,Ryan O'Neal,0,10000000,474,3.5
Michael Meredith,23,91,Justin Timberlake,19348,The Open Road ,16118,Ted Danson,2,10000000,3000,5.5
Julio DePietro,22,90,Scott Porter,100503,The Good Guy ,3124,Aaron Yoo,2,8000000,690,5.9
Katherine Dieckmann,43,90,Minnie Driver,92900,Motherhood ,3146,Anthony Edwards,1,5000000,893,4.7
William Dear,16,94,Corbin Bleu,140987,Free Style ,2519,Sandra Echeverría,3,,632,4.2
Kim Farrant,84,112,Reef Ireland,,Strangerland ,285,Sean Keenan,0,10000000,52,5.2
Marcus Raboy,4,85,Tamala Jones,,The Janky Promoters ,1936,Glenn Plummer,2,,405,5.2
Scott Marshall,20,93,Drew Waters,5561,Blonde Ambition ,4725,Larry Miller,1,10000000,848,3.9
Álex de la Iglesia,71,104,Leonor Watling,3607,The Oxford Murders ,940,Danny Sapani,4,10000000,161,6.1
Andrew Traucki,102,94,Gyton Grantley,,The Reef ,375,Adrienne Pickering,0,,109,5.8
Michael Clancy,27,85,Rip Torn,70527,Eulogy ,14656,Kelly Preston,6,6500000,826,6.7
Patrick Lussier,62,99,Craig Fairbrass,,White Noise 2: The Light ,934,Adrian Holmes,0,10000000,258,5.7
Robert Adetuyi,5,91,Mishael Morgan,,You Got Served: Beat the World ,964,Chase Armitage,0,10000000,152,4.5
Kari Skogland,76,117,Kevin Zegers,,Fifty Dead Men Walking ,7637,Michael McElhatton,1,6000000,2000,6.9
Taedong Park,8,85,Tom Arnold,,Jungle Shuffle ,2259,Amanda Troop,0,10000000,618,4.8
Paul Schrader,75,106,Ayelet Zurer,,Adam Resurrected ,31325,Derek Jacobi,2,10000000,744,6.3
Benedikt Erlingsson,66,81,Charlotte Bøving,11835,Of Horses and Men ,81,Sigríður María Egilsdóttir,0,10000000,10,6.9
Gurinder Chadha,31,100,Mark Addy,,It's a Wonderful Afterlife ,2227,Shabana Azmi,1,10000000,891,5.4
Jason Connery,32,90,Henry Rollins,,The Devil's Tomb ,3937,Jason London,4,10000000,898,3.8
Vic Sarin,17,116,Jesse Moss,,Partition ,428,John Light,2,10000000,136,7.0
Jim Issa,4,84,Luke Perry,,Good Intentions ,2739,Jon Gries,5,10000000,608,5.2
Jee-woon Kim,152,135,Woo-sung Jung,128486,"The Good, the Bad, the Weird ",569,Dal-su Oh,0,10000000,149,7.3
Douglas Aarniokoski,129,84,Katrina Bowden,,Nurse 3D ,4686,Kathleen Turner,0,10000000,948,4.6
William Phillips,15,89,Callum Rennie,,Gunless ,2876,Dustin Milligan,1,10000000,716,6.5
Greg Mottola,248,107,Martin Starr,16025394,Adventureland ,18983,Wendie Malick,6,,985,6.8
Andy Garcia,52,144,Victor Rivers,2483955,The Lost City ,1674,Enrique Murciano,0,9600000,228,6.7
Steve Carr,55,98,Mike Epps,57176582,Next Friday ,3939,Rolando Molina,1,9500000,706,6.1
Sarik Andreasyan,30,94,Jordana Brewster,,American Heist ,9432,Akon,1,10000000,4000,5.2
Lewis Gilbert,130,117,Burt Kwouk,43100000,You Only Live Twice ,2127,Desmond Llewelyn,0,9500000,462,6.9
Julian Gilbey,29,102,Alfie Allen,,Plastic ,35634,Malese Jow,7,10000000,1000,6.0
Michael Haneke,447,127,Emmanuelle Riva,225377,Amour ,1557,Jean-Louis Trintignant,1,8900000,432,7.9
Gary Sherman,66,98,Heather O'Rourke,14114488,Poltergeist III ,3827,Zelda Rubinstein,0,10500000,887,4.5
Valeri Milev,18,88,Roger Cross,,Re-Kill ,1702,Jesse Garcia,0,9500000,290,5.1
Stanley Kramer,61,197,Sid Caesar,46300000,"It's a Mad, Mad, Mad, Mad World ",4109,Spencer Tracy,0,9400000,898,7.6
Pedro Almodóvar,232,121,Lola Dueñas,12899702,Volver ,448,Antonio de la Torre,1,,114,7.6
Gerald Potterton,62,90,Joe Flaherty,,Heavy Metal ,646,Don Francks,0,9300000,176,6.7
Jared Hess,106,89,Michael Angarano,113155,Gentlemen Broncos ,34398,Héctor Jiménez,7,,947,6.1
Richard Loncraine,56,104,Jim Broadbent,2600000,Richard III ,23962,Kristin Scott Thomas,3,6000000,1000,7.5
David Hackl,48,94,Michaela McManus,,Into the Grizzly Maze ,1586,Luisa D'Oliveira,4,10000000,476,5.3
Anurag Basu,41,90,Steven Michael Quezada,1602466,Kites ,1836,Kabir Bedi,0,600000000,412,6.0
Lars von Trier,439,130,Kirsten Dunst,3029870,Melancholia ,15835,Charlotte Rampling,1,7400000,4000,7.1
Kriv Stenders,54,92,Keisha Castle-Hughes,,Red Dog ,1248,Luke Ford,0,8500000,446,7.5
Yash Chopra,50,176,Katrina Kaif,3047539,Jab Tak Hai Jaan ,13762,Vic Waghorn,4,7217600,3000,6.9
Ridley Scott,392,116,Yaphet Kotto,78900000,Alien ,2524,Bolaji Badejo,0,11000000,581,8.5
Tobe Hooper,277,88,Edwin Neal,30859000,The Texas Chain Saw Massacre ,1094,Marilyn Burns,0,83532,371,7.5
Floria Sigismondi,259,106,Scout Taylor-Compton,3571735,The Runaways ,21711,Johnny Lewis,2,10000000,908,6.6
Norman Jewison,66,181,Paul Michael Glaser,50000000,Fiddler on the Roof ,934,Rosalind Harris,0,9000000,343,8.0
Terence Young,129,130,Earl Cameron,63600000,Thunderball ,1164,Lois Maxwell,1,9000000,189,7.0
Joseph Kahn,115,93,Shanley Caswell,,Detention ,15014,Parker Bagley,2,10000000,383,5.8
Ferzan Ozpetek,81,110,Alessandro Preziosi,,Loose Cannons ,662,Lunetta Savino,9,,26,7.3
F. Gary Gray,29,123,Jada Pinkett Smith,36049108,Set It Off ,3661,Blair Underwood,4,9000000,851,6.8
Malcolm D. Lee,32,120,Sanaa Lathan,34074895,The Best Man ,5420,Jarrod Bunch,6,9000000,886,6.7
Tom Holland,142,87,Alex Vincent,33244684,Child's Play ,760,Dinah Manoff,0,9000000,189,6.5
Michael Moore,263,123,Tucker Albrizzi,24530513,Sicko ,1633,Bill Clinton,1,9000000,203,8.0
James DeMonaco,285,103,Zach Gilford,71519230,The Purge: Anarchy ,6807,Roberta Valderrama,0,9000000,971,6.5
Kris Isacsson,64,91,Lauren German,20035310,Down to You ,4409,Shawn Hatosy,1,9000000,683,4.9
Danny Leiner,150,88,Fred Willard,18225165,Harold & Kumar Go to White Castle ,3114,Paula Garcés,2,9000000,729,7.1
Rod Lurie,136,126,Gary Oldman,17804273,The Contender ,25660,William Petersen,0,20000000,10000,7.0
Ben Younger,132,120,Nia Long,16938179,Boiler Room ,17336,Herbert Russell,3,8000000,826,7.0
John Landis,71,116,Denholm Elliott,90400000,Trading Places ,845,Ralph Bellamy,2,,249,7.5
Glen Morgan,186,94,Crystal Lowe,16235293,Black Christmas ,1611,Andrea Martin,0,9000000,318,4.5
Daniel Taplitz,39,85,Tate Taylor,11827301,Breakin' All the Rules ,1345,Patrick Cranshaw,1,,150,5.5
Kenneth Branagh,46,137,Derek Jacobi,10161099,Henry V ,1341,Danny Webb,1,9000000,520,7.7
Tamara Jenkins,201,114,David Zayas,6610326,The Savages ,23770,Gbenga Akinnagbe,0,,929,7.2
Linda Mendoza,32,76,Freddy Rodríguez,6126237,Chasing Papi ,2851,Maria Conchita Alonso,3,,579,4.8
Christopher McQuarrie,117,119,Nicky Katt,6047856,The Way of the Gun ,358,Dylan Kussman,4,8500000,127,6.7
Burr Steers,136,99,Rory Culkin,4681503,Igby Goes Down ,2478,Bill Irwin,1,9000000,710,7.0
Hart Bochner,15,79,Matt Ross,4350774,PCU ,4908,Chris Young,3,8000000,248,6.5
Michael O. Sajbel,46,114,Drew Fuller,3420871,The Ultimate Gift ,3824,Mircea Monroe,2,,906,7.4
,1,30,Katherine Kelly Lang,,The Bold and the Beautiful             ,639,Hunter Tylo,0,,170,3.5
Stewart Raffill,41,91,John Carradine,,The Ice Pirates ,1991,Robert Urich,4,9000000,300,5.7
Davis Guggenheim,65,95,John Doman,2955039,Gracie ,2007,Carly Schroeder,1,9000000,616,6.2
Bart Freundlich,100,103,Garry Shandling,1530535,Trust the Man ,1721,Dagmara Dominczyk,3,9000000,591,5.7
Andrew Fleming,129,92,Amy Poehler,4881867,Hamlet 2 ,3767,David Arquette,1,9000000,1000,6.4
Todd Haynes,103,124,Eddie Izzard,1043487,Velvet Goldmine ,24102,Janet McTeer,3,,776,7.0
Hong-jin Na,77,156,Jun Kunimura,770629,The Wailing ,50,Woo-hee Chun,0,,5,7.7
Kevin Tancharoen,67,84,Heather Morris,11860839,Glee: The 3D Concert Movie ,4617,Kevin McHale,0,9000000,892,5.4
