director_name,actor_3_facebook_likes,actor_1_facebook_likes,gross,movie_title,num_voted_users,movie_imdb_link,language,movie_facebook_likes
Bryan Singer,574,18000,23272306,The Usual Suspects ,740918,http://www.imdb.com/title/tt0114814/?ref_=fn_tt_tt_1,English,28000
Stephen Hopkins,92,321,22168359,A Nightmare on Elm Street 5: The Dream Child ,29659,http://www.imdb.com/title/tt0097981/?ref_=fn_tt_tt_1,English,1000
Walt Becker,583,16000,21005329,Van Wilder: Party Liaison ,89128,http://www.imdb.com/title/tt0283111/?ref_=fn_tt_tt_1,English,0
Darren Aronofsky,120,1000,26236603,The Wrestler ,251349,http://www.imdb.com/title/tt1125849/?ref_=fn_tt_tt_1,English,10000
King Vidor,332,469,20400000,Duel in the Sun ,6304,http://www.imdb.com/title/tt0038499/?ref_=fn_tt_tt_1,English,403
Christopher Guest,658,957,18621249,Best in Show ,45859,http://www.imdb.com/title/tt0218839/?ref_=fn_tt_tt_1,English,0
John Carpenter,381,742,25244700,Escape from New York ,91017,http://www.imdb.com/title/tt0082340/?ref_=fn_tt_tt_1,English,0
Spike Lee,182,413,14545844,School Daze ,4756,http://www.imdb.com/title/tt0096054/?ref_=fn_tt_tt_1,English,624
Fred Savage,405,555,13235267,Daddy Day Camp ,12339,http://www.imdb.com/title/tt0462244/?ref_=fn_tt_tt_1,English,256
Sammo Kam-Bo Hung,64,472,12674183,Mr. Nice Guy ,19774,http://www.imdb.com/title/tt0117786/?ref_=fn_tt_tt_1,English,355
Christopher Guest,345,658,17508936,A Mighty Wind ,22408,http://www.imdb.com/title/tt0310281/?ref_=fn_tt_tt_1,English,0
Donald Petrie,658,8000,12793213,Mystic Pizza ,18286,http://www.imdb.com/title/tt0095690/?ref_=fn_tt_tt_1,English,0
,502,1000,,War & Peace             ,9277,http://www.imdb.com/title/tt3910804/?ref_=fn_tt_tt_1,English,11000
Peter Howitt,161,711,11883495,Sliding Doors ,52805,http://www.imdb.com/title/tt0120148/?ref_=fn_tt_tt_1,English,0
Rusty Cundieff,360,1000,11797927,Tales from the Hood ,4582,http://www.imdb.com/title/tt0114609/?ref_=fn_tt_tt_1,English,985
Kevin Macdonald,25,1000,17605861,The Last King of Scotland ,145580,http://www.imdb.com/title/tt0455590/?ref_=fn_tt_tt_1,English,0
Dominique Othenin-Girard,120,742,11642254,Halloween 5 ,22929,http://www.imdb.com/title/tt0097474/?ref_=fn_tt_tt_1,English,926
Richard Linklater,84,11000,9203192,Bernie ,45396,http://www.imdb.com/title/tt1704573/?ref_=fn_tt_tt_1,English,15000
Jean-Jacques Mantello,,844,7518876,Dolphins and Whales 3D: Tribes of the Ocean ,172,http://www.imdb.com/title/tt0996382/?ref_=fn_tt_tt_1,English,28
Ed Harris,221,697,8596914,Pollock ,23023,http://www.imdb.com/title/tt0183659/?ref_=fn_tt_tt_1,English,0
Risa Bramon Garcia,612,1000,6851636,200 Cigarettes ,13010,http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1,English,0
Brian Klugman,10000,24000,11434867,The Words ,59637,http://www.imdb.com/title/tt1840417/?ref_=fn_tt_tt_1,English,21000
Matt Piedmont,546,8000,5895238,Casa de mi Padre ,17169,http://www.imdb.com/title/tt1702425/?ref_=fn_tt_tt_1,Spanish,9000
Raymond De Felitta,130,3000,6670712,City Island ,27301,http://www.imdb.com/title/tt1174730/?ref_=fn_tt_tt_1,English,0
John Michael McDonagh,28,3000,5359774,The Guard ,64794,http://www.imdb.com/title/tt1540133/?ref_=fn_tt_tt_1,English,17000
Deb Hagan,664,1000,4693919,College ,11011,http://www.imdb.com/title/tt0844671/?ref_=fn_tt_tt_1,English,422
Sofia Coppola,826,4000,4859475,The Virgin Suicides ,116910,http://www.imdb.com/title/tt0159097/?ref_=fn_tt_tt_1,English,0
Mark Herman,286,1000,4595000,Little Voice ,13892,http://www.imdb.com/title/tt0147004/?ref_=fn_tt_tt_1,English,915
Zach Cregger,263,373,4542775,Miss March ,18313,http://www.imdb.com/title/tt1151922/?ref_=fn_tt_tt_1,English,985
Zach Braff,379,17000,3588432,Wish I Was Here ,29341,http://www.imdb.com/title/tt2870708/?ref_=fn_tt_tt_1,English,0
Mark Tarlov,353,4000,4394936,Simply Irresistible ,11439,http://www.imdb.com/title/tt0145893/?ref_=fn_tt_tt_1,English,901
,724,937,,Veronica Mars             ,55524,http://www.imdb.com/title/tt0412253/?ref_=fn_tt_tt_1,English,0
John Cameron Mitchell,179,263,3029081,Hedwig and the Angry Inch ,26300,http://www.imdb.com/title/tt0248845/?ref_=fn_tt_tt_1,English,0
Sheldon Lettich,82,97,3273588,Only the Strong ,4195,http://www.imdb.com/title/tt0107750/?ref_=fn_tt_tt_1,English,0
Jon Knautz,34,397,,Goddess of Love ,522,http://www.imdb.com/title/tt3432552/?ref_=fn_tt_tt_1,English,84
Billy Ray,491,4000,2207975,Shattered Glass ,28855,http://www.imdb.com/title/tt0323944/?ref_=fn_tt_tt_1,English,0
David Atkins,15,244,2025238,Novocaine ,9589,http://www.imdb.com/title/tt0234354/?ref_=fn_tt_tt_1,English,289
Patrick Stettner,152,944,1028337,The Business of Strangers ,3413,http://www.imdb.com/title/tt0270259/?ref_=fn_tt_tt_1,English,29
Sam Peckinpah,242,682,,The Wild Bunch ,63192,http://www.imdb.com/title/tt0065214/?ref_=fn_tt_tt_1,English,0
Jonathan Levine,362,976,2077046,The Wackness ,27266,http://www.imdb.com/title/tt1082886/?ref_=fn_tt_tt_1,English,0
Michael Crichton,20,187,,The Great Train Robbery ,11623,http://www.imdb.com/title/tt0079240/?ref_=fn_tt_tt_1,English,643
Lynne Ramsay,53,631,267194,Morvern Callar ,6906,http://www.imdb.com/title/tt0300214/?ref_=fn_tt_tt_1,English,605
Sylvio Tabet,284,721,869325,Beastmaster 2: Through the Portal of Time ,2281,http://www.imdb.com/title/tt0101412/?ref_=fn_tt_tt_1,English,125
Rick Bieber,316,767,399611,The 5th Quarter ,1245,http://www.imdb.com/title/tt1130964/?ref_=fn_tt_tt_1,English,0
Claude Chabrol,27,173,181798,The Flower of Evil ,2591,http://www.imdb.com/title/tt0322289/?ref_=fn_tt_tt_1,French,52
Shana Feste,71,1000,115862,The Greatest ,7394,http://www.imdb.com/title/tt1226232/?ref_=fn_tt_tt_1,English,0
Wayne Wang,451,974,1346503,Snow Flower and the Secret Fan ,3024,http://www.imdb.com/title/tt1541995/?ref_=fn_tt_tt_1,English,0
Joey Lauren Adams,90,596,117560,Come Early Morning ,2330,http://www.imdb.com/title/tt0457308/?ref_=fn_tt_tt_1,English,224
Peter Cattaneo,419,773,54606,Lucky Break ,1940,http://www.imdb.com/title/tt0246134/?ref_=fn_tt_tt_1,English,30
Fred Zinnemann,898,11000,,Julia ,6454,http://www.imdb.com/title/tt0076245/?ref_=fn_tt_tt_1,English,733
S.R. Bindler,499,11000,36497,Surfer, Dude ,7367,http://www.imdb.com/title/tt0976247/?ref_=fn_tt_tt_1,English,850
Tony Kaye,0,103,23807,Lake of Fire ,2143,http://www.imdb.com/title/tt0841119/?ref_=fn_tt_tt_1,English,570
Greg Marcks,407,861,,11:14 ,38273,http://www.imdb.com/title/tt0331811/?ref_=fn_tt_tt_1,English,0
Perry Lang,259,636,,Men of War ,2989,http://www.imdb.com/title/tt0110490/?ref_=fn_tt_tt_1,English,176
Jake Goldberger,99,592,,Don McKay ,2050,http://www.imdb.com/title/tt1281374/?ref_=fn_tt_tt_1,English,275
Stefan Ruzowitzky,874,16000,65804,Deadfall ,32512,http://www.imdb.com/title/tt1667310/?ref_=fn_tt_tt_1,English,0
Vic Sarin,130,933,,A Shine of Rainbows ,1696,http://www.imdb.com/title/tt1014774/?ref_=fn_tt_tt_1,English,1000
William Kaufman,787,848,,The Hit List ,10196,http://www.imdb.com/title/tt1575694/?ref_=fn_tt_tt_1,English,0
,334,805,,Emma             ,10388,http://www.imdb.com/title/tt1366312/?ref_=fn_tt_tt_1,English,0
David Cronenberg,15,391,,Videodrome ,60522,http://www.imdb.com/title/tt0086541/?ref_=fn_tt_tt_1,English,0
Cédric Klapisch,269,809,3895664,L'auberge espagnole ,34383,http://www.imdb.com/title/tt0283900/?ref_=fn_tt_tt_1,French,0
Kate Barker-Froyland,444,11000,20200,Song One ,6797,http://www.imdb.com/title/tt2182972/?ref_=fn_tt_tt_1,English,0
Barbet Schroeder,400,33000,31874869,Murder by Numbers ,43575,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1,English,0
Martin Koolhoven,19,163,542860,Winter in Wartime ,9230,http://www.imdb.com/title/tt0795441/?ref_=fn_tt_tt_1,Dutch,0
Charles Matthau,1000,2000,,Freaky Deaky ,6741,http://www.imdb.com/title/tt0938305/?ref_=fn_tt_tt_1,English,0
John Frankenheimer,28,343,,The Train ,10119,http://www.imdb.com/title/tt0059825/?ref_=fn_tt_tt_1,English,0
Christopher M. Bessette,57,978,15059,Trade of Innocents ,748,http://www.imdb.com/title/tt1772408/?ref_=fn_tt_tt_1,English,543
Prachya Pinkaew,380,778,11905519,The Protector ,30210,http://www.imdb.com/title/tt0427954/?ref_=fn_tt_tt_1,Thai,0
Gary Sinyor,136,722,69582,Stiff Upper Lips ,867,http://www.imdb.com/title/tt0120210/?ref_=fn_tt_tt_1,English,109
,220,229,,The Inbetweeners             ,55987,http://www.imdb.com/title/tt1220617/?ref_=fn_tt_tt_1,English,0
Gurinder Chadha,397,883,32541719,Bend It Like Beckham ,89806,http://www.imdb.com/title/tt0286499/?ref_=fn_tt_tt_1,English,0
John Sayles,501,688,3064356,Sunshine State ,3433,http://www.imdb.com/title/tt0286179/?ref_=fn_tt_tt_1,English,160
Preston A. Whitmore II,255,592,7009668,Crossover ,8707,http://www.imdb.com/title/tt0473024/?ref_=fn_tt_tt_1,English,244
Ashish R. Mohan,61,634,352684,Khiladi 786 ,4633,http://www.imdb.com/title/tt2166214/?ref_=fn_tt_tt_1,Hindi,365
Jaume Balagueró,6,37,27024,[Rec] 2 ,55597,http://www.imdb.com/title/tt1245112/?ref_=fn_tt_tt_1,Spanish,4000
Stewart Raffill,10,25,531806,Standing Ovation ,548,http://www.imdb.com/title/tt1303803/?ref_=fn_tt_tt_1,English,277
George Roy Hill,417,1000,159600000,The Sting ,175607,http://www.imdb.com/title/tt0070735/?ref_=fn_tt_tt_1,English,0
Hugh Hudson,249,368,58800000,Chariots of Fire ,40511,http://www.imdb.com/title/tt0082158/?ref_=fn_tt_tt_1,English,0
Darren Grant,476,907,50382128,Diary of a Mad Black Woman ,10472,http://www.imdb.com/title/tt0422093/?ref_=fn_tt_tt_1,English,0
Scott Hicks,35,509,35811509,Shine ,43013,http://www.imdb.com/title/tt0117631/?ref_=fn_tt_tt_1,English,0
Joseph Gordon-Levitt,694,23000,24475193,Don Jon ,190494,http://www.imdb.com/title/tt2229499/?ref_=fn_tt_tt_1,English,33000
Clint Eastwood,258,16000,,High Plains Drifter ,36381,http://www.imdb.com/title/tt0068699/?ref_=fn_tt_tt_1,English,0
Terry Zwigoff,722,19000,6200756,Ghost World ,96129,http://www.imdb.com/title/tt0162346/?ref_=fn_tt_tt_1,English,5000
Richard Eyre,548,14000,1292119,Iris ,14786,http://www.imdb.com/title/tt0280778/?ref_=fn_tt_tt_1,English,0
William Sachs,60,113,,Galaxina ,1955,http://www.imdb.com/title/tt0080771/?ref_=fn_tt_tt_1,English,438
Christophe Barratier,57,517,3629758,The Chorus ,44151,http://www.imdb.com/title/tt0372824/?ref_=fn_tt_tt_1,French,0
Émile Gaudreault,71,636,6239558,Mambo Italiano ,5548,http://www.imdb.com/title/tt0330602/?ref_=fn_tt_tt_1,English,352
James Cox,93,715,1056102,Wonderland ,18792,http://www.imdb.com/title/tt0335563/?ref_=fn_tt_tt_1,English,1000
Spike Lee,388,782,27545445,Do the Right Thing ,59524,http://www.imdb.com/title/tt0097216/?ref_=fn_tt_tt_1,English,0
James Toback,781,4000,56007,Harvard Man ,3754,http://www.imdb.com/title/tt0242508/?ref_=fn_tt_tt_1,English,113
Aki Kaurismäki,36,232,611709,Le Havre ,15267,http://www.imdb.com/title/tt1508675/?ref_=fn_tt_tt_1,French,0
Gaspar Noé,9,56,753501,Irreversible ,87244,http://www.imdb.com/title/tt0290673/?ref_=fn_tt_tt_1,French,13000
Hitoshi Matsumoto,16,31,22770,R100 ,1658,http://www.imdb.com/title/tt2914838/?ref_=fn_tt_tt_1,Japanese,543
Rakeysh Omprakash Mehra,199,397,2197331,Rang De Basanti ,70233,http://www.imdb.com/title/tt0405508/?ref_=fn_tt_tt_1,Hindi,0
Collin Schiffli,290,934,,Animals ,605,http://www.imdb.com/title/tt3297554/?ref_=fn_tt_tt_1,English,679
George Ratliff,38,472,27445,Salvation Boulevard ,3788,http://www.imdb.com/title/tt1251743/?ref_=fn_tt_tt_1,English,1000
David Wain,139,4000,766487,The Ten ,15315,http://www.imdb.com/title/tt0811106/?ref_=fn_tt_tt_1,English,915
Shane Meadows,222,5000,18434,A Room for Romeo Brass ,4471,http://www.imdb.com/title/tt0202559/?ref_=fn_tt_tt_1,English,484
Morten Tyldum,27,286,1196752,Headhunters ,79353,http://www.imdb.com/title/tt1614989/?ref_=fn_tt_tt_1,Norwegian,23000
Jon Wright,114,796,,Grabbers ,13227,http://www.imdb.com/title/tt1525366/?ref_=fn_tt_tt_1,English,11000
Michael McGowan,149,393,795126,Saint Ralph ,4976,http://www.imdb.com/title/tt0384488/?ref_=fn_tt_tt_1,English,989
Liv Ullmann,0,631,,Miss Julie ,2894,http://www.imdb.com/title/tt2667960/?ref_=fn_tt_tt_1,English,0
Jeannot Szwarc,32,208,,Somewhere in Time ,21049,http://www.imdb.com/title/tt0081534/?ref_=fn_tt_tt_1,English,0
Rohan Sippy,47,374,563699,Dum Maaro Dum ,3266,http://www.imdb.com/title/tt1618430/?ref_=fn_tt_tt_1,Hindi,421
James Wan,482,852,83574831,Insidious: Chapter 2 ,109214,http://www.imdb.com/title/tt2226417/?ref_=fn_tt_tt_1,English,35000
Darren Lynn Bousman,651,1000,87025093,Saw II ,188679,http://www.imdb.com/title/tt0432348/?ref_=fn_tt_tt_1,English,0
Dan Trachtenberg,82,14000,71897215,10 Cloverfield Lane ,126893,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1,English,33000
Jeff Tremaine,218,608,64267897,Jackass: The Movie ,67992,http://www.imdb.com/title/tt0322802/?ref_=fn_tt_tt_1,English,0
David F. Sandberg,300,2000,56536016,Lights Out ,13523,http://www.imdb.com/title/tt4786282/?ref_=fn_tt_tt_1,English,0
Henry Joost,434,581,104007828,Paranormal Activity 3 ,76828,http://www.imdb.com/title/tt1778304/?ref_=fn_tt_tt_1,English,24000
Stiles White,704,852,50820940,Ouija ,31915,http://www.imdb.com/title/tt1204977/?ref_=fn_tt_tt_1,English,18000
Chuck Russell,150,506,44793200,A Nightmare on Elm Street 3: Dream Warriors ,49820,http://www.imdb.com/title/tt0093629/?ref_=fn_tt_tt_1,English,0
Joel Edgerton,458,1000,43771291,The Gift ,79916,http://www.imdb.com/title/tt4178092/?ref_=fn_tt_tt_1,English,15000
Eugenio Derbez,83,399,44456509,Instructions Not Included ,22105,http://www.imdb.com/title/tt2378281/?ref_=fn_tt_tt_1,Spanish,14000
Henry Joost,113,235,53884821,Paranormal Activity 4 ,51204,http://www.imdb.com/title/tt2109184/?ref_=fn_tt_tt_1,English,26000
Henry Koster,275,726,36000000,The Robe ,6359,http://www.imdb.com/title/tt0046247/?ref_=fn_tt_tt_1,English,0
Blake Edwards,80,462,,The Return of the Pink Panther ,19596,http://www.imdb.com/title/tt0072081/?ref_=fn_tt_tt_1,English,620
Rachel Talalay,581,40000,34872293,Freddy's Dead: The Final Nightmare ,30765,http://www.imdb.com/title/tt0101917/?ref_=fn_tt_tt_1,English,963
Patty Jenkins,592,9000,34468224,Monster ,105568,http://www.imdb.com/title/tt0340855/?ref_=fn_tt_tt_1,English,0
Richard Fleischer,51,617,,20,000 Leagues Under the Sea ,22123,http://www.imdb.com/title/tt0046672/?ref_=fn_tt_tt_1,English,0
Christopher Landon,332,510,32453345,Paranormal Activity: The Marked Ones ,31791,http://www.imdb.com/title/tt2473682/?ref_=fn_tt_tt_1,English,10000
David Lynch,452,12000,,The Elephant Man ,161972,http://www.imdb.com/title/tt0080678/?ref_=fn_tt_tt_1,English,9000
Jean-Marc Vallée,896,11000,27296514,Dallas Buyers Club ,326494,http://www.imdb.com/title/tt0790636/?ref_=fn_tt_tt_1,English,65000
David Gelb,801,10000,25799043,The Lazarus Effect ,28513,http://www.imdb.com/title/tt2918436/?ref_=fn_tt_tt_1,English,0
Christopher Nolan,379,716,25530884,Memento ,845580,http://www.imdb.com/title/tt0209144/?ref_=fn_tt_tt_1,English,40000
Mike Flanagan,202,972,27689474,Oculus ,85688,http://www.imdb.com/title/tt2388715/?ref_=fn_tt_tt_1,English,23000
Kevin Smith,657,1000,24138847,Clerks II ,114797,http://www.imdb.com/title/tt0424345/?ref_=fn_tt_tt_1,English,0
Stephen Daldry,34,838,21994911,Billy Elliot ,98354,http://www.imdb.com/title/tt0249462/?ref_=fn_tt_tt_1,English,0
Nat Faxon,424,7000,21501098,The Way Way Back ,115813,http://www.imdb.com/title/tt1727388/?ref_=fn_tt_tt_1,English,22000
George Jackson,287,901,19281235,House Party 2 ,3571,http://www.imdb.com/title/tt0102065/?ref_=fn_tt_tt_1,English,232
George Miller,75,492,,The Man from Snowy River ,5894,http://www.imdb.com/title/tt0084296/?ref_=fn_tt_tt_1,English,0
Maurice Joyce,73,2000,19421271,Doug's 1st Movie ,2448,http://www.imdb.com/title/tt0187819/?ref_=fn_tt_tt_1,English,122
Robert Duvall,77,205,20733485,The Apostle ,11622,http://www.imdb.com/title/tt0118632/?ref_=fn_tt_tt_1,English,1000
Frank Perry,157,977,,Mommie Dearest ,10564,http://www.imdb.com/title/tt0082766/?ref_=fn_tt_tt_1,English,0
Jesse Peretz,1000,11000,24809547,Our Idiot Brother ,74875,http://www.imdb.com/title/tt1637706/?ref_=fn_tt_tt_1,English,11000
Stephen Hopkins,388,882,19097994,Race ,11744,http://www.imdb.com/title/tt3499096/?ref_=fn_tt_tt_1,English,0
Ice Cube,498,1000,23031390,The Players Club ,4345,http://www.imdb.com/title/tt0119905/?ref_=fn_tt_tt_1,English,575
Tim Blake Nelson,697,1000,16017403,O ,17333,http://www.imdb.com/title/tt0184791/?ref_=fn_tt_tt_1,English,0
John Erick Dowdle,161,1000,21197315,As Above, So Below ,49948,http://www.imdb.com/title/tt2870612/?ref_=fn_tt_tt_1,English,14000
Bille Woodruff,467,1000,17382982,Addicted ,5975,http://www.imdb.com/title/tt2205401/?ref_=fn_tt_tt_1,Spanish,0
Kasi Lemmons,426,2000,14821531,Eve's Bayou ,6915,http://www.imdb.com/title/tt0119080/?ref_=fn_tt_tt_1,English,599
Richard Glatzer,423,17000,18656400,Still Alice ,86077,http://www.imdb.com/title/tt3316960/?ref_=fn_tt_tt_1,English,45000
Michael Curtiz,422,535,,The Egyptian ,2498,http://www.imdb.com/title/tt0046949/?ref_=fn_tt_tt_1,English,376
Bruce Malmuth,142,13000,,Nighthawks ,12519,http://www.imdb.com/title/tt0082817/?ref_=fn_tt_tt_1,English,0
Rob Hedden,65,935,14343976,Friday the 13th Part VIII: Jason Takes Manhattan ,22961,http://www.imdb.com/title/tt0097388/?ref_=fn_tt_tt_1,English,1000
Joel Zwick,249,567,241437427,My Big Fat Greek Wedding ,102071,http://www.imdb.com/title/tt0259446/?ref_=fn_tt_tt_1,English,5000
Harmony Korine,192,11000,14123773,Spring Breakers ,108683,http://www.imdb.com/title/tt2101441/?ref_=fn_tt_tt_1,English,25000
Joe Chappelle,141,742,15126948,Halloween: The Curse of Michael Myers ,20815,http://www.imdb.com/title/tt0113253/?ref_=fn_tt_tt_1,English,0
Alfonso Cuarón,19,269,13622333,Y Tu Mamá También ,91377,http://www.imdb.com/title/tt0245574/?ref_=fn_tt_tt_1,Spanish,0
Edgar Wright,358,605,13464388,Shaun of the Dead ,395921,http://www.imdb.com/title/tt0365748/?ref_=fn_tt_tt_1,English,19000
Mickey Liddell,664,1000,13350177,The Haunting of Molly Hartley ,7904,http://www.imdb.com/title/tt1045655/?ref_=fn_tt_tt_1,English,562
John Sayles,111,11000,13269963,Lone Star ,23202,http://www.imdb.com/title/tt0116905/?ref_=fn_tt_tt_1,English,0
Dwight H. Little,101,742,17768000,Halloween 4: The Return of Michael Myers ,29629,http://www.imdb.com/title/tt0095271/?ref_=fn_tt_tt_1,English,0
Fred Walton,85,690,12947763,April Fool's Day ,10624,http://www.imdb.com/title/tt0090655/?ref_=fn_tt_tt_1,English,0
Barry Levinson,551,801,14100000,Diner ,14995,http://www.imdb.com/title/tt0083833/?ref_=fn_tt_tt_1,English,0
Steve Carver,268,926,12200000,Lone Wolf McQuade ,7973,http://www.imdb.com/title/tt0085862/?ref_=fn_tt_tt_1,English,0
Gonzalo López-Gallego,205,520,17683670,Apollo 18 ,47227,http://www.imdb.com/title/tt1772240/?ref_=fn_tt_tt_1,English,0
Christine Jeffs,260,968,12055108,Sunshine Cleaning ,61151,http://www.imdb.com/title/tt0862846/?ref_=fn_tt_tt_1,English,0
John Erick Dowdle,13,155,27285953,No Escape ,48675,http://www.imdb.com/title/tt1781922/?ref_=fn_tt_tt_1,English,16000
Don Coscarelli,826,21000,,The Beastmaster ,15345,http://www.imdb.com/title/tt0083630/?ref_=fn_tt_tt_1,English,0
King Vidor,70,746,,Solomon and Sheba ,2017,http://www.imdb.com/title/tt0053290/?ref_=fn_tt_tt_1,English,270
Michael Tiddes,355,729,11675178,Fifty Shades of Black ,9509,http://www.imdb.com/title/tt4667094/?ref_=fn_tt_tt_1,English,11000
Bill Duke,409,849,10572742,Not Easily Broken ,2326,http://www.imdb.com/title/tt0795438/?ref_=fn_tt_tt_1,English,738
Frank Borzage,99,998,,A Farewell to Arms ,3519,http://www.imdb.com/title/tt0022879/?ref_=fn_tt_tt_1,English,213
Bille Woodruff,503,927,9658370,The Perfect Match ,1180,http://www.imdb.com/title/tt4871980/?ref_=fn_tt_tt_1,English,740
Mamoru Hosoda,44,93,9628751,Digimon: The Movie ,5164,http://www.imdb.com/title/tt0259974/?ref_=fn_tt_tt_1,English,207
Brian Dannelly,797,3000,8786715,Saved! ,40274,http://www.imdb.com/title/tt0332375/?ref_=fn_tt_tt_1,English,0
Denys Arcand,21,150,3432342,The Barbarian Invasions ,24921,http://www.imdb.com/title/tt0338135/?ref_=fn_tt_tt_1,French,0
Richard Lester,136,559,,Robin and Marian ,8930,http://www.imdb.com/title/tt0075147/?ref_=fn_tt_tt_1,English,672
J.S. Cardone,560,847,6755271,The Forsaken ,7319,http://www.imdb.com/title/tt0245120/?ref_=fn_tt_tt_1,English,327
Guy Hamilton,576,11000,,Force 10 from Navarone ,13587,http://www.imdb.com/title/tt0077572/?ref_=fn_tt_tt_1,English,729
Jay Levey,448,859,6157157,UHF ,21416,http://www.imdb.com/title/tt0098546/?ref_=fn_tt_tt_1,English,0
Nicholaus Goossen,556,2000,6088249,Grandma's Boy ,67853,http://www.imdb.com/title/tt0456554/?ref_=fn_tt_tt_1,English,0
Tamara Jenkins,572,1000,5480318,Slums of Beverly Hills ,9427,http://www.imdb.com/title/tt0120831/?ref_=fn_tt_tt_1,English,462
Sergio Leone,392,973,,Once Upon a Time in the West ,216005,http://www.imdb.com/title/tt0064116/?ref_=fn_tt_tt_1,English,10000
Jon Favreau,334,4000,5308707,Made ,15053,http://www.imdb.com/title/tt0227005/?ref_=fn_tt_tt_1,English,393
Duncan Jones,372,18000,5009677,Moon ,260607,http://www.imdb.com/title/tt1182345/?ref_=fn_tt_tt_1,English,47000
Scott Marshall,701,2000,4328294,Keeping Up with the Steins ,2719,http://www.imdb.com/title/tt0415949/?ref_=fn_tt_tt_1,English,249
Ronan Chapalain,0,55,4074023,Sea Rex 3D: Journey to a Prehistoric World ,296,http://www.imdb.com/title/tt1529567/?ref_=fn_tt_tt_1,English,89
