num_critic_for_reviews,duration,actor_3_facebook_likes,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,movie_imdb_link,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio
96,94,583,Comedy|Romance,Ryan Reynolds,Van Wilder: Party Liaison ,89128,19341,Erik Estrada,0,http://www.imdb.com/title/tt0283111/?ref_=fn_tt_tt_1,Germany,R,6000000,2002,876,6.4,1.85
391,109,120,Drama|Sport,Mark Margolis,The Wrestler ,251349,1582,Ajay Naidu,0,http://www.imdb.com/title/tt1125849/?ref_=fn_tt_tt_1,USA,R,6000000,2008,245,7.9,2.35
32,144,332,Drama|Romance|Western,Joseph Cotten,Duel in the Sun ,6304,2037,Jennifer Jones,0,http://www.imdb.com/title/tt0038499/?ref_=fn_tt_tt_1,USA,Unrated,8000000,1946,436,6.9,1.37
119,90,658,Comedy,John Michael Higgins,Best in Show ,45859,4611,Michael McKean,9,http://www.imdb.com/title/tt0218839/?ref_=fn_tt_tt_1,USA,PG-13,6000000,2000,925,7.5,1.85
201,106,381,Action|Sci-Fi,Donald Pleasence,Escape from New York ,91017,2270,Tom Atkins,1,http://www.imdb.com/title/tt0082340/?ref_=fn_tt_tt_1,UK,R,6000000,1981,602,7.2,2.35
22,121,182,Comedy|Drama|Musical,Tisha Campbell-Martin,School Daze ,4756,1284,Bill Nunn,4,http://www.imdb.com/title/tt0096054/?ref_=fn_tt_tt_1,USA,R,6500000,1988,282,5.8,1.85
52,89,405,Comedy|Family,Lochlyn Munro,Daddy Day Camp ,12339,1752,Tamala Jones,2,http://www.imdb.com/title/tt0462244/?ref_=fn_tt_tt_1,USA,PG,6000000,2007,484,2.9,1.85
63,86,64,Action|Comedy|Crime,Sammo Kam-Bo Hung,Mr. Nice Guy ,19774,773,Rachel Blakely,1,http://www.imdb.com/title/tt0117786/?ref_=fn_tt_tt_1,Hong Kong,PG-13,,1997,155,6.2,2.35
97,91,345,Comedy|Music,Michael McKean,A Mighty Wind ,22408,1660,Laura Harris,0,http://www.imdb.com/title/tt0310281/?ref_=fn_tt_tt_1,USA,PG-13,,2003,378,7.3,1.85
34,104,658,Comedy|Drama|Romance,Julia Roberts,Mystic Pizza ,18286,10430,Conchata Ferrell,4,http://www.imdb.com/title/tt0095690/?ref_=fn_tt_tt_1,USA,R,6000000,1988,960,6.2,1.85
10,,502,Drama|History|Romance|War,Jim Broadbent,War & Peace             ,9277,4528,Lily James,1,http://www.imdb.com/title/tt3910804/?ref_=fn_tt_tt_1,UK,TV-14,,,888,8.2,16.0
88,99,161,Comedy|Drama|Fantasy|Romance,Jeanne Tripplehorn,Sliding Doors ,52805,1462,John Lynch,1,http://www.imdb.com/title/tt0120148/?ref_=fn_tt_tt_1,UK,R,9000000,1998,427,6.8,1.85
25,98,360,Comedy|Horror|Thriller,Corbin Bernsen,Tales from the Hood ,4582,3221,David Alan Grier,0,http://www.imdb.com/title/tt0114609/?ref_=fn_tt_tt_1,USA,R,6000000,1995,475,6.1,1.85
252,121,25,Biography|Drama|History|Thriller,David Oyelowo,The Last King of Scotland ,145580,1184,Abby Mukiibi Nkaaga,1,http://www.imdb.com/title/tt0455590/?ref_=fn_tt_tt_1,UK,R,6000000,2006,149,7.7,2.35
137,96,120,Horror|Thriller,Donald Pleasence,Halloween 5 ,22929,1308,Troy Evans,1,http://www.imdb.com/title/tt0097474/?ref_=fn_tt_tt_1,USA,X,3000000,1989,256,5.2,1.85
231,99,84,Comedy|Crime|Drama,Matthew McConaughey,Bernie ,45396,11328,Rick Dial,1,http://www.imdb.com/title/tt1704573/?ref_=fn_tt_tt_1,USA,PG-13,5000000,2011,106,6.8,1.85
9,42,,Adventure|Documentary|Short,Charlotte Rampling,Dolphins and Whales 3D: Tribes of the Ocean ,172,844,,0,http://www.imdb.com/title/tt0996382/?ref_=fn_tt_tt_1,UK,,6000000,2008,0,6.5,1.78
115,122,221,Biography|Drama,John Heard,Pollock ,23023,1517,Amy Madigan,0,http://www.imdb.com/title/tt0183659/?ref_=fn_tt_tt_1,USA,R,6000000,2000,394,7.0,1.85
67,101,612,Comedy|Drama|Romance,Janeane Garofalo,200 Cigarettes ,13010,2697,Gaby Hoffmann,5,http://www.imdb.com/title/tt0137338/?ref_=fn_tt_tt_1,USA,R,6000000,1999,744,5.9,1.85
216,102,10000,Drama|Mystery|Romance|Thriller,J.K. Simmons,The Words ,59637,51355,Olivia Wilde,1,http://www.imdb.com/title/tt1840417/?ref_=fn_tt_tt_1,USA,PG-13,6000000,2012,14000,7.1,1.85
133,84,546,Comedy|Western,Will Ferrell,Casa de mi Padre ,17169,10123,Luis E. Carazo,1,http://www.imdb.com/title/tt1702425/?ref_=fn_tt_tt_1,USA,R,6000000,2012,806,5.5,2.35
149,104,130,Comedy|Drama,Ezra Miller,City Island ,27301,3825,Dominik García-Lorido,6,http://www.imdb.com/title/tt1174730/?ref_=fn_tt_tt_1,USA,PG-13,6000000,2009,591,7.4,1.85
261,96,28,Comedy|Crime|Thriller,Don Cheadle,The Guard ,64794,3569,Wale Ojo,0,http://www.imdb.com/title/tt1540133/?ref_=fn_tt_tt_1,Ireland,R,6000000,2011,482,7.3,2.35
42,94,664,Comedy,Drake Bell,College ,11011,4484,Haley Bennett,0,http://www.imdb.com/title/tt0844671/?ref_=fn_tt_tt_1,USA,R,6500000,2008,1000,4.6,1.85
152,90,826,Drama|Romance,Kirsten Dunst,The Virgin Suicides ,116910,7103,Scott Glenn,0,http://www.imdb.com/title/tt0159097/?ref_=fn_tt_tt_1,USA,R,6000000,1999,899,7.2,1.85
64,97,286,Comedy|Drama|Music|Romance,Jim Broadbent,Little Voice ,13892,2103,Brenda Blethyn,4,http://www.imdb.com/title/tt0147004/?ref_=fn_tt_tt_1,UK,R,,1998,497,7.0,1.85
76,90,263,Comedy|Romance,Hugh M. Hefner,Miss March ,18313,1831,Raquel Alessi,2,http://www.imdb.com/title/tt1151922/?ref_=fn_tt_tt_1,USA,R,6000000,2009,308,5.1,1.85
149,106,379,Comedy|Drama,Jim Parsons,Wish I Was Here ,29341,18947,Michael Weston,4,http://www.imdb.com/title/tt2870708/?ref_=fn_tt_tt_1,USA,R,6000000,2014,1000,6.7,2.35
35,96,353,Comedy|Drama|Fantasy|Romance,Sarah Michelle Gellar,Simply Irresistible ,11439,5668,Lawrence Gilliard Jr.,1,http://www.imdb.com/title/tt0145893/?ref_=fn_tt_tt_1,Germany,PG-13,6000000,1999,812,5.3,2.35
47,44,724,Crime|Drama|Mystery,Francis Capra,Veronica Mars             ,55524,3318,Enrico Colantoni,1,http://www.imdb.com/title/tt0412253/?ref_=fn_tt_tt_1,USA,TV-14,,,828,8.4,1.78
108,95,179,Comedy|Drama|Music|Musical,John Cameron Mitchell,Hedwig and the Angry Inch ,26300,993,Andrea Martin,0,http://www.imdb.com/title/tt0248845/?ref_=fn_tt_tt_1,USA,R,6000000,2001,261,7.8,1.85
17,99,82,Action|Drama,Antoni Corone,Only the Strong ,4195,382,Todd Susman,1,http://www.imdb.com/title/tt0107750/?ref_=fn_tt_tt_1,USA,PG-13,6000000,1993,91,6.7,1.85
12,93,34,Drama|Horror|Mystery|Thriller,Rachel Alig,Goddess of Love ,522,546,Alexis Kendra,0,http://www.imdb.com/title/tt3432552/?ref_=fn_tt_tt_1,USA,,,2015,77,5.4,2.35
129,99,491,Drama|History,Hayden Christensen,Shattered Glass ,28855,8297,Cas Anvar,0,http://www.imdb.com/title/tt0323944/?ref_=fn_tt_tt_1,USA,PG-13,6000000,2003,3000,7.2,2.35
84,95,15,Comedy|Crime|Drama|Thriller,Chelcie Ross,Novocaine ,9589,489,Polly Noonan,3,http://www.imdb.com/title/tt0234354/?ref_=fn_tt_tt_1,USA,R,6000000,2001,230,5.8,1.85
61,84,152,Drama|Thriller,Stockard Channing,The Business of Strangers ,3413,1407,Frederick Weller,2,http://www.imdb.com/title/tt0270259/?ref_=fn_tt_tt_1,USA,R,,2001,257,6.4,1.85
147,144,242,Action|Adventure|Western,William Holden,The Wild Bunch ,63192,2379,L.Q. Jones,1,http://www.imdb.com/title/tt0065214/?ref_=fn_tt_tt_1,USA,R,6244087,1969,288,8.0,2.35
147,99,362,Comedy|Drama|Romance,Mary-Kate Olsen,The Wackness ,27266,2748,Method Man,2,http://www.imdb.com/title/tt1082886/?ref_=fn_tt_tt_1,USA,R,6000000,2008,617,7.0,2.35
23,110,20,Adventure|Crime|Drama|Thriller,Lesley-Anne Down,The Great Train Robbery ,11623,297,Pamela Salem,2,http://www.imdb.com/title/tt0079240/?ref_=fn_tt_tt_1,UK,PG,6000000,1979,34,7.0,1.85
75,97,53,Drama,Samantha Morton,Morvern Callar ,6906,841,Paul Popplewell,0,http://www.imdb.com/title/tt0300214/?ref_=fn_tt_tt_1,UK,R,,2002,104,6.7,1.85
17,107,284,Action|Adventure|Fantasy|Sci-Fi,Michael Berryman,Beastmaster 2: Through the Portal of Time ,2281,2000,Marc Singer,2,http://www.imdb.com/title/tt0101412/?ref_=fn_tt_tt_1,USA,PG-13,6000000,1991,514,3.8,1.85
16,90,316,Biography|Drama|Sport,Aidan Quinn,The 5th Quarter ,1245,2370,Sammy Nagi Njuguna,2,http://www.imdb.com/title/tt1130964/?ref_=fn_tt_tt_1,USA,PG,6000000,2010,529,5.7,1.85
60,104,27,Drama,Benoît Magimel,The Flower of Evil ,2591,282,Mélanie Doutey,5,http://www.imdb.com/title/tt0322289/?ref_=fn_tt_tt_1,France,R,,2003,67,6.6,1.66
63,96,71,Drama|Romance,Jennifer Ehle,The Greatest ,7394,2163,Cara Seymour,2,http://www.imdb.com/title/tt1226232/?ref_=fn_tt_tt_1,USA,R,6000000,2009,943,6.7,2.35
56,104,451,Drama|History,Bingbing Li,Snow Flower and the Secret Fan ,3024,2430,Ji-hyun Jun,0,http://www.imdb.com/title/tt1541995/?ref_=fn_tt_tt_1,China,PG-13,6000000,2011,595,6.1,2.35
36,97,90,Drama|Romance,Tim Blake Nelson,Come Early Morning ,2330,1081,Ritchie Montgomery,0,http://www.imdb.com/title/tt0457308/?ref_=fn_tt_tt_1,USA,R,6000000,2006,206,6.2,1.85
47,107,419,Comedy|Crime|Romance,James Nesbitt,Lucky Break ,1940,2440,Peter McNamara,0,http://www.imdb.com/title/tt0246134/?ref_=fn_tt_tt_1,UK,PG-13,6000000,2001,766,6.2,2.35
38,117,898,Drama,Meryl Streep,Julia ,6454,15604,Vanessa Redgrave,2,http://www.imdb.com/title/tt0076245/?ref_=fn_tt_tt_1,USA,PG,7840000,1977,949,7.4,1.85
26,85,499,Comedy,Matthew McConaughey,Surfer, Dude ,7367,14599,Sarah Wright,0,http://www.imdb.com/title/tt0976247/?ref_=fn_tt_tt_1,USA,R,6000000,2008,826,4.7,1.85
47,152,0,Documentary,Noam Chomsky,Lake of Fire ,2143,105,Bill Baird,0,http://www.imdb.com/title/tt0841119/?ref_=fn_tt_tt_1,USA,Unrated,,2006,2,8.3,
68,85,407,Comedy|Crime|Drama,Henry Thomas,11:14 ,38273,2200,Shawn Hatosy,1,http://www.imdb.com/title/tt0331811/?ref_=fn_tt_tt_1,USA,R,6000000,2003,618,7.2,1.85
19,76,259,Action|Drama|Thriller,Catherine Bell,Men of War ,2989,2152,Tim Guinee,1,http://www.imdb.com/title/tt0110490/?ref_=fn_tt_tt_1,USA,R,8600000,1994,472,5.8,2.35
39,87,99,Drama|Mystery|Thriller,Pruitt Taylor Vince,Don McKay ,2050,1227,Robert Wahlberg,1,http://www.imdb.com/title/tt1281374/?ref_=fn_tt_tt_1,USA,R,,2009,521,5.9,1.85
162,95,874,Crime|Drama|Thriller,Charlie Hunnam,Deadfall ,32512,27575,Sissy Spacek,1,http://www.imdb.com/title/tt1667310/?ref_=fn_tt_tt_1,USA,R,12000000,2012,10000,6.3,2.35
37,101,130,Drama|Family,Connie Nielsen,A Shine of Rainbows ,1696,1940,John Bell,2,http://www.imdb.com/title/tt1014774/?ref_=fn_tt_tt_1,Canada,PG,6000000,2009,767,7.2,2.35
26,90,787,Action|Thriller,Drew Waters,The Hit List ,10196,3469,Cole Hauser,1,http://www.imdb.com/title/tt1575694/?ref_=fn_tt_tt_1,USA,R,6000000,2011,816,5.4,1.85
10,240,334,Comedy|Drama|Romance,Romola Garai,Emma             ,10388,2563,Rupert Evans,1,http://www.imdb.com/title/tt1366312/?ref_=fn_tt_tt_1,UK,,,,432,8.2,1.78
179,89,15,Horror|Mystery|Sci-Fi|Thriller,Debbie Harry,Videodrome ,60522,477,Reiner Schwarz,0,http://www.imdb.com/title/tt0086541/?ref_=fn_tt_tt_1,Canada,R,5952000,1983,20,7.3,1.85
88,111,269,Comedy|Drama,Romain Duris,L'auberge espagnole ,34383,1858,Iddo Goldberg,0,http://www.imdb.com/title/tt0283900/?ref_=fn_tt_tt_1,France,R,5300000,2002,447,7.3,1.85
43,86,444,Drama|Music,Anne Hathaway,Song One ,6797,12772,Li Jun Li,1,http://www.imdb.com/title/tt2182972/?ref_=fn_tt_tt_1,USA,PG-13,6000000,2014,485,5.8,
136,115,400,Crime|Mystery|Thriller,Ryan Gosling,Murder by Numbers ,43575,34605,Agnes Bruckner,0,http://www.imdb.com/title/tt0264935/?ref_=fn_tt_tt_1,USA,R,50000000,2002,455,6.1,1.85
111,103,19,Drama|History|War,Yorick van Wageningen,Winter in Wartime ,9230,219,Martijn Lakemeier,1,http://www.imdb.com/title/tt0795441/?ref_=fn_tt_tt_1,Netherlands,R,4000000,2008,20,7.1,2.35
13,90,1000,Comedy|Crime|Thriller,Billy Burke,Freaky Deaky ,6741,6569,Bill Duke,0,http://www.imdb.com/title/tt0938305/?ref_=fn_tt_tt_1,USA,R,6000000,2012,2000,6.5,
64,133,28,Thriller|War,Jeanne Moreau,The Train ,10119,502,Michel Simon,0,http://www.imdb.com/title/tt0059825/?ref_=fn_tt_tt_1,France,Unrated,6700000,1964,94,7.9,1.66
6,88,57,Drama|Thriller,Mira Sorvino,Trade of Innocents ,748,1443,Trieu Tran,2,http://www.imdb.com/title/tt1772408/?ref_=fn_tt_tt_1,USA,PG-13,,2012,323,5.4,2.35
112,111,380,Action|Crime|Drama|Thriller,Jon Foo,The Protector ,30210,2205,Johnny Nguyen,0,http://www.imdb.com/title/tt0427954/?ref_=fn_tt_tt_1,Thailand,R,200000000,2005,635,7.1,1.85
12,94,136,Comedy,Sean Pertwee,Stiff Upper Lips ,867,1477,Samuel West,2,http://www.imdb.com/title/tt0120210/?ref_=fn_tt_tt_1,UK,R,,1998,338,6.4,1.85
15,25,220,Comedy|Romance,Simon Bird,The Inbetweeners             ,55987,1239,James Buckley,0,http://www.imdb.com/title/tt1220617/?ref_=fn_tt_tt_1,UK,TV-14,,,223,8.4,16.0
161,112,397,Comedy|Drama|Romance|Sport,Archie Panjabi,Bend It Like Beckham ,89806,2201,Anupam Kher,0,http://www.imdb.com/title/tt0286499/?ref_=fn_tt_tt_1,UK,PG-13,3500159,2002,528,6.7,1.85
68,141,501,Drama|Romance,Miguel Ferrer,Sunshine State ,3433,2584,Timothy Hutton,6,http://www.imdb.com/title/tt0286179/?ref_=fn_tt_tt_1,USA,PG-13,5600000,2002,659,6.9,1.85
25,95,255,Action|Sport,Wesley Jonathan,Crossover ,8707,2000,Eva Marcille,6,http://www.imdb.com/title/tt0473024/?ref_=fn_tt_tt_1,USA,PG-13,5600000,2006,378,2.1,1.85
23,141,61,Action|Comedy,Asin,Khiladi 786 ,4633,1065,Johnny Lever,1,http://www.imdb.com/title/tt2166214/?ref_=fn_tt_tt_1,India,Not Rated,,2012,284,4.3,
222,85,6,Horror,Jonathan D. Mellor,[Rec] 2 ,55597,73,Andrea Ros,0,http://www.imdb.com/title/tt1245112/?ref_=fn_tt_tt_1,Spain,R,5600000,2009,9,6.6,1.85
9,105,10,Musical,Kayla Jackson,Standing Ovation ,548,72,Kayla Raparelli,9,http://www.imdb.com/title/tt1303803/?ref_=fn_tt_tt_1,USA,PG,,2010,11,3.4,
119,129,417,Comedy|Crime|Drama,Eileen Brennan,The Sting ,175607,2387,Ray Walston,0,http://www.imdb.com/title/tt0070735/?ref_=fn_tt_tt_1,USA,PG,5500000,1973,559,8.3,1.85
90,125,249,Biography|Drama|Sport,Alice Krige,Chariots of Fire ,40511,1651,John Gielgud,0,http://www.imdb.com/title/tt0082158/?ref_=fn_tt_tt_1,UK,PG,5500000,1981,303,7.2,1.85
62,116,476,Comedy|Drama|Romance,Cicely Tyson,Diary of a Mad Black Woman ,10472,2723,Tamara Taylor,0,http://www.imdb.com/title/tt0422093/?ref_=fn_tt_tt_1,USA,PG-13,5500000,2005,637,5.6,1.85
71,105,35,Biography|Drama|Music|Romance,Noah Taylor,Shine ,43013,888,Nicholas Bell,0,http://www.imdb.com/title/tt0117631/?ref_=fn_tt_tt_1,Australia,PG-13,5500000,1996,294,7.7,1.85
364,90,694,Comedy|Drama|Romance,Joseph Gordon-Levitt,Don Jon ,190494,44265,Tony Danza,1,http://www.imdb.com/title/tt2229499/?ref_=fn_tt_tt_1,USA,R,3000000,2013,19000,6.6,2.35
72,105,258,Mystery|Western,Clint Eastwood,High Plains Drifter ,36381,17599,John Hillerman,0,http://www.imdb.com/title/tt0068699/?ref_=fn_tt_tt_1,USA,R,5500000,1973,742,7.6,2.35
122,111,722,Comedy|Drama,Scarlett Johansson,Ghost World ,96129,34106,T.J. Thyne,0,http://www.imdb.com/title/tt0162346/?ref_=fn_tt_tt_1,USA,R,7000000,2001,12000,7.4,1.85
100,91,548,Biography|Drama|Romance,Kate Winslet,Iris ,14786,16768,Kris Marshall,1,http://www.imdb.com/title/tt0280778/?ref_=fn_tt_tt_1,UK,R,5500000,2001,1000,7.1,1.85
24,95,60,Comedy|Sci-Fi,Stephen Macht,Galaxina ,1955,396,Angelo Rossitto,0,http://www.imdb.com/title/tt0080771/?ref_=fn_tt_tt_1,USA,R,,1980,110,3.4,2.35
112,97,57,Drama|Music,Jean-Baptiste Maunier,The Chorus ,44151,745,Gérard Jugnot,0,http://www.imdb.com/title/tt0372824/?ref_=fn_tt_tt_1,France,PG-13,5500000,2004,86,7.9,2.35
67,92,71,Comedy|Drama,Paul Sorvino,Mambo Italiano ,5548,1033,Claudia Ferri,0,http://www.imdb.com/title/tt0330602/?ref_=fn_tt_tt_1,Canada,R,5000000,2003,210,6.7,1.85
91,104,93,Crime|Drama|Mystery|Thriller,Alexis Dziena,Wonderland ,18792,1315,Franky G,0,http://www.imdb.com/title/tt0335563/?ref_=fn_tt_tt_1,USA,R,5000000,2003,436,6.6,1.85
103,120,388,Drama,Ruby Dee,Do the Right Thing ,59524,2892,Danny Aiello,2,http://www.imdb.com/title/tt0097216/?ref_=fn_tt_tt_1,USA,R,6500000,1989,652,7.9,1.85
27,99,781,Comedy|Crime|Drama|Romance|Thriller,Sarah Michelle Gellar,Harvard Man ,3754,6776,Joey Lauren Adams,3,http://www.imdb.com/title/tt0242508/?ref_=fn_tt_tt_1,USA,R,5500000,2001,902,4.9,2.35
205,93,36,Comedy|Drama,Jean-Pierre Léaud,Le Havre ,15267,391,Jean-Pierre Darroussin,1,http://www.imdb.com/title/tt1508675/?ref_=fn_tt_tt_1,Finland,Not Rated,3850000,2011,67,7.2,1.85
192,99,9,Crime|Drama|Mystery|Thriller,Philippe Nahon,Irreversible ,87244,118,Jo Prestia,0,http://www.imdb.com/title/tt0290673/?ref_=fn_tt_tt_1,France,Not Rated,,2002,46,7.4,2.35
72,99,16,Comedy|Drama,Lindsay Kay Hayward,R100 ,1658,81,Shinobu Terajima,0,http://www.imdb.com/title/tt2914838/?ref_=fn_tt_tt_1,Japan,Unrated,5500000,2013,17,6.1,1.85
33,157,199,Comedy|Drama|History|Romance,Anupam Kher,Rang De Basanti ,70233,1519,Madhavan,0,http://www.imdb.com/title/tt0405508/?ref_=fn_tt_tt_1,India,Not Rated,,2006,227,8.4,2.35
22,90,290,Drama,Kim Shaw,Animals ,605,2030,David Dastmalchian,0,http://www.imdb.com/title/tt3297554/?ref_=fn_tt_tt_1,USA,,,2014,697,6.2,2.35
48,96,38,Action|Comedy|Drama|Thriller,Jim Gaffigan,Salvation Boulevard ,3788,561,Mike Eshaq,5,http://www.imdb.com/title/tt1251743/?ref_=fn_tt_tt_1,USA,R,9000000,2011,39,5.3,1.85
65,96,139,Comedy|Romance,Jon Hamm,The Ten ,15315,4883,Ron Silver,4,http://www.imdb.com/title/tt0811106/?ref_=fn_tt_tt_1,USA,R,5250000,2007,543,5.0,1.85
29,90,222,Comedy|Drama,Bob Hoskins,A Room for Romeo Brass ,4471,6111,Shane Meadows,2,http://www.imdb.com/title/tt0202559/?ref_=fn_tt_tt_1,UK,R,,1999,680,7.7,1.85
284,100,27,Crime|Drama|Thriller,Aksel Hennie,Headhunters ,79353,385,Julie R. Ølgaard,3,http://www.imdb.com/title/tt1614989/?ref_=fn_tt_tt_1,Norway,R,30300000,2011,52,7.6,2.39
187,94,114,Comedy|Horror|Sci-Fi|Thriller,Russell Tovey,Grabbers ,13227,1832,Bronagh Gallagher,0,http://www.imdb.com/title/tt1525366/?ref_=fn_tt_tt_1,UK,Not Rated,4000000,2012,567,6.3,2.35
47,98,149,Comedy|Drama|Sport,Campbell Scott,Saint Ralph ,4976,955,Gordon Pinsent,1,http://www.imdb.com/title/tt0384488/?ref_=fn_tt_tt_1,Canada,PG-13,6000000,2004,259,7.6,1.85
