director_name,director_facebook_likes,gross,movie_title,plot_keywords,num_user_for_reviews,language,content_rating,actor_2_facebook_likes,movie_facebook_likes
Jennifer Wynne Farmer,0,10508,Naturally Native ,cosmetics|female protagonist|native american|native american protagonist|sister sister relationship,6,English,PG-13,282,102
Christopher Scott Cherot,21,2301777,Hav Plenty ,friend|new year's eve|screwball|self discovery|social differences,36,English,R,170,161
H.M. Coakley,0,,Adulterers ,cheating husband|female nudity|male nudity|male rear nudity|revenge,1,English,,320,158
Randy Moore,13,169719,Escape from Tomorrow ,diarrhea|female nudity|middle aged man|sex scene|sexy nurse,79,English,Not Rated,511,0
Chris Atkins,2,,Starsuckers ,celebrity|consumerism|fashion|media manipulation,8,English,,474,203
Bill Benenson,0,,The Hadza: Last of the First ,east africa|hunter gatherer|indigenous|rift valley|swahili,1,English,,338,5
Ryan Smith,4,,After ,coma|crash,27,English,PG-13,385,1000
Travis Romero,4,,Treachery ,panties|white panties,5,English,,21000,0
Anna Mastro,7,,Walter ,based on short film|based on short story,19,English,,945,0
Mark Sandrich,10,3000000,Top Hat ,dance|dancer|dancing|horse|tap dancing,98,English,Approved,172,1000
Daniel Myrick,19,140530114,The Blair Witch Project ,found footage|looking at the camera|lost in the woods|maryland|screaming in horror,3400,English,R,170,0
Michael Wadleigh,14,13300000,Woodstock ,drugs|hippie|music festival|the who|woodstock,63,English,R,227,0
John Landis,644,,The Kentucky Fried Movie ,fake commercial|fake newscast|fake trailer|parody|spoof,109,English,R,29,0
Jon Gunn,16,171988,Mercy Streets ,church|cigarette smoking|deacon|twin brother|twins,16,English,PG-13,266,12
Gene Teigland,0,23616,Arnolds Park ,,4,English,PG-13,20,11
Scott Ziehl,4,13493,Broken Vessels ,independent film|katana sword|los angeles storm drain,19,English,R,711,51
Richard Montoya,12,79043,Water & Power ,,,English,Not Rated,371,358
Johanna Schwartz,0,,They Will Have to Kill Us First ,,2,French,,0,34
William Gazecki,3,,Crop Circles: Quest for Truth ,crop circle|intelligence|paranormal|phenomenon|universe,13,English,,0,32
Lance McDaniel,0,,Light from the Darkroom ,china|faith|panama|photography|suspense,1,English,PG-13,412,9
Thomas Lilti,12,,Irreplaceable ,doctor|hospital|mayor|no opening credits|title at the end,1,French,,8,36
Michael Walker,5,,The Maid's Room ,,9,English,,448,128
Richard Lester,44,515005,A Hard Day's Night ,boy|concert|drummer|manager|television,219,English,Approved,725,0
U. Roberto Romano,6,2245,The Harvest/La Cosecha ,child labor|education|hispanic|labor|migration,2,English,,,88
Amy Holden Jones,11,,Love Letters ,1980s|affair|female protagonist|radio|woman wearing only a man's shirt,9,English,R,433,7
Blaz Zavrsnik,0,,Julija in alfa Romeo ,,2,Slovenian,,0,18
Alex Kendrick,589,33451479,Fireproof ,christian film|dare|firefighter|internet pornography|marriage,215,English,PG,153,0
Pan Nalin,95,,Faith Connections ,faith|ganja|kumbh mela|little boy|orphan,3,Hindi,,0,126
Joe Camp,24,39552600,Benji ,animal abuse|cat|dog|dog movie|tween girl,36,English,G,189,816
Chris Kentis,9,30500882,Open Water ,bare chested male|female full frontal nudity|hairy chest|male full frontal nudity|nude with glasses,916,English,R,10,0
Matt Walsh,490,,High Road ,,3,English,R,523,244
John 'Bud' Cardos,8,17000000,Kingdom of the Spiders ,death|farm|hotel|spider|tarantula,84,English,PG,23,0
Marilyn Agrelo,2,8044906,Mad Hot Ballroom ,ballroom dancing|new york city|poise|self confidence|teacher,65,English,PG,0,588
Tom McCarthy,310,5739376,The Station Agent ,abandoned|depot|dwarf|newfoundland new jersey|train,286,English,R,833,0
Brian Baugh,3,3773863,To Save a Life ,basketball|beer pong|childhood friend|christian|suicide,55,English,PG-13,801,0
Patrick Creadon,3,3117666,Wordplay ,comedian|crossword puzzle|editor|new york times|puzzle,43,English,PG,184,694
Barry W. Blaustein,6,2047570,Beyond the Mat ,championship|drugs|three word title|wrestler|wrestling,80,English,R,44,491
Kurt Hale,0,1250798,The Singles Ward ,church|love|marriage|mormon|single,53,English,PG,24,43
Siddiq Barmak,6,1127331,Osama ,boy|girl|hair|school|taliban,77,Dari,PG-13,0,0
Joseph Dorman,0,906666,Sholem Aleichem: Laughing in the Darkness ,jewish identity,5,English,Unrated,169,287
Greg Harrison,7,1114943,Groove ,dj|ecstasy the drug|rave|raver|warehouse,74,English,R,27,0
Kurt Hale,0,1111615,The R.M. ,latter day saints|missionary|pickup truck|police|video camera,34,English,PG,34,44
Michael Polish,35,985341,Twin Falls Idaho ,conjoined twins|independent film|low budget film|separation|twin,87,English,R,505,180
Jacob Aaron Estes,9,603943,Mean Creek ,boat|bully|dare|friend|river,154,English,R,634,1000
Morgan J. Freeman,204,334041,Hurricane Streets ,gang|new mexico|prison|smuggling|theft,21,English,R,529,51
Eric Schaeffer,71,295468,Never Again ,bar|gay bar|love|mother son relationship|new york,34,English,R,1000,139
Neema Barnette,21,243347,Civil Brand ,abuse of power|friendship|prison|prison guard|title directed by female,24,English,R,485,86
Steve Buscemi,12000,154077,Lonesome Jim ,bail|coma|dart board|indiana|ladder factory,53,English,R,327,238
Joe Swanberg,217,342936,Drinking Buddies ,brewery|co worker|male female friendship|u haul truck|woman wearing a string bikini,106,English,R,10000,0
Molly Bernstein,0,151389,Deceptive Practice: The Mysteries and Mentors of Ricky Jay ,stage magician,7,English,,79,590
Akira Kurosawa,0,269061,Seven Samurai ,16th century|battle|japan|practice|samurai,596,Japanese,Unrated,8,11000
Marius A. Markevicius,6,133778,The Other Dream Team ,basketball|basketball team|grateful dead|lithuanian|olympics,9,English,Not Rated,9,0
Tom DiCillo,32,,Johnny Suede ,idol|musician|vomiting|watching television|wyoming,24,English,R,422,344
Justin Lin,681,52850,Finishing the Game: The Search for a New Bruce Lee ,bruce lee|jeet kune do|karate|satire|spoof,12,English,Not Rated,172,155
Quentin Dupieux,248,98017,Rubber ,desert|dump|show|spectator|tire,170,English,R,248,46000
Tim Johnson,12,177343675,Home ,alien friendship|alien invasion|australia|flying car|mother daughter relationship,214,English,PG,523,26000
C. Jay Cox,6,31937,Kiss the Bride ,best friend|high school|love|secret|wedding,10,English,R,326,60
Alex Smith,12,13134,The Slaughter Rule ,cheerleader|father son relationship|football coach|loss of father|mother son relationship,32,English,R,1000,183
Gareth Edwards,380,237301,Monsters ,alien|alien invasion|destroyed building|destruction|mexico,451,English,R,280,19000
Jonathan Parker,0,,The Californians ,based on novel,11,English,PG,507,29
Sol Tryon,0,12055,The Living Wake ,artist|black comedy,10,English,PG-13,185,339
Alex Craig Mann,38,1332,Detention of the Dead ,based on play|blood|independent film|teenager|zombie,20,English,Not Rated,533,898
Hao Ning,0,,Crazy Stone ,bankruptcy|crystal|father son relationship|heist|shower,9,Mandarin,,4,23
Stephen Kijak,3,,Scott Walker: 30 Century Man ,avant garde|british pop|character name in title|musician|number in title,11,English,,27,808
Marc Forster,395,,Everything Put Together ,group of friends|mental breakdown|mental instability|morgue|sudden infant death syndrome,10,English,R,946,22
Andrew Niccol,487,316842,Good Kill ,cigarette butt|drone|funeral procession|nellis air force base|taliban,68,English,R,943,0
Daston Kalili,2,,Insomnia Manica ,,3,English,,0,0
William Gazecki,3,,The Outrageous Sophie Tucker ,,3,English,,244,16
Ol Parker,21,,Now Is Good ,death|dying|leukemia|teenage girl|terminal illness,54,English,PG-13,766,0
Michael Hoffman Jr.,32,,Girls Gone Dead ,mini skirt|party|spring break|voyeur|war hammer,28,English,R,492,0
Patrick Gilles,0,,America Is Still the Place ,,,English,,812,337
Georgia Hilton,406,,Subconscious ,military|submarine|suspense|time travel|world war two,16,English,R,317,353
Tamra Davis,33,37188667,Crossroads ,audition|friendship|graduation|high school graduation|love,578,English,PG-13,188,0
Jack Heller,0,,Enter Nowhere ,cabin|going in circles|pac man|stranger|woods,45,English,R,178,701
Fernando Baez Mella,0,,The King of Najayo ,,1,Spanish,R,15,126
Warren Sheppard,0,,Fight to the Finish ,fighting|karate,2,English,PG-13,402,381
Darren Lynn Bousman,163,,Alleluia! The Devil's Carnival ,carnival|devil|redemption|reference to god,20,English,,456,707
Justin Paul Miller,0,,The Sound and the Shadow ,,1,English,R,41,70
Joel Paul Reisig,431,,Rodeo Girl ,,4,English,PG,431,0
Catherine Gund,0,21199,Born to Fly: Elizabeth Streb vs. Gravity ,three word title,10,English,,0,44
Luke Dye,0,,The Little Ponderosa Zoo ,,1,English,,169,9
Sam Raimi,0,234903076,Oz the Great and Powerful ,circus|magic|magician|oz|witch,511,English,PG,15000,60000
Michael Herz,6,,The Toxic Avenger ,boy|health club|superhero|toxic waste|troma,147,English,Unrated,11,0
Matty Rich,10,2712293,Straight Out of Brooklyn ,domestic violence|housing project|new york city|poverty|racism,11,English,R,12,123
Paul Greengrass,521,768045,Bloody Sunday ,civil rights|irish|march|northern ireland|protest march,120,English,R,89,0
Alec Asten,5,,Diamond Ruff ,prison|prisoner|reverend|terminal illness|two word title,5,English,R,251,62
Hans Canosa,3,379122,Conversations with Other Women ,female frontal nudity|filming a wedding|lingerie slip|memory|wedding,54,English,R,651,0
Lloyd Kaufman,365,23000,Poultrygeist: Night of the Chicken Dead ,castration|chicken|fast food|indian burial ground|protest,58,English,Unrated,365,0
Matthew Watts,0,,Mutual Friends ,bromance|manhattan new york city|new york city|photograph|surprise,3,English,,469,31
Lloyd Bacon,24,2300000,42nd Street ,chorus girl|chorus line|director|gala premiere|song,97,English,Unrated,105,439
Joe Kenemore,0,,Rise of the Entrepreneur: The Search for a Better Way ,business|entrepreneur|network marketing,10,English,G,2,460
Whit Stillman,89,2938208,Metropolitan ,apartment|dancing|debutante|new york|upper class,52,English,PG-13,74,865
Kay Pollak,10,9910,As It Is in Heaven ,amazing grace the hymn|choir|heart attack|hometown|skidding truck,94,Swedish,,24,0
Eric England,15,,Roadside ,dog|gun|hostage|husband wife relationship|jealousy,6,English,,94,61
Jared Hess,100,44540956,Napoleon Dynamite ,class president|family relationships|friend|high school|jock,1473,English,PG,759,0
Jeremy Saulnier,57,258113,Blue Ruin ,blood splatter|car|neo noir|vengeance|vomiting,135,English,R,235,0
Oren Peli,110,107917283,Paranormal Activity ,dark force|entity|evil force|found footage|paranormal phenomenon,1189,English,R,109,12000
Stacy Peralta,147,1293295,Dogtown and Z-Boys ,california|drought|playground|skateboarding|surfer,88,English,PG-13,20,0
Terry Gilliam,0,1229197,Monty Python and the Holy Grail ,camelot|holy grail|king arthur|knight|lancelot,660,English,PG,561,14000
Richard Glatzer,25,1689999,Quinceañera ,15th birthday|birthday|gay|party|security guard,48,Spanish,R,200,426
Sue Corcoran,14,11798,Gory Gory Hallelujah ,conspiracy|feminist|hippie|motorcycle|slapstick comedy,18,English,,14,39
,,,Heroes             ,father daughter relationship|serial killer|superhero|supernatural power|vision of the future,379,English,TV-14,923,0
Jonathan Caouette,20,592014,Tarnation ,answering machine|home movie|lithium|schizophrenic|video diary,114,English,Unrated,20,754
Ray Griggs,4,425899,I Want Your Money ,,31,English,PG,31,638
Matt Jackson,0,,Love in the Time of Monsters ,bigfoot|love|monster|sasquatch|tourist,5,English,,709,194
Lucio Fulci,385,126387,The Beyond ,doctor|hell|hotel|painter|plumber,253,Italian,X,22,2000
,,,Home Movies             ,coach|friend|school|series|tv series,82,English,TV-PG,11,526
Tom Vaughan,12,80276912,What Happens in Vegas ,casino|father son relationship|jackpot|judge|wedding,151,English,PG-13,171,0
Paul Fox,3,,The Dark Hours ,brain tumor|champagne|game|psychiatrist|weekend,52,English,R,64,166
Stephen Frears,350,,My Beautiful Laundrette ,england|mistress|pakistani|politics|thatcher,64,English,R,61,0
Ari Kirschenbaum,0,25918,Fabled ,,10,English,R,80,7
Cassandra Nicolaou,0,,Show Me ,bathtub|implied incest|lesbian|squeegee|tied to a chair,5,French,R,100,12
Ingmar Bergman,0,,Cries & Whispers ,dying|love|mansion|selfishness|turn of the century,197,Swedish,R,132,0
D.W. Griffith,204,,Intolerance: Love's Struggle Throughout the Ages ,huguenot|intolerance|medicis|protestant|wedding,88,,Not Rated,22,691
Roger Nygard,3,617172,Trekkies ,autograph|dentist|outer space|star trek|telephone call,75,English,PG,606,672
Harry Beaumont,4,2808000,The Broadway Melody ,sibling rivalry|singer|sister act|whistling|wisecrack humor,71,English,Passed,28,167
Sam Raimi,0,,The Evil Dead ,cult director|cult film|evil dead|necronomicon|psychotronic film,740,English,NC-17,66,12000
Franck Khalfoun,33,12843,Maniac ,exhibition|mannequin|obsession|oral sex|photographer,131,English,Not Rated,378,0
Mor Loushy,0,34151,Censored Voices ,,3,Hebrew,,,111
Henry Alex Rubin,30,1523883,Murderball ,paralympics|quad rugby|rugby|team|wheelchair,70,English,R,0,0
Sam Firstenberg,44,4000000,American Ninja 2: The Confrontation ,blood splatter|island|motorboat|ninja|sequel to cult film,46,English,R,96,583
Doug Block,0,84689,51 Birch Street ,address as title|number in title|parents,16,English,Unrated,0,70
,,,Revolution             ,2020s|near future|one word series title|post apocalypse|year 2027,323,English,TV-14,821,17000
Chad Kapper,0,,Rotor DR1 ,drone|playing with gun|post apocalypse|road trip|working class family,8,English,,3,240
John Carpenter,0,47000000,Halloween ,halloween|masked killer|michael myers|slasher|trick or treat,1191,English,R,742,12000
Sidney Lumet,0,,12 Angry Men ,courtroom|dialogue driven|dialogue driven storyline|jury|murder,888,English,Not Rated,259,40000
Paul Fierlinger,3,246574,My Dog Tulip ,autobiography|dog movie|german shepherd|memoir|old man,15,English,,277,675
Frank Capra,964,,It Happened One Night ,bus|detective|love|money|reporter,235,English,Unrated,114,0
Yorgos Lanthimos,252,110197,Dogtooth ,fellatio|isolated house|overprotective father|social isolation|unsimulated sex,170,Greek,Unrated,37,13000
Lauren Lazin,2,7707563,Tupac: Resurrection ,hip hop|name in title|rap star|rapper|reference to tupac shakur,32,English,R,633,0
Gavin O'Connor,149,1281176,Tumbleweeds ,boss|fight|reference to william shakespeare|white trash|written and directed by cast member,73,English,PG-13,277,121
Gregory Widen,10,16115878,The Prophecy ,angel|corpse|girl|heaven|soul,194,English,R,1000,0
Cédric Klapisch,82,1652472,When the Cat's Away ,cat|homosexual sex|male homosexuality|neighborhood|noisy neighbor,25,French,R,9,166
Peter Hedges,54,2360184,Pieces of April ,apartment|oven|stove|thanksgiving|thanksgiving dinner,177,English,PG-13,806,0
Niall Johnson,7,,The Big Swap ,breasts|female frontal nudity|jealousy|male full frontal nudity|male nudity,7,English,,16,29
Kelly Reichardt,129,255352,Old Joy ,cell phone|male frontal nudity|oregon|sexual ambiguity|title directed by female,57,English,Unrated,44,594
Kelly Reichardt,129,856942,Wendy and Lucy ,car|dog|flip phone|rape threat|vulnerable,112,English,R,44,0
Eric Mendelsohn,5,,3 Backyards ,number in title,23,English,R,659,92
Jean-Luc Godard,0,,Pierrot le Fou ,beach|money|on the run|party|smuggling,74,French,Not Rated,257,2000
Florence Ayisi,0,32631,Sisters in Law ,,8,English,Not Rated,0,50
Pan Nalin,95,16892,Ayurveda: Art of Being ,eastern philosophy|healing|india|life,12,English,,,379
Michael Roemer,0,12438,Nothing But a Man ,1960s|father|railroad|town|worker,26,English,Not Rated,99,363
Jesse Peretz,37,40542,First Love, Last Rites ,listening to music|misfit|panties|red panties|sex,16,English,R,157,26
Eddie O'Flaherty,3,5199,Fighting Tommy Riley ,older man younger man relationship|punching bag|school teacher|undressing|unrequited love,23,English,R,53,30
Babar Ahmed,0,,Royal Kill ,assassin|female assassin|kingdom|martial arts|mission,18,English,PG-13,119,53
Julie Taymor,278,24343673,Across the Universe ,anti war|liverpool|love|protest|song,524,English,PG-13,117,14000
John D. Hancock,44,1711,The Looking Glass ,,1,English,,503,175
Paul Bartel,43,,Death Race 2000 ,cult director|cult film|drive in classic|psychotronic|race,147,English,R,926,0
Bruce Dellis,0,2468,Locker 13 ,digit in title|latino|life or death|philosophy|supernatural,5,English,R,665,261
Pece Dingo,0,,Midnight Cabaret ,cigarette smoking|death|devil|nightmare|satanic cult,4,English,R,102,4
Jerome Elston Scott,3,,Anderson's Cross ,divorce|marriage|mother daughter relationship|sex|teenage boy,7,English,R,317,7
Étienne Faure,77,,Bizarre ,full frontal nudity|group shower|male full frontal nudity|male nudity|shower,1,English,Unrated,0,114
Herb Freed,5,,Graduation Day ,coach|mask|school principal|team|track,58,English,R,338,249
Jack Perez,19,,Some Guy Who Kills People ,,58,English,R,456,0
Craig Zobel,25,318622,Compliance ,authority|boss subordinate relationship|fast food restaurant|gullibility|telephone call,175,English,R,260,0
Kevin Smith,0,12006514,Chasing Amy ,comic book|friendship|gay|lesbian|secret,500,English,R,1000,0
Nicole Holofcener,132,4186931,Lovely & Amazing ,african american|dog|homecoming queen|insecurity|surgery,85,English,R,286,169
Ken Del Conte,2,,Death Calls ,murder|oppression|rebirth|reincarnation|revenge,,English,R,216,16
Justin Lin,681,3799339,Better Luck Tomorrow ,asian american|high school|overachiever|pubic hair|vomiting,138,English,R,26,661
Maria Maggenti,4,1977544,The Incredibly True Adventure of Two Girls in Love ,caught having sex|class|friend|lesbian|lesbian sex,36,English,R,273,423
Miguel Arteta,44,1050600,Chuck & Buck ,best friend|bisexuality|friend|gay kiss|sexuality,136,English,R,487,170
Piyush Dinker Pandya,0,902835,American Desi ,college|desi|heritage|india|indian american,40,English,Unrated,89,133
Daniel Columbie,0,,Amidst the Devil's Wings ,,,English,,553,17
Vincenzo Natali,165,489220,Cube ,escape|labyrinth|maze|red light|trap,696,English,R,648,11000
Emma-Kate Croghan,0,212285,Love and Other Catastrophes ,film school|love|medical student|student|university,21,English,R,575,46
Bill Plympton,45,203134,I Married a Strange Person! ,claim in title|exclamation point in title|punctuation in title|reference to babe ruth|sex,21,English,R,2,178
Greg Harrison,7,191309,November ,female protagonist|murder|photographer|robbery|shot to death,64,English,R,249,98
Drake Doremus,52,3388210,Like Crazy ,girlfriend|immigration|long distance relationship|parents|student visa,150,English,PG-13,487,12000
Al Franklin,0,,Teeth and Blood ,blood|teeth,2,English,,320,85
Allison Anders,99,177840,Sugar Town ,drugs|music producer|rock music|title directed by female|vegetarian,22,English,R,605,93
Michael Kang,269,47111,The Motel ,absent father|asian american|friendship between men|motel|mother son relationship,11,Cantonese,,8,62
Paul Schrader,261,49494,The Canyons ,cocaine|homosexual|penis|psychopath|pubic hair,87,English,R,835,0
,,,Happy Valley             ,caravan|police|police sergeant|tied to a chair|yorkshire,59,English,TV-MA,340,10000
Lori Silverbush,5,,On the Outs ,dominican|drug dealer|prison|single mother|teenage pregnancy,15,English,R,64,122
Jeff Nichols,337,45661,Shotgun Stories ,bare chested male|half brother|indifference|shotgun|violence,32,English,PG-13,32,773
Stuart Hazeldine,17,,Exam ,band aid|hairpin|one day|single set production|unsubtitled foreign language,120,English,Not Rated,438,14000
Hilary Brougher,0,18195,The Sticky Fingers of Time ,future|nonlinear timeline|time travel|title directed by female|writer,7,English,,24,67
Rachel Goldenberg,7,,Sunday School Musical ,church|competition|high school|new school|pastor,18,English,G,168,777
Corbin Bernsen,1000,,Rust ,,8,English,PG,53,141
Jamin Winans,63,,Ink ,dream|self destructiveness|storyteller|time paradox|workaholic,215,English,,115,11000
Tom Seidman,3,,The Christmas Bunny ,animal in title|christmas|farm|michigan|rabbit,10,English,PG,168,0
Jason Naumann,2,,Jesus People ,mockumentary|single camera|subtle comedy,,English,,219,0
Matt Cimber,32,,Butterfly ,breasts|female frontal nudity|female rear nudity|incest|voyeur,18,English,R,427,76
Sam Martin,0,,UnDivided ,,1,English,PG,0,53
Andrew Hyatt,7,,The Frozen ,two word title,28,English,PG-13,206,519
Dan Curtis,45,,The Love Letter ,antique|desk|letter|love|time travel,56,English,Unrated,393,515
